Links,Main Heading,Chapter Headings,Description,Contents,Unordered Lists,Ordered Lists,Table Data
https://www.programiz.com/c-programming,Learn C Programming,About C Programming$$$Why Learn C Programming?$$$How to learn C Programming?$$$C Resources,"C is a powerful general-purpose programming language. It can be used to develop software like operating systems, databases, compilers, and so on. C programming is an excellent language to learn to program for beginners. Our C tutorials will guide you to learn C programming one step at a time.",,"Procedural Language - Instructions in a C program are executed step by step.$$$Portable - You can move C programs from one platform to another, and run it without any or minimal changes.$$$Speed - C programming is faster than most programming languages like Java, Python, etc.$$$General Purpose - C programming can be used to develop operating systems, embedded systems, databases, and so on.$$$C helps you to understand the internal architecture of a computer, how computer stores and retrieves information.$$$After learning C, it will be much easier to learn other programming languages like Java, Python, etc.$$$Opportunity to work on open source projects. Some of the largest open-source projects such as Linux kernel, Python interpreter, SQLite database, etc. are written in C programming.$$$C tutorial from Programiz - We provide step by step C tutorials, examples, and references. Get started with C.$$$Official C documentation - Might be hard to follow and understand for beginners. Visit official C Programming documentation.$$$Write a lot of C programming code - The only way you can learn programming is by writing a lot of code.$$$What is C Programming?$$$C Programming Examples$$$C Programming References",,
https://www.programiz.com/c-programming/c-keywords-identifier,C Keywords and Identifiers,Character set$$$C Keywords$$$C Identifiers$$$Alphabets$$$Digits$$$Special Characters$$$Rules for naming identifiers$$$Table of Contents,,"In this tutorial, you will learn about keywords; reserved words in C programming that are part of the syntax. Also, you will learn about identifiers and how to name them.|||A character set is a set of alphabets, letters and some special characters that are valid in C language.|||C accepts both lowercase and uppercase alphabets as variables and functions.|||White space Characters|||Blank space, newline, horizontal tab, carriage return and form feed.|||Keywords are predefined, reserved words used in programming that have special meanings to the compiler. Keywords are part of the syntax and they cannot be used as an identifier. For example:||||||Here, int is a keyword that indicates money is a variable of type int (integer).|||As C is a case sensitive language, all keywords must be written in lowercase. Here is a list of all keywords allowed in ANSI C.|||All these keywords, their syntax, and application will be discussed in their respective topics. However, if you want a brief overview of these keywords without going further, visit List of all keywords in C programming.|||Identifier refers to name given to entities such as variables, functions, structures etc.|||Identifiers must be unique. They are created to give a unique name to an entity to identify it during the execution of the program. For example:|||Here, money and accountBalance are identifiers.|||Also remember, identifier names must be different from keywords. You cannot use int as an identifier because int is a keyword.|||You can choose any name as an identifier if you follow the above rule, however, give meaningful names to identifiers that make sense. ",Character set$$$C Keywords$$$C Identifiers$$$Rules for naming Identifiers,"A valid identifier can have letters (both uppercase and lowercase letters), digits and underscores.$$$The first letter of an identifier should be either a letter or an underscore.$$$You cannot use keywords like int, while etc. as identifiers.$$$There is no rule on how long an identifier can be. However, you may run into problems in some compilers if the identifier is longer than 31 characters.",",|||<|||>|||.|||_$$$(|||)|||;|||$|||:$$$%|||[|||]|||#|||?$$$'|||&|||{|||}|||""$$$^|||!|||*|||/||||$$$-|||\|||~|||+||| $$$auto|||double|||int|||struct$$$break|||else|||long|||switch$$$case|||enum|||register|||typedef$$$char|||extern|||return|||union$$$continue|||for|||signed|||void$$$do|||if|||static|||while$$$default|||goto|||sizeof|||volatile$$$const|||float|||short|||unsigned"
https://www.programiz.com/c-programming/c-variables-constants,"C Variables, Constants and Literals",Video: Variables in C Programming$$$Variables$$$Literals$$$Constants$$$Rules for naming a variable$$$1. Integers$$$2. Floating-point Literals$$$3. Characters$$$4. Escape Sequences$$$5. String Literals$$$Table of Contents,,"In this tutorial, you will learn about variables and rules for naming a variable. You will also learn about different literals in C programming and how to create constants.|||In programming, a variable is a container (storage area) to hold data.|||To indicate the storage area, each variable should be given a unique name (identifier). Variable names are just the symbolic representation of a memory location. For example:|||Here, playerScore is a variable of int type. Here, the variable is assigned an integer value 95.|||The value of a variable can be changed, hence the name variable.|||Note: You should always try to give meaningful names to variables. For example: firstName is a better variable name than fn.|||C is a strongly typed language. This means that the variable type cannot be changed once it is declared. For example:|||Here, the type of number variable is int. You cannot assign a floating-point (decimal) value 5.5 to this variable. Also, you cannot redefine the data type of the variable to double. By the way, to store the decimal values in C, you need to declare its type to either double or float.|||Visit this page to learn more about different types of data a variable can store.|||Literals are data used for representing fixed values. They can be used directly in the code. For example: 1, 2.5, 'c' etc.|||Here, 1, 2.5 and 'c' are literals. Why? You cannot assign different values to these terms.|||An integer is a numeric literal(associated with numbers) without any fractional or exponential part. There are three types of integer literals in C programming:||||||For example:|||In C programming, octal starts with a 0, and hexadecimal starts with a 0x.|||A floating-point literal is a numeric literal that has either a fractional form or an exponent form. For example:|||Note: E-5 = 10-5|||A character literal is created by enclosing a single character inside single quotation marks. For example: 'a', 'm', 'F', '2', '}' etc.|||Sometimes, it is necessary to use characters that cannot be typed or has special meaning in C programming. For example: newline(enter), tab, question mark etc.|||In order to use these characters, escape sequences are used.|||For example: \n is used for a newline. The backslash \ causes escape from the normal way the characters are handled by the compiler.|||A string literal is a sequence of characters enclosed in double-quote marks. For example:|||If you want to define a variable whose value cannot be changed, you can use the const keyword. This will create a constant. For example,|||Notice, we have added keyword const.|||Here, PI is a symbolic constant; its value cannot be changed.|||You can also define a constant using the #define preprocessor directive. We will learn about it in C Macros tutorial.",decimal (base 10)$$$octal (base 8)$$$hexadecimal (base 16)$$$VariablesNaming a Variable$$$LiteralsIntegersFloating-point NumbersCharactersEscape Sequences$$$Constants$$$Naming a Variable$$$Integers$$$Floating-point Numbers$$$Characters$$$Escape Sequences,"A variable name can only have letters (both uppercase and lowercase letters), digits and underscore.$$$The first letter of a variable should be either a letter or an underscore.$$$There is no rule on how long a variable name (identifier) can be. However, you may run into problems in some compilers if the variable name is longer than 31 characters.","Escape Sequences|||Character$$$\b|||Backspace$$$\f|||Form feed$$$\n|||Newline$$$\r|||Return$$$\t|||Horizontal tab$$$\v|||Vertical tab$$$\\|||Backslash$$$\'|||Single quotation mark$$$\""|||Double quotation mark$$$\?|||Question mark$$$\0|||Null character"
https://www.programiz.com/c-programming/c-data-types,C Data Types,Video: Data Types in C Programming$$$Basic types$$$Derived Data Types$$$int$$$float and double$$$char$$$void$$$short and long$$$signed and unsigned$$$Table of Contents,,"In this tutorial, you will learn about basic data types such as int, float, char etc. in C programming.|||In C programming, data types are declarations for variables. This determines the type and size of data associated with variables. For example,|||Here, myVar is a variable of int (integer) type. The size of int is 4 bytes.|||Here's a table containing commonly used types in C programming for quick access.|||Integers are whole numbers that can have both zero, positive and negative values but no decimal values. For example, 0, -5, 10|||We can use int for declaring an integer variable.|||Here, id is a variable of type integer.|||You can declare multiple variables at once in C programming. For example,|||The size of int is usually 4 bytes (32 bits). And, it can take 232 distinct states from -2147483648 to 2147483647.|||float and double are used to hold real numbers.|||In C, floating-point numbers can also be represented in exponential. For example,||||||What's the difference between float and double?|||The size of float (single precision float data type) is 4 bytes. And the size of double (double precision float data type) is 8 bytes.|||Keyword char is used for declaring character type variables. For example,|||The size of the character variable is 1 byte.|||void is an incomplete type. It means ""nothing"" or ""no type"". You can think of void as absent.|||For example, if a function is not returning anything, its return type should be void.|||Note that, you cannot create variables of void type.|||If you need to use a large number, you can use a type specifier long. Here's how:|||Here variables a and b can store integer values. And, c can store a floating-point number.|||If you are sure, only a small integer ([−32,767, +32,767] range) will be used, you can use short.|||You can always check the size of a variable using the sizeof() operator.|||In C, signed and unsigned are type modifiers. You can alter the data storage of a data type by using them:|||For example,|||Here, the variables x and num can hold only zero and positive values because we have used the unsigned modifier.|||Considering the size of int is 4 bytes, variable y can hold values from -231 to 231-1, whereas variable x can hold values from 0 to 232-1.|||Data types that are derived from fundamental data types are derived types. For example: arrays, pointers, function types, structures, etc.|||We will learn about these derived data types in later tutorials.",signed - allows for storage of both positive and negative numbers$$$unsigned - allows for storage of only positive numbers$$$bool type$$$Enumerated type$$$Complex types$$$C Data types$$$Basic Data types$$$int Type$$$float and double Type$$$char Type$$$void Type,,"Type|||Size (bytes)|||Format Specifier$$$int|||at least 2, usually 4|||%d, %i$$$char|||1|||%c$$$float|||4|||%f$$$double|||8|||%lf$$$short int|||2 usually|||%hd$$$unsigned int|||at least 2, usually 4|||%u$$$long int|||at least 4, usually 8|||%ld, %li$$$long long int|||at least 8|||%lld, %lli$$$unsigned long int|||at least 4|||%lu$$$unsigned long long int|||at least 8|||%llu$$$signed char|||1|||%c$$$unsigned char|||1|||%c$$$long double|||at least 10, usually 12 or 16|||%Lf"
https://www.programiz.com/c-programming/c-input-output,C Input/Output: printf() and scanf(),Video: Get User Input in C Programming$$$C Output$$$C Input$$$I/O Multiple Values$$$Format Specifiers for I/O$$$Example 1: C Output$$$Example 2: Integer Output$$$Example 3: float and double Output$$$Example 4: Print Characters$$$Example 5: Integer Input/Output$$$Example 6: Float and Double Input/Output$$$Example 7: C Character I/O$$$Example 8: ASCII Value$$$Table of Contents,,"In this tutorial, you will learn to use scanf() function to take input from the user, and printf() function to display output to the user.|||In C programming, printf() is one of the main output function. The function sends formatted output to the screen. For example,|||Output|||How does this program work?|||Output|||We use %d format specifier to print int types. Here, the %d inside the quotations will be replaced by the value of testInteger.|||Output|||To print float, we use %f format specifier. Similarly, we use %lf to print double values.|||Output||||||To print char, we use %c format specifier.|||In C programming, scanf() is one of the commonly used function to take input from the user. The scanf() function reads formatted input from the standard input such as keyboards.|||Output|||Here, we have used %d format specifier inside the scanf() function to take int input from the user. When the user enters an integer, it is stored in the testInteger variable.|||Notice, that we have used &testInteger inside scanf(). It is because &testInteger gets the address of testInteger, and the value entered by the user is stored in that address.|||Output|||We use %f and %lf format specifier for float and double respectively.|||Output|||When a character is entered by the user in the above program, the character itself is not stored. Instead, an integer value (ASCII value) is stored.|||And when we display that value using %c text format, the entered character is displayed. If we use %d to display the character, it's ASCII value is printed.|||Output|||Here's how you can take multiple inputs from the user and display them.|||Output|||As you can see from the above examples, we use|||Here's a list of commonly used C data types and their format specifiers.","All valid C programs must contain the main() function. The code execution begins from the start of the main() function.$$$The printf() is a library function to send formatted output to the screen. The function prints the string inside quotations.$$$To use printf() in our program, we need to include stdio.h header file using the #include <stdio.h> statement.$$$The return 0; statement inside the main() function is the ""Exit status"" of the program. It's optional.$$$%d for int$$$%f for float$$$%lf for double$$$%c for char$$$C Output$$$C Input$$$I/O Multiple Values$$$Format Specifiers",,Data Type|||Format Specifier$$$int|||%d$$$char|||%c$$$float|||%f$$$double|||%lf$$$short int|||%hd$$$unsigned int|||%u$$$long int|||%li$$$long long int|||%lli$$$unsigned long int|||%lu$$$unsigned long long int|||%llu$$$signed char|||%c$$$unsigned char|||%c$$$long double|||%Lf
https://www.programiz.com/c-programming/c-operators,Operators in C,Video: Arithmetic Operators in C$$$C Arithmetic Operators$$$C Increment and Decrement Operators$$$C Assignment Operators$$$Other Operators$$$Example 1: Arithmetic Operators$$$Example 2: Increment and Decrement Operators$$$Example 3: Assignment Operators$$$C Relational Operators$$$Example 4: Relational Operators$$$C Logical Operators$$$Example 5: Logical Operators$$$C Bitwise Operators$$$Comma Operator$$$The sizeof operator$$$Example 6: sizeof Operator$$$Table of Contents,,"In this tutorial, you will learn about different operators in C programming with the help of examples.|||An operator is a symbol that operates on a value or a variable. For example: + is an operator to perform addition.|||C has a wide range of operators to perform various operations.|||An arithmetic operator performs mathematical operations such as addition, subtraction, multiplication, division etc on numerical values (constants and variables).||||||Output|||The operators +, - and * computes addition, subtraction, and multiplication respectively as you might have expected.|||In normal calculation, 9/4 = 2.25. However, the output is 2 in the program.|||It is because both the variables a and b are integers. Hence, the output is also an integer. The compiler neglects the term after the decimal point and shows answer 2 instead of 2.25.|||The modulo operator % computes the remainder. When a=9 is divided by b=4, the remainder is 1. The % operator can only be used with integers.|||Suppose a = 5.0, b = 2.0, c = 5 and d = 2. Then in C programming,|||C programming has two operators increment ++ and decrement -- to change the value of an operand (constant or variable) by 1.|||Increment ++ increases the value by 1 whereas decrement -- decreases the value by 1. These two operators are unary operators, meaning they only operate on a single operand.|||Output|||Here, the operators ++ and -- are used as prefixes. These two operators can also be used as postfixes like a++ and a--. Visit this page to learn more about how increment and decrement operators work when used as postfix.|||An assignment operator is used for assigning a value to a variable. The most common assignment operator is =|||Output|||A relational operator checks the relationship between two operands. If the relation is true, it returns 1; if the relation is false, it returns value 0.|||Relational operators are used in decision making and loops.|||Output|||An expression containing logical operator returns either 0 or 1 depending upon whether expression results true or false. Logical operators are commonly used in decision making in C programming.|||Output|||Explanation of logical operator program|||During computation, mathematical operations like: addition, subtraction, multiplication, division, etc are converted to bit-level which makes processing faster and saves power.|||Bitwise operators are used in C programming to perform bit-level operations.|||Visit bitwise operator in C to learn more.|||Comma operators are used to link related expressions together. For example:|||The sizeof is a unary operator that returns the size of data (constants, variables, array, structure, etc).|||Output|||Other operators such as ternary operator ?:, reference operator &, dereference operator * and member selection operator -> will be discussed in later tutorials.","(a == b) && (c > 5) evaluates to 1 because both operands (a == b) and (c > b) is 1 (true).$$$(a == b) && (c < b) evaluates to 0 because operand (c < b) is 0 (false).$$$(a == b) || (c < b) evaluates to 1 because (a = b) is 1 (true).$$$(a != b) || (c < b) evaluates to 0 because both operand (a != b) and (c < b) are 0 (false).$$$!(a != b) evaluates to 1 because operand (a != b) is 0 (false). Hence, !(a != b) is 1 (true).$$$!(a == b) evaluates to 0 because (a == b) is 1 (true). Hence, !(a == b) is 0 (false).$$$Arithmetic Operators$$$Increment and Decrement Operators$$$Assignment Operators$$$Relational Operators$$$Logical Operators$$$sizeof Operator",,"Operator|||Meaning of Operator$$$+|||addition or unary plus$$$-|||subtraction or unary minus$$$*|||multiplication$$$/|||division$$$%|||remainder after division (modulo division)$$$Operator|||Example|||Same as$$$=|||a = b|||a = b$$$+=|||a += b|||a = a+b$$$-=|||a -= b|||a = a-b$$$*=|||a *= b|||a = a*b$$$/=|||a /= b|||a = a/b$$$%=|||a %= b|||a = a%b$$$Operator|||Meaning of Operator|||Example$$$==|||Equal to|||5 == 3 is evaluated to 0$$$>|||Greater than|||5 > 3 is evaluated to 1$$$<|||Less than|||5 < 3 is evaluated to 0$$$!=|||Not equal to|||5 != 3 is evaluated to 1$$$>=|||Greater than or equal to|||5 >= 3 is evaluated to 1$$$<=|||Less than or equal to|||5 <= 3 is evaluated to 0$$$Operator|||Meaning|||Example$$$&&|||Logical AND. True only if all operands are true|||If c = 5 and d = 2 then, expression ((c==5) && (d>5)) equals to 0.$$$|||||Logical OR. True only if either one operand is true|||If c = 5 and d = 2 then, expression ((c==5) || (d>5)) equals to 1.$$$!|||Logical NOT. True only if the operand is 0|||If c = 5 then, expression !(c==5) equals to 0.$$$Operators|||Meaning of operators$$$&|||Bitwise AND$$$||||Bitwise OR$$$^|||Bitwise exclusive OR$$$~|||Bitwise complement$$$<<|||Shift left$$$>>|||Shift right"
https://www.programiz.com/c-programming/c-introduction-examples,C Introduction Examples,Examples,,"In this article, you will find a list of simple C programs such as: displaying a line, adding two numbers, find ASCII value of a character, etc.|||We have learned about the following topics so far:|||To understand these topics better, we have created some examples.|||Before you go through these examples, we suggest you to try creating these programs on our own.|||We understand that programming can by start If you are just a programming newbie. In that case, go through each example below and see if you can understand them. Once you do that, try writing these programs on your own.",,Variables and Constants$$$Data Types$$$Input and Output in C programming$$$Operators,"C program to print a sentence$$$C program to print an integer entered by the user$$$C program to add two integers entered by the User$$$C program to multiply two floating-point numbers$$$C program to find ASCII value of a character entered by the user$$$C program to find quotient and remainder of Two Integers$$$C program to find the size of int, float, double and char$$$C program to demonstrate the working of keyword long$$$C program to swap two numbers"
https://www.programiz.com/c-programming/c-if-else-statement,C if...else Statement,Video: C if else Statement$$$C if Statement$$$C if...else Statement$$$C if...else Ladder$$$Nested if...else$$$How if statement works?$$$Example 1: if statement$$$How if...else statement works?$$$Example 2: if...else statement$$$Syntax of if...else Ladder$$$Example 3: C if...else Ladder$$$Example 4: Nested if...else$$$Table of Contents,,"In this tutorial, you will learn about the if statement (including if...else and nested if..else) in C programming with the help of examples.|||The syntax of the if statement in C programming is:|||The if statement evaluates the test expression inside the parenthesis ().|||To learn more about when test expression is evaluated to true (non-zero value) and false (0), check relational and logical operators.|||Output 1|||When the user enters -2, the test expression number<0 is evaluated to true. Hence, You entered -2 is displayed on the screen.|||Output 2|||When the user enters 5, the test expression number<0 is evaluated to false and the statement inside the body of if is not executed|||The if statement may have an optional else block. The syntax of the if..else statement is:|||If the test expression is evaluated to true,|||If the test expression is evaluated to false,|||Output||||||When the user enters 7, the test expression number%2==0 is evaluated to false. Hence, the statement inside the body of else is executed.|||The if...else statement executes two different codes depending upon whether the test expression is true or false. Sometimes, a choice has to be made from more than 2 possibilities.|||The if...else ladder allows you to check between multiple test expressions and execute different statements.|||Output|||It is possible to include an if...else statement inside the body of another if...else statement.|||This program given below relates two integers using either <, > and = similar to the if...else ladder's example. However, we will use a nested if...else statement to solve this problem.|||If the body of an if...else statement has only one statement, you do not need to use brackets {}.|||For example, this code|||is equivalent to","If the test expression is evaluated to true, statements inside the body of if are executed.$$$If the test expression is evaluated to false, statements inside the body of if are not executed.$$$statements inside the body of if are executed.$$$statements inside the body of else are skipped from execution.$$$statements inside the body of else are executed$$$statements inside the body of if are skipped from execution.$$$if Statement$$$if...else Statement$$$if...else Ladder$$$Nested if...else",,
https://www.programiz.com/c-programming/c-for-loop,C for Loop (With Examples),Video: C while Loop$$$for Loop$$$How for loop works?$$$for loop Flowchart$$$Example 1: for loop$$$Example 2: for loop$$$Table of Contents,,"In this tutorial, you will learn to create for loop in C programming with the help of examples.|||In programming, a loop is used to repeat a block of code until the specified condition is met.|||C programming has three types of loops:|||We will learn about for loop in this tutorial. In the next tutorial, we will learn about while and do...while loop.|||The syntax of the for loop is:|||This process goes on until the test expression is false. When the test expression is false, the loop terminates.|||To learn more about test expression (when the test expression is evaluated to true and false), check out relational and logical operators.|||Output|||Output||||||The value entered by the user is stored in the variable num. Suppose, the user entered 10.|||The count is initialized to 1 and the test expression is evaluated. Since the test expression count<=num (1 less than or equal to 10) is true, the body of for loop is executed and the value of sum will equal to 1.|||Then, the update statement ++count is executed and count will equal to 2. Again, the test expression is evaluated. Since 2 is also less than 10, the test expression is evaluated to true and the body of the for loop is executed. Now, sum will equal 3.|||This process goes on and the sum is calculated until the count reaches 11.|||When the count is 11, the test expression is evaluated to 0 (false), and the loop terminates.|||Then, the value of sum is printed on the screen.|||We will learn about while loop and do...while loop in the next tutorial.","The initialization statement is executed only once.$$$Then, the test expression is evaluated. If the test expression is evaluated to false, the for loop is terminated.$$$However, if the test expression is evaluated to true, statements inside the body of the for loop are executed, and the update expression is updated.$$$Again the test expression is evaluated.$$$C for loop$$$How for loop works?$$$for Loop Examples","for loop$$$while loop$$$do...while loop$$$i is initialized to 1.$$$The test expression i < 11 is evaluated. Since 1 less than 11 is true, the body of for loop is executed. This will print the 1 (value of i) on the screen.$$$The update statement ++i is executed. Now, the value of i will be 2. Again, the test expression is evaluated to true, and the body of for loop is executed. This will print 2 (value of i) on the screen.$$$Again, the update statement ++i is executed and the test expression i < 11 is evaluated. This process goes on until i becomes 11.$$$When i becomes 11, i < 11 will be false, and the for loop terminates.",
https://www.programiz.com/c-programming/c-do-while-loops,C while and do...while Loop,Video: C while Loop$$$while loop$$$do...while loop$$$How while loop works?$$$Flowchart of while loop$$$Example 1: while loop$$$How do...while loop works?$$$Flowchart of do...while Loop$$$Example 2: do...while loop$$$Table of Contents,,"In this tutorial, you will learn to create while and do...while loop in C programming with the help of examples.|||In programming, loops are used to repeat a block of code until a specified condition is met.|||C programming has three types of loops.|||In the previous tutorial, we learned about for loop. In this tutorial, we will learn about while and do..while loop.|||The syntax of the while loop is:|||To learn more about test expressions (when testExpression is evaluated to true and false), check out relational and logical operators.|||Output|||Here, we have initialized i to 1.||||||The do..while loop is similar to the while loop with one important difference. The body of do...while loop is executed at least once. Only then, the test expression is evaluated.|||The syntax of the do...while loop is:|||Output|||Here, we have used a do...while loop to prompt the user to enter a number. The loop works as long as the input number is not 0.|||The do...while loop executes at least once i.e. the first iteration runs without checking the condition. The condition is checked only after the first iteration has been executed.|||So, if the first input is a non-zero number, that number is added to the sum variable and the loop continues to the next iteration. This process is repeated until the user enters 0.|||But if the first input is 0, there will be no second iteration of the loop and sum becomes 0.0.|||Outside the loop, we print the value of sum.","The while loop evaluates the testExpression inside the parentheses ().$$$If testExpression is true, statements inside the body of while loop are executed. Then, testExpression is evaluated again.$$$The process goes on until testExpression is evaluated to false.$$$If testExpression is false, the loop terminates (ends).$$$The body of do...while loop is executed once. Only then, the testExpression is evaluated.$$$If testExpression is true, the body of the loop is executed again and testExpression is evaluated once more.$$$This process goes on until testExpression becomes false.$$$If testExpression is false, the loop ends.$$$while Loop$$$Example: while Loop$$$do...while Loop$$$Example: do...while Loop","for loop$$$while loop$$$do...while loop$$$When i = 1, the test expression i <= 5 is true. Hence, the body of the while loop is executed. This prints 1 on the screen and the value of i is increased to 2.$$$Now, i = 2, the test expression i <= 5 is again true. The body of the while loop is executed again. This prints 2 on the screen and the value of i is increased to 3.$$$This process goes on until i becomes 6. Then, the test expression i <= 5 will be false and the loop terminates.",
