Links,Main Heading,Chapter Headings,Description,Contents,Unordered Lists,Ordered Lists,Table Data
https://www.programiz.com/cpp-programming,Learn C++ Programming,About C++ Programming$$$Why Learn C++?$$$How to learn C++?$$$C++ Resources,"C++ is a powerful general-purpose programming language. It can be used to develop operating systems, browsers, games, and so on. C++ supports different ways of programming like procedural, object-oriented, functional, and so on. This makes C++ powerful as well as flexible. Our C++ programming tutorial will guide you to learn C++ programming one step at a time.",,"Multi-paradigm Language - C++ supports at least seven different styles of programming. Developers can choose any of the styles.$$$General Purpose Language - You can use C++ to develop games, desktop apps, operating systems, and so on.$$$Speed - Like C programming, the performance of optimized C++ code is exceptional.$$$Object-oriented - C++ allows you to divide complex problems into smaller sets by using objects.$$$C++ is used to develop games, desktop apps, operating systems, browsers, and so on because of its performance.$$$After learning C++, it will be much easier to learn other programming languages like Java, Python, etc.$$$C++ helps you to understand the internal architecture of a computer, how computer stores and retrieves information.$$$C++ tutorial from Programiz - We provide step by step C++ tutorials, examples, and references. Get started with C++.$$$Official C++ documentation - Might be hard to follow and understand for beginners. Visit official C++ documentation.$$$Write a lot of C++ programming code- The only way you can learn programming is by writing a lot of code.$$$Read C++ code- Join Github's open-source projects and read other people's code.$$$C++ Examples$$$C++ References$$$C++ Guide",,
https://www.programiz.com/cpp-programming/variables-literals,"C++ Variables, Literals and Constants",C++ Variables$$$C++ Literals$$$C++ Constants$$$Rules for naming a variable$$$1. Integers$$$2. Floating-point Literals$$$3. Characters$$$4. Escape Sequences$$$5. String Literals$$$Table of Contents,,"In this tutorial, we will learn about variables, literals, and constants in C++ with the help of examples.|||In programming, a variable is a container (storage area) to hold data.|||To indicate the storage area, each variable should be given a unique name (identifier). For example,|||Here, age is a variable of the int data type, and we have assigned an integer value 14 to it.|||Note: The int data type suggests that the variable can only hold integers. Similarly, we can use the double data type if we have to store decimals and exponentials.|||We will learn about all the data types in detail in the next tutorial.|||The value of a variable can be changed, hence the name variable.|||Note: We should try to give meaningful names to variables. For example, first_name is a better variable name than fn.|||Literals are data used for representing fixed values. They can be used directly in the code. For example: 1, 2.5, 'c' etc.|||Here, 1, 2.5 and 'c' are literals. Why? You cannot assign different values to these terms.|||Here's a list of different literals in C++ programming.|||An integer is a numeric literal(associated with numbers) without any fractional or exponential part. There are three types of integer literals in C programming:|||For example:|||In C++ programming, octal starts with a 0, and hexadecimal starts with a 0x.|||A floating-point literal is a numeric literal that has either a fractional form or an exponent form. For example:||||||-2.0|||0.0000234|||-0.22E-5|||Note: E-5 = 10-5|||A character literal is created by enclosing a single character inside single quotation marks. For example: 'a', 'm', 'F', '2', '}' etc.|||Sometimes, it is necessary to use characters that cannot be typed or has special meaning in C++ programming. For example, newline (enter), tab, question mark, etc.|||In order to use these characters, escape sequences are used.|||A string literal is a sequence of characters enclosed in double-quote marks. For example:|||We will learn about strings in detail in the C++ string tutorial.|||In C++, we can create variables whose value cannot be changed. For that, we use the const keyword. Here's an example:|||Here, we have used the keyword const to declare a constant named LIGHT_SPEED. If we try to change the value of LIGHT_SPEED, we will get an error.|||A constant can also be created using the #define preprocessor directive. We will learn about it in detail in the C++ Macros tutorial.","A variable name can only have alphabets, numbers, and the underscore _.$$$A variable name cannot begin with a number.$$$It is a preferred practice to begin variable names with a lowercase character. For example, name is preferable to Name.$$$A variable name cannot be a keyword. For example, int is a keyword that is used to denote integers.$$$A variable name can start with an underscore. However, it's not considered a good practice.$$$decimal (base 10)$$$octal (base 8)$$$hexadecimal (base 16)$$$C++ Variables$$$Rules for naming a variable$$$C++ Literals$$$Integers$$$Floating-point Literals$$$Characters$$$Escape Sequences$$$String Literals$$$C++ Constants",,"Escape Sequences|||Characters$$$\b|||Backspace$$$\f|||Form feed$$$\n|||Newline$$$\r|||Return$$$\t|||Horizontal tab$$$\v|||Vertical tab$$$\\|||Backslash$$$\'|||Single quotation mark$$$\""|||Double quotation mark$$$\?|||Question mark$$$\0|||Null Character$$$""good""|||string constant$$$""""|||null string constant$$$"" ""|||string constant of six white space$$$""x""|||string constant having a single character$$$""Earth is round\n""|||prints string with a newline"
https://www.programiz.com/cpp-programming/data-types,C++ Data Types,C++ Fundamental Data Types$$$C++ Type Modifiers$$$Derived Data Types$$$1. C++ int$$$2. C++ float and double$$$3. C++ char$$$4. C++ wchar_t$$$5. C++ bool$$$6. C++ void$$$C++ Modified Data Types List$$$Table of Contents,,"In this tutorial, we will learn about basic data types such as int, float, char, etc. in C++ programming with the help of examples.|||In C++, data types are declarations for variables. This determines the type and size of data associated with variables. For example,|||Here, age is a variable of type int. Meaning, the variable can only store integers of either 2 or 4 bytes.|||The table below shows the fundamental data types, their meaning, and their sizes (in bytes):|||Now, let us discuss these fundamental data types in more detail.|||As mentioned above, these two data types are also used for exponentials. For example,|||Note: In C++, an integer value is stored in a char variable rather than the character itself. To learn more, visit C++ characters.|||Notice the letter L before the quotation marks.||||||Note: There are also two other fixed-size character types char16_t and char32_t introduced in C++11.|||Note: We cannot declare variables of the void type.|||We can further modify some of the fundamental data types by using type modifiers. There are 4 type modifiers in C++. They are:|||We can modify the following data types with the above modifiers:|||Let's see a few examples.|||Data types that are derived from fundamental data types are derived types. For example: arrays, pointers, function types, structures, etc.|||We will learn about these derived data types in later tutorials.","The int keyword is used to indicate integers.$$$Its size is usually 4 bytes. Meaning, it can store values from -2147483648 to 2147483647.$$$For example,$$$float and double are used to store floating-point numbers (decimals and exponentials).$$$The size of float is 4 bytes and the size of double is 8 bytes. Hence, double has two times the precision of float. To learn more, visit C++ float and double.$$$For example,$$$Keyword char is used for characters.$$$Its size is 1 byte.$$$Characters in C++ are enclosed inside single quotes ' '.$$$For example,$$$Wide character wchar_t is similar to the char data type, except its size is 2 bytes instead of 1.$$$It is used to represent characters that require more memory to represent them than a single char.$$$For example,$$$The bool data type has one of two possible values: true or false.$$$Booleans are used in conditional statements and loops (which we will learn in later chapters).$$$For example,$$$The void keyword indicates an absence of data. It means ""nothing"" or ""no value"".$$$We will use void when we learn about functions and pointers.$$$int$$$double$$$char$$$C++ Fundamental Data Types$$$int$$$float and double$$$char$$$wchar_t$$$bool$$$void$$$C++ Type Modifiers$$$Derived Data Types",signed$$$unsigned$$$short$$$long,"Data Type|||Meaning|||Size (in Bytes)$$$int|||Integer|||2 or 4$$$float|||Floating-point|||4$$$double|||Double Floating-point|||8$$$char|||Character|||1$$$wchar_t|||Wide Character|||2$$$bool|||Boolean|||1$$$void|||Empty|||0$$$Data Type|||Size (in Bytes)|||Meaning$$$signed int|||4|||used for integers (equivalent to int)$$$unsigned int|||4|||can only store positive integers$$$short|||2|||used for small integers (range -32768 to 32767)$$$unsigned short|||2|||used for small positive integers (range 0 to 65,535)$$$long|||at least 4|||used for large integers (equivalent to long int)$$$unsigned long|||4|||used for large positive integers or 0 (equivalent to unsigned long int)$$$long long|||8|||used for very large integers (equivalent to long long int).$$$unsigned long long|||8|||used for very large positive integers or 0 (equivalent to unsigned long long int)$$$long double|||12|||used for large floating-point numbers$$$signed char|||1|||used for characters (guaranteed range -127 to 127)$$$unsigned char|||1|||used for characters (range 0 to 255)"
https://www.programiz.com/cpp-programming/input-output,C++ Basic Input/Output,C++ Output$$$C++ Input$$$C++ Taking Multiple Inputs$$$Example 1: String Output$$$Example 2: Numbers and Characters Output$$$Example 3: Integer Input/Output$$$Table of Contents,,"In this tutorial, we will learn to use the cin object to take input from the user, and the cout object to display output to the user with the help of examples.|||In C++, cout sends formatted output to standard output devices, such as the screen. We use the cout object along with the << operator for displaying output.|||Output|||How does this program work?|||Note: If we don't include the using namespace std; statement, we need to use std::cout instead of cout.|||This is the preferred method as using the std namespace can create potential problems.|||However, we have used the std namespace in our tutorials in order to make the codes more readable.||||||To print the numbers and character variables, we use the same cout object but without using quotation marks.|||Output|||Notes:|||In C++, cin takes formatted input from standard input devices such as the keyboard. We use the cin object along with the >> operator for taking input.|||Output|||In the program, we used|||to take input from the user. The input is stored in the variable num. We use the >> operator with cin to take input.|||Note: If we don't include the using namespace std; statement, we need to use std::cin instead of cin.|||Output","We first include the iostream header file that allows us to display output.$$$The cout object is defined inside the std namespace. To use the std namespace, we used the using namespace std; statement.$$$Every C++ program starts with the main() function. The code execution begins from the start of the main() function.$$$cout is an object that prints the string inside quotation marks "" "". It is followed by the << operator.$$$return 0; is the ""exit status"" of the main() function. The program ends with this statement, however, this statement is not mandatory.$$$The endl manipulator is used to insert a new line. That's why each output is displayed in a new line.$$$The << operator can be used more than once if we want to print different variables, strings and so on in a single statement. For example:$$$C++ Output$$$Example 1: String Output$$$Example 2: Numbers and Characters Output$$$C++ Input$$$Example 3: Integer Input/Output$$$C++ Multiple Input",,
https://www.programiz.com/cpp-programming/type-conversion,C++ Type Conversion,Implicit Type Conversion$$$C++ Explicit Conversion$$$Example 1: Conversion From int to double$$$Example 2: Automatic Conversion from double to int$$$Data Loss During Conversion (Narrowing Conversion)$$$C-style Type Casting$$$Function-style Casting$$$Example 3: Type Casting$$$Type Conversion Operators$$$Table of Contents,,"In this tutorial, we will learn about the basics of C++ type conversion with the help of examples.|||C++ allows us to convert data of one type to that of another. This is known as type conversion.|||There are two types of type conversion in C++.|||The type conversion that is done automatically done by the compiler is known as implicit type conversion. This type of conversion is also known as automatic conversion.|||Let us look at two examples of implicit type conversion.|||Output|||In the program, we have assigned an int data to a double variable.|||Here, the int value is automatically converted to double by the compiler before it is assigned to the num_double variable. This is an example of implicit type conversion.|||Output|||In the program, we have assigned a double data to an int variable.|||Here, the double value is automatically converted to int by the compiler before it is assigned to the num_int variable. This is also an example of implicit type conversion.|||Note: Since int cannot have a decimal part, the digits after the decimal point are truncated in the above example.|||As we have seen from the above example, conversion from one data type to another is prone to data loss. This happens when data of a larger type is converted to data of a smaller type.|||When the user manually changes data from one type to another, this is known as explicit conversion. This type of conversion is also known as type casting.|||There are three major ways in which we can use explicit conversion in C++. They are:||||||As the name suggests, this type of casting is favored by the C programming language. It is also known as cast notation.|||The syntax for this style is:|||For example,|||We can also use the function like notation to cast data from one type to another.|||The syntax for this style is:|||For example,|||Output|||We used both the C style type conversion and the function-style casting for type conversion and displayed the results. Since they perform the same task, both give us the same output.|||Besides these two type castings, C++ also has four operators for type conversion. They are known as type conversion operators. They are:|||We will learn about these casts in later tutorials.|||Recommended Tutorials:","static_cast$$$dynamic_cast$$$const_cast$$$reinterpret_cast$$$C++ string to int and Vice-versa$$$C++ string to float, double and Vice-versa$$$Introduction$$$Implicit Type Conversion$$$Example: int to double Conversion$$$Example: Conversion from double to int$$$Data Loss During Conversion$$$C++ Explicit Conversion:$$$C-style Type Casting$$$Function-style Casting$$$Example: Type Casting$$$Type Conversion Operators",Implicit Conversion$$$Explicit Conversion (also known as Type Casting)$$$C-style type casting (also known as cast notation)$$$Function notation (also known as old C++ style type casting)$$$Type conversion operators,
https://www.programiz.com/cpp-programming/operators,C++ Operators,1. C++ Arithmetic Operators$$$2. C++ Assignment Operators$$$3. C++ Relational Operators$$$4. C++ Logical Operators$$$5. C++ Bitwise Operators$$$6. Other C++ Operators$$$Example 1: Arithmetic Operators$$$Increment and Decrement Operators$$$Example 2: Increment and Decrement Operators$$$Example 3: Assignment Operators$$$Example 4: Relational Operators$$$Example 5: Logical Operators$$$Table of Contents,,"In this tutorial, we will learn about the different types of operators in C++ with the help of examples. In programming, an operator is a symbol that operates on a value or a variable.|||Operators are symbols that perform operations on variables and values. For example, + is an operator used for addition, while - is an operator used for subtraction.|||Operators in C++ can be classified into 6 types:|||Arithmetic operators are used to perform arithmetic operations on variables and data. For example,|||Here, the + operator is used to add two variables a and b. Similarly there are various other arithmetic operators in C++.|||Output|||Here, the operators +, - and * compute addition, subtraction, and multiplication respectively as we might have expected.|||/ Division Operator|||Note the operation (a / b) in our program. The / operator is the division operator.|||As we can see from the above example, if an integer is divided by another integer, we will get the quotient. However, if either divisor or dividend is a floating-point number, we will get the result in decimals.|||% Modulo Operator|||The modulo operator % computes the remainder. When a = 9 is divided by b = 4, the remainder is 1.|||Note: The % operator can only be used with integers.|||C++ also provides increment and decrement operators: ++ and -- respectively.|||For example,|||Here, the code ++num; increases the value of num by 1.|||Output|||In the above program, we have used the ++ and -- operators as prefixes (++a and --b). However, we can also use these operators as postfix (a++ and b--).||||||To learn more, visit increment and decrement operators.|||In C++, assignment operators are used to assign values to variables. For example,|||Here, we have assigned a value of 5 to the variable a.|||Output|||A relational operator is used to check the relationship between two operands. For example,|||Here, > is a relational operator. It checks if a is greater than b or not.|||If the relation is true, it returns 1 whereas if the relation is false, it returns 0.|||Output|||Note: Relational operators are used in decision-making and loops.|||Logical operators are used to check whether an expression is true or false. If the expression is true, it returns 1 whereas if the expression is false, it returns 0.|||In C++, logical operators are commonly used in decision making. To further understand the logical operators, let's see the following examples,|||Output|||Explanation of logical operator program|||In C++, bitwise operators are used to perform operations on individual bits. They can only be used alongside char and int data types.|||To learn more, visit C++ bitwise operators.|||Here's a list of some other common operators available in C++. We will learn about them in later tutorials.",++ increases the value of the operand by 1$$$-- decreases it by 1$$$(3 != 5) && (3 < 5) evaluates to 1 because both operands (3 != 5) and (3 < 5) are 1 (true).$$$(3 == 5) && (3 < 5) evaluates to 0 because the operand (3 == 5) is 0 (false).$$$(3 == 5) && (3 > 5) evaluates to 0 because both operands (3 == 5) and (3 > 5) are 0 (false).$$$(3 != 5) || (3 < 5) evaluates to 1 because both operands (3 != 5) and (3 < 5) are 1 (true).$$$(3 != 5) || (3 > 5) evaluates to 1 because the operand (3 != 5) is 1 (true).$$$(3 == 5) || (3 > 5) evaluates to 0 because both operands (3 == 5) and (3 > 5) are 0 (false).$$$!(5 == 2) evaluates to 1 because the operand (5 == 2) is 0 (false).$$$!(5 == 5) evaluates to 0 because the operand (5 == 5) is 1 (true).$$$C++ Operators$$$Arithmetic Operators$$$Increment and Decrement Operators$$$Assignment Operators$$$Relational Operators$$$Logical Operators$$$Other Operators,Arithmetic Operators$$$Assignment Operators$$$Relational Operators$$$Logical Operators$$$Bitwise Operators$$$Other Operators,"Operator|||Operation$$$+|||Addition$$$-|||Subtraction$$$*|||Multiplication$$$/|||Division$$$%|||Modulo Operation (Remainder after division)$$$Operator|||Example|||Equivalent to$$$=|||a = b;|||a = b;$$$+=|||a += b;|||a = a + b;$$$-=|||a -= b;|||a = a - b;$$$*=|||a *= b;|||a = a * b;$$$/=|||a /= b;|||a = a / b;$$$%=|||a %= b;|||a = a % b;$$$Operator|||Meaning|||Example$$$==|||Is Equal To|||3 == 5 gives us false$$$!=|||Not Equal To|||3 != 5 gives us true$$$>|||Greater Than|||3 > 5 gives us false$$$<|||Less Than|||3 < 5 gives us true$$$>=|||Greater Than or Equal To|||3 >= 5 give us false$$$<=|||Less Than or Equal To|||3 <= 5 gives us true$$$Operator|||Example|||Meaning$$$&&|||expression1 && expression2|||Logical AND.True only if all the operands are true.$$$|||||expression1 || expression2|||Logical OR.True if at least one of the operands is true.$$$!|||!expression|||Logical NOT.True only if the operand is false.$$$Operator|||Description$$$&|||Binary AND$$$||||Binary OR$$$^|||Binary XOR$$$~|||Binary One's Complement$$$<<|||Binary Shift Left$$$>>|||Binary Shift Right$$$Operator|||Description|||Example$$$sizeof|||returns the size of data type|||sizeof(int); // 4$$$?: |||returns value based on the condition|||string result = (5 > 0) ? ""even"" : ""odd""; // ""even""$$$&|||represents memory address of the operand|||&num; // address of num$$$.|||accesses members of struct variables or class objects|||s1.marks = 92;$$$->|||used with pointers to access the class or struct variables|||ptr->marks = 92;$$$<<|||prints the output value|||cout << 5;$$$>>|||gets the input value|||cin >> num;"
https://www.programiz.com/cpp-programming/comments,C++ Comments,Single Line Comments$$$Multi-line comments$$$Using Comments for Debugging$$$Why use Comments?$$$Table of Contents,,"In this tutorial, we will learn about C++ comments, why we use them, and how to use them with the help of examples.|||C++ comments are hints that a programmer can add to make their code easier to read and understand. They are completely ignored by C++ compilers.|||There are two ways to add comments to code:|||// - Single Line Comments|||/* */ -Multi-line Comments|||In C++, any line that starts with // is a comment. For example,|||Here, we have used two single-line comments:|||We can also use single line comment like this:|||In C++, any line between /* and */ is also a comment. For example,|||This syntax can be used to write both single-line and multi-line comments.||||||Comments can also be used to disable code to prevent it from being executed. For example,|||If we get an error while running the program, instead of removing the error-prone code, we can use comments to disable it from being executed; this can be a valuable debugging tool.|||Pro Tip: Remember the shortcut for using comments; it can be really helpful. For most code editors, it's Ctrl + / for Windows and Cmd + / for Mac.|||If we write comments on our code, it will be easier for us to understand the code in the future. Also, it will be easier for your fellow developers to understand the code.|||Note: Comments shouldn't be the substitute for a way to explain poorly written code in English. We should always write well-structured and self-explanatory code. And, then use comments.|||As a general rule of thumb, use comments to explain Why you did something rather than How you did something, and you are good.",// declaring a variable$$$// initializing the variable 'a' with the value 2$$$Introduction$$$Single Line Comments$$$Multi-line comments$$$Using Comments for Debugging$$$Why use Comments?,,
https://www.programiz.com/cpp-programming/if-else,C++ If...else (With Examples),C++ if Statement$$$C++ if...else$$$C++ if...else...else if statement$$$C++ Nested if...else$$$Body of if...else With Only One Statement$$$More on Decision Making$$$Example 1: C++ if Statement$$$Example 2: C++ if...else Statement$$$Example 3: C++ if...else...else if$$$Example 4: C++ Nested if$$$Table of Contents,,"In this tutorial, we will learn about the if...else statement to create decision making programs with the help of examples.|||In computer programming, we use the if...else statement to run one block of code under certain conditions and another block of code under different conditions.|||For example, assigning grades (A, B, C) based on marks obtained by a student.|||There are three forms of if...else statements in C++.|||The syntax of the if statement is:|||The if statement evaluates the condition inside the parentheses ( ).|||Note: The code inside { } is the body of the if statement.|||Output 1|||When the user enters 5, the condition number > 0 is evaluated to true and the statement inside the body of if is executed.|||Output 2|||When the user enters -5, the condition number > 0 is evaluated to false and the statement inside the body of if is not executed.|||The if statement can have an optional else clause. Its syntax is:|||The if..else statement evaluates the condition inside the parenthesis.|||If the condition evaluates true,|||If the condition evaluates false,|||Output 1|||In the above program, we have the condition number >= 0. If we enter the number greater or equal to 0, then the condition evaluates true.|||Here, we enter 4. So, the condition is true. Hence, the statement inside the body of if is executed.|||Output 2||||||Here, we enter -4. So, the condition is false. Hence, the statement inside the body of else is executed.|||The if...else statement is used to execute a block of code among two alternatives. However, if we need to make a choice between more than two alternatives, we use the if...else if...else statement.|||The syntax of the if...else if...else statement is:|||Here,|||Note: There can be more than one else if statement but only one if and else statements.|||Output 1|||Output 2|||Output 3|||In this program, we take a number from the user. We then use the if...else if...else ladder to check whether the number is positive, negative, or zero.|||If the number is greater than 0, the code inside the if block is executed. If the number is less than 0, the code inside the else if block is executed. Otherwise, the code inside the else block is executed.|||Sometimes, we need to use an if statement inside another if statement. This is known as nested if statement.|||Think of it as multiple layers of if statements. There is a first, outer if statement, and inside it is another, inner if statement. Its syntax is:|||Notes:|||Output 1|||Output 2|||Output 3|||In the above example,|||Note: As you can see, nested if...else makes your logic complicated. If possible, you should always try to avoid nested if...else.|||If the body of if...else has only one statement, you can omit { } in the program. For example, you can replace|||with|||The output of both programs will be the same.|||Note: Although it's not necessary to use { } if the body of if...else has only one statement, using { } makes your code more readable.|||In certain situations, a ternary operator can replace an if...else statement. To learn more, visit C++ Ternary Operator.|||If we need to make a choice between more than one alternatives based on a given test condition, the switch statement can be used. To learn more, visit C++ switch.|||Check out these examples to learn more:|||C++ Program to Check Whether Number is Even or Odd|||C++ Program to Check Whether a character is Vowel or Consonant.|||C++ Program to Find Largest Number Among Three Numbers","if the percentage is above 90, assign grade A$$$if the percentage is above 75, assign grade B$$$if the percentage is above 65, assign grade C$$$If the condition evaluates to true, the code inside the body of if is executed.$$$If the condition evaluates to false, the code inside the body of if is skipped.$$$the code inside the body of if is executed$$$the code inside the body of else is skipped from execution$$$the code inside the body of else is executed$$$the code inside the body of if is skipped from execution$$$If condition1 evaluates to true, the code block 1 is executed.$$$If condition1 evaluates to false, then condition2 is evaluated.$$$If condition2 is true, the code block 2 is executed.$$$If condition2 is false, the code block 3 is executed.$$$We can add else and else if statements to the inner if statement as required.$$$The inner if statement can also be inserted inside the outer else or else if statements (if they exist).$$$We can nest multiple layers of if statements.$$$We take an integer as an input from the user and store it in the variable num.$$$We then use an if...else statement to check whether num is not equal to 0.If true, then the inner if...else statement is executed.If false, the code inside the outer else condition is executed, which prints ""The number is 0 and it is neither positive nor negative.""$$$The inner if...else statement checks whether the input number is positive i.e. if num is greater than 0.If true, then we print a statement saying that the number is positive.If false, we print that the number is negative.$$$If true, then the inner if...else statement is executed.$$$If false, the code inside the outer else condition is executed, which prints ""The number is 0 and it is neither positive nor negative.""$$$If true, then we print a statement saying that the number is positive.$$$If false, we print that the number is negative.$$$Introduction$$$C++ if Statement$$$Example: if Statement$$$C++ if...else$$$Example: if...else Statement$$$C++ if...else...else if statement$$$Example: C++ if...else...else if$$$C++ Nested if...else$$$Example: Nested if...else",if statement$$$if...else statement$$$if...else if...else statement,
https://www.programiz.com/cpp-programming/for-loop,C++ for Loop (With Examples),C++ for loop$$$Flowchart of for Loop in C++$$$Ranged Based for Loop$$$Example 1: Printing Numbers From 1 to 5$$$Example 2: Display a text 5 times$$$Example 3: Find the sum of first n Natural Numbers$$$Example 4: Range Based for Loop$$$C++ Infinite for loop$$$Table of Contents,,"In this tutorial, we will learn about the C++ for loop and its working with the help of some examples.|||In computer programming, loops are used to repeat a block of code.|||For example, let's say we want to show a message 100 times. Then instead of writing the print statement 100 times, we can use a loop.|||That was just a simple example; we can achieve much more efficiency and sophistication in our programs by making effective use of loops.|||There are 3 types of loops in C++.|||This tutorial focuses on C++ for loop. We will learn about the other type of loops in the upcoming tutorials.|||The syntax of for-loop is:|||Here,|||To learn more about conditions, check out our tutorial on C++ Relational and Logical Operators.|||Output|||Here is how this program works|||Output|||Here is how this program works|||Output|||In the above example, we have two variables num and sum. The sum variable is assigned with 0 and the num variable is assigned with the value provided by the user.||||||Note that we have used a for loop.|||Here,|||When i becomes 11, the condition is false and sum will be equal to 0 + 1 + 2 + ... + 10.|||In C++11, a new range-based for loop was introduced to work with collections such as arrays and vectors. Its syntax is:|||Here, for every value in the collection, the for loop is executed and the value is assigned to the variable.|||Output|||In the above program, we have declared and initialized an int array named num_array. It has 10 items.|||Here, we have used a range-based for loop to access all the items in the array.|||If the condition in a for loop is always true, it runs forever (until memory is full). For example,|||In the above program, the condition is always true which will then run the code for infinite times.|||Check out these examples to learn more:|||In the next tutorial, we will learn about while and do...while loop.","for loop$$$while loop$$$do...while loop$$$initialization - initializes variables and is executed only once$$$condition - if true, the body of for loop is executedif false, the for loop is terminated$$$update - updates the value of initialized variables and again checks the condition$$$int i = 1: initializes the i variable$$$i <= num: runs the loop as long as i is less than or equal to num$$$++i: increases the i variable by 1 in each iteration$$$C++ Program to Calculate Sum of Natural Numbers$$$C++ Program to Find Factorial$$$C++ Program to Generate Multiplication Table$$$Introduction$$$C++ for loop$$$Printing Numbers From 1 to 5$$$Display a text 5 times$$$Find the sum of first n Natural Numbers$$$Ranged Based for Loop$$$C++ Infinite for loop",,Iteration|||Variable|||i <= 5|||Action$$$1st|||i = 1|||true|||1 is printed. i is increased to 2.$$$2nd|||i = 2|||true|||2 is printed. i is increased to 3.$$$3rd|||i = 3|||true|||3 is printed. i is increased to 4.$$$4th|||i = 4|||true|||4 is printed. i is increased to 5.$$$5th|||i = 5|||true|||5 is printed. i is increased to 6.$$$6th|||i = 6|||false|||The loop is terminated$$$Iteration|||Variable|||i <= 5|||Action$$$1st|||i = 1|||true|||Hello World! is printed and i is increased to 2.$$$2nd|||i = 2|||true|||Hello World! is printed and i is increased to 3.$$$3rd|||i = 3|||true|||Hello World! is printed and i is increased to 4.$$$4th|||i = 4|||true|||Hello World! is printed and i is increased to 5.$$$5th|||i = 5|||true|||Hello World! is printed and i is increased to 6.$$$6th|||i = 6|||false|||The loop is terminated
https://www.programiz.com/cpp-programming/do-while-loop,C++ while and do...while Loop (With Examples),C++ while Loop$$$C++ do...while Loop$$$Infinite while loop$$$for vs while loops$$$Flowchart of while Loop$$$Example 1: Display Numbers from 1 to 5$$$Example 2: Sum of Positive Numbers Only$$$Flowchart of do...while Loop$$$Example 3: Display Numbers from 1 to 5$$$Example 4: Sum of Positive Numbers Only$$$Table of Contents,,"In this tutorial, we will learn the use of while and do...while loops in C++ programming with the help of some examples.|||In computer programming, loops are used to repeat a block of code.|||For example, let's say we want to show a message 100 times. Then instead of writing the print statement 100 times, we can use a loop.|||That was just a simple example; we can achieve much more efficiency and sophistication in our programs by making effective use of loops.|||There are 3 types of loops in C++.|||In the previous tutorial, we learned about the C++ for loop. Here, we are going to learn about while and do...while loops.|||The syntax of the while loop is:|||Here,|||To learn more about the conditions, visit C++ Relational and Logical Operators.|||Output|||Here is how the program works.|||Output|||In this program, the user is prompted to enter a number, which is stored in the variable number.|||In order to store the sum of the numbers, we declare a variable sum and initialize it to the value of 0.|||The while loop continues until the user enters a negative number. During each iteration, the number entered by the user is added to the sum variable.|||When the user enters a negative number, the loop terminates. Finally, the total sum is displayed.||||||The do...while loop is a variant of the while loop with one important difference: the body of do...while loop is executed once before the condition is checked.|||Its syntax is:|||Here,|||Output|||Here is how the program works.|||Output 1|||Here, the do...while loop continues until the user enters a negative number. When the number is negative, the loop terminates; the negative number is not added to the sum variable.|||Output 2|||The body of the do...while loop runs only once if the user enters a negative number.|||If the condition of a loop is always true, the loop runs for infinite times (until the memory is full). For example,|||Here is an example of an infinite do...while loop.|||In the above programs, the condition is always true. Hence, the loop body will run for infinite times.|||A for loop is usually used when the number of iterations is known. For example,|||Here, we know that the for-loop will be executed 5 times.|||However, while and do...while loops are usually used when the number of iterations is unknown. For example,|||Check out these examples to learn more:","A while loop evaluates the condition$$$If the condition evaluates to true, the code inside the while loop is executed.$$$The condition is evaluated again.$$$This process continues until the condition is false.$$$When the condition evaluates to false, the loop terminates.$$$The body of the loop is executed at first. Then the condition is evaluated.$$$If the condition evaluates to true, the body of the loop inside the do statement is executed again.$$$The condition is evaluated once again.$$$If the condition evaluates to true, the body of the loop inside the do statement is executed again.$$$This process continues until the condition evaluates to false. Then the loop stops.$$$C++ Program to Display Fibonacci Series$$$C++ Program to Find GCD$$$C++ Program to Find LCM$$$Introduction$$$C++ while Loop$$$Example: Display Numbers from 1 to 5$$$Example: Sum of Positive Numbers Only$$$C++ do...while Loop$$$Example: Display Numbers from 1 to 5$$$Example: Sum of Positive Numbers Only$$$Infinite while loop$$$for vs while loops",for loop$$$while loop$$$do...while loop,Iteration|||Variable|||i <= 5|||Action$$$1st|||i = 1|||true|||1 is printed and i is increased to 2.$$$2nd|||i = 2|||true|||2 is printed and i is increased to 3.$$$3rd|||i = 3|||true|||3 is printed and i is increased to 4$$$4th|||i = 4|||true|||4 is printed and i is increased to 5.$$$5th|||i = 5|||true|||5 is printed and i is increased to 6.$$$6th|||i = 6|||false|||The loop is terminated$$$Iteration|||Variable|||i <= 5|||Action$$$ |||i = 1|||not checked|||1 is printed and i is increased to 2$$$1st|||i = 2|||true|||2 is printed and i is increased to 3$$$2nd|||i = 3|||true|||3 is printed and i is increased to 4$$$3rd|||i = 4|||true|||4 is printed and i is increased to 5$$$4th|||i = 5|||true|||5 is printed and i is increased to 6$$$5th|||i = 6|||false|||The loop is terminated
