Links,Main Heading,Chapter Headings,Description,Contents,Unordered Lists,Ordered Lists,Table Data
https://www.programiz.com/java-programming,Learn Java Programming,About Java Programming$$$Why Learn Java?$$$How to learn Java?$$$Java Resources,"Java is a powerful general-purpose programming language. It is used to develop desktop and mobile applications, big data processing, embedded systems, and so on. According to Oracle, the company that owns Java, Java runs on 3 billion devices worldwide, which makes Java one of the most popular programming languages. Our Java tutorial will guide you to learn Java one step at a time.",,"Platform independent - We can write Java code in one platform (operating system) and run on another platform without any modification.$$$Object-oriented - Java is an object-oriented language. This helps to make our Java code more flexible and reusable.$$$Speed - Well optimized Java code is nearly as fast as lower-level languages like C++ and much faster than Python, PHP, etc.$$$Java is a platform-independent language. We can write Java code in one platform and run it in another platform$$$Java is a general-purpose language with a wide range of applications. It's used for developing mobile and desktop applications, big data processing, embedded systems, and so on.$$$Java is an object-oriented programming language. It helps in code reusability.$$$Java tutorial from Programiz - We provide step-by-step Java tutorials and examples. Get started with Java.$$$Official Java tutorial - Java documentation is one of the best programming language documentation. Visit the official Java tutorial.$$$Write a lot of Java code- The only way you can learn programming is by writing a lot of code.$$$What is Java?$$$Java Online Compiler$$$Java Examples$$$Java Library Functions",,
https://www.programiz.com/java-programming/hello-world,Java Hello World - Your First Java Program,"Java ""Hello, World!"" Program$$$How Java ""Hello, World!"" Program Works?$$$Things to take away$$$Table of Contents",,"In this tutorial, you will learn to write ""Hello World"" program in Java.|||A ""Hello, World!"" is a simple program that outputs Hello, World! on the screen. Since it's a very simple program, it's often used to introduce a new programming language to a newbie.|||Let's explore how Java ""Hello, World!"" program works.|||Note: You can use our online Java compiler to run Java programs.|||Output|||The code above is a print statement. It prints the text Hello, World! to standard output (your screen). The text inside the quotation marks is called String in Java.||||||Notice the print statement is inside the main function, which is inside the class definition.|||This is a valid Java program that does nothing.|||Don't worry if you don't understand the meaning of class, static, methods, and so on for now. We will discuss it in detail in later chapters.","Every valid Java Application must have a class definition that matches the filename (class name and file name should be same).$$$The main method must be inside the class definition.$$$The compiler executes the codes starting from the main function.$$$What is ""Hello World"" program?$$$Java ""Hello, World!"" Program$$$How Java ""Hello, World!"" Program Works?$$$Things to take away","// Your First ProgramIn Java, any line starting with // is a comment. Comments are intended for users reading the code to understand the intent and functionality of the program. It is completely ignored by the Java compiler (an application that translates Java program to Java bytecode that computer can execute). To learn more, visit Java comments.$$$class HelloWorld { ... }In Java, every application begins with a class definition. In the program, HelloWorld is the name of the class, and the class definition is:class HelloWorld {... .. ...}For now, just remember that every Java application has a class definition, and the name of the class should match the filename in Java.$$$public static void main(String[] args) { ... }This is the main method. Every application in Java must contain the main method. The Java compiler starts executing the code from the main method.How does it work? Good question. However, we will not discuss it in this article. After all, it's a basic program to introduce Java programming language to a newbie. We will learn the meaning of public, static, void, and how methods work? in later chapters.For now, just remember that the main function is the entry point of your Java application, and it's mandatory in a Java program. The signature of the main method in Java is:public static void main(String[] args) {... .. ...}$$$System.out.println(""Hello, World!""); The code above is a print statement. It prints the text Hello, World! to standard output (your screen). The text inside the quotation marks is called String in Java.Notice the print statement is inside the main function, which is inside the class definition.",
https://www.programiz.com/java-programming/jvm-jre-jdk,"Java JDK, JRE and JVM","What is JVM?$$$What is JRE?$$$What is JDK?$$$Relationship between JVM, JRE, and JDK.$$$Table of Contents",,"In this tutorial, you will learn about JDK, JRE, and JVM. You will also learn the key differences between them.|||JVM (Java Virtual Machine) is an abstract machine that enables your computer to run a Java program.|||When you run the Java program, Java compiler first compiles your Java code to bytecode. Then, the JVM translates bytecode into native machine code (set of instructions that a computer's CPU executes directly).|||Java is a platform-independent language. It's because when you write Java code, it's ultimately written for JVM but not your physical machine (computer). Since JVM ​executes the Java bytecode which is platform-independent, Java is platform-independent.|||If you are interested in learning about JVM Architecture, visit The JVM Architecture Explained.|||JRE (Java Runtime Environment) is a software package that provides Java class libraries, Java Virtual Machine (JVM), and other components that are required to run Java applications.||||||JRE is the superset of JVM.|||If you need to run Java programs, but not develop them, JRE is what you need. You can download JRE from Java SE Runtime Environment 8 Downloads page.|||JDK (Java Development Kit) is a software development kit required to develop applications in Java. When you download JDK, JRE is also downloaded with it.|||In addition to JRE, JDK also contains a number of development tools (compilers, JavaDoc, Java Debugger, etc).|||If you want to develop Java applications, download JDK.",What is JVM?$$$What is JRE?$$$What is JDK?,,
https://www.programiz.com/java-programming/variables-literals,Java Variables and Literals (With Examples),Java Variables$$$Rules for Naming Variables in Java$$$Java literals$$$Create Variables in Java$$$Change values of variables$$$1. Boolean Literals$$$2. Integer Literals$$$3. Floating-point Literals$$$4. Character Literals$$$5. String literals$$$Table of Contents,,"In this tutorial, we will learn about Java variables and literals with the help of examples.|||A variable is a location in memory (storage area) to hold data.|||To indicate the storage area, each variable should be given a unique name (identifier). Learn more about Java identifiers.|||Here's how we create a variable in Java,|||Here, speedLimit is a variable of int data type and we have assigned value 80 to it.|||The int data type suggests that the variable can only hold integers. To learn more, visit Java data types.|||In the example, we have assigned value to the variable during declaration. However, it's not mandatory.|||You can declare variables and assign variables separately. For example,|||Note: Java is a statically-typed language. It means that all variables must be declared before they can be used.|||The value of a variable can be changed in the program, hence the name variable. For example,|||Here, initially, the value of speedLimit is 80. Later, we changed it to 90.|||However, we cannot change the data type of a variable in Java within the same scope.|||What is the variable scope?|||Don't worry about it for now. Just remember that we can't do something like this:|||To learn more, visit: Can I change declaration type for a variable in Java?|||Java programming language has its own set of rules and conventions for naming variables. Here's what you need to know:|||There are 4 types of variables in Java programming language:||||||If you are interested to learn more about it now, visit Java Variable Types.|||Literals are data used for representing fixed values. They can be used directly in the code. For example,|||Here, 1, 2.5, and 'F' are literals.|||Here are different types of literals in Java.|||In Java, boolean literals are used to initialize boolean data types. They can store two values: true and false. For example,|||Here, false and true are two boolean literals.|||An integer literal is a numeric value(associated with numbers) without any fractional or exponential part. There are 4 types of integer literals in Java:|||For example:|||In Java, binary starts with 0b, octal starts with 0, and hexadecimal starts with 0x.|||Note: Integer literals are used to initialize variables of integer types like byte, short, int, and long.|||A floating-point literal is a numeric literal that has either a fractional form or an exponential form. For example,|||Note: The floating-point literals are used to initialize float and double type variables.|||Character literals are unicode character enclosed inside single quotes. For example,|||Here, a is the character literal.|||We can also use escape sequences as character literals. For example, \b (backspace), \t (tab), \n (new line), etc.|||A string literal is a sequence of characters enclosed inside double-quotes. For example,|||Here, Java Programming and Programiz are two string literals.","Java is case sensitive. Hence, age and AGE are two different variables. For example, int age = 24;int AGE = 25;System.out.println(age);  // prints 24System.out.println(AGE);  // prints 25$$$Variables must start with either a letter or an underscore, _ or a dollar, $ sign. For example, int age;  // valid name and good practiceint _age;  // valid but bad practiceint $age;  // valid but bad practice$$$Variable names cannot start with numbers. For example, int 1age;  // invalid variables$$$Variable names can't use whitespace. For example, int my age;  // invalid variablesHere, is we need to use variable names having more than one word, use all lowercase letters for the first word and capitalize the first letter of each subsequent word. For example, myAge.$$$When creating variables, choose a name that makes sense. For example, score, number, level makes more sense than variable names such as s, n, and l.$$$If you choose one-word variable names, use all lowercase letters. For example, it's better to use speed rather than SPEED, or sPEED.$$$Instance Variables (Non-Static Fields)$$$Class Variables (Static Fields)$$$Local Variables$$$Parameters$$$Java Variables$$$Create Variables in Java$$$Rules for Naming Variables in Java$$$Java literals$$$Boolean Literals$$$Integer Literals$$$Floating-point Literals$$$Character Literals$$$String literals",binary (base 2)$$$decimal (base 10)$$$octal (base 8)$$$hexadecimal (base 16),
https://www.programiz.com/java-programming/variables-primitive-data-types,Java Data Types (Primitive Types),Java Data Types$$$8 Primitive Data Types$$$1. boolean type$$$Example 1: Java boolean data type$$$2. byte type$$$Example 2: Java byte data type$$$3. short type$$$Example 3: Java short data type$$$4. int type$$$Example 4: Java int data type$$$5. long type$$$Example 5: Java long data type$$$6. double type$$$Example 6: Java double data type$$$7. float type$$$Example 7: Java float data type$$$8. char type$$$Example 8: Java char data type$$$String type$$$Table of Contents,,"In this tutorial, we will learn about all 8 primitive data types in Java with the help of examples.|||As the name suggests, data types specify the type of data that can be stored inside variables in Java.|||Java is a statically-typed language. This means that all variables must be declared before they can be used.|||Here, speed is a variable, and the data type of the variable is int.|||The int data type determines that the speed variable can only contain integers.|||There are 8 data types predefined in Java, known as primitive data types.|||Note: In addition to primitive data types, there are also referenced types (object type).|||Notice, the use of L at the end of -42332200000. This represents that it's an integer of the long type.||||||Notice that we have used -42.3f instead of -42.3in the above program. It's because -42.3 is a double literal.|||To tell the compiler to treat -42.3 as float rather than double, you need to use f or F.|||If you want to know about single-precision and double-precision, visit Java single-precision and double-precision floating-point.|||Here, the Unicode value of Q is \u0051. Hence, we get Q as the output.|||Here is another example:|||Here, we have assigned 9 as a character (specified by single quotes) to the letter1 variable. However, the letter2 variable is assigned 65 as an integer number (no single quotes).|||Hence, A is printed to the output. It is because Java treats characters as an integer and the ASCII value of A is 65. To learn more about ASCII, visit What is ASCII Code?.|||Java also provides support for character strings via java.lang.String class. Strings in Java are not primitive types. Instead, they are objects. For example,|||Here, myString is an object of the String class. To learn more, visit Java Strings.","The boolean data type has two possible values, either true or false.$$$Default value: false.$$$They are usually used for true/false conditions.$$$The byte data type can have values from -128 to 127 (8-bit signed two's complement integer).$$$If it's certain that the value of a variable will be within -128 to 127, then it is used instead of int to save memory.$$$Default value: 0$$$The short data type in Java can have values from -32768 to 32767 (16-bit signed two's complement integer).$$$If it's certain that the value of a variable will be within -32768 and 32767, then it is used instead of other integer data types (int, long).$$$Default value: 0$$$The int data type can have values from -231 to 231-1 (32-bit signed two's complement integer).$$$If you are using Java 8 or later, you can use an unsigned 32-bit integer. This will have a minimum value of 0 and a maximum value of 232-1. To learn more, visit How to use the unsigned integer in java 8?$$$Default value: 0$$$The long data type can have values from -263 to 263-1 (64-bit signed two's complement integer).$$$If you are using Java 8 or later, you can use an unsigned 64-bit integer with a minimum value of 0 and a maximum value of 264-1.$$$Default value: 0$$$The double data type is a double-precision 64-bit floating-point.$$$It should never be used for precise values such as currency.$$$Default value: 0.0 (0.0d)$$$The float data type is a single-precision 32-bit floating-point. Learn more about single-precision and double-precision floating-point if you are interested.$$$It should never be used for precise values such as currency.$$$Default value: 0.0 (0.0f)$$$It's a 16-bit Unicode character.$$$The minimum value of the char data type is '\u0000' (0) and the maximum value of the is '\uffff'.$$$Default value: '\u0000'$$$Java Data Types$$$boolean type$$$byte type$$$short type$$$int type$$$long type$$$double type$$$float type$$$char type",,
https://www.programiz.com/java-programming/operators,"Java Operators: Arithmetic, Relational, Logical and more",1. Java Arithmetic Operators$$$2. Java Assignment Operators$$$3. Java Relational Operators$$$4. Java Logical Operators$$$5. Java Unary Operators$$$Increment and Decrement Operators$$$6. Java Bitwise Operators$$$Other operators$$$Example 1: Arithmetic Operators$$$Example 2: Assignment Operators$$$Example 3: Relational Operators$$$Example 4: Logical Operators$$$Example 5: Increment and Decrement Operators$$$Java instanceof Operator$$$Java Ternary Operator$$$Table of Contents,,"In this tutorial, you'll learn about different types of operators in Java, their syntax and how to use them with the help of examples.|||Operators are symbols that perform operations on variables and values. For example, + is an operator used for addition, while * is also an operator used for multiplication.|||Operators in Java can be classified into 5 types:|||Arithmetic operators are used to perform arithmetic operations on variables and data. For example,|||Here, the + operator is used to add two variables a and b. Similarly, there are various other arithmetic operators in Java.|||Output|||In the above example, we have used +, -, and * operators to compute addition, subtraction, and multiplication operations.|||/ Division Operator|||Note the operation, a / b in our program. The / operator is the division operator.|||If we use the division operator with two integers, then the resulting quotient will also be an integer. And, if one of the operands is a floating-point number, we will get the result will also be in floating-point.|||% Modulo Operator|||The modulo operator % computes the remainder. When a = 7 is divided by b = 4, the remainder is 3.|||Note: The % operator is mainly used with integers.|||Assignment operators are used in Java to assign values to variables. For example,|||Here, = is the assignment operator. It assigns the value on its right to the variable on its left. That is, 5 is assigned to the variable age.|||Let's see some more assignment operators available in Java.|||Output|||Relational operators are used to check the relationship between two operands. For example,|||Here, < operator is the relational operator. It checks if a is less than b or not.|||It returns either true or false.|||Note: Relational operators are used in decision making and loops.|||Logical operators are used to check whether an expression is true or false. They are used in decision making.||||||Working of Program|||Unary operators are used with only one operand. For example, ++ is a unary operator that increases the value of a variable by 1. That is, ++5 will return 6.|||Different types of unary operators are:|||Java also provides increment and decrement operators: ++ and -- respectively. ++ increases the value of the operand by 1, while -- decrease it by 1. For example,|||Here, the value of num gets increased to 6 from its initial value of 5.|||Output|||In the above program, we have used the ++ and -- operator as prefixes (++a, --b). We can also use these operators as postfix (a++, b++).|||There is a slight difference when these operators are used as prefix versus when they are used as a postfix.|||To learn more about these operators, visit increment and decrement operators.|||Bitwise operators in Java are used to perform operations on individual bits. For example,|||Here, ~ is a bitwise operator. It inverts the value of each bit (0 to 1 and 1 to 0).|||The various bitwise operators present in Java are:|||These operators are not generally used in Java. To learn more, visit Java Bitwise and Bit Shift Operators.|||Besides these operators, there are other additional operators in Java.|||The instanceof operator checks whether an object is an instanceof a particular class. For example,|||Output|||Here, str is an instance of the String class. Hence, the instanceof operator returns true. To learn more, visit Java instanceof.|||The ternary operator (conditional operator) is shorthand for the if-then-else statement. For example,|||Here's how it works.|||Let's see an example of a ternary operator.|||Output|||In the above example, we have used the ternary operator to check if the year is a leap year or not. To learn more, visit the Java ternary operator.|||Now that you know about Java operators, it's time to know about the order in which operators are evaluated. To learn more, visit Java Operator Precedence.","(5 > 3) && (8 > 5) returns true because both (5 > 3) and (8 > 5) are true.$$$(5 > 3) && (8 < 5) returns false because the expression (8 < 5) is false.$$$(5 < 3) || (8 > 5) returns true because the expression (8 > 5) is true.$$$(5 > 3) && (8 > 5) returns true because the expression (5 > 3) is true.$$$(5 > 3) && (8 > 5) returns false because both (5 < 3) and (8 < 5) are false.$$$!(5 == 3) returns true because 5 == 3 is false.$$$!(5 > 3) returns false because 5 > 3 is true.$$$If the Expression is true, expression1 is assigned to the variable.$$$If the Expression is false, expression2 is assigned to the variable.$$$Introduction$$$Java Arithmetic Operators$$$Java Assignment Operators$$$Java Relational Operators$$$Java Logical Operators$$$Java Unary Operators$$$Increment and Decrement Operators$$$Java Bitwise Operators$$$Java instanceof Operator$$$Java Ternary Operator",Arithmetic Operators$$$Assignment Operators$$$Relational Operators$$$Logical Operators$$$Unary Operators$$$Bitwise Operators,Operator|||Operation$$$+|||Addition$$$-|||Subtraction$$$*|||Multiplication$$$/|||Division$$$%|||Modulo Operation (Remainder after division)$$$Operator|||Example|||Equivalent to$$$=|||a = b;|||a = b;$$$+=|||a += b;|||a = a + b;$$$-=|||a -= b;|||a = a - b;$$$*=|||a *= b;|||a = a * b;$$$/=|||a /= b;|||a = a / b;$$$%=|||a %= b;|||a = a % b;$$$Operator|||Description|||Example$$$==|||Is Equal To|||3 == 5 returns false$$$!=|||Not Equal To|||3 != 5 returns true$$$>|||Greater Than|||3 > 5 returns false$$$<|||Less Than|||3 < 5 returns true$$$>=|||Greater Than or Equal To|||3 >= 5 returns false$$$<=|||Less Than or Equal To|||3 <= 5 returns true$$$Operator|||Example|||Meaning$$$&& (Logical AND)|||expression1 && expression2|||true only if both expression1 and expression2 are true$$$|| (Logical OR)|||expression1 || expression2|||true if either expression1 or expression2 is true$$$! (Logical NOT)|||!expression|||true if expression is false and vice versa$$$Operator|||Meaning$$$+|||Unary plus: not necessary to use since numbers are positive without using it$$$-|||Unary minus: inverts the sign of an expression$$$++|||Increment operator: increments value by 1$$$--|||Decrement operator: decrements value by 1$$$!|||Logical complement operator: inverts the value of a boolean$$$Operator|||Description$$$~|||Bitwise Complement$$$<<|||Left Shift$$$>>|||Right Shift$$$>>>|||Unsigned Right Shift$$$&|||Bitwise AND$$$^|||Bitwise exclusive OR
https://www.programiz.com/java-programming/basic-input-output,Java Basic Input and Output,"Java Output$$$Java Input$$$Difference between println(), print() and printf()$$$Example: print() and println()$$$Example: Printing Variables and Literals$$$Example: Print Concatenated Strings$$$Example: Get Integer Input From the User$$$Example: Get float, double and String Input$$$Table of Contents",,"In this tutorial, you will learn simple ways to display output to users and take input from users in Java.|||In Java, you can simply use|||to send output to standard output (screen).|||Here,|||Don't worry if you don't understand it. We will discuss class, public, and static in later chapters.|||Let's take an example to output a line.|||Output:|||Here, we have used the println() method to display the string.|||Output:|||In the above example, we have shown the working of the print() and println() methods. To learn about the printf() method, visit Java printf().|||When you run the program, the output will be:|||Here, you can see that we have not used the quotation marks. It is because to display integers, variables and so on, we don't use quotation marks.|||Output:|||In the above example, notice the line,||||||Here, we have used the + operator to concatenate (join) the two strings: ""I am "" and ""awesome."".|||And also, the line,|||Here, first the value of variable number is evaluated. Then, the value is concatenated to the string: ""Number = "".|||Java provides different ways to get input from the user. However, in this tutorial, you will learn to get input from user using the object of Scanner class.|||In order to use the object of Scanner, we need to import java.util.Scanner package.|||To learn more about importing packages in Java, visit Java Import Packages.|||Then, we need to create an object of the Scanner class. We can use the object to take input from the user.|||Output:|||In the above example, we have created an object named input of the Scanner class. We then call the nextInt() method of the Scanner class to get an integer input from the user.|||Similarly, we can use nextLong(), nextFloat(), nextDouble(), and next() methods to get long, float, double, and string input respectively from the user.|||Note: We have used the close() method to close the object. It is recommended to close the scanner object once the input is taken.|||Output:|||As mentioned, there are other several ways to get input from the user. To learn more about Scanner, visit Java Scanner.","System is a class$$$out is a public static field: it accepts output data.$$$print() - It prints string inside the quotes.$$$println() - It prints string inside the quotes similar like print() method. Then the cursor moves to the beginning of the next line.$$$printf() - It provides string formatting (similar to printf in C/C++ programming).$$$Java Output$$$Difference between println(), print() and printf()$$$Printing Variables and Literals$$$Print Concatenated Strings$$$Java Input$$$Get Integer Input From the User$$$Get float, double and String Input",,
https://www.programiz.com/java-programming/expressions-statements-blocks,"Java Expressions, Statements and Blocks",Java Expressions$$$Java Statements$$$Java Blocks$$$Expression statements$$$Declaration Statements$$$Table of Contents,,"In this tutorial, you will learn about Java expressions, Java statements, difference between expression and statement, and Java blocks with the help of examples.|||In previous chapters, we have used expressions, statements, and blocks without much explaining about them. Now that you know about variables, operators, and literals, it will be easier to understand these concepts.|||A Java expression consists of variables, operators, literals, and method calls. To know more about method calls, visit Java methods. For example,|||Here, score = 90 is an expression that returns an int. Consider another example,|||Here, a + b - 3.4 is an expression.|||Here, number1 == number2 is an expression that returns a boolean value. Similarly, ""Number 1 is larger than number 2"" is a string expression.|||In Java, each statement is a complete unit of execution. For example,|||Here, we have a statement. The complete execution of this statement involves multiplying integers 9 and 5 and then assigning the result to the variable score.|||In the above statement, we have an expression 9 * 5. In Java, expressions are part of statements.|||We can convert an expression into a statement by terminating the expression with a ;. These are known as expression statements. For example,|||In the above example, we have an expression number = 10. Here, by adding a semicolon (;), we have converted the expression into a statement (number = 10;).|||Consider another example,||||||Similarly, ++number is an expression whereas ++number; is a statement.|||In Java, declaration statements are used for declaring variables. For example,|||The statement above declares a variable tax which is initialized to 9.5.|||Note: There are control flow statements that are used in decision making and looping in Java. You will learn about control flow statements in later chapters.|||A block is a group of statements (zero or more) that is enclosed in curly braces { }. For example,|||Output:|||In the above example, we have a block if {....}.|||Here, inside the block we have two statements:|||However, a block may not have any statements. Consider the following examples,|||This is a valid Java program. Here, we have a block if {...}. However, there is no any statement inside this block.|||Here, we have block public static void main() {...}. However, similar to the above example, this block does not have any statement.","System.out.print(""Hey "");$$$System.out.print(""Jude!"");$$$Java Expressions$$$Java Statements$$$Expression statements$$$Declaration Statements$$$Java Blocks",,
https://www.programiz.com/java-programming/comments,Java Comments: Why and How to Use them?,Types of Comments in Java$$$Use Comments the Right Way$$$Single-line Comment$$$Multi-line Comment$$$Table of Contents,,"In this tutorial, you will learn about Java comments, why we use them, and how to use comments in right way.|||In computer programming, comments are a portion of the program that are completely ignored by Java compilers. They are mainly used to help programmers to understand the code. For example,|||Here, we have used the following comments,|||In Java, there are two types of comments:|||A single-line comment starts and ends in the same line. To write a single-line comment, we can use the // symbol. For example,|||Output:|||Here, we have used two single-line comments:|||The Java compiler ignores everything from // to the end of line. Hence, it is also known as End of Line comment.||||||When we want to write comments in multiple lines, we can use the multi-line comment. To write multi-line comments, we can use the /*....*/ symbol. For example,|||Output:|||Here, we have used the multi-line comment:|||This type of comment is also known as Traditional Comment. In this type of comment, the Java compiler ignores everything from /* to */.|||One thing you should always consider that comments shouldn't be the substitute for a way to explain poorly written code in English. You should always write well structured and self explaining code. And, then use comments.|||Some believe that code should be self-describing and comments should be rarely used. However, in my personal opinion, there is nothing wrong with using comments. We can use comments to explain complex algorithms, regex or scenarios where we have to choose one technique among different technique to solve problems.|||Note: In most cases, always use comments to explain 'why' rather than 'how' and you are good to go.","declare and initialize two variables$$$print the output$$$single-line comment$$$multi-line comment$$$""Hello, World!"" program example$$$prints ""Hello World!""$$$What is Comment?$$$Single-line Comment$$$Multi-line Comment$$$Use Comments the Right Way",,
https://www.programiz.com/java-programming/if-else-statement,Java if...else (With Examples),1. Java if (if-then) Statement$$$2. Java if...else (if-then-else) Statement$$$3. Java if...else...if Statement$$$4. Java Nested if..else Statement$$$Working of if Statement$$$Example 1: Java if Statement$$$Example 2: Java if with String$$$How the if...else statement works?$$$Example 3: Java if...else Statement$$$How the if...else...if ladder works?$$$Example 4: Java if...else...if Statement$$$Example 5: Nested if...else Statement$$$Table of Contents,,"In this tutorial, you will learn about control flow statements using Java if and if...else statements with the help of examples.|||In programming, we use the if..else statement to run a block of code among more than one alternatives.|||For example, assigning grades (A, B, C) based on the percentage obtained by a student.|||The syntax of an if-then statement is:|||Here, condition is a boolean expression such as age >= 18.|||Output|||In the program, number < 0 is false. Hence, the code inside the parenthesis is skipped.|||Note: If you want to learn more about about test conditions, visit Java Relational Operators and Java Logical Operators.|||We can also use Java Strings as the test condition.|||Output|||In the above example, we are comparing two strings in the if block.|||The if statement executes a certain section of code if the test expression is evaluated to true. However, if the test expression is evaluated to false, it does nothing.|||In this case, we can use an optional else block. Statements inside the body of else block are executed if the test expression is evaluated to false. This is known as the if-...else statement in Java.|||The syntax of the if...else statement is:|||Here, the program will do one task (codes inside if block) if the condition is true and another task (codes inside else block) if the condition is false.|||Output|||In the above example, we have a variable named number. Here, the test expression number > 0 checks if number is greater than 0.|||Since the value of the number is 10, the test expression evaluates to true. Hence code inside the body of if is executed.||||||Now, change the value of the number to a negative integer. Let's say -5.|||If we run the program with the new value of number, the output will be:|||Here, the value of number is -5. So the test expression evaluates to false. Hence code inside the body of else is executed.|||In Java, we have an if...else...if ladder, that can be used to execute one block of code among multiple other blocks.|||Here, if statements are executed from the top towards the bottom. When the test condition is true, codes inside the body of that if block is executed. And, program control jumps outside the if...else...if ladder.|||If all test expressions are false, codes inside the body of else are executed.|||Output|||In the above example, we are checking whether number is positive, negative, or zero. Here, we have two condition expressions:|||Here, the value of number is 0. So both the conditions evaluate to false. Hence the statement inside the body of else is executed.|||Note: Java provides a special operator called ternary operator, which is a kind of shorthand notation of if...else...if statement. To learn about the ternary operator, visit Java Ternary Operator.|||In Java, it is also possible to use if..else statements inside an if...else statement. It's called the nested if...else statement.|||Here's a program to find the largest of 3 numbers using the nested if...else statement.|||Output:|||In the above programs, we have assigned the value of variables ourselves to make this easier.|||However, in real-world applications, these values may come from user input data, log files, form submission, etc.","if the percentage is above 90, assign grade A$$$if the percentage is above 75, assign grade B$$$if the percentage is above 65, assign grade C$$$if condition evaluates to true, statements are executed$$$if condition evaluates to false, statements are skipped$$$number > 0 - checks if number is greater than 0$$$number < 0 - checks if number is less than 0$$$Introduction$$$Java if (if-then) Statement$$$Example: Java if Statement$$$Java if...else (if-then-else) Statement$$$Example: Java if else Statement$$$Java if..else..if Statement$$$Example: Java if..else..if Statement$$$Java Nested if..else Statement",,
