Links,Main Heading,Chapter Headings,Description,Contents,Unordered Lists,Ordered Lists,Table Data
https://www.programiz.com/kotlin-programming,Learn Kotlin Programming,About Kotlin Programming$$$Why Learn Kotlin?$$$How to learn Kotlin?$$$Kotlin Resources,"Kotlin is a relatively new programming language developed by JetBrains for modern multiplatform applications. Nowadays, Kotlin is widely used for Android development instead of Java. It is because Kotlin is safe, concise, and fun to read and write. Our Kotlin tutorial will guide you to learn Kotlin one step at a time.",,"Open Source - The Kotlin compiler, Intellij IDEA plugin, and build tools are all open source.$$$Interoperable - Kotlin is 100 percent interoperable with Java. This means all your current Java/Android code works seamlessly with Kotlin.$$$Concise - Compared to Java, Kotlin code are much more concise. Also, Kotlin code is much more expressive (easier to understand and write).$$$Tool-friendly - Kotlin is developed by JetBrains, the company renowned for creating development tools. You can choose any Java IDE to write Koltin code.$$$Kotlin is 100 percent interoperable with Java. Hence your Java/Android code works with Kotlin.$$$Kotlin allows you to cut off the lines of code by approximately 40% (compared to Java).$$$Learning Kotlin is easy. It is particularly easy if you already know Java.$$$Kotlin is tool-friendly. You can use any Java IDE or command line to run Kotlin.$$$Kotlin tutorial from Programiz - We provide step by step Kotlin tutorials and examples. Get started with Kotlin.$$$Official Kotlin tutorial - Kotlin reference and Kotlin tutorial from the official site is the most reliable source to learn Kotlin.$$$Write a lot of Kotlin code- The only way you can learn programming is by writing a lot of code.$$$What is Kotlin?$$$Kotlin Examples",,
https://www.programiz.com/kotlin-programming/hello-world,Kotlin Hello World - You First Kotlin Program,"Kotlin ""Hello, World!"" Program$$$Comparison With Java ""Hello, World!"" program$$$How this program works?$$$Few Important Notes$$$Table of Contents",,"In this article, you will learn to write Hello World program in Kotlin.|||A ""Hello, World!"" is a simple program that outputs Hello, World! on the screen. Since it's a very simple program, it's often used to introduce a new programming language.|||Before you write the program, make sure your computer can run Kotlin. For that visit: How to Run Kotlin on Your Computer?|||Let's explore how ""Hello, World!"" program works in Kotlin.||||||When you run the program, the output will be:|||As you know, Kotlin is 100% interoperable with Java. Here's an equivalent Java ""Hello, World!"" program.","What is ""Hello, World!"" program?$$$Kotlin ""Hello, World!""$$$How this program works?$$$Comparison with Java Hello World Program$$$Few Important Notes","// Hello World ProgramAny line starting with // is a comment in Kotlin (similar to Java). Comments are ignored by the compiler. They are intended for person reading the code to better understand the intent and functionality of the program. To learn more, visit Kotlin comments.$$$fun main(args : Array<String>) { ... }This is the main function, which is mandatory in every Kotlin application. The Kotlin compiler starts executing the code from the main function.The function takes array of strings as a parameter and returns Unit. You will learn about functions and parameters in later chapters.For now, just remember that main function is a mandatory function which is the entry point of every Kotlin program. The signature of main function is:fun main(args : Array<String>) {    ... .. ...}$$$println(""Hello, World!"")The println() function prints the given message inside the quotation marks and newline to the standard output stream. In this program, it prints Hello, World! and new line.$$$Unlike Java, it is not mandatory to create a class in every Kotlin program. It's because the Kotlin compiler creates the class for us.If you are using IntelliJ IDEA, go to Run > Edit Configurations to view this class. If you named your Kotlin file HelloWorld.kt, the compiler creates HelloWorldKt class.$$$The println() function calls System.out.println() internally.If you are using IntelliJ IDEA, put your mouse cursor next to println and go to Navigate > Declaration ( Shortcut: Ctrl + B . For Mac: Cmd + B), this will open Console.kt (declaration file). You can see that println() function is internally calling System.out.println().",
https://www.programiz.com/kotlin-programming/variable-types,Kotlin Variables and Basic Types,Kotlin Basic Types$$$Kotlin Arrays$$$Kotlin Strings$$$How to declare a variable in Kotlin?$$$Difference Between var and val$$$Number Type$$$Recommended Readings$$$Table of Contents,,"In this tutorial, you will learn about variables, how to create them, and basic data types that Kotlin supports for creating variables.|||As you know, a variable is a location in memory (storage area) to hold data.|||To indicate the storage area, each variable should be given a unique name (identifier). Learn more about How to name a variable in Kotlin?|||To declare a variable in Kotlin, either var or val keyword is used. Here is an example:|||The difference in using var and val is discussed later in the article. For now, let's focus on variable declaration.|||Here, language is a variable of type String, and score is a variable of type Int. You don't have to specify the type of variables; Kotlin implicitly does that for you. The compiler knows this by initializer expression (""French"" is a String, and 95 is an integer value in the above program). This is called type inference in programming.|||However, you can explicitly specify the type if you want to:|||We have initialized variable during declaration in above examples. However, it's not necessary. You can declare variable and specify its type in one statement, and initialize the variable in another statement later in the program.|||Here are few examples that results into error.|||Here, the type of language variable is not explicitly specified, nor the variable is initialized during declaration.|||​​​​Here, we are trying to assign 14 (integer value) to variable of different type (String).|||Here are few examples:|||Here, language variable is reassigned to German. Since, the variable is declared using var, this code work perfectly.|||You cannot reassign language variable to German in the above example because the variable is declared using val.|||Now, you know what Kotlin variables are, it's time to learn different values a Kotlin variable can take.|||Kotlin is a statically typed language like Java. That is, the type of a variable is known during the compile time. For example,|||Here, the compiler knows that language is of type Int, and marks is of type Double before the compile time.|||The built-in types in Kotlin can be categorized as:|||Numbers in Kotlin are similar to Java. There are 6 built-in types representing numbers.|||When you run the program, the output will be:|||When you run the program, the output will be:|||When you run the program, the output will be:|||If you assign an integer between -231 to 231-1 to a variable without explicitly specifying its type, the variable will be of Int type. For example,||||||If you are using IntelliJ IDEA, you can place cursor inside the variable and press Ctrl + Shift + P to see its type.|||When you run the program, the output will be:|||If you assign an integer value greater than 231-1 or less than -231 to a variable (without explicitly specifying its type), the variable will be of Long type. For example,|||Similarly, you can use capital letter L to specify that the variable is of type Long. For example,|||When you run the program, the output will be:|||When you run the program, the output will be:|||Notice that, we have used 19.5F instead of 19.5 in the above program. It is because 19.5 is a Double literal, and you cannot assign Double value to a variable of type Float.|||To tell compiler to treat 19.5 as Float, you need to use F at the end.|||If you are not sure what number value a variable will be assigned in the program, you can specify it as Number type. This allows you to assign both integer and floating-point value to the variable (one at a time). For example:|||When you run the program, the output will be:|||To learn more, visit: Kotlin smart casts|||To represent a character in Kotlin, Char types are used.|||Unlike Java, Char types cannot be treated as numbers. Visit this page to learn more about Java char Type.|||When you run the program, the output will be:|||In Java, you can do something like:|||However, the following code gives error in Kotlin.|||Booleans are used in decision making statements (will be discussed in later chapter).|||An array is a container that holds data (values) of one single type. For example, you can create an array that can hold 100 values of Int type.|||In Kotlin, arrays are represented by the Array class. The class has get and set functions, size property, and a few other useful member functions.|||To learn in detail about arrays, visit: Kotlin Arrays|||In Kotlin, strings are represented by the String class. The string literals such as ""this is a string"" is implemented as an instance of this class.|||To learn in detail about strings, vist: Kotlin Strings","val (Immutable reference) - The variable declared using val keyword cannot be changed once the value is assigned. It is similar to final variable in Java.$$$var (Mutable reference) - The variable declared using var keyword can be changed later in the program. It corresponds to regular Java variable.$$$Numbers$$$Characters$$$Booleans$$$Arrays$$$Byte$$$Short$$$Int$$$Long$$$Float$$$Double$$$The Byte data type can have values from -128 to 127 (8-bit signed two's complement integer).$$$It is used instead of Int or other integer data types to save memory if it's certain that the value of a variable will be within [-128, 127]$$$Example:fun main(args : Array<String>) {    val range: Byte = 112    println(""$range"")    // The code below gives error. Why?    // val range1: Byte = 200}$$$The Short data type can have values from -32768 to 32767 (16-bit signed two's complement integer).$$$It is used instead of other integer data types to save memory if it's certain that the value of the variable will be within [-32768, 32767].$$$Example:$$$The Int data type can have values from -231 to 231-1 (32-bit signed two's complement integer).$$$Example:$$$The Long data type can have values from -263 to 263-1 (64-bit signed two's complement integer).$$$Example:$$$The Double type is a double-precision 64-bit floating point.$$$Example:$$$The Float data type is a single-precision 32-bit floating point. Learn more about single precision and double precision floating point if you are interested.$$$Example:$$$The Boolean data type has two possible values, either true or false.$$$Example:$$$Type conversion in Kotlin$$$Smart casts in Kotlin$$$Kotlin nullable types$$$How to declare a variable in Kotlin?$$$Difference Between var and val$$$Kotlin Basic Types$$$NumbersByteShortIntLongDoubleFloat$$$Char$$$Boolean$$$Byte$$$Short$$$Int$$$Long$$$Double$$$Float",,
https://www.programiz.com/kotlin-programming/operators,"Kotlin Operators: Arithmetic, Assignment Operator and More",1. Arithmetic Operators$$$2. Assignment Operators$$$3. Unary prefix and Increment / Decrement Operators$$$4. Comparison and Equality Operators$$$5. Logical Operators$$$6. in Operator$$$7. Index access Operator$$$8. Invoke Operator$$$Example: Arithmetic Operators$$$Example: Concatenation of Strings$$$How arithmetic operators actually work?$$$Example: Assignment Operators$$$Example: Unary Operators$$$Example: Comparison and Equality Operators$$$Example: Logical Operators$$$Example: in Operator$$$Example: Index access Operator$$$Bitwise Operation$$$Table of Contents,,"Kotlin has a set of operators to perform arithmetic, assignment, comparison operators and more. You will learn to use these operators in this article.|||Operators are special symbols (characters) that carry out operations on operands (variables and values). For example, + is an operator that performs addition.|||In Java variables article, you learned to declare variables and assign values to variables. Now, you will learn to use operators perform various operations on them.|||Here's a list of arithmetic operators in Kotlin:|||When you run the program, the output will be:|||The + operator is also used for the concatenation of String values.|||When you run the program, the output will be:|||Suppose, you are using + arithmetic operator to add two numbers a and b.|||Under the hood, the expression a + b calls a.plus(b) member function. The plus operator is overloaded to work with String values and other basic data types (except Char and Boolean).|||You can also use + operator to work with user-defined types (like objects) by overloading plus() function.|||Recommended Reading: Kotlin Operator Overloading|||Here's a table of arithmetic operators and their corresponding functions:|||Assignment operators are used to assign value to a variable. We have already used simple assignment operator = before.|||Here, 5 is assigned to variable age using = operator.|||Here's a list of all assignment operators and their corresponding functions:|||When you run the program, the output will be:|||Recommended Reading: Overloading assignment operators in Kotlin.|||Here's a table of unary operators, their meaning, and corresponding functions:|||When you run the program, the output will be:|||Recommended Reading: Overloading Unary Operators|||Here's a table of equality and comparison operators, their meaning, and corresponding functions:|||Comparison and equality operators are used in control flow such as if expression, when expression, and loops.||||||When you run the program, the output will be:|||Recommended Reading: Overloading of Comparison and Equality Operators in Kotlin|||There are two logical operators in Kotlin: || and &&|||Here's a table of logical operators, their meaning, and corresponding functions.|||Note that, or and and are functions that support infix notation.|||Logical operators are used in control flow such as if expression, when expression, and loops.|||When you run the program, the output will be:|||Recommended Reading: Overloading of Logical Operators in Kotlin|||The in operator is used to check whether an object belongs to a collection.|||When you run the program, the output will be:|||Recommended Reading: Kotlin in Operator Overloading|||Here are some expressions using index access operator with corresponding functions in Kotlin.|||When you run the program, the output will be:|||Recommended Reading: Kotlin Index access operator Overloading|||Here are some expressions using invoke operator with corresponding functions in Kotlin.|||In Kotlin, parenthesis are translated to call invoke member function.|||Recommended Reading: Invoke Operator Overloading in Kotlin|||Unlike Java, there are no bitwise and bitshift operators in Kotlin. To perform these task, various functions (supporting infix notation) are used:|||Visit this page to learn more about Bitwise Operations in Kotlin.|||Also, there is no ternary operator in Kotlin unlike Java.",shl - Signed shift left$$$shr - Signed shift right$$$ushr - Unsigned shift right$$$and - Bitwise and$$$or - Bitwise or$$$xor - Bitwise xor$$$inv - Bitwise inversion$$$What is an operator?$$$Arithmetic OperatorsExampleHow (arithmetic) operators work under the hood?$$$Assignment OperatorExample$$$Unary prefix and Increment/DecrementExample$$$Comparison and Equality OperatorsExample$$$Logical OperatorsExample$$$in OperatorExample$$$Index Access Operators$$$Invoke Operator$$$Example$$$How (arithmetic) operators work under the hood?$$$Example$$$Example$$$Example$$$Example$$$Example,,"Operator|||Meaning$$$+|||Addition (also used for string concatenation)$$$-|||Subtraction Operator$$$*|||Multiplication Operator$$$/|||Division Operator$$$%|||Modulus Operator$$$Expression|||Function name|||Translates to$$$a + b|||plus|||a.plus(b)$$$a - b|||minus|||a.minus(b)$$$a * b|||times|||a.times(b)$$$a / b|||div|||a.div(b)$$$a % b|||mod|||a.mod(b)$$$Expression|||Equivalent to|||Translates to$$$a +=b|||a = a + b|||a.plusAssign(b)$$$a -= b|||a = a - b|||a.minusAssign(b)$$$a *= b|||a = a * b|||a.timesAssign(b)$$$a /= b|||a = a / b|||a.divAssign(b)$$$a %= b|||a = a % b|||a.modAssign(b)$$$Operator|||Meaning|||Expression|||Translates to$$$+|||Unary plus|||+a|||a.unaryPlus()$$$-|||Unary minus (inverts sign)|||-a|||a.unaryMinus()$$$!|||not (inverts value)|||!a|||a.not()$$$++|||Increment: increases value by1|||++a|||a.inc()$$$--|||Decrement: decreases value by 1|||--a|||a.dec()$$$Operator|||Meaning|||Expression|||Translates to$$$>|||greater than|||a > b|||a.compareTo(b) > 0$$$<|||less than|||a < b|||a.compareTo(b) < 0$$$>=|||greater than or equals to|||a >= b|||a.compareTo(b) >= 0$$$<=|||less than or equals to|||a < = b|||a.compareTo(b) <= 0$$$==|||is equal to|||a == b|||a?.equals(b) ?: (b === null)$$$!=|||not equal to|||a != b|||!(a?.equals(b) ?: (b === null))$$$Operator|||Description|||Expression|||Corresponding Function$$$|||||true if either of the Boolean expression is true|||(a>b)||(a<c)|||(a>b)or(a<c)$$$&&|||true if all Boolean expressions are true|||(a>b)&&(a<c)|||(a>b)and(a<c)$$$Operator|||Expression|||Translates to$$$in|||a in b|||b.contains(a)$$$!in|||a !in b|||!b.contains(a)$$$Expression|||Translated to$$$a[i]|||a.get(i)$$$a[i, n]|||a.get(i, n)$$$a[i1, i2, ..., in]|||a.get(i1, i2, ..., in)$$$a[i] = b|||a.set(i, b)$$$a[i, n] = b|||a.set(i, n, b)$$$a[i1, i2, ..., in] = b|||a.set(i1, i2, ..., in, b)$$$Expression|||Translated to$$$a()|||a.invoke()$$$a(i)|||a.invoke(i)$$$a(i1, i2, ..., in)|||a.inkove(i1, i2, ..., in)$$$a[i] = b|||a.set(i, b)"
https://www.programiz.com/kotlin-programming/type-conversion,Kotlin Type Conversion,Conversion from Larger to Smaller Type$$$Table of Contents,,"In this article, you will learn about type conversion; how to convert a variable of one type to another with the help of example.|||In Kotlin, a numeric value of one type is not automatically converted to another type even when the other type is larger. This is different from how Java handles numeric conversions. For example;|||In Java,|||Here, value of number1 of type int is automatically converted to type long, and assigned to variable number2.|||In Kotlin,|||Though the size of Long is larger than Int, Kotlin doesn't automatically convert Int to Long. |||Instead, you need to use toLong() explicitly (to convert to type Long). Kotlin does it for type safety to avoid surprises.||||||Here's a list of functions in Kotlin used for type conversion:|||Note, there is no conversion for Boolean types.|||The functions mentioned above can be used in both directions (conversion from larger to smaller type and conversion from smaller to larger type).|||However, conversion from larger to smaller type may truncate the value. For example,|||When you run the program, the output will be:|||Also check out these articles related to type conversion:","toByte() $$$toShort()$$$toInt()$$$toLong()$$$toFloat()$$$toDouble()$$$toChar()$$$String to Int, and Int to String Conversion$$$Long to Int, and Int to Long Conversion$$$Double to Int, and Int to Double Conversion$$$Long to Double, and Double to Long Conversion$$$Char to Int, and Int to Char$$$String to Long, and Long to String Conversion$$$String to Array, and Array to String Conversion$$$String to Boolean, and Boolean to String Conversion$$$String to Byte, and Byte to String Conversion$$$Int to Byte, and Byte to Int Conversion$$$Introduction and Comparison With Java$$$List of Conversion Functions in Kotlin$$$Conversion from Larger to Smaller Type",,
https://www.programiz.com/kotlin-programming/statement-expression,"Kotlin Expression, Statements and Blocks",Kotlin Expressions$$$Kotlin Statements$$$Kotlin Blocks$$$Table of Contents,,"In this article, you will learn about Kotlin expressions, Kotlin statements, difference between expression and statement, and Kotlin blocks.|||Expressions consist of variables, operators etc that evaluates to a single value.|||Let's take an example,|||Here, 90 + 25 is an expression that returns Int value.|||In Kotlin, if is an expression unlike Java (In Java, if is a statement). For example,|||Here, if (a > b) a else b is an expression. Then value of the expression is assigned to max variable in the above program. Visit this page to learn more about Kotlin if expression.|||Statements are everything that make up a complete unit of execution. For example,||||||Here, 90 + 25 is an expression that returns 115, and val score = 9*5; is a statement.|||Expressions are part of statements.|||Some examples:|||A block is a group of statements (zero or more) that is enclosed in curly braces { }. For example,|||There are two statements print(""Hey "") and print("" jude!"") inside if branch block.|||Similarly, the main() function also has a block body.",Kotlin Expressions$$$Kotlin Statements$$$Kotlin Blocks,,
https://www.programiz.com/kotlin-programming/comments,Kotlin Comments,Traditional comment /* ... */$$$End of Line Comment //$$$Use Comments the Right Way$$$Table of Contents,,"In this article, you will learn about Kotlin comments, and why and how to use them.|||In programming, comments are portion of the program intended for you and your fellow programmers to understand the code. They are completely ignored by the Kotlin compiler (Kompiler).|||Similar like Java, there are two types of comments in Kotlin|||This is a multiline comment that can span over multiple lines. The Kotlin compiler ignores everything from /* to */. For example,|||The tradition comment is also used for documenting Kotlin code (KDoc) with a little variation. The KDoc comments starts with /** and ends with */.|||The compiler ignores everything from // to the end of the line. For example,||||||The program above contains two end of line comments:|||and|||Comments shouldn't be the substitute for a way to explain poorly written code in English. Write well structured and readable code, and then use comments.|||Some believe that code should be self-documenting and comments should be scarce. However, I have to disagree with it completely (It's my personal opinion). There is nothing wrong with using comments to explain complex algorithms, regex or scenarios where you have chosen one technique over other (for future reference) to solve the problem.|||In most cases, use comments to explain 'why' rather than 'how' and you are good to go.","/* ... */$$$// ....$$$What are comments in programming?$$$Kotlin Traditional comment$$$Kotlin End of Line Comment$$$Use comments, the right way",,
https://www.programiz.com/kotlin-programming/input-output,Kotlin Basic Input/Output (With Examples),Koltin Output$$$Kotlin Input$$$Difference Between println() and print()$$$Example 1: print() and println()$$$Example 2: Print Variables and Literals$$$Example 3: Print String Entered By the User$$$Example 4: Getting Integer Input from the User$$$Table of Contents,,"In this article, you will learn to display output to the screen, and take input from the user in Kotlin.|||You can use println() and print() functions to send output to the standard output (screen). Let's take an example:|||When you run the program, the output will be:|||Here, println() outputs the string (inside quotes).|||When you use println() function, it calls System.out.println() function internally. (System.out.println() is used to print output to the screen in Java).|||If you are using IntelliJ IDEA, put your mouse cursor next to println and go to Navigate > Declaration ( Shortcut: Ctrl + B . For Mac: Cmd + B), this will open Console.kt (declaration file). You can see that println() function is internally calling System.out.println().|||Similarly, when you use print() function, it calls System.out.print() function.|||When you run the program, the output will be:|||When you run the program, the output will be:|||In this section, you will learn to take input from the user..|||To read a line of string in Kotlin, you can use readline() function.||||||When you run the program, the output will be:|||It's possible to take input as a string using readLine() function, and convert it to values of other data type (like Int) explicitly.|||If you want input of other data types, you can use Scanner object.|||For that, you need to import Scanner class from Java standard library using:|||Then, you need to create Scanner object from this class.|||Now, the reader object is used to take input from the user.|||When you run the program, the output will be:|||Here, reader object of Scanner class is created. Then, the nextInt() method is called which takes integer input from the user which is stored in variable integer.|||To get Long, Float, double and Boolean input from the user, you can use nextLong(), nextFloat(), nextDouble() and nextBoolean() methods respectively.",print() - prints string inside the quotes.$$$println() - prints string inside the quotes similar like print() function. Then the cursor moves to the beginning of the next line.$$$Kotlin OutputExample: print() and println()Example: Print variables and literals$$$Kotlin InputExample: Print string entered by the userGetting Integer Input from the User$$$Example: print() and println()$$$Example: Print variables and literals$$$Example: Print string entered by the user$$$Getting Integer Input from the User,,
https://www.programiz.com/kotlin-programming/if-expression,Kotlin if...else Expression (With Examples),Traditional Usage of if...else$$$Kotlin if expression$$$Kotlin if..else..if Ladder$$$Kotlin Nested if Expression$$$Example: Traditional Usage of if...else$$$Example: Kotin if expression$$$Example: if block With Multiple Expressions$$$Example: if...else...if Ladder$$$Example: Nested if Expression$$$Table of Contents,,"In this article, you will learn to use if expression in Kotlin with the help of examples.|||The syntax of if...else is:|||if executes a certain section of code if the testExpression is evaluated to true. It can have optional else clause. Codes inside else clause are executed if the testExpression is false.|||When you run the program, the output will be:|||Unlike Java (and other many programming languages), if can be used an expression in Kotlin; it returns a value. Recommended Reading: Kotlin expression|||Here is an example:|||When you run the program, the output will be:|||The else branch is mandatory when using if as an expression.|||The curly braces are optional if the body of if has only one statement. For example,|||This is similar to ternary operator in Java. Hence, there is no ternary operator in Kotlin.||||||If the block of if branch contains more than one expression, the last expression is returned as the value of the block.|||When you run the program, the output will be:|||Recommended Reading: Kotlin when Statement|||You can return a block of code among many blocks in Kotlin using if..else...if ladder.|||This program checks whether number is positive number, negative number, or zero.|||An if expression can be inside the block of another if expression known as nested if expression.|||This program computes the largest number among three numbers.|||When you run the program, the output will be:",Traditional Usage of if...elseExample$$$Kotlin if expressionExample: if expressionExample: if block with multiple expressions$$$Kotlin if...else..if Ladder$$$Kotlin Nested if Expression$$$Example$$$Example: if expression$$$Example: if block with multiple expressions,,
https://www.programiz.com/kotlin-programming/when-expression,Kotlin when Expression (With Examples),Kotlin when Construct$$$Few possibilities$$$Example: Simple when Expression$$$Table of Contents,,"In this article, you will learn about when construct in Kotlin with the help of various examples.|||The when construct in Kotlin can be thought of as a replacement for Java switch Statement. It evaluates a section of code among many alternatives.|||When you run the program, the output will be something like:|||The program above takes an input string from the user (Recommended Reading: Get String Input from the User in Kotlin). Suppose, the user entered *. In this case, the expression a * b is evaluated, and the value is assigned to variable result.|||If none of the branch conditions are satisfied (user entered anything except +, -, *, or /) , else branch is evaluated.|||In the above example, we used when as an expression. However, it's not mandatory to use when as an expression. For example,|||When you run the program, the output will be something like:|||Here, when is not an expression (return value from when is not assigned to anything). In this case, the else branch is not mandatory.|||Combine two or more branch conditions with a comma. For example,||||||When you run the program, the output will be:|||Check value in the range. For example,|||When you run the program, the output will be:|||Check if a value is of a particular type.|||To check whether a value is of a particular type in runtime, we can use is and !is operator. For example,|||Use expressions as branch condition. For example,|||When you run the program, the output will be:",Kotlin when Expression$$$Example: Simple Example$$$Example: Combine two or more branch conditions$$$Example: Check value in the range$$$Example: Check if a value is of particular type$$$Example: Use expressions as branch condition,,
