Links,Main Heading,Chapter Headings,Description,Contents,Unordered Lists,Ordered Lists,Table Data
https://www.programiz.com/python-programming,Learn Python Programming,About Python Programming$$$Why Learn Python?$$$How to learn Python?$$$Python Resources,"Python is a powerful general-purpose programming language. It is used in web development, data science, creating software prototypes, and so on. Fortunately for beginners, Python has simple easy-to-use syntax. This makes Python an excellent language to learn to program for beginners. Our Python tutorial will guide you to learn Python one step at a time. If you prefer videos, watch our Python for beginners playlist on Youtube.",,"Free and open-source - You can freely use and distribute Python, even for commercial use.$$$Easy to learn - Python has a very simple and elegant syntax. It's much easier to read and write Python programs compared to other languages like C++, Java, C#.$$$Portable - You can move Python programs from one platform to another, and run it without any changes.$$$Python is easy to learn. Its syntax is easy and code is very readable.$$$Python has a lot of applications. It's used for developing web applications, data science, rapid application development, and so on.$$$Python allows you to write programs in fewer lines of code than most of the programming languages.$$$The popularity of Python is growing rapidly. Now it's one of the most popular programming languages.$$$Python tutorial from Programiz - We provide step by step Python tutorials, examples, and references. Get started with Python.$$$Official Python tutorial - Might be hard to follow and understand for beginners. Visit the official Python tutorial.$$$Get Learn Python App - The beginner-friendly app contains byte-size lessons and an integrated Python interpreter. To learn more, visit: Learn Python app$$$Write a lot of Python code- The only way you can learn programming is by writing a lot of code.$$$Python Examples$$$Python References$$$Python Online Compiler$$$Python Guide$$$Python Tutorial Videos",,
https://www.programiz.com/python-programming/first-program,How to Get Started With Python?,Video: Introduction to Python$$$The Easiest Way to Run Python$$$Install Python Separately$$$Your first Python Program$$$1. Run Python in Immediate mode$$$2. Run Python in the Integrated Development Environment (IDE)$$$Table of Contents,,"In this tutorial, you will learn to install and run Python on your computer. Once we do that, we will also write our first Python program.|||Python is a cross-platform programming language, which means that it can run on multiple platforms like Windows, macOS, Linux, and has even been ported to the Java and .NET virtual machines. It is free and open-source.|||Even though most of today's Linux and Mac have Python pre-installed in it, the version might be out-of-date. So, it is always a good idea to install the most current version.|||The easiest way to run Python is by using Thonny IDE.|||The Thonny IDE comes with the latest version of Python bundled in it. So you don't have to install Python separately.|||Follow the following steps to run Python on your computer.|||If you don't want to use Thonny, here's how you can install and run Python on your computer.|||Once you finish the installation process, you can run Python.||||||Once Python is installed, typing python in the command line will invoke the interpreter in immediate mode. We can directly type in Python code, and press Enter to get the output.|||Try typing in 1 + 1 and press enter. We get 2 as the output. This prompt can be used as a calculator. To exit this mode, type quit() and press enter.|||We can use any text editing software to write a Python script file.|||We just need to save it with the .py extension. But using an IDE can make our life a lot easier. IDE is a piece of software that provides useful features like code hinting, syntax highlighting and checking, file explorers, etc. to the programmer for application development.|||By the way, when you install Python, an IDE named IDLE is also installed. You can use it to run Python on your computer. It's a decent IDE for beginners.|||When you open IDLE, an interactive Python Shell is opened.|||Now you can create a new file and save it with .py extension. For example, hello.py|||Write Python code in the file and save it. To run the file, go to Run > Run Module or simply click F5.|||Now that we have Python up and running, we can write our first Python program.|||Let's create a very simple program called Hello World. A ""Hello, World!"" is a simple program that outputs Hello, World! on the screen. Since it's a very simple program, it's often used to introduce a new programming language to beginners.|||Type the following code in any text editor or an IDE and save it as hello_world.py|||Then, run the file. You will get the following output.|||Congratulations! You just wrote your first program in Python.|||As you can see, this was a pretty easy task. This is the beauty of the Python programming language.",Run Python using Thonny IDE$$$Install Python Separately$$$Run Python in Immediate mode$$$Run Python in the IDLE$$$Your first Python Program,"Download Thonny IDE.$$$Run the installer to install Thonny on your computer.$$$Go to: File > New. Then save the file with .py extension. For example, hello.py, example.py, etc.You can give any name to the file. However, the file name should end with .py$$$Write Python code in the file and save it.Running Python using Thonny IDE$$$Then Go to Run > Run current script or simply click F5 to run it.$$$Download the latest version of Python.$$$Run the installer file and follow the steps to install PythonDuring the install process, check Add Python to environment variables. This will add Python to environment variables, and you can run Python from any part of the computer.Also, you can choose the path where Python is installed.Installing Python on the computer",
https://www.programiz.com/python-programming/keywords-identifier,Python Keywords and Identifiers (Variable names),Python Keywords$$$Python Identifiers$$$Rules for writing identifiers$$$Things to Remember$$$Table of Contents,,"In this tutorial, you will learn about keywords (reserved words in Python) and identifiers (names given to variables, functions, etc.).|||Keywords are the reserved words in Python.|||We cannot use a keyword as a variable name, function name or any other identifier. They are used to define the syntax and structure of the Python language.|||In Python, keywords are case sensitive.|||There are 33 keywords in Python 3.7. This number can vary slightly over the course of time.|||All the keywords except True, False and None are in lowercase and they must be written as they are. The list of all the keywords is given below.||||||Looking at all the keywords at once and trying to figure out what they mean might be overwhelming.|||If you want to have an overview, here is the complete list of all the keywords with examples.|||An identifier is a name given to entities like class, functions, variables, etc. It helps to differentiate one entity from another.|||Python is a case-sensitive language. This means, Variable and variable are not the same.|||Always give the identifiers a name that makes sense. While c = 10 is a valid name, writing count = 10 would make more sense, and it would be easier to figure out what it represents when you look at your code after a long gap.|||Multiple words can be separated using an underscore, like this_is_a_long_variable.",Python Keywords$$$Python IdentifiersRules for writing identifiersThings to Remember$$$Rules for writing identifiers$$$Things to Remember,"Identifiers can be a combination of letters in lowercase (a to z) or uppercase (A to Z) or digits (0 to 9) or an underscore _. Names like myClass, var_1 and print_this_to_screen, all are valid example.$$$An identifier cannot start with a digit. 1variable is invalid, but variable1 is a valid name.$$$Keywords cannot be used as identifiers.global = 1Output  File ""<interactive input>"", line 1    global = 1           ^SyntaxError: invalid syntax$$$We cannot use special symbols like !, @, #, $, % etc. in our identifier.a@ = 0Output  File ""<interactive input>"", line 1    a@ = 0     ^SyntaxError: invalid syntax$$$An identifier can be of any length.",False|||await|||else|||import|||pass$$$None|||break|||except|||in|||raise$$$True|||class|||finally|||is|||return$$$and|||continue|||for|||lambda|||try$$$as|||def|||from|||nonlocal|||while$$$assert|||del|||global|||not|||with$$$async|||elif|||if|||or|||yield
https://www.programiz.com/python-programming/statement-indentation-comments,"Python Statement, Indentation and Comments",Python Statement$$$Python Indentation$$$Python Comments$$$Multi-line statement$$$Multi-line comments$$$Docstrings in Python$$$Table of Contents,,"In this tutorial, you will learn about Python statements, why indentation is important and use of comments in programming.|||Instructions that a Python interpreter can execute are called statements. For example, a = 1 is an assignment statement. if statement, for statement, while statement, etc. are other kinds of statements which will be discussed later.|||In Python, the end of a statement is marked by a newline character. But we can make a statement extend over multiple lines with the line continuation character (\). For example:|||This is an explicit line continuation. In Python, line continuation is implied inside parentheses ( ), brackets [ ], and braces { }. For instance, we can implement the above multi-line statement as:|||Here, the surrounding parentheses ( ) do the line continuation implicitly. Same is the case with [ ] and { }. For example:|||We can also put multiple statements in a single line using semicolons, as follows:|||Most of the programming languages like C, C++, and Java use braces { } to define a block of code. Python, however, uses indentation.|||A code block (body of a function, loop, etc.) starts with indentation and ends with the first unindented line. The amount of indentation is up to you, but it must be consistent throughout that block.|||Generally, four whitespaces are used for indentation and are preferred over tabs. Here is an example.|||The enforcement of indentation in Python makes the code look neat and clean. This results in Python programs that look similar and consistent.|||Indentation can be ignored in line continuation, but it's always a good idea to indent. It makes the code more readable. For example:|||and|||both are valid and do the same thing, but the former style is clearer.||||||Incorrect indentation will result in IndentationError.|||Comments are very important while writing a program. They describe what is going on inside a program, so that a person looking at the source code does not have a hard time figuring it out.|||You might forget the key details of the program you just wrote in a month's time. So taking the time to explain these concepts in the form of comments is always fruitful.|||In Python, we use the hash (#) symbol to start writing a comment.|||It extends up to the newline character. Comments are for programmers to better understand a program. Python Interpreter ignores comments.|||We can have comments that extend up to multiple lines. One way is to use the hash(#) symbol at the beginning of each line. For example:|||Another way of doing this is to use triple quotes, either ''' or """""".|||These triple quotes are generally used for multi-line strings. But they can be used as a multi-line comment as well. Unless they are not docstrings, they do not generate any extra code.|||To learn more about comments, visit Python Comments.|||A docstring is short for documentation string.|||Python docstrings (documentation strings) are the string literals that appear right after the definition of a function, method, class, or module.|||Triple quotes are used while writing docstrings. For example:|||Docstrings appear right after the definition of a function, class, or a module. This separates docstrings from multiline comments using triple quotes.|||The docstrings are associated with the object as their __doc__ attribute.|||So, we can access the docstrings of the above function with the following lines of code:|||Output|||To learn more about docstrings in Python, visit Python Docstrings.",Python StatementMulti-line statement$$$Python Indentation$$$Python CommentsMulti-line CommentsDocstring in Python$$$Multi-line statement$$$Multi-line Comments$$$Docstring in Python,,
https://www.programiz.com/python-programming/variables-constants-literals,"Python Variables, Constants and Literals",Video: Python Variables and print()$$$Python Variables$$$Assigning values to Variables in Python$$$Constants$$$Assigning value to constant in Python$$$Rules and Naming Convention for Variables and constants$$$Literals$$$Numeric Literals$$$String literals$$$Boolean literals$$$Special literals$$$Literal Collections$$$Example 1: Declaring and assigning value to a variable$$$Example 2: Changing the value of a variable$$$Example 3: Assigning multiple values to multiple variables$$$Example 3: Declaring and assigning value to a constant$$$Example 4: How to use Numeric literals in Python?$$$Example 7: How to use string literals in Python?$$$Example 8: How to use boolean literals in Python?$$$Example 9: How to use special literals in Python?$$$Example 10: How to use literals collections in Python?$$$Table of Contents,,"In this tutorial, you will learn about Python variables, constants, literals and their use cases.|||A variable is a named location used to store data in the memory. It is helpful to think of variables as a container that holds data that can be changed later in the program. For example,|||Here, we have created a variable named number. We have assigned the value 10 to the variable.|||You can think of variables as a bag to store books in it and that book can be replaced at any time.|||Initially, the value of number was 10. Later, it was changed to 1.1.|||Note: In Python, we don't actually assign values to the variables. Instead, Python gives the reference of the object(value) to the variable.|||As you can see from the above example, you can use the assignment operator = to assign a value to a variable.|||Output|||In the above program, we assigned a value apple.com to the variable website. Then, we printed out the value assigned to website i.e. apple.com|||Note: Python is a type-inferred language, so you don't have to explicitly define the variable type. It automatically knows that apple.com is a string and declares the website variable as a string.|||Output|||In the above program, we have assigned apple.com to the website variable initially. Then, the value is changed to programiz.com.|||If we want to assign the same value to multiple variables at once, we can do this as:|||The second program assigns the same string to all the three variables x, y and z.|||A constant is a type of variable whose value cannot be changed. It is helpful to think of constants as containers that hold information which cannot be changed later.|||You can think of constants as a bag to store some books which cannot be replaced once placed inside the bag.|||In Python, constants are usually declared and assigned in a module. Here, the module is a new file containing variables, functions, etc which is imported to the main file. Inside the module, constants are written in all capital letters and underscores separating the words.|||Create a constant.py:|||Create a main.py:|||Output|||In the above program, we create a constant.py module file. Then, we assign the constant value to PI and GRAVITY. After that, we create a main.py file and import the constant module. Finally, we print the constant value.|||Note: In reality, we don't use constants in Python. Naming them in all capital letters is a convention to separate them from variables, however, it does not actually prevent reassignment.|||Literal is a raw data given in a variable or constant. In Python, there are various types of literals they are as follows:|||Numeric Literals are immutable (unchangeable). Numeric literals can belong to 3 different numerical types: Integer, Float, and Complex.||||||Output|||In the above program,|||To learn more about Numeric Literals, refer to Python Numbers.|||A string literal is a sequence of characters surrounded by quotes. We can use both single, double, or triple quotes for a string. And, a character literal is a single character surrounded by single or double quotes.|||Output|||In the above program, This is Python is a string literal and C is a character literal.|||The value in triple-quotes """""" assigned to the multiline_str is a multi-line string literal.|||The string u""\u00dcnic\u00f6de"" is a Unicode literal which supports characters other than English. In this case, \u00dc represents Ü and \u00f6 represents ö.|||r""raw \n string"" is a raw string literal.|||A Boolean literal can have any of the two values: True or False.|||Output|||In the above program, we use boolean literal True and False. In Python, True represents the value as 1 and False as 0. The value of x is True because 1 is equal to True. And, the value of y is False because 1 is not equal to False.|||Similarly, we can use the True and False in numeric expressions as the value. The value of a is 5 because we add True which has a value of 1 with 4. Similarly, b is 10 because we add the False having value of 0 with 10.|||Python contains one special literal i.e. None. We use it to specify that the field has not been created.|||Output|||In the above program, we define a menu function. Inside menu, when we set the argument as drink then, it displays Available. And, when the argument is food, it displays None.|||There are four different literal collections List literals, Tuple literals, Dict literals, and Set literals.|||Output|||In the above program, we created a list of fruits, a tuple of numbers, a dictionary dict having values with keys designated to each value and a set of vowels.|||To learn more about literal collections, refer to Python Data Types.","We assigned integer literals into different variables. Here, a is binary literal, b is a decimal literal, c is an octal literal and d is a hexadecimal literal.$$$When we print the variables, all the literals are converted into decimal values.$$$10.5 and 1.5e2 are floating-point literals. 1.5e2 is expressed with exponential and is equivalent to 1.5 * 102.$$$We assigned a complex literal i.e 3.14j in variable x. Then we use imaginary literal (x.imag) and real literal (x.real) to create imaginary and real parts of complex numbers.$$$Python Variables$$$Assigning values to Variables in Python$$$Constants$$$Assigning value to constant in Python$$$Naming Convention for Variables and constants$$$Literals$$$Numeric Literals$$$String literals$$$Boolean literals$$$Special literals$$$Literal Collections","Constant and variable names should have a combination of letters in lowercase (a to z) or uppercase (A to Z) or digits (0 to 9) or an underscore (_). For example:snake_caseMACRO_CASEcamelCaseCapWords$$$Create a name that makes sense. For example, vowel makes more sense than v.$$$If you want to create a variable name having two words, use underscore to separate them. For example:my_namecurrent_salary$$$Use capital letters possible to declare a constant. For example:PIGMASSSPEED_OF_LIGHTTEMP$$$Never use special symbols like !, @, #, $, %, etc.$$$Don't start a variable name with a digit.",
https://www.programiz.com/python-programming/variables-datatypes,Python Data Types,Data types in Python$$$Python Numbers$$$Python List$$$Python Tuple$$$Python Strings$$$Python Set$$$Python Dictionary$$$Conversion between data types$$$Table of Contents,,"In this tutorial, you will learn about different data types you can use in Python.|||Every value in Python has a datatype. Since everything is an object in Python programming, data types are actually classes and variables are instance (object) of these classes.|||There are various data types in Python. Some of the important types are listed below.|||Integers, floating point numbers and complex numbers fall under Python numbers category. They are defined as int, float and complex classes in Python.|||We can use the type() function to know which class a variable or a value belongs to. Similarly, the isinstance() function is used to check if an object belongs to a particular class.|||Output|||Integers can be of any length, it is only limited by the memory available.|||A floating-point number is accurate up to 15 decimal places. Integer and floating points are separated by decimal points. 1 is an integer, 1.0 is a floating-point number.|||Complex numbers are written in the form, x + yj, where x is the real part and y is the imaginary part. Here are some examples.|||Notice that the float variable b got truncated.|||List is an ordered sequence of items. It is one of the most used datatype in Python and is very flexible. All the items in a list do not need to be of the same type.|||Declaring a list is pretty straight forward. Items separated by commas are enclosed within brackets [ ].|||We can use the slicing operator [ ] to extract an item or a range of items from a list. The index starts from 0 in Python.|||Output|||Lists are mutable, meaning, the value of elements of a list can be altered.||||||Output|||Tuple is an ordered sequence of items same as a list. The only difference is that tuples are immutable. Tuples once created cannot be modified.|||Tuples are used to write-protect data and are usually faster than lists as they cannot change dynamically.|||It is defined within parentheses () where items are separated by commas.|||We can use the slicing operator [] to extract items but we cannot change its value.|||Output|||String is sequence of Unicode characters. We can use single quotes or double quotes to represent strings. Multi-line strings can be denoted using triple quotes, ''' or """""".|||Output|||Just like a list and tuple, the slicing operator [ ] can be used with strings. Strings, however, are immutable.|||Output|||Set is an unordered collection of unique items. Set is defined by values separated by comma inside braces { }. Items in a set are not ordered.|||Output|||We can perform set operations like union, intersection on two sets. Sets have unique values. They eliminate duplicates.|||Output|||Since, set are unordered collection, indexing has no meaning. Hence, the slicing operator [] does not work.|||Dictionary is an unordered collection of key-value pairs.|||It is generally used when we have a huge amount of data. Dictionaries are optimized for retrieving data. We must know the key to retrieve the value.|||In Python, dictionaries are defined within braces {} with each item being a pair in the form key:value. Key and value can be of any type.|||We use key to retrieve the respective value. But not the other way around.|||Output|||We can convert between different data types by using different type conversion functions like int(), float(), str(), etc.|||Conversion from float to int will truncate the value (make it closer to zero).|||Conversion to and from string must contain compatible values.|||We can even convert one sequence to another.|||To convert to dictionary, each element must be a pair:",Data types in Python$$$Python Numbers$$$Python List$$$Python Tuple$$$Python Strings$$$Python Set$$$Python Dictionary$$$Conversion between data types,,
https://www.programiz.com/python-programming/type-conversion-and-casting,Python Type Conversion and Type Casting (With Examples),Type Conversion$$$Implicit Type Conversion$$$Explicit Type Conversion$$$Key Points to Remember$$$Example 1: Converting integer to float$$$Example 2: Addition of string(higher) data type and integer(lower) datatype$$$Example 3: Addition of string and integer using explicit conversion$$$Table of Contents,,"In this article, you will learn about the Type conversion and uses of type conversion.|||Before learning Type Conversion in Python, you should have knowledge about Python Data Types.|||The process of converting the value of one data type (integer, string, float, etc.) to another data type is called type conversion. Python has two types of type conversion.|||In Implicit type conversion, Python automatically converts one data type to another data type. This process doesn't need any user involvement.|||Let's see an example where Python promotes the conversion of the lower data type (integer) to the higher data type (float) to avoid data loss.|||When we run the above program, the output will be:|||In the above program,|||Now, let's try adding a string and an integer, and see how Python deals with it.|||When we run the above program, the output will be:||||||In the above program,|||In Explicit Type Conversion, users convert the data type of an object to required data type. We use the predefined functions like int(), float(), str(), etc to perform explicit type conversion.|||This type of conversion is also called typecasting because the user casts (changes) the data type of the objects.|||Syntax :|||Typecasting can be done by assigning the required data type function to the expression.|||When we run the above program, the output will be:|||In the above program,","We add two variables num_int and num_flo, storing the value in num_new.$$$We will look at the data type of all three objects respectively.$$$In the output, we can see the data type of num_int is an integer while the data type of num_flo is a float.$$$Also, we can see the num_new has a float data type because Python always converts smaller data types to larger data types to avoid the loss of data.$$$We add two variables num_int and num_str.$$$As we can see from the output, we got TypeError. Python is not able to use Implicit Conversion in such conditions.$$$However, Python has a solution for these types of situations which is known as Explicit Conversion.$$$We add num_str and num_int variable.$$$We converted num_str from string(higher) to integer(lower) type using int() function to perform the addition.$$$After converting num_str to an integer value, Python is able to add these two variables.$$$We got the num_sum value and data type to be an integer.$$$Type Conversion$$$Implicit Type Conversion$$$Explicit Type Conversion$$$Key Points to Remember","Implicit Type Conversion$$$Explicit Type Conversion$$$Type Conversion is the conversion of object from one data type to another data type.$$$Implicit Type Conversion is automatically performed by the Python interpreter.$$$Python avoids the loss of data in Implicit Type Conversion.$$$Explicit Type Conversion is also called Type Casting, the data types of objects are converted using predefined functions by the user.$$$In Type Casting, loss of data may occur as we enforce the object to a specific data type.",
https://www.programiz.com/python-programming/input-output-import,Python Input Output (I/O) Using input() and print() Function,Video: Python Take User Input$$$Python Output Using print() function$$$Output formatting$$$Python Input$$$Python Import$$$Table of Contents,,"This tutorial focuses on two built-in functions print() and input() to perform I/O task in Python. Also, you will learn to import modules and use them in your program.|||Python provides numerous built-in functions that are readily available to us at the Python prompt.|||Some of the functions like input() and print() are widely used for standard input and output operations respectively. Let us see the output section first.|||We use the print() function to output data to the standard output device (screen). We can also output data to a file, but this will be discussed later.|||An example of its use is given below.|||Output|||Another example is given below:|||Output|||In the second print() statement, we can notice that space was added between the string and the value of variable a. This is by default, but we can change it.|||The actual syntax of the print() function is:|||Here, objects is the value(s) to be printed.|||The sep separator is used between the values. It defaults into a space character.|||After all values are printed, end is printed. It defaults into a new line.|||The file is the object where the values are printed and its default value is sys.stdout (screen). Here is an example to illustrate this.|||Output|||Sometimes we would like to format our output to make it look attractive. This can be done by using the str.format() method. This method is visible to any string object.|||Here, the curly braces {} are used as placeholders. We can specify the order in which they are printed by using numbers (tuple index).||||||Output|||We can even use keyword arguments to format the string.|||We can also format strings like the old sprintf() style used in C programming language. We use the % operator to accomplish this.|||Up until now, our programs were static. The value of variables was defined or hard coded into the source code.|||To allow flexibility, we might want to take the input from the user. In Python, we have the input() function to allow this. The syntax for input() is:|||where prompt is the string we wish to display on the screen. It is optional.|||Here, we can see that the entered value 10 is a string, not a number. To convert this into a number we can use int() or float() functions.|||This same operation can be performed using the eval() function. But eval takes it further. It can evaluate even expressions, provided the input is a string|||When our program grows bigger, it is a good idea to break it into different modules.|||A module is a file containing Python definitions and statements. Python modules have a filename and end with the extension .py.|||Definitions inside a module can be imported to another module or the interactive interpreter in Python. We use the import keyword to do this.|||For example, we can import the math module by typing the following line:|||We can use the module in the following ways:|||Output|||Now all the definitions inside math module are available in our scope. We can also import some specific attributes and functions only, using the from keyword. For example:|||While importing a module, Python looks at several places defined in sys.path. It is a list of directory locations.|||We can also add our own location to this list.",Python Output Using print() functionOutput formatting$$$Python Input$$$Python Import$$$Output formatting,,
https://www.programiz.com/python-programming/operators,"Python Operators: Arithmetic, Comparison, Logical and more.",Video: Operators in Python$$$What are operators in python?$$$Arithmetic operators$$$Comparison operators$$$Logical operators$$$Bitwise operators$$$Assignment operators$$$Special operators$$$Example 1: Arithmetic operators in Python$$$Example 2: Comparison operators in Python$$$Example 3: Logical Operators in Python$$$Identity operators$$$Example 4: Identity operators in Python$$$Membership operators$$$Example #5: Membership operators in Python$$$Table of Contents,,"In this tutorial, you'll learn everything about different types of operators in Python, their syntax and how to use them with examples.|||Operators are special symbols in Python that carry out arithmetic or logical computation. The value that the operator operates on is called the operand.|||For example:|||Here, + is the operator that performs addition. 2 and 3 are the operands and 5 is the output of the operation.|||Arithmetic operators are used to perform mathematical operations like addition, subtraction, multiplication, etc.|||Output|||Comparison operators are used to compare values. It returns either True or False according to the condition.|||Output||||||Logical operators are the and, or, not operators.|||Output|||Here is the truth table for these operators.|||Bitwise operators act on operands as if they were strings of binary digits. They operate bit by bit, hence the name.|||For example, 2 is 10 in binary and 7 is 111.|||In the table below: Let x = 10 (0000 1010 in binary) and y = 4 (0000 0100 in binary)|||Assignment operators are used in Python to assign values to variables.|||a = 5 is a simple assignment operator that assigns the value 5 on the right to the variable a on the left.|||There are various compound operators in Python like a += 5 that adds to the variable and later assigns the same. It is equivalent to a = a + 5.|||Python language offers some special types of operators like the identity operator or the membership operator. They are described below with examples.|||is and is not are the identity operators in Python. They are used to check if two values (or variables) are located on the same part of the memory. Two variables that are equal does not imply that they are identical.|||Output|||Here, we see that x1 and y1 are integers of the same values, so they are equal as well as identical. Same is the case with x2 and y2 (strings).|||But x3 and y3 are lists. They are equal but not identical. It is because the interpreter locates them separately in memory although they are equal.|||in and not in are the membership operators in Python. They are used to test whether a value or variable is found in a sequence (string, list, tuple, set and dictionary).|||In a dictionary we can only test for presence of key, not the value.|||Output|||Here, 'H' is in x but 'hello' is not present in x (remember, Python is case sensitive). Similarly, 1 is key and 'a' is the value in dictionary y. Hence, 'a' in y returns False.",What are operators in Python?$$$Arithmetic Operators$$$Comparison (Relational) Operators$$$Logical (Boolean) Operators$$$Bitwise Operators$$$Assignment Operators$$$Special OperatorsIndentity OperatorMembership Operator$$$Indentity Operator$$$Membership Operator,,Operator|||Meaning|||Example$$$+|||Add two operands or unary plus|||x + y+ 2$$$-|||Subtract right operand from the left or unary minus|||x - y- 2$$$*|||Multiply two operands|||x * y$$$/|||Divide left operand by the right one (always results into float)|||x / y$$$%|||Modulus - remainder of the division of left operand by the right|||x % y (remainder of x/y)$$$//|||Floor division - division that results into whole number adjusted to the left in the number line|||x // y$$$**|||Exponent - left operand raised to the power of right|||x**y (x to the power y)$$$Operator|||Meaning|||Example$$$>|||Greater than - True if left operand is greater than the right|||x > y$$$<|||Less than - True if left operand is less than the right|||x < y$$$==|||Equal to - True if both operands are equal|||x == y$$$!=|||Not equal to - True if operands are not equal|||x != y$$$>=|||Greater than or equal to - True if left operand is greater than or equal to the right|||x >= y$$$<=|||Less than or equal to - True if left operand is less than or equal to the right|||x <= y$$$Operator|||Meaning|||Example$$$and|||True if both the operands are true|||x and y$$$or|||True if either of the operands is true|||x or y$$$not|||True if operand is false (complements the operand)|||not x$$$Operator|||Meaning|||Example$$$&|||Bitwise AND|||x & y = 0 (0000 0000)$$$||||Bitwise OR|||x | y = 14 (0000 1110)$$$~|||Bitwise NOT|||~x = -11 (1111 0101)$$$^|||Bitwise XOR|||x ^ y = 14 (0000 1110)$$$>>|||Bitwise right shift|||x >> 2 = 2 (0000 0010)$$$<<|||Bitwise left shift|||x << 2 = 40 (0010 1000)$$$Operator|||Example|||Equivalent to$$$=|||x = 5|||x = 5$$$+=|||x += 5|||x = x + 5$$$-=|||x -= 5|||x = x - 5$$$*=|||x *= 5|||x = x * 5$$$/=|||x /= 5|||x = x / 5$$$%=|||x %= 5|||x = x % 5$$$//=|||x //= 5|||x = x // 5$$$**=|||x **= 5|||x = x ** 5$$$&=|||x &= 5|||x = x & 5$$$|=|||x |= 5|||x = x | 5$$$^=|||x ^= 5|||x = x ^ 5$$$>>=|||x >>= 5|||x = x >> 5$$$<<=|||x <<= 5|||x = x << 5$$$Operator|||Meaning|||Example$$$is|||True if the operands are identical (refer to the same object)|||x is True$$$is not|||True if the operands are not identical (do not refer to the same object)|||x is not True$$$Operator|||Meaning|||Example$$$in|||True if value/variable is found in the sequence|||5 in x$$$not in|||True if value/variable is not found in the sequence|||5 not in x
https://www.programiz.com/python-programming/namespace,Python Namespace and Scope of a Variable,What is Name in Python?$$$What is a Namespace in Python?$$$Python Variable Scope$$$Example of Scope and Namespace in Python$$$Table of Contents,,"In this tutorial, you will learn about namespace, mapping from names to objects, and scope of a variable. |||If you have ever read 'The Zen of Python' (type import this in the Python interpreter), the last line states, Namespaces are one honking great idea -- let's do more of those! So what are these mysterious namespaces? Let us first look at what name is.|||Name (also called identifier) is simply a name given to objects. Everything in Python is an object. Name is a way to access the underlying object.|||For example, when we do the assignment a = 2, 2 is an object stored in memory and a is the name we associate it with. We can get the address (in RAM) of some object through the built-in function id(). Let's look at how to use it.|||Output|||Here, both refer to the same object 2, so they have the same id(). Let's make things a little more interesting.|||Output|||What is happening in the above sequence of steps? Let's use a diagram to explain this:|||Initially, an object 2 is created and the name a is associated with it, when we do a = a+1, a new object 3 is created and now a is associated with this object.|||Note that id(a) and id(3) have the same values.|||Furthermore, when b = 2 is executed, the new name b gets associated with the previous object 2.|||This is efficient as Python does not have to create a new duplicate object. This dynamic nature of name binding makes Python powerful; a name could refer to any type of object.||||||All these are valid and a will refer to three different types of objects in different instances. Functions are objects too, so a name can refer to them as well.|||Output|||The same name a can refer to a function and we can call the function using this name.|||Now that we understand what names are, we can move on to the concept of namespaces.|||To simply put it, a namespace is a collection of names.|||In Python, you can imagine a namespace as a mapping of every name you have defined to corresponding objects.|||Different namespaces can co-exist at a given time but are completely isolated.|||A namespace containing all the built-in names is created when we start the Python interpreter and exists as long as the interpreter runs.|||This is the reason that built-in functions like id(), print() etc. are always available to us from any part of the program. Each module creates its own global namespace.|||These different namespaces are isolated. Hence, the same name that may exist in different modules does not collide.|||Modules can have various functions and classes. A local namespace is created when a function is called, which has all the names defined in it. Similar is the case with class. The following diagram may help to clarify this concept.|||Although there are various unique namespaces defined, we may not be able to access all of them from every part of the program. The concept of scope comes into play.|||A scope is the portion of a program from where a namespace can be accessed directly without any prefix.|||At any given moment, there are at least three nested scopes.|||When a reference is made inside a function, the name is searched in the local namespace, then in the global namespace and finally in the built-in namespace.|||If there is a function inside another function, a new scope is nested inside the local scope.|||Here, the variable a is in the global namespace. Variable b is in the local namespace of outer_function() and c is in the nested local namespace of inner_function().|||When we are in inner_function(), c is local to us, b is nonlocal and a is global. We can read as well as assign new values to c but can only read b and a from inner_function().|||If we try to assign as a value to b, a new variable b is created in the local namespace which is different than the nonlocal b. The same thing happens when we assign a value to a.|||However, if we declare a as global, all the reference and assignment go to the global a. Similarly, if we want to rebind the variable b, it must be declared as nonlocal. The following example will further clarify this.|||As you can see, the output of this program is|||In this program, three different variables a are defined in separate namespaces and accessed accordingly. While in the following program,|||The output of the program is.|||Here, all references and assignments are to the global a due to the use of keyword global.",What is Name in Python?$$$What is a Namespace$$$Python Variable Scope$$$Example of Scope and Namespace,Scope of the current function which has local names$$$Scope of the module which has global names$$$Outermost scope which has built-in names,
