Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Apex Programming,Apex Tutorial,Apex Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"Apex is a proprietary language developed by Salesforce.com. It is a strongly typed, object-oriented programming language that allows developers to execute flow and transaction control statements on the Force.com platform server in conjunction with calls to the Force.com API.|||This tutorial is targeted for Salesforce programmers beginning to learn Apex. This will bring you to an Intermediate level of expertise in Apex programming covering all the important aspects of Apex with complete hands-on code experience.|||Basic knowledge of Salesforce platform and development is needed. Apex is a programming language which has to be used with Salesforce. This tutorial assumes that you already have set up the Salesforce instance which will be used to do our Apex programming.",,,,
Learn Apex Programming,Apex - Overview,Apex - Overview|||What is Apex?@@@Features of Apex as a Language@@@When Should Developer Choose Apex?@@@Flow of Actions@@@Understanding the Apex Syntax@@@Useful Video Courses|||Integrated@@@Java like syntax and easy to use@@@Strongly Integrated With Data@@@Strongly Typed@@@Multitenant Environment@@@Upgrades Automatically@@@Easy Testing@@@Apex Applications@@@Working Structure of Apex@@@Developer Action@@@End User Action@@@Variable Declaration@@@SOQL Query@@@Loop Statement@@@Flow Control Statement@@@DML Statement|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"Apex is a proprietary language developed by the Salesforce.com. As per the official definition, Apex is a strongly typed, object-oriented programming language that allows developers to execute the flow and transaction control statements on the Force.com platform server in conjunction with calls to the Force.com API.|||It has a Java-like syntax and acts like database stored procedures. It enables the developers to add business logic to most system events, including button clicks, related record updates, and Visualforce pages.Apex code can be initiated by Web service requests and from triggers on objects. Apex is included in Performance Edition, Unlimited Edition, Enterprise Edition, and Developer Edition.|||Let us now discuss the features of Apex as a Language −|||Apex has built in support for DML operations like INSERT, UPDATE, DELETE and also DML Exception handling. It has support for inline SOQL and SOSL query handling which returns the set of sObject records. We will study the sObject, SOQL, SOSL in detail in future chapters.|||Apex is easy to use as it uses the syntax like Java. For example, variable declaration, loop syntax and conditional statements.|||Apex is data focused and designed to execute multiple queries and DML statements together. It issues multiple transaction statements on Database.|||Apex is a strongly typed language. It uses direct reference to schema objects like sObject and any invalid reference quickly fails if it is deleted or if is of wrong data type.|||Apex runs in a multitenant environment. Consequently, the Apex runtime engine is designed to guard closely against runaway code, preventing it from monopolizing shared resources. Any code that violates limits fails with easy-to-understand error messages.|||Apex is upgraded as part of Salesforce releases. We don't have to upgrade it manually.|||Apex provides built-in support for unit test creation and execution, including test results that indicate how much code is covered, and which parts of your code can be more efficient.|||Apex should be used when we are not able to implement the complex business functionality using the pre-built and existing out of the box functionalities. Below are the cases where we need to use apex over Salesforce configuration.|||We can use Apex when we want to −|||Create Web services with integrating other systems.|||Create email services for email blast or email setup.|||Perform complex validation over multiple objects at the same time and also custom validation implementation.|||Create complex business processes that are not supported by existing workflow functionality or flows.|||Create custom transactional logic (logic that occurs over the entire transaction, not just with a single record or object) like using the Database methods for updating the records.|||Perform some logic when a record is modified or modify the related object's record when there is some event which has caused the trigger to fire.|||As shown in the diagram below (Reference: Salesforce Developer Documentation), Apex runs entirely on demand Force.com Platform|||There are two sequence of actions when the developer saves the code and when an end user performs some action which invokes the Apex code as shown below −|||When a developer writes and saves Apex code to the platform, the platform application server first compiles the code into a set of instructions that can be understood by the Apex runtime interpreter, and then saves those instructions as metadata.|||When an end-user triggers the execution of Apex, by clicking a button or accessing a Visualforce page, the platform application server retrieves the compiled instructions from the metadata and sends them through the runtime interpreter before returning the result. The end-user observes no differences in execution time as compared to the standard application platform request.|||Since Apex is the proprietary language of Salesforce.com, it does not support some features which a general programming language does. Following are a few features which Apex does not support −|||It cannot show the elements in User Interface.|||You cannot change the standard SFDC provided functionality and also it is not possible to prevent the standard functionality execution.|||Creating multiple threads is also not possible as we can do it in other languages.|||Apex code typically contains many things that we might be familiar with from other programming languages.|||As strongly typed language, you must declare every variable with data type in Apex. As seen in the code below (screenshot below), lstAcc is declared with data type as List of Accounts.|||This will be used to fetch the data from Salesforce database. The query shown in screenshot below is fetching data from Account object.|||This loop statement is used for iterating over a list or iterating over a piece of code for a specified number of times. In the code shown in the screenshot below, iteration will be same as the number of records we have.|||The If statement is used for flow control in this code. Based on certain condition, it is decided whether to go for execution or to stop the execution of the particular piece of code. For example, in the code shown below, it is checking whether the list is empty or it contains records.|||Performs the records insert, update, upsert, delete operation on the records in database. For example, the code given below helps in updating Accounts with new field value.|||Following is an example of how an Apex code snippet will look like. We are going to study all these Apex programming concepts further in this tutorial.","Create Web services with integrating other systems.@@@Create email services for email blast or email setup.@@@Perform complex validation over multiple objects at the same time and also custom validation implementation.@@@Create complex business processes that are not supported by existing workflow functionality or flows.@@@Create custom transactional logic (logic that occurs over the entire transaction, not just with a single record or object) like using the Database methods for updating the records.@@@Perform some logic when a record is modified or modify the related object's record when there is some event which has caused the trigger to fire.|||It cannot show the elements in User Interface.@@@You cannot change the standard SFDC provided functionality and also it is not possible to prevent the standard functionality execution.@@@Creating multiple threads is also not possible as we can do it in other languages.",,,
Learn Apex Programming,Apex - Environment,Apex - Environment|||Executing Code in Developer Console@@@Useful Video Courses|||Apex Code Development Tools@@@Force.com Developer Console|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"In this chapter, we will understand the environment for our Salesforce Apex development. It is assumed that you already have a Salesforce edition set up for doing Apex development.|||You can develop the Apex code in either Sandbox or Developer edition of Salesforce. A Sandbox organization is a copy of your organization in which you can write code and test it without taking the risk of data modification or disturbing the normal functionality. As per the standard industrial practice, you have to develop the code in Sandbox and then deploy it to the Production environment.|||For this tutorial, we will be using the Developer edition of Salesforce. In the Developer edition, you will not have the option of creating a Sandbox organization. The Sandbox features are available in other editions of Salesforce.|||In all the editions, we can use any of the following three tools to develop the code −|||Note − We will be utilizing the Developer Console throughout our tutorial for code execution as it is simple and user friendly for learning.|||The Developer Console is an integrated development environment with a collection of tools you can use to create, debug, and test applications in your Salesforce organization.|||Follow these steps to open the Developer Console −|||Step 1 − Go to Name → Developer Console|||Step 2 − Click on ""Developer Console"" and a window will appear as in the following screenshot.|||Following are a few operations that can be performed using the Developer Console.|||Writing and compiling code − You can write the code using the source code editor. When you save a trigger or class, the code is automatically compiled. Any compilation errors will be reported.|||Debugging − You can write the code using the source code editor. When you save a trigger or class, the code is automatically compiled. Any compilation errors will be reported.|||Testing − You can view debug logs and set checkpoints that aid in debugging.|||Checking performance − You can execute tests of specific test classes or all classes in your organization, and you can view test results. Also, you can inspect code coverage.|||SOQL queries − You can inspect debug logs to locate performance bottlenecks. |||Color coding and autocomplete − The source code editor uses a color scheme for easier readability of code elements and provides auto completion for class and method names.|||All the code snippets mentioned in this tutorial need to be executed in the developer console. Follow these steps to execute steps in Developer Console.|||Step 1 − Login to the Salesforce.com using login.salesforce.com. Copy the code snippets mentioned in the tutorial. For now, we will use the following sample code.|||Step 2 − To open the Developer Console, click on Name → Developer Console and then click on Execute Anonymous as shown below.||||||Step 3 − In this step, a window will appear and you can paste the code there.|||Step 4 − When we click on Execute, the debug logs will open. Once the log appears in window as shown below, then click on the log record.|||Then type 'USER' in the window as shown below and the output statement will appear in the debug window. This 'USER' statement is used for filtering the output.|||So basically, you will be following all the above mentioned steps to execute any code
snippet in this tutorial.","Force.com Developer Console@@@Force.com IDE@@@Code Editor in the Salesforce User Interface|||Writing and compiling code − You can write the code using the source code editor. When you save a trigger or class, the code is automatically compiled. Any compilation errors will be reported.@@@Debugging − You can write the code using the source code editor. When you save a trigger or class, the code is automatically compiled. Any compilation errors will be reported.@@@Testing − You can view debug logs and set checkpoints that aid in debugging.@@@Checking performance − You can execute tests of specific test classes or all classes in your organization, and you can view test results. Also, you can inspect code coverage.@@@SOQL queries − You can inspect debug logs to locate performance bottlenecks. @@@Color coding and autocomplete − The source code editor uses a color scheme for easier readability of code elements and provides auto completion for class and method names.",,,String myString = 'MyString';System.debug('Value of String Variable'+myString);
Learn Apex Programming,Apex - Example,Apex - Example|||Enterprise Application Development Example@@@Creating the Custom Fields for Customer object@@@Creating Invoice Object@@@Creating the Custom Fields for Invoice object@@@Useful Video Courses|||Creating Customer Object|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"For our tutorial, we will be implementing the CRM application for a Chemical Equipment and Processing Company. This company deals with suppliers and provides services. We will work out small code snippets related to this example throughout our tutorial to understand every concept in detail.|||For executing the code in this tutorial, you will need to have two objects created: Customer and Invoice objects. If you already know how to create these objects in Salesforce, you can skip the steps given below. Else, you can follow the step by step guide below.|||We will be setting up the Customer object first.|||Step 1 − Go to Setup and then search for 'Object' as shown below. Then click on the Objects link as shown below.||||||Step 2 − Once the object page is opened, then click on the 'Create New Object' button as shown below.|||Step 3 − After clicking on button, the new object creation page will appear and then enter all the object details as entered below. Object name should be Customer. You just have to enter the information in the field as shown in the screenshot below and keep other default things as it is.|||Enter the information and then click on the 'Save' button −|||By following the above steps, we have successfully created the Customer object.|||Now that we have our Customer object set up, we will create a field 'Active' and then you can create the other fields by following similar steps. The Name and API name of the field will be given in the screenshot.|||Step 1 − We will be creating a field named as 'Active' of data type as Checkbox. Go to Setup and click on it.|||Step 2 − Search for 'Object' as shown below and click on it.|||Step 3 − Click on object 'Customer'.|||Step 4 − Once you have clicked on the Customer object link and the object detail page appears, click on the New button.|||Step 5 − Now, select the data type as Checkbox and click Next.|||Step 6 − Enter the field name and label as shown below.|||Step 7 − Click on Visible and then click Next.|||Step 8 − Now click on 'Save'.|||By following the above steps, our custom field 'Active' is created. You have to follow all the above custom field creation steps for the remaining fields. This is the final view of customer object once all the fields are created −|||Step 1 − Go to Setup and search for 'Object' and then click on the Objects link as shown below.||||||Step 2 − Once the object page is opened, then click on the 'Create New Object' button as shown below.|||Step 3 − After clicking on the button, the new object creation page will appear as shown in the screenshot below. You need to enter the details here. The object name should be Invoice. This is similar to how we created the Customer object earlier in this tutorial.|||Step 4 − Enter the information as shown below and then click on the 'Save' button.|||By following these steps, your Invoice object will be created.|||We will be creating the field Description on Invoice object as shown below −|||Step 1 − Go to Setup and click on it.|||Step 2 − Search for 'Object' as shown below and click on it.|||Step 3 − Click on object 'Invoice'.|||And then click on 'New'.|||Step 4 − Select the data type as Text Area and then click on Next button.|||Step 5 − Enter the information as given below.|||Step 6 − Click on Visible and then Next.|||Step 7 − Click on Save.|||Similarly, you can create the other fields on the Invoice object.|||By this, we have created the objects that are needed for this tutorial. We will be learning various examples in the subsequent chapters based on these objects.",,,,
Learn Apex Programming,Apex - Data Types,Apex - Data Types|||Understanding the Data Types@@@Primitive Data Types@@@Useful Video Courses|||Integer@@@Boolean@@@Date@@@Long@@@Object@@@String@@@Time@@@Blob@@@sObject@@@Enum|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"The Apex language is strongly typed so every variable in Apex will be declared with the specific data type. All apex variables are initialized to null initially. It is always recommended for a developer to make sure that proper values are assigned to the variables. Otherwise such variables when used, will throw null pointer exceptions or any unhandled exceptions.|||Apex supports the following data types −|||Primitive (Integer, Double, Long, Date, Datetime, String, ID, or Boolean)|||Collections (Lists, Sets and Maps) (To be covered in Chapter 6)|||sObject|||Enums|||Classes, Objects and Interfaces (To be covered in Chapter 11, 12 and 13)|||In this chapter, we will look at all the Primitive Data Types, sObjects and Enums. We will be looking at Collections, Classes, Objects and Interfaces in upcoming chapters since they are key topics to be learnt individually.|||In this section, we will discuss the Primitive Data Types supported by Apex.|||A 32-bit number that does not include any decimal point. The value range for this starts from -2,147,483,648 and the maximum value is up to 2,147,483,647.|||Example|||We want to declare a variable which will store the quantity of barrels which need to be shipped to the buyer of the chemical processing plant.|||The System.debug() function prints the value of variable so that we can use this to debug or to get to know what value the variable holds currently.|||Paste the above code to the Developer console and click on Execute. Once the logs are generated, then it will show the value of variable ""barrelNumbers"" as 1000.|||This variable can either be true, false or null. Many times, this type of variable can be used as flag in programming to identify if the particular condition is set or not set.|||Example|||If the Boolean shipmentDispatched is to be set as true, then it can be declared as −|||This variable type indicates a date. This can only store the date and not the time. For saving the date along with time, we will need to store it in variable of DateTime.|||Example|||Consider the following example to understand how the Date variable works.|||This is a 64-bit number without a decimal point. This is used when we need a range of values wider than those provided by Integer.|||Example|||If the company revenue is to be stored, then we will use the data type as Long.|||We can refer this as any data type which is supported in Apex. For example, Class variable can be object of that class, and the sObject generic type is also an object and similarly specific object type like Account is also an Object.|||Example|||Consider the following example to understand how the bject variable works.|||Note − You can create an object of predefined class as well, as given below −|||This is the class object which will be used as class variable.|||String is any set of characters within single quotes. It does not have any limit for the number of characters. Here, the heap size will be used to determine the number of characters. This puts a curb on the monopoly of resources by the Apex program and also ensures that it does not get too large.|||Example|||This variable is used to store the particular time. This variable should always be declared with the system static method.|||The Blob is a collection of Binary data which is stored as object. This will be used when we want to store the attachment in salesforce into a variable. This data type converts the attachments into a single object. If the blob is to be converted into a string, then we can make use of the toString and the valueOf methods for the same.|||This is a special data type in Salesforce. It is similar to a table in SQL and contains fields which are similar to columns in SQL. There are two types of sObjects – Standard and Custom.|||For example, Account is a standard sObject and any other user-defined object (like Customer object that we created) is a Custom sObject.|||Example|||Enum is an abstract data type that stores one value of a finite set of specified identifiers. You can use the keyword Enum to define an Enum. Enum can be used as any other data type in Salesforce.|||Example|||You can declare the possible names of Chemical Compound by executing the following
code −","Primitive (Integer, Double, Long, Date, Datetime, String, ID, or Boolean)@@@Collections (Lists, Sets and Maps) (To be covered in Chapter 6)@@@sObject@@@Enums@@@Classes, Objects and Interfaces (To be covered in Chapter 11, 12 and 13)",,,"Integer barrelNumbers = 1000;system.debug(' value of barrelNumbers variable: '+barrelNumbers);|||Boolean shipmentDispatched;shipmentDispatched = true;System.debug('Value of shipmentDispatched '+shipmentDispatched);|||//ShipmentDate can be stored when shipment is dispatched.Date ShipmentDate = date.today();System.debug('ShipmentDate '+ShipmentDate);|||Long companyRevenue = 21474838973344648L;system.debug('companyRevenue'+companyRevenue);|||Account objAccount = new Account (Name = 'Test Chemical');system.debug('Account value'+objAccount);|||//Class Name: MyApexClassMyApexClass classObj = new MyApexClass();|||String companyName = 'Abc International';System.debug('Value companyName variable'+companyName);|||//Declaring an sObject variable of type AccountAccount objAccount = new Account();//Assignment of values to fields of sObjectsobjAccount.Name = 'ABC Customer';objAccount.Description = 'Test Account';System.debug('objAccount variable value'+objAccount);//Declaring an sObject for custom object APEX_Invoice_cAPEX_Customer_c objCustomer = new APEX_Customer_c();//Assigning value to fieldsobjCustomer.APEX_Customer_Decscription_c = 'Test Customer';System.debug('value objCustomer'+objCustomer);|||//Declaring enum for Chemical Compoundspublic enum Compounds {HCL, H2SO4, NACL, HG}Compounds objC = Compounds.HCL;System.debug('objC value: '+objC);"
Learn Apex Programming,Apex - Variables,Apex - Variables|||Useful Video Courses|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"Java and Apex are similar in a lot of ways. Variable declaration in Java and Apex is also quite the same. We will discuss a few examples to understand how to declare local variables.|||Note that all the variables are assigned with the value null.|||Declaring Variables|||You can declare the variables in Apex like String and Integer as follows −|||Apex variables are Case-Insensitive|||This means that the code given below will throw an error since the variable 'm' has been declared two times and both will be treated as the same.|||Scope of Variables|||An Apex variable is valid from the point where it is declared in code. So it is not allowed to redefine the same variable again and in code block. Also, if you declare any variable in a method, then that variable scope will be limited to that particular method only. However, class variables can be accessed throughout the class.|||Example",,,,"String productName = 'HCL';Integer i = 0;Set<string> setOfProducts = new Set<string>();Map<id, string> mapOfProductIdToName = new Map<id, string>();|||String strName = 'My String';  //String variable declarationInteger myInteger = 1;         //Integer variable declarationBoolean mtBoolean = true;      //Boolean variable declaration|||Integer m = 100;for (Integer i = 0; i<10; i++) {   integer m = 1; //This statement will throw an error as m is being declared   again   System.debug('This code will throw error');}|||//Declare variable ProductsList<string> Products = new List<strings>();Products.add('HCL');//You cannot declare this variable in this code clock or sub code block again//If you do so then it will throw the error as the previous variable in scope//Below statement will throw error if declared in same code blockList<string> Products = new List<strings>();"
Learn Apex Programming,Apex - Strings,Apex - Strings|||String Methods@@@Useful Video Courses|||contains@@@equals@@@equalsIgnoreCase@@@remove@@@removeEndIgnoreCase@@@startsWith|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"String in Apex, as in any other programming language, is any set of characters with no character limit.|||Example|||String class in Salesforce has many methods. We will take a look at some of the most important and frequently used string methods in this chapter.|||This method will return true if the given string contains the substring mentioned.|||Syntax|||Example|||This method will return true if the given string and the string passed in the method have the same binary sequence of characters and they are not null. You can compare the SFDC record id as well using this method. This method is case-sensitive.|||Syntax|||Example|||This method will return true if stringtoCompare has the same sequence of characters as the given string. However, this method is not case-sensitive.|||Syntax|||Example|||The following code will return true as string characters and sequence are same, ignoring the case sensitivity.|||This method removes the string provided in stringToRemove from the given string. This is useful when you want to remove some specific characters from string and are not aware of the exact index of the characters to remove. This method is case sensitive and will not work if the same character sequence occurs but case is different.|||Syntax|||Example|||This method removes the string provided in stringToRemove from the given string but only if it occurs at the end. This method is not case-sensitive.|||Syntax|||Example|||This method will return true if the given string starts with the prefix provided in the
method.|||Syntax|||Example",,,,String companyName = 'Abc International';System.debug('Value companyName variable'+companyName);|||String myProductName1 = 'HCL';String myProductName2 = 'NAHCL';Boolean result = myProductName2.contains(myProductName1);System.debug('O/p will be true as it contains the String and Output is:'+result);|||String myString1 = 'MyString';String myString2 = 'MyString';Boolean result = myString2.equals(myString1);System.debug('Value of Result will be true as they are same and Result is:'+result);|||String myString1 = 'MySTRING';String myString2 = 'MyString';Boolean result = myString2.equalsIgnoreCase(myString1);System.debug('Value of Result will be true as they are same and Result is:'+result);|||String myString1 = 'This Is MyString Example';String stringToRemove = 'MyString';String result = myString1.remove(stringToRemove);System.debug('Value of Result will be 'This Is Example' as we have removed the MyString    and Result is :'+result);|||String myString1 = 'This Is MyString EXAMPLE';String stringToRemove = 'Example';String result = myString1.removeEndIgnoreCase(stringToRemove);System.debug('Value of Result will be 'This Is MyString' as we have removed the 'Example'   and Result is :'+result);|||String myString1 = 'This Is MyString EXAMPLE';String prefix = 'This';Boolean result = myString1.startsWith(prefix);System.debug(' This will return true as our String starts with string 'This' and the    Result is :'+result);
Learn Apex Programming,Apex - Arrays,Apex - Arrays|||Accessing array element by using index@@@Useful Video Courses|||Syntax@@@Example|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"Arrays in Apex are basically the same as Lists in Apex. There is no logical distinction between the Arrays and Lists as their internal data structure and methods are also same but the array syntax is little traditional like Java.|||Below is the representation of an Array of Products −|||Index 0 − HCL|||Index 1 − H2SO4|||Index 2 − NACL|||Index 3 − H2O|||Index 4 − N2|||Index 5 − U296||||||Suppose, we have to store the name of our Products – we can use the Array where in, we will store the Product Names as shown below. You can access the particular Product by specifying the index.|||You can access any element in array by using the index as shown below −",,,,//Defining arrayString [] arrayOfProducts = new List<String>();//Adding elements in ArrayarrayOfProducts.add('HCL');arrayOfProducts.add('H2SO4');arrayOfProducts.add('NACL');arrayOfProducts.add('H2O');arrayOfProducts.add('N2');arrayOfProducts.add('U296');for (Integer i = 0; i<arrayOfProducts.size(); i++) {   //This loop will print all the elements in array   system.debug('Values In Array: '+arrayOfProducts[i]);}|||//Accessing the element in array//We would access the element at Index 3System.debug('Value at Index 3 is :'+arrayOfProducts[3]);
Learn Apex Programming,Apex - Constants,Apex - Constants|||Example@@@Useful Video Courses|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"As in any other programming language, Constants are the variables which do not change their value once declared or assigned a value.|||In Apex, Constants are used when we want to define variables which should have constant value throughout the program execution. Apex constants are declared with the keyword 'final'.|||Consider a CustomerOperationClass class and a constant variable regularCustomerDiscount
inside it −|||To see the Output of the above class, you have to execute the following code in the Developer Console Anonymous Window −",,,,public class CustomerOperationClass {   static final Double regularCustomerDiscount = 0.1;   static Double finalPrice = 0;      public static Double provideDiscount (Integer price) {      //calculate the discount      finalPrice = price - price * regularCustomerDiscount;      return finalPrice;   }}|||Double finalPrice = CustomerOperationClass.provideDiscount(100);System.debug('finalPrice '+finalPrice);
Learn Apex Programming,Apex - Decision Making,Apex - Decision Making|||Useful Video Courses|||Oracle Apex - Web App Development@@@Oracle Application Express APEX 20.1 Administration Training@@@Salesforce Apex Programming tutorial with practise exam,"Decision-making structures require that the programmer specify one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||In this chapter, we will be studying the basic and advanced structure of decision-making and conditional statements in Apex. Decision-making is necessary to control the flow of execution when certain condition is met or not. Following is the general form of a typical decision-making structure found in most of the programming languages|||An if statement consists of a Boolean expression followed by one or more statements.|||An if statement can be followed by an optional else statement, which executes when the Boolean expression is false.|||An if statement can be followed by an optional else if...else statement, which is very useful to test various conditions using single if...else if statement.|||You can use one if or else if statement inside another if or else if statement(s).",,,"Sr.No.@@@Statement & Description|||1@@@if statement
An if statement consists of a Boolean expression followed by one or more statements.|||2@@@if...else statement
An if statement can be followed by an optional else statement, which executes when the Boolean expression is false.|||3@@@if...elseif...else statement
An if statement can be followed by an optional else if...else statement, which is very useful to test various conditions using single if...else if statement.|||4@@@nested if statement
You can use one if or else if statement inside another if or else if statement(s).",
