Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Awk Programming,Awk Tutorial,Awk Tutorial@@@Audience@@@Prerequisites,"This tutorial takes you through AWK, one of the most prominent text-processing utility on GNU/Linux. It is very powerful and uses simple programming language. It can solve complex text processing tasks with a few lines of code. Starting with an overview of AWK, its environment, and workflow, the tutorial proceeds to explain the syntax, variables, operators, arrays, loops, and functions used in AWK. It also covers topics such as output redirection and pretty printing.|||This tutorial will be useful for software developers, system administrators, or any enthusiastic reader inclined to learn how to do text processing and data extraction in Unix-like environment.|||You must have a basic understanding of GNU/Linux operating system and shell scripting.",,,,
Learn Awk Programming,AWK - Overview,AWK - Overview|||Types of AWK@@@Typical Uses of AWK,"AWK is an interpreted programming language. It is very powerful and specially designed for text processing. Its name is derived from the family names of its authors − Alfred Aho, Peter Weinberger, and Brian Kernighan.|||The version of AWK that GNU/Linux distributes is written and maintained by the Free Software Foundation (FSF); it is often referred to as GNU AWK.|||Following are the variants of AWK −|||AWK − Original AWK from AT & T Laboratory.|||NAWK − Newer and improved version of AWK from AT & T Laboratory.|||GAWK − It is GNU AWK. All GNU/Linux distributions ship GAWK. It is fully compatible with AWK and NAWK.|||Myriad of tasks can be done with AWK. Listed below are just a few of them −","AWK − Original AWK from AT & T Laboratory.@@@NAWK − Newer and improved version of AWK from AT & T Laboratory.@@@GAWK − It is GNU AWK. All GNU/Linux distributions ship GAWK. It is fully compatible with AWK and NAWK.|||Text processing,@@@Producing formatted text reports,@@@Performing arithmetic operations,@@@Performing string operations, and many more.",,,
Learn Awk Programming,AWK - Environment,AWK - Environment|||Installation Using Package Manager@@@Installation from Source Code,"This chapter describes how to set up the AWK environment on your GNU/Linux system.|||Generally, AWK is available by default on most GNU/Linux distributions. You can use which command to check whether it is present on your system or not. In case you don’t have AWK, then install it on Debian based GNU/Linux using Advance Package Tool (APT) package manager as follows −|||Similarly, to install AWK on RPM based GNU/Linux, use Yellowdog Updator Modifier yum package manager as follows −|||After installation, ensure that AWK is accessible via command line.|||On executing the above code, you get the following result −|||As GNU AWK is a part of the GNU project, its source code is available for free download. We have already seen how to install AWK using package manager. Let us now understand how to install AWK from its source code.|||The following installation is applicable to any GNU/Linux software, and for most other freely-available programs as well. Here are the installation steps −|||Step 1 − Download the source code from an authentic place. The command-line utility wget serves this purpose.|||Step 2 − Decompress and extract the downloaded source code.|||Step 3 − Change into the directory and run configure.|||Step 4 − Upon successful completion, the configure generates Makefile. To compile the source code, issue a make command.|||Step 5 − You can run the test suite to ensure the build is clean. This is an optional step.|||Step 6 − Finally, install AWK. Make sure you have super-user privileges.|||That is it! You have successfully compiled and installed AWK. Verify it by executing the awk command as follows −|||On executing this code, you get the following result −",,,,[jeryy]$ sudo apt-get update[jeryy]$ sudo apt-get install gawk|||[root]# yum install gawk|||[jerry]$ which awk|||[jerry]$ wget http://ftp.gnu.org/gnu/gawk/gawk-4.1.1.tar.xz|||[jerry]$ tar xvf gawk-4.1.1.tar.xz|||[jerry]$ ./configure|||[jerry]$ make|||[jerry]$ make check|||[jerry]$ sudo make install|||[jerry]$ which awk
Learn Awk Programming,AWK - Workflow,AWK - Workflow|||Program Structure|||Read@@@Execute@@@Repeat@@@BEGIN block@@@Body Block@@@END Block,"To become an expert AWK programmer, you need to know its internals. AWK follows a simple workflow − Read, Execute, and Repeat. The following diagram depicts the workflow of AWK −|||AWK reads a line from the input stream (file, pipe, or stdin) and stores it in memory.|||All AWK commands are applied sequentially on the input. By default AWK execute commands on every line. We can restrict this by providing patterns.|||This process repeats until the file reaches its end.|||Let us now understand the program structure of AWK.|||The syntax of the BEGIN block is as follows −|||Syntax|||The BEGIN block gets executed at program start-up. It executes only once. This is good place to initialize variables. BEGIN is an AWK keyword and hence it must be in upper-case. Please note that this block is optional.|||The syntax of the body block is as follows −|||Syntax|||The body block applies AWK commands on every input line. By default, AWK executes commands on every line. We can restrict this by providing patterns. Note that there are no keywords for the Body block.|||The syntax of the END block is as follows −|||Syntax|||The END block executes at the end of the program. END is an AWK keyword and hence it must be in upper-case. Please note that this block is optional.|||Let us create a file marks.txt which contains the serial number, name of the student, subject name, and number of marks obtained.|||Let us now display the file contents with header by using AWK script.|||Example|||When this code is executed, it produces the following result −|||Output|||At the start, AWK prints the header from the BEGIN block. Then in the body block, it reads a line from a file and executes AWK's print command which just prints the contents on the standard output stream. This process repeats until file reaches the end.",,,,"[jerry]$ awk 'BEGIN{printf ""Sr No\tName\tSub\tMarks\n""} {print}' marks.txt"
Learn Awk Programming,AWK - Basic Syntax,AWK - Basic Syntax|||AWK Command Line@@@AWK Program File@@@AWK Standard Options|||Example@@@The -v option@@@The --dump-variables[=file] option@@@The --help option@@@The --lint[=fatal] option@@@The --posix option@@@The --profile[=file] option@@@The --traditional option@@@The --version option,"AWK is simple to use. We can provide AWK commands either directly from the command line or in the form of a text file containing AWK commands.|||We can specify an AWK command within single quotes at command line as shown −|||Consider a text file marks.txt with the following content −|||Let us display the complete content of the file using AWK as follows −|||Example|||On executing this code, you get the following result −|||Output|||We can provide AWK commands in a script file as shown −|||First, create a text file command.awk containing the AWK command as shown below −|||Now we can instruct the AWK to read commands from the text file and perform the action. Here, we achieve the same result as shown in the above example.|||Example|||On executing this code, you get the following result −|||Output|||AWK supports the following standard options which can be provided from the command line.|||This option assigns a value to a variable. It allows assignment before the program execution. The following example describes the usage of the -v option.|||Example|||On executing this code, you get the following result −|||Output|||It prints a sorted list of global variables and their final values to file. The default file is awkvars.out.|||Example|||On executing the above code, you get the following result −|||Output|||This option prints the help message on standard output.|||Example|||On executing this code, you get the following result −|||Output|||This option enables checking of non-portable or dubious constructs. When an argument fatal is provided, it treats warning messages as errors. The following example demonstrates this −|||Example|||On executing this code, you get the following result −|||Output|||This option turns on strict POSIX compatibility, in which all common and gawk-specific extensions are disabled.|||This option generates a pretty-printed version of the program in file. Default file is awkprof.out. Below simple example illustrates this −|||Example|||On executing this code, you get the following result −|||Output|||This option disables all gawk-specific extensions.|||This option displays the version information of the AWK program.|||Example|||When this code is executed, it produces the following result −|||Output",,,,"[jerry]$ awk '{print}' marks.txt |||[jerry]$ awk -f command.awk marks.txt|||[jerry]$ awk -v name=Jerry 'BEGIN{printf ""Name = %s\n"", name}'|||[jerry]$ awk --dump-variables ''[jerry]$ cat awkvars.out |||[jerry]$ awk --help|||[jerry]$ awk --lint '' /bin/ls|||[jerry]$ awk --profile 'BEGIN{printf""---|Header|--\n""} {print} END{printf""---|Footer|---\n""}' marks.txt > /dev/null [jerry]$ cat awkprof.out|||[jerry]$ awk --version"
Learn Awk Programming,AWK - Basic Examples,AWK - Basic Examples|||Printing Column or Field@@@Printing All Lines@@@Printing Columns by Pattern@@@Printing Column in Any Order@@@Counting and Printing Matched Pattern@@@Printing Lines with More than 18 Characters|||Example@@@Output@@@Example@@@Output@@@Example@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output,"This chapter describes several useful AWK commands and their appropriate examples. Consider a text file marks.txt to be processed with the following content −|||You can instruct AWK to print only certain columns from the input field. The following example demonstrates this −|||On executing this code, you get the following result −|||In the file marks.txt, the third column contains the subject name and the fourth column contains the marks obtained in a particular subject. Let us print these two columns using AWK print command. In the above example, $3 and $4 represent the third and the fourth fields respectively from the input record.|||By default, AWK prints all the lines that match pattern.|||On executing this code, you get the following result −|||In the above example, we are searching form pattern a. When a pattern match succeeds, it executes a command from the body block. In the absence of a body block − default action is taken which is print the record. Hence, the following command produces the same result −|||When a pattern match succeeds, AWK prints the entire record by default. But you can instruct AWK to print only certain fields. For instance, the following example prints the third and fourth field when a pattern match succeeds.|||On executing this code, you get the following result −|||You can print columns in any order. For instance, the following example prints the fourth column followed by the third column.|||On executing the above code, you get the following result −|||Let us see an example where you can count and print the number of lines for which a pattern match succeeded.|||On executing this code, you get the following result −|||In this example, we increment the value of counter when a pattern match succeeds and we print this value in the END block. Note that unlike other programming languages, there is no need to declare a variable before using it.|||Let us print only those lines that contain more than 18 characters.|||On executing this code, you get the following result −|||AWK provides a built-in length  function that returns the length of the string. $0 variable stores the entire line and in the absence of a body block, default action is taken, i.e., the print action. Hence, if a line has more than 18 characters, then the comparison results true and the line gets printed.",,,,"[jerry]$ awk '{print $3 ""\t"" $4}' marks.txt|||[jerry]$ awk '/a/ {print $0}' marks.txt|||[jerry]$ awk '/a/' marks.txt|||[jerry]$ awk '/a/ {print $3 ""\t"" $4}' marks.txt|||[jerry]$ awk '/a/ {print $4 ""\t"" $3}' marks.txt|||[jerry]$ awk '/a/{++cnt} END {print ""Count = "", cnt}' marks.txt|||[jerry]$ awk 'length($0) > 18' marks.txt"
Learn Awk Programming,AWK - Built-in Variables,AWK - Built-in Variables|||Standard AWK variables@@@GNU AWK Specific Variables|||ARGC@@@ARGV@@@CONVFMT@@@ENVIRON@@@FILENAME@@@FS@@@NF@@@NR@@@FNR@@@OFMT@@@OFS@@@ORS@@@RLENGTH@@@RS@@@RSTART@@@SUBSEP@@@$0@@@$n@@@ARGIND@@@BINMODE@@@ERRNO@@@FIELDWIDTHS@@@IGNORECASE@@@LINT@@@PROCINFO@@@TEXTDOMAIN,"AWK provides several built-in variables. They play an important role while writing AWK scripts. This chapter demonstrates the usage of built-in variables.|||The standard AWK variables are discussed below.|||It implies the number of arguments provided at the command line.|||Example|||On executing this code, you get the following result −|||Output|||But why AWK shows 5 when you passed only 4 arguments? Just check the following example to clear your doubt.|||It is an array that stores the command-line arguments. The array's valid index ranges from 0 to ARGC-1.|||Example|||On executing this code, you get the following result −|||Output|||It represents the conversion format for numbers. Its default value is %.6g.|||Example|||On executing this code, you get the following result −|||Output|||It is an associative array of environment variables.|||Example|||On executing this code, you get the following result −|||Output|||To find names of other environment variables, use env command.|||It represents the current file name.|||Example|||On executing this code, you get the following result −|||Output|||Please note that FILENAME is undefined in the BEGIN block.|||It represents the (input) field separator and its default value is space. You can also change this by using -F command line option.|||Example|||On executing this code, you get the following result −|||Output|||It represents the number of fields in the current record. For instance, the following example prints only those lines that contain more than two fields.|||Example|||On executing this code, you get the following result −|||Output|||It represents the number of the current record. For instance, the following example prints the record if the current record number is less than three.|||Example|||On executing this code, you get the following result −|||Output|||It is similar to NR, but relative to the current file. It is useful when AWK is operating on multiple files. Value of FNR resets with new file.|||It represents the output format number and its default value is %.6g.|||Example|||On executing this code, you get the following result −|||Output|||It represents the output field separator and its default value is space.|||Example|||On executing this code, you get the following result −|||Output|||It represents the output record separator and its default value is newline.|||Example|||On executing the above code, you get the following result −|||Output|||It represents the length of the string matched by match function. AWK's match function searches for a given string in the input-string.|||Example|||On executing this code, you get the following result −|||Output|||It represents (input) record separator and its default value is newline.|||Example|||On executing this code, you get the following result −|||Output|||It represents the first position in the string matched by match function.|||Example|||On executing this code, you get the following result −|||Output|||It represents the separator character for array subscripts and its default value is \034.|||Example|||On executing this code, you get the following result −|||Output|||It represents the entire input record.|||Example|||On executing this code, you get the following result −|||Output|||It represents the nth field in the current record where the fields are separated by FS.|||Example|||On executing this code, you get the following result −|||Output|||GNU AWK specific variables are as follows −|||It represents the index in ARGV of the current file being processed.|||Example|||On executing this code, you get the following result −|||Output|||It is used to specify binary mode for all file I/O on non-POSIX systems. Numeric values of 1, 2, or 3 specify that input files, output files, or all files, respectively, should use binary I/O. String values of r or w specify that input files or output files, respectively, should use binary I/O. String values of rw or wr specify that all files should use binary I/O.|||A string indicates an error when a redirection fails for getline or if close call fails.|||Example|||On executing this code, you get the following result −|||Output|||A space separated list of field widths variable is set, GAWK parses the input into fields of fixed width, instead of using the value of the FS variable as the field separator.|||When this variable is set, GAWK becomes case-insensitive. The following example demonstrates this −|||Example|||On executing this code, you get the following result −|||Output|||It provides dynamic control of the --lint option from the GAWK program. When this variable is set, GAWK prints lint warnings. When assigned the string value fatal, lint warnings become fatal errors, exactly like --lint=fatal.|||Example|||On executing this code, you get the following result −|||Output|||This is an associative array containing information about the process, such as real and effective UID numbers, process ID number, and so on.|||Example|||On executing this code, you get the following result −|||Output|||It represents the text domain of the AWK program. It is used to find the localized translations for the program's strings.|||Example|||On executing this code, you get the following result −|||Output|||The above output shows English text due to en_IN locale",,,,"[jerry]$ awk 'BEGIN {print ""Arguments ="", ARGC}' One Two Three Four|||[jerry]$ awk 'BEGIN {    for (i = 0; i < ARGC - 1; ++i) {       printf ""ARGV[%d] = %s\n"", i, ARGV[i]    } }' one two three four|||[jerry]$ awk 'BEGIN { print ""Conversion Format ="", CONVFMT }'|||[jerry]$ awk 'BEGIN { print ENVIRON[""USER""] }'|||[jerry]$ awk 'END {print FILENAME}' marks.txt|||[jerry]$ awk 'BEGIN {print ""FS = "" FS}' | cat -vte|||[jerry]$ echo -e ""One Two\nOne Two Three\nOne Two Three Four"" | awk 'NF > 2'|||[jerry]$ echo -e ""One Two\nOne Two Three\nOne Two Three Four"" | awk 'NR < 3'|||[jerry]$ awk 'BEGIN {print ""OFMT = "" OFMT}'|||[jerry]$ awk 'BEGIN {print ""OFS = "" OFS}' | cat -vte|||[jerry]$ awk 'BEGIN {print ""ORS = "" ORS}' | cat -vte|||[jerry]$ awk 'BEGIN { if (match(""One Two Three"", ""re"")) { print RLENGTH } }'|||[jerry]$ awk 'BEGIN {print ""RS = "" RS}' | cat -vte|||[jerry]$ awk 'BEGIN { if (match(""One Two Three"", ""Thre"")) { print RSTART } }'|||[jerry]$ awk 'BEGIN { print ""SUBSEP = "" SUBSEP }' | cat -vte|||[jerry]$ awk '{print $0}' marks.txt|||[jerry]$ awk '{print $3 ""\t"" $4}' marks.txt|||[jerry]$ awk '{    print ""ARGIND   = "", ARGIND; print ""Filename = "", ARGV[ARGIND] }' junk1 junk2 junk3|||[jerry]$ awk 'BEGIN { ret = getline < ""junk.txt""; if (ret == -1) print ""Error:"", ERRNO }'|||[jerry]$ awk 'BEGIN{IGNORECASE = 1} /amit/' marks.txt|||[jerry]$ awk 'BEGIN {LINT = 1; a}'|||[jerry]$ awk 'BEGIN { print PROCINFO[""pid""] }'|||[jerry]$ awk 'BEGIN { print TEXTDOMAIN }'"
Learn Awk Programming,AWK - Operators,AWK - Operators,"Like other programming languages, AWK also provides a large set of operators. This chapter explains AWK operators with suitable examples.|||AWK supports the following arithmetic operators.|||AWK supports the following increment and decrement operators.|||AWK supports the following assignment operators.|||AWK supports the following relational operators.|||AWK supports the following logical operators.|||We can easily implement a condition expression using ternary operator.|||AWK supports the following unary operators.|||There are two formats of exponential operators.|||Space is a string concatenation operator that merges two strings.|||It is represented by in. It is used while accessing array elements.|||This example explains the two forms of regular expressions operators.",,,"S.No.@@@Operators & Description|||1@@@Arithmetic Operators
AWK supports the following arithmetic operators.|||2@@@Increment and Decrement Operators
AWK supports the following increment and decrement operators.|||3@@@Assignment Operators
AWK supports the following assignment operators.|||4@@@Relational Operators
AWK supports the following relational operators.|||5@@@Logical Operators
AWK supports the following logical operators.|||6@@@Ternary Operator
We can easily implement a condition expression using ternary operator.|||7@@@Unary Operators
AWK supports the following unary operators.|||8@@@Exponential Operators
There are two formats of exponential operators.|||9@@@String Concatenation Operator
Space is a string concatenation operator that merges two strings.|||10@@@Array Membership Operator
It is represented by in. It is used while accessing array elements.|||11@@@Regular Expression Operators
This example explains the two forms of regular expressions operators.",
Learn Awk Programming,AWK - Regular Expressions,AWK - Regular Expressions|||Dot@@@Start of line@@@End of line@@@Match character set@@@Exclusive set@@@Alteration@@@Zero or One Occurrence@@@Zero or More Occurrence@@@One or More Occurrence@@@Grouping|||Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output@@@Example@@@Output,"AWK is very powerful and efficient in handling regular expressions. A number of complex tasks can be solved with simple regular expressions. Any command-line expert knows the power of regular expressions.|||This chapter covers standard regular expressions with suitable examples.|||It matches any single character except the end of line character. For instance, the following example matches fin, fun, fan etc.|||On executing the above code, you get the following result −|||It matches the start of line. For instance, the following example prints all the lines that start with pattern The.|||On executing this code, you get the following result −|||It matches the end of line. For instance, the following example prints the lines that end with the letter n.|||On executing this code, you get the following result −|||It is used to match only one out of several characters. For instance, the following example matches pattern Call and Tall but not Ball.|||On executing this code, you get the following result −|||In exclusive set, the carat negates the set of characters in the square brackets. For instance, the following example prints only Ball.|||On executing this code, you get the following result −|||A vertical bar allows regular expressions to be logically ORed. For instance, the following example prints Ball and Call.|||On executing this code, you get the following result −|||It matches zero or one occurrence of the preceding character. For instance, the following example matches Colour as well as Color. We have made u as an optional character by using ?.|||On executing this code, you get the following result −|||It matches zero or more occurrences of the preceding character. For instance, the following example matches ca, cat, catt, and so on.|||On executing this code, you get the following result −|||It matches one or more occurrence of the preceding character. For instance below example matches one or more occurrences of the 2.|||On executing the above code, you get the following result −|||Parentheses () are used for grouping and the character | is used for alternatives. For instance, the following regular expression matches the lines containing either Apple Juice or Apple Cake.|||On executing this code, you get the following result −",,,,"[jerry]$ echo -e ""cat\nbat\nfun\nfin\nfan"" | awk '/f.n/'|||[jerry]$ echo -e ""This\nThat\nThere\nTheir\nthese"" | awk '/^The/'|||[jerry]$ echo -e ""knife\nknow\nfun\nfin\nfan\nnine"" | awk '/n$/'|||[jerry]$ echo -e ""Call\nTall\nBall"" | awk '/[CT]all/'|||[jerry]$ echo -e ""Call\nTall\nBall"" | awk '/[^CT]all/'|||[jerry]$ echo -e ""Call\nTall\nBall\nSmall\nShall"" | awk '/Call|Ball/'|||[jerry]$ echo -e ""Colour\nColor"" | awk '/Colou?r/'|||[jerry]$ echo -e ""ca\ncat\ncatt"" | awk '/cat*/'|||[jerry]$ echo -e ""111\n22\n123\n234\n456\n222""  | awk '/2+/'|||[jerry]$ echo -e ""Apple Juice\nApple Pie\nApple Tart\nApple Cake"" | awk    '/Apple (Juice|Cake)/'"
Learn Awk Programming,AWK - Arrays,AWK - Arrays|||Creating Array@@@Deleting Array Elements@@@Multi-Dimensional arrays|||Syntax@@@Example@@@Output@@@Syntax@@@Example@@@Syntax@@@Example@@@Output,"AWK has associative arrays and one of the best thing about it is – the indexes need not to be continuous set of number; you can use either string or number as an array index. Also, there is no need to declare the size of an array in advance – arrays can expand/shrink at runtime.|||Its syntax is as follows −|||Where array_name is the name of array, index is the array index, and value is any value assigning to the element of the array.|||To gain more insight on array, let us create and access the elements of an array.|||On executing this code, you get the following result −|||In the above example, we declare the array as fruits whose index is fruit name and the value is the color of the fruit. To access array elements, we use array_name[index] format.|||For insertion, we used assignment operator. Similarly, we can use delete statement to remove an element from the array. The syntax of delete statement is as follows −|||The following example deletes the element orange. Hence the command does not show any output.|||AWK only supports one-dimensional arrays. But you can easily simulate a multi-dimensional array using the one-dimensional array itself.|||For instance, given below is a 3x3 two-dimensional array −|||In the above example, array[0][0] stores 100, array[0][1] stores 200, and so on. To store 100 at array location [0][0], we can use the following syntax −|||Though we gave 0,0 as index, these are not two indexes. In reality, it is just one index with the string 0,0.|||The following example simulates a 2-D array −|||On executing this code, you get the following result −|||You can also perform a variety of operations on an array such as sorting its elements/indexes. For that purpose, you can use assort and asorti functions",,,,"[jerry]$ awk 'BEGIN {   fruits[""mango""] = ""yellow"";   fruits[""orange""] = ""orange""   print fruits[""orange""] ""\n"" fruits[""mango""]}'|||[jerry]$ awk 'BEGIN {   fruits[""mango""] = ""yellow"";   fruits[""orange""] = ""orange"";   delete fruits[""orange""];   print fruits[""orange""]}'|||[jerry]$ awk 'BEGIN {   array[""0,0""] = 100;   array[""0,1""] = 200;   array[""0,2""] = 300;   array[""1,0""] = 400;   array[""1,1""] = 500;   array[""1,2""] = 600;   # print array elements   print ""array[0,0] = "" array[""0,0""];   print ""array[0,1] = "" array[""0,1""];   print ""array[0,2] = "" array[""0,2""];   print ""array[1,0] = "" array[""1,0""];   print ""array[1,1] = "" array[""1,1""];   print ""array[1,2] = "" array[""1,2""];}'"
