Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Elixir,Elixir Tutorial,"Elixir Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","Elixir is a dynamic, functional language designed for building scalable and maintainable applications. It is built on top of Erlang. Elixir leverages the Erlang VM, known for running low-latency, distributed and fault-tolerant systems, while also being successfully used in web development and the embedded software domain.|||This tutorial is created for software programmers who aim to learn the fundamentals of Elixir programming language from scratch. This tutorial will give you a basic foundation to start programming in Elixir programming language.|||Before proceeding with this tutorial, you should have a basic understanding of Computer Programming terminologies and exposure to any other programming language. Some familiarity with functional programming will help you in learning Elixir.",,,,
Learn Elixir,Elixir - Overview,"Elixir - Overview|||Features of Elixir@@@Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","Elixir is a dynamic, functional language designed for building scalable and maintainable applications. It leverages the Erlang VM, known for running low-latency, distributed and fault-tolerant systems, while also being successfully used in web development and the embedded software domain.|||Elixir is a functional, dynamic language built on top of Erlang and the Erlang VM. Erlang is a language that was originally written in 1986 by Ericsson to help solve telephony problems like distribution, fault-tolerance, and concurrency. Elixir, written by José Valim, extends Erlang and provides a friendlier syntax into the Erlang VM. It does this while keeping the performance of the same level as Erlang.|||Let us now discuss a few important features of Elixir −|||Scalability − All Elixir code runs inside lightweight processes that are isolated and exchange information via messages.|||Fault Tolerance − Elixir provides supervisors which describe how to restart parts of your system when things go wrong, going back to a known initial state that is guaranteed to work. This ensures your application/platform is never down.|||Functional Programming − Functional programming promotes a coding style that helps developers write code that is short, fast, and maintainable.|||Build tools − Elixir ships with a set of development tools. Mix is one such tool that makes it easy to create projects, manage tasks, run tests, etc. It also has its own package manager − Hex.|||Erlang Compatibility − Elixir runs on the Erlang VM giving developers complete access to Erlang’s ecosystem.","Scalability − All Elixir code runs inside lightweight processes that are isolated and exchange information via messages.@@@Fault Tolerance − Elixir provides supervisors which describe how to restart parts of your system when things go wrong, going back to a known initial state that is guaranteed to work. This ensures your application/platform is never down.@@@Functional Programming − Functional programming promotes a coding style that helps developers write code that is short, fast, and maintainable.@@@Build tools − Elixir ships with a set of development tools. Mix is one such tool that makes it easy to create projects, manage tasks, run tests, etc. It also has its own package manager − Hex.@@@Erlang Compatibility − Elixir runs on the Erlang VM giving developers complete access to Erlang’s ecosystem.",,,
Learn Elixir,Elixir - Environment,"Elixir - Environment|||Installing Elixir@@@Testing the Setup@@@Useful Video Courses|||Windows Setup@@@Mac Setup@@@Ubuntu/Debian Setup@@@Other Linux Distros|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","In order to run Elixir, you need to set it up locally on your system.|||To install Elixir, you will first require Erlang. On some platforms, Elixir packages come with Erlang in them.|||Let us now understand the installation of Elixir in different Operating Systems.|||To install Elixir on windows, download installer from https://repo.hex.pm/elixirwebsetup.exe and simply click Next to proceed through all steps. You will have it on your local system.|||If you have any problems while installing it, you can check this page for more info.|||If you have Homebrew installed, make sure that it is the latest version. For updating, use the following command −|||Now, install Elixir using the command given below −|||The steps to install Elixir in an Ubuntu/Debian setup is as follows −|||Add Erlang Solutions repo −|||Install the Erlang/OTP platform and all of its applications −|||Install Elixir −|||If you have any other Linux distribution, please visit this page to set up elixir on your local system.|||To test the Elixir setup on your system, open your terminal and enter iex in it. It will open the interactive elixir shell like the following −|||Elixir is now successfully set up on your system.",,,,
Learn Elixir,Elixir - Basic Syntax,"Elixir - Basic Syntax|||Comments@@@Line Endings@@@Identifiers@@@Reserved Words@@@Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","We will start with the customary 'Hello World' program.|||To start the Elixir interactive shell, enter the following command.|||After the shell starts, use the IO.puts function to ""put"" the string on the console output. Enter the following in your Elixir shell −|||In this tutorial, we will use the Elixir script mode where we will keep the Elixir code in a file with the extension .ex. Let us now keep the above code in the test.ex file. In the succeeding step, we will execute it using elixirc−|||Let us now try to run the above program as follows −|||The above program generates the following result −|||Here we are calling a function IO.puts to generate a string to our console as output. This function can also be called the way we do in C, C++, Java, etc., providing arguments in parentheses following the function name −|||Single line comments start with a '#' symbol. There's no multi-line comment, but you can stack multiple comments. For example −|||There are no required line endings like ';' in Elixir. However, we can have multiple statements in the same line, using ';'. For example,|||The above program generates the following result −|||Identifiers like variables, function names are used to identify a variable, function, etc. In Elixir, you can name your identifiers starting with a lower case alphabet with numbers, underscores and upper case letters thereafter. This naming convention is commonly known as snake_case. For example, following are some valid identifiers in Elixir −|||Please note that variables can also be named with a leading underscore. A value that is not meant to be used must be assigned to _ or to a variable starting with underscore −|||Also elixir relies on underscores to make functions private to modules. If you name a function with a leading underscore in a module, and import that module, this function will not be imported.|||There are many more intricacies related to function naming in Elixir which we will discuss in coming chapters.|||Following words are reserved and cannot be used as variables, module or function names.",,,,"IO.puts ""Hello world""|||IO.puts ""Hello world""|||$elixirc test.ex|||IO.puts(""Hello""); IO.puts(""World!"")"
Learn Elixir,Elixir - Data Types,"Elixir - Data Types|||Numerical Types@@@Useful Video Courses|||Octal@@@Hexadecimal@@@Binary@@@Atoms@@@Booleans@@@Strings@@@Binaries@@@Lists@@@Tuples|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","For using any language, you need to understand the basic data types the language supports. In this chapter, we will discuss 7 basic data types supported by the elixir language: integers, floats, Booleans, atoms, strings, lists and tuples.|||Elixir, like any other programming language, supports both integers and floats. If you open your elixir shell and input any integer or float as input, it'll return its value. For example, |||When the above program is run, it produces the following result −|||You can also define numbers in octal, hex and binary bases.|||To define a number in octal base, prefix it with '0o'. For example, 0o52 in octal is equivalent to 42 in decimal.|||To define a number in decimal base, prefix it with '0x'. For example, 0xF1 in hex is equivalent to 241 in decimal.|||To define a number in binary base, prefix it with '0b'. For example, 0b1101 in binary is equivalent to 13 in decimal.|||Elixir supports 64bit double precision for floating point numbers. And they can also be defined using an exponentiation style. For example, 10145230000 can be written as 1.014523e10|||Atoms are constants whose name is their value. They can be created using the color(:) symbol. For example, |||Elixir supports true and false as Booleans. Both these values are in fact attached to atoms :true and :false respectively.|||Strings in Elixir are inserted between double quotes, and they are encoded in UTF-8. They can span multiple lines and contain interpolations. To define a string simply enter it in double quotes −|||To define multiline strings, we use a syntax similar to python with triple double quotes −|||We'll learn about strings, binaries and char lists(similar to strings) in depth in the strings chapter.|||Binaries are sequences of bytes enclosed in <<  >> separated with a comma. For example,|||Binaries are mostly used to handle bits and bytes related data, if you have any. They can, by default, store 0 to 255 in each value. This size limit can be increased by using the size function that says how many bits it should take to store that value. For example,|||Elixir uses square brackets to specify a list of values. Values can be of any type. For example,|||Lists come with inbuilt functions for head and tail of the list named hd and tl which return the head and tail of the list respectively. Sometimes when you create a list, it'll return a char list. This is because when elixir sees a list of printable ASCII characters, it prints it as a char list. Please note that strings and char lists are not equal. We'll discuss lists further in later chapters.|||Elixir uses curly brackets to define tuples. Like lists, tuples can hold any value.|||A question arises here, - why provide both lists and tuples when they both work in the same way? Well they have different implementations.|||Lists are actually stored as linked lists, so insertions, deletions are very fast in lists.|||Tuples on the other hand, are stored in contiguous memory block, which make accessing them faster but adds an additional cost on insertions and deletions.","Lists are actually stored as linked lists, so insertions, deletions are very fast in lists.@@@Tuples on the other hand, are stored in contiguous memory block, which make accessing them faster but adds an additional cost on insertions and deletions.",,,":hello|||""Hello world""|||""""""HelloWorld!""""""|||<< 65, 68, 75>>|||{ 1, ""Hello"", :an_atom, true "
Learn Elixir,Elixir - Variables,"Elixir - Variables|||Types of Variables@@@Variable Declaration@@@Variable Naming@@@Printing Variables@@@Useful Video Courses|||Integer@@@Floats@@@Boolean@@@Strings@@@Anonymous Functions/Lambdas@@@Collections|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","A variable provides us with named storage that our programs can manipulate. Each variable in Elixir has a specific type, which determines the size and layout of the variable's memory; the range of values that can be stored within that memory; and the set of operations that can be applied to the variable.|||Elixir supports the following basic types of variables.|||These are used for Integers. They are of size 32bit on a 32bit architecture and 64 bits on a 64-bit architecture. Integers are always signed in elixir. If an integer starts to expand in size above its limit, elixir convers it in a Big Integer which takes up memory in range 3 to n words whichever can fit it in memory.|||Floats have a 64-bit precision in elixir. They are also like integers in terms of memory. When defining a float, exponential notation can be used.|||They can take up 2 values which is either true or false.|||Strings are utf-8 encoded in elixir. They have a strings module which provides a lot of functionality to the programmer to manipulate strings.|||These are functions that can be defined and assigned to a variable, which can then be used to call this function.|||There are a lot of collection types available in Elixir. Some of them are Lists, Tuples, Maps, Binaries, etc. These will be discussed in subsequent chapters.|||A variable declaration tells the interpreter where and how much to create the storage for the variable. Elixir does not allow us to just declare a variable. A variable must be declared and assigned a value at the same time. For example, to create a variable named life and assign it a value 42, we do the following −|||This will bind the variable life to value 42. If we want to reassign this variable a new value, we can do this by using the same syntax as above, i.e.,|||Naming variables follow a snake_case convention in Elixir, i.e., all variables must start with a lowercase letter, followed by 0 or more letters(both upper and lower case), followed at the end by an optional '?' OR '!'.|||Variable names can also be started with a leading underscore but that must be used only when ignoring the variable, i.e., that variable will not be used again but is needed to be assigned to something.|||In the interactive shell, variables will print if you just enter the variable name. For example, if you create a variable −|||And enter 'life' in your shell, you'll get the output as −|||But if you want to output a variable to the console (When running an external script from a file), you need to provide the variable as input to IO.puts function −|||or|||This will give you the following output −",,,,life = 42  IO.puts life |||life = 42 IO.puts(life) 
Learn Elixir,Elixir - Operators,"Elixir - Operators|||Arithmetic Operators@@@Comparison Operators@@@Logical operators@@@Bitwise Operators@@@Misc Operators@@@Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations. There are a LOT of operators provided by elixir. They are divided in the following categories −|||The following table shows all the arithmetic operators supported by Elixir language. Assume variable A holds 10 and variable B holds 20, then −|||Show Examples|||The comparison operators in Elixir are mostly common to those provided in most other languages. The following table sums up comparison operators in Elixir. Assume variable A holds 10 and variable B holds 20, then −|||Show Examples|||Elixir provides 6 logical operators: and, or, not, &&, || and !. The first three, and or not are strict Boolean operators, meaning that they expect their first argument to be a Boolean. Non Boolean argument will raise an error. While the next three, &&, || and ! are non strict, do not require us to have the first value strictly as a boolean. They work in the same way as their strict counterparts. Assume variable A holds true and variable B holds 20, then −|||Show Examples|||NOTE −and, or, && and || || are short circuit operators. This means that if the first argument of and is false, then it will not further check for the second one. And if the first argument of or is true, then it will not check for the second one. For example, |||Bitwise operators work on bits and perform bit by bit operation. Elixir provides bitwise modules as part of the package Bitwise, so in order to use these, you need to use the bitwise module. To use it, enter the following command in your shell −||| Assume A to be 5 and B to be 6 for the following examples −|||Show Examples|||Other than the above operators, Elixir also provides a range of other operators like Concatenation Operator, Match Operator, Pin Operator, Pipe  Operator, String Match Operator, Code Point Operator, Capture Operator, Ternary Operator that make it quite a powerful language.|||Show Examples",Arithmetic operators@@@Comparison operators@@@Boolean operators@@@Misc operators,,"Operator@@@Description@@@Example|||+@@@Adds 2 numbers.@@@A + B will give 30|||-@@@Subtracts second number from first.@@@A-B will give -10|||*@@@Multiplies two numbers.@@@A*B will give 200|||/@@@Divides first number from second. This casts the numbers in floats and gives a float result@@@A/B will give 0.5.|||div@@@This function is used to get the quotient on division.@@@div(10,20) will give 0|||rem@@@This function is used to get the remainder on division.@@@rem(A, B) will give 10&&&Operator@@@Description@@@Example|||==@@@Checks if value on left is equal to value on right(Type casts values if they are not the same type).@@@A == B will give false|||!=@@@Checks if value on left is not equal to value on right.@@@A != B will give true|||===@@@Checks if type of value on left equals type of value on right, if yes then check the same for value.@@@A === B will give false|||!==@@@Same as above but checks for inequality instead of equality.@@@A !== B will give true|||>@@@Checks if the value of left operand is greater than the value of right operand; if yes, then the condition becomes true.@@@A > B will give false|||<@@@Checks if the value of left operand is less than the value of right operand; if yes, then the condition becomes true.@@@A < B will give true|||>=@@@Checks if the value of left operand is greater than or equal to the value of right operand; if yes, then the condition becomes true.@@@A >= B will give false|||<=@@@Checks if the value of left operand is less than or equal to the value of right operand; if yes, then the condition becomes true.@@@A <= B will give true&&&Operator@@@Description@@@Example|||and@@@Checks if both values provided are truthy, if yes then returns the value of second variable. (Logical and).@@@A and B will give 20|||or@@@Checks if either value provided is truthy. Returns whichever value is truthy. Else returns false. (Logical or).@@@A or B will give true|||not@@@Unary operator which inverts the value of given input.@@@not A will give false|||&&@@@Non-strict and. Works same as and but does not expect first argument to be a Boolean.@@@B && A will give 20|||||@@@Non-strict or. Works same as or but does not expect first argument to be a Boolean.@@@B || A will give true|||!@@@Non-strict not. Works same as not but does not expect the argument to be a Boolean.@@@!A will give false&&&Operator@@@Description@@@Example|||&&&@@@Bitwise and operator copies a bit to result if it exists in both operands.@@@A &&& B will give 4||||||@@@Bitwise or operator copies a bit to result if it exists in either operand.@@@A ||| B will give 7|||>>>@@@Bitwise right shift operator shifts first operand bits to the right by the number specified in second operand.@@@A >>> B will give 0|||<<<@@@Bitwise left shift operator shifts first operand bits to the left by the number specified in second operand.@@@A <<< B will give 320|||^^^@@@Bitwise XOR operator copies a bit to result only if it is different on both operands.@@@A ^^^ B will give 3|||~~~@@@Unary bitwise not inverts the bits on the given number.@@@~~~A will give -6","false and raise(""An error"")  #This won't raise an error as raise function wont get executed because of short#circuiting nature of and operator"
Learn Elixir,Elixir - Pattern Matching,"Elixir - Pattern Matching|||Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","Pattern matching is a technique which Elixir inherits form Erlang. It is a very powerful technique that allows us to extract simpler substructures from complicated data structures like lists, tuples, maps, etc.|||A match has 2 main parts, a left and a right side. The right side is a data structure of any kind. The left side attempts to match the data structure on the right side and bind any variables on the left to the respective substructure on the right. If a match is not found, the operator raises an error.|||The simplest match is a lone variable on the left and any data structure on the right. This variable will match anything. For example,|||You can place variables inside a structure so that you can capture a substructure. For example, |||This will store the values, {""First variable""} in var_1 and ""Second variable"" in var_2. There is also a special _ variable(or variables prefixed with '_') that works exactly like other variables but tells elixir, ""Make sure something is here, but I don't care exactly what it is."". In the previous example, _unused_var was one such variable.|||We can match more complicated patterns using this technique. For example if you want to unwrap and get a number in a tuple which is inside a list which itself is in a list, you can use the following command −|||The above program generates the following result −|||This will bind a to 24. Other values are ignored as we are using '_'.|||In pattern matching, if we use a variable on the right, its value is used. If you want to use the value of a variable on the left, you'll need to use the pin operator.|||For example, if you have a variable ""a"" having value 25 and you want to match it with another variable ""b"" having value 25, then you need to enter −|||The last line matches the current value of a, instead of assigning it, to the value of b. If we have a non-matching set of left and right hand side, the match operator raises an error. For example, if we try to match a tuple with a list or a list of size 2 with a list of size 3, an error will be displayed.",,,,"x = 12x = ""Hello""IO.puts(x)|||[var_1, _unused_var, var_2] = [{""First variable""}, 25, ""Second variable"" ]IO.puts(var_1)IO.puts(var_2)|||[_, [_, {a}]] = [""Random string"", [:an_atom, {24}]]IO.puts(a)|||a = 25b = 25^a = b"
Learn Elixir,Elixir - Decision Making,"Elixir - Decision Making|||Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","Decision making structures require that the programmer specifies one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Following is the general from of a typical decision making structure found in most of the programming language −|||Elixir provides if/else conditional constructs like many other programming languages. It also has a cond statement which calls the first true value it finds. Case is another control flow statement which uses pattern matching to control the flow of the program. Let's have a deep look at them.|||Elixir provides the following types of decision making statements. Click the following links to check their detail.|||An if statement consists of a Boolean expression followed by do, one or more executable statements and finally an end keyword. Code in if statement executes only if Boolean condition evaluates to true.|||An if statement can be followed by an optional else statement(within the do..end block), which executes when the Boolean expression is false.|||An unless statement has the same body as an if statement. The code within unless statement executes only when the condition specified is false.|||An unless..else statement has the same body as an if..else statement. The code within unless statement executes only when the condition specified is false.|||A cond statement is used where we want to execute code on basis of several conditions. It kind of works like an if...else if….else construct in several other programming languages.|||Case statement can be considered as a replacement for switch statement in imperative languages. Case takes a variable/literal and applies pattern matching to it with different cases. If any case matches, Elixir executes code associated with that case and exits case statement.",,,"Sr.No.@@@Statement & Description|||1@@@if statement
An if statement consists of a Boolean expression followed by do, one or more executable statements and finally an end keyword. Code in if statement executes only if Boolean condition evaluates to true.|||2@@@if..else statement
An if statement can be followed by an optional else statement(within the do..end block), which executes when the Boolean expression is false.|||3@@@unless statement
An unless statement has the same body as an if statement. The code within unless statement executes only when the condition specified is false.|||4@@@unless..else statement
An unless..else statement has the same body as an if..else statement. The code within unless statement executes only when the condition specified is false.|||5@@@cond
A cond statement is used where we want to execute code on basis of several conditions. It kind of works like an if...else if….else construct in several other programming languages.|||6@@@case
Case statement can be considered as a replacement for switch statement in imperative languages. Case takes a variable/literal and applies pattern matching to it with different cases. If any case matches, Elixir executes code associated with that case and exits case statement.",
Learn Elixir,Elixir - Strings,"Elixir - Strings|||Create a String@@@Empty Strings@@@String Interpolation@@@String Concatenation@@@String Length@@@Reversing a String@@@String Comparison@@@String Matching@@@String Functions@@@Binaries@@@Bitstrings@@@Useful Video Courses|||Master ELIXIR Programming from ZERO to HERO@@@FULLSTACK Web Development- HTML,CSS, JavaScript, PHP, ELIXIR@@@Python and Elixir Programming Bundle Course@@@Elixir and Phoenix: Real World Functional Programming","Strings in Elixir are inserted between double quotes, and they are encoded in UTF-8. Unlike C and C++ where the default strings are ASCII encoded and only 256 different characters are possible, UTF-8 consists of 1,112,064 code points. This means that UTF-8 encoding consists of those many different possible characters. Since the strings use utf-8, we can also use symbols like: ö, ł, etc.|||To create a string variable, simply assign a string to a variable −|||To print this to your console, simply call the IO.puts function and pass it the variable str −|||The above program generates the following result −|||You can create an empty string using the string literal, """". For example,|||The above program generates the following result.|||String interpolation is a way to construct a new String value from a mix of constants, variables, literals, and expressions by including their values inside a string literal. Elixir supports string interpolation, to use a variable in a string, when writing it, wrap it with curly braces and prepend the curly braces with a '#' sign.|||For example,|||This will take the value of x and substitute it in y. The above code will generate the following result −|||We have already seen the use of String concatenation in previous chapters. The '<>' operator is used to concatenate strings in Elixir. To concatenate 2 strings,|||The above code generates the following result −|||To get the length of the string, we use the String.length function. Pass the string as a parameter and it will show you its size. For example, |||When running above program, it produces following result −|||To reverse a string, pass it to the String.reverse function. For example,|||The above program generates the following result −|||To compare 2 strings, we can use the == or the === operators. For example,|||The above program generates the following result −|||We have already seen the use of the =~ string match operator. To check if a string matches a regex, we can also use the string match operator or the String.match? function. For example,|||The above program generates the following result −|||This same can also be achieved by using the =~ operator. For example,|||The above program generates the following result −|||Elixir supports a large number of functions related to strings, some of the most used are listed in the following table.|||at(string, position)|||Returns the grapheme at the position of the given utf8 string. If position is greater than string length, then it returns nil|||capitalize(string)|||Converts the first character in the given string to uppercase and the remainder to lowercase|||contains?(string, contents)|||Checks if string contains any of the given contents|||downcase(string)|||Converts all characters in the given string to lowercase|||ends_with?(string, suffixes)|||Returns true if string ends with any of the suffixes given|||first(string)|||Returns the first grapheme from a utf8 string, nil if the string is empty|||
last(string)|||Returns the last grapheme from a utf8 string, nil if the string is empty|||
replace(subject, pattern, replacement, options \\ [])|||Returns a new string created by replacing occurrences of pattern in subject with replacement|||slice(string, start, len)|||Returns a substring starting at the offset start, and of length len|||split(string)|||Divides a string into substrings at each Unicode whitespace occurrence with leading and trailing whitespace ignored. Groups of whitespace are treated as a single occurrence. Divisions do not occur on non-breaking whitespace|||upcase(string)|||Converts all characters in the given string to uppercase|||A binary is just a sequence of bytes. Binaries are defined using << >>. For example: |||Of course, those bytes can be organized in any way, even in a sequence that does not make them a valid string. For example, |||Strings are also binaries. And the string concatenation operator <> is actually a Binary concatenation operator: |||The above code generates the following result −|||Note the ł character. Since this is utf-8 encoded, this character representation takes up 2 bytes.|||Since each number represented in a binary is meant to be a byte, when this value goes up from 255, it is truncated. To prevent this, we use size modifier to specify how many bits we want that number to take. For example −|||The above program will generate the following result −|||We can also use the utf8 modifier, if a character is code point then, it will be produced in the output; else the bytes −|||The above program generates the following result −|||We also have a function called is_binary that checks if a given variable is a binary. Note that only variables which are stored as multiples of 8bits are binaries.|||If we define a binary using the size modifier and pass it a value that is not a multiple of 8, we end up with a bitstring instead of a binary. For example, |||The above program generates the following result −|||This means that variable bs is not a binary but rather a bitstring. We can also say that a binary is a bitstring where the number of bits is divisible by 8. Pattern matching works on binaries as well as bitstrings in the same way.",,,"Sr.No.@@@Function and its Purpose|||1@@@at(string, position)
Returns the grapheme at the position of the given utf8 string. If position is greater than string length, then it returns nil|||2@@@capitalize(string)Converts the first character in the given string to uppercase and the remainder to lowercase|||3@@@contains?(string, contents)Checks if string contains any of the given contents|||4@@@downcase(string)Converts all characters in the given string to lowercase|||5@@@ends_with?(string, suffixes)Returns true if string ends with any of the suffixes given|||6@@@first(string)Returns the first grapheme from a utf8 string, nil if the string is empty|||7@@@

last(string)
Returns the last grapheme from a utf8 string, nil if the string is empty
|||8@@@

replace(subject, pattern, replacement, options \\ [])
Returns a new string created by replacing occurrences of pattern in subject with replacement
|||9@@@
slice(string, start, len)
Returns a substring starting at the offset start, and of length len
|||10@@@
split(string)
Divides a string into substrings at each Unicode whitespace occurrence with leading and trailing whitespace ignored. Groups of whitespace are treated as a single occurrence. Divisions do not occur on non-breaking whitespace
|||11@@@
upcase(string)
Converts all characters in the given string to uppercase
","str = ""Hello world""|||str = str = ""Hello world"" IO.puts(str)|||a = """"if String.length(a) === 0 do   IO.puts(""a is an empty string"")end|||x = ""Apocalypse"" y = ""X-men #{x}""IO.puts(y)|||x = ""Dark""y = ""Knight""z = x <> "" "" <> yIO.puts(z)|||IO.puts(String.length(""Hello""))|||IO.puts(String.reverse(""Elixir""))|||var_1 = ""Hello world""var_2 = ""Hello Elixir""if var_1 === var_2 do   IO.puts(""#{var_1} and #{var_2} are the same"")else   IO.puts(""#{var_1} and #{var_2} are not the same"")end|||IO.puts(String.match?(""foo"", ~r/foo/))IO.puts(String.match?(""bar"", ~r/foo/))|||IO.puts(""foo"" =~ ~r/foo/)|||IO.puts(<< 0, 1 >> <> << 2, 3 >>)|||IO.puts(<< 256 >>) # truncated, it'll print << 0 >>IO.puts(<< 256 :: size(16) >>) #Takes 16 bits/2 bytes, will print << 1, 0 >>|||IO.puts(<< 256 :: utf8 >>)|||bs = << 1 :: size(1) >>IO.puts(bs)IO.puts(is_binary(bs))IO.puts(is_bitstring(bs))"
