Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Elm,Elm Tutorial,Elm Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Helm - The Kubernetes Package Manager Hands-on course,Elm is a pure functional programming language that compiles to JavaScript. It simplifies the language as well as an application framework. Elm is designed specifically for web frontend with the unique feature of no Runtime exceptions.|||This tutorial adopts a simple and practical approach to describe the concepts of Elm programming.|||This tutorial has been prepared for beginners to help them understand the basic and advanced concepts of Elm.|||An understanding of basic programming concepts is necessary for this course.,,,,
Learn Elm,Elm - Introduction,Elm - Introduction|||Why Elm@@@Useful Video Courses|||No Runtime Exceptions@@@Developer Friendly Error Messages@@@Easy to Test@@@Automatic Semantic Versioning@@@Reusable Code|||Helm - The Kubernetes Package Manager Hands-on course,"Elm is a functional programming language. It was Designed by Evan Czaplicki in 2012.|||Elm is specifically used for designing front end of web applications.|||Elm compiles to JavaScript and runs in the browser. It is fast, testable, maintainable, and comes with no Runtime exceptions.|||Some practical applications of the Elm programming platform include −|||Elm eliminates most of the common problems faced by frontend developers. This includes −|||Elm is a statically typed language. All possible errors are validated and corrected at compile-time. This makes it possible to have no runtime exceptions.|||Unlike other programming languages, Elm's compiler is designed to provide very specific and developer-friendly error messages at compile time. The error messages also include hints such as links to recommended design documentations.|||Each Elm function can be tested in isolation of all others. This makes programs written in Elm easily testable.|||Elm enforces automatic semantic versioning of packages. This ensures that a patch change does not crash an already running application.|||Elm functions are inherently easy to reuse compared to functions in JavaScript, Python, or TypeScript.",Games@@@Graphics@@@Single Page Applications,,,
Learn Elm,Elm - Environment Setup,Elm - Environment Setup|||Local Environment Setup@@@Useful Video Courses|||Installation on Windows@@@Installation on Mac OS X@@@Installation on Linux@@@Elm REPL|||Helm - The Kubernetes Package Manager Hands-on course,"This chapter discusses steps to install Elm on Windows, Mac and Linux platforms.|||Consider the steps shown below to install Elm in your local environment.|||Step 1 − Install node|||Since elm is compiled to JavaScript, the target machine should have node installed. Refer to TutorialsPoint NodeJS course for steps to setup node and npm|||Step 2 − Install elm|||Execute the following command on the terminal to install elm. Note that the stable version of elm was 0.18 at the time of writing this course.|||After installation, execute the following command to verify the version of Elm.|||Step 2 − Install the Editor|||The development environment used here is Visual Studio Code (Windows platform).|||Visual Studio Code is an open source IDE from Visual Studio. It is available for Mac OS X, Linux and Windows platforms. VSCode is available at|||In this section, we will discuss the steps to install Elm on Windows.|||Download https://code.visualstudio.com/. for Windows.|||Double-click on VSCodeSetup.exe to launch the setup process. This will only take a minute.|||You may directly traverse to the file’s path by right clicking on File → Open in command prompt. Similarly, the Reveal in Explorer option shows the file in the File Explorer.|||Visual Studio Code’s Mac OS X specific installation guide can be found at VSCode Installation-MAC.|||Visual Studio Code’s Linux specific installation guide can be found at VSCode Installation-Linux.|||Step 4 − Install the elm Extension|||Install the elm extension in VSCode as shown below.|||REPL stands for Read Eval Print Loop. It represents a computer environment like a Windows console or Unix/Linux shell where a command is entered and the system responds with an output in an interactive mode.|||Elm comes bundled with a REPL environment. It performs the following tasks −|||Read − Reads user's input, parses the input into elm data-structure, and stores in memory.|||Eval − Takes and evaluates the data structure.|||Print − Prints the result.|||Loop − Loops the above command until the user exits. Use the command :exit to exit REPL and return to the terminal.|||A simple example to add two numbers in REPL is shown below −|||Open the VSCode terminal and type the command elm REPL.|||The REPL terminal waits for the user to enter some input. Enter the following expression 10 + 20. The REPL environment processes the input as given below −|||Reads numbers 10 and 20 from user.|||Evaluates using the + operator.|||Prints result as 30.|||Loops for next user input. Here we exit from loop.","Read − Reads user's input, parses the input into elm data-structure, and stores in memory.@@@Eval − Takes and evaluates the data structure.@@@Print − Prints the result.@@@Loop − Loops the above command until the user exits. Use the command :exit to exit REPL and return to the terminal.|||Reads numbers 10 and 20 from user.@@@Evaluates using the + operator.@@@Prints result as 30.@@@Loops for next user input. Here we exit from loop.",,,
Learn Elm,Elm - Basic Syntax,Elm - Basic Syntax|||Comments in Elm@@@Lines and Indentation@@@Useful Video Courses|||Illustration|||Helm - The Kubernetes Package Manager Hands-on course,"This chapter discusses how to write a simple program in elm.|||Step 1 − Create a directory HelloApp in VSCode|||Now, create a file − Hello.elm in this directory.|||The above diagram shows project folder HelloApp and terminal opened in VSCode.|||Step 2 − Install the necessary elm packages|||The package manager in elm is elm-package. Install the elm-lang/html package. This package will help us display output of elm code in the browser.|||Traverse to the HelloApp project folder by right clicking on File → Open in command prompt in VSCode.|||Execute the following command in the terminal window −|||The following files/folders are added to the project directory on installing the package.|||The following message will appear once the package is installed successfully.|||Step 3 − Add the following code to the Hello.elm file|||The above program will display a string message Hello Elm from TutorialsPoint in the browser.|||For this, we need to import the function text within the Html module. The text function is used to print any string value in the browser. The main method is the entry point to a program. The main method invokes the text function and passes a string value to it.|||Step 4 − Compile the project|||Execute the following command in VSCode terminal window.|||The output of the above command is as shown below −|||The above command will generate an index.html file. The elm compiler converts .elm file to JavaScript and embeds it in the index.html file.|||Step 5 − Open the index.html in the browser|||Open the index.html file in any browser. The output will be as shown below −|||Comments are a way to improve the readability of a program. Comments can be used to include additional information about a program like author of the code, hints about a function construct, etc. Comments are ignored by the compiler.|||Elm supports the following types of comments −|||Single-line comments (--) − Any text between a -- and the end of a line is treated as a comment.|||Multi-line comments ({- -}) − These comments may span multiple lines.|||Elm provides no braces to indicate blocks of code for function definitions or flow control. Blocks of code are denoted by line indentation, which is rigidly enforced. All statements within a block must be indented the same amount. For example −|||However, the following block generates an error −|||Thus, in Elm all the continuous lines indented with same number of spaces would form a block.","elm-package.json (file), stores project meta data@@@elm-stuff (folder), stores external packages|||Single-line comments (--) − Any text between a -- and the end of a line is treated as a comment.@@@Multi-line comments ({- -}) − These comments may span multiple lines.",,,"-- importing Html module and the function textimport Html exposing (text)-- create main methodmain =-- invoke text functiontext ""Hello Elm from TutorialsPoint""|||module ModuleIf exposing (..)x = 0function1 =   if x > 5 then      ""x is greater""   else      ""x is small""|||-- Create file ModuleIf.elmmodule ModuleIf exposing (..)x = 0function1 =   if x > 5 then      ""x is greater""         else --Error:else indentation not at same level of if statement      ""x is small""|||C:\Users\admin>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------   :help for help, :exit to exit, more at    <https://github.com/elm-lang/elm-repl>   ---------------------------------------   -----------------------------------------> import ModuleIf exposing(..) -- importing module from ModuleIf.elm file>function1 -- executing function from module-- SYNTAX PROBLEM ---------------------------------------------------I need whitespace, but got stuck on what looks like a new declaration. You are either missing some stuff in the declaration above or just need to add some spaces here:7| else   ^I am looking for one of the following things:   whitespace"
Learn Elm,Elm - Data Types,Elm - Data Types|||Number@@@String and Char@@@Bool@@@Custom Types@@@Structured Data types@@@Useful Video Courses|||Helm - The Kubernetes Package Manager Hands-on course,"The Type System represents the different types of values supported by the language. The Type System checks validity of the supplied values, before they are stored or manipulated by the program. This ensures that the code behaves as expected. The Type System further allows for richer code hinting and automated documentation too.|||Elm is a statically typed language. Elm has types that are similar to those from other languages.|||The number data type represents numeric values. The Elm type system supports the following numeric types −|||The type number accommodates both fractional and non-fractional values. Open the elm REPL and try the examples given below −|||The String data type is used to represent a sequence of characters. The Char data type is used to represent a single character. String values are defined within a double quote "" and Char values are enclosed within a single quote '.|||Open the elm REPL and try the examples given below −|||The Bool data type in Elm supports only two values − True and False. The keyword Bool is used to represent a Boolean value.|||Open the elm REPL and try the examples given below −|||Elm supports creating user defined types. For example, consider a payment application. The application needs to store different modes of payment − credit card, debit card and net banking. This can be achieved by defining a custom type and restricting its value to the three acceptable modes of payments.|||The following example shows how to make a custom type.|||In the above example, we created a PaymentMode custom type. Variables payment1 and payment2 are assigned to PaymentMode values. If the value assigned to the variable does not match any of the values defined by the PaymentMode type, the application will throw a syntax error.|||Structured data types can be used to store multiple values in a structured format. Elm supports the following structured data types −|||These will be discussed in detail in the upcoming chapters.",Tuple@@@List@@@Record@@@Record,,"Sr. No.@@@Type@@@Example|||1@@@number − Stores any number@@@7 is number type|||2@@@Float − Stores fractional values@@@7/2 gives 3.5 result as Float|||3@@@Int − Stores non-fractional values@@@7//2 gives 3 result as Int&&&Sr. No.@@@Type@@@Example|||1@@@String − Stores a sequence of characters@@@""TutorialsPoint""|||2@@@Char − Stores fractional values@@@'T'&&&Sr. No.@@@Type@@@Example|||1@@@Bool − Stores values True or False@@@1==1 returns True","C:\Users\admin>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> 77 : number> 7/23.5 : Float> 7//23 : Int>|||C:\Users\admin>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> ""TutorialsPoint""""TutorialsPoint"" : String> 'T''T' : Char|||C:\Users\dell\elm>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> TrueTrue : Bool> FalseFalse : Bool> 1==1True : Bool> 1==2False : Bool> 1 /= 2 -- not equalTrue : Bool> not TrueFalse : Bool> not FalseTrue : Bool|||> type PaymentMode = CreditCard|NetBanking|DebitCard> payment1 = CreditCardCreditCard : Repl.PaymentMode> payment2 = DebitCardDebitCard : Repl.PaymentMode> payment3 = UPI-- NAMING ERROR ---------------------------------------------- repl-temp-000.elmCannot find variable `UPI`7| payment3 = UPI"
Learn Elm,Elm - Variables,Elm - Variables|||Variable Naming-Rules@@@Variable Declaration in Elm@@@Useful Video Courses|||Syntax 1@@@Syntax 2@@@Illustration@@@Illustration|||Helm - The Kubernetes Package Manager Hands-on course,"A variable, by definition, is “a named space in the memory” that stores values. In other words, it acts as a container for values in a program. A variable helps programs to store and manipulate values.|||Variables in Elm are associated with a specific data type. The data type determines the size and layout of the variable's memory, the range of values that can be stored within that memory and the set of operations that can be performed on the variable.|||In this section, we will learn about the Variable Naming-Rules.|||The type syntax for declaring a variable in Elm is given below −|||The “ : ” syntax (known as type annotation) is used to associate the variable with a data type.|||The data type is optional while declaring a variable in Elm. In this case, the data type of the variable is inferred from the value assigned to it.|||This example uses VSCode editor to write an elm program and execute it using the elm repl.|||Step 1 − Create a project folder - VariablesApp. Create a Variables.elm file in the project folder.|||Add the following content to the file.|||The program defines a module Variables. The name of a module must be the same as that of the elm program file. The (..) syntax is used to expose all components in the module.|||The program declares a variable message of the type String.|||Step 2 − Execute the program.|||Use Elm REPL to try the following example.|||Here, the variables company and location are String variables and rating is a Float variable.|||The elm REPL does not support type annotation for variables. The following example throws an error if the data type is included while declaring a variable.|||To insert a line break while using the elm REPL, use the \ syntax as shown below −","Variable names can be composed of letters, digits, and the underscore character.@@@Variable names cannot begin with a digit. It must begin with either a letter or an underscore.@@@Upper and lowercase letters are distinct because Elm is case-sensitive.|||Type the following command in the VSCode terminal to open the elm REPL.|||Execute the following elm statement in the REPL terminal.",,,"C:\Users\dell\elm>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>-------------------------------------------------------------------------------> company = ""TutorialsPoint""""TutorialsPoint"" : String> location = ""Hyderabad""""Hyderabad"" : String> rating = 4.54.5 : Float|||C:\Users\dell\elm>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> message:String-- SYNTAX PROBLEM -------------------------------------------- repl-temp-000.elmA single colon is for type annotations. Maybe you want :: instead? Or maybe youare defining a type annotation, but there is whitespace before it?3| message:String^Maybe <http://elm-lang.org/docs/syntax> can help you figure it out.|||C:\Users\dell\elm>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> company \ -- firstLine| = ""TutorialsPoint"" -- secondLine""TutorialsPoint"" : String"
Learn Elm,Elm - Operators,Elm - Operators|||Arithmetic Operators@@@Relational Operators@@@Comparable Types@@@Logical Operators@@@Useful Video Courses|||Helm - The Kubernetes Package Manager Hands-on course,"An operator defines some function that will be performed on the data. The values on which the operators work are called operands. Consider the following expression|||7 + 5 = 12|||Here, the values 7, 5, and 12 are operands, while + and = are operators.|||The major operators in Elm can be classified as −|||Assume the values in variables a and b are 7 and 2 respectively.|||Show Examples|||Relational Operators test or define the kind of relationship between two entities. These operators are used to compare two or more values. Relational operators return a Boolean value, i.e. true or false.|||Assume the value of a is 10 and b is 20.|||Show Examples|||Comparison operators like >= or < work with comparable types. These are defined as numbers, characters, strings, and lists, tuples. The comparable types on both sides of the operator must be the same.|||Open the elm REPL and try the examples shown below −|||Logical Operators are used to combine two or more conditions. Logical operators too return a Boolean value.|||Show Examples",Arithmetic@@@Relational@@@Logical,,"Sr. No.@@@Operator@@@Description@@@Example|||1@@@+(Addition)@@@returns the sum of the operands@@@a+b is 9|||2@@@-(Subtraction)@@@returns the difference of the values@@@a-b is 5|||3@@@* (Multiplication)@@@returns the product of the values@@@a*b is 14|||4@@@/ (Float Division)@@@performs division operation and returns a float quotient@@@a / b is 3.5|||5@@@//(Integer Division)@@@performs division operation and returns a integer quotient@@@a // b is 3|||6@@@% (Modulus)@@@performs division operation and returns the remainder@@@a % b is 1&&&Sr. No.@@@Operator@@@Description@@@Example|||1@@@>@@@Greater than@@@(a > b) is False|||2@@@<@@@Lesser than@@@(a < b) is True|||3@@@>=@@@Greater than or equal to@@@(a >= b) is False|||4@@@<=@@@Lesser than or equal to@@@(a <= b) is True|||5@@@==@@@Equality@@@(a == b) is false|||6@@@!=@@@Not equal@@@(a != b) is True&&&Sr. No.@@@Comparable Type@@@Example|||1@@@number@@@7>2 gives True|||2@@@character@@@'a' =='b' gives False|||3@@@string@@@""hello"" ==""hello"" gives True|||4@@@tuple@@@(1,""One"")==(1,""One"") gives True|||5@@@list@@@[1,2]==[1,2] gives True&&&Sr. No.@@@Operator@@@Description@@@Example|||1@@@&&@@@The operator returns true only if all the expressions specified return true@@@(10>5) && (20>5) returns True|||2@@@||@@@The operator returns true if at least one of the expressions specified return true@@@(10 < 5) || (20 >5) returns True|||3@@@not@@@The operator returns the inverse of the expression’s result. For E.g.: !(>5) returns false.@@@not (10 < 5) returns True|||4@@@xor@@@The operator returns true only if exactly one input returns true. The operator returns false if both the expressions return true.@@@xor (10 > 5 ) (20 > 5) returns false","C:\Users\admin>elm repl---- elm-repl 0.18.0 -----------------------------------------------------------:help for help, :exit to exit, more at <https://github.com/elm-lang/elm-repl>--------------------------------------------------------------------------------> 7>2True : Bool> 7.0>2True : Bool> 7.0<2.0False : Bool> 'a' > 'b'False : Bool> 'a' < 'b'True : Bool> ""a"" < ""b""True : Bool> (1,2) > (2,3)False : Bool> ['1','3'] < ['2','1']True : Bool>"
Learn Elm,Elm - Decision Making,Elm - Decision Making|||if...then...else Statement@@@Nested If@@@Case statement@@@Useful Video Courses|||Syntax@@@Illustration@@@Illustration@@@Illustration|||Helm - The Kubernetes Package Manager Hands-on course,"Decision-making structures requires that the programmer specifies one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Shown below is the general form of a typical decision-making structure found in most of the programming languages|||A decision-making construct evaluates a condition before the instructions are executed. Decision-making constructs in Elm are classified as follows −|||The if…then construct evaluates a condition before a block of code is executed. If the Boolean expression evaluates to true, then the block of code inside the then statement will be executed. If the Boolean expression evaluates to false, then the block of code inside the else statement will be executed.|||Unlike other programming languages, in Elm we must provide the else branch. Otherwise, Elm will throw an error.|||Try the following example in the REPL terminal.|||The nested if statement is useful for testing multiple conditions. The syntax of a nested if statement is given below −|||Try the following example in the Elm REPL −|||The case statement can be used to simplify the if then else statement. The syntax of a case statement is as given below −|||The case statement checks if the value of a variable matches a predefined set of constants and returns the corresponding value. Note that value returned by each case must be of the same type. If the variables value does not match any of the given constants, the control is passed to * default * (denoted by //_ ) and the corresponding value is returned.|||Try the following example in the Elm REPL −|||The above code snippet checks if the value of n is zero. The control is passed to default, which returns the string “n is not Zero”.",,,Sr. No.@@@Statement@@@Description|||1@@@if...then...else statement@@@The if statement consists of a Boolean expression followed by then which is executed if the expression returns true and else which is executed if the expression returns false|||2@@@nested if statement@@@You can use one if...then...else inside another if.|||3@@@case statement@@@Tests the value of a variable against a list of values.,"> if 10>5 then ""10 is bigger"" else ""10 is small""""10 is bigger"" : String|||> score=8080 : number> if score>=80 then ""Outstanding"" else if score > = 70 then ""good"" else ""average""""Outstanding"" : String|||case variable_name of   constant1 -> Return_some_value   constant2 -> Return_some_value   _ -> Return_some_value if none of the above values match|||> n = 1010 : number> case n of \| 0 -> ""n is Zero"" \| _ -> ""n is not Zero""""n is not Zero"" : String"
Learn Elm,Elm - Loop,Elm - Loop|||Recursion@@@Useful Video Courses|||Illustration@@@Illustration|||Helm - The Kubernetes Package Manager Hands-on course,"Elm is a functional programming language. Elm uses the concept of recursion as an alternative to traditional looping constructs.|||This chapter discusses the concept of recursion.|||Some computer programming languages allow a module or function to call itself. This technique is known as recursion.|||In this program, we will see how to use recursion to display hello five times.|||Step 1 − Create a file Loop.elm|||Create a module Loop and define a function sayHello. The function sayHello takes an integer value as input and returns a string value.|||The function sayHello checks if parameter passed is 1. If the parameter is 1, then function will return, otherwise it will create a string Hello and call the same function.|||Step 2 − Invoke sayHello from REPL|||Open the elm REPL from current project folder (location of Loop.elm file).|||The following example prints the sum of n numbers using recursion.|||In the elm REPL, we created a function sumOfNos that takes an input number and sums all numbers from 0 to that number.|||For example, if we pass input as 5, it will sum up 1+2+3+4+5 which is 15.|||The output of the program is shown above.",,,,"module Loop exposing(..)//function signaturesayHello:Int ->String//function implementationsayHello n =   case n of   1 -> ""Hello:1 ""   _ -> ""Hello:"" ++ toString (n) ++ "" "" ++ sayHello(n-1)|||//import the module Loop> import Loop exposing(..)//invoke the sayHello function with parameter value as 5> sayHello 5""Hello:5 Hello:4 Hello:3 Hello:2 Hello:1 Hello:0 "" : String>|||> sumOfNos n =\| if n==0 then 0 \| else (n) + sumOfNos (n-1)<function> : number -> number1|||> ssumOfNos 515 : number"
Learn Elm,Elm - Functions,Elm - Functions|||Steps to using a function@@@Parameterized Functions@@@Pipe Operator@@@Useful Video Courses|||Function Declaration@@@Function Definition or Function Implementation@@@Invoking or Calling a Function@@@Illustration@@@Illustration 1@@@Illustration 2|||Helm - The Kubernetes Package Manager Hands-on course,"Functions are the building blocks of an Elm program. A function is a set of statements to perform a specific task.|||Functions organize the program into logical blocks of code. Once defined, functions may be called to access code. This makes the code reusable. Moreover, functions make it easy to read and maintain the program’s code.|||There are three steps to using a function −|||A function declaration tells the compiler about a function's name, return type, and parameters. The syntax for declaring a function is given below −|||The function declaration specifies the following −|||Name of the function.|||Data type of the parameters. This is optional as a function may or may not have parameters.|||Data type of the value, which the function will return. Functions in Elm must always return a value as Elm is a functional programming language. Unlike functions in other programing languages, Elm functions do not use the return keyword to return a value.|||A function definition provides the actual body of the function. A function definition specifies how a specific task would be done. The syntax for defining a function is as given below −|||A function must be called so as to execute it. The syntax for calling a function is given below −|||The following code defines a function greet. The function returns a string ""Hello"".|||Parameters are a mechanism to pass values to a function. The values of the parameters are passed to the function at the time of function invocation.|||The following example defines a function fn_add. The function accepts two numbers as parameters and returns their sum. Try the following in elm REPL −|||The following example defines a function sayHello. The sayHello function accepts and returns a String value as parameter and returns a String.|||To understand pipe operator |>, let us consider an example where we have a list of different strings [""a"",""b"",""c""] . Now we need a single string, which is separated by −|||The following example shows how to do that with String.join|||The same action can be performed by using a pipe operator |>. The pipe operator can be used to chain multiple function calls.|||In the first example, we are chaining the list to join method. In the second case, the same list is piped to reverse function and thereafter piped to join. So, the list is displayed in reversed and joined.","Name of the function.@@@Data type of the parameters. This is optional as a function may or may not have parameters.@@@Data type of the value, which the function will return. Functions in Elm must always return a value as Elm is a functional programming language. Unlike functions in other programing languages, Elm functions do not use the return keyword to return a value.",,,"> greet = \| if True then \| ""Hello"" \| else \| ""GoodBye""""Hello"" : String> greet""Hello"" : String|||> fn_add x y = x+y<function> : number -> number -> number> fn_add 10 2030 : number|||> sayHello name = ""Hello ""++ name<function> : String -> String> sayHello ""Tutorialspoint""""Hello Tutorialspoint"" : String>|||> String.join ""-"" [""a"",""b"",""c"",""d"",""e"",""f""]""a-b-c-d-e-f"" : String|||> [""a"",""b"",""c"",""d"",""e"",""f""] |> String.join ""-""""a-b-c-d-e-f"" : String> [""a"",""b"",""c"",""d"",""e"",""f""] |> List.reverse |> String.join ""-""""f-e-d-c-b-a"" : String"
