Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Euphoria,Euphoria Programming Language Tutorial,Euphoria Programming Language Tutorial@@@Audience@@@Prerequisites,"This tutorial gives you basic understanding of Euphoria programming language. Euphoria is simple, flexible, easy to learn, and interpreted high-level programming language for DOS, Windows, Linux, FreeBSD, and more. This tutorial describes everything a programmer needs to know such as its environment, data types, syntax and operators, file handling, and controlling the flow of program.|||This tutorial is designed for the aspiring students who are keen to learn and understand Euphoria in detail. This tutorial would be of great help for the IT professionals working as programmers. The enthusiastic readers can access this tutorial as a source of additional reading.|||Before proceeding with this tutorial, you need to have a basic knowledge of working on Windows or Linux. You need to be familiar with any programming language such as C, C++. You need to have sound understanding of operating system, memory allocation and de-allocation, and basics of efficient programming and debugging.",,,,
Learn Euphoria,Euphoria - Overview,Euphoria - Overview|||Euphoria Features@@@Platform Requirements@@@Euphoria Limitations@@@Euphoria Licensing,"Euphoria stands for End-User Programming with Hierarchical Objects for Robust Interpreted Applications. Euphoria's first incarnation was created by Robert Craig on an Atari Mega-ST and it was first released in 1993. It is now maintained by Rapid Deployment Software.|||It is a free, simple, flexible, easy to learn, and interpreted but extremely fast 32-bit high-level programming language for DOS, Windows, Linux, FreeBSD and more.|||Euphoria is being used to develop Windows GUI programs, high-speed DOS games, and Linux/FreeBSD X Windows programs. Euphoria can also be used for CGI (Webbased) programming.|||Here is the list of major features of Euphoria −|||It is a simple, flexible, powerful language definition that is easy to learn and use.|||It supports dynamic storage allocation which means variables grow or shrink without the programmer having to worry about allocating and freeing the memory. It takes care of garbage collection automatically.|||It is extremely faster than conventional interpreters such as Perl and Python.|||Euphoria programs run under Linux, FreeBSD, 32-bit Windows, and any DOS environment.|||Euphoria programs are not subject to any 640K memory limitations.|||It provides an optimizing Euphoria-To-C translator which you can use to translate your Euphoria program into C and then compile it with a C compiler to get an executable (.exe) file. This can boost your program speed by 2 to 5 times.|||Underlying hardware are completely hidden which means programs are not aware of word-lengths, underlying bit-level representation of values, byte-order etc.|||Euphoria installation comes along with a full-screen source debugger, an execution profiler, and a full-screen multi-file editor.|||It supports run-time error-handling, subscript, and type checking.|||It is an open source language and comes completely free of cost.|||Euphoria is available on Windows, Linux, FreeBSD, and OSX. Here is the bare minimum version required with the following platforms −|||WIN32 version − You need Windows 95 or any later version of Windows. It runs fine on XP and Vista.|||Linux version − You need any reasonably up-to-date Linux distribution, that has libc6 or later. For example, Red Hat 5.2 or later works fine.|||FreeBSD version − You need any reasonably up-to-date FreeBSD distribution.|||Mac OS X version − You need any reasonably up-to-date Intel based Mac.|||Here are some prominent limitations of Euphoria −|||Even though Euphoria is simple, fast, and flexible enough for the programmers; it does not provide call support for many important functionalities. For example, network programming.|||Euphoria was invented in 1993, and still you would not find any book written on this language. There is also not much documentation available for the language.|||But these days, the language is getting popular very fast and you can hope to have nice utilities and books available for the language very soon.|||This product is free and open source, and has benefited from the contributions of many people. You have complete royalty-free rights to distribute any Euphoria programs that you develop.|||Icon files, such as euphoria.ico and binaries available in euphoria\bin, may be distributed with or without your changes.|||You can shroud or bind your program and distribute the resulting files royalty-free. Some additional 3rd party legal restrictions might apply when you use the Euphoria- To-C translator.|||The generous
 Open Source License  allows Euphoria to use for both personal and commercial purposes. Unlike many other open source licenses, your changes do not have to be made open source.","It is a simple, flexible, powerful language definition that is easy to learn and use.@@@It supports dynamic storage allocation which means variables grow or shrink without the programmer having to worry about allocating and freeing the memory. It takes care of garbage collection automatically.@@@It is extremely faster than conventional interpreters such as Perl and Python.@@@Euphoria programs run under Linux, FreeBSD, 32-bit Windows, and any DOS environment.@@@Euphoria programs are not subject to any 640K memory limitations.@@@It provides an optimizing Euphoria-To-C translator which you can use to translate your Euphoria program into C and then compile it with a C compiler to get an executable (.exe) file. This can boost your program speed by 2 to 5 times.@@@Underlying hardware are completely hidden which means programs are not aware of word-lengths, underlying bit-level representation of values, byte-order etc.@@@Euphoria installation comes along with a full-screen source debugger, an execution profiler, and a full-screen multi-file editor.@@@It supports run-time error-handling, subscript, and type checking.@@@It is an open source language and comes completely free of cost.|||WIN32 version − You need Windows 95 or any later version of Windows. It runs fine on XP and Vista.@@@Linux version − You need any reasonably up-to-date Linux distribution, that has libc6 or later. For example, Red Hat 5.2 or later works fine.@@@FreeBSD version − You need any reasonably up-to-date FreeBSD distribution.@@@Mac OS X version − You need any reasonably up-to-date Intel based Mac.|||Even though Euphoria is simple, fast, and flexible enough for the programmers; it does not provide call support for many important functionalities. For example, network programming.@@@Euphoria was invented in 1993, and still you would not find any book written on this language. There is also not much documentation available for the language.",,,
Learn Euphoria,Euphoria - Environment,"Euphoria - Environment|||Linux, Free BSD Installation@@@WIN32, and DOS Installation@@@Euphoria Interpreters","This chapter describes about the installation of Euphoria on various platforms. You can follow the steps to install Euphoria on Linux, FreeBSD, and 32-bit Windows. So you can choose the steps based on your working environment.|||Official website provides .tar.gz file to install Euphoria on your Linux or BSD OS. You can download your latest version of Euphoria from its official website − Download Euphoria.|||Once you have .tar.gz file, here are three simple steps to be performed to install Euphoria on your Linux or Free BSD machine −|||Step 1 − Installing Files|||Untar the downloaded file euphoria-4.0b2.tar.gz in a directory where you want to install Euphoria. If you want to install it in /home directory as follows, then −|||This creates a directory hierarchy inside /home/euphoria-4.0b2 directory as follows −|||NOTE − File name euphoria-4.0b2.tar.gz depends on latest version available. We are using 4.0b2 version of the language for this tutorial.|||Step 2 − Setting Up the Path|||After installing Euphoria, you need to set proper paths so that your shell can find required Euphoria binaries and utilities. Before proceeding, there are following three important environment variables you need to set up −|||Set PATH environment variable to point /home/euphoria-4.0b2/bin directory.|||Set EUDIR environment variable to point to /home/euphoria-4.0b2.|||Set EUINC environment variable to point to /home/euphoria-4.0b2/include.|||These variables can be set as follows −|||NOTE − The above commands used to set environment variables may differ depending on your Shell. We used bash shell for executing these commands to set the variables.|||Step 3 − Confirmation Installation|||Confirm if you installed Euphoria successfully or not.|||Execute the following command −|||If you get following result, then it means you have installed Euphoria successfully; otherwise you have to go back and check all the steps again.|||That is it, Euphoria Programming Environment is ready on your UNIX machine, and you can start writing complex programs in easy steps.|||Official website provides .exe file to install Euphoria on your WIN32 or DOS OS. You can download your latest version of Euphoria from its official website − Download Euphoria.|||Once you have .exe file, here are three simple steps to follow for installing Euphoria Programming language on your WIN32 or DOS machine −|||Step 1 − Installing Files|||Double click on the downloaded .exe setup program to install all the files. We downloaded euphoria-40b2.exe file for installation.|||The filename euphoria-40b2.exe depends on latest version available. We use version 4 beta 2 of the language.|||By default Euphoria would be installed in C:\euphoria-40b2 directory but you can also select a desired location.|||Step 2 − Rebooting the Machine|||Re-boot your machine to complete the installation.|||Step 3 − Confirmation Installation|||Confirm if you installed Euphoria successfully or not.|||Execute the following command −|||If you get following result, then it means you have installed Euphoria successfully; otherwise you have to go back and check all the steps again.|||That is it, Euphoria Programming Environment is ready on your WIN32 machine, and you can start writing complex programs in easy steps.|||Depending on the platform you are using, Euphoria has multiple interpreters −|||The main interpreter is eui.|||On windows platforms, you have two choices. If you run eui then a console window is created. If you run euiw then no console is created, making it suitable for GUI applications.|||Euphoria does not care about your choice of file extensions. By convention however; the console-based applications come with .ex extension.|||GUI-based applications have .exw extension and the include files have .e extension.","Set PATH environment variable to point /home/euphoria-4.0b2/bin directory.@@@Set EUDIR environment variable to point to /home/euphoria-4.0b2.@@@Set EUINC environment variable to point to /home/euphoria-4.0b2/include.|||The main interpreter is eui.@@@On windows platforms, you have two choices. If you run eui then a console window is created. If you run euiw then no console is created, making it suitable for GUI applications.@@@Euphoria does not care about your choice of file extensions. By convention however; the console-based applications come with .ex extension.@@@GUI-based applications have .exw extension and the include files have .e extension.",,,
Learn Euphoria,Euphoria - Basic Syntax,Euphoria - Basic Syntax|||First Euphoria Program@@@Euphoria Identifiers@@@Reserved Words@@@Expressions@@@Blocks of code@@@Multi-Line Statements@@@Escape Characters@@@Comments in Euphoria|||Examples,"The Euphoria language has many similarities to Perl, C, and Java. However, there are some definite differences between the languages. This chapter is designed to quickly get you up to speed on the syntax that is expected in Euphoria.|||This tutorial assumes you are working with Linux and all the examples have been written on Linux platform. But it is observed that there is no any prominent difference in program syntax on Linux and WIN32. Hence you can follow the same steps on WIN32.|||Let us write a simple Euphoria program in a script. Type the following source code in test.ex file and save it.|||Let us say, Euphoria interpreter is available in /home/euphoria-4.0b2/bin/ directory. Now run this program as follows −|||This produces the following result −|||This script used a built-in function puts() which takes two arguments. First argument indicates file name or device number, and second argument indicates a string which you want to print. Here 1 indicates STDOUT device.|||A Euphoria identifier is a name used to identify a variable, function, class, module, or other object. An identifier starts with a letter A to Z or a to z and then followed by letters, digits, or underscores.|||Euphoria does not allow punctuation characters such as @, $, and % within identifiers.|||Euphoria is a case sensitive programming language. Thus Manpower and manpower are two different identifiers in Euphoria. For example, the valid identifiers are −|||The following list shows the reserved words in Euphoria. These reserved words may not be used as constant or variable or any other identifier names. Euphoria keywords contain lowercase letters only.|||Euphoria lets you calculate results by forming expressions. However, in Euphoria you can perform calculations on entire sequences of data with one expression.|||You can handle a sequence much as you would handle a single number. It can be copied, passed to a subroutine, or calculated upon as a unit. For example −|||This is an expression that adds the sequence {1, 2, 3} and the atom 5 to get the resulting sequence {6, 7, 8}. You would learn sequences in subsequent chapters.|||One of the first caveats programmers encounter when learning Euphoria is the fact that there are no braces to indicate blocks of code for procedure and function definitions or flow control. Blocks of code are denoted by associated keywords.|||The following example shows if...then...end if block −|||Statements in Euphoria typically end with a new line. Euphoria does however, allow to write a single statement in multiple lines. For example −|||Escape characters may be entered using a back-slash. For example −|||The following table is a list of escape or non-printable characters that can be represented with backslash notation.|||Any comments are ignored by the compiler and have no effect on execution speed. It is advisable to use more comments in your program to make it more readable.|||There are three forms of comment text −|||Comments start by two dashes and extend to the end of the current line.|||The multi-line format comment is kept inside /*...*/, even if that occurs on a different line.|||You can use a special comment beginning with the two character sequence “#!” only on the first line of the program.|||This produces the following result −|||Note − You can use a special comment beginning with “#!”. This informs the Linux shell that your file should be executed by the Euphoria interpreter.","n@@@color26@@@ShellSort@@@quick_sort@@@a_very_long_indentifier|||Comments start by two dashes and extend to the end of the current line.@@@The multi-line format comment is kept inside /*...*/, even if that occurs on a different line.@@@You can use a special comment beginning with the two character sequence “#!” only on the first line of the program.",,"and@@@exit@@@override|||as@@@export@@@procedure|||break@@@fallthru@@@public|||by@@@for@@@retry|||case@@@function@@@return|||constant@@@global@@@routine|||continue@@@goto@@@switch|||do@@@if@@@then|||else@@@ifdef@@@to|||elsedef@@@include@@@type|||elsif@@@label@@@until|||elsifdef@@@loop@@@while|||end@@@namespace@@@with|||entry@@@not@@@without|||enum@@@or@@@xor&&&Backslash notation@@@Description|||\n@@@Newline|||\r@@@Carriage return|||\t@@@Tab|||\\@@@Backslash|||\""@@@Double quote|||\'@@@Single quote","#!/home/euphoria-4.0b2/bin/euiputs(1, ""Hello, Euphoria!\n"")|||$ chmod +x test.ex    # This is to make file executable$ ./test.ex|||if condition then   code block comes hereend if|||total = item_one +    item_two +    item_three|||#!/home/euphoria-4.0b2/bin/eui-- First commentputs(1, ""Hello, Euphoria!\n"") -- second comment/* This is a comment which extends over a number   of text lines and has no impact on the program*/"
Learn Euphoria,Euphoria - Variables,Euphoria - Variables|||Variable Declaration@@@Assigning Values@@@Identifier Scope,"Variables are nothing but reserved memory locations to store values. This means when you create a variable, you reserve some space in memory.|||Based on the data type of a variable, the interpreter allocates memory and decides what can be stored in the reserved memory. Therefore, by assigning different data types to variables, you can store integers, decimals, or characters in these variables. Euphoria data types are explained in different chapter.|||These memory locations are called variables because their value can be changed during their life time.|||Euphoria variables have to be explicitly declared to reserve memory space. Thus declaration of a variable is mandatory before you assign a value to a variable.|||Variable declarations have a type name followed by a list of the variables being declared. For example −|||When you declare a variable, you name the variable and you define which sort of values may legally be assigned to the variable during execution of your program.|||The simple act of declaring a variable does not assign any value to it. If you attempt to read it before assigning any value to it, Euphoria will issue a run-time error as ""variable xyz has never been assigned a value"".|||The equal sign (=) is used to assign values to variables. Variable can be assigned in the following manner −|||Variable_Name = Variable_Value|||For example −|||Here 100, 1000.0 and ""John"" are the values assigned to counter, miles and name variables, respectively. This program produces the following result −|||To guard against forgetting to initialize a variable, and also because it may make the code clearer to read, you can combine declaration and assignment −|||This is equivalent to the following −|||The scope of an identifier is a description of what code can access it. Code in the same scope of an identifier can access that identifier and code not in the same scope as identifier cannot access it.|||The scope of a variable depends upon where and how it is declared.|||If it is declared within a for, while, loop or switch, its scope starts at the declaration and ends at the respective end statement.|||In an if statement, the scope starts at the declaration and ends either at the next else, elsif or end if statement.|||If a variable is declared within a routine, the scope of the variable starts at the declaration and ends at the routine's end statement. This is knows as a private variable.|||If a variable is declared outside of a routine, its scope starts at the declaration and ends and the end of the file it is declared in. This is known as a module variable.|||The scope of a constant that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.|||The scope of a enum that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.|||The scope of all procedures, functions and types, which do not have a scope modifier, starts at the beginning of the source file and ends at the end of the source file in which they are declared.|||Constants, enums, module variables, procedures, functions and types, which do not have a scope modifier are referred to as locals. However, these identifiers can have a scope modifier preceding their declaration, which causes their scope to extend beyond the file they are declared in.|||If the keyword global precedes the declaration, the scope of these identifiers extends to the whole application. They can be accessed by code anywhere in the application files.|||If the keyword public precedes the declaration, the scope extends to any file that explicitly includes the file in which the identifier is declared, or to any file that includes a file that in turn public includes the file containing the public declaration.|||If the keyword export precedes the declaration, the scope only extends to any file that directly includes the file in which the identifier is declared.|||When you include a Euphoria file in another file, only the identifiers declared using a scope modifier are accessible to the file doing the include. The other declarations in the included file are invisible to the file doing the include.","If it is declared within a for, while, loop or switch, its scope starts at the declaration and ends at the respective end statement.@@@In an if statement, the scope starts at the declaration and ends either at the next else, elsif or end if statement.@@@If a variable is declared within a routine, the scope of the variable starts at the declaration and ends at the routine's end statement. This is knows as a private variable.@@@If a variable is declared outside of a routine, its scope starts at the declaration and ends and the end of the file it is declared in. This is known as a module variable.@@@The scope of a constant that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.@@@The scope of a enum that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.@@@The scope of all procedures, functions and types, which do not have a scope modifier, starts at the beginning of the source file and ends at the end of the source file in which they are declared.|||If the keyword global precedes the declaration, the scope of these identifiers extends to the whole application. They can be accessed by code anywhere in the application files.@@@If the keyword public precedes the declaration, the scope extends to any file that explicitly includes the file in which the identifier is declared, or to any file that includes a file that in turn public includes the file containing the public declaration.@@@If the keyword export precedes the declaration, the scope only extends to any file that directly includes the file in which the identifier is declared.",,,"#!/home/euphoria/bin/eui-- Here is the declaration of the variables.integer counterinteger milessequence namecounter = 100 -- An integer assignmentmiles = 1000.0 -- A floating pointname = ""John"" -- A string ( sequence )printf(1, ""Value of counter %d\n"", counter )printf(1, ""Value of miles %f\n"", miles )printf(1, ""Value of name %s\n"", {name} )"
Learn Euphoria,Euphoria - Constants,Euphoria - Constants|||The enums|||Examples@@@Examples,"Constants are also variables that are assigned an initial value that can never change in the program’s life. Euphoria allows to define constants using constant keyword as follows −|||The result of any expression can be assigned to a constant, even one involving calls to previously defined functions, but once the assignment is made, the value of the constant variable is ""locked in"".|||Constants may not be declared inside a subroutine. The scope of a constant that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.|||This produces the following error −|||If you delete last two lines from the example, then it produces the following result −|||An enumerated value is a special type of constant where the first value defaults to the number 1 and each item after that is incremented by 1. Enums can only take numeric values.|||Enums may not be declared inside a subroutine. The scope of an enum that does not have a scope modifier, starts at the declaration and ends and the end of the file it is declared in.|||This will produce following result −|||You can change the value of any one item by assigning it a numeric value. Subsequent values are always the previous value plus one, unless they too are assigned a default value.|||This produce the following result −|||Sequences use integer indices, but with enum you may write code like this −",,,,"constant MAX = 100constant Upper = MAX - 10, Lower = 5constant name_list = {""Fred"", ""George"", ""Larry""}|||#!/home/euphoria-4.0b2/bin/euiconstant MAX = 100constant Upper = MAX - 10, Lower = 5printf(1, ""Value of MAX %d\n"", MAX )printf(1, ""Value of Upper %d\n"", Upper )printf(1, ""Value of Lower %d\n"", Lower )MAX = MAX + 1printf(1, ""Value of MAX %d\n"", MAX )|||#!/home/euphoria-4.0b2/bin/euienum ONE, TWO, THREE, FOURprintf(1, ""Value of ONE %d\n"", ONE )printf(1, ""Value of TWO %d\n"", TWO )printf(1, ""Value of THREE %d\n"", THREE )printf(1, ""Value of FOUR %d\n"", FOUR )|||#!/home/euphoria-4.0b2/bin/euienum ONE, TWO, THREE, ABC=10, XYZprintf(1, ""Value of ONE %d\n"", ONE )printf(1, ""Value of TWO %d\n"", TWO )printf(1, ""Value of THREE %d\n"", THREE )printf(1, ""Value of ABC %d\n"", ABC )printf(1, ""Value of XYZ %d\n"", XYZ )|||enum X, Ysequence point = { 0,0 }point[X] = 3point[Y] = 4"
Learn Euphoria,Euphoria - Data Types,Euphoria - Data Types|||Integers@@@Atoms@@@Sequences@@@Objects,"The data stored in memory can be of many types. For example, a person's age is stored as a numeric value and his or her address is stored as alphanumeric characters.|||Euphoria has some standard types that are used to define the operations possible on them and the storage method for each of them.|||Euphoria has following four standard data types −|||The understanding of atoms and sequences is the key to understanding Euphoria.|||Euphoria integer data types store numeric values. They are declared and defined as follows −|||The variables declared with type integer must be atoms with integer values from -1073741824 to +1073741823 inclusive. You can perform exact calculations on larger integer values, up to about 15 decimal digits, but declare them as atom, rather than integer.|||All data objects in Euphoria are either atoms or sequences. An atom is a single numeric value. Atoms can have any integer or double-precision floating point value. Euphoria atoms are declared and defined as follows−|||The atoms can range from approximately -1e300 to +1e300 with 15 decimal digits of accuracy. An individual character is an atom which must may be entered using single quotes. For example, all the following statements are legal −|||A sequence is a collection of numeric values which can be accessed through their index. All data objects in Euphoria are either atoms or sequences.|||Sequence index starts from 1 unlike other programming languages where array index starts from 0. Euphoria sequences are declared and defined as follows −|||A character string is just a sequence of characters which may be entered using double quotes. For example, all the following statements are legal −|||Character strings may be manipulated and operated upon just like any other sequences. For example, the above string is entirely equivalent to the sequence −|||You will learn more about sequence in Euphoria − Sequences.|||This is a super data type in Euphoria which may take on any value including atoms, sequences, or integers. Euphoria objects are declared and defined as follows −|||An object may have one of the following values −|||a sequence|||an atom|||an integer|||an integer used as a file number|||a string sequence, or single-character atom","integer@@@atom@@@sequence@@@object|||a sequence@@@an atom@@@an integer@@@an integer used as a file number@@@a string sequence, or single-character atom",,,"integer var1, var2var1 = 1var2 = 100|||atom var1, var2, var3var1 = 1000var2 = 198.6121324234var3 = 'E'       |||sequence var1, var2, var3, var4var1 = {2, 3, 5, 7, 11, 13, 17, 19}var2 = {1, 2, {3, 3, 3}, 4, {5, {6}}}var3 = {{""zara"", ""ali""}, 52389, 97.25}     var4 = {} -- the 0 element sequence|||word = 'word'sentence = ""ABCDEFG""|||sentence = {65, 66, 67, 68, 69, 70, 71}|||object var1, var2, var3var1 = {2, 3, 5, 7, 11, 13, 17, 19}var2 = 100var3 = 'E'     "
Learn Euphoria,Euphoria - Operators,Euphoria - Operators|||The Arithmetic Operators@@@The Relational Operators@@@The Logical Operators@@@The Assignment Operators@@@Miscellaneous Operators@@@Precedence of Euphoria Operators|||The '&' Operator,"Euphoria provides a rich set of operators to manipulate variables. We can divide all the Euphoria operators into the following groups −|||Arithmetic operators are used in mathematical expressions in the same way that they are used in Algebra. The following table lists the arithmetic operators. Assume integer variable A holds 10 and variable B holds 20 then −|||Show Examples|||There are following relational operators supported by Euphoria language. Assume variable A holds 10 and variable B holds 20 then −|||Show Examples|||The following table lists the logical operators. Assume boolean variables A holds 1 and variable B holds 0 then −|||Show Examples|||You can also apply these operators to numbers other than 1 or 0. The convention is: zero means false and non-zero means true.|||There are following assignment operators supported by Euphoria language −|||Show Examples|||Note − The equals symbol '=' used in an assignment statement is not an operator, it is just a part of the syntax.|||There are few other operators supported by Euphoria Language.|||Any two objects may be concatenated using “&” operator. The result is a sequence with a length equal to the sum of the lengths of the concatenated objects.|||For example −|||This produces the following result −|||Operator precedence determines the grouping of terms in an expression. This affects how an expression is evaluated. Certain operators have higher precedence than others; for example, the multiplication operator has higher precedence than the addition operator.|||For example, x = 7 + 3 * 2|||Here, x is assigned 13, not 20 because operator * has higher precedence than +.|||Hence it first starts with 3*2 and then adds into 7.|||Here operators with the highest precedence appear at the top of the table, those with the lowest appear at the bottom. Within an expression, higher precedence operators is evaluated first.",Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Assignment Operators@@@Misc Operators,,"Operator@@@Description@@@Example|||+@@@Addition - Adds values on either side of the operator@@@A + B will give 30|||-@@@Subtraction - Subtracts right hand operand from left hand operand@@@A - B will give -10|||*@@@Multiplication - Multiplies values on either side of the operator@@@A * B will give 200|||/@@@Division - Divides left hand operand by right hand operand@@@B / A will give 2|||+@@@Unary plus - This has no impact on the variable value.@@@+B gives 20|||-@@@Unary minus - This creates a negative value of the given variable.@@@-B gives -20&&&Operator@@@Description@@@Example|||=@@@Checks if the value of two operands are equal or not, if yes then condition becomes true.@@@(A = B) is not true.|||!=@@@Checks if the value of two operands are equal or not, if values are not equal then condition becomes true.@@@(A != B) is true.|||>@@@Checks if the value of left operand is greater than the value of right operand, if yes then condition becomes true.@@@(A > B) is not true.|||<@@@Checks if the value of left operand is less than the value of right operand, if yes then condition becomes true.@@@(A < B) is true.|||>=@@@Checks if the value of left operand is greater than or equal to the value of right operand, if yes then condition becomes true.@@@(A >= B) is not true.|||<=@@@Checks if the value of left operand is less than or equal to the value of right operand, if yes then condition becomes true.@@@(A <= B) is true.&&&Operator@@@Description@@@Example|||and@@@Called Logical AND operator. If both the operands are non zero then then condition becomes true.@@@(A and B) is false.|||or@@@Called Logical OR Operator. If any of the two operands are non zero then then condition becomes true.@@@(A or B) is true.|||xor@@@Called Logical XOR Operator. Condition is true if one of them is true, if both operands are true or false then condition becomes false.@@@(A xor B) is true.|||not@@@Called Logical NOT Operator which negates the result. Using this operator, true becomes false and false becomes true@@@not(B) is true.&&&Operator@@@Description@@@Example|||=@@@Simple assignment operator, Assigns values from right side operands to left side operand@@@C = A + B will assigne value of A + B into C|||+=@@@Add AND assignment operator, It adds right operand to the left operand and assign the result to left operand@@@C += A is equivalent to C = C + A|||-=@@@Subtract AND assignment operator, It subtracts right operand from the left operand and assign the result to left operand@@@C -= A is equivalent to C = C - A|||*=@@@Multiply AND assignment operator, It multiplies right operand with the left operand and assign the result to left operand@@@C *= A is equivalent to C = C * A|||/=@@@Divide AND assignment operator, It divides left operand with the right operand and assign the result to left operand@@@C /= A is equivalent to C = C / A|||&=@@@Concatenation operator@@@C &= {2} is same as  C = {C} & {2}&&&Category@@@Operator@@@Associativity|||Postfix@@@function/type calls@@@ |||Unary@@@+ - ! not@@@Right to left|||Multiplicative@@@*  /@@@Left to right|||Additive@@@+  -@@@Left to right|||Concatenation@@@&@@@Left to right|||Relational@@@> >=  < <=@@@Left to right|||Equality@@@=  !=@@@Left to right|||Logical AND@@@and@@@Left to right|||Logical OR@@@or@@@Left to right|||Logical XOR@@@xor@@@Left to right|||Comma@@@,@@@Left to right","#!/home/euphoria-4.0b2/bin/euisequence a, b, ca = {1, 2, 3}b = {4}c = {1, 2, 3} & {4}printf(1, ""Value of c[1] %d\n"", c[1] )printf(1, ""Value of c[2] %d\n"", c[2] )printf(1, ""Value of c[3] %d\n"", c[3] )printf(1, ""Value of c[4] %d\n"", c[4] )"
Learn Euphoria,Euphoria - Branching,Euphoria - Branching,"Branching is the most important aspect of any programming language. While writing your program, you may encounter a situation when you have to take a decision or you have to select one option out of the given many options.|||Following diagram shows a simple scenario where a program needs to take one of the two paths based on the given condition.|||Euphoria provides following three types of decision making (branching or conditional) statements −|||if statement|||switch statement|||ifdef statement|||Let us see the statements in detail −",if statement@@@switch statement@@@ifdef statement,,,
Learn Euphoria,Euphoria - Loop Types,Euphoria - Loop Types,"Looping is yet another most important aspect of any programming language. While writing your program, you may encounter a situation when you have to execute same statement many times and sometime may be infinite number of times.|||There are several ways to specify for how long the process should go on, and how to stop or otherwise alter it. An iterative block may be informally called a loop, and each execution of code in a loop is called an iteration of the loop.|||The following diagram shows a simple logical flow of a loop −|||Euphoria provides following three types of loop statements −|||while statement|||loop until statement|||for statement|||All the above statements provide you flexibility and ease of use based on different situations. Let us see them in detail one by one −",while statement@@@loop until statement@@@for statement,,,
