Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn F#,F# Tutorial,F# Tutorial@@@Audience@@@Prerequisites,"F# helps you in the daily development of the mainstream commercial business software. This tutorial provides a brief knowledge about F# and its features, and also provides the various structures and syntaxes of its methods and functions.|||This tutorial has been designed for beginners in F#, providing the basic to advanced concepts of the subject.|||Before starting this tutorial you should be aware of the basic understanding of Functional Programming, C# and .Net",,,,
Learn F#,F# - Overview,F# - Overview|||About F#@@@Features of F#@@@Use of F#,"F# is a functional programming language. To understand F# constructs, you need to read a couple of lines about the programming paradigm named Functional Programming.|||Functional programming treats computer programs as mathematical functions. In functional programming, the focus would be on constants and functions, instead of variables and states. Because functions and constants are things that don’t change.|||In functional programming, you will write modular programs, i.e., the programs would consist of functions that will take other functions as input.|||Programs written in functional programming language tend to be concise.|||Following are the basic information about F# −|||It was developed in 2005 at Microsoft Research.|||It is a part of Microsoft’s family of .Net language.|||It is a functional programming language.|||It is based on the functional programming language OCaml.|||It is .Net implementation of OCaml.|||It compiles .Net CLI (Common Language Interface) byte code or MSIL (Microsoft Intermediate Language) that runs on CLR (Common Language Runtime).|||It provides type inference.|||It provides rich pattern matching constructs.|||It has interactive scripting and debugging capabilities.|||It allows writing higher order functions.|||It provides well developed object model.|||F# is normally used in the following areas −|||Making scientific model|||Mathematical problem solving|||Artificial intelligence research work|||Financial modelling|||Graphic design|||CPU design|||Compiler programming|||Telecommunications|||It is also used in CRUD apps, web pages, GUI games and other general purpose programs.",It was developed in 2005 at Microsoft Research.@@@It is a part of Microsoft’s family of .Net language.@@@It is a functional programming language.@@@It is based on the functional programming language OCaml.|||It is .Net implementation of OCaml.@@@It compiles .Net CLI (Common Language Interface) byte code or MSIL (Microsoft Intermediate Language) that runs on CLR (Common Language Runtime).@@@It provides type inference.@@@It provides rich pattern matching constructs.@@@It has interactive scripting and debugging capabilities.@@@It allows writing higher order functions.@@@It provides well developed object model.|||Making scientific model@@@Mathematical problem solving@@@Artificial intelligence research work@@@Financial modelling@@@Graphic design@@@CPU design@@@Compiler programming@@@Telecommunications,,,
Learn F#,F# - Environment Setup,F# - Environment Setup|||Integrated Development Environment(IDE) for F#@@@Writing F# Programs On Links,"The tools required for F# programming are discussed in this chapter.|||Microsoft provides Visual Studio 2013 for F# programming.|||The free Visual Studio 2013 Community Edition is available from Microsoft’s official website. Visual Studio 2013 Community and above comes with the Visual F# Tools. Installation details available at Asp.net Tutorial .The Visual F# Tools include the command-line compiler (fsc.exe) and F# Interactive (fsi.exe).|||Using these tools, you can write all kinds of F# programs from simple command-line applications to more complex applications. You can also write F# source code files using a basic text editor, like Notepad, and compile the code into assemblies using the command-line compiler.|||You can download it from Microsoft Visual Studio. It gets automatically installed in your machine.|||Please visit the F# official website for the latest instructions on getting the tools as a Debian package or compiling them directly from the source − https://fsharp.org/use/linux/.",,,,
Learn F#,F# - Program Structure,F# - Program Structure,"F# is a Functional Programming language.|||In F#, functions work like data types. You can declare and use a function in the same way like any other variable.|||In general, an F# application does not have any specific entry point. The compiler executes all top-level statements in the file from top to bottom.|||However, to follow procedural programming style, many applications keep a single top level statement that calls the main loop.|||The following code shows a simple F# program −|||When you compile and execute the program, it yields the following output −|||Please note that −|||An F# code file might begin with a number of open statements that is used to import namespaces.|||The body of the files includes other functions that implement the business logic of the application.|||The main loop contains the top executable statements.",An F# code file might begin with a number of open statements that is used to import namespaces.@@@The body of the files includes other functions that implement the business logic of the application.@@@The main loop contains the top executable statements.,,,"open System(* This is a multi-line comment *)// This is a single-line commentlet sign num =   if num > 0 then ""positive""   elif num < 0 then ""negative""   else ""zero""let main() =   Console.WriteLine(""sign 5: {0}"", (sign 5))main()"
Learn F#,F# - Basic Syntax,F# - Basic Syntax|||Tokens in F#@@@Comments in F#@@@A Basic Program and Application Entry Point in F#|||F# Keywords,"You have seen the basic structure of an F# program, so it will be easy to understand other basic building blocks of the F# programming language.|||An F# program consists of various tokens. A token could be a keyword, an identifier, a constant, a string literal, or a symbol. We can categorize F# tokens into two types −|||The following table shows the keywords and brief descriptions of the keywords. We will discuss the use of these keywords in subsequent chapters.|||In type definitions and type extensions, indicates the end of a section of member definitions.|||In verbose syntax, used to specify the end of a code block that starts with the begin keyword.|||Used to declare, define, or invoke a constructor that creates or that can create an object.|||Also used in generic parameter constraints to indicate that a type must have a certain constructor.|||Indicates the absence of an object.|||Also used in generic parameter constraints.|||Used with Boolean conditions as a Boolean or operator. Equivalent to ||.|||Also used in member constraints.|||Used to declare a structure type.|||Also used in generic parameter constraints.|||Used for OCaml compatibility in module definitions.|||Used in conditional expressions.|||Also used to perform side effects after object construction.|||Some reserved keywords came from the OCaml language −|||Some other reserved keywords are kept for future expansion of F#.|||F# provides two types of comments −|||Generally, you don’t have any explicit entry point for F# programs. When you compile an F# application, the last file provided to the compiler becomes the entry point and all top level statements in that file are executed from top to bottom.|||A well-written program should have a single top-level statement that would call the main loop of the program.|||A very minimalistic F# program that would display ‘Hello World’ on the screen −|||When you compile and execute the program, it yields the following output −",Keywords@@@Symbol and Operators|||One line comment starts with // symbol.@@@Multi line comment starts with (* and ends with *).,,"Keyword@@@Description|||abstract@@@Indicates a method that either has no implementation in the type in which it is declared or that is virtual and has a default implementation.|||and@@@Used in mutually recursive bindings, in property declarations, and with multiple constraints on generic parameters.|||as@@@Used to give the current class object an object name. Also used to give a name to a whole pattern within a pattern match.|||assert@@@Used to verify code during debugging.|||base@@@Used as the name of the base class object.|||begin@@@In verbose syntax, indicates the start of a code block.|||class@@@In verbose syntax, indicates the start of a class definition.|||default@@@Indicates an implementation of an abstract method; used together with an abstract method declaration to create a virtual method.|||delegate@@@Used to declare a delegate.|||do@@@Used in looping constructs or to execute imperative code.|||done@@@In verbose syntax, indicates the end of a block of code in a looping expression.|||downcast@@@Used to convert to a type that is lower in the inheritance chain.|||downto@@@In a for expression, used when counting in reverse.|||elif@@@Used in conditional branching. A short form of else if.|||else@@@Used in conditional branching.|||end@@@In type definitions and type extensions, indicates the end of a section of member definitions.
In verbose syntax, used to specify the end of a code block that starts with the begin keyword.
|||exception@@@Used to declare an exception type.|||extern@@@Indicates that a declared program element is defined in another binary or assembly.|||false@@@Used as a Boolean literal.|||finally@@@Used together with try to introduce a block of code that executes regardless of whether an exception occurs.|||for@@@Used in looping constructs.|||fun@@@Used in lambda expressions, also known as anonymous functions.|||function@@@Used as a shorter alternative to the fun keyword and a match expression in a lambda expression that has pattern matching on a single argument.|||global@@@Used to reference the top-level .NET namespace.|||if@@@Used in conditional branching constructs.|||in@@@Used for sequence expressions and, in verbose syntax, to separate expressions from bindings.|||inherit@@@Used to specify a base class or base interface.|||inline@@@Used to indicate a function that should be integrated directly into the caller's code.|||interface@@@Used to declare and implement interfaces.|||internal@@@Used to specify that a member is visible inside an assembly but not outside it.|||lazy@@@Used to specify a computation that is to be performed only when a result is needed.|||let@@@Used to associate, or bind, a name to a value or function.|||let!@@@Used in asynchronous workflows to bind a name to the result of an asynchronous computation, or, in other computation expressions, used to bind a name to a result, which is of the computation type.|||match@@@Used to branch by comparing a value to a pattern.|||member@@@Used to declare a property or method in an object type.|||module@@@Used to associate a name with a group of related types, values, and functions, to logically separate it from other code.|||mutable@@@Used to declare a variable, that is, a value that can be changed.|||namespace@@@Used to associate a name with a group of related types and modules, to logically separate it from other code.|||new@@@Used to declare, define, or invoke a constructor that creates or that can create an object.
Also used in generic parameter constraints to indicate that a type must have a certain constructor.|||not@@@Not actually a keyword. However, not struct in combination is used as a generic parameter constraint.|||null@@@Indicates the absence of an object.
Also used in generic parameter constraints.|||of@@@Used in discriminated unions to indicate the type of categories of values, and in delegate and exception declarations.|||open@@@Used to make the contents of a namespace or module available without qualification.|||or@@@Used with Boolean conditions as a Boolean or operator. Equivalent to ||.
Also used in member constraints.|||override@@@Used to implement a version of an abstract or virtual method that differs from the base version.|||private@@@Restricts access to a member to code in the same type or module.|||public@@@Allows access to a member from outside the type.|||rec@@@Used to indicate that a function is recursive.|||return@@@Used to indicate a value to provide as the result of a computation expression.|||return!@@@Used to indicate a computation expression that, when evaluated, provides the result of the containing computation expression.|||select@@@Used in query expressions to specify what fields or columns to extract. Note that this is a contextual keyword, which means that it is not actually a reserved word and it only acts like a keyword in appropriate context.|||static@@@Used to indicate a method or property that can be called without an instance of a type, or a value member that is shared among all instances of a type.|||struct@@@Used to declare a structure type.
Also used in generic parameter constraints.
Used for OCaml compatibility in module definitions.|||then@@@Used in conditional expressions.
Also used to perform side effects after object construction.|||to@@@Used in for loops to indicate a range.|||true@@@Used as a Boolean literal.|||try@@@Used to introduce a block of code that might generate an exception. Used together with with or finally.|||type@@@Used to declare a class, record, structure, discriminated union, enumeration type, unit of measure, or type abbreviation.|||upcast@@@Used to convert to a type that is higher in the inheritance chain.|||use@@@Used instead of let for values that require Dispose to be called to free resources.|||use!@@@Used instead of let! in asynchronous workflows and other computation expressions for values that require Dispose to be called to free resources.|||val@@@Used in a signature to indicate a value, or in a type to declare a member, in limited situations.|||void@@@Indicates the .NET void type. Used when interoperating with other .NET languages.|||when@@@Used for Boolean conditions (when guards) on pattern matches and to introduce a constraint clause for a generic type parameter.|||while@@@Introduces a looping construct.|||with@@@Used together with the match keyword in pattern matching expressions. Also used in object expressions, record copying expressions, and type extensions to introduce member definitions, and to introduce exception handlers.|||yield@@@Used in a sequence expression to produce a value for a sequence.|||yield!@@@Used in a computation expression to append the result of a given computation expression to a collection of results for the containing computation expression.&&&asr@@@land@@@lor@@@lsl@@@lsr@@@lxor@@@mod@@@sig&&&atomic@@@break@@@checked@@@component@@@const@@@constraint@@@constructor|||continue@@@eager@@@event@@@external@@@fixed@@@functor@@@include|||method@@@mixin@@@object@@@parallel@@@process@@@protected@@@pure|||sealed@@@tailcall@@@trait@@@virtual@@@volatile@@@@@@","(* This is a comment *)(* Sample Hello World program using F# *)printfn ""Hello World!"""
Learn F#,F# - Data Types,F# - Data Types|||Integral Data Type@@@Floating Point Data Types@@@Text Data Types@@@Other Data Types|||Example@@@Example@@@Example@@@Example,"The data types in F# can be classified as follows −|||The following table provides the integral data types of F#. These are basically integer data types.|||42y|||-11y|||42uy|||200uy|||42s|||-11s|||42us|||200us|||42|||-11|||42u|||200u|||42L|||-11L|||42UL|||200UL|||42I|||1499999|||9999999|||9999999|||9999999|||9999I|||When you compile and execute the program, it yields the following output −|||The following table provides the floating point data types of F#.|||42.0F|||-11.0F|||42.0|||-11.0|||42.0M|||-11.0M|||42N|||-11N|||When you compile and execute the program, it yields the following output −|||The following table provides the text data types of F#.|||'x'|||'\t'|||""Hello""|||""World""|||When you compile and execute the program, it yields the following output −|||The following table provides some other data types of F#.|||true|||false|||When you compile and execute the program, it yields the following output −",Integral types@@@Floating point types@@@Text types@@@Other types,,"F# Type@@@Size@@@Range@@@Example@@@Remarks|||sbyte@@@1 byte@@@-128 to 127@@@42y
-11y@@@8-bit signed integer|||byte@@@1 byte@@@0 to 255@@@42uy
200uy@@@8-bit unsigned integer|||int16@@@2 bytes@@@-32768 to 32767@@@42s
-11s@@@16-bit signed integer|||uint16@@@2 bytes@@@0 to 65,535@@@42us
200us@@@16-bit unsigned integer|||int/int32@@@4 bytes@@@-2,147,483,648 to 2,147,483,647@@@42
-11@@@32-bit signed integer|||uint32@@@4 bytes@@@0 to 4,294,967,295@@@42u
200u@@@32-bit unsigned integer|||int64@@@8 bytes@@@-9,223,372,036,854,775,808 to 9,223,372,036,854,775,807@@@42L
-11L@@@64-bit signed integer|||uint64@@@8 bytes@@@0 to 18,446,744,073,709,551,615@@@42UL
200UL@@@64-bit unsigned integer|||bigint@@@At least 4 bytes@@@any integer@@@42I
1499999
9999999
9999999
9999999
9999I
@@@arbitrary precision integer&&&F# Type@@@Size@@@Range@@@Example@@@Remarks|||float32@@@4 bytes@@@±1.5e-45 to ±3.4e38@@@42.0F
-11.0F@@@32-bit signed floating point number (7 significant digits)|||float@@@8 bytes@@@±5.0e-324 to ±1.7e308@@@42.0
-11.0@@@64-bit signed floating point number (15-16 significant digits)|||decimal@@@16 bytes@@@±1.0e-28 to ±7.9e28@@@42.0M
-11.0M@@@128-bit signed floating point number (28-29 significant digits)|||BigRational@@@At least 4 bytes@@@Any rational number.@@@42N
-11N@@@Arbitrary precision rational number. Using this type requires a reference to FSharp.PowerPack.dll.&&&F# Type@@@Size@@@Range@@@Example@@@Remarks|||char@@@2 bytes@@@U+0000 to U+ffff@@@'x'
'\t'@@@Single unicode characters|||string@@@20 + (2 * string's length) bytes@@@0 to about 2 billion characters@@@""Hello""
""World""@@@Unicode text&&&F# Type@@@Size@@@Range@@@Example@@@Remarks|||bool@@@1 byte@@@Only two possible values, true or false@@@true
false@@@Stores boolean values","(* single byte integer *)let x = 268.97flet y = 312.58flet z = x + yprintfn ""x: %f"" xprintfn ""y: %f"" yprintfn ""z: %f"" z(* unsigned 8-bit natural number *)let p = 2uylet q = 4uylet r = p + qprintfn ""p: %i"" pprintfn ""q: %i"" qprintfn ""r: %i"" r(* signed 16-bit integer *)let a = 12slet b = 24slet c = a + bprintfn ""a: %i"" aprintfn ""b: %i"" bprintfn ""c: %i"" c(* signed 32-bit integer *)let d = 212llet e = 504llet f = d + eprintfn ""d: %i"" dprintfn ""e: %i"" eprintfn ""f: %i"" f|||(* 32-bit signed floating point number *)(* 7 significant digits *)let d = 212.098flet e = 504.768flet f = d + eprintfn ""d: %f"" dprintfn ""e: %f"" eprintfn ""f: %f"" f(* 64-bit signed floating point number *)(* 15-16 significant digits *)let x = 21290.098let y = 50446.768let z = x + yprintfn ""x: %g"" xprintfn ""y: %g"" yprintfn ""z: %g"" z|||let choice = 'y'let name = ""Zara Ali""let org = ""Tutorials Point""printfn ""Choice: %c"" choiceprintfn ""Name: %s"" nameprintfn ""Organisation: %s"" org|||let trueVal = truelet falseVal = falseprintfn ""True Value: %b"" (trueVal)printfn ""False Value: %b"" (falseVal)"
Learn F#,F# - Variables,F# - Variables|||Variable Declaration in F#@@@Variable Definition With Type Declaration@@@Mutable Variables|||Example@@@Example@@@Example@@@Example,"A variable is a name given to a storage area that our programs can manipulate. Each variable has a specific type, which determines the size and layout of the variable's memory; the range of values that can be stored within that memory; and the set of operations that can be applied to the variable.|||The let keyword is used for variable declaration −|||For example,|||It declares a variable x and assigns the value 10 to it.|||You can also assign an expression to a variable −|||The following example illustrates the concept −|||When you compile and execute the program, it yields the following output −|||Variables in F# are immutable, which means once a variable is bound to a value, it can’t be changed. They are actually compiled as static read-only properties.|||The following example demonstrates this.|||When you compile and execute the program, it shows the following error message −|||A variable definition tells the compiler where and how much storage for the variable should be created. A variable definition may specify a data type and contains a list of one or more variables of that type as shown in the following example.|||When you compile and execute the program, it shows the following error message −|||At times you need to change the values stored in a variable. To specify that there could be a change in the value of a declared and assigned variable, in later part of a program, F# provides the mutable keyword. You can declare and assign mutable variables using this keyword, whose values you will change.|||The mutable keyword allows you to declare and assign values in a mutable variable.|||You can assign some initial value to a mutable variable using the let keyword. However, to assign new subsequent value to it, you need to use the ← operator.|||For example,|||The following example will clear the concept −|||When you compile and execute the program, it yields the following output −",,,,"let x = 10let y = 20let z = x + yprintfn ""x: %i"" xprintfn ""y: %i"" yprintfn ""z: %i"" z|||let x = 10let y = 20let z = x + yprintfn ""x: %i"" xprintfn ""y: %i"" yprintfn ""z: %i"" zlet x = 15let y = 20let z = x + yprintfn ""x: %i"" xprintfn ""y: %i"" yprintfn ""z: %i"" z|||let x:int32 = 10let y:int32 = 20let z:int32 = x + yprintfn ""x: %d"" xprintfn ""y: %d"" yprintfn ""z: %d"" zlet p:float = 15.99let q:float = 20.78let r:float = p + qprintfn ""p: %g"" pprintfn ""q: %g"" qprintfn ""r: %g"" r|||let mutable x = 10let y = 20let mutable z = x + yprintfn ""Original Values:""printfn ""x: %i"" xprintfn ""y: %i"" yprintfn ""z: %i"" zprintfn ""Let us change the value of x""printfn ""Value of z will change too.""x <- 15z <- x + yprintfn ""New Values:""printfn ""x: %i"" xprintfn ""y: %i"" yprintfn ""z: %i"" z"
Learn F#,F# - Operators,F# - Operators|||Arithmetic Operators@@@Comparison Operators@@@Boolean Operators@@@Bitwise Operators@@@Operators Precedence,"An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations. F# is rich in built-in operators and provides the following types of operators −|||The following table shows all the arithmetic operators supported by F# language. Assume variable A holds 10 and variable B holds 20 then −|||Show Example|||The following table shows all the comparison operators supported by F# language. These binary comparison operators are available for integral and floating-point types. These operators return values of type bool.|||Assume variable A holds 10 and variable B holds 20, then −|||Show Example|||The following table shows all the Boolean operators supported by F# language. Assume variable A holds true and variable B holds false, then −|||Show Example|||Bitwise operators work on bits and perform bit-by-bit operation. The truth tables for &&& (bitwise AND), ||| (bitwise OR), and ^^^ (bitwise exclusive OR) are as follows −|||Show Example|||Assume if A = 60; and B = 13; now in binary format they will be as follows −|||A = 0011 1100|||B = 0000 1101|||A&&&B = 0000 1100|||A|||B = 0011 1101|||A^^^B = 0011 0001|||~~~A = 1100 0011|||The Bitwise operators supported by F# language are listed in the following table. Assume variable A holds 60 and variable B holds 13, then −|||The following table shows the order of precedence of operators and other expression keywords in the F# language, from lowest precedence to the highest precedence.|||Show Example",Arithmetic Operators@@@Comparison Operators@@@Boolean Operators@@@Bitwise Operators,,"Operator@@@Description@@@Example|||+@@@Adds two operands@@@A + B will give 30|||-@@@Subtracts second operand from the first@@@A - B will give -10|||*@@@Multiplies both operands@@@A * B will give 200|||/@@@Divides numerator by de-numerator@@@B / A will give 2|||%@@@Modulus Operator and remainder of after an integer division@@@B % A will give 0|||**@@@Exponentiation Operator, raises an operand to the power of another@@@B**A will give 2010&&&Operator@@@Description@@@Example|||=@@@Checks if the values of two operands are equal or not, if yes then condition becomes true.@@@(A == B) is not true.|||<>@@@Checks if the values of two operands are equal or not, if values are not equal then condition becomes true.@@@(A <> B) is true.|||>@@@Checks if the value of left operand is greater than the value of right operand, if yes then condition becomes true.@@@(A > B) is not true.|||<@@@Checks if the value of left operand is less than the value of right operand, if yes then condition becomes true.@@@(A < B) is true.|||>=@@@Checks if the value of left operand is greater than or equal to the value of right operand, if yes then condition becomes true.@@@(A >= B) is not true.|||<=@@@Checks if the value of left operand is less than or equal to the value of right operand, if yes then condition becomes true.@@@(A <= B) is true.&&&Operator@@@Description@@@Example|||&&@@@Called Boolean AND operator. If both the operands are non-zero, then condition becomes true.@@@(A && B) is false.|||||@@@Called Boolean OR Operator. If any of the two operands is non-zero, then condition becomes true.@@@(A || B) is true.|||not@@@Called Boolean NOT Operator. Use to reverses the logical state of its operand. If a condition is true then Logical NOT operator will make false.@@@not (A && B) is true.&&&p@@@q@@@p &&& q@@@p ||| q@@@p ^^^ q|||0@@@0@@@0@@@0@@@0|||0@@@1@@@0@@@1@@@1|||1@@@1@@@1@@@1@@@0|||1@@@0@@@0@@@1@@@1&&&Operator@@@Description@@@Example|||&&&@@@Binary AND Operator copies a bit to the result if it exists in both operands.@@@(A &&& B) will give 12, which is 0000 1100||||||@@@Binary OR Operator copies a bit if it exists in either operand.@@@(A ||| B) will give 61, which is 0011 1101|||^^^@@@Binary XOR Operator copies the bit if it is set in one operand but not both.@@@(A ^^^ B) will give 49, which is 0011 0001|||~~~@@@Binary Ones Complement Operator is unary and has the effect of 'flipping' bits.@@@(~~~A) will give -61, which is 1100 0011 in 2's complement form.|||<<<@@@Binary Left Shift Operator. The left operands value is moved left by the number of bits specified by the right operand.@@@A <<< 2 will give 240 which is 1111 0000|||>>>@@@Binary Right Shift Operator. The left operands value is moved right by the number of bits specified by the right operand.@@@A >>> 2 will give 15 which is 0000 1111&&&Operator@@@Associativity|||as@@@Right|||when@@@Right|||| (pipe)@@@Left|||;@@@Right|||let@@@Non associative|||function, fun, match, try@@@Non associative|||if@@@Non associative|||→@@@Right|||:=@@@Right|||,@@@Non associative|||or, ||@@@Left|||&, &&@@@Left|||< op, >op, =, |op, &op @@@Left|||&&& , |||, ^^^, ~~~, <<<, >>>@@@Left|||^ op@@@Right|||::@@@Right|||:?>, :?@@@Non associative|||- op, +op, (binary)@@@Left|||* op, /op, %op@@@Left|||** op@@@Right|||f x (function application)@@@Left|||| (pattern match)@@@Right|||prefix operators (+op, -op, %, %%, &, &&, !op, ~op)@@@Left|||.@@@Left|||f(x)@@@Left|||f<types>@@@Left",
Learn F#,F# - Decision Making,F# - Decision Making,"Decision making structures require that the programmer specify one or more conditions to be evaluated or tested by the program. It should be along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Following is the general form of a typical decision making structure found in most of the programming languages −|||F# programming language provides the following types of decision making statements.|||if /then statement|||An if/then statement consists of a Boolean expression followed by one or more statements.|||if/then/ else statement|||An if/then statement can be followed by an optional else statement, which executes when the Boolean expression is false.|||if/then/elif/else statement|||An if/then/elif/else statement allows you to have multiple else branches.|||nested if statements|||You can use one if or else if statement inside another if or else if statement(s).",,,"Sr.No@@@Statement & Description|||1@@@if /then statement
An if/then statement consists of a Boolean expression followed by one or more statements.|||2@@@if/then/ else statement
An if/then statement can be followed by an optional else statement, which executes when the Boolean expression is false.|||3@@@if/then/elif/else statement
An if/then/elif/else statement allows you to have multiple else branches.|||4@@@nested if statements
You can use one if or else if statement inside another if or else if statement(s).",
Learn F#,F# - Loops,F# - Loops,"Programming languages provide various control structures that allow for more complicated execution paths.|||A loop statement allows us to execute a statement or group of statements multiple times and following is the general form of a loop statement in most of the programming languages −|||F# provides the following types of loops to handle the looping requirements.|||for… to and for… downto expressions|||The for...to expression is used to iterate in a loop over a range of values of a loop variable. The for… downto expression reduces the value of loop variable.|||for … in expression|||This form of for loop is used to iterate over collections of items i.e., loops over collections and sequences|||While…do loop|||Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.|||nested loops|||You can use one or more loop inside any other for or while loop.",,,"Sr.No@@@Loop Type & Description|||1@@@for… to and for… downto expressions
The for...to expression is used to iterate in a loop over a range of values of a loop variable. The for… downto expression reduces the value of loop variable.|||2@@@for … in expression
This form of for loop is used to iterate over collections of items i.e., loops over collections and sequences|||3@@@While…do loop
Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.|||4@@@nested loops
You can use one or more loop inside any other for or while loop.",
