Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Java Bean Utils,Java BeanUtils Tutorial,Java BeanUtils Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"The Java BeanUtils are the components of the Apache Commons which are derived from JavaAPI and provides component architecture for the Java language. The Java BeanUtils design patterns uses utility classes that helps to get and set the property values on Java classes for retrieving and defining the bean properties.|||This tutorial covers most of the topics required for a basic understanding of Java BeanUtils and to get a feel of how it works.|||This tutorial has been prepared for the beginners to help them understand the basic to advanced concepts related to Java BeanUtils.|||Before you start practicing various types of examples given in this reference, we assume that you are already aware about computer programs and computer programming languages.",,,,
Learn Java Bean Utils,Java BeanUtils - Overview,Java BeanUtils - Overview|||Description@@@JavaBeans Characteristics@@@External Dependencies@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"The Java BeanUtils are the components of the Apache Commons which are derived from JavaAPI and provides component architecture for the Java language. The Java BeanUtils design patterns uses utility classes that helps to get and set the property values on Java classes for retrieving and defining the bean properties.|||The package org.apache.commons.beanutils contains tool called introspection that facilitates the use of getting and setting property values on Java classes and display them in a visual manner in the development tools.|||The below listed are important characteristics of JavaBeans which are useful in the development structure:|||The class should be public and gives a public constructor with no arguments. It allows tools and applications to create new instances of the bean dynamically, without knowing what type of Java class name will be used as shown below:|||The constructor which does not have arguments whose bean's behavior can be configured separately from its instantiation. This can be achieved by using properties of the bean and also used to modify its behavior or data which are displayed by the bean.|||The bean property contains setter and getter methods which are used to access the property values. The design pattern for these properties can be specified by using the set or get prefix for the property names along with the first character capitalized by using the JavaBeans specification. For instance, you can use setter and getter methods for the properties first_name and last_name as shown below:|||If there are getter and setter methods for the property names, then the getter should match the setter datatype. In JavaBean specification, you can have more than one setter with same name, but with different property types.|||There is no need to define the getter and setter methods for each property. In the above code, there is no setter method for fullName property and it is only a read only property.|||You can create a JavaBean where there is no match for naming pattern by using the getter and setter methods. The JavaBean support classes in the Java language and BeanUtils package to specify the property method names in the BeanInfo class along with the bean class.|||The JavaBeans specification provides design patterns for event listeners, combines JavaBeans into component hierarchies and other helpful features of the BeanUtils package.|||You can use the following external dependencies for the commons-beanutils package:|||Logging Package|||Collections Package","The class should be public and gives a public constructor with no arguments. It allows tools and applications to create new instances of the bean dynamically, without knowing what type of Java class name will be used as shown below:

String className = ...;
Class beanClass = Class.forName(className);
Object beanInstance = beanClass.newInstance();

@@@The constructor which does not have arguments whose bean's behavior can be configured separately from its instantiation. This can be achieved by using properties of the bean and also used to modify its behavior or data which are displayed by the bean.@@@The bean property contains setter and getter methods which are used to access the property values. The design pattern for these properties can be specified by using the set or get prefix for the property names along with the first character capitalized by using the JavaBeans specification. For instance, you can use setter and getter methods for the properties first_name and last_name as shown below:

public class Employee {
   public Employee();   // Zero-arguments constructor
   public String getFirstName();
   public void setFirstName(String first_name);
   public String getLastName();
   public void setLastName(String last_name);
   public String getFullName();
}

@@@If there are getter and setter methods for the property names, then the getter should match the setter datatype. In JavaBean specification, you can have more than one setter with same name, but with different property types.@@@There is no need to define the getter and setter methods for each property. In the above code, there is no setter method for fullName property and it is only a read only property.@@@You can create a JavaBean where there is no match for naming pattern by using the getter and setter methods. The JavaBean support classes in the Java language and BeanUtils package to specify the property method names in the BeanInfo class along with the bean class.@@@The JavaBeans specification provides design patterns for event listeners, combines JavaBeans into component hierarchies and other helpful features of the BeanUtils package.|||Logging Package@@@Collections Package",,,String className = ...;Class beanClass = Class.forName(className);Object beanInstance = beanClass.newInstance();|||public class Employee {   public Employee();   // Zero-arguments constructor   public String getFirstName();   public void setFirstName(String first_name);   public String getLastName();   public void setLastName(String last_name);   public String getFullName();}
Learn Java Bean Utils,Java BeanUtils - Background,Java BeanUtils - Background|||Description@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"The standard JavaBeans of Java language can be used to access the property values of beans using the proper getter methods. The Java language supplies the java.beans.Introspector class to inspect a Java class at runtime. This indicates the property names of getter and setter methods along with the Reflection abilities to call such methods dynamically. You can make use of getting and setting bean properties dynamically by using the API's in the BeanUtils package.|||The JavaBean property types are divided into three types (Some property types are supported by the JavaBeans specification and some are supported by the BeanUtils package):|||Simple: The simple properties contain single value which can be retrieved or altered. You can use property type like Java language primitive such as int, a simple object such as java.lang.String, or complex object which is specified either by using the Java language, an application, or a class library with the application.|||Indexed: An ordered collection of objects can be stored in the indexed property which can be accessed individually by using an integer-valued, non-negative index or subscript. The BeanUtils package includes datatype called java.util.List must be indexed in the JavaBeans specification.|||Mapped: The BeanUtils package contains datatype called java.util.Map which should be mapped in the standard JavaBeans APIs and the individual values can be set and accessed by using a String-valued key.|||You can get and set the property values for the datatypes by using the API methods specified in the PropertyUtils class. Consider the below code snippet of two bean classes defined with getter and setter methods:","Simple: The simple properties contain single value which can be retrieved or altered. You can use property type like Java language primitive such as int, a simple object such as java.lang.String, or complex object which is specified either by using the Java language, an application, or a class library with the application.@@@Indexed: An ordered collection of objects can be stored in the indexed property which can be accessed individually by using an integer-valued, non-negative index or subscript. The BeanUtils package includes datatype called java.util.List must be indexed in the JavaBeans specification.@@@Mapped: The BeanUtils package contains datatype called java.util.Map which should be mapped in the standard JavaBeans APIs and the individual values can be set and accessed by using a String-valued key.",,,"public class Employee {   public FullName getFullName();   public void setFullName(String type, FullName fullname);   public Employee getSubordinate(int index);   public void setSubordinate(int index, Employee subordinate);   public String getFirstName();   public void setFirstName(String first_name);   public String getLastName();   public void setLastName(String last_name);}"
Learn Java Bean Utils,Java BeanUtils - Basic Property Access,Java BeanUtils - Basic Property Access|||Description@@@Example@@@Output@@@Useful Video Courses|||Simple Property@@@Indexed Property@@@Mapped Property|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"You can access the basic properties by using the following ways:|||Simple Property|||Indexed Property|||Mapped Property|||You can get and set the simple property values by using the below API signatures:|||PropertyUtils.getSimpleProperty(Object, String)|||PropertyUtils.SetSimpleProperty(Object, String, Object)|||Parameters:|||Object: It is a bean object that specifies the bean property to be extracted.|||String: It is a string name that specifies the name of the property to be extracted.|||You can use two options for creating indexed properties; first option is building the subscript into property name and second option is defining the subscript in a separate argument to call the method.|||The indexed properties can be get and set by using the below methods:|||PropertyUtils.getIndexedProperty(Object, String)|||PropertyUtils.getIndexedProperty(Object, String, int)|||PropertyUtils.setIndexedProperty(Object, String, Object)|||PropertyUtils.setIndexedProperty(Object, String, int, Object)|||Parameters:|||Object: It is a bean object that specifies the bean property to be extracted.|||String: It is a string name that specifies the name of the property to be extracted.|||int: It sets an index of the property value.|||Object: It specifies the value for an indexed property element.|||You can get and set the mapped property values by using the below API signatures. If you have any extra argument, then it can be written within parentheses as (""("" and "")"") instead of using square brackets.|||PropertyUtils.getMappedProperty(Object, String)|||PropertyUtils.getMappedProperty(Object, String, String)|||PropertyUtils.setMappedProperty(Object, String, Object)|||PropertyUtils.setMappedProperty(Object, String, String, Object)|||Parameters:|||Object: It is a bean object that specifies the bean property to be extracted.|||String: It is a name of the property value that should be set for Mapped property.|||String: It defines the key of the property value to be set.|||Object: It specifies the value of property to be set.|||The below example demonstrates use of above properties in the beanUtils:|||Now we will create one more class called MyBean.java for the bean class:|||Let's carry out the following steps to see how above code works:|||Save the above first code as BeanUtilsPropertyDemo.java.|||Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.","Simple Property@@@Indexed Property@@@Mapped Property|||PropertyUtils.getSimpleProperty(Object, String)@@@PropertyUtils.SetSimpleProperty(Object, String, Object)|||Object: It is a bean object that specifies the bean property to be extracted.@@@String: It is a string name that specifies the name of the property to be extracted.|||PropertyUtils.getIndexedProperty(Object, String)@@@PropertyUtils.getIndexedProperty(Object, String, int)@@@PropertyUtils.setIndexedProperty(Object, String, Object)@@@PropertyUtils.setIndexedProperty(Object, String, int, Object)|||Object: It is a bean object that specifies the bean property to be extracted.@@@String: It is a string name that specifies the name of the property to be extracted.@@@int: It sets an index of the property value.@@@Object: It specifies the value for an indexed property element.|||PropertyUtils.getMappedProperty(Object, String)@@@PropertyUtils.getMappedProperty(Object, String, String)@@@PropertyUtils.setMappedProperty(Object, String, Object)@@@PropertyUtils.setMappedProperty(Object, String, String, Object)|||Object: It is a bean object that specifies the bean property to be extracted.@@@String: It is a name of the property value that should be set for Mapped property.@@@String: It defines the key of the property value to be set.@@@Object: It specifies the value of property to be set.|||Save the above first code as BeanUtilsPropertyDemo.java.@@@Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.",,,"import org.apache.commons.beanutils.PropertyUtils;import java.util.ArrayList;import java.util.List;public class BeanUtilsPropertyDemo{   public static void main(String args[]){   try{      // Creating the bean and allows to access getter and setter properties      MyBean myBean = new MyBean();      // Setting the properties on the myBean      PropertyUtils.setSimpleProperty(myBean, ""stringProp"", ""Hello!This is a string"");      PropertyUtils.setSimpleProperty(myBean, ""floatProp"", new Float(25.20));      // Getting the simple properties      System.out.println(""String Property: "" + PropertyUtils.getSimpleProperty(myBean, ""stringProp""));      System.out.println(""Float Property: "" + PropertyUtils.getSimpleProperty(myBean, ""floatProp""));      // Here we will create a list for the indexed property      List list = new ArrayList();      list.add(""String value 0"");      list.add(""String value 1"");      myBean.setListProp(list);      // get and set this indexed property      PropertyUtils.setIndexedProperty(myBean, ""listProp[1]"", ""This is new string value 1"");      System.out.println(""List Property[1]: "" + PropertyUtils.getIndexedProperty(myBean, ""listProp[1]""));   }catch(Exception e){      System.out.println(e);   }   }}|||import java.util.ArrayList;import java.util.List;public class MyBean {   private String stringProp;   private float floatProp;   //indexed property   @SuppressWarnings(""rawtypes"")   private List listProp = new ArrayList();   public void setStringProp(String stringProp) { this.stringProp = stringProp; }   public String getStringProp() { return this.stringProp; }   public void setFloatProp(float floatProp) { this.floatProp = floatProp; }   public float getFloatProp() { return this.floatProp; }   public void setListProp(List<?> listProp) { this.listProp = listProp; }   public List<?> getListProp() { return this.listProp; }	}"
Learn Java Bean Utils,Java BeanUtils - Nested Property Access,Java BeanUtils - Nested Property Access|||Description@@@Example@@@Output@@@PropertyUtils Method Signatures@@@Example@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"You can access the value of nested property of the bean by concatenating the property names of the access path by using ""."" separators.|||You can get and set the values of Nested property by using the below methods:|||PropertyUtils.getNestedProperty(Object, String)|||PropertyUtils.setNestedProperty(Object, String, Object)|||Parameters:|||Object: It is a bean whose property to be obtained or modified.|||String: It is a name of the nested property to be obtained or modified.|||In this example, you'll see how to get and set the values of nested property. We will be creating three classes; SubBean, AppLayer1Bean for beans and BeanUtilsDemo as a main program to run.|||Now we will create another class called SubBean.java as shown below:|||Create the one more class AppLayer1Bean.java along with the below code:|||Let's carry out the following steps to see how above code works:|||Save the above first code as BeanUtilsDemo.java.|||Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.|||The following methods are provided by the PropertyUtils class, which accepts any arbitrary combinations of simple, indexed and mapped property access to get and set the value of the property of the specified bean.|||PropertyUtils.getProperty(Object, String)|||PropertyUtils.setProperty(Object, String, Object)|||Parameters:|||Object: It is a bean whose property to be obtained or modified.|||String: It is a name of the indexed and/or nested property to be obtained or modified.|||The following simple program illustrates the use of getProperty and setProperty methods:|||Run the code as specified in the above example and you would get the below output:","PropertyUtils.getNestedProperty(Object, String)@@@PropertyUtils.setNestedProperty(Object, String, Object)|||Object: It is a bean whose property to be obtained or modified.@@@String: It is a name of the nested property to be obtained or modified.|||Save the above first code as BeanUtilsDemo.java.@@@Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.|||PropertyUtils.getProperty(Object, String)@@@PropertyUtils.setProperty(Object, String, Object)|||Object: It is a bean whose property to be obtained or modified.@@@String: It is a name of the indexed and/or nested property to be obtained or modified.",,,"import org.apache.commons.beanutils.PropertyUtils;public class BeanUtilsDemo {    public static void main(String args[]){        try{            // create the bean            AppLayer1Bean nested = new AppLayer1Bean();            // set a SubBean which is part of another bean            SubBean sb = new SubBean();            sb.setStringProperty(""Hello World from SubBean"");            nested.setSubBean(sb);		            // accessing and setting nested properties            PropertyUtils.setNestedProperty(                nested, ""subBean.stringProperty"",                ""Hello World from SubBean, set via Nested Property Access"");			            System.out.println(                PropertyUtils.getNestedProperty(nested, ""subBean.stringProperty""));        }        catch(Exception e){            System.out.println(e);        }    }}|||public class SubBean {    private int intProperty;    private String stringProperty;	    public void setIntProperty(int intProperty) {         this.intProperty = intProperty;     }    public int getIntProperty() {        return this.intProperty;     }	    public void setStringProperty(String stringProperty) {         this.stringProperty = stringProperty;     }    public String getStringProperty() {         return this.stringProperty;     }}|||public class AppLayer1Bean {    private SubBean subBean;    public void setSubBean(SubBean subBean) {        this.subBean = subBean;    }    public SubBean getSubBean(){        return this.subBean;    }	}|||import org.apache.commons.beanutils.PropertyUtils;public class PropertyUtilsTest {    public static void main(String args[]){        try{            Tv Color = new Tv();            PropertyUtils.setProperty(Color, ""color"", ""Black"");            String value = (String) PropertyUtils.getProperty(Color, ""color"");            System.out.println(""The color value of Tv is: "" + value);        }        catch(Exception ex){            ex.printStackTrace();        }    }    public static class Tv{        private String color;	             public String getColor(){            return color;        }        public void setColor(String color){            this.color = color;        }    }}"
Learn Java Bean Utils,Java BeanUtils - Customizing Introspection,Java BeanUtils - Customizing Introspection|||Description@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"The introspection tool can be used to learn about the properties and operations provided by your class. BeanUtils package is depending on JavaBeans specification that determines the available properties for a particular bean class.|||The introspection mechanism can be customized from version 1.9.0 onwards and enables an application to alter or extend the default discovery of bean properties. You can achieve this by using the BeanIntrospector interface. By implementing this interface, we are able to process a specific target class and create its equivalent PropertyDescriptor objects. By default, DefaultBeanIntrospector objects are used by BeanUtils for detecting properties that are matching with the JavaBeans specification.|||You can extend the default discovery mechanism by using the PropertyUtils.addBeanIntrospector(BeanIntrospector) method of PropertyUtils. This custom BeanIntrospector can be called in the time of introspection of a class and adds the detected properties to the final result.",,,,
Learn Java Bean Utils,Java BeanUtils - Suppressing Properties,Java BeanUtils - Suppressing Properties|||Description@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"You can suppress the specific properties by using the bean introspection mechanism. The specialized BeanIntrospector interface is implemented by the type called SuppressPropertiesBeanIntrospector which suppresses the special class properties of Java beans. The collection of property names need to be provided which are not accessible on the beans while creating an instance. If these properties are identified by the other BeanIntrospector, then they will be removed while bean class processing.|||You can use a special class property for suppressing the properties for all beans which is genearted from getClass() method and inherited from Object and uses naming pattern for property get methods. In most of situations, an instance of SuppressPropertiesBeanIntrospector can be used to suppress the specific properties and can be achieved by using the SUPPRESS_CLASS constant of SuppressPropertiesBeanIntrospector.",,,,
Learn Java Bean Utils,Java BeanUtils - Background (DynaBeans),Java BeanUtils - Background (DynaBeans)|||Description@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"You can give dynamic property access on the existing JavaBean classes without altering with the help of PropertyUtils class. The dynamically calculated property values as JavaBean can also represented by using dynamic property access without writing a Java class to render these properties. This feature will not only save your time, but also allows dealing with cases where set of properties are specified dynamically.|||The DynaBean interface is produced by the BeanUtils package which implements the interface's methods and DynaClass interface by defining set of properties which are supported by the group of DynaBeans. The java.lang.Class provides properties which are supported by JavaBean class instances.|||The below simple code snippet shows how to access the DynaBean properties:|||The getter and setter methods of PropertyUtils property can be used to access the properties in DynaBeans. For instance, the PropertyUtils.getSimpleProperty() method is a DynaBean implementation which will convert to suitable DynaBean getter method clearly when you make the call. Therefore dynamic property access of an application is based on the PropertyUtils APIs and can be used to retrieve either JavaBeans or DynaBeans.",,,,"DynaBean car = ...; // Details depend on which DynaBean implementation you useString companyName = (String) car.get(""companyName"");Model modelName = (Model) car.get(""model"");Object subordinate = car.get(""subordinate"", 2); "
Learn Java Bean Utils,Java BeanUtils - Basic DynaBeans,Java BeanUtils - Basic DynaBeans|||Description@@@Example@@@Output@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,The implementation of BasicDynaBean and BasicDynaClass specifies the capacity of dynamic property to provide the set of properties dynamically. You can start with DynaClass to establish the set of properties. A newInstance() method will create a new DynaBean instances to DynaClass and occupy its initial values as shown in the below example.|||The below example shows usage of basic DynaBean implementation:|||Let's carry out the following steps to see how above code works:|||Save the above first code as DynaBeanExample.java.|||Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.,Save the above first code as DynaBeanExample.java.@@@Now execute the code using Run option or Ctrl+f11 and output as below gets displayed.,,,"package com.javadb.apachecommons;import org.apache.commons.beanutils.BasicDynaClass;import org.apache.commons.beanutils.DynaBean;import org.apache.commons.beanutils.DynaClass;import org.apache.commons.beanutils.DynaProperty;public class DynaBeanExample {   private final String NR_OF_WHEELS = ""numberOfWheels"";   private void runExample() {      DynaClass dynaClass = new BasicDynaClass(""Car"", null,         new DynaProperty[] {            new DynaProperty(NR_OF_WHEELS, Integer.TYPE)         });      try {         DynaBean car = dynaClass.newInstance();         car.set(NR_OF_WHEELS, 4);         System.out.println(""Number of wheels: "" + car.get(NR_OF_WHEELS));         System.out.println(""DynaBean is instance of DynaClass: "" + car.getDynaClass().getName());      } catch (IllegalAccessException | InstantiationException ex) {         System.err.println(ex.getMessage());      }   }   public static void main(String[] args) {      DynaBeanExample ac = new DynaBeanExample();      ac.runExample();   }} "
Learn Java Bean Utils,Java BeanUtils - ResultSetDynaClass,Java BeanUtils - ResultSetDynaClass|||Description@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,The ResultSet can be wrapped in the DynaBeans by using the ResultSetDynaClass which renders the results of SQL query as series of DynaBeans. The most commonly used collection is java.sql.ResultSet which is returned when JDBC driver uses SQL SELECT statement. The each row of result set can be made visible by using the Commons BeanUtils package.|||You can make use of the ResultSetDynaClass by using the DynaBean interface as shown in the below code snippet:,,,,"Connection conn = ...;Statement stmt = conn.createStatement();ResultSet res_set = stmt.executeQuery(""select first_name, last_name from student"");Iterator rows = (new ResultSetDynaClass(res_set)).iterator();while (rows.hasNext()) {   DynaBean row = (DynaBean) rows.next();   System.out.println(""First Name is:"" + row.get(""first_name"") + "" and Last Name is:"" + row.get(""last_name""));}rs.close();stmt.close();"
