Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Java-9,Java 9 Tutorial,Java 9 Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"Java 9 is the most awaited and is a major feature release of Java programming language. This is an introductory tutorial that explains the basic-to-advanced features of Java 9 and their usage in a simple and intuitive way.|||This tutorial will be useful for most Java developers, starting from beginners to experts. After completing this tutorial, you will find yourself at a moderate level of expertise in Java 9, from where you can take yourself to next levels.|||Knowledge of basic Java programming language is the only prerequisite for learning the concepts explained in this tutorial.",,,,
Learn Java-9,Java 9 - Overview,Java 9 - Overview|||New Features@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"JAVA 9 (aka jdk 1.9) is a major release of JAVA programming language development. Its initial version was released on 21 Sep 2017. The main goals of Java 9 release are −|||To make JDK and Java Standard Edition platform modular based in the sense that it can be scalled down to small computing devices well.|||To improve the overall security of the JDK and Java Implementations.|||To make build process and maintainance of java code libraries and large applications easy for for JAVA SE and EE platforms.|||To design and implement a standard module system for the Java Platform which can be applied on both Platform and JDK easily.|||There are 90+ enhancements added to Java 8, the most significant ones are mentioned below −|||Module − A new kind of Java programing component introduced as module, which is a named, self-describing collection of code and data.|||REPL (JShell) − Read-Eval-Print Loop (REPL) capability added to the Java platform.|||HTTP 2 Client − new HTTPClient API supporting websockets and HTTP 2 streams and server push features.|||Improved JavaDocs − Supports HTML5 output generation. Provides a search box to generated API documentation.|||Multirelease JAR − Enhances the JAR format so that multiple, Java release-specific versions of class files can coexist in a single archive.|||Collection Factory Methods − New static factory methods for List, Set, and Map interfaces to create immutable instances of those collections.|||Private Interface Methods − Enhanced interfaces with private and private static methods.|||Process API Improvements − Improved API to control and manage operating system processes.|||Stream API Improvements − Enhanced security and robustness by allowing incoming streams of object-serialization data to be filtered.|||Try With Resources improvement − Now final variables can be used as resources in the try-with-resources statement.|||Enhanced @Deprecated Annotation − @Deprecated annotation revamped to provide more information about the status and intended disposition of an API.|||Inner Class Diamond Operator − Allow the diamond operator to be used with anonymous classes if the argument type of the inferred type can be denoted.|||Optional Class Improvements − New useful methods are added to java.util.Optional class.|||Multiresolution Image API − Supports encapsulation of a set of images with different resolutions into a single multiresolution image.|||CompletableFuture API improvements − The asynchronous mechanisms of the CompletableFuture class can perform an action when the process exits with ProcessHandle.onExit method.|||Lightweight JSON − A lightweight API introduced to consume and generating documents and data streams via json in java 9.|||Reactive Streams API − A new Reactive Streams API in Java SE 9 has been introduced to support reactive programming in java 9.","To make JDK and Java Standard Edition platform modular based in the sense that it can be scalled down to small computing devices well.@@@To improve the overall security of the JDK and Java Implementations.@@@To make build process and maintainance of java code libraries and large applications easy for for JAVA SE and EE platforms.@@@To design and implement a standard module system for the Java Platform which can be applied on both Platform and JDK easily.|||Module − A new kind of Java programing component introduced as module, which is a named, self-describing collection of code and data.@@@REPL (JShell) − Read-Eval-Print Loop (REPL) capability added to the Java platform.@@@HTTP 2 Client − new HTTPClient API supporting websockets and HTTP 2 streams and server push features.@@@Improved JavaDocs − Supports HTML5 output generation. Provides a search box to generated API documentation.@@@Multirelease JAR − Enhances the JAR format so that multiple, Java release-specific versions of class files can coexist in a single archive.@@@Collection Factory Methods − New static factory methods for List, Set, and Map interfaces to create immutable instances of those collections.@@@Private Interface Methods − Enhanced interfaces with private and private static methods.@@@Process API Improvements − Improved API to control and manage operating system processes.@@@Stream API Improvements − Enhanced security and robustness by allowing incoming streams of object-serialization data to be filtered.@@@Try With Resources improvement − Now final variables can be used as resources in the try-with-resources statement.@@@Enhanced @Deprecated Annotation − @Deprecated annotation revamped to provide more information about the status and intended disposition of an API.@@@Inner Class Diamond Operator − Allow the diamond operator to be used with anonymous classes if the argument type of the inferred type can be denoted.@@@Optional Class Improvements − New useful methods are added to java.util.Optional class.@@@Multiresolution Image API − Supports encapsulation of a set of images with different resolutions into a single multiresolution image.@@@CompletableFuture API improvements − The asynchronous mechanisms of the CompletableFuture class can perform an action when the process exits with ProcessHandle.onExit method.@@@Lightweight JSON − A lightweight API introduced to consume and generating documents and data streams via json in java 9.@@@Reactive Streams API − A new Reactive Streams API in Java SE 9 has been introduced to support reactive programming in java 9.",,,
Learn Java-9,Java 9 - Environment Setup,"Java 9 - Environment Setup|||Local Environment Setup@@@Popular Java Editors@@@Useful Video Courses|||Setting Up the Path for Windows 2000/XP@@@Setting Up the Path for Windows 95/98/ME@@@Setting Up the Path for Linux, UNIX, Solaris, FreeBSD|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training","If you want to set up your own environment for Java programming language, then this section guides you through the whole process. Please follow the steps given below to set up your Java environment.|||Java SE is available for download for free. To download click here, please download a version compatible with your operating system.|||Follow the instructions to download Java, and run the .exe to install Java on your machine. Once you have installed Java on your machine, you would need to set environment variables to point to correct installation directories.|||Assuming you have installed Java in c:\Program Files\java\jdk directory −|||Right-click on 'My Computer' and select 'Properties'.|||Click on the 'Environment variables' button under the 'Advanced' tab.|||Now, edit the 'Path' variable and add the path to the Java executable directory at the end of it. For example, if the path is currently set to C:\Windows\System32, then edit it the following way|||Assuming you have installed Java in c:\Program Files\java\jdk directory −|||Edit the 'C:\autoexec.bat' file and add the following line at the end −|||Environment variable PATH should be set to point to where the Java binaries have been installed. Refer to your shell documentation if you have trouble doing this.|||For example, if you use bash as your shell, then you would add the following line at the end of your .bashrc −|||To write Java programs, you need a text editor. There are even more sophisticated IDEs available in the market. The most popular ones are briefly described below −|||Notepad − On Windows machine, you can use any simple text editor like Notepad (recommended for this tutorial) or WordPad. Notepad++ is also a free text editor which enhanced facilities.|||Netbeans − It is a Java IDE that is open-source and free which can be downloaded from https://www.netbeans.org/index.html.|||Eclipse − It is also a Java IDE developed by the Eclipse open-source community and can be downloaded from https://www.eclipse.org/.|||IDE or Integrated Development Environment, provides all common tools and facilities to aid in programming, such as source code editor, build tools and debuggers etc.","Right-click on 'My Computer' and select 'Properties'.@@@Click on the 'Environment variables' button under the 'Advanced' tab.@@@Now, edit the 'Path' variable and add the path to the Java executable directory at the end of it. For example, if the path is currently set to C:\Windows\System32, then edit it the following way|||Edit the 'C:\autoexec.bat' file and add the following line at the end −|||Notepad − On Windows machine, you can use any simple text editor like Notepad (recommended for this tutorial) or WordPad. Notepad++ is also a free text editor which enhanced facilities.@@@Netbeans − It is a Java IDE that is open-source and free which can be downloaded from https://www.netbeans.org/index.html.@@@Eclipse − It is also a Java IDE developed by the Eclipse open-source community and can be downloaded from https://www.eclipse.org/.",,,
Learn Java-9,Java 9 - Module System,Java 9 - Module System|||Features@@@Creating Module@@@Output@@@Useful Video Courses|||Step 1@@@Step 2@@@Step 3@@@Step 4@@@Step 5|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"Java 9, a new kind of programming component called module has been introduced. A module is a self-describing collection of code and data and has a name to identify it.|||With the Modules component, following enhancements has been added in Java 9 −|||A new optional phase,link time, is introduced. This phase is in-between compile time and run time. During this phase, a set of modules can be assembled and optimized, making a custom runtime image using jlink tool.|||javac, jlink, and java have additional options to specify module paths, which further locate definitions of modules.|||JAR format updated as modular JAR, which contains module-info.class file in its root directory.|||JMOD format introduced, a packaging format (similar to JAR) which can include native code and configuration files.|||Following the steps to create a module say com.tutorialspoint.greetings.|||Create a folder C:\>JAVA\src. Now create a folder com.tutorialspoint.greetings which is same as the name of module we're creating.|||Create module-info.java in C:\>JAVA\src\com.tutorialspoint.greetings folder with following code.|||module-info.java|||module-info.java is the file which is used to create module. In this step we've created a module named com.tutorialspoint.greetings. By convention this file should reside in the folder whose name is same as module name.|||Add the source code in the module. Create Java9Tester.java in C:\>JAVA\src\com.tutorialspoint.greetings\com\ tutorialspoint\greetings folder with following code.|||Java9Tester.java|||By convention, the source code of a module to lie in same directory which is the name of the module.|||Create a folder C:\>JAVA\mods. Now create a folder com.tutorialspoint.greetings which is same as the name of module we've created. Now compile the module to mods directory.|||Let's run the module to see the result. Run the following command.|||Here module-path provides the module location as mods and -m signifies the main module.|||It will print the following output on console.","A new optional phase,link time, is introduced. This phase is in-between compile time and run time. During this phase, a set of modules can be assembled and optimized, making a custom runtime image using jlink tool.@@@javac, jlink, and java have additional options to specify module paths, which further locate definitions of modules.@@@JAR format updated as modular JAR, which contains module-info.class file in its root directory.@@@JMOD format introduced, a packaging format (similar to JAR) which can include native code and configuration files.",,,"package com.tutorialspoint.greetings;public class Java9Tester {   public static void main(String[] args) {      System.out.println(""Hello World!"");   }}"
Learn Java-9,Java 9 - REPL (JShell),Java 9 - REPL (JShell)|||Running JShell@@@Viewing JShell commands@@@Running JShell command@@@Running Calculations in JShell.@@@Creating and using functions in JShell@@@Exiting JShell@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"REPL stands for Read-Eval-Print Loop. With JShell, java has REPL capability. Using REPL, we can code and test java based logic without compiling using javac and see the result of calculations directly.|||Open command prompt and type jshell.|||Type /help once jshell command starts running.|||Type /imports once jshell command starts running and see the used imports.|||Try running simple calculations in JShell.|||Create a function doubled() to take int and return its doubled value.|||Type /exit.",,,,
Learn Java-9,Java 9 - Improved JavaDocs,Java 9 - Improved JavaDocs|||Old style java documentation@@@New java documentation with Search and HTML5 support@@@Useful Video Courses|||Tester.java|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"Java documentation can be generated using javadoc tool. It currently generates documentation in html 4.0 format. In java 9, we can generate documentation in html 5 format by using -html5 option in command line arguments.|||Consider the following code in C:/JAVA folder.|||Now run the javadoc tool of jdk 7 to generate documentation.|||It will create the java documentation page in C:/JAVA directory and you will see the following output.|||Run the javadoc tool of jdk 9 with -html5 flag to generate new type of documentation.|||It will create the updated java documentation page in D:/test directory and you will see the following output.",,,,"/**  * @author MahKumar  * @version 0.1*/public class Tester {   /**      * Default method to be run to print       * <p>Hello world</p>      * @param args command line arguments   */   public static void main(String []args) {      System.out.println(""Hello World"");   }}"
Learn Java-9,Java 9 - Multirelease JAR,Java 9 - Multirelease JAR|||Steps@@@Useful Video Courses|||Tester.java@@@Tester.java|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"In java 9, a new feature is introduced where a jar format has been enhanced to have different versions of java class or resources can be maintained and used as per the platform. In JAR, a file MANIFEST.MF file has a entry Multi-Release: true in its main section. META-INF directory also contains a versions subdirectory whose subdirectories (starting with 9 for Java 9 ) store version-specific classes and resource files.|||In this example, we'll be using a multi-release jar to have two versions of Tester.java file, one for jdk 7 and one for jdk 9 and run it on different jdk versions.|||Step 1 − Create a folder c:/test/java7/com/tutorialspoint. Create Test.java with following content −|||Step 2 − Create a folder c:/test/java9/com/tutorialspoint. Create Test.java with following content −|||Compile the source codes.|||Create the multi-release jar|||Run with JDK 7|||Run with JDK 9",,,,"package com.tutorialspoint;public class Tester {   public static void main(String[] args) {      System.out.println(""Inside java 7"");   }}|||package com.tutorialspoint;public class Tester {   public static void main(String[] args) {      System.out.println(""Inside java 9"");   }}"
Learn Java-9,Java 9 - Collection Factory Methods,Java 9 - Collection Factory Methods|||Old way to create collections@@@Output@@@New Methods@@@Points to Note@@@New way to create collections@@@Output@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"With Java 9, new factory methods are added to List, Set and Map interfaces to create immutable instances. These factory methods are convenience factory methods to create a collection in less verbose and in concise way.|||It will print the following output.|||With java 9, following methods are added to List, Set and Map interfaces along with their overloaded counterparts.|||For List and Set interfaces, of(...) method is overloaded to have 0 to 10 parameters and one with var args parameter.|||For Map interface, of(...) method is overloaded to have 0 to 10 parameters.|||In case of more than 10 paramters for Map interface, ofEntries(...) method can be used accepting var args parameter.|||It will print the following output.","For List and Set interfaces, of(...) method is overloaded to have 0 to 10 parameters and one with var args parameter.@@@For Map interface, of(...) method is overloaded to have 0 to 10 parameters.@@@In case of more than 10 paramters for Map interface, ofEntries(...) method can be used accepting var args parameter.",,,"import java.util.ArrayList;import java.util.Collections;import java.util.HashMap;import java.util.HashSet;import java.util.List;import java.util.Map;import java.util.Set;public class Tester {   public static void main(String []args) {      Set<String> set = new HashSet<>();      set.add(""A"");      set.add(""B"");      set.add(""C"");      set = Collections.unmodifiableSet(set);      System.out.println(set);      List<String> list = new ArrayList<>();      list.add(""A"");      list.add(""B"");      list.add(""C"");      list = Collections.unmodifiableList(list);      System.out.println(list);      Map<String, String> map = new HashMap<>();      map.put(""A"",""Apple"");      map.put(""B"",""Boy"");      map.put(""C"",""Cat"");      map = Collections.unmodifiableMap(map);      System.out.println(map);   }}|||static <E> List<E> of(E e1, E e2, E e3);static <E> Set<E>  of(E e1, E e2, E e3);static <K,V> Map<K,V> of(K k1, V v1, K k2, V v2, K k3, V v3);static <K,V> Map<K,V> ofEntries(Map.Entry<? extends K,? extends V>... entries)|||import java.util.ArrayList;import java.util.Collections;import java.util.HashMap;import java.util.HashSet;import java.util.List;import java.util.AbstractMap;import java.util.Map;import java.util.Set;public class Tester {   public static void main(String []args) {      Set<String> set = Set.of(""A"", ""B"", ""C"");            System.out.println(set);      List<String> list = List.of(""A"", ""B"", ""C"");      System.out.println(list);      Map<String, String> map = Map.of(""A"",""Apple"",""B"",""Boy"",""C"",""Cat"");      System.out.println(map);        Map<String, String> map1 = Map.ofEntries (         new AbstractMap.SimpleEntry<>(""A"",""Apple""),         new AbstractMap.SimpleEntry<>(""B"",""Boy""),         new AbstractMap.SimpleEntry<>(""C"",""Cat""));      System.out.println(map1);   }}"
Learn Java-9,Java 9 - Private Interface Methods,Java 9 - Private Interface Methods|||Output@@@Output@@@Output@@@Useful Video Courses|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"Prior to java 8, interfaces can have following type of variables/methods.|||So we cannot have method implementation in interfaces or more precisely a default implementation prior to Java 8. See the example.|||You will see the following output.|||In above example, each log method has its own implementation. With Java 8 interfaces can have following type of variables/methods.|||Let's have default implementation and static methods in interface itself using Java 8.|||You will see the following output.|||In above example, we're having repeation again. With Java 9 interfaces can have following type of variables/methods.|||Let's have private methods and use them in Java 9.|||You will see the following output.",Constant variables@@@Abstract methods|||Constant variables@@@Abstract methods@@@Default methods@@@Static methods|||Constant variables@@@Abstract methods@@@Default methods@@@Static methods@@@Private methods@@@Private Static methods,,,"public class Tester {   public static void main(String []args) {      LogOracle log = new LogOracle();      log.logInfo("""");      log.logWarn("""");      log.logError("""");      log.logFatal("""");      LogMySql log1 = new LogMySql();      log1.logInfo("""");      log1.logWarn("""");      log1.logError("""");      log1.logFatal("""");   }}final class LogOracle implements Logging {   @Override   public void logInfo(String message) {      getConnection();      System.out.println(""Log Message : "" + ""INFO"");      closeConnection();   }   @Override   public void logWarn(String message) {      getConnection();      System.out.println(""Log Message : "" + ""WARN"");      closeConnection();   }   @Override   public void logError(String message) {      getConnection();      System.out.println(""Log Message : "" + ""ERROR"");      closeConnection();   }   @Override   public void logFatal(String message) {      getConnection();      System.out.println(""Log Message : "" + ""FATAL"");      closeConnection();   }   @Override   public void getConnection() {      System.out.println(""Open Database connection"");   }   @Override   public void closeConnection() {      System.out.println(""Close Database connection"");   }}final class LogMySql implements Logging {   @Override   public void logInfo(String message) {      getConnection();      System.out.println(""Log Message : "" + ""INFO"");      closeConnection();   }   @Override   public void logWarn(String message) {      getConnection();      System.out.println(""Log Message : "" + ""WARN"");      closeConnection();   }   @Override   public void logError(String message) {      getConnection();      System.out.println(""Log Message : "" + ""ERROR"");      closeConnection();   }   @Override   public void logFatal(String message) {      getConnection();      System.out.println(""Log Message : "" + ""FATAL"");      closeConnection();   }   @Override   public void getConnection() {      System.out.println(""Open Database connection"");   }   @Override   public void closeConnection() {      System.out.println(""Close Database connection"");   }}interface Logging {   String ORACLE = ""Oracle_Database"";   String MYSQL = ""MySql_Database"";   void logInfo(String message);   void logWarn(String message);   void logError(String message);   void logFatal(String message);   void getConnection();   void closeConnection();}|||public class Tester {   public static void main(String []args) {      LogOracle log = new LogOracle();      log.logInfo("""");      log.logWarn("""");      log.logError("""");      log.logFatal("""");            LogMySql log1 = new LogMySql();      log1.logInfo("""");      log1.logWarn("""");      log1.logError("""");      log1.logFatal("""");   }}final class LogOracle implements Logging { }final class LogMySql implements Logging { }interface Logging {   String ORACLE = ""Oracle_Database"";   String MYSQL = ""MySql_Database"";   default void logInfo(String message) {      getConnection();      System.out.println(""Log Message : "" + ""INFO"");      closeConnection();   }   default void logWarn(String message) {      getConnection();      System.out.println(""Log Message : "" + ""WARN"");      closeConnection();   }   default void logError(String message) {      getConnection();      System.out.println(""Log Message : "" + ""ERROR"");      closeConnection();   }   default void logFatal(String message) {      getConnection();      System.out.println(""Log Message : "" + ""FATAL"");      closeConnection();   }   static void getConnection() {      System.out.println(""Open Database connection"");   }   static void closeConnection() {      System.out.println(""Close Database connection"");   }}|||public class Tester {   public static void main(String []args) {      LogOracle log = new LogOracle();      log.logInfo("""");      log.logWarn("""");      log.logError("""");      log.logFatal("""");            LogMySql log1 = new LogMySql();      log1.logInfo("""");      log1.logWarn("""");      log1.logError("""");      log1.logFatal("""");   }}final class LogOracle implements Logging { }final class LogMySql implements Logging { }interface Logging {   String ORACLE = ""Oracle_Database"";   String MYSQL = ""MySql_Database"";   private void log(String message, String prefix) {      getConnection();      System.out.println(""Log Message : "" + prefix);      closeConnection();   }   default void logInfo(String message) {      log(message, ""INFO"");   }   default void logWarn(String message) {      log(message, ""WARN"");   }   default void logError(String message) {      log(message, ""ERROR"");   }   default void logFatal(String message) {      log(message, ""FATAL"");   }   private static void getConnection() {      System.out.println(""Open Database connection"");   }   private static void closeConnection() {      System.out.println(""Close Database connection"");   }}"
Learn Java-9,Java 9 - Process API Improvements,Java 9 - Process API Improvements|||Output@@@Useful Video Courses|||Tester.java|||Java Date and Time Online Training@@@Java Servlet Online Training@@@JavaScript Online Training@@@Java Online Training@@@Java Essential Training@@@Java Essentials Online Training,"In Java 9 Process API which is responsible to control and manage operating system processes has been improved considerably. ProcessHandle Class now provides process's native process ID, start time, accumulated CPU time, arguments, command, user, parent process, and descendants. ProcessHandle class also provides method to check processes' liveness and to destroy processes. It has onExit method, the CompletableFuture class can perform action asynchronously when process exits.|||You will see the following output.",,,,"import java.time.ZoneId;import java.util.stream.Stream;import java.util.stream.Collectors;import java.io.IOException;public class Tester {   public static void main(String[] args) throws IOException {      ProcessBuilder pb = new ProcessBuilder(""notepad.exe"");      String np = ""Not Present"";      Process p = pb.start();      ProcessHandle.Info info = p.info();      System.out.printf(""Process ID : %s%n"", p.pid());      System.out.printf(""Command name : %s%n"", info.command().orElse(np));      System.out.printf(""Command line : %s%n"", info.commandLine().orElse(np));      System.out.printf(""Start time: %s%n"",         info.startInstant().map(i -> i.atZone(ZoneId.systemDefault())         .toLocalDateTime().toString()).orElse(np));      System.out.printf(""Arguments : %s%n"",         info.arguments().map(a -> Stream.of(a).collect(         Collectors.joining("" ""))).orElse(np));      System.out.printf(""User : %s%n"", info.user().orElse(np));   } }"
