Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn KDB+,KDB+ Tutorial,KDB+ Tutorial@@@Audience@@@Prerequisites,"Kdb+ is a high-performance column-oriented database from Kx Systems Inc. kdb+ is designed to capture, analyze, compare, and store data − all at high speeds and on high volumes of data. The tutorial starts off with a basic introduction of Kdb+ followed by its architecture, installation, and a basic-to-advanced coverage of q programming language.|||Kx® and kdb+ are registered trademarks of Kx Systems, Inc|||This reference has been prepared for beginners to help them understand the KDB+ database and write smart queries in q languages for KDB+.|||As we are going to start from scratch, you can set off without any preparation. However, it would definitely help if you have a working knowledge of any database or a programming language.",,,,
Learn KDB+,KDB+ Overview,KDB+ Overview|||Background@@@Why and Where to Use KDB+@@@Getting Started|||Downloading & Installing KDB+@@@Directory Layout,"This is a complete quide to kdb+ from kx systems, aimed primarily at those learning independently. kdb+, introduced in 2003, is the new generation of the kdb database which is designed to capture, analyze, compare, and store data.|||A kdb+ system contains the following two components −|||KDB+ − the database (k database plus)|||Q − the programming language for working with kdb+|||Both kdb+ and q are written in k programming language (same as q but less readable).|||Kdb+/q originated as an obscure academic language but over the years, it has gradually improved its user friendliness.|||APL (1964, A Programming Language)|||A+ (1988, modified APL by Arthur Whitney)|||K (1993, crisp version of A+, developed by A. Whitney)|||Kdb (1998, in-memory column-based db)|||Kdb+/q (2003, q language – more readable version of k)|||Why? − If you need a single solution for real-time data with analytics, then you should consider kdb+. Kdb+ stores database as ordinary native files, so it does not have any special needs regarding hardware and storage architecture. It is worth pointing out that the database is just a set of files, so your administrative work won’t be difficult.|||Where to use KDB+? − It’s easy to count which investment banks are NOT using kdb+ as most of them are using currently or planning to switch from conventional databases to kdb+. As the volume of data is increasing day by day, we need a system that can handle huge volumes of data. KDB+ fulfills this requirement. KDB+ not only stores an enormous amount of data but also analyzes it in real time.|||With this much of background, let us now set forth and learn how to set up an environment for KDB+. We will start with how to download and install KDB+.|||You can get the free 32-bit version of KDB+, with all the functionality of the 64- bit version from http://kx.com/software-download.php|||Agree to the license agreement, select the operating system (available for all major operating system). For Windows operating system, the latest version is 3.2. Download the latest version. Once you unzip it, you will get the folder name “windows” and inside the windows folder, you will get another folder “q”. Copy the entire q folder onto your c:/ drive.|||Open the Run terminal, type the location where you store the q folder; it will be like “c:/q/w32/q.exe”. Once you hit Enter, you will get a new console as follows −|||On the first line, you can see the version number which is 3.2 and the release date as 2015.03.05|||The trial/free version is generally installed in directories,|||For linux/Mac −|||For Windows −|||Example Files −|||Once you download kdb+, the directory structure in the Windows platform would appear as follows −|||In the above directory structure, trade.q and sp.q are the example files which we can use as a reference point.","KDB+ − the database (k database plus)@@@Q − the programming language for working with kdb+|||APL (1964, A Programming Language)@@@A+ (1988, modified APL by Arthur Whitney)@@@K (1993, crisp version of A+, developed by A. Whitney)@@@Kdb (1998, in-memory column-based db)@@@Kdb+/q (2003, q language – more readable version of k)",,,
Learn KDB+,KDB+ Architecture,KDB+ Architecture|||Kdb+/ tick Architecture@@@Components of Kdb+ Tick Architecture|||Data Feeds@@@Feed Handler@@@Ticker Plant@@@Real-Time Database@@@Historical Database,"Kdb+ is a high-performance, high-volume database designed from the outset to handle tremendous volumes of data. It is fully 64-bit, and has built-in multi-core processing and multi-threading. The same architecture is used for real-time and historical data. The database incorporates its own powerful query language, q, so analytics can be run directly on the data.|||kdb+tick is an architecture which allows the capture, processing, and querying of real-time and historical data.|||The following illustration provides a generalized outline of a typical Kdb+/tick architecture, followed by a brief explanation of the various components and the through-flow of data.|||The Data Feeds are a time series data that are mostly provided by the data feed providers like Reuters, Bloomberg or directly from exchanges.|||To get the relevant data, the data from the data feed is parsed by the feed handler.|||Once the data is parsed by the feed handler, it goes to the ticker-plant.|||To recover data from any failure, the ticker-plant first updates/stores the new data to the log file and then updates its own tables.|||After updating the internal tables and the log files, the on-time loop data is continuously sent/published to the real-time database and all the chained subscribers who requested for data.|||At the end of a business day, the log file is deleted, a new one created and the real-time database is saved onto the historical database. Once all the data is saved onto the historical database, the real-time database purges its tables.|||Data Feeds can be any market or other time series data. Consider data feeds as the raw input to the feed-handler. Feeds can be directly from the exchange (live-streaming data), from the news/data providers like Thomson-Reuters, Bloomberg, or any other external agencies.|||A feed handler converts the data stream into a format suitable for writing to kdb+. It is connected to the data feed and it retrieves and converts the data from the feed-specific format into a Kdb+ message which is published to the ticker-plant process. Generally a feed handler is used to perform the following operations −|||Ticker Plant is the most important component of KDB+ architecture. It is the ticker plant with which the real-time database or directly subscribers (clients) are connected to access the financial data. It operates in publish and subscribe mechanism. Once you obtain a subscription (license), a tick (routinely) publication from the publisher (ticker plant) is defined. It performs the following operations −|||Receives the data from the feed handler.|||Immediately after the ticker plant receives the data, it stores a copy as a log file and updates it once the ticker plant gets any update so that in case of any failure, we should not have any data loss.|||The clients (real-time subscriber) can directly subscribe to the ticker-plant.|||At the end of each business day, i.e., once the real-time database receives the last message, it stores all of today’s data onto the historical database and pushes the same to all the subscribers who have subscribed for today’s data. Then it resets all its tables. The log file is also deleted once the data is stored in the historical database or other directly linked subscriber to real time database (rtdb).|||As a result, the ticker-plant, the real-time database, and the historical database are operational on a 24/7 basis.|||Since the ticker-plant is a Kdb+ application, its tables can be queried using q like any other Kdb+ database. All ticker-plant clients should only have access to the database as subscribers.|||A real-time database (rdb) stores today’s data. It is directly connected to the ticker plant. Typically it would be stored in memory during market hours (a day) and written out to the historical database (hdb) at the end of day. As the data (rdb data) is stored in memory, processing is extremely fast.|||As kdb+ recommends to have a RAM size that is four or more times the expected size of data per day, the query that runs on rdb is very fast and provides superior performance. Since a real-time database contains only today’s data, the date column (parameter) is not required.|||For example, we can have rdb queries like,|||If we have to calculate the estimates of a company, we need to have its historical data available. A historical database (hdb) holds data of transactions done in the past. Each new day’s record would be added to the hdb at the end of day. Large tables in the hdb are either stored splayed (each column is stored in its own file) or they are stored partitioned by temporal data. Also some very large databases may be further partitioned using par.txt (file).|||These storage strategies (splayed, partitioned, etc.) are efficient while searching or accessing the data from a large table.|||A historical database can also be used for internal and external reporting purposes, i.e., for analytics. For example, suppose we want to get the company trades of IBM for a particular day from the trade (or any) table name, we need to write a query as follows −|||Note − We will write all such queries once we get some overview of the q language.","The Data Feeds are a time series data that are mostly provided by the data feed providers like Reuters, Bloomberg or directly from exchanges.@@@To get the relevant data, the data from the data feed is parsed by the feed handler.@@@Once the data is parsed by the feed handler, it goes to the ticker-plant.@@@To recover data from any failure, the ticker-plant first updates/stores the new data to the log file and then updates its own tables.@@@After updating the internal tables and the log files, the on-time loop data is continuously sent/published to the real-time database and all the chained subscribers who requested for data.@@@At the end of a business day, the log file is deleted, a new one created and the real-time database is saved onto the historical database. Once all the data is saved onto the historical database, the real-time database purges its tables.|||Capture data according to a set of rules.@@@Translate (/enrich) that data from one format to another.@@@Catch the most recent values.|||Receives the data from the feed handler.@@@Immediately after the ticker plant receives the data, it stores a copy as a log file and updates it once the ticker plant gets any update so that in case of any failure, we should not have any data loss.@@@The clients (real-time subscriber) can directly subscribe to the ticker-plant.@@@At the end of each business day, i.e., once the real-time database receives the last message, it stores all of today’s data onto the historical database and pushes the same to all the subscribers who have subscribed for today’s data. Then it resets all its tables. The log file is also deleted once the data is stored in the historical database or other directly linked subscriber to real time database (rtdb).@@@As a result, the ticker-plant, the real-time database, and the historical database are operational on a 24/7 basis.",,,
Learn KDB+,Q Programming Language,Q Programming Language|||Starting the “q” Environment@@@Data Types@@@Atom and List Formation|||Example 1 – Atom and List Formation,"Kdb+ comes with its built-in programming language that is known as q. It incorporates a superset of standard SQL which is extended for time-series analysis and offers many advantages over the standard version. Anyone familiar with SQL can learn q in a matter of days and be able to quickly write her own ad-hoc queries.|||To start using kdb+, you need to start the q session. There are three ways to start a q session −|||Simply type “c:/q/w32/q.exe” on your run terminal.|||Start the MS-DOS command terminal and type q.|||Copy the q.exe file onto “C:\Windows\System32” and on the run terminal, just type “q”.|||Here we are assuming that you are working on a Windows platform.|||The following table provides a list of supported data types −|||Atoms are single entities, e.g., a single number, a character or a symbol. In the above table (of different data types), all supported data types are atoms. A list is a sequence of atoms or other types including lists.|||Passing an atom of any type to the monadic (i.e. single argument function) type function will return a negative value, i.e., –n, whereas passing a simple list of those atoms to the type function will return a positive value n.","Simply type “c:/q/w32/q.exe” on your run terminal.@@@Start the MS-DOS command terminal and type q.@@@Copy the q.exe file onto “C:\Windows\System32” and on the run terminal, just type “q”.",,"Name@@@Example@@@Char@@@Type@@@Size|||boolean@@@1b@@@b@@@1@@@1|||byte@@@0xff@@@x@@@4@@@1|||short@@@23h@@@h@@@5@@@2|||int@@@23i@@@i@@@6@@@4|||long@@@23j@@@j@@@7@@@8|||real@@@2.3e@@@e@@@8@@@4|||float@@@2.3f@@@f@@@9@@@8|||char@@@“a”@@@c@@@10@@@1|||varchar@@@`ab@@@s@@@11@@@*|||month@@@2003.03m@@@m@@@13@@@4|||date@@@2015.03.17T18:01:40.134@@@z@@@15@@@8|||minute@@@08:31@@@u@@@17@@@4|||second@@@08:31:53@@@v@@@18@@@4|||time@@@18:03:18.521@@@t@@@19@@@4|||enum@@@`u$`b, where u:`a`b@@@*@@@20@@@4",
Learn KDB+,Q Language - Type Casting,Q Language - Type Casting|||Casting Integers to Floats@@@Casting Strings to Symbols@@@Casting Strings to Non-Symbols,"It is often required to change the data type of some data from one type to another. The standard casting function is the “$” dyadic operator.|||Three approaches are used to cast from one type to another (except for string) −|||In the following example of casting integers to floats, all the three different ways of casting are equivalent −|||Check if all the three operations are equivalent,|||Casting string to symbols and vice versa works a bit differently. Let’s check it with an example −|||Attempting to cast strings to symbols using the keyed words `symbol or 11h will fail with the type error −|||Casting strings to a data type other than symbol is accomplished as follows −|||So to cast an entire string (the list of characters) to a single atom of data type x requires us to specify the upper case letter representing data type x as the first argument to the $ operator. If you specify the data type of x in any other way, it result in the cast being applied to each character of the string.",Specify desired data type by its symbol name@@@Specify desired data type by its character@@@Specify desired data type by it short value.,,,
Learn KDB+,Q Language - Temporal Data,Q Language - Temporal Data|||Date@@@Times@@@Datetimes,"The q language has many different ways of representing and manipulating temporal data such as times and dates.|||A date in kdb+ is internally stored as the integer number of days since our reference date is 01Jan2000. A date after this date is internally stored as a positive number and a date before that is referenced as a negative number.|||By default, a date is written in the format “YYYY.MM.DD”|||Arithmetic and logical operations can be performed directly on dates.|||The 1st of January 2000 fell on a Saturday. Therefore any Saturday throughout the history or in the future when divided by 7, would yield a remainder of 0, Sunday gives 1, Monday yield 2.|||A time is internally stored as the integer number of milliseconds since the stroke of midnight. A time is written in the format HH:MM:SS.MSS|||As in case of dates, arithmetic can be performed directly on times.|||A datetime is the combination of a date and a time, separated by ‘T’ as in the ISO standard format. A datetime value stores the fractional day count from midnight Jan 1, 2000.|||The underlying fractional day count can be obtained by casting to float.",,,,
Learn KDB+,Q Language - Lists,Q Language - Lists|||Types of List|||Count@@@Examples of simple List,"Lists are the basic building blocks of q language, so a thorough understanding of lists is very important. A list is simply an ordered collection of atoms (atomic elements) and other lists (group of one or more atoms).|||A general list encloses its items within matching parentheses and separates them with semicolons. For example −|||If a list comprises of atoms of same type, it is known as a uniform list. Else, it is known as a general list (mixed type).|||We can obtain the number of items in a list through its count.|||**Note − A simple list of char is called a string.|||A list contains atoms or lists. To create a single item list, we use −|||To distinguish between an atom and the equivalent singleton, examine the sign of their type.",,,,
Learn KDB+,Q Language - Indexing,Q Language - Indexing|||Index Notation@@@Indexed Assignment@@@Joining Lists@@@Nesting@@@Elided Indices|||Lists from Variables@@@Depth@@@Indexing at Depth,"A list is ordered from left to right by the position of its items. The offset of an item from the beginning of the list is called its index. Thus, the first item has an index 0, the second item (if there is one) has an index 1, etc. A list of count n has index domain from 0 to n–1.|||Given a list L, the item at index i is accessed by L[i]. Retrieving an item by its index is called item indexing. For example,|||Items in a list can also be assigned via item indexing. Thus,|||The most common operation on two lists is to join them together to form a larger list. More precisely, the join operator (,) appends its right operand to the end of the left operand and returns the result. It accepts an atom in either argument.|||Data complexity is built by using lists as items of lists.|||The number of levels of nesting for a list is called its depth. Atoms have a depth of 0 and simple lists have a depth of 1.|||Here is a list of depth 3 having two items −|||It is possible to index directly into the items of a nested list.|||Repeated Item Indexing|||Retrieving an item via a single index always retrieves an uppermost item from a nested list.|||Since the result L[1] is itself a list, we can retrieve its elements using a single index.|||We can repeat single indexing once more to retrieve an item from the innermost nested list.|||You can read this as,|||Get the item at index 1 from L, and from it retrieve the item at index 2, and from it retrieve the item at index 0.|||Notation for Indexing at Depth|||There is an alternate notation for repeated indexing into the constituents of a nested list. The last retrieval can also be written as,|||Assignment via index also works at depth.|||Eliding Indices for a General List|||Interpret L[;1;] as,|||Retrieve all items in the second position of each list at the top level.|||Interpret L[;;2] as,|||Retrieve the items in the third position for each list at the second level.",,,,
Learn KDB+,Q Language - Dictionaries,Q Language - Dictionaries|||Lookup@@@Operations on Dictionaries@@@Column Dictionaries@@@Flipping a Dictionary|||Lookup with Verb @@@@Amend and Upsert@@@Reverse Lookup with Find (?)@@@Removing Entries@@@Flip on a Column Dictionary@@@Flip of a Flipped Column Dictionary,"Dictionaries are an extension of lists which provide the foundation for creating tables. In mathematical terms, dictionary creates the|||“domain →  Range” |||or in general (short) creates|||“key → value”|||relationship between elements.|||A dictionary is an ordered collection of key-value pairs that is roughly equivalent to a hash table. A dictionary is a mapping defined by an explicit I/O association between a domain list and a range list via positional correspondence. The creation of a dictionary uses the ""xkey"" primitive (!)|||The most basic dictionary maps a simple list to a simple list.|||Finding the dictionary output value corresponding to an input value is called looking up the input.|||As with lists, the items of a dictionary can be modified via indexed assignment.|||Dictionaries can be extended via index assignment. |||The find (?) operator is used to perform reverse lookup by mapping a range of elements to its domain element.|||In case the elements of a list is not unique, the find returns the first item mapping to it from the domain list.|||To remove an entry from a dictionary, the delete ( _ ) function is used. The left operand of ( _ ) is the dictionary and the right operand is a key value.|||Whitespace is required to the left of _ if the first operand is a variable.|||Column dictionaries are the basics for creation of tables. Consider the following example −|||The net effect of flipping a column dictionary is simply reversing the order of the indices. This is logically equivalent to transposing the rows and columns.|||The transpose of a dictionary is obtained by applying the unary flip operator. Take a look at the following example −|||If you transpose a dictionary twice, you obtain the original dictionary,",,,Input (I)@@@Output (O)|||`Name@@@`John|||`Age@@@36|||`Sex@@@“M”|||Weight@@@60.3,
Learn KDB+,Q Language - Table,Q Language - Table|||Creating Tables@@@Getting Table Information@@@Primary Keys and Keyed Tables@@@Manipulating Tables|||Keyed Table@@@ForeignKeys@@@Select@@@Insert@@@Delete@@@Update,"Tables are at the heart of kdb+. A table is a collection of named columns implemented as a dictionary. q tables are column-oriented.|||Tables are created using the following syntax −|||In the above example, we have not specified the type of each column. This will be set by the first insert into the table.|||Another way, we can specify column type on initialization −|||Or we can also define non-empty tables −|||If there are no columns within the square brackets as in the examples above, the table is unkeyed.|||To create a keyed table, we insert the column(s) for the key in the square brackets.|||One can also define the column types by setting the values to be null lists of various types −|||Let’s create a trade table −|||A keyed table is a dictionary that maps each row in a table of unique keys to a corresponding row in a table of values. Let us take an example −|||Now create a simple keyed table containing eid as key,|||A foreign key defines a mapping from the rows of the table in which it is defined to the rows of the table with the corresponding primary key.|||Foreign keys provide referential integrity. In other words, an attempt to insert a foreign key value that is not in the primary key will fail.|||Consider the following examples. In the first example, we will define a foreign key explicitly on initialization. In the second example, we will use foreign key chasing which does not assume any prior relationship between the two tables.|||Example 1 − Define foreign key on initialization|||Example 2 − no pre-defined relationship between tables|||To use foreign key chasing, we must create a table to key into sector.|||General notation for a predefined foreign key −|||select a.b from c where a is the foreign key (sym), b is a|||field in the primary key table (ind), c is the|||foreign key table (trade)|||Let’s create one trade table and check the result of different table expression −|||Let us now take a look at the statements that are used to manipulate tables using q language.|||The syntax to use a Select statement is as follows −|||Let us now take an example to demonstrate how to use Select statement −|||The syntax to use an Insert statement is as follows −|||Let us now take an example to demonstrate how to use Insert statement −|||The syntax to use a Delete statement is as follows −|||Let us now take an example to demonstrate how to use Delete statement −|||The syntax to use an Update statement is as follows −|||Use the following syntax to update the format/datatype of a column using the cast function −|||Let us now take an example to demonstrate how to use Update statement −",,,,
