Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn LISP,LISP Tutorial,LISP Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"Lisp is the second-oldest high-level programming language after Fortran and has changed a great deal since its early days, and a number of dialects have existed over its history. Today, the most widely known general-purpose Lisp dialects are Common Lisp and Scheme.|||Lisp was invented by John McCarthy in 1958 while he was at the Massachusetts Institute of Technology (MIT).|||This reference will take you through simple and practical approach while learning LISP Programming language.|||This reference has been prepared for the beginners to help them understand the basic to advanced concepts related to LISP Programming language.|||Before you start doing practice with various types of examples given in this reference, I'm making an assumption that you are already aware about what is a computer program and what is a computer programming language?",,,,
Learn LISP,LISP - Overview,LISP - Overview|||Features of Common LISP@@@Applications Built in LISP@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"John McCarthy invented LISP in 1958, shortly after the development of FORTRAN. It was first implemented by Steve Russell on an IBM 704 computer.|||It is particularly suitable for Artificial Intelligence programs, as it processes symbolic information effectively.|||Common Lisp originated, during the 1980s and 1990s, in an attempt to unify the work of several implementation groups that were successors to Maclisp, like ZetaLisp and NIL (New Implementation of Lisp) etc.|||It serves as a common language, which can be easily extended for specific implementation.|||Programs written in Common LISP do not depend on machine-specific characteristics, such as word length etc.|||It is machine-independent|||It uses iterative design methodology, and easy extensibility.|||It allows updating the programs dynamically.|||It provides high level debugging.|||It provides advanced object-oriented programming.|||It provides a convenient macro system.|||It provides wide-ranging data types like, objects, structures, lists, vectors, adjustable arrays, hash-tables, and symbols.|||It is expression-based.|||It provides an object-oriented condition system.|||It provides a complete I/O library.|||It provides extensive control structures.|||Large successful applications built in Lisp.|||Emacs|||G2|||AutoCad|||Igor Engraver|||Yahoo Store","It is machine-independent@@@It uses iterative design methodology, and easy extensibility.@@@It allows updating the programs dynamically.@@@It provides high level debugging.@@@It provides advanced object-oriented programming.@@@It provides a convenient macro system.@@@It provides wide-ranging data types like, objects, structures, lists, vectors, adjustable arrays, hash-tables, and symbols.@@@It is expression-based.@@@It provides an object-oriented condition system.@@@It provides a complete I/O library.@@@It provides extensive control structures.|||Emacs@@@G2@@@AutoCad@@@Igor Engraver@@@Yahoo Store",,,
Learn LISP,LISP - Environment Setup,LISP - Environment Setup|||Local Environment Setup@@@Text Editor@@@The Lisp Executer@@@How to use CLISP@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"If you are still willing to set up your environment for Lisp programming language, you need the following two softwares available on your computer, (a) Text Editor and (b) The Lisp Executer.|||This will be used to type your program. Examples of few editors include Windows Notepad, OS Edit command, Brief, Epsilon, EMACS, and vim or vi.|||Name and version of text editor can vary on different operating systems. For example, Notepad will be used on Windows, and vim or vi can be used on windows as well as Linux or UNIX.|||The files you create with your editor are called source files and contain program source code. The source files for Lisp programs are typically named with the extension "".lisp"".|||Before starting your programming, make sure you have one text editor in place and you have enough experience to write a computer program, save it in a file, finally execute it.|||The source code written in source file is the human readable source for your program. It needs to be ""executed"", to turn into machine language so that your CPU can actually execute the program as per instructions given.|||This Lisp programming language will be used to execute your source code into final executable program. I assume you have basic knowledge about a programming language.|||CLISP is the GNU Common LISP multi-architechtural compiler used for setting up LISP in Windows. The windows version emulates a unix environment using MingW under windows. The installer takes care of this and automatically adds clisp to the windows PATH variable.|||You can get the latest CLISP for Windows from here - https://sourceforge.net/projects/clisp/files/latest/download|||It creates a shortcut in the Start Menu by default, for the line-by-line interpreter.|||During installation, clisp is automatically added to your PATH variable if you select the option (RECOMMENDED)  This means that you can simply open a new Command Prompt window and type “clisp” to bring up the compiler.|||To run a *.lisp or *.lsp file, simply use −",,,,
Learn LISP,LISP - Program Structure,LISP - Program Structure|||A Simple Program@@@LISP Uses Prefix Notation@@@Evaluation of LISP Programs@@@The 'Hello World' Program@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"LISP expressions are called symbolic expressions or s-expressions. The s-expressions are composed of three valid objects, atoms, lists and strings.|||Any s-expression is a valid program.|||LISP programs run either on an interpreter or as compiled code.|||The interpreter checks the source code in a repeated loop, which is also called the read-evaluate-print loop (REPL). It reads the program code, evaluates it, and prints the values returned by the program.|||Let us write an s-expression to find the sum of three numbers 7, 9 and 11. To do this, we can type at the interpreter prompt.|||LISP returns the result −|||If you would like to run the same program as a compiled code, then create a LISP source code file named myprog.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −|||You might have noted that LISP uses prefix notation.|||In the above program the + symbol works as the function name for the process of summation of the numbers.|||In prefix notation, operators are written before their operands. For example, the expression,|||will be written as −|||Let us take another example, let us write code for converting Fahrenheit temp of 60o F to the centigrade scale −|||The mathematical expression for this conversion will be −|||Create a source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is−|||Evaluation of LISP programs has two parts −|||Translation of program text into Lisp objects by a reader program|||Implementation of the semantics of the language in terms of these objects by an evaluator program|||The evaluation process takes the following steps −|||The reader translates the strings of characters to LISP objects or s-expressions.|||The evaluator defines syntax of Lisp forms that are built from s-expressions. This second level of evaluation defines a syntax that determines which s-expressions are LISP forms.|||The evaluator works as a function that takes a valid LISP form as an argument and returns a value. This is the reason why we put the LISP expression in parenthesis, because we are sending the entire expression/form to the evaluator as arguments.|||Learning a new programming language doesn't really take off until you learn how to greet the entire world in that language, right!|||So, please create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −","Translation of program text into Lisp objects by a reader program@@@Implementation of the semantics of the language in terms of these objects by an evaluator program|||The reader translates the strings of characters to LISP objects or s-expressions.@@@The evaluator defines syntax of Lisp forms that are built from s-expressions. This second level of evaluation defines a syntax that determines which s-expressions are LISP forms.@@@The evaluator works as a function that takes a valid LISP form as an argument and returns a value. This is the reason why we put the LISP expression in parenthesis, because we are sending the entire expression/form to the evaluator as arguments.",,,"(+ 7 9 11)|||(write (+ 7 9 11))|||a * ( b + c ) / d|||(/ (* a (+ b c) ) d)|||(60 * 9 / 5) + 32|||(write(+ (* (/ 9 5) 60) 32))|||(write-line ""Hello World"")(write-line ""I am at 'Tutorials Point'! Learning LISP"")"
Learn LISP,LISP - Basic Syntax,LISP - Basic Syntax|||Basic Building Blocks in LISP@@@Adding Comments@@@Some Notable Points before Moving to Next@@@Little More about LISP Forms@@@Naming Conventions in LISP@@@Use of Single Quotation Mark@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"LISP programs are made up of three basic building blocks −|||atom|||list|||string|||An atom is a number or string of contiguous characters. It includes numbers and special characters.|||Following are examples of some valid atoms −|||A list is a sequence of atoms and/or other lists enclosed in parentheses.|||Following are examples of some valid lists −|||A string is a group of characters enclosed in double quotation marks.|||Following are examples of some valid strings −|||The semicolon symbol (;) is used for indicating a comment line.|||For Example,|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −|||Following are some of the important points to note −|||The basic numeric operations in LISP are +, -, *, and /|||LISP represents a function call f(x) as (f x), for example cos(45) is written as cos 45|||LISP expressions are case-insensitive, cos 45 or COS 45 are same.|||LISP tries to evaluate everything, including the arguments of a function. Only three types of elements are constants and always return their own value|||Numbers|||The letter t, that stands for logical true.|||The value nil, that stands for logical false, as well as an empty list.|||In the previous chapter, we mentioned that the evaluation process of LISP code takes the following steps.|||The reader translates the strings of characters to LISP objects or s-expressions.|||The evaluator defines syntax of Lisp forms that are built from s-expressions. This second level of evaluation defines a syntax that determines which s-expressions are LISP forms.|||Now, a LISP forms could be.|||An Atom|||An empty or non-list|||Any list that has a symbol as its first element|||The evaluator works as a function that takes a valid LISP form as an argument and returns a value. This is the reason why we put the LISP expression in parenthesis, because we are sending the entire expression/form to the evaluator as arguments.|||Name or symbols can consist of any number of alphanumeric characters other than whitespace, open and closing parentheses, double and single quotes, backslash, comma, colon, semicolon and vertical bar. To use these characters in a name, you need to use escape character (\).|||A name can have digits but not entirely made of digits, because then it would be read as a number. Similarly a name can have periods, but can't be made entirely of periods.|||LISP evaluates everything including the function arguments and list members.|||At times, we need to take atoms or lists literally and don't want them evaluated or treated as function calls.|||To do this, we need to precede the atom or the list with a single quotation mark.|||The following example demonstrates this.|||Create a file named main.lisp and type the following code into it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −","atom@@@list@@@string|||The basic numeric operations in LISP are +, -, *, and /@@@LISP represents a function call f(x) as (f x), for example cos(45) is written as cos 45@@@LISP expressions are case-insensitive, cos 45 or COS 45 are same.@@@LISP tries to evaluate everything, including the arguments of a function. Only three types of elements are constants and always return their own value

Numbers
The letter t, that stands for logical true.
The value nil, that stands for logical false, as well as an empty list.

@@@Numbers@@@The letter t, that stands for logical true.@@@The value nil, that stands for logical false, as well as an empty list.|||Numbers@@@The letter t, that stands for logical true.@@@The value nil, that stands for logical false, as well as an empty list.|||The reader translates the strings of characters to LISP objects or s-expressions.@@@The evaluator defines syntax of Lisp forms that are built from s-expressions. This second level of evaluation defines a syntax that determines which s-expressions are LISP forms.|||An Atom@@@An empty or non-list@@@Any list that has a symbol as its first element",,,"hello-from-tutorials-pointname123008907*hello*Block#221abc123|||( i am a list)(a ( a b c) d e fgh)(father tom ( susan bill joe))(sun mon tue wed thur fri sat)( )|||"" I am a string""""a ba c d efg #$%^&!""""Please enter the following details :""""Hello from 'Tutorials Point'! ""|||(write-line ""Hello World"") ; greet the world; tell them your whereabouts(write-line ""I am at 'Tutorials Point'! Learning LISP"")|||(write-line ""single quote used, it inhibits evaluation"")(write '(* 2 3))(write-line "" "")(write-line ""single quote not used, so expression evaluated"")(write (* 2 3))"
Learn LISP,LISP - Data Types,LISP - Data Types|||Type Specifiers in LISP@@@Useful Video Courses|||Example 1@@@Example 2|||Practical AutoLISP Programming - Beginner to Advanced,"In LISP, variables are not typed, but data objects are.|||LISP data types can be categorized as.|||Scalar types − for example, number types, characters, symbols etc.|||Data structures − for example, lists, vectors, bit-vectors, and strings.|||Any variable can take any LISP object as its value, unless you have declared it explicitly.|||Although, it is not necessary to specify a data type for a LISP variable, however, it helps in certain loop expansions, in method declarations and some other situations that we will discuss in later chapters.|||The data types are arranged into a hierarchy. A data type is a set of LISP objects and many objects may belong to one such set.|||The typep predicate is used for finding whether an object belongs to a specific type.|||The type-of function returns the data type of a given object.|||Type specifiers are system-defined symbols for data types.|||Apart from these system-defined types, you can create your own data types. When a structure type is defined using defstruct function, the name of the structure type becomes a valid type symbol.|||Create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −|||Next let's check the types of the variables used in the previous example. Create new source code file named main. lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −","Scalar types − for example, number types, characters, symbols etc.@@@Data structures − for example, lists, vectors, bit-vectors, and strings.",,array@@@fixnum@@@package@@@simple-string|||atom@@@float@@@pathname@@@simple-vector|||bignum@@@function@@@random-state@@@single-float|||bit@@@hash-table@@@ratio@@@standard-char|||bit-vector@@@integer@@@rational@@@stream|||character@@@keyword@@@readtable@@@string|||[common]@@@list@@@sequence@@@[string-char]|||compiled-function@@@long-float@@@short-float@@@symbol|||complex@@@nill@@@signed-byte@@@t|||cons@@@null@@@simple-array@@@unsigned-byte|||double-float@@@number@@@simple-bit-vector@@@vector,(setq x 10)(setq y 34.567)(setq ch nil)(setq n 123.78)(setq bg 11.0e+4)(setq r 124/2)(print x)(print y)(print n)(print ch)(print bg)(print r)|||(defvar x 10)(defvar y 34.567)(defvar ch nil)(defvar n 123.78)(defvar bg 11.0e+4)(defvar r 124/2)(print (type-of x))(print (type-of y))(print (type-of n))(print (type-of ch))(print (type-of bg))(print (type-of r))
Learn LISP,LISP - Macros,LISP - Macros|||Defining a Macro@@@Useful Video Courses|||Example|||Practical AutoLISP Programming - Beginner to Advanced,"Macros allow you to extend the syntax of standard LISP.|||Technically, a macro is a function that takes an s-expression as arguments and returns a LISP form, which is then evaluated.|||In LISP, a named macro is defined using another macro named defmacro. Syntax for defining a macro is −|||The macro definition consists of the name of the macro, a parameter list, an optional documentation string, and a body of Lisp expressions that defines the job to be performed by the macro.|||Let us write a simple macro named setTo10, which will take a number and set its value to 10.|||Create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is −",,,,"(defmacro macro-name (parameter-list))""Optional documentation string.""body-form|||(defmacro setTo10(num)(setq num 10)(print num))(setq x 25)(print x)(setTo10 x)"
Learn LISP,LISP - Variables,LISP - Variables|||Global Variables@@@Local Variables@@@Useful Video Courses|||For example@@@For Example@@@For Example@@@Example@@@Example|||Practical AutoLISP Programming - Beginner to Advanced,"In LISP, each variable is represented by a symbol. The variable's name is the name of the symbol and it is stored in the storage cell of the symbol.|||Global variables have permanent values throughout the LISP system and remain in effect until a new value is specified.|||Global variables are generally declared using the defvar construct.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is|||Since there is no type declaration for variables in LISP, you directly specify a value for a symbol with the setq construct.|||The above expression assigns the value 10 to the variable x. You can refer to the variable using the symbol itself as an expression.|||The symbol-value function allows you to extract the value stored at the symbol storage place.|||Create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is.|||Local variables are defined within a given procedure. The parameters named as arguments within a function definition are also local variables. Local variables are accessible only within the respective function.|||Like the global variables, local variables can also be created using the setq construct.|||There are two other constructs - let and prog for creating local variables.|||The let construct has the following syntax.|||Where var1, var2, ..varn are variable names and val1, val2, .. valn are the initial values assigned to the respective variables.|||When let is executed, each variable is assigned the respective value and lastly the s-expression is evaluated. The value of the last expression evaluated is returned.|||If you don't include an initial value for a variable, it is assigned to nil.|||Create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is.|||The prog construct also has the list of local variables as its first argument, which is followed by the body of the prog, and any number of s-expressions.|||The prog function executes the list of s-expressions in sequence and returns nil unless it encounters a function call named return. Then the argument of the return function is evaluated and returned.|||Create new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is.",,,,"(defvar x 234)(write x)|||->(setq x 10)|||(setq x 10)(setq y 20)(format t ""x = ~2d y = ~2d ~%"" x y)(setq x 100)(setq y 200)(format t ""x = ~2d y = ~2d"" x y)|||(let ((var1  val1) (var2  val2).. (varn  valn))<s-expressions>)|||(let ((x 'a) (y 'b)(z 'c))(format t ""x = ~a y = ~a z = ~a"" x y z))|||(prog ((x '(a b c))(y '(1 2 3))(z '(p q 10)))(format t ""x = ~a y = ~a z = ~a"" x y z))"
Learn LISP,LISP - Constants,LISP - Constants|||Example@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"In LISP, constants are variables that never change their values during program execution. Constants are declared using the defconstant construct.|||The following example shows declaring a global constant PI and later using this value inside a function named area-circle that calculates the area of a circle.|||The defun construct is used for defining a function, we will look into it in the Functions chapter.|||Create a new source code file named main.lisp and type the following code in it.|||When you click the Execute button, or type Ctrl+E, LISP executes it immediately and the result returned is.",,,,"(defconstant PI 3.141592)(defun area-circle(rad)   (terpri)   (format t ""Radius: ~5f"" rad)   (format t ""~%Area: ~10f"" (* PI rad rad)))(area-circle 10)"
Learn LISP,LISP - Operators,LISP - Operators|||Arithmetic Operations@@@Comparison Operations@@@Logical Operations on Boolean Values@@@Bitwise Operations on Numbers@@@Useful Video Courses|||Practical AutoLISP Programming - Beginner to Advanced,"An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations. LISP allows numerous operations on data, supported by various functions, macros and other constructs.|||The operations allowed on data could be categorized as −|||The following table shows all the arithmetic operators supported by LISP. Assume variable A holds 10 and variable B holds 20 then −|||Show Examples|||Following table shows all the relational operators supported by LISP that compares between numbers. However unlike relational operators in other languages, LISP comparison operators may take more than two operands and they work on numbers only.|||Assume variable A holds 10 and variable B holds 20, then −|||Show Examples|||Common LISP provides three logical operators: and, or, and not that operates on Boolean values. Assume A has value nil and B has value 5, then −|||Show Examples|||Bitwise operators work on bits and perform bit-by-bit operation. The truth tables for bitwise and, or, and xor operations are as follows −|||Show Examples|||The Bitwise operators supported by LISP are listed in the following table. Assume variable A holds 60 and variable B holds 13, then −",Arithmetic Operations@@@Comparison Operations@@@Logical Operations@@@Bitwise Operations,,"Operator@@@Description@@@Example|||+@@@Adds two operands@@@(+A B) will give 30|||-@@@Subtracts second operand from the first@@@(- A B) will give -10|||*@@@Multiplies both operands@@@(* A B) will give 200|||/@@@Divides numerator by de-numerator@@@(/ B A) will give 2|||mod,rem@@@Modulus Operator and remainder of after an integer division@@@(mod B A )will give 0|||incf@@@Increments operator increases integer value by the second argument specified@@@(incf A 3) will give 13|||decf@@@Decrements operator decreases integer value by the second argument specified@@@(decf A 4) will give 9&&&Operator@@@Description@@@Example|||=@@@Checks if the values of the operands are all equal or not, if yes then condition becomes true.@@@(= A B) is not true.|||/=@@@Checks if the values of the operands are all different or not, if values are not equal then condition becomes true.@@@(/= A B) is true.|||>@@@Checks if the values of the operands are monotonically decreasing.@@@(> A  B) is not true.|||<@@@Checks if the values of the operands are monotonically increasing.@@@(< A B) is true.|||>=@@@Checks if the value of any left operand is greater than or equal to the value of next right operand, if yes then condition becomes true.@@@(>= A  B) is not true.|||<=@@@Checks if the value of any left operand is less than or equal to the value of its right operand, if yes then condition becomes true.@@@(<= A  B) is true.|||max@@@It compares two or more arguments and returns the maximum value.@@@(max A B) returns 20|||min@@@It compares two or more arguments and returns the minimum value.@@@(min A B) returns 10&&&Operator@@@Description@@@Example|||and@@@It takes any number of arguments. The arguments are evaluated left to right. If all arguments evaluate to non-nil, then the value of the last argument is returned. Otherwise nil is returned.@@@(and A  B) will return NIL.|||or@@@It takes any number of arguments. The arguments are evaluated left to right until one evaluates to non-nil, in such case the argument value is returned, otherwise it returns nil.@@@(or A  B) will return 5.|||not@@@It takes one argument and returns t if the argument evaluates to nil.@@@(not A) will return T.&&&p@@@q@@@p and q@@@p or q@@@p xor q|||0@@@0@@@0@@@0@@@0|||0@@@1@@@0@@@1@@@1|||1@@@1@@@1@@@1@@@0|||1@@@0@@@0@@@1@@@1&&&Operator@@@Description@@@Example|||logand@@@This returns the bit-wise logical AND of its arguments. If no argument is given, then the result is -1, which is an identity for this operation.@@@(logand a b)) will give 12|||logior@@@This returns the bit-wise logical INCLUSIVE OR of its arguments. If no argument is given, then the result is zero, which is an identity for this operation.@@@(logior a b) will give 61|||logxor@@@This returns the bit-wise logical EXCLUSIVE OR of its arguments. If no argument is given, then the result is zero, which is an identity for this operation.@@@(logxor a b) will give 49|||lognor@@@This returns the bit-wise NOT of its arguments. If no argument is given, then the result is -1, which is an identity for this operation.@@@(lognor a b) will give -62,|||logeqv@@@This returns the bit-wise logical EQUIVALENCE (also known as exclusive nor) of its arguments. If no argument is given, then the result is -1, which is an identity for this operation.@@@(logeqv a b) will give -50",Assume if A = 60; and B = 13; now in binary format they will be as follows:A = 0011 1100B = 0000 1101-----------------A and B = 0000 1100A or B = 0011 1101A xor B = 0011 0001not A  = 1100 0011
