Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn LOGO,Logo Tutorial,Logo Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Logo is a programming language that is easy to learn. It is used for teaching students and children how to program a computer. It was developed to process a list of words. A command is an instruction, which the computer can understand and execute. In principle, the computer only understands very basic commands, which can then be combined to form more complicated instructions. Such a sequence of commands is called a computer program. Writing computer programs is not easy. There are programs which has millions of commands. To keep track of such a complicated program, it is very important to approach the task of writing a program in a structured and well-thought-out manner. This is what we will learn in this Logo programming course.|||This tutorial is designed for those readers, who seek to understand the basic concepts of writing programs in Logo programming language and how its different commands function.|||There are no prerequisites for this tutorial, except for a wish to learn how a computer program works. Having basic computer operating knowledge will be an added advantage in understanding this tutorial.",,,,
Learn LOGO,Logo - Introduction,Logo - Introduction|||Why should we learn the Logo language?@@@How to download and install MSW Logo Software?@@@Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Logo is a programming language that is very simple and easy to learn. It is used for teaching students and children how to program a computer.|||Logo is a very easy and interesting programming language to learn. It has enough depth to virtually do anything, which can be done in any other computer programming language.|||If Logo Programming Software is not installed on the computer, we can get it for free from the following link −|||After installation, it puts a Logo icon on the desktop of your computer.|||The MSW Logo screen has two parts −|||We will write commands in the command line, i.e., the text box at the bottom of the Commander Window. To execute or run these commands, press Enter or click the Execute Button. We can also write and run more than one command online at a time.|||The command history will appear in the gray box. Click a line in the history to make it jump to the respective command line, then we can make changes (if required). Once this is done, press Enter or click the Execute Button.","Because it is fun, lots of fun.@@@Enhances the logical sense of the children.@@@Develops programming skills.@@@It is real Computer Science.|||A Drawing window above with a triangle-shaped TURTLE in the center.@@@A Commander window as shown in the following screenshot.",,,
Learn LOGO,Logo - Turtle,Logo - Turtle|||Turtle Commands@@@Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"The simple Logo Drawing Commands move the Turtle forward and backward and also turn it right or left. The commands and their abbreviations are given below −|||Either version of these commands can be used. Except the cs command, each of these commands must be followed by one value called as its argument. The arguments for fd and bk are units; those of rt and lt are angles that can be any integer. A rotation by 360 is a complete rotation, therefore a rotation by 375 degrees is the same as 1/15 degrees.|||forward 60 or fd 60 means go forward 60 steps|||right 90 or rt 90 means right turn 90 degrees|||left 90 or lt 90 means left turn 90 degrees|||back 60 or bk 60 means go back 60 steps|||clearscreen or cs means erase all drawings. This sets the turtle at the center|||The graphics window has a coordinate system. The values of the two coordinates (normally called x and y) at the center are 0, 0. At the northeast corner, they are 250, 250; at the southeast corner, they are 250, -250. At the southwest corner, they are -250, -250; etc. If the turtle tries to walk off onto one side of the screen, it wraps around. The right side wraps to the left side and the top wraps to the bottom.|||Many programming systems work on the same kind of two-axis ‘xy’ coordinate plane, which we work with in Algebra as well.|||Here, ‘0 0’ is the center, or origin (no comma or parentheses here!). In its centered, zoom-""normal"" state, Logo's drawing screen shows an area of about 150 points up or down and 300 points right or left from the center.|||The turtle can be directed with headings that correspond to a compass rose, with 0 or 360 degrees pointing straight up, 90 degrees straight to the right, and so on. You can set a variable to a number between 0 and 360 and then walk on that path.|||Now let us try some commands. Commands will be issued one per line followed by a carriage return. Several of these commands can be typed in succession in a command window followed by a carriage return. The effect on the turtle is the same. However, if you type a command, which requires one or more inputs and provide the missing input(s) on the next line, Logo will show an error.|||Following is a practice command, which shows the desired results on the right.|||The commands – fd 50 rt 120 fd 50 rt 120 fd 50 rt 120, cause the turtle to draw a triangle, as you can see by trying them out.|||These commands are read from the left to the right. Since the command fd requires one argument, it is taken as the next value. Similarly, rt takes an argument as well. Thus, Logo can give an unambiguous meaning to each of these character strings. For some Logo commands, separators are needed.|||Following are few practice commands with the desired results on the right.||||||||||||Following is an exercise to check your aptitude on what you have learned so far in this chapter.",fd – forward@@@bk – backward@@@rt – right@@@lt – left@@@cs – clearscreen|||forward 60 or fd 60 means go forward 60 steps@@@right 90 or rt 90 means right turn 90 degrees@@@left 90 or lt 90 means left turn 90 degrees@@@back 60 or bk 60 means go back 60 steps@@@clearscreen or cs means erase all drawings. This sets the turtle at the center,,,
Learn LOGO,Logo - Controlling the Turtle & Pen,Logo - Controlling the Turtle & Pen|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Logo has a number of other drawing commands, some of which are given below.|||pu − penup|||pd − pendown|||ht − hideturtle|||dt − showturtle|||setpensize|||The pendown and penup commands tell the turtle to leave ink on the screen as it moves or not to leave ink, respectively. The hideturtle and showturtle commands hide or show the turtle, but do not affect its ability to leave ink as it moves. The home command causes the turtle to return to the center of the screen. It may leave ink behind, when the turtle returns to the center of the screen. The setpensize command decides the drawing pen size.|||penup or pu means pick pen up, so you can move turtle without leaving tracks.|||Following are few practice commands with the desired results on the right.||||||","pu − penup@@@pd − pendown@@@ht − hideturtle@@@dt − showturtle@@@setpensize|||penup or pu means pick pen up, so you can move turtle without leaving tracks.@@@pendown or pd means pick pen down, so you can move the turtle and leave tracks.@@@hideturtle or ht means hide the turtle, so you can admire your drawing.@@@showturtle or st means show the turtle, so you can continue your drawing.@@@setpensize means it can make the pen larger, easier to see. Default pen size is –[1 1].",,,
Learn LOGO,Logo - Turtle World,Logo - Turtle World|||Exercise@@@Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Logo has a number of other additional drawing commands, some of these are given below.|||The label command takes a single word as a quoted string (e.g. “a_string”) or a list of words in [ ] brackets without quotation (e.g. [a string of letters]) and prints them on the graphics window at the location of the turtle. Let us consider the following code.|||The setxy command takes two arguments, treats the first as the value of the abscissa (horizontal axis) and the second as a value of the ordinate (vertical axis). It places the turtle at these coordinates, possibly leaving ink while reaching these coordinates. In the following three figures, we have shown how the setxy command can be used.|||||||||The cleartext command, abbreviated ct, clears the text region of the command window.|||Following is an exercise to check your aptitude on what you have learned so far in this chapter.|||What kind of figure does the following command sequence produce?|||Interpret these commands as you read them from left to right. Try it to find out the result.|||Following is a table of command summary.|||Sets the turtle's x-coordinate to +100|||Moves it 100 points to the right of center|||No vertical change|||Moves the turtle 200 points to the left of center|||No vertical change|||Sets the turtle's y-coordinate to 150|||Moves it 150 points above center|||No horizontal change|||Moves the turtle 50 points below center|||No horizontal change|||Moves the turtle to xy coordinate 100 100|||show xcor|||show ycor|||Reports the turtle’s x-coordinate|||Reports the turtle’s y-coordinate|||setheading 0|||seth 0|||Points the turtle straight up, “high noon”|||Moves the turtle 120 degree to point to the four o’clock position|||The following screenshot is a practical demonstration of some of the above commands.",home@@@cleartext or ct@@@label@@@setxy,,"Command Name @@@Purpose|||setx 100@@@Sets the turtle's x-coordinate to +100
Moves it 100 points to the right of center
No vertical change|||setx -200@@@Moves the turtle 200 points to the left of center
No vertical change|||sety 150@@@Sets the turtle's y-coordinate to 150
Moves it 150 points above center
No horizontal change|||sety - 50@@@Moves the turtle 50 points below center
No horizontal change|||setxy 100 100@@@
Moves the turtle to xy coordinate 100 100
|||show xcor
show ycor
@@@
Reports the turtle’s x-coordinate
Reports the turtle’s y-coordinate
|||setheading 0
seth 0
@@@
Points the turtle straight up, “high noon”
|||seth 120@@@
Moves the turtle 120 degree to point to the four o’clock position
",
Learn LOGO,Logo - Variables,Logo - Variables|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"A variable is the name of a memory location which can contain a value. In a computer, each memory location has an integer address. Since it would be hard to remember the address of each location containing a value used by a program, computer scientists have found ways of giving these locations, symbolic names. Once a variable has a name, we can use and manipulate it.|||Variables are given names which are strings of letters. A variable name can contain alphabets (case insensitive), digits and underscore. A variable name can be accessed in a computation using ‘:’ before it. Let us consider the following example in the screenshot.|||In the above example, we have defined two variables first_name, 100_last_name_200 and initialized them with values Amal and Das using the following statements −|||Also, we printed these two variables with statements print :first_name and print :100_last_name_200.|||The following example shows how to define numeric variables −|||Here, we have defined two numeric variables val1 and val2. We have also performed addition and subtraction using them.",make “first_name “Amal@@@make “100_last_name_200 “Das,,,
Learn LOGO,Logo - Arithmetic Operations,Logo - Arithmetic Operations|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Logo provides the usual arithmetic operations of addition, subtraction, multiplication and division, denoted by the symbols +, -, *, /. Each of these operations produces a result. If you don't do something with the result, such as print it, Logo will show an error.|||With the print command, the result of an arithmetic operation can be used and printed in the command window. Examples given in the following screenshot demonstrate the same.|||Other useful commands are −|||sqrt − It takes one non-negative argument and returns its square root.|||power − It takes two arguments, call them ‘a’ and ‘b’, and generates a to the b power.|||ln − It takes one argument and returns its natural logarithm.|||exp − It takes one argument and computes e to that power, e is the natural number 2.718281828.|||log10 − It takes the logarithm to base 10 of its one argument.|||Following screenshot shows an example of the above commands with their respective output.|||Arithmetic operators have a precedence that determines the order with which they are evaluated.|||Note − print 60 * sqrt 2 and print sqrt 2 * 60 produce different answers. Here the * operator has a precedence over the sqrt operator. Thus, * will be done before sqrt, if there is a choice, as there is in the second case.|||For this reason, the first statement prints the value of 60 times the square root of 2, whereas the second statement prints the square root of 120 as shown in the following screenshot.","sqrt − It takes one non-negative argument and returns its square root.@@@power − It takes two arguments, call them ‘a’ and ‘b’, and generates a to the b power.@@@ln − It takes one argument and returns its natural logarithm.@@@exp − It takes one argument and computes e to that power, e is the natural number 2.718281828.@@@log10 − It takes the logarithm to base 10 of its one argument.",,,
Learn LOGO,Logo - Repetition,Logo - Repetition|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"We often repeat a sequence of commands. Computer programs often perform repetitive tasks. Just about every programming system has a way of carrying out this repetition, or iteration, as computer scientists call it. Let us consider the following example −|||Let us assume we want to draw a square with sides of length 100, we can do this with the following program −|||We note that the two commands – fd 100 and rt 90 are repeated four times. Will it not be simpler to tell the computer that it should just repeat these two commands four times instead of writing them four times in a row? We can do exactly this, using the following command −|||It saves our time of typing-in to make a square. The general form is: repeat number [commands]. We must use the keyword – repeat followed by a number and then a sequence of commands in [square brackets].|||Often, we might have to repeat within repeat. This is called nesting. Let us look at some examples on this.||||||Following is an exercise to check your aptitude on what you have learnt so far in this chapter.",,,,
Learn LOGO,Logo - Randomization,Logo - Randomization|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Sometimes it is fun to have an unpredictable outcome of a computation. Logo provides a random procedure to generate a random number. It has one argument and produces an integer value chosen uniformly at random, which is greater than or equal to 0 and less than the value of its argument. Thus, if you want a random angle between 0 and 359 degrees, you can use the command random 360 to produce it. Bear in mind that Logo will show an error unless you do something with the result, such as printing.|||Let us look at the following example −|||We have issued the command – print random 360 several times in the above command window and if you notice, each time it generates a random output.|||Following are few practice commands with the desired results on the right.||||||",,,,
Learn LOGO,Logo - Procedures,Logo - Procedures|||Useful Video Courses|||Simulation with LOGO!Soft@@@Become A Logo Designer@@@Professional Logo Design@@@Video Editing and Logo Animation in Adobe Premiere pro cc,"Procedures provide a way to encapsulate a collection of commands. Once a procedure has been created, it can be used just the way a built-in command is used. The “meaning” of a procedure is the meaning of its individual commands.|||A procedure without arguments has the word ‘to’ (a reserved word) and the name of the procedure on the first line. (Reserved words in Logo cannot be used as variables and have a well-defined meaning and use.) It has the reserved word ‘end’ on the last line.|||A subprogram is a named sequence of steps for another program to execute. Other names for subprograms are procedures and functions. In Logo, you tell the computer how to do something — for example −|||Once we have described our procedure to Logo, we can enter its name on the command line, just as we would do to any of the built-in things. In this case, we would type ‘square’ on the command line and Logo looks up the commands to make a square.|||Click the button that says Edall (for edit all) to bring up Logo's built-in editor. (If your Logo doesn't have an Edall button, type ‘edall’ on the command line). The following code block has the required structure of the subprogram.|||The procedure or subprogram must start with the word ‘to’, followed by a name we think of. The next step is to key-in all the same steps we would write on the command line. The procedure must end with the word ‘end’. All comment or remark lines should be preceded by semi-colon (;).|||Following is the practical demonstration of the above example −|||Now, from the command line, execute the procedure using its name “square” as shown below −|||Procedures can not only contain built-in commands, but they can also contain other procedures.|||In the following example, a procedure ‘flower’ is calling our predefined procedure ‘square’ from its body.|||Following screenshot shows the output when the procedure “flower” is called −|||We don't want every square to be of the same size — we want variety. In Logo, we create variables, whose values we can change. We will use the same square procedure with a small change in the following example.|||We give Logo a replacement value for ‘:n’ on the command line as shown below.|||Here is the practical demonstration of the above example −|||Now let us discuss how to pass two arguments to a procedure. Following screenshot is a practical demonstration of the same.",,,,
