Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Lua,Lua Tutorial,Lua Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,Lua is an open source language built on top of C programming language. Lua has its value across multiple platforms ranging from large server systems to small mobile applications. This tutorial covers various topics ranging from the basics of Lua to its scope in various applications.|||This tutorial is designed for all those readers who are looking for a starting point to learn Lua. It has topics suitable for both beginners as well as advanced users.|||It is a self-contained tutorial and you should be able to grasp the concepts easily even if you are a total beginner. However it would help if you have a basic understanding of working with a simple text editor and command line.,,,,
Learn Lua,Lua - Overview,Lua - Overview|||Features@@@How Lua is Implemented?@@@Learning Lua@@@Some Uses of Lua@@@Useful Video Courses|||Example Code|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"Lua is an extensible, lightweight programming language written in C. It started as an in-house project in 1993 by Roberto Ierusalimschy, Luiz Henrique de Figueiredo, and Waldemar Celes.|||It was designed from the beginning to be a software that can be integrated with the code written in C and other conventional languages. This integration brings many benefits. It does not try to do what C can already do but aims at offering what C is not good at: a good distance from the hardware, dynamic structures, no redundancies, ease of testing and debugging. For this, Lua has a safe environment, automatic memory management, and good facilities for handling strings and other kinds of data with dynamic size.|||Lua provides a set of unique features that makes it distinct from other languages. These include −|||Lua consists of two parts - the Lua interpreter part and the functioning software system. The functioning software system is an actual computer application that can interpret programs written in the Lua programming language. The Lua interpreter is written in ANSI C, hence it is highly portable and can run on a vast spectrum of devices from high-end network servers to small devices.|||Both Lua's language and its interpreter are mature, small, and fast. It has evolved from other programming languages and top software standards. Being small in size makes it possible for it to run on small devices with low memory.|||The most important point while learning Lua is to focus on the concepts without getting lost in its technical details.|||The purpose of learning a programming language is to become a better programmer; that is, to become more effective in designing and implementing new systems and at maintaining old ones.|||Game Programming|||Scripting in Standalone Applications|||Scripting in Web|||Extensions and add-ons for databases like MySQL Proxy and MySQL WorkBench|||Security systems like Intrusion Detection System.",Extensible@@@Simple@@@Efficient@@@Portable@@@Free and open|||Game Programming@@@Scripting in Standalone Applications@@@Scripting in Web@@@Extensions and add-ons for databases like MySQL Proxy and MySQL WorkBench@@@Security systems like Intrusion Detection System.,,,"print(""Hello World!"")"
Learn Lua,Lua - Environment,Lua - Environment|||Local Environment Setup@@@Text Editor@@@The Lua Interpreter@@@The Lua Compiler@@@Installation on Windows@@@Installation on Linux@@@Installation on Mac OS X@@@Lua IDE@@@Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"If you are still willing to set up your environment for Lua programming language, you need the following softwares available on your computer - (a) Text Editor, (b) The Lua Interpreter, and (c) Lua Compiler.|||You need a text editor to type your program. Examples of a few editors include Windows Notepad, OS Edit command, Brief, Epsilon, EMACS, and vim or vi.|||Name and version of the text editor can vary on different operating systems. For example, Notepad will be used on Windows, and vim or vi can be used on Windows as well as Linux or UNIX.|||The files you create with your editor are called source files and these files contain the program source code. The source files for Lua programs are typically named with the extension "".lua"".|||It is just a small program that enables you to type Lua commands and have them executed immediately. It stops the execution of a Lua file in case it encounters an error unlike a compiler that executes fully.|||When we extend Lua to other languages/applications, we need a Software Development Kit with a compiler that is compatible with the Lua Application Program Interface.|||There is a separate IDE named ""SciTE"" developed for the windows environment, which can be downloaded from https://code.google.com/p/luaforwindows/ download section.|||Run the downloaded executable to install the Lua IDE.|||Since it’s an IDE, you can both create and build the Lua code using the same.|||In case, you are interested in installing Lua in command line mode, you need to install MinGW or Cygwin and then compile and install Lua in windows.|||To download and build Lua, use the following command −|||In order to install on other platforms like aix, ansi, bsd, generic linux, mingw, posix, solaris by replacing Linux in make Linux, test with the corresponding platform name.|||We have a helloWorld.lua, in Lua as follows −|||Now, we can build and run a Lua file say helloWorld.lua, by switching to the folder containing the file using cd, and then using the following command −|||We can see the following output.|||To build/test Lua in the Mac OS X, use the following command −|||In certain cases, you may not have installed the Xcode and command line tools. In such cases, you won’t be able to use the make command. Install Xcode from mac app store. Then go to Preferences of Xcode, and then switch to Downloads and install the component named ""Command Line Tools"". Once the process is completed, make command will be available to you.|||It is not mandatory for you to execute the ""make macosx test"" statement. Even without executing this command, you can still use Lua in Mac OS X.|||We have a helloWorld.lua, in Lua, as follows −|||Now, we can build and run a Lua file say helloWorld.lua by switching to the folder containing the file using cd and then using the following command −|||We can see the following output −|||As mentioned earlier, for Windows SciTE, Lua IDE is the default IDE provided by the Lua creator team. The alternate IDE available is from ZeroBrane Studio, which is available across multiple platforms like Windows, Mac and Linux.|||There are also plugins for eclipse that enable the Lua development. Using IDE makes it easier for development with features like code completion and is highly recommended. The IDE also provides interactive mode programming similar to the command line version of Lua.",,,,"print(""Hello World!"")|||print(""Hello World!"")"
Learn Lua,Lua - Basic Syntax,Lua - Basic Syntax|||First Lua Program@@@Tokens in Lua@@@Comments@@@Identifiers@@@Keywords@@@Whitespace in Lua@@@Useful Video Courses|||Interactive Mode Programming@@@Default Mode Programming|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"Let us start creating our first Lua program!|||Lua provides a mode called interactive mode. In this mode, you can type in instructions one after the other and get instant results. This can be invoked in the shell by using the lua -i or just the lua command. Once you type in this, press Enter and the interactive mode will be started as shown below.|||You can print something using the following statement −|||Once you press enter, you will get the following output −|||Invoking the interpreter with a Lua file name parameter begins execution of the file and continues until the script is finished. When the script is finished, the interpreter is no longer active.|||Let us write a simple Lua program. All Lua files will have extension .lua. So put the following source code in a test.lua file.|||Assuming, lua environment is setup correctly, let’s run the program using the following code −|||We will get the following output −|||Let's try another way to execute a Lua program. Below is the modified test.lua file −|||Here, we have assumed that you have Lua interpreter available in your /usr/local/bin directory. The first line is ignored by the interpreter, if it starts with # sign. Now, try to run this program as follows −|||We will get the following output.|||Let us now see the basic structure of Lua program, so that it will be easy for you to understand the basic building blocks of the Lua programming language.|||A Lua program consists of various tokens and a token is either a keyword, an identifier, a constant, a string literal, or a symbol. For example, the following Lua statement consists of three tokens −|||The individual tokens are −|||Comments are like helping text in your Lua program and they are ignored by the interpreter. They start with --[[ and terminates with the characters --]] as shown below −|||A Lua identifier is a name used to identify a variable, function, or any other user-defined item. An identifier starts with a letter ‘A to Z’ or ‘a to z’ or an underscore ‘_’ followed by zero or more letters, underscores, and digits (0 to 9).|||Lua does not allow punctuation characters such as @, $, and % within identifiers. Lua is a case sensitive programming language. Thus Manpower and manpower are two different identifiers in Lua. Here are some examples of the acceptable identifiers −|||The following list shows few of the reserved words in Lua. These reserved words may not be used as constants or variables or any other identifier names.|||A line containing only whitespace, possibly with a comment, is known as a blank line, and a Lua interpreter totally ignores it.|||Whitespace is the term used in Lua to describe blanks, tabs, newline characters and comments. Whitespace separates one part of a statement from another and enables the interpreter to identify where one element in a statement, such as int ends, and the next element begins. Therefore, in the following statement −|||There must be at least one whitespace character (usually a space) between local and age for the interpreter to be able to distinguish them. On the other hand, in the following statement −|||No whitespace characters are necessary between fruit and =, or between = and apples, although you are free to include some if you wish for readability purpose.",,,and@@@break@@@do@@@else|||elseif@@@end@@@false@@@for|||function@@@if@@@in@@@local|||nil@@@not@@@or@@@repeat|||return@@@then@@@true@@@until|||while@@@@@@@@@,"print(""test"")|||print(""test"")|||#!/usr/local/bin/luaprint(""test"")"
Learn Lua,Lua - Variables,Lua - Variables|||Variable Definition in Lua@@@Variable Declaration in Lua@@@Lvalues and Rvalues in Lua@@@Useful Video Courses|||Example|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"A variable is nothing but a name given to a storage area that our programs can manipulate. It can hold different types of values including functions and tables.|||The name of a variable can be composed of letters, digits, and the underscore character. It must begin with either a letter or an underscore. Upper and lowercase letters are distinct because Lua is case-sensitive. There are eight basic types of values in Lua −|||In Lua, though we don't have variable data types, we have three types based on the scope of the variable.|||Global variables − All variables are considered global unless explicitly declared as a local.|||Local variables − When the type is specified as local for a variable then its scope is limited with the functions inside their scope.|||Table fields − This is a special type of variable that can hold anything except nil including functions.|||A variable definition means to tell the interpreter where and how much to create the storage for the variable. A variable definition have an optional type and contains a list of one or more variables of that type as follows −|||Here, type is optionally local or type specified making it global, and variable_list may consist of one or more identifier names separated by commas. Some valid declarations are shown here −|||The line local  i, j both declares and defines the variables i and j; which instructs the interpreter to create variables named i, j and limits the scope to be local.|||Variables can be initialized (assigned an initial value) in their declaration. The initializer consists of an equal sign followed by a constant expression as follows −|||Some examples are −|||For definition without an initializer: variables with static storage duration are implicitly initialized with nil.|||As you can see in the above examples, assignments for multiples variables follows a variable_list and value_list format. In the above example local d, f = 5,10 we have d and f in variable_list and 5 and 10 in values list.|||Value assigning in Lua takes place like first variable in the variable_list with first value in the value_list and so on. Hence, the value of d is 5 and the value of f is 10.|||Try the following example, where variables have been declared at the top, but they have been defined and initialized inside the main function −|||When the above code is built and executed, it produces the following result −|||There are two kinds of expressions in Lua −|||lvalue − Expressions that refer to a memory location is called ""lvalue"" expression. An lvalue may appear as either the left-hand or right-hand side of an assignment.|||rvalue − The term rvalue refers to a data value that is stored at some address in memory. An rvalue is an expression that cannot have a value assigned to it, which means an rvalue may appear on the right-hand side, but not on the left-hand side of an assignment.|||Variables are lvalues and so may appear on the left-hand side of an assignment. Numeric literals are rvalues and so may not be assigned and cannot appear on the left-hand side. Following is a valid statement −|||But following is not a valid statement and would generate a build-time error −|||In Lua programming language, apart from the above types of assignment, it is possible to have multiple lvalues and rvalues in the same single statement. It is shown below.|||In the above statement, 20 is assigned to g and 30 is assigned to l.","Global variables − All variables are considered global unless explicitly declared as a local.@@@Local variables − When the type is specified as local for a variable then its scope is limited with the functions inside their scope.@@@Table fields − This is a special type of variable that can hold anything except nil including functions.|||lvalue − Expressions that refer to a memory location is called ""lvalue"" expression. An lvalue may appear as either the left-hand or right-hand side of an assignment.@@@rvalue − The term rvalue refers to a data value that is stored at some address in memory. An rvalue is an expression that cannot have a value assigned to it, which means an rvalue may appear on the right-hand side, but not on the left-hand side of an assignment.",,,"-- Variable definition:local a, b-- Initializationa = 10b = 30print(""value of a:"", a)print(""value of b:"", b)-- Swapping of variablesb, a = a, bprint(""value of a:"", a)print(""value of b:"", b)f = 70.0/3.0print(""value of f"", f)"
Learn Lua,Lua - Data Types,Lua - Data Types|||Type Function@@@Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"Lua is a dynamically typed language, so the variables don't have types, only the values have types. Values can be stored in variables, passed as parameters and returned as results.|||In Lua, though we don't have variable data types, but we have types for the values. The list of data types for values are given below.|||nil|||Used to differentiate the value from having some data or no(nil) data.|||boolean|||Includes true and false as values. Generally used for condition checking.|||number|||Represents real(double precision floating point) numbers.|||string|||Represents array of characters.|||function|||Represents a method that is written in C or Lua.|||userdata|||Represents arbitrary C data.|||thread|||Represents independent threads of execution and it is used to implement coroutines.|||table|||Represent ordinary arrays, symbol tables, sets, records, graphs, trees, etc., and implements associative arrays. It can hold any value (except nil).|||In Lua, there is a function called ‘type’ that enables us to know the type of the variable. Some examples are given in the following code.|||When you build and execute the above program, it produces the following result on Linux −|||By default, all the variables will point to nil until they are assigned a value or initialized. In Lua, zero and empty strings are considered to be true in case of condition checks. Hence, you have to be careful when using Boolean operations. We will know more using these types in the next chapters.",,,"Sr.No@@@Value Type & Description|||1@@@nil
Used to differentiate the value from having some data or no(nil) data.|||2@@@boolean
Includes true and false as values. Generally used for condition checking.|||3@@@number
Represents real(double precision floating point) numbers.|||4@@@string
Represents array of characters.|||5@@@function
Represents a method that is written in C or Lua.|||6@@@userdata
Represents arbitrary C data.|||7@@@thread
Represents independent threads of execution and it is used to implement coroutines.|||8@@@table
Represent ordinary arrays, symbol tables, sets, records, graphs, trees, etc., and implements associative arrays. It can hold any value (except nil).","print(type(""What is my type""))   --> stringt = 10print(type(5.8*t))               --> numberprint(type(true))                --> booleanprint(type(print))               --> functionprint(type(nil))                 --> nilprint(type(type(ABC)))           --> string"
Learn Lua,Lua - Operators,Lua - Operators|||Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Misc Operators@@@Operators Precedence in Lua@@@Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"An operator is a symbol that tells the interpreter to perform specific mathematical or logical manipulations. Lua language is rich in built-in operators and provides the following type of operators −|||This tutorial will explain the arithmetic, relational, logical, and other miscellaneous operators one by one.|||Following table shows all the arithmetic operators supported by Lua language. Assume variable A holds 10 and variable B holds 20 then −|||Show Examples|||Following table shows all the relational operators supported by Lua language. Assume variable A holds 10 and variable B holds 20 then −|||Show Examples|||Following table shows all the logical operators supported by Lua language. Assume variable A holds true and variable B holds false then −|||Show Examples|||Miscellaneous operators supported by Lua Language include concatenation and length.|||Show Examples|||Operator precedence determines the grouping of terms in an expression. This affects how an expression is evaluated. Certain operators have higher precedence than others; for example, the multiplication operator has higher precedence than the addition operator −|||For example, x = 7 + 3 * 2;  Here  x is assigned 13, not 20 because operator * has higher precedence than + so it first get multiplied with 3*2 and then adds into 7.|||Here, operators with the highest precedence appear at the top of the table, those with the lowest appear at the bottom. Within an expression, higher precedence operators will be evaluated first.|||Show Examples",Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Misc Operators,,"Operator@@@Description@@@Example|||+@@@Adds two operands@@@A + B will give 30|||-@@@Subtracts second operand from the first@@@A - B will give -10|||*@@@Multiply both operands@@@A * B will give 200|||/@@@Divide numerator by de-numerator@@@B / A will give 2|||%@@@Modulus Operator and remainder of after an integer division@@@B % A will give 0|||^@@@Exponent Operator takes the exponents@@@A^2 will give 100|||-@@@Unary - operator acts as negation@@@-A will give -10&&&Operator@@@Description@@@Example|||==@@@Checks if the value of two operands are equal or not, if yes then condition becomes true.@@@(A == B) is not true.|||~=@@@Checks if the value of two operands are equal or not, if values are not equal then condition becomes true.@@@(A ~= B) is true.|||>@@@Checks if the value of left operand is greater than the value of right operand, if yes then condition becomes true.@@@(A > B) is not true.|||<@@@Checks if the value of left operand is less than the value of right operand, if yes then condition becomes true.@@@(A < B) is true.|||>=@@@Checks if the value of left operand is greater than or equal to the value of right operand, if yes then condition becomes true.@@@(A >= B) is not true.|||<=@@@Checks if the value of left operand is less than or equal to the value of right operand, if yes then condition becomes true.@@@(A <= B) is true.&&&Operator@@@Description@@@Example|||and@@@Called Logical AND  operator. If both the operands are non zero then condition becomes true.@@@(A and B) is false.|||or@@@Called Logical OR Operator. If any of the two operands is non zero then condition becomes true.@@@(A or B) is true.|||not@@@Called Logical NOT Operator. Use to reverses the logical state of its operand. If a condition is true then Logical NOT operator will make false.@@@!(A and B) is true.&&&Operator@@@Description@@@Example|||..@@@Concatenates two strings.@@@a..b where a is ""Hello "" and b is ""World"", will return ""Hello World"".|||#@@@An unary operator that return the length of the a string or a table.@@@#""Hello"" will return 5&&&Category@@@Operator@@@Associativity|||Unary@@@not # -@@@Right to left|||Concatenation@@@..@@@Right to left|||Multiplicative@@@* / %@@@Left to right|||Additive@@@+ -@@@Left to right|||Relational@@@< > <=  >= ==  ~= @@@Left to right|||Equality@@@== ~=@@@Left to right|||Logical AND@@@and@@@Left to right|||Logical OR@@@or@@@Left to right",
Learn Lua,Lua - Loops,Lua - Loops|||Loop Control Statement@@@The Infinite Loop@@@Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"There may be a situation when you need to execute a block of code several number of times. In general, statements are executed sequentially: the first statement in a function is executed first, followed by the second, and so on.|||Programming languages provide various control structures that allow for more complicated execution paths.|||A loop statement allows us to execute a statement or group of statements multiple times. Following is the general form of a loop statement in most of the programming languages −|||Lua provides the following types of loops to handle looping requirements.|||Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.|||Executes a sequence of statements multiple times and abbreviates the code that manages the loop variable.|||Repeats the operation of group of statements till the until condition is met.|||You can use one or more loop inside any another while, for or do..while loop.|||Loop control statement changes execution from its normal sequence. When execution leaves a scope, all automatic objects that were created in that scope are destroyed.|||Lua supports the following control statements.|||Terminates the loop and transfers execution to the statement immediately following the loop or switch.|||A loop becomes infinite loop if a condition never becomes false. The while loop is often used for this purpose. Since we directly give true for the condition, it keeps executing forever. We can use the break statement to break this loop.",,,"Sr.No.@@@Loop Type & Description|||1@@@while loop
Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.|||2@@@for loop
Executes a sequence of statements multiple times and abbreviates the code that manages the loop variable.|||3@@@repeat...until loop
Repeats the operation of group of statements till the until condition is met.|||4@@@nested loops
You can use one or more loop inside any another while, for or do..while loop.&&&Sr.No.@@@Control Statement & Description|||1@@@break statement
Terminates the loop and transfers execution to the statement immediately following the loop or switch.","while( true )do   print(""This loop will run forever."")end"
Learn Lua,Lua - Decision Making,Lua - Decision Making|||Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"Decision making structures require that the programmer specifies one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed, if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Following is the general form of a typical decision making structure found in most of the programming languages −|||Lua programming language assumes any combination of Boolean true and non-nil values as true, and if it is either boolean false or nil, then it is assumed as false value. It is to be noted that in Lua, zero will be considered as true.|||Lua programming language provides the following types of decision making statements.|||An if statement consists of a boolean expression followed by one or more statements.|||An if statement can be followed by an optional else statement, which executes when the boolean expression is false.|||You can use one if or else if statement inside another if or else if statement(s).",,,"Sr.No.@@@Statement & Description|||1@@@if statement
An if statement consists of a boolean expression followed by one or more statements.|||2@@@if...else statement
An if statement can be followed by an optional else statement, which executes when the boolean expression is false.|||3@@@nested if statements
You can use one if or else if statement inside another if or else if statement(s).",
Learn Lua,Lua - Functions,Lua - Functions|||Defining a Function@@@Example@@@Function Arguments@@@Calling a Function@@@Assigning and Passing Functions@@@Function with Variable Argument@@@Useful Video Courses|||Basics of Raising Finance for startup & Business Valuation@@@Practical Real Company's Financial Modeling + Valuation 2021@@@SAP ABAP Full Training / Time is Valuable,"A function is a group of statements that together perform a task. You can divide up your code into separate functions. How you divide up your code among different functions is up to you, but logically the division usually unique, is so each function performs a specific task.|||The Lua language provides numerous built-in methods that your program can call. For example, method print() to print the argument passed as input in console.|||A function is known with various names like a method or a sub-routine or a procedure etc.|||The general form of a method definition in Lua programming language is as follows −|||A method definition in Lua programming language consists of a method header and a method body. Here are all the parts of a method −|||Optional Function Scope − You can use keyword local to limit the scope of the function or ignore the scope section, which will make it a global function.|||Function Name − This is the actual name of the function. The function name and the parameter list together constitute the function signature.|||Arguments − An argument is like a placeholder. When a function is invoked, you pass a value to the argument. This value is referred to as the actual parameter or argument. The parameter list refers to the type, order, and number of the arguments of a method. Arguments are optional; that is, a method may contain no argument.|||Function Body − The method body contains a collection of statements that define what the method does.|||Return − In Lua, it is possible to return multiple values by following the return keyword with the comma separated return values.|||Following is the source code for a function called max(). This function takes two parameters num1 and num2 and returns the maximum between the two −|||If a function is to use arguments, it must declare the variables that accept the values of the arguments. These variables are called the formal parameters of the function.|||The formal parameters behave like other local variables inside the function and are created upon entry into the function and destroyed upon exit.|||While creating a Lua function, you give a definition of what the function has to do. To use a method, you will have to call that function to perform the defined task.|||When a program calls a function, program control is transferred to the called function. A called function performs the defined task and when its return statement is executed or when its function's end is reached, it returns program control back to the main program.|||To call a method, you simply need to pass the required parameters along with the method name and if the method returns a value, then you can store the returned value. For example −|||When we run the above code, we will get the following output.|||In Lua, we can assign the function to variables and also can pass them as parameters of another function. Here is a simple example for assigning and passing a function as parameter in Lua.|||When we run the above code, we will get the following output.|||It is possible to create functions with variable arguments in Lua using '...' as its parameter. We can get a grasp of this by seeing an example in which the function will return the average and it can take variable arguments.|||When we run the above code, we will get the following output.","Optional Function Scope − You can use keyword local to limit the scope of the function or ignore the scope section, which will make it a global function.@@@Function Name − This is the actual name of the function. The function name and the parameter list together constitute the function signature.@@@Arguments − An argument is like a placeholder. When a function is invoked, you pass a value to the argument. This value is referred to as the actual parameter or argument. The parameter list refers to the type, order, and number of the arguments of a method. Arguments are optional; that is, a method may contain no argument.@@@Function Body − The method body contains a collection of statements that define what the method does.@@@Return − In Lua, it is possible to return multiple values by following the return keyword with the comma separated return values.",,,"--[[ function returning the max between two numbers --]]function max(num1, num2)   if (num1 > num2) then      result = num1;   else      result = num2;   end   return result; end|||function max(num1, num2)   if (num1 > num2) then      result = num1;   else      result = num2;   end   return result; end-- calling a functionprint(""The maximum of the two numbers is "",max(10,4))print(""The maximum of the two numbers is "",max(5,6))|||myprint = function(param)   print(""This is my print function -   ##"",param,""##"")endfunction add(num1,num2,functionPrint)   result = num1 + num2   functionPrint(result)endmyprint(10)add(2,5,myprint)|||function average(...)   result = 0   local arg = {...}   for i,v in ipairs(arg) do      result = result + v   end   return result/#argendprint(""The average is"",average(10,5,3,4,5,6))"
