Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn MATLAB Simulink,MATLAB Simulink Tutorial,MATLAB Simulink Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"MATLAB (Matrix Laboratory) is a programming language developed by a computer software company MathWorks. Simulink is a simulation and model-based design environment for dynamic and embedded systems, which are integrated with MATLAB. Simulink is also developed by MathWorks. This tutorial is designed to give students fluency in MATLAB Simulink. Problem-based examples have also been given in simple and easy way to make your learning fast and effective.|||This tutorial has been prepared for the beginners to help them understand basic to advanced functionality of MATLAB Simulink. After completing this tutorial you will find yourself at a moderate level of expertise in using Simulink from where you can take yourself to next levels.|||We assume you have a little knowledge of any computer programming and understand concepts like variables, constants, expression, statements, etc. If you have done programming in any other high-level programming language like C, C++ or Java, then it will be very much beneficial and learning MATLAB Simulink will be like a fun for you.",,,,
Learn MATLAB Simulink,MATLAB Simulink - Introduction,MATLAB Simulink - Introduction|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"Simulink is a simulation and model-based design environment for dynamic and embedded systems, which are integrated with MATLAB. Simulink was developed by a computer software company MathWorks.|||It is a data flow graphical programming language tool for modelling, simulating and analysing multi-domain dynamic systems. It is basically a graphical block diagramming tool with a customisable set of block libraries.|||Furthermore, it allows you to incorporate MATLAB algorithms into models as well as export the simulation results into MATLAB for further analysis.|||System-level design.|||Simulation.|||Automatic code generation.|||Testing and verification of embedded systems.|||To get started with Simulink, type simulink in the command window as shown below −|||It will open the Simulink page as shown below −|||You can also make use of Simulink icon present in MATLAB to get started with Simulink −|||When you start Simulink, you are navigated to the start page as shown below|||Here you can create your own model, and also make use of the existing templates.|||Click on the Blank Model and you will get a Simulink library browser that can be used to create your own model.|||The screen for Blank model is as follows −|||Click on Library and it will display you the Simulink library as shown below −|||The Simulink library browsers is a collection of many libraries. It offers Commonly Used Blocks, Continuous, Dashboard, Logic and Bit Operation, Math Operations etc.|||Besides that, you will get other library list like Control system toolbox, DSP system toolbox etc.|||Here is an example of Math operations library list −|||It has Abs, Add, Algebraic Constraint, Assignment etc. that you can make use in your model.|||Given below is an example of Logic and Bit Operations −",System-level design.@@@Simulation.@@@Automatic code generation.@@@Testing and verification of embedded systems.,,,
Learn MATLAB Simulink,MATLAB Simulink - Environment Setup,MATLAB Simulink - Environment Setup|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"MATLAB simulink is a MATLAB product and to work with it, we need to download MATLAB.|||The official website of matlab is https://www.mathworks.com/|||The following page will appear on your screen −|||To download MATLAB go to https://in.mathworks.com/downloads/ as shown below.|||MATLAB is not free to download and you need to pay for the licensed copy. Later on you can download it.|||A free trial version is available for which you have to create a login for your respective account. Once an account is created, they allow you to download MATLAB and also an online version for a trial of 30 days’ license.|||Once you are done with the creating a login from their website, download MATLAB and install on your system. Then, start MATLAB or you can also make use of their online version.|||Simulink comes in-built with MATLAB. Once you install MATLAB, you will get Simulink as shown below −",,,,
Learn MATLAB Simulink,MATLAB Simulink - Starting Simulink,MATLAB Simulink - Starting Simulink|||Libraries in Simulink@@@Useful Video Courses|||Continuous@@@Dashboard@@@Discontinuities@@@Discrete@@@Logic and Bit Operations@@@Lookup Tables@@@Math Operations@@@Messages and Events@@@Model Verification@@@Model-Wide Utilities@@@Ports and Subsystems@@@Signal Attributes@@@Signal Routing@@@Sinks@@@Sources@@@String@@@User Defined functions|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"In this chapter, we will understand about using Simulink to build models.|||Here is a MATLAB display −|||You can start Simulink by using simulink command in the MATLAB command window as shown below −|||Click on enter to open the Simulink startup page as shown below −|||You can also open Simulink from MATLAB interface directly by clicking on Simulink icon as shown below −|||When you click on the Simulink icon, it will take you to a Simulink startup page, as shown below −|||The startup page has a blank model, subsystem, library to start the model from scratch.|||There are also some built-in templates that can help the users to start with.|||To create a model, the user can click on blank model and it will display a page as shown below −|||Click on Save to save your model. The blocks to build your model are available inside the Simulink library browser.|||Click on library browser as shown below −|||The library browser has a list of all types of libraries with different blocks as shown below −|||Let us understand some of the commonly used libraries in Simulink.|||A continuous blocks library gives you blocks related to derivatives and integrations. The list of blocks are as follows −|||With Dashboard, you will get controls and indicator blocks that help to interact with simulations. The following screen will appear on your computer −|||Here, you will get a list of discontinuous functions blocks as displayed below −|||Here, you will get time relation function blocks as shown below −|||In this category, you will get all logical and relational type blocks as displayed below −|||You will all the sine, cosine function blocks as shown below −|||All mathematical operations like Add, Absolute, divide, subtract are available. The list is as follows −|||This block has all the message/communication related functions as shown below −|||The blocks present here helps to self-verify models, such as Check Input Resolution. The following screen will appear on your computer −|||This gives you blocks like Model info, Block Support Table etc. The following screen will appear on your computer −|||You will get blocks like a subsystem, switch case, enable etc. The list is displayed below −|||Modify the signal attribute blocks such as Data Type Conversion. The following screen will appear on your computer −|||The blocks in this category is used to route signal blocks such as bus creator, switch etc.The following screen will appear on your computer −|||The blocks in this category help to display or export signal data blocks such as Scope andTo Workspace. The following screen will appear on your computer −|||It helps to generate or import data blocks. For example, sine wave. The following screen will appear on your computer −|||This category has string related blocks as shown below −|||Custom function blocks such as MATLAB Function, MATLAB System, Simulink Function, and Initialize Function. The following screen will appear on your computer −",,,,
Learn MATLAB Simulink,MATLAB Simulink - Blocks,MATLAB Simulink - Blocks|||Simulink browser library@@@Searching for block inside model canvas@@@Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"In this chapter, we will learn about one of the basic elements in Simulink. These are termed as blocks.|||Blocks in Simulink helps to create models. You can make use of a Simulink library browser that has different types of blocks for creating a model.|||First, open a blank model. The display will be as shown below −|||You can save your model by clicking on the Save button. Hence, your changes will be saved successfully. Now, open the library browser to get the blocks into your model canvas.|||The two ways to select the blocks are as follows −|||Using Simulink browser library.|||Searching for block inside model canvas.|||Open the Simulink library browser as shown below −|||If you looking for a specific block and don’t know which library, you can search for it inside the search block which is available as shown below −|||Here, we got all the blocks related to Sine. You can also go inside the library and pick your block.|||Add block, Product block etc. The display will be as shown below −|||To bring the block inside your model, you can select the block and drag it inside your model, as shown below −|||Another way is to right click the block and add to your current model.|||An example for the same is given below −|||We have not saved our model. Hence, it comes as untitled. Now, you can add to the model untitled. The block will be seen inside your mode.|||Another way to add blocks to your model is to click inside the model and type the name of the block. It will search in the library browser and list all the model as per what you have typed.|||An example for the same is given below −|||We have typed Sine and it displays all the blocks related to sine.",Using Simulink browser library.@@@Searching for block inside model canvas.,,,
Learn MATLAB Simulink,MATLAB Simulink - Lines,MATLAB Simulink - Lines|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"In the previous chapter, we learnt about the different types of blocks which are available with Simulink library. In this chapter, we are going to understand about lines.|||Lines are used to connect the blocks with an arrow. Each block will have its own input and output connector. The communication between the blocks will take place with the help of lines.|||Let us understand the same with an example. Select a blank model from Simulink page as shown below −|||It will open a blank model workspace as shown below −|||Click on Simulink Library browser to drag some blocks in the model workspace.|||Consider that in the model, we want to add two given numbers. So let us pick the Add block, the display block and the constant block.|||The constant block has one output connector, the Add block has two input connectors and the display block has one input connector respectively. You can drag the link from one output to another input as shown below.|||Here, we have two constants with values 10 and 20. They are connected to the add block with lines. The add block is connected to display with a line.|||When the lines are connected, the display is as follows −|||Now click on Run to see the result in the display block. It will add 10 + 20 to give the result as 30 in the display block.",,,,
Learn MATLAB Simulink,MATLAB Simulink - Build & Simulate Model,MATLAB Simulink - Build & Simulate Model|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"We have seen the Simulink library browser and the blocks available in the library list. In this chapter, we are going to use the blocks to build a simple sine wave model.|||Open Simulink and click on blank model as shown below −|||The blank model will open a blank popup window as shown below −|||Now, open the Simulink Library browser so that we can select the blocks.|||The following screen will appear on your computer|||To move the sine wave to your model, select the block and drag it inside your model workspace. We want to display the sine wave and here, we have taken four sign wave in our model workspace as shown below −|||Now we want to display the output of the signal, so let us use a Scope block from sinks library as shown below −|||Now select and drag the Scope block inside your model workspace.|||The sine wave has one output and the scope block has one input. We have four sine waves displayed. We have to change the parameters of scope block to take four inputs.|||Right click on scope block and click on Block Parameters and it will display the screen as shown below −|||Go to settings icon and change the input parameter from 1 to 4 as shown below −|||Click on Apply to save the changes.|||Let us now connect the sine wave to the scope block with arrows as shown below −|||We would like to change the frequency of each sine wave to a different one, so that we get a signal graph of different frequencies.|||So right click on sine wave and open the Sine wave block parameters as shown below −|||We are going to keep the amplitude as 1 for all sine waves and the frequency of the first sine wave is 1, second one is 3, third one is 6 and the last one is 10.|||Click on the Run button as shown below to see the sine wave.|||Open the scope block parameters to see the sine wave as shown below.",,,,
Learn MATLAB Simulink,MATLAB Simulink - Signals Processing,MATLAB Simulink - Signals Processing|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"In this chapter, we will understand the signals generation in Simulink. To start with, select a blank model from Simulink page and open Simulink browser library as shown below −|||In sources library, you will get a signal generator symbol. It will help us to create different types of signals.|||Select the Signal Generator and drag it to get inside the blank model as shown below −|||To see the output of the signal generator, we need one more block called scope from sinks library as shown below −|||Select the block and drag it to get inside the model.|||Double click on signal generator or right click and select block parameters and it will display a screen as shown below −|||The signal generator can show waveforms like sine, square, sawtooth, random. We will select the square waveform. Let the amplitude and frequency be as 1. Click on OK to update the changes made.|||Now, connect the lines between signal generator and scope block as shown below −|||Now click on Run button to see the square waveform as shown below −|||Let us now try the sawtooth wave form. Right click signal generator or double click and change the waveform to sawtooth.|||Let us change the frequency to 2. Click on OK to update the changes. Now run the model to see the changes as shown below −|||Let us now add some more signals to the above model. We will take the step signal from the sources library as shown below −|||We just have one input for the scope block. Let us increase it to 2 inputs. Right click and open the block parameters.|||Click on OK button to update the changes. Now, the scope block has 2 inputs as shown below −|||Connect the step input arrow with the scope arrow.|||Now click on Run button to run the model.|||You can add some more signals and test the same.",,,,
Learn MATLAB Simulink,MATLAB Simulink - Adding Delay To Signals,MATLAB Simulink - Adding Delay To Signals|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"We have learnt in the previous chapter about the different signal simulations. In this chapter, we will learn how to add delay to the signals.|||Let us take a blank model and add sine wave and scope block to it as shown below −|||Let us now run the model to see the simulation in scope block. The sine wave is as shown below −|||Let us now add delay for the sine wave. We will make use of transport delay block from continuous library as shown below −|||Select the block and drag it in your model canvas. Now that we have the Transport delay in our model, right click on it and open block parameters as shown below −|||Let us change the time delay from 1 to 3. Make the changes and click on OK button. |||Now add one more input port to scope block. Right click on scope block and select the signals and ports. Select 2 for number of input ports as shown below −|||Now connect the transport delay to sine wave and to scope as shown below|||Now run the simulation to see a delay of 3 seconds to the sign wave. Right click scope block and select block parameters to see the display.",,,,
Learn MATLAB Simulink,MATLAB Simulink - Mathematical Library,MATLAB Simulink - Mathematical Library|||Useful Video Courses|||Data Preprocessing for Machine Learning using MATLAB@@@Complete MATLAB Tutorial: Go from Beginner to Expert@@@Image Processing Toolbox in MATLAB@@@Matlab - The Complete Course@@@Digital Image Processing using MATLAB@@@Backpropagation Learning Method in Matlab,"In this chapter, we will learn how to sum the two given signals and get the output.|||Select the blank model and open Simulink library browser as shown below −|||We are going to combine chirp signal and sine wave blocks by using add block from Mathoperation and see the final display.|||Let us pick the block we want. Select chirp signal and sine wave from sources library, add block from math operations, scope block from sinks library.|||Join the lines to each block.|||Double click chirp signal and change the initial frequency from 0.1 to 0.05 and click on Ok button.|||The other blocks are kept as the default values. Now, click on run to see the output in scope as shown below.",,,,
