Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn PHP-7,PHP 7 Tutorial,PHP 7 Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"PHP 7 is the most awaited and is a major feature release of PHP programming language. PHP 7 was released on 3rd Dec 2015. This tutorial will teach you the new features of PHP 7 and their usage in a simple and intuitive way.|||This tutorial has been prepared for PHP developers from a beginner’s point of view. After completing this tutorial, you will find yourself at a moderate level of expertise in the knowledge of PHP from where you can take yourself to next levels.|||We assume that you already know about the older versions of PHP and now you can start learning the new features of PHP 7.",,,,
Learn PHP-7,PHP 7 - Introduction,PHP 7 - Introduction|||What is PHP 7?@@@New Features@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"PHP 7 is a major release of PHP programming language and is touted to be a revolution in the way web applications can be developed and delivered for mobile to enterprises and the cloud. This release is considered to be the most important change for PHP after the release of PHP 5 in 2004.|||There are dozens of features added to PHP 7, the most significant ones are mentioned below −|||Improved performance − Having PHPNG code merged in PHP7, it is twice as fast as PHP 5.|||Lower Memory Consumption − Optimized PHP 7 utilizes lesser resource.|||Scalar type declarations − Now parameter and return types can be enforced.|||Consistent 64-bit support − Consistent support for 64-bit architecture machines.|||Improved Exception hierarchy − Exception hierarchy is improved.|||Many fatal errors converted to Exceptions − Range of exceptions is increased covering many fatal error converted as exceptions.|||Secure random number generator − Addition of new secure random number generator API.|||Deprecated SAPIs and extensions removed − Various old and unsupported SAPIs and extensions are removed from the latest version.|||The null coalescing operator (??) − New null coalescing operator added.|||Return and Scalar Type Declarations − Support for return type and parameter type added.|||Anonymous Classes − Support for anonymous added.|||Zero cost asserts − Support for zero cost assert added.|||PHP 7 uses new Zend Engine 3.0 to improve application performance almost twice and 50% better memory consumption than PHP 5.6. It allows to serve more concurrent users without requiring any additional hardware. PHP 7 is designed and refactored considering today's workloads.","Improved performance − Having PHPNG code merged in PHP7, it is twice as fast as PHP 5.@@@Lower Memory Consumption − Optimized PHP 7 utilizes lesser resource.@@@Scalar type declarations − Now parameter and return types can be enforced.@@@Consistent 64-bit support − Consistent support for 64-bit architecture machines.@@@Improved Exception hierarchy − Exception hierarchy is improved.@@@Many fatal errors converted to Exceptions − Range of exceptions is increased covering many fatal error converted as exceptions.@@@Secure random number generator − Addition of new secure random number generator API.@@@Deprecated SAPIs and extensions removed − Various old and unsupported SAPIs and extensions are removed from the latest version.@@@The null coalescing operator (??) − New null coalescing operator added.@@@Return and Scalar Type Declarations − Support for return type and parameter type added.@@@Anonymous Classes − Support for anonymous added.@@@Zero cost asserts − Support for zero cost assert added.",,,
Learn PHP-7,PHP 7 - Performance,PHP 7 - Performance|||Magento 1.9@@@Drupal 7@@@Wordpress 3.6@@@Comparison of Dynamic Languages@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"As per the Zend team, following illustrations show the performance comparison of PHP 7 vs PHP 5.6 and HHVM 3.7 on popular PHP based applications.|||PHP 7 proves itself more than twice as faster, as compared to PHP 5.6 while executing Magento transactions.|||PHP 7 proves itself more than twice as faster, as compared to PHP 5.6 while executing Drupal transactions.|||PHP 7 proves itself more than twice as faster as compared to PHP 5.6 while executing Wordpress transactions.",,,,
Learn PHP-7,PHP 7 - Environment Setup,PHP 7 - Environment Setup|||PHP Parser Installation@@@Apache Configuration@@@PHP.INI File Configuration@@@Windows IIS Configuration@@@Useful Video Courses|||phpinfo.php|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"In order to develop and run PHP Web pages, three vital components need to be installed on your computer system.|||Web Server − PHP works with virtually all Web Server software, including Microsoft's Internet Information Server (IIS) but most often used is Apache Server. Download Apache for free here − http://httpd.apache.org/download.cgi|||Database − PHP PHP works with virtually all database software, including Oracle and Sybase but most commonly used is MySQL database. Download MySQL for free here − http://www.mysql.com/downloads/|||PHP Parser − In order to process PHP script instructions, a parser must be installed to generate HTML output that can be sent to the Web Browser. This tutorial will guide you how to install PHP parser on your computer.|||Before you proceed, it is important to make sure that you have proper environment setup on your machine to develop your web programs using PHP. Store the following php file in Apache's htdocs folder.|||Type the following address into your browser's address box.|||If this displays a page showing your PHP installation related information, then it means you have PHP and Webserver installed properly. Otherwise, you have to follow the given procedure to install PHP on your computer.|||This section will guide you to install and configure PHP over the following four platforms −|||PHP Installation on Linux or Unix with Apache|||PHP Installation on Mac OS X with Apache|||PHP Installation on Windows NT/2000/XP with  IIS|||PHP Installation on Windows NT/2000/XP with  Apache|||If you are using Apache as a Web Server, then this section will guide you to edit Apache Configuration Files.|||Check here − PHP  Configuration in Apache Server|||The PHP configuration file, php.ini, is the final and immediate way to affect PHP's functionality.|||Check here − PHP.INI File Configuration|||To configure IIS on your Windows machine, you can refer your IIS Reference Manual shipped along with IIS.","Web Server − PHP works with virtually all Web Server software, including Microsoft's Internet Information Server (IIS) but most often used is Apache Server. Download Apache for free here − http://httpd.apache.org/download.cgi@@@Database − PHP PHP works with virtually all database software, including Oracle and Sybase but most commonly used is MySQL database. Download MySQL for free here − http://www.mysql.com/downloads/@@@PHP Parser − In order to process PHP script instructions, a parser must be installed to generate HTML output that can be sent to the Web Browser. This tutorial will guide you how to install PHP parser on your computer.|||PHP Installation on Linux or Unix with Apache@@@PHP Installation on Mac OS X with Apache@@@PHP Installation on Windows NT/2000/XP with  IIS@@@PHP Installation on Windows NT/2000/XP with  Apache",,,<?php   phpinfo();?>
Learn PHP-7,PHP 7 - Scalar Type Declarations,PHP 7 - Scalar Type Declarations|||Example - Coercive Mode@@@Example - Strict Mode@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"In PHP 7, a new feature, Scalar type declarations, has been introduced. Scalar type declaration has two options −|||coercive − coercive is default mode and need not to be specified.|||strict − strict mode has to explicitly hinted.|||Following types for function parameters can be enforced using the above modes −|||It produces the following browser output −|||It produces the following browser output −",coercive − coercive is default mode and need not to be specified.@@@strict − strict mode has to explicitly hinted.|||int@@@float@@@bool@@@string@@@interfaces@@@array@@@callable,,,"<?php   // Coercive mode   function sum(int ...$ints) {      return array_sum($ints);   }   print(sum(2, '3', 4.1));?>|||<?php   // Strict mode   declare(strict_types = 1);   function sum(int ...$ints) {      return array_sum($ints);   }   print(sum(2, '3', 4.1));?>"
Learn PHP-7,PHP 7 - Return Type Declarations,PHP 7 - Return Type Declarations|||Example - Valid Return Type@@@Example - Invalid Return Type@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"In PHP 7, a new feature, Return type declarations has been introduced. Return type declaration specifies the type of value that a function should return. Following types for return types can be declared.|||It produces the following browser output −|||It produces the following browser output −",int@@@float@@@bool@@@string@@@interfaces@@@array@@@callable,,,<?php   declare(strict_types = 1);   function returnIntValue(int $value): int {      return $value;   }   print(returnIntValue(5));?>|||<?php   declare(strict_types = 1);   function returnIntValue(int $value): int {      return $value + 1.0;   }   print(returnIntValue(5));?>
Learn PHP-7,PHP 7 - Null Coalescing Operator,PHP 7 - Null Coalescing Operator|||Example@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"In PHP 7, a new feature, null coalescing operator (??) has been introduced. It is used to replace the ternary operation in conjunction with isset() function. The Null coalescing operator returns its first operand if it exists and is not NULL; otherwise it returns its second operand.|||It produces the following browser output −",,,,"<?php   // fetch the value of $_GET['user'] and returns 'not passed'   // if username is not passed   $username = $_GET['username'] ?? 'not passed';   print($username);   print(""<br/>"");   // Equivalent code using ternary operator   $username = isset($_GET['username']) ? $_GET['username'] : 'not passed';   print($username);   print(""<br/>"");   // Chaining ?? operation   $username = $_GET['username'] ?? $_POST['username'] ?? 'not passed';   print($username);?>"
Learn PHP-7,PHP 7 - Spaceship Operator,PHP 7 - Spaceship Operator|||Example@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"In PHP 7, a new feature, spaceship operator has been introduced. It is used to compare two expressions. It returns -1, 0 or 1 when first expression is respectively less than, equal to, or greater than second expression.|||It produces the following browser output −",,,,"<?php   //integer comparison   print( 1 <=> 1);print(""<br/>"");   print( 1 <=> 2);print(""<br/>"");   print( 2 <=> 1);print(""<br/>"");   print(""<br/>"");   //float comparison   print( 1.5 <=> 1.5);print(""<br/>"");   print( 1.5 <=> 2.5);print(""<br/>"");   print( 2.5 <=> 1.5);print(""<br/>"");   print(""<br/>"");   //string comparison   print( ""a"" <=> ""a"");print(""<br/>"");   print( ""a"" <=> ""b"");print(""<br/>"");   print( ""b"" <=> ""a"");print(""<br/>"");?>"
Learn PHP-7,PHP 7 - Constant Arrays,PHP 7 - Constant Arrays|||Example@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,"Array constants can now be defined using the define() function. In PHP 5.6, they could only be defined using const keyword.|||It produces the following browser output −",,,,"<?php   //define a array using define function   define('animals', [      'dog',      'cat',      'bird'   ]);   print(animals[1]);?>"
Learn PHP-7,PHP 7 - Anonymous Classes,PHP 7 - Anonymous Classes|||Example@@@Useful Video Courses|||PHP Online Training@@@Become PHP Facebook Developer: Password-Less Authentication@@@Ultimate PHP & MySQL Web Development Course & OOP Coding@@@Learn PHP from Scratch@@@E Commerce Website Development In PHP With PDO@@@PHP  in Telugu,Anonymous classes can now be defined using new class. Anonymous class can be used in place of a full class definition.|||It produces the following browser output −,,,,"<?php   interface Logger {      public function log(string $msg);   }   class Application {      private $logger;      public function getLogger(): Logger {         return $this->logger;      }      public function setLogger(Logger $logger) {         $this->logger = $logger;      }     }   $app = new Application;   $app->setLogger(new class implements Logger {      public function log(string $msg) {         print($msg);      }   });   $app->getLogger()->log(""My first Log Message"");?>"
