Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn R Programming,R Tutorial,R Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"R is a programming language and software environment for statistical analysis, graphics representation and reporting. R was created by Ross Ihaka and Robert Gentleman at the University of Auckland, New Zealand, and is currently developed by the R Development Core Team. R is freely available under the GNU General Public License, and pre-compiled binary versions are provided for various operating systems like Linux, Windows and Mac. This programming language was named R, based on the first letter of first name of the two R authors (Robert Gentleman and Ross Ihaka), and partly a play on the name of the Bell Labs Language S.|||This tutorial is designed for software programmers, statisticians and data miners who are looking forward for developing statistical software using R programming. If you are trying to understand the R programming language as a beginner, this tutorial will give you enough understanding on almost all the concepts of the language from where you can take yourself to higher levels of expertise.|||Before proceeding with this tutorial, you should have a basic understanding of Computer Programming terminologies. A basic understanding of any of the programming languages will help you in understanding the R programming concepts and move fast on the learning track.",,,,
Learn R Programming,R - Overview,R - Overview|||Evolution of R@@@Features of R@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"R is a programming language and software environment for statistical analysis, graphics representation and reporting. R was created by Ross Ihaka and Robert Gentleman at the University of Auckland, New Zealand, and is currently developed by the R Development Core Team.|||The core of R is an interpreted computer language which allows branching and looping as well as modular programming using functions. R allows integration with the procedures written in the C, C++, .Net, Python or FORTRAN languages for efficiency.|||R is freely available under the GNU General Public License, and pre-compiled binary versions are provided for various operating systems like Linux, Windows and Mac.|||R is free software distributed under a GNU-style copy left, and an official part of the GNU project called GNU S.|||R was initially written by Ross Ihaka and Robert Gentleman at the Department of Statistics of the University of Auckland in Auckland, New Zealand. R made its first appearance in 1993.|||A large group of individuals has contributed to R by sending code and bug reports.|||Since mid-1997 there has been a core group (the ""R Core Team"") who can modify the R source code archive.|||As stated earlier, R is a programming language and software environment for statistical analysis, graphics representation and reporting. The following are the important features of R −|||R is a well-developed, simple and effective programming language which includes conditionals, loops, user defined recursive functions and input and output facilities.|||R has an effective data handling and storage facility,|||R provides a suite of operators for calculations on arrays, lists, vectors and matrices.|||R provides a large, coherent and integrated collection of tools for data analysis.|||R provides graphical facilities for data analysis and display either directly at the computer or printing at the papers.|||As a conclusion, R is world’s most widely used statistics programming language. It's the # 1 choice of data scientists and supported by a vibrant and talented community of contributors. R is taught in universities and deployed in mission critical business applications. This tutorial will teach you R programming along with suitable examples in simple and easy steps.","A large group of individuals has contributed to R by sending code and bug reports.@@@Since mid-1997 there has been a core group (the ""R Core Team"") who can modify the R source code archive.|||R is a well-developed, simple and effective programming language which includes conditionals, loops, user defined recursive functions and input and output facilities.@@@R has an effective data handling and storage facility,@@@R provides a suite of operators for calculations on arrays, lists, vectors and matrices.@@@R provides a large, coherent and integrated collection of tools for data analysis.@@@R provides graphical facilities for data analysis and display either directly at the computer or printing at the papers.",,,
Learn R Programming,R - Environment Setup,R - Environment Setup|||Local Environment Setup@@@Useful Video Courses|||Windows Installation@@@Linux Installation|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"If you are still willing to set up your environment for R, you can follow the steps given below.|||You can download the Windows installer version of R from R-3.2.2 for Windows (32/64 bit) and save it in a local directory.|||As it is a Windows installer (.exe) with a name ""R-version-win.exe"". You can just double click and run the installer accepting the default settings. If your Windows is 32-bit version, it installs the 32-bit version. But if your windows is 64-bit, then it installs both the 32-bit and 64-bit versions.|||After installation you can locate the icon to run the Program in a directory structure ""R\R3.2.2\bin\i386\Rgui.exe"" under the Windows Program Files. Clicking this icon brings up the R-GUI which is the R console to do R Programming.|||R is available as a binary for many versions of Linux at the location R Binaries.|||The instruction to install Linux varies from flavor to flavor. These steps are mentioned under each type of Linux version in the mentioned link. However, if you are in a hurry, then you can use yum command to install R as follows −|||Above command will install core functionality of R programming along with standard packages, still you need additional package, then you can launch R prompt as follows −|||Now you can use install command at R prompt to install the required package. For example, the following command will install plotrix package which is required for 3D charts.",,,,"> install.packages(""plotrix"")"
Learn R Programming,R - Basic Syntax,R - Basic Syntax|||R Command Prompt@@@R Script File@@@Comments@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"As a convention, we will start learning R programming by writing a ""Hello, World!"" program. Depending on the needs, you can program either at R command prompt or you can use an R script file to write your program. Let's check both one by one.|||Once you have R environment setup, then it’s easy to start your R command prompt by just typing the following command at your command prompt −|||This will launch R interpreter and you will get a prompt > where you can start typing your program as follows −|||Here first statement defines a string variable myString, where we assign a string ""Hello, World!"" and then next statement print() is being used to print the value stored in variable myString.|||Usually, you will do your programming by writing your programs in script files and then you execute those scripts at your command prompt with the help of R interpreter called Rscript. So let's start with writing following code in a text file called test.R as under −|||Save the above code in a file test.R and execute it at Linux command prompt as given below. Even if you are using Windows or other system, syntax will remain same.|||When we run the above program, it produces the following result.|||Comments are like helping text in your R program and they are ignored by the interpreter while executing your actual program. Single comment is written using # in the beginning of the statement as follows −|||R does not support multi-line comments but you can perform a trick which is something as follows −|||Though above comments will be executed by R interpreter, they will not interfere with your actual program. You should put such comments inside, either single or double quote.",,,,"> myString <- ""Hello, World!""> print ( myString)[1] ""Hello, World!""|||# My first program in R ProgrammingmyString <- ""Hello, World!""print ( myString)|||if(FALSE) {   ""This is a demo for multi-line comments and it should be put inside either a       single OR double quote""}myString <- ""Hello, World!""print ( myString)"
Learn R Programming,R - Data Types,R - Data Types|||Vectors@@@Lists@@@Matrices@@@Arrays@@@Factors@@@Data Frames@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"Generally, while doing programming in any programming language, you need to use various variables to store various information. Variables are nothing but reserved memory locations to store values. This means that, when you create a variable you reserve some space in memory.|||You may like to store information of various data types like character, wide character, integer, floating point, double floating point, Boolean etc. Based on the data type of a variable, the operating system allocates memory and decides what can be stored in the reserved memory.|||In contrast to other programming languages like C and java in R, the variables are not declared as some data type. The variables are assigned with R-Objects and the data type of the R-object becomes the data type of the variable. There are many types of R-objects. The frequently used ones are −|||The simplest of these objects is the vector object and there are six data types of these atomic vectors, also termed as six classes of vectors. The other R-Objects are built upon the atomic vectors.|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||In R programming, the very basic data types are the R-objects called vectors which hold elements of different classes as shown above. Please note in R the number of classes is not confined to only the above six types. For example, we can use many atomic vectors and create an array whose class will become array.|||When you want to create vector with more than one element, you should use c() function which means to combine the elements into a vector.|||When we execute the above code, it produces the following result −|||A list is an R-object which can contain many different types of elements inside it like vectors, functions and even another list inside it.|||When we execute the above code, it produces the following result −|||A matrix is a two-dimensional rectangular data set. It can be created using a vector input to the matrix function.|||When we execute the above code, it produces the following result −|||While matrices are confined to two dimensions, arrays can be of any number of dimensions. The array function takes a dim attribute which creates the required number of dimension. In the below example we create an array with two elements which are 3x3 matrices each.|||When we execute the above code, it produces the following result −|||Factors are the r-objects which are created using a vector. It stores the vector along with the distinct values of the elements in the vector as labels. The labels are always character irrespective of whether it is numeric or character or Boolean etc. in the input vector. They are useful in statistical modeling.|||Factors are created using the factor() function. The nlevels functions gives the count of levels.|||When we execute the above code, it produces the following result −|||Data frames are tabular data objects. Unlike a matrix in data frame each column can contain different modes of data. The first column can be numeric while the second column can be character and third column can be logical. It is a list of vectors of equal length.|||Data Frames are created using the data.frame() function.|||When we execute the above code, it produces the following result −",Vectors@@@Lists@@@Matrices@@@Arrays@@@Factors@@@Data Frames,,"Data Type@@@Example@@@Verify|||Logical@@@TRUE, FALSE@@@

 Live Demo


v <- TRUE 
print(class(v))

it produces the following result −

[1] ""logical"" 

|||Numeric@@@12.3, 5, 999@@@

 Live Demo


v <- 23.5
print(class(v))

it produces the following result −

[1] ""numeric""

|||Integer@@@2L, 34L, 0L@@@

 Live Demo


v <- 2L
print(class(v))

it produces the following result −

[1] ""integer""

|||Complex@@@3 + 2i@@@

 Live Demo


v <- 2+5i
print(class(v))

it produces the following result −

[1] ""complex""

|||Character@@@'a' , '""good"", ""TRUE"", '23.4'@@@

 Live Demo


v <- ""TRUE""
print(class(v))

it produces the following result −

[1] ""character""

|||Raw@@@""Hello"" is stored as 48 65 6c 6c 6f@@@

 Live Demo


v <- charToRaw(""Hello"")
print(class(v))

it produces the following result −

[1] ""raw"" 

","v <- TRUE print(class(v))|||v <- 23.5print(class(v))|||v <- 2Lprint(class(v))|||v <- 2+5iprint(class(v))|||v <- ""TRUE""print(class(v))|||v <- charToRaw(""Hello"")print(class(v))|||# Create a vector.apple <- c('red','green',""yellow"")print(apple)# Get the class of the vector.print(class(apple))|||# Create a list.list1 <- list(c(2,5,3),21.3,sin)# Print the list.print(list1)|||# Create a matrix.M = matrix( c('a','a','b','c','b','a'), nrow = 2, ncol = 3, byrow = TRUE)print(M)|||# Create an array.a <- array(c('green','yellow'),dim = c(3,3,2))print(a)|||# Create a vector.apple_colors <- c('green','green','yellow','red','red','red','green')# Create a factor object.factor_apple <- factor(apple_colors)# Print the factor.print(factor_apple)print(nlevels(factor_apple))|||# Create the data frame.BMI <- 	data.frame(   gender = c(""Male"", ""Male"",""Female""),    height = c(152, 171.5, 165),    weight = c(81,93, 78),   Age = c(42,38,26))print(BMI)"
Learn R Programming,R - Variables,R - Variables|||Variable Assignment@@@Data Type of a Variable@@@Finding Variables@@@Deleting Variables@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"A variable provides us with named storage that our programs can manipulate. A variable in R can store an atomic vector, group of atomic vectors or a combination of many Robjects. A valid variable name consists of letters, numbers and the dot or underline characters. The variable name starts with a letter or the dot not followed by a number.|||.var_name,|||var.name|||The variables can be assigned values using leftward, rightward and equal to operator. The values of the variables can be printed using print() or cat() function. The cat() function combines multiple items into a continuous print output.|||When we execute the above code, it produces the following result −|||Note − The vector c(TRUE,1) has a mix of logical and numeric class. So logical class is coerced to numeric class making TRUE as 1.|||In R, a variable itself is not declared of any data type, rather it gets the data type of the R - object assigned to it. So R is called a dynamically typed language, which means that we can change a variable’s data type of the same variable again and again when using it in a program.|||When we execute the above code, it produces the following result −|||To know all the variables currently available in the workspace we use the ls() function. Also the ls() function can use patterns to match the variable names.|||When we execute the above code, it produces the following result −|||Note − It is a sample output depending on what variables are declared in your environment.|||The ls() function can use patterns to match the variable names.|||When we execute the above code, it produces the following result −|||The variables starting with dot(.) are hidden, they can be listed using ""all.names = TRUE"" argument to ls() function.|||When we execute the above code, it produces the following result −|||Variables can be deleted by using the rm() function. Below we delete the variable var.3. On printing the value of the variable error is thrown.|||When we execute the above code, it produces the following result −|||All the variables can be deleted by using the rm() and ls() function together.|||When we execute the above code, it produces the following result −",,,"Variable Name@@@Validity@@@Reason|||var_name2.@@@valid@@@Has letters, numbers, dot and underscore|||var_name%@@@Invalid@@@Has the character '%'. Only dot(.) and underscore allowed.|||2var_name@@@invalid@@@Starts with a number|||.var_name,
var.name@@@valid@@@Can start with a dot(.) but the dot(.)should not be followed by a number.|||.2var_name@@@invalid@@@The starting dot is followed by a number making it invalid.|||_var_name@@@invalid@@@Starts with _ which is not valid","# Assignment using equal operator.var.1 = c(0,1,2,3)           # Assignment using leftward operator.var.2 <- c(""learn"",""R"")   # Assignment using rightward operator.   c(TRUE,1) -> var.3           print(var.1)cat (""var.1 is "", var.1 ,""\n"")cat (""var.2 is "", var.2 ,""\n"")cat (""var.3 is "", var.3 ,""\n"")|||var_x <- ""Hello""cat(""The class of var_x is "",class(var_x),""\n"")var_x <- 34.5cat(""  Now the class of var_x is "",class(var_x),""\n"")var_x <- 27Lcat(""   Next the class of var_x becomes "",class(var_x),""\n"")|||print(ls())|||# List the variables starting with the pattern ""var"".print(ls(pattern = ""var""))   |||print(ls(all.name = TRUE))|||rm(var.3)print(var.3)|||rm(list = ls())print(ls())"
Learn R Programming,R - Operators,R - Operators|||Types of Operators@@@Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Assignment Operators@@@Miscellaneous Operators@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations. R language is rich in built-in operators and provides following types of operators.|||We have the following types of operators in R programming −|||Following table shows the arithmetic operators supported by R language. The operators act on each element of the vector.|||it produces the following result −|||it produces the following result −|||it produces the following result −|||When we execute the above code, it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||Following table shows the relational operators supported by R language. Each element of the first vector is compared with the corresponding element of the second vector. The result of comparison is a Boolean value.|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||it produces the following result −|||Following table shows the logical operators supported by R language. It is applicable only to vectors of type logical, numeric or complex. All numbers greater than 1 are considered as logical value TRUE.|||Each element of the first vector is compared with the corresponding element of the second vector. The result of comparison is a Boolean value.|||it produces the following result −|||it produces the following result −|||it produces the following result −|||The logical operator && and || considers only the first element of the vectors and give a vector of single element as output.|||it produces the following result −|||it produces the following result −|||These operators are used to assign values to vectors.|||<−|||or|||=|||or|||<<−|||it produces the following result −|||->|||or|||->>|||it produces the following result −|||These operators are used to for specific purpose and not general mathematical or logical computation.|||it produces the following result −|||it produces the following result −|||it produces the following result −",Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Assignment Operators@@@Miscellaneous Operators,,"Operator@@@Description@@@Example|||+@@@Adds two vectors@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v+t)

it produces the following result −

[1] 10.0  8.5  10.0

|||−@@@Subtracts second vector from the first@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v-t)

it produces the following result −

[1] -6.0  2.5  2.0

|||*@@@Multiplies both vectors@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v*t)

it produces the following result −

[1] 16.0 16.5 24.0

|||/@@@Divide the first vector with the second@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v/t)

When we execute the above code, it produces the following result −

[1] 0.250000 1.833333 1.500000

|||%%@@@Give the remainder of the first vector with the second@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v%%t)

it produces the following result −

[1] 2.0 2.5 2.0

|||%/%@@@The result of division of first vector with second (quotient)@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v%/%t)

it produces the following result −

[1] 0 1 1

|||^@@@The first vector raised to the exponent of second vector@@@

 Live Demo


v <- c( 2,5.5,6)
t <- c(8, 3, 4)
print(v^t)

it produces the following result −

[1]  256.000  166.375 1296.000

&&&Operator@@@Description@@@Example|||>@@@Checks if each element of the first vector is greater than the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v>t)

it produces the following result −

[1] FALSE  TRUE FALSE FALSE

|||<@@@Checks if each element of the first vector is less than the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v < t)

it produces the following result −

[1]  TRUE FALSE  TRUE FALSE

|||==@@@Checks if each element of the first vector is equal to the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v == t)

it produces the following result −

[1] FALSE FALSE FALSE  TRUE

|||<=@@@Checks if each element of the first vector is less than or equal to the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v<=t)

it produces the following result −

[1]  TRUE FALSE  TRUE  TRUE

|||>=@@@Checks if each element of the first vector is greater than or equal to the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v>=t)

it produces the following result −

[1] FALSE  TRUE FALSE  TRUE

|||!=@@@Checks if each element of the first vector is unequal to the corresponding element of the second vector.@@@

 Live Demo


v <- c(2,5.5,6,9)
t <- c(8,2.5,14,9)
print(v!=t)

it produces the following result −

[1]  TRUE  TRUE  TRUE FALSE

&&&Operator@@@Description@@@Example|||&@@@It is called Element-wise Logical AND operator. It combines each element of the first vector with the corresponding element of the second vector and gives a output TRUE if both the elements are TRUE.@@@

 Live Demo


v <- c(3,1,TRUE,2+3i)
t <- c(4,1,FALSE,2+3i)
print(v&t)

it produces the following result −

[1]  TRUE  TRUE FALSE  TRUE

||||@@@It is called Element-wise Logical OR operator. It combines each element of the first vector with the corresponding element of the second vector and gives a output TRUE if one the elements is TRUE.@@@

 Live Demo


v <- c(3,0,TRUE,2+2i)
t <- c(4,0,FALSE,2+3i)
print(v|t)

it produces the following result −

[1]  TRUE FALSE  TRUE  TRUE

|||!@@@It is called Logical NOT operator. Takes each element of the vector and gives the opposite logical value.@@@

 Live Demo


v <- c(3,0,TRUE,2+2i)
print(!v)

it produces the following result −

[1] FALSE  TRUE FALSE FALSE

&&&Operator@@@Description@@@Example|||&&@@@Called Logical AND operator. Takes first element of both the vectors and gives the TRUE only if both are TRUE.@@@

 Live Demo


v <- c(3,0,TRUE,2+2i)
t <- c(1,3,TRUE,2+3i)
print(v&&t)

it produces the following result −

[1] TRUE

|||||@@@Called Logical OR operator. Takes first element of both the vectors and gives the TRUE if one of them is TRUE.@@@

 Live Demo


v <- c(0,0,TRUE,2+2i)
t <- c(0,3,TRUE,2+3i)
print(v||t)

it produces the following result −

[1] FALSE

&&&Operator@@@Description@@@Example|||
<−
or
=
or
<<−
@@@Called Left Assignment@@@

 Live Demo


v1 <- c(3,1,TRUE,2+3i)
v2 <<- c(3,1,TRUE,2+3i)
v3 = c(3,1,TRUE,2+3i)
print(v1)
print(v2)
print(v3)

it produces the following result −

[1] 3+0i 1+0i 1+0i 2+3i
[1] 3+0i 1+0i 1+0i 2+3i
[1] 3+0i 1+0i 1+0i 2+3i

|||
->
or
->>@@@Called Right Assignment @@@

 Live Demo


c(3,1,TRUE,2+3i) -> v1
c(3,1,TRUE,2+3i) ->> v2 
print(v1)
print(v2)

it produces the following result −

[1] 3+0i 1+0i 1+0i 2+3i
[1] 3+0i 1+0i 1+0i 2+3i

&&&Operator@@@Description@@@Example|||:@@@Colon operator. It creates the series of numbers in sequence for a vector.@@@

 Live Demo


v <- 2:8
print(v) 

it produces the following result −

[1] 2 3 4 5 6 7 8

|||%in%@@@This operator is used to identify if an element belongs to a vector.@@@

 Live Demo


v1 <- 8
v2 <- 12
t <- 1:10
print(v1 %in% t) 
print(v2 %in% t) 

it produces the following result −

[1] TRUE
[1] FALSE

|||%*%@@@This operator is used to multiply a matrix with its transpose.@@@

 Live Demo


M = matrix( c(2,6,5,1,10,4), nrow = 2,ncol = 3,byrow = TRUE)
t = M %*% t(M)
print(t)

it produces the following result −

      [,1] [,2]
[1,]   65   82
[2,]   82  117

","v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v+t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v-t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v*t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v/t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v%%t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v%/%t)|||v <- c( 2,5.5,6)t <- c(8, 3, 4)print(v^t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v>t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v < t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v == t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v<=t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v>=t)|||v <- c(2,5.5,6,9)t <- c(8,2.5,14,9)print(v!=t)|||v <- c(3,1,TRUE,2+3i)t <- c(4,1,FALSE,2+3i)print(v&t)|||v <- c(3,0,TRUE,2+2i)t <- c(4,0,FALSE,2+3i)print(v|t)|||v <- c(3,0,TRUE,2+2i)print(!v)|||v <- c(3,0,TRUE,2+2i)t <- c(1,3,TRUE,2+3i)print(v&&t)|||v <- c(0,0,TRUE,2+2i)t <- c(0,3,TRUE,2+3i)print(v||t)|||v1 <- c(3,1,TRUE,2+3i)v2 <<- c(3,1,TRUE,2+3i)v3 = c(3,1,TRUE,2+3i)print(v1)print(v2)print(v3)|||c(3,1,TRUE,2+3i) -> v1c(3,1,TRUE,2+3i) ->> v2 print(v1)print(v2)|||v <- 2:8print(v) |||v1 <- 8v2 <- 12t <- 1:10print(v1 %in% t) print(v2 %in% t) |||M = matrix( c(2,6,5,1,10,4), nrow = 2,ncol = 3,byrow = TRUE)t = M %*% t(M)print(t)"
Learn R Programming,R - Decision making,R - Decision making|||Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"Decision making structures require the programmer to specify one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Following is the general form of a typical decision making structure found in most of the programming languages −|||R provides the following types of decision making statements. Click the following links to check their detail.|||An if statement consists of a Boolean expression followed by one or more statements.|||An if statement can be followed by an optional else statement, which executes when the Boolean expression is false.|||A switch statement allows a variable to be tested for equality against a list of values.",,,"Sr.No.@@@Statement & Description|||1@@@
if statement
An if statement consists of a Boolean expression followed by one or more statements.
|||2@@@
if...else statement
An if statement can be followed by an optional else statement, which executes when the Boolean expression is false.
|||3@@@
switch statement
A switch statement allows a variable to be tested for equality against a list of values.
",
Learn R Programming,R - Loops,R - Loops|||Loop Control Statements@@@Useful Video Courses|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"There may be a situation when you need to execute a block of code several number of times. In general, statements are executed sequentially. The first statement in a function is executed first, followed by the second, and so on.|||Programming languages provide various control structures that allow for more complicated execution paths.|||A loop statement allows us to execute a statement or group of statements multiple times and the following is the general form of a loop statement in most of the programming languages −|||R programming language provides the following kinds of loop to handle looping requirements. Click the following links to check their detail.|||Executes a sequence of statements multiple times and abbreviates the code that manages the loop variable.|||Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.|||Like a while statement, except that it tests the condition at the end of the loop body.|||Loop control statements change execution from its normal sequence. When execution leaves a scope, all automatic objects that were created in that scope are destroyed.|||R supports the following control statements. Click the following links to check their detail.|||Terminates the loop statement and transfers execution to the statement immediately following the loop.|||The next statement simulates the behavior of R switch.",,,"Sr.No.@@@Loop Type & Description|||1@@@
repeat loop
Executes a sequence of statements multiple times and abbreviates the code that manages the loop variable.
|||2@@@
while loop
Repeats a statement or group of statements while a given condition is true. It tests the condition before executing the loop body.
|||3@@@
for loop
Like a while statement, except that it tests the condition at the end of the loop body.
&&&Sr.No.@@@Control Statement & Description|||1@@@
break statement
Terminates the loop statement and transfers execution to the statement immediately following the loop.
|||2@@@
Next statement
The next statement simulates the behavior of R switch.
",
Learn R Programming,R - Functions,R - Functions|||Function Definition@@@Function Components @@@Built-in Function@@@User-defined Function@@@Calling a Function@@@Lazy Evaluation of Function@@@Useful Video Courses|||Calling a Function without an Argument@@@Calling a Function with Argument Values (by position and by name)@@@Calling a Function with Default Argument|||JCL Online Training@@@DB2 Online Training@@@COBOL Online Training@@@Email Marketing Online Training@@@Mainframe Online Training@@@CRO Online Training,"A function is a set of statements organized together to perform a specific task. R has a large number of in-built functions and the user can create their own functions.|||In R, a function is an object so the R interpreter is able to pass control to the function, along with arguments that may be necessary for the function to accomplish the actions.|||The function in turn performs its task and returns control to the interpreter as well as any result which may be stored in other objects.|||An R function is created by using the keyword function. The basic syntax of an R function definition is as follows −|||The different parts of a function are −|||Function Name − This is the actual name of the function. It is stored in R environment as an object with this name.|||Arguments − An argument is a placeholder. When a function is invoked, you pass a value to the argument. Arguments are optional; that is, a function may contain no arguments. Also arguments can have default values.|||Function Body − The function body contains a collection of statements that defines what the function does.|||Return Value − The return value of a function is the last expression in the function body to be evaluated.|||R has many in-built functions which can be directly called in the program without defining them first. We can also create and use our own functions referred as user defined functions.|||Simple examples of in-built functions are seq(), mean(), max(), sum(x) and paste(...) etc. They are directly called by user written programs. You can refer most widely used R functions.|||When we execute the above code, it produces the following result −|||We can create user-defined functions in R. They are specific to what a user wants and once created they can be used like the built-in functions. Below is an example of how a function is created and used.|||When we execute the above code, it produces the following result −|||When we execute the above code, it produces the following result −|||The arguments to a function call can be supplied in the same sequence as defined in the function or they can be supplied in a different sequence but assigned to the names of the arguments.|||When we execute the above code, it produces the following result −|||We can define the value of the arguments in the function definition and call the function without supplying any argument to get the default result. But we can also call such functions by supplying new values of the argument and get non default result.|||When we execute the above code, it produces the following result −|||Arguments to functions are evaluated lazily, which means so they are evaluated only when needed by the function body.|||When we execute the above code, it produces the following result −","Function Name − This is the actual name of the function. It is stored in R environment as an object with this name.@@@Arguments − An argument is a placeholder. When a function is invoked, you pass a value to the argument. Arguments are optional; that is, a function may contain no arguments. Also arguments can have default values.@@@Function Body − The function body contains a collection of statements that defines what the function does.@@@Return Value − The return value of a function is the last expression in the function body to be evaluated.",,,"# Create a sequence of numbers from 32 to 44.print(seq(32,44))# Find mean of numbers from 25 to 82.print(mean(25:82))# Find sum of numbers frm 41 to 68.print(sum(41:68))|||# Create a function to print squares of numbers in sequence.new.function <- function(a) {   for(i in 1:a) {      b <- i^2      print(b)   }}	|||# Create a function to print squares of numbers in sequence.new.function <- function(a) {   for(i in 1:a) {      b <- i^2      print(b)   }}# Call the function new.function supplying 6 as an argument.new.function(6)|||# Create a function without an argument.new.function <- function() {   for(i in 1:5) {      print(i^2)   }}	# Call the function without supplying an argument.new.function()|||# Create a function with arguments.new.function <- function(a,b,c) {   result <- a * b + c   print(result)}# Call the function by position of arguments.new.function(5,3,11)# Call the function by names of the arguments.new.function(a = 11, b = 5, c = 3)|||# Create a function with arguments.new.function <- function(a = 3, b = 6) {   result <- a * b   print(result)}# Call the function without giving any argument.new.function()# Call the function with giving new values of the argument.new.function(9,5)|||# Create a function with arguments.new.function <- function(a, b) {   print(a^2)   print(a)   print(b)}# Evaluate the function without supplying one of the arguments.new.function(6)"
