Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn RSpec,RSpec Tutorial,RSpec Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"RSpec is a unit test framework for the Ruby programming language. RSpec is different than traditional xUnit frameworks like JUnit because RSpec is a Behavior driven development tool. What this means is that, tests written in RSpec focus on the ""behavior"" of an application being tested. RSpec does not put emphasis on, how the application works but instead on how it behaves, in other words, what the application actually does. This tutorial will show you, how to use RSpec to test your code when building applications with Ruby.|||This tutorial is for beginners who want to learn how to write better code in Ruby. After finishing this tutorial, you will be able to incorporate RSpec tests into your daily coding practices.|||In order to benefit from reading this tutorial, you should have some experience with programming, specifically with Ruby.",,,,
Learn RSpec,RSpec - Introduction,RSpec - Introduction|||RSpec Environment@@@Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"RSpec is a unit test framework for the Ruby programming language. RSpec is different than traditional xUnit frameworks like JUnit because RSpec is a Behavior driven development tool. What this means is that, tests written in RSpec focus on the “behavior” of an application being tested. RSpec does not put emphasis on, how the application works but instead on how it behaves, in other words, what the application actually does.|||First of all, you will need to install Ruby on your computer. However, if you haven’t already done earlier, then you can download and install Ruby from the main Ruby website − Ruby.|||If you are installing Ruby on Windows, you should have the Ruby installer for Windows here at − http://www.rubyinstaller.org|||For this tutorial, you will only need text editor, such as Notepad and a command line console. The examples here will use cmd.exe on Windows.|||To run cmd.exe, simply click on the Start menu and type “cmd.exe”, then hit the Return key.|||At the command prompt in your cmd.exe window, type the following command to see what version of Ruby you are using −|||You should see the below output that looks similar to this −|||The examples in this tutorial will use Ruby 2.2.3 but any version of Ruby higher than 2.0.0 will suffice. Next, we need to install the RSpec gem for your Ruby installation. A gem is a Ruby library which you can use in your own code. In order to install a gem, you need to use the gem command.|||Let’s install the Rspec gem now. Go back to your cmd.exe Window and type the following −|||You should have a list of dependent gems that were installed, these are gems that the rspec gem needs to function correctly. At the end of the output, you should see something that looks like this −|||Do not worry, if your output does not look exactly the same. Also, if you are using a Mac or Linux computer, you may need to either run gem install rspec command using sudo or use a tool like HomeBrew or RVM to install the rspec gem.|||To get started, let’s create a directory (folder) to store our RSpec files. In your cmd.exe window, type the following −|||Then type −|||And finally, type −|||From here, we’re going to create another directory named spec, do that by typing −|||We are going to store our RSpec files in this folder. RSpec files are known as “specs”. If this seems confusing to you, you can think of a spec file as a test file. RSpec uses the term “spec” which is a short form for “specification”.|||Since, RSpec is a BDD test tool, the goal is to focus on what the application does and whether or not it follows a specification. In behavior driven development, the specification is often described in terms of a “User Story”. RSpec is designed to make it clear whether the target code is behaving correctly, in other words following the specification.|||Let’s return to our Hello World code. Open a text editor and add the following code −|||Next, save this to a file named hello_world_spec.rb in the spec folder that you created above. Now back in your cmd.exe window, run this command −|||When the command completes, you should see output that looks like this −|||Congratulations, you just created and ran your first RSpec unit test!|||In the next section, we will continue to discuss the syntax of RSpec files.",,,,"class HelloWorld   def say_hello       ""Hello World!""   end   enddescribe HelloWorld do    context “When testing the HelloWorld class” do             it ""should say 'Hello World' when we call the say_hello method"" do          hw = HelloWorld.new          message = hw.say_hello          expect(message).to eq ""Hello World!""      end         endend"
Learn RSpec,RSpec - Basic Syntax,RSpec - Basic Syntax|||The describe Keyword@@@The context Keyword@@@The it Keyword@@@The expect Keyword@@@Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"Let’s take a closer look at the code of our HelloWorld example. First of all, in case it isn’t clear, we are testing the functionality of the HelloWorld class. This of course, is a very simple class that contains only one method say_hello().|||Here is the RSpec code again −|||The word describe is an RSpec keyword. It is used to define an “Example Group”. You can think of an “Example Group” as a collection of tests. The describe keyword can take a class name and/or string argument. You also need to pass a block argument to describe, this will contain the individual tests, or as they are known in RSpec, the “Examples”. The block is just a Ruby block designated by the Ruby do/end keywords.|||The context keyword is similar to describe. It too can accept a class name and/or string argument. You should use a block with context as well. The idea of context is that it encloses tests of a certain type.|||For example, you can specify groups of Examples with different contexts like this −|||The context keyword is not mandatory, but it helps to add more details about the examples that it contains.|||The word it is another RSpec keyword which is used to define an “Example”. An example is basically a test or a test case. Again, like describe and context, it accepts both class name and string arguments and should be used with a block argument, designated with do/end. In the case of it, it is customary to only pass a string and block argument. The string argument often uses the word “should” and is meant to describe what specific behavior should happen inside the it block. In other words, it describes that expected outcome is for the Example.|||Note the it block from our HelloWorld Example −|||The string makes it clear what should happen when we call say hello on an instance of the HelloWorld class. This part of the RSpec philosophy, an Example is not just a test, it’s also a specification (a spec). In other words, an Example both documents and tests the expected behavior of your Ruby code.|||The expect keyword is used to define an “Expectation” in RSpec. This is a verification step where we check, that a specific expected condition has been met.|||From our HelloWorld Example, we have −|||The idea with expect statements is that they read like normal English. You can say this aloud as “Expect the variable message to equal the string ‘Hello World’”. The idea is that its descriptive and also easy to read, even for non-technical stakeholders such as project managers.|||The to keyword is used as part of expect statements. Note that you can also use the not_to keyword to express the opposite, when you want the Expectation to be false. You can see that to is used with a dot, expect(message).to, because it actually just a regular Ruby method. In fact, all of the RSpec keywords are really just Ruby methods.|||The eql keyword is a special RSpec keyword called a Matcher. You use Matchers to specify what type of condition you are testing to be true (or false).|||In our HelloWorld expect statement, it is clear that eql means string equality. Note that, there are different types of equality operators in Ruby and consequently different corresponding Matchers in RSpec. We will explore the many different types of Matchers in a later section.",,,,"describe HelloWorld do    context “When testing the HelloWorld class” do             it ""The say_hello method should return 'Hello World'"" do          hw = HelloWorld.new          message = hw.say_hello          expect(message).to eq ""Hello World!""       end         end end"
Learn RSpec,RSpec - Writing Specs,RSpec - Writing Specs|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"In this chapter, we will create a new Ruby class, save it in its own file and create a separate spec file to test this class.|||First, in our new class, it is called StringAnalyzer. It’s a simple class that, you guessed it, analyzes strings. Our class has only one method has_vowels? which as its names suggests, returns true if a string contains vowels and false if it doesn’t. Here’s the implementation for StringAnalyzer −|||If you followed the HelloWorld section, you created a folder called C:\rspec_tutorial\spec.|||Delete the hello_world.rb file if you have it and save the StringAnalyzer code above to a file called string_analyzer.rb in the C:\rspec_tutorial\spec folder.|||Here is the source for our spec file to test StringAnalyzer −|||Save this in the same spec directory, giving it the name string_analyzer_test.rb.|||In your cmd.exe window, cd to the C:\rspec_tutorial folder and run this command: dir spec|||You should see the following −|||Directory of C:\rspec_tutorial\spec|||Now we’re going to run our tests, run this command: rspec spec|||When you pass the name of a folder to rspec, it runs all of the spec files inside of the folder. You should see this result −|||The reason that this happened is that, by default, rspec only runs files whose names end in “_spec.rb”. Rename string_analyzer_test.rb to string_analyzer_spec.rb. You can do that easily by running this command −|||Now, run rspec spec again, you should see output that looks like this −|||Now, save the changes you just made in string_analyizer.rb and run the rspec spec command again, you should now see output that looks like −|||Congratulations, the examples (tests) in your spec file are now passing. We fixed a bug in the regular expression which has vowels method but our tests are far from complete.|||It would make sense to add more examples that tests various types of input strings with the has vowels method.|||The following table shows some of the permutations that could be added in new Examples (it blocks)|||It is up to you to decide, which examples to add to your spec file. There are many conditions to test for, you need to determine what subset of conditions is most important and tests your code the best.|||The rspec command offers many different options, to see them all, type rspec -help. The following table lists the most popular options and describes what they do.|||-I PATH|||Adds PATH to the load (require) path that rspec uses when looking for Ruby source files.|||-r, --require PATH|||Adds a specific source file to be required in your spec. file(s).|||--fail-fast|||With this option, rspec will stop running specs after the first Example fails. By default, rspec runs all specified spec files, no matter how many failures there are.|||-f, --format FORMATTER|||This option allows you to specify different output formats. See the section on Formatters for more details about output formats.|||-o, --out FILE|||This option directs rspec to write the test results to the output file FILE instead of to standard out.|||-c, --color|||Enables color in rspec’s output. Successful Example results will display in green text, failures will print in red text.|||-b, --backtrace|||Displays full error backtraces in rspec’s output.|||-w, --warnings|||Displays Ruby warnings in rspec’s output.|||-P, --pattern PATTERN|||Load and run spec files that match the pattern PATTERN. For example, if you pass -p “*.rb”, rspec will run all Ruby files, not just the ones that end in “_spec.rb”.|||-e, --example STRING|||This option directs rspec to run all Examples that contain the text STRING in their descriptions.|||-t, --tag TAG|||With this option, rspec will only run examples that contain the tag TAG. Note that TAG is specified as a Ruby symbol. See the section on RSpec Tags for more details.",,,"Input string@@@Description@@@Expected result with has_vowels?|||‘aaa’, ‘eee’, ‘iii’, ‘o’@@@Only one vowel and no other letters.@@@true|||‘abcefg’@@@‘At least one vowel and some consonants’@@@true|||‘mnklp’@@@Only consonants.@@@false|||‘’@@@Empty string (no letters)@@@false|||‘abcde55345&??’@@@Vowels, consonants, numbers and punctuation characters.@@@true|||‘423432%%%^&’@@@Numbers and punctuation characters only.@@@false|||‘AEIOU’@@@Upper case vowels only.@@@true|||‘AeiOuuuA’@@@Upper case and lower vowels only.@@@true|||‘AbCdEfghI’@@@Upper and lower case vowels and consonants.@@@true|||‘BCDFG’@@@Upper case consonants only.@@@false|||‘  ‘@@@Whitespace characters only.@@@false&&&Sr.No.@@@Option/flag & Description|||1@@@-I PATH
Adds PATH to the load (require) path that rspec uses when looking for Ruby source files.|||2@@@-r, --require PATH
Adds a specific source file to be required in your spec. file(s).|||3@@@--fail-fast
With this option, rspec will stop running specs after the first Example fails. By default, rspec runs all specified spec files, no matter how many failures there are.|||4@@@-f, --format FORMATTER
This option allows you to specify different output formats. See the section on Formatters for more details about output formats.|||5@@@-o, --out FILE
This option directs rspec to write the test results to the output file FILE instead of to standard out.|||6@@@-c, --color
Enables color in rspec’s output. Successful Example results will display in green text, failures will print in red text.|||7@@@-b, --backtrace
Displays full error backtraces in rspec’s output.|||8@@@-w, --warnings
Displays Ruby warnings in rspec’s output.|||9@@@-P, --pattern PATTERN
Load and run spec files that match the pattern PATTERN. For example, if you pass -p “*.rb”, rspec will run all Ruby files, not just the ones that end in “_spec.rb”.|||10@@@-e, --example STRING
This option directs rspec to run all Examples that contain the text STRING in their descriptions.|||11@@@-t, --tag TAG
With this option, rspec will only run examples that contain the tag TAG. Note that TAG is specified as a Ruby symbol. See the section on RSpec Tags for more details.","class StringAnalyzer    def has_vowels?(str)       !!(str =~ /[aeio]+/i)    end end|||require 'string_analyzer' describe StringAnalyzer do    context ""With valid input"" do             it ""should detect when a string contains vowels"" do          sa = StringAnalyzer.new          test_string = 'uuu'          expect(sa.has_vowels? test_string).to be true       end 		      it ""should detect when a string doesn't contain vowels"" do          sa = StringAnalyzer.new          test_string = 'bcdfg'          expect(sa.has_vowels? test_string).to be false      end          end end"
Learn RSpec,RSpec - Matchers,RSpec - Matchers|||Equality/Identity Matchers@@@Comparison Matchers@@@Class/Type Matchers@@@True/False/Nil Matchers@@@Error Matchers@@@Useful Video Courses|||Example@@@Example@@@Example@@@Example@@@Example|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"If you recall our original Hello World example, it contained a line that looked like this −|||The keyword eql is an RSpec “matcher”. Here, we will introduce the other types of matchers in RSpec.|||Matchers to test for object or value equality.|||When the above code is executed, it will produce the following output. The number of seconds may be slightly different on your computer −|||Matchers for comparing to values.|||When the above code is executed, it will produce the following output. The number of seconds may be slightly different on your computer −|||Matchers for testing the type or class of objects.|||When the above code is executed, it will produce the following output. The number of seconds may be slightly different on your computer −|||Matchers for testing whether a value is true, false or nil.|||When the above code is executed, it will produce the following output. The number of seconds may be slightly different on your computer −|||Matchers for testing, when a block of code raises an error.|||Save the following code to a file with the name error_matcher_spec.rb and run it with this command − rspec error_matcher_spec.rb.|||When the above code is executed, it will produce the following output. The number of seconds may be slightly different on your computer −",,,"Matcher@@@Description@@@Example|||eq@@@Passes when actual == expected@@@expect(actual).to eq expected|||eql@@@Passes when actual.eql?(expected)@@@expect(actual).to eql expected|||be@@@Passes when actual.equal?(expected)@@@expect(actual).to be expected|||equal@@@Also passes when actual.equal?(expected)@@@expect(actual).to equal expected&&&Matcher@@@Description@@@Example|||>@@@Passes when actual > expected@@@expect(actual).to be > expected|||>=@@@Passes when actual >= expected@@@expect(actual).to be >= expected|||<@@@Passes when actual < expected@@@expect(actual).to be < expected|||<=@@@Passes when actual <= expected@@@expect(actual).to be <= expected|||be_between inclusive@@@Passes when actual is <= min and >= max@@@expect(actual).to be_between(min, max).inclusive|||be_between exclusive@@@Passes when actual is < min and > max@@@expect(actual).to be_between(min, max).exclusive|||match@@@Passes when actual matches a regular expression@@@expect(actual).to match(/regex/)&&&Matcher@@@Description@@@Example|||be_instance_of@@@Passes when actual is an instance of the expected class.@@@expect(actual).to be_instance_of(Expected)|||be_kind_of@@@Passes when actual is an instance of the expected class or any of its parent classes.@@@expect(actual).to be_kind_of(Expected)|||respond_to@@@Passes when actual responds to the specified method.@@@expect(actual).to respond_to(expected)&&&Matcher@@@Description@@@Example|||be true@@@Passes when actual == true@@@expect(actual).to be true|||be false@@@Passes when actual == false@@@expect(actual).to be false|||be_truthy@@@Passes when actual is not false or nil@@@expect(actual).to be_truthy|||be_falsey@@@Passes when actual is false or nil@@@expect(actual).to be_falsey|||be_nil@@@Passes when actual is nil@@@expect(actual).to be_nil&&&Matcher@@@Description@@@Example|||raise_error(ErrorClass)@@@Passes when the block raises an error of type ErrorClass.@@@expect {block}.to raise_error(ErrorClass)|||raise_error(""error message"")@@@Passes when the block raise an error with the message “error message”.@@@expect {block}.to raise_error(“error message”)|||raise_error(ErrorClass, ""error message"")@@@Passes when the block raises an error of type ErrorClass with the message “error message”@@@expect {block}.to raise_error(ErrorClass,“error message”)","describe ""An example of the equality Matchers"" do    it ""should show how the equality Matchers work"" do       a = ""test string""       b = a             # The following Expectations will all pass       expect(a).to eq ""test string""       expect(a).to eql ""test string""       expect(a).to be b       expect(a).to equal b    end   end|||describe ""An example of the comparison Matchers"" do   it ""should show how the comparison Matchers work"" do      a = 1      b = 2      c = 3		      d = 'test string'            # The following Expectations will all pass      expect(b).to be > a      expect(a).to be >= a       expect(a).to be < b       expect(b).to be <= b       expect(c).to be_between(1,3).inclusive       expect(b).to be_between(1,3).exclusive       expect(d).to match /TEST/i    end   end|||describe ""An example of the type/class Matchers"" do    it ""should show how the type/class Matchers work"" do      x = 1       y = 3.14       z = 'test string'             # The following Expectations will all pass      expect(x).to be_instance_of Fixnum       expect(y).to be_kind_of Numeric       expect(z).to respond_to(:length)    end   end|||describe ""An example of the true/false/nil Matchers"" do   it ""should show how the true/false/nil Matchers work"" do      x = true       y = false       z = nil       a = ""test string""             # The following Expectations will all pass      expect(x).to be true       expect(y).to be false       expect(a).to be_truthy       expect(z).to be_falsey       expect(z).to be_nil    end end|||describe ""An example of the error Matchers"" do    it ""should show how the error Matchers work"" do             # The following Expectations will all pass       expect { 1/0 }.to raise_error(ZeroDivisionError)      expect { 1/0 }.to raise_error(""divided by 0"")       expect { 1/0 }.to raise_error(""divided by 0"", ZeroDivisionError)    end end"
Learn RSpec,RSpec - Test Doubles,RSpec - Test Doubles|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"In this chapter, we will discuss RSpec Doubles, also known as RSpec Mocks. A Double is an object which can “stand in” for another object. You’re probably wondering what that means exactly and why you’d need one.|||Let’s say you are building an application for a school and you have a class representing a classroom of students and another class for students, that is you have a Classroom class and a Student class. You need to write the code for one of the classes first, so let’s say that, start with the Classroom class −|||This is a simple class, it has one method list_student_names, which returns a comma delimited string of student names. Now, we want to create tests for this class but how do we do that if we haven’t created the Student class yet? We need a test Double.|||Also, if we have a “dummy” class that behaves like a Student object then our ClassRoom tests will not depend on the Student class. We call this test isolation.|||If our ClassRoom tests don’t rely on any other classes, then when a test fails, we can know immediately that there is a bug in our ClassRoom class and not some other class. Keep in mind that, in the real world, you may be building a class that needs to interact with another class written by someone else.|||This is where RSpec Doubles (mocks) become useful. Our list_student_names method calls the name method on each Student object in its @students member variable. Therefore, we need a Double which implements a name method.|||Here is the code for ClassRoom along with an RSpec Example (test), yet notice that there is no Student class defined −|||When the above code is executed, it will produce the following output. The elapsed time may be slightly different on your computer −|||As you can see, using a test double allows you to test your code even when it relies on a class that is undefined or unavailable. Also, this means that when there is a test failure, you can tell right away that it’s because of an issue in your class and not a class written by someone else.",,,,"class ClassRoom    def initialize(students)       @students = students    end       def list_student_names       @students.map(&:name).join(',')    end end|||class ClassRoom    def initialize(students)       @students = students    end      def list_student_names       @students.map(&:name).join(',')    end enddescribe ClassRoom do    it 'the list_student_names method should work correctly' do       student1 = double('student')       student2 = double('student')             allow(student1).to receive(:name) { 'John Smith'}       allow(student2).to receive(:name) { 'Jill Smith'}             cr = ClassRoom.new [student1,student2]      expect(cr.list_student_names).to eq('John Smith,Jill Smith')    end end"
Learn RSpec,RSpec - Stubs,RSpec - Stubs|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"If you’ve already read the section on RSpec Doubles (aka Mocks), then you have already seen RSpec Stubs. In RSpec, a stub is often called a Method Stub, it’s a special type of method that “stands in” for an existing method, or for a method that doesn’t even exist yet.|||Here is the code from the section on RSpec Doubles −|||In our example, the allow() method provides the method stubs that we need to test the ClassRoom class. In this case, we need an object that will act just like an instance of the Student class, but that class doesn’t actually exist (yet). We know that the Student class needs to provide a name() method and we use allow() to create a method stub for name ().|||One thing to note is that, RSpec’s syntax has changed a bit over the years. In older versions of RSpec, the above method stubs would be defined like this −|||Let’s take the above code and replace the two allow() lines with the old RSpec syntax −|||You will see this output when you execute the above code −|||It’s recommended that you use the new allow() syntax when you need to create method stubs in your RSpec examples, but we’ve provided the older style here so that you will recognize it if you see it.",,,,"class ClassRoom    def initialize(students)       @students = students    End      def list_student_names       @students.map(&:name).join(',')    end end describe ClassRoom do    it 'the list_student_names method should work correctly' do       student1 = double('student')       student2 = double('student')             allow(student1).to receive(:name) { 'John Smith'}      allow(student2).to receive(:name) { 'Jill Smith'}             cr = ClassRoom.new [student1,student2]      expect(cr.list_student_names).to eq('John Smith,Jill Smith')    end end|||class ClassRoom    def initialize(students)       @students = students    end       def list_student_names       @students.map(&:name).join(',')    end 	end describe ClassRoom do    it 'the list_student_names method should work correctly' do       student1 = double('student')       student2 = double('student')            student1.stub(:name).and_return('John Smith')      student2.stub(:name).and_return('Jill Smith')             cr = ClassRoom.new [student1,student2]       expect(cr.list_student_names).to eq('John Smith,Jill Smith')    end end"
Learn RSpec,RSpec - Hooks,RSpec - Hooks|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"When you are writing unit tests, it is often convenient to run setup and teardown code before and after your tests. Setup code is the code that configures or “sets up” conditions for a test. Teardown code does the cleanup, it makes sure that the environment is in a consistent state for subsequent tests.|||Generally speaking, your tests should be independent of each other. When you run an entire suite of tests and one of them fails, you want to have confidence that it failed because the code that it is testing has a bug, not because the previous test left the environment in an inconsistent state.|||The most common hooks used in RSpec are before and after hooks. They provide a way to define and run the setup and teardown code we discussed above. Let’s consider this example code −|||When you run this code, you’ll get the following output −|||Let’s take a closer look at what’s happening. The before(:each) method is where we define the setup code. When you pass the :each argument, you are instructing the before method to run before each example in your Example Group i.e. the two it blocks inside the describe block in the code above.|||In the line: @simple_class = SimpleClass.new, we are creating a new instance of the SimpleClass class and assigning it to an instance variable of an object. What object you might be wondering? RSpec creates a special class behind the scenes in the scope of the describe block. This allows you to assign values to instance variables of this class, that you can access within the it blocks in your Examples. This also makes it easy to write cleaner code in our tests. If each test (Example) needs an instance of SimpleClass, we can put that code in the before hook and not have to add it to each example.|||Notice that, the line “Creating a new instance of the SimpleClass class” is written to the console twice, this shows that, before hook was called in each of the it blocks.|||As we’ve mentioned, RSpec also has an after hook and both the before and after hooks can take: all as an argument. The after hook will run after the specified target. The: all target means that the hook will run before/after all of the Examples. Here is a simple example that illustrates when each hook is called.|||When you run the above code, you will see this output −",,,,"class SimpleClass    attr_accessor :message       def initialize()       puts ""\nCreating a new instance of the SimpleClass class""       @message = 'howdy'    end       def update_message(new_message)       @message = new_message    end end describe SimpleClass do    before(:each) do       @simple_class = SimpleClass.new    end       it 'should have an initial message' do       expect(@simple_class).to_not be_nil      @simple_class.message = 'Something else. . .'    end       it 'should be able to change its message' do      @simple_class.update_message('a new message')      expect(@simple_class.message).to_not be 'howdy'    endend|||describe ""Before and after hooks"" do    before(:each) do       puts ""Runs before each Example""    end       after(:each) do       puts ""Runs after each Example""    end       before(:all) do       puts ""Runs before all Examples""    end       after(:all) do       puts ""Runs after all Examples""   end       it 'is the first Example in this spec file' do       puts 'Running the first Example'    end       it 'is the second Example in this spec file' do       puts 'Running the second Example'    end end"
Learn RSpec,RSpec - Tags,RSpec - Tags|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"RSpec Tags provide an easy way to run specific tests in your spec files. By default, RSpec will run all tests in the spec files that it runs, but you might only need to run a subset of them. Let’s say that you have some tests that run very quickly and that you’ve just made a change to your application code and you want to just run the quick tests, this code will demonstrate how to do that with RSpec Tags.|||Now, save the above code in a new file called tag_spec.rb. From the command line, run this command: rspec --tag slow tag_spec.rb|||You will see this output −|||Run options: include {: slow = >true}|||Then, run this command: rspec --tag fast tag_spec.rb|||You will see this output −|||As you can see, RSpec Tags makes it very easy to a subset of tests!",,,,"describe ""How to run specific Examples with Tags"" do    it 'is a slow test', :slow = > true do       sleep 10       puts 'This test is slow!'    end       it 'is a fast test', :fast = > true do       puts 'This test is fast!'    end end"
Learn RSpec,RSpec - Subjects,RSpec - Subjects|||Useful Video Courses|||Learn Perspective Drawing in Adobe Illustrator@@@Burp Suite Mastery: Bug bounty hunters perspective,"One of RSpec’s strengths is that it provides many ways to write tests, clean tests. When your tests are short and uncluttered, it becomes easier to focus on the expected behavior and not on the details of how the tests are written. RSpec Subjects are yet another shortcut allowing you to write simple straightforward tests.|||Consider this code −|||It’s actually pretty clear as is, but we could use RSpec’s subject feature to reduce the amount of code in the example. We do that by moving the person object instantiation into the describe line.|||When you run this code, you will see this output −|||Note, how much simpler the second code sample is. We took the one it block in the first example and replaced it with two it blocks which end up requiring less code and are just as clear.",,,,"class Person    attr_reader :first_name, :last_name       def initialize(first_name, last_name)       @first_name = first_name       @last_name = last_name    end end describe Person do    it 'create a new person with a first and last name' do      person = Person.new 'John', 'Smith'            expect(person).to have_attributes(first_name: 'John')       expect(person).to have_attributes(last_name: 'Smith')    end end|||class Person    attr_reader :first_name, :last_name       def initialize(first_name, last_name)       @first_name = first_name       @last_name = last_name    end 	end describe Person.new 'John', 'Smith' do    it { is_expected.to have_attributes(first_name: 'John') }    it { is_expected.to have_attributes(last_name: 'Smith') }end"
