Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Rexx Programming,Rexx Tutorial,Rexx Tutorial@@@Audience@@@Prerequisites,"Rexx (Restructured Extended Executor) is designed to be a scripting language. Its goal is to make scripting as easy, fast, reliable, and error-free as possible. Many programming languages are designed for compatibility with older languages, and are written for specific audiences or platforms. Rexx ignores extraneous objectives. It was designed from day one to be powerful, yet easy to use. It is also very helpful for developing small programs that perform various text file transformations. This is an introductory tutorial that covers the basics of Rexx and how to deal with its various components and sub-components.|||This tutorial has been prepared mainly for those professionals who are within the IT industry, working as specialists in the field of Scripting and Macro Languages. It is very useful for those professionals who work on Data Processing, text and also for generating reports.|||This tutorial is intended to make you comfortable in getting started with Restructured Extended Executor (Rexx) and its various functions.|||It is an elementary tutorial and you can easily understand the concepts explained here with a basic knowledge of how a company or an organization deals with its scripting languages and programs. However, it will help if you have some prior exposure on programming languages, data processing, and generating reports.",,,,
Learn Rexx Programming,Rexx - Overview,Rexx - Overview|||Features of Rexx,"Rexx (Restructured Extended Executor) is designed to be a scripting language. Its goal is to make scripting as easy, fast, reliable, and error-free as possible. Many programming languages are designed for compatibility with older languages, and are written for specific audiences or platforms. Rexx ignores extraneous objectives. It was designed from day one to be powerful, yet easy to use.|||Rexx was designed and first implemented, in assembly language, as an 'own-time' project between 20th March 1979 and the middle of 1982 by Mike Cowlishaw of IBM, originally as a scripting programming language to replace the languages EXEC and EXEC 2. It was designed to be a macro or scripting language for any system. As such, Rexx is considered a precursor to Tcl and Python. Rexx was also intended by its creator to be a simplified and easier to learn version of the PL/I programming language.|||Rexx as a programming language has the following key features −|||Simple syntax|||The ability to route commands to multiple environments|||The ability to support functions, procedures and commands associated with a specific invoking environment.|||A built-in stack, with the ability to interoperate with the host stack if there is one.|||Small instruction set containing just two dozen instructions|||Freeform syntax|||Case-insensitive tokens, including variable names|||Character string basis|||Dynamic data typing, no declarations|||No reserved keywords, except in local context|||No include file facilities|||Arbitrary numerical precision|||Decimal arithmetic, floating-point|||A rich selection of built-in functions, especially string and word processing|||Automatic storage management|||Crash protection|||Content addressable data structures|||Associative arrays|||Straightforward access to system commands and facilities|||Simple error-handling, and built-in tracing and debugger|||Few artificial limitations|||Simplified I/O facilities|||The official website for Rexx is www.oorexx.org","Simple syntax@@@The ability to route commands to multiple environments@@@The ability to support functions, procedures and commands associated with a specific invoking environment.@@@A built-in stack, with the ability to interoperate with the host stack if there is one.@@@Small instruction set containing just two dozen instructions@@@Freeform syntax@@@Case-insensitive tokens, including variable names@@@Character string basis@@@Dynamic data typing, no declarations@@@No reserved keywords, except in local context@@@No include file facilities@@@Arbitrary numerical precision@@@Decimal arithmetic, floating-point@@@A rich selection of built-in functions, especially string and word processing@@@Automatic storage management@@@Crash protection@@@Content addressable data structures@@@Associative arrays@@@Straightforward access to system commands and facilities@@@Simple error-handling, and built-in tracing and debugger@@@Few artificial limitations@@@Simplified I/O facilities",,,
Learn Rexx Programming,Rexx - Environment,Rexx - Environment|||Downloading Rexx|||System Requirements,"Before you can start working on Rexx, you need to ensure that you have a fully functional version of Rexx running on your system. This chapter will explain the installation of Rexx and its subsequent configuration on a Windows machine to get started with Rexx.|||Ensure the following System requirements are met before proceeding with the installation.|||To download Rexx, you should use the following URL − https://www.oorexx.org/download.html|||This page has a variety of downloads for various versions of Rexx as shown in the following screenshot.|||Click on the ‘ooRexx install files’ in the table with the header of Release 4.2.0.|||After this, you will be re-directed to the following page.|||Click on the ooRexx-4.2.0.windows.x86_64.exe to download the 64-bit version of the software. We will discuss regarding the installation of the software in the following chapter.",,,"Memory@@@2 GB RAM (recommended)|||Disk Space@@@No minimum requirement. Preferably to have enough storage to store the programs which will be created using Rexx.|||Operating System Version@@@Rexx can be installed on Windows, Ubuntu/Debian, Mac OS X.",
Learn Rexx Programming,Rexx - Installation,Rexx - Installation,"The following steps will explain in detail how Rexx can be installed on a Windows system.|||Step 1 − Launch the Installer downloaded in the earlier section. After the installer starts, click on the Run button.|||Step 2 − Click the next button on the following screen to proceed with the installation.|||Step 3 − Click on the I Agree button to proceed.|||Step 4 − Accept the default components and then click on the next button.|||Step 5 − Choose the installation location and click on the Next button.|||Step 6 − Accept the default processes which will be installed and click on the Next button.|||Step 7 − Choose the default file associations and click on the Next button.|||Step 8 − Click on the check boxes of send Rexx items to the executables and then click on the Next button as shown in the following screenshot.|||Step 9 − In the next screen, choose the editor for working with Rexx files. Keep the notepad as the default option. Also accept the default extension for each Rexx file.|||Step 10 − Accept the default settings on the following screen that comes up and click on the Next button to proceed further with the installation.|||Step 11 − Finally click on the Install button to proceed with the installation.|||Step 12 − Once the installation is complete, you need to click on the Next button to proceed further.|||Step 13 − Click on the Finish button to complete the installation.",,,,
Learn Rexx Programming,Rexx - Installation of Plugin-Ins,Rexx - Installation of Plugin-Ins|||Installation in Eclipse,"In this chapter, we will discuss on how to install plug-ins on popular IDE’s (Integrated Development Environment). Rexx as a programming language is also available in popular IDE’s such as Eclipse. Let’s look at how we can get the required plugin’s in these IDE’s, so that you have more choices in working with Rexx.|||To make a trouble-free installation of Rexx in Eclipse, you will need to adhere to the following steps.|||Step 1 − Open Eclipse and click on the Menu item, Help → Eclipse Marketplace as shown in the following screenshot.|||Step 2 − In the next dialog box, enter Rexx in the search criteria and click on the search button.|||Once done, click the Install button.|||Step 3 − Click on the Confirm button to further continue with the features installation.|||Step 4 − Eclipse will then download the necessary files to start off with the installation. Once done, Eclipse will ask for accepting the license agreements. Click on accepting the license agreements and then click on the Finish button as shown in the following screenshot.|||Eclipse will then start installing the software in the background.|||Step 5 − You will probably get a security warning (as shown in the following screenshot). Click on the OK button to proceed.|||Step 6 − You will be prompted to restart Eclipse once the updates are installed. Click Yes to restart Eclipse.",,,,
Learn Rexx Programming,Rexx - Basic Syntax,Rexx - Basic Syntax|||General Form of a Statement@@@Executing Commands@@@Keywords in Rexx@@@Comments in Rexx|||Example@@@Subroutines and Functions@@@Function Implementation@@@Subroutine Implementation@@@Example,"In order to understand the basic syntax of Rexx, let us first look at a simple Hello World program.|||One can see how simple the hello world program is. It is a simple script line which is used to execute the Hello World program.|||The following things need to be noted about the above program −|||The say command is used to output a value to the console.|||The /* */ is used for comments in Rexx.|||The output of the above program will be −|||In Rexx, let’s see a general form of a program. Take a look at the following example.|||The output of the above program will be −|||Let’s go through what we have understood from the above program −|||Add is a function defined to add 2 numbers.|||In the main program, the values of 5 and 6 is used as parameters to the add function.|||The exit keyword is used to exit from the main program. This is used to differentiate the main program from the add function.|||The add function is differentiated with the ‘:’ symbol.|||The parse statement is used to parse the incoming arguments.|||Finally, the return statement is used to return the sum of the numeric values.|||In Rexx, the code is normally divided into subroutines and functions. Subroutines and functions are used to differentiate the code into different logical units. The key difference between subroutines and functions is that functions return a value whereas subroutines don’t.|||Below is a key difference example between a subroutine and a function for an addition implementation −|||The output of both the programs will be the value 11.|||Rexx can be used as a control language for a variety of command-based systems. The way that Rexx executes commands in these systems is as follows. When Rexx encounters a program line which is neither an instruction nor an assignment, it treats that line as a string expression which is to be evaluated and then passed to the environment.|||An example is as follows −|||Each of the three similar lines in this program is a string expression which adds the name of a file (contained in the string constants) to the name of a command (given as a parameter). The resulting string is passed to the environment to be executed as a command. When the command has finished, the variable ""rc"" is set to the exit code of the command.|||The output of the above program is as follows −|||The free syntax of REXX implies that some symbols are reserved for the language processor's use in certain contexts.|||Within particular instructions, some symbols may be reserved to separate the parts of the instruction. These symbols are referred to as keywords. Examples of REXX keywords are the WHILE in a DO instruction, and the THEN (which acts as a clause terminator in this case) following an IF or WHEN clause.|||Apart from these cases, only simple symbols that are the first token in a clause and that are not followed by an ""="" or "":"" are checked to see if they are instruction keywords. You can use the symbols freely elsewhere in clauses without their being taken to be keywords.|||Comments are used to document your code. Single line comments are identified by using the /* */ at any position in the line.|||An example is as follows −|||Comments can also be written in between a code line as shown in the following program −|||The output of the above program will be −|||You can also have multiple lines in a comment as shown in the following program −|||The output of the above program will be −","The say command is used to output a value to the console.@@@The /* */ is used for comments in Rexx.|||Add is a function defined to add 2 numbers.@@@In the main program, the values of 5 and 6 is used as parameters to the add function.@@@The exit keyword is used to exit from the main program. This is used to differentiate the main program from the add function.@@@The add function is differentiated with the ‘:’ symbol.@@@The parse statement is used to parse the incoming arguments.@@@Finally, the return statement is used to return the sum of the numeric values.",,,"/* Main program */ say ""Hello World"" |||/* Main program */ say add(5,6) exit add: parse arg a,b return a + b|||/* Main program */ say add(5,6) exit add: parse arg a,b return a + b|||/* Main program */ add(5,6) exit add: parse arg a,b say a + b|||/* Main program */ parse arg command command ""file1"" command ""file2"" command ""file3"" exit |||/* Main program *//* Call the add function */add(5,6)/* Exit the main program */exit add:/* Parse the arguments passed to the add function */ parse arg a,b/* Display the added numeric values */say a + b|||/* Main program */ /* Call the add function */ add(5,6) /* Exit the main program */ exit add: parse    /* Parse the arguments passed to the add function */ arg a,b /* Display the added numeric values */ say a + b|||/* Main program The below program is used to add numbers Call the add function */ add(5,6) exit add: parse arg a,b say a + b"
Learn Rexx Programming,Rexx - DataTypes,Rexx - DataTypes|||Built-in Data Types|||Integer@@@Big Integer@@@Decimal@@@Float@@@String,"In any programming language, you need to use various variables to store various types of information. Variables are nothing but reserved memory locations to store values. This means that when you create a variable you reserve some space in the memory to store the value associated with that variable.|||You may like to store information of various data types like String, Character, Wide Character, Integer, Floating Point, Boolean, etc. Based on the data type of a variable, the operating system allocates memory and decides what can be stored in the reserved memory.|||Rexx offers a wide variety of built-in data types. Following is a list of data types which are defined in Rexx.|||Integer − A string of numerics that does not contain a decimal point or exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented must be between -2147483648 and 2147483647, inclusive.|||Big Integer − A string of numbers that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented must be between -9223372036854775808 and 2147483648, inclusive, or between 2147483648 and 9223372036854775807.|||Decimal − It will be from one of the following formats −|||A string of numerics that contains a decimal point but no exponent identifier. The p represents the precision and s represents the scale of the decimal number that the string represents. The first character can be a plus (+) or minus (-) sign.|||A string of numerics that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented is less than -9223372036854775808 or greater than 9223372036854775807.|||Float − A string that represents a number in scientific notation. The string consists of a series of numerics followed by an exponent identifier (an E or e followed by an optional plus (+) or minus (-) sign and a series of numerics). The string can begin with a plus (+) or minus (-) sign.|||String − A normal string of characters.|||Following are some examples of how each data type can be used. Again each data type will be discussed in detail in the subsequent chapters. This is just to get you up to speed with a brief description of the above mentioned data types.|||An example of how the number data type can be used is shown in the following program. This program shows the addition of 2 Integers.|||Example|||The output of the above program will be −|||The following program shows the capability of Rexx to handle big integers. This program shows how to add 2 big integers.|||Example|||The output of the above program will be −|||The following program shows the capability of Rexx to handle decimal numbers. This program shows how to add 2 decimal numbers.|||Example|||The output of the above program will be −|||The following example show cases how a number can work as a float.|||Example|||The output of the above program will be −|||An example of how the Tuple data type can be used is shown in the following program.|||Here we are defining a Tuple P which has 3 terms. The tuple_size is an inbuilt function defined in Rexx which can be used to determine the size of the tuple.|||Example|||The output of the above program will be −","Integer − A string of numerics that does not contain a decimal point or exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented must be between -2147483648 and 2147483647, inclusive.@@@Big Integer − A string of numbers that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented must be between -9223372036854775808 and 2147483648, inclusive, or between 2147483648 and 9223372036854775807.@@@Decimal − It will be from one of the following formats −

A string of numerics that contains a decimal point but no exponent identifier. The p represents the precision and s represents the scale of the decimal number that the string represents. The first character can be a plus (+) or minus (-) sign.
A string of numerics that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented is less than -9223372036854775808 or greater than 9223372036854775807.

@@@A string of numerics that contains a decimal point but no exponent identifier. The p represents the precision and s represents the scale of the decimal number that the string represents. The first character can be a plus (+) or minus (-) sign.@@@A string of numerics that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented is less than -9223372036854775808 or greater than 9223372036854775807.@@@Float − A string that represents a number in scientific notation. The string consists of a series of numerics followed by an exponent identifier (an E or e followed by an optional plus (+) or minus (-) sign and a series of numerics). The string can begin with a plus (+) or minus (-) sign.@@@String − A normal string of characters.|||A string of numerics that contains a decimal point but no exponent identifier. The p represents the precision and s represents the scale of the decimal number that the string represents. The first character can be a plus (+) or minus (-) sign.@@@A string of numerics that does not contain a decimal point or an exponent identifier. The first character can be a plus (+) or minus (-) sign. The number that is represented is less than -9223372036854775808 or greater than 9223372036854775807.",,,"/* Main program The below program is used to add numbers Call the add function */ add(5,6)  exit add:  parse arg a,b say a + b |||/* Main program The below program is used to add numbers Call the add function */ add(500000000000,6000000000000000000000)  exit add:  parse arg a,b say a + b|||/* Main program The below program is used to add numbers Call the add function */ add(5.5,6.6)  exit add:  parse arg a,b say a + b |||/* Main program The below program is used to add numbers Call the add function */ add(12E2,14E4)  exit add:  parse arg a,b say a + b|||/* Main program */ display(""hello"")  exit display:  parse arg a say a"
Learn Rexx Programming,Rexx - Variables,Rexx - Variables|||Different Types of Variable Functions|||Variable Declarations@@@Naming Variables@@@Printing Variables,"In Rexx, all variables are bound with the ‘=’ statement. Variable names are sometimes referred to as symbols. They may be composed of Letters, Digits, and Characters such as ‘. ! ? _’. A variable name you create must not begin with a digit or a period. A simple variable name does not include a period. A variable name that includes a period is called a compound variable and represents an array or table.|||The following are the basic types of variables in Rexx which were also explained in the previous chapter −|||Integers − This is used to represent an integer or a float. An example for this is 10.|||Big integers − This represents a large integer value.|||Decimal − A decimal value is a string of numerics that contains a decimal point but no exponent identifier.|||Float − A float value is a string that represents a number in the scientific notation.|||String − A series of characters defines a string in Rexx.|||In this section, we will discuss regarding the various functions a variable can perform.|||The general syntax of defining a variable is shown as follows −|||where|||var-name − This is the name of the variable.|||var-value − This is the value bound to the variable.|||The following program is an example of the variable declaration −|||Example|||In the above example, we have 2 variables, one is X which is bound to the value 40 and the next is Y which is bound to the value of 50. Another variable called Result is bound to the addition of X and Y.|||The output of the above program will be as follows −|||Variable names are sometimes referred to as symbols. They may be composed of Letters, Digits, and Characters such as ‘. ! ? _’ . A variable name you create must not begin with a digit or period.|||If a variable has not yet been assigned a value, it is referred to as uninitialized. The value of an uninitialized variable is the name of the variable itself in uppercase letters.|||An example of an unassigned variable is as follows −|||Example|||If you run the above program you will get the following output −|||Variables can be assigned values more than once. The below program shows how the value of X can be assigned a value multiple times.|||Example|||The output of the above program will be as follows −|||The values of variables are printed using the say command. Following is an example of printing a variety number of variables.|||Example|||The output of the above program will be as follows −",Integers − This is used to represent an integer or a float. An example for this is 10.@@@Big integers − This represents a large integer value.@@@Decimal − A decimal value is a string of numerics that contains a decimal point but no exponent identifier.@@@Float − A float value is a string that represents a number in the scientific notation.@@@String − A series of characters defines a string in Rexx.|||var-name − This is the name of the variable.@@@var-value − This is the value bound to the variable.,,,"/* Main program */ X = 40 Y = 50 Result = X + Y say Result|||/* Main program */ unassignedvalue say unassignedvalue |||/* Main program */ X = 40 X = 50 say X |||/* Main program */ X = 40 /* Display an Integer */ say X Y = 50.5 /* Display a Float */ say Y Z = ""hello"" /* Display a string */ say Z "
Learn Rexx Programming,Rexx - Operators,Rexx - Operators|||Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Bitwise Operators@@@Operator Precedence,An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations.|||Rexx has various types of operators which are also explained in detail as follows −|||The Rexx language supports the normal Arithmetic Operators as any the language. Following are the Arithmetic Operators available in Rexx.|||Show Example|||Relational Operators allow of the comparison of objects. Following are the relational operators available in Rexx. In Rexx the true value is denoted by 1 and the false value is denoted by 0.|||Show Example|||Logical Operators are used to evaluate Boolean expressions. Following are the logical operators available in Rexx.|||Show Example|||Groovy provides four bitwise operators. Below are the bitwise operators available in Groovy.|||Show Example|||bitand|||This is the bitwise “and” operator|||bitor|||This is the bitwise “or” operator|||bitxor|||This is the bitwise “xor” or Exclusive or operator|||The following table shows the Operator Precedence for the Rexx operators in order of descending priority of their precedence.,Arithmetic operators@@@Relational operators@@@Logical operators@@@Bitwise operators,,"Operator@@@Description@@@Example|||+@@@Addition of two operands@@@1 + 2 will give 3|||−@@@Subtracts second operand from the first@@@1 - 2 will give -1|||∗@@@Multiplication of both operands@@@2 ∗ 2 will give 4|||/@@@Division of numerator by denominator@@@2 / 2 will give 1|||//@@@Remainder of dividing the first number by the second@@@3 // 2 will give 1|||%@@@The div component will perform the division and return the integer component.@@@3 % 2 will give 1&&&Operator@@@Description@@@Example|||==@@@Tests the equality between two objects@@@2 = 2 will give 1|||<@@@Checks to see if the left object is less than the right operand.@@@2 < 3 will give 1|||=<@@@Checks to see if the left object is less than or equal to the right operand.@@@2 =< 3 will give 1|||>@@@Checks to see if the left object is greater than the right operand.@@@3 > 2 will give 1|||>=@@@Checks to see if the left object is greater than or equal to the right operand.@@@3 > 2 will give 1&&&Operator@@@Description@@@Example|||&@@@This is the logical “and” operator@@@1 or 1 will give 1||||@@@This is the logical “or” operator@@@1 or 0 will give 1|||\@@@This is the logical “not” operator@@@\0 will give 1|||&&@@@This is the logical exclusive “or” operator@@@1 && 0 will give 1&&&Sr.No.@@@Operator & Description|||1@@@bitand
This is the bitwise “and” operator|||2@@@bitor
This is the bitwise “or” operator|||3@@@bitxor
This is the bitwise “xor” or Exclusive or operator&&&Operators@@@Precedence|||Prefix operators@@@+ - \|||Addition and subtraction@@@+ -|||Comparison operators@@@= == > < >= <=|||Logical AND@@@&|||Logical OR@@@||||EXCLUSIVE OR@@@&&",
Learn Rexx Programming,Rexx - Arrays,Rexx - Arrays|||Creating Arrays@@@Assigning Values to an Array Element@@@Copying Arrays@@@Iterating through array elements@@@Two-dimensional Arrays|||Displaying Values of an Array,"Arrays in any programming language allow you to group a list of values of the same type. The use of arrays is that it allows you to build a list of similar type of values which are sortable, searchable and can be easily manipulated. Rexx also allows one to define arrays. These arrays can be one dimensional or multidimensional.|||Rexx arrays may be sparse. That is, not every array position must have a value or even be initialized. There can be empty array positions, or slots, between those that do contain data elements. Or arrays can be dense, in which consecutive array slots all contain data elements.|||In many programming languages, you must be concerned with what the subscript of the first entry in a table is. Is the first numeric subscript 0 or 1? In Rexx, the first subscript is whatever you use! So, input the first array element into position 0 or 1 as you prefer.|||or|||Let’s look at the different operations available for arrays.|||Arrays are created with the same naming convention which is used for variables in Rexx.|||The general syntax for creating arrays is as follows −|||where|||Arrayname − This is the name provided to the array.|||Index − This is the index position in the array to refer to a specific element.|||Value − This is the value assigned to the index element in the array.|||An example of an array declaration is as follows −|||Example|||The following points needs to be noted about the above program −|||Values can be re-assigned to array elements in the same way as array elements are initialized.|||The following program is an example of values which can be assigned to various index values of an existing array.|||The values of an array can be displayed by referring to the index position of the array element. The following example shows to access various elements of the array.|||Example|||The output of the above program will be as follows −|||All of the elements of an array can be copied onto another array. The general syntax of this is as follows −|||where|||Newarray − This is the new array in which the elements need to be copied onto.|||Sourcearray − This is the source array from which the elements need to be copied.|||An example on how the copy operations for arrays can be carried out is shown in the following program −|||Example|||The output of the above program will be −|||Elements of an array can also be iterated by using the iterative statements available in Rexx. An example on how this can be done is as follows −|||Example|||The following pointers need to be noted about the above program −|||The do loop is used to iterate through the array elements.|||The variable number_of_elements is used to store the number of elements in the array.|||The variable j is used to iterate through each element of the array.|||The output of the above program will be −|||It was also mentioned that we can construct multi-dimensional arrays in Rexx. Let’s look at an example of how we can implement a 2-dimensional array.|||Example|||The output of the above program will be shown as follows −|||The following point needs to be noted about the above program −|||To create a multidimensional array, we can use another layer of indexing. So in our example, we used list.1.1 to create another inner array for the index value 1 of the list array.","Arrayname − This is the name provided to the array.@@@Index − This is the index position in the array to refer to a specific element.@@@Value − This is the value assigned to the index element in the array.|||The name of the array is given as list@@@There are 3 elements of the array which are initialized to the value of 0.|||Newarray − This is the new array in which the elements need to be copied onto.@@@Sourcearray − This is the source array from which the elements need to be copied.|||The do loop is used to iterate through the array elements.@@@The variable number_of_elements is used to store the number of elements in the array.@@@The variable j is used to iterate through each element of the array.|||To create a multidimensional array, we can use another layer of indexing. So in our example, we used list.1.1 to create another inner array for the index value 1 of the list array.",,,/* Main program */ list.1 = 0 list.2 = 0 list.3 = 0|||/* Main program */ list.1 = 0 list.2 = 0 list.3 = 0 /* Assigning new values to the array*/ list.1 = 10 list.3 = 30 |||/* Main program */ list.1 = 0 list.2 = 0 list.3 = 0 /* Assigning new values to the array*/ list.1 = 10 list.3 = 30 say list.1 say list.2 say list.3 |||/* Main program */ list.1 = 0 list.2 = 0 list.3 = 0 /* Assigning new values to the array*/ list.1 = 10 list.3 = 30 listnew. = list. say listnew.1 say listnew.2 say listnew.3 |||/* Main program */ list.1 = 10 list.2 = 20 list.3 = 30 number_of_elements = 3 do j = 1 to number_of_elements say list.j end |||/* Main program */ list.1 = 10 list.1.1 = 11 list.1.2 = 12 say list.1 say list.1.1 say list.1.2 
