Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Socket.io,Socket.IO Tutorial,Socket.IO Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Create a 3D multi-player game using THREE.js and Socket.IO,"Socket.IO enables real-time bidirectional event-based communication. It works on every platform, browser or device, focusing equally on reliability and speed. Socket.IO is built on top of the WebSockets API (Client side) and Node.js. It is one of the most depended upon library on npm (Node Package Manager).|||This tutorial has been created for anyone who has a basic knowledge of HTML, Javascript and Node.js work. After completing this tutorial, the reader will be able to build moderately complex real-time websites, back-ends for mobile applications and push notification systems.|||The reader should have a basic knowledge of HTML, JavaScript and Node.js. If the readers are not acquainted with these, we will suggest them to go through these tutorials first. We will be using Express to ease creating servers; it is not a prerequisite though.",,,,
Learn Socket.io,Socket.IO - Overview,Socket.IO - Overview|||Real-time Applications@@@Why Socket.IO?@@@ExpressJS@@@Useful Video Courses|||Create a 3D multi-player game using THREE.js and Socket.IO,"Socket.IO is a JavaScript library for real-time web applications. It enables real-time, bi-directional communication between web clients and servers. It has two parts − a client-side library that runs in the browser, and a server-side library for node.js. Both components have an identical API.|||A real-time application (RTA) is an application that functions within a period that the user senses as immediate or current.|||Some examples of real-time applications are −|||Instant messengers − Chat apps like Whatsapp, Facebook Messenger, etc. You need not refresh your app/website to receive new messages.|||Push Notifications − When someone tags you in a picture on Facebook, you receive a notification instantly.|||Collaboration Applications − Apps like google docs, which allow multiple people to update same documents simultaneously and apply changes to all people's instances.|||Online Gaming − Games like Counter Strike, Call of Duty, etc., are also some examples of real-time applications.|||Writing a real-time application with popular web applications stacks like LAMP (PHP) has traditionally been very hard. It involves polling the server for changes, keeping track of timestamps, and it is a lot slower than it should be.|||Sockets have traditionally been the solution around which most real-time systems are architected, providing a bi-directional communication channel between a client and a server. This means that the server can push messages to clients. Whenever an event occurs, the idea is that the server will get it and push it to the concerned connected clients.|||Socket.IO is quite popular, it is used by Microsoft Office, Yammer, Zendesk, Trello,. and numerous other organizations to build robust real-time systems. It one of the most powerful JavaScript frameworks on GitHub, and most depended-upon NPM (Node Package Manager) module. Socket.IO also has a huge community, which means finding help is quite easy.|||We will be using express to build the web server that Socket.IO will work with. Any other node-server-side framework or even node HTTP server can be used. However, ExpressJS makes it easy to define routes and other things. To read more about express and get a basic idea about it, head to – ExpressJS tutorial.","Instant messengers − Chat apps like Whatsapp, Facebook Messenger, etc. You need not refresh your app/website to receive new messages.@@@Push Notifications − When someone tags you in a picture on Facebook, you receive a notification instantly.@@@Collaboration Applications − Apps like google docs, which allow multiple people to update same documents simultaneously and apply changes to all people's instances.@@@Online Gaming − Games like Counter Strike, Call of Duty, etc., are also some examples of real-time applications.",,,
Learn Socket.io,Socket.IO - Environment,Socket.IO - Environment|||Useful Video Courses|||Create a 3D multi-player game using THREE.js and Socket.IO,"To get started with developing using the Socket.IO, you need to have Node and npm (node package manager) installed. If you do not have these, head over to Node setup to install node on your local system. Confirm that node and npm are installed by running the following commands in your terminal.|||You should get an output similar to −|||6.14.13Open your terminal and enter the following in your terminal to create a new folder and enter the following commands −|||It will ask you some questions; answer them in the following way −|||This will create a 'package.json node.js' configuration file. Now we need to install Express and Socket.IO. To install these and save them to package.json file, enter the following command in your terminal, into the project directory −|||One final thing is that we should keep restarting the server. When we make changes, we will need a tool called nodemon. To install nodemon, open your terminal and enter the following command −|||Whenever you need to start the server, instead of using the node app.js use, nodemon app.js. This will ensure that you do not need to restart the server whenever you change a file. It speeds up the development process.|||Now, we have our development environment set up. Let us now get started with developing real-time applications with Socket.IO.",,,,"
$ mkdir test-project
$ cd test-proect
$ npm init
"
Learn Socket.io,Socket.IO - Hello world,Socket.IO - Hello world|||Example@@@Useful Video Courses|||Create a 3D multi-player game using THREE.js and Socket.IO,"In the following chapter we will discuss the basic example using Socket.IO library along with ExpressJS.|||First of all, create a file called app.js and enter the following code to set up an express application −|||We will need an index.html file to serve, create a new file called index.html and enter the following code in it −|||To test if this works, go to the terminal and run this app using the following command −|||This will run the server on localhost:3000. Go to the browser and enter localhost:3000 to check this. If everything goes well a message saying ""Hello World"" is printed on the page.|||Following is another example (this require Socket.IO), it will log ""A user connected"", every time a user goes to this page and ""A user disconnected"", every time someone navigates away/closes this page.|||The require('socket.io')(http) creates a new socket.io instance attached to the http server. The io.on event handler handles connection, disconnection, etc., events in it, using the socket object.|||We have set up our server to log messages on connections and disconnections. We now have to include the client script and initialize the socket object there, so that clients can establish connections when required. The script is served by our io server at '/socket.io/socket.io.js'.|||After completing the above procedure, the index.html file will look as follows −|||If you go to localhost:3000 now (make sure your server is running), you will get Hello World printed in your browser. Now check your server console logs, it will show the following message −|||If you refresh your browser, it will disconnect the socket connection and recreate. You can see the following on your console logs −",,,,"
var app = require('express')();
var http = require('http').Server(app);
