Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Solidity,Solidity Tutorial,Solidity Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Solidity is a contract-oriented, high-level programming language for implementing smart contracts. Solidity is highly influenced by C++, Python and JavaScript and has been designed to target the Ethereum Virtual Machine (EVM).|||This tutorial targets novice developers and those new to Solidity. It guides them in understanding basic through more advanced concepts in Solidity. After completing this tutorial, your firm foundation in Solidity and level of expertise will allow you to begin developing and easily build on your knowledge.|||The tutorial assumes your familiarity with blockchain, and general programming.",,,,
Learn Solidity,Solidity - Overview,Solidity - Overview|||What is Ethereum?@@@The Ethereum Virtual Machine (EVM)@@@What is Smart Contract?@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Solidity is a contract-oriented, high-level programming language for implementing smart contracts. Solidity is highly influenced by C++, Python and JavaScript and has been designed to target the Ethereum Virtual Machine (EVM).|||Solidity is statically typed, supports inheritance, libraries and complex user-defined types programming language.|||You can use Solidity to create contracts for uses such as voting, crowdfunding, blind auctions, and multi-signature wallets.|||Ethereum is a decentralized ie. blockchain platform that runs smart contracts i.e. applications that run exactly as programmed without any possibility of downtime, censorship, fraud or third-party interference.|||The Ethereum Virtual Machine, also known as EVM, is the runtime environment for smart contracts in Ethereum. The Ethereum Virtual Machine focuses on providing security and executing untrusted code by computers all over the world.|||The EVM specialised in preventing Denial-of-service attacks and ensures that programs do not have access to each other's state, ensuring communication can be established without any potential interference.|||The Ethereum Virtual Machine has been designed to serve as a runtime environment for smart contracts based on Ethereum.|||A smart contract is a computer protocol intended to digitally facilitate, verify, or enforce the negotiation or performance of a contract. Smart contracts allow the performance of credible transactions without third parties. These transactions are trackable and irreversible.|||The concept of smart contracts was first proposed by Nick Szabo in 1994. Szabo is a legal scholar and cryptographer known for laying the groundwork for digital currency.|||It is fine if you do not understand Smart Contract right now, we will go into more detail later.",,,,
Learn Solidity,Solidity - Environment Setup,Solidity - Environment Setup|||Method 1 - npm / Node.js@@@Method 2 - Docker Image@@@Method 3: Binary Packages Installation@@@Useful Video Courses|||Install Node.js@@@Install solc|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"This chapter explains how we can setup Solidity compiler on CentOS machine. If you do not have a Linux machine then you can use our Online Compiler for small contracts and for quickly learning Solidity.|||This is the fastest way to install Solidity compiler on your CentoS Machine. We have following steps to install Solidity Compiler −|||First make sure you have node.js available on your CentOS machine. If it is not available then install it using the following commands −|||If everything has been installed then you will see an output something like this −|||Once you have Node.js package manager installed then you can proceed to install Solidity compiler as below −|||The above command will install solcjs program and will make it available globally through out the system. Now you can test your Solidity compiler by issuing following command −|||If everything goes fine, then this will print something as follows −|||Now you are ready to use solcjs which has fewer features than the standard Solidity compiler but it will give you a good starting point.|||You can pull a Docker image and start using it to start with Solidity programming. Following are the simple steps. Following is the command to pull a Solidity Docker Image.|||Once a docker image is downloaded we can verify it using the following command.|||This will print something as follows −|||If you are willing to install full fledged compiler on your Linux machine, then please check official website Installing the Solidity Compiler.",,,,
Learn Solidity,Solidity - Basic Syntax,Solidity - Basic Syntax|||Pragma@@@Contract@@@Importing Files@@@Reserved Keywords@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"A Solidity source files can contain an any number of contract definitions, import directives and pragma directives.|||Let's start with a simple source file of Solidity. Following is an example of a Solidity file −|||The first line is a pragma directive which tells that the source code is written for Solidity version 0.4.0 or anything newer that does not break functionality up to, but not including, version 0.6.0.|||A pragma directive is always local to a source file and if you import another file, the pragma from that file will not automatically apply to the importing file.|||So a pragma for a file which will not compile earlier than version 0.4.0 and it will also not work on a compiler starting from version 0.5.0 will be written as follows −|||Here the second condition is added by using ^.|||A Solidity contract is a collection of code (its functions) and data (its state) that resides at a specific address on the Ethereumblockchain.|||The line uintstoredData declares a state variable called storedData of type uint and the functions set and get can be used to modify or retrieve the value of the variable.|||Though above example does not have an import statement but Solidity supports import statements that are very similar to those available in JavaScript.|||The following statement imports all global symbols from ""filename"".|||The following example creates a new global symbol symbolName whose members are all the global symbols from ""filename"".|||To import a file x from the same directory as the current file, use import ""./x"" as x;. If you use import ""x"" as x; instead, a different file could be referenced in a global ""include directory"".|||Following are the reserved keywords in Solidity −",,,abstract@@@after@@@alias@@@apply|||auto@@@case@@@catch@@@copyof|||default@@@define@@@final@@@immutable|||implements@@@in@@@inline@@@let|||macro@@@match@@@mutable@@@null|||of@@@override@@@partial@@@promise|||reference@@@relocatable@@@sealed@@@sizeof|||static@@@supports@@@switch@@@try|||typedef@@@typeof@@@unchecked@@@,pragma solidity >=0.4.0 <0.6.0;contract SimpleStorage {   uint storedData;   function set(uint x) public {      storedData = x;   }   function get() public view returns (uint) {      return storedData;   }}|||pragma solidity ^0.4.0;
Learn Solidity,Solidity - First Application,Solidity - First Application|||Example@@@Output@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"We're using Remix IDE to Compile and Run our Solidity Code base.|||Step 1 − Copy the given code in Remix IDE Code Section.|||Step 2 − Under Compile Tab, click Start to Compile button.|||Step 3 − Under Run Tab, click Deploy button.|||Step 4 − Under Run Tab, Select SolidityTest at 0x... in drop-down.|||Step 5 − Click getResult Button to display the result.",,,,pragma solidity ^0.5.0;contract SolidityTest {   constructor() public{   }   function getResult() public view returns(uint){      uint a = 1;      uint b = 2;      uint result = a + b;      return result;   }}
Learn Solidity,Solidity - Comments,Solidity - Comments|||Example@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Solidity supports both C-style and C++-style comments, Thus −|||Any text between a // and the end of a line is treated as a comment and is ignored by Solidity Compiler.|||Any text between the characters /* and */ is treated as a comment. This may span multiple lines.|||The following example shows how to use comments in Solidity.",Any text between a // and the end of a line is treated as a comment and is ignored by Solidity Compiler.@@@Any text between the characters /* and */ is treated as a comment. This may span multiple lines.,,,function getResult() public view returns(uint){   // This is a comment. It is similar to comments in C++   /*      * This is a multi-line comment in solidity      * It is very similar to comments in C Programming   */   uint a = 1;   uint b = 2;   uint result = a + b;   return result;}
Learn Solidity,Solidity - Types,Solidity - Types|||Value Types@@@address@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"While writing program in any language, you need to use various variables to store various information. Variables are nothing but reserved memory locations to store values. This means that when you create a variable you reserve some space in memory.|||You may like to store information of various data types like character, wide character, integer, floating point, double floating point, boolean etc. Based on the data type of a variable, the operating system allocates memory and decides what can be stored in the reserved memory.|||Solidity offers the programmer a rich assortment of built-in as well as user defined data types. Following table lists down seven basic C++ data types −|||Note: You can also represent the signed and unsigned fixed-point numbers as fixedMxN/ufixedMxN where M represents the number of bits taken by type and N represents the decimal points. M should be divisible by 8 and goes from 8 to 256. N can be from 0 to 80.|||address holds the 20 byte value representing the size of an Ethereum address. An address can be used to get the balance using .balance method and can be used to transfer balance to another address using .transfer method.",,,Type@@@Keyword@@@Values|||Boolean@@@bool@@@true/false|||Integer@@@int/uint@@@Signed and unsigned integers of varying sizes.|||Integer@@@int8 to int256@@@Signed int from 8 bits to 256 bits. int256 is the same as int.|||Integer@@@uint8 to uint256@@@Unsigned int from 8 bits to 256 bits. uint256 is the same as uint.|||Fixed Point Numbers@@@fixed/unfixed@@@Signed and unsigned fixed point numbers of varying sizes.|||Fixed Point Numbers@@@fixed/unfixed@@@Signed and unsigned fixed point numbers of varying sizes.|||Fixed Point Numbers@@@fixedMxN@@@Signed fixed point number where M represents number of bits taken by type and N represents the decimal points. M should be divisible by 8 and goes from 8 to 256. N can be from 0 to 80. fixed is same as fixed128x18.|||Fixed Point Numbers@@@ufixedMxN@@@Unsigned fixed point number where M represents number of bits taken by type and N represents the decimal points. M should be divisible by 8 and goes from 8 to 256. N can be from 0 to 80. ufixed is same as ufixed128x18.,address x = 0x212;address myAddress = this;if (x.balance < 10 && myAddress.balance >= 10) x.transfer(10);
Learn Solidity,Solidity - Variables,Solidity - Variables|||State Variable@@@Local Variable@@@Global Variables@@@Solidity Variable Names@@@Useful Video Courses|||Example@@@Output|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Solidity supports three types of variables.|||State Variables − Variables whose values are permanently stored in a contract storage.|||Local Variables − Variables whose values are present till function is executing.|||Global Variables − Special variables exists in the global namespace used to get information about the blockchain.|||Solidity is a statically typed language, which means that the state or local variable type needs to be specified during declaration. Each declared variable always have a default value based on its type. There is no concept of ""undefined"" or ""null"".|||Variables whose values are permanently stored in a contract storage.|||Variables whose values are available only within a function where it is defined. Function parameters are always local to that function.|||Run the above program using steps provided in Solidity First Application chapter.|||These are special variables which exist in global workspace and provide information about the blockchain and transaction properties.|||While naming your variables in Solidity, keep the following rules in mind.|||You should not use any of the Solidity reserved keywords as a variable name. These keywords are mentioned in the next section. For example, break or boolean variable names are not valid.|||Solidity variable names should not start with a numeral (0-9). They must begin with a letter or an underscore character. For example, 123test is an invalid variable name but _123test is a valid one.|||Solidity variable names are case-sensitive. For example, Name and name are two different variables.","State Variables − Variables whose values are permanently stored in a contract storage.@@@Local Variables − Variables whose values are present till function is executing.@@@Global Variables − Special variables exists in the global namespace used to get information about the blockchain.|||You should not use any of the Solidity reserved keywords as a variable name. These keywords are mentioned in the next section. For example, break or boolean variable names are not valid.@@@Solidity variable names should not start with a numeral (0-9). They must begin with a letter or an underscore character. For example, 123test is an invalid variable name but _123test is a valid one.@@@Solidity variable names are case-sensitive. For example, Name and name are two different variables.",,"Name@@@Returns|||blockhash(uint blockNumber) returns (bytes32)@@@Hash of the given block - only works for 256 most recent, excluding current, blocks|||block.coinbase (address payable)@@@Current block miner's address|||block.difficulty (uint)@@@Current block difficulty|||block.gaslimit (uint)@@@Current block gaslimit|||block.number (uint)@@@Current block number|||block.timestamp (uint)@@@Current block timestamp as seconds since unix epoch|||gasleft() returns (uint256)@@@Remaining gas|||msg.data (bytes calldata)@@@Complete calldata|||msg.sender (address payable)@@@Sender of the message (current caller)|||msg.sig (bytes4)@@@First four bytes of the calldata (function identifier)|||msg.value (uint)@@@Number of wei sent with the message|||now (uint)@@@Current block timestamp|||tx.gasprice (uint)@@@Gas price of the transaction|||tx.origin (address payable)@@@Sender of the transaction",pragma solidity ^0.5.0;contract SolidityTest {   uint storedData;      // State variable   constructor() public {      storedData = 10;   // Using State variable   }}|||pragma solidity ^0.5.0;contract SolidityTest {   uint storedData; // State variable   constructor() public {      storedData = 10;      }   function getResult() public view returns(uint){      uint a = 1; // local variable      uint b = 2;      uint result = a + b;      return result; //access the local variable   }}|||pragma solidity ^0.5.0;contract SolidityTest {   uint storedData; // State variable   constructor() public {      storedData = 10;      }   function getResult() public view returns(uint){      uint a = 1; // local variable      uint b = 2;      uint result = a + b;      return storedData; //access the state variable   }}
Learn Solidity,Solidity - Variable Scope,Solidity - Variable Scope|||Example@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Scope of local variables is limited to function in which they are defined but State variables can have three types of scopes.|||Public − Public state variables can be accessed internally as well as via messages. For a public state variable, an automatic getter function is generated.|||Internal − Internal state variables can be accessed only internally from the current contract or contract deriving from it without using this.|||Private − Private state variables can be accessed only internally from the current contract they are defined not in the derived contract from it.","Public − Public state variables can be accessed internally as well as via messages. For a public state variable, an automatic getter function is generated.@@@Internal − Internal state variables can be accessed only internally from the current contract or contract deriving from it without using this.@@@Private − Private state variables can be accessed only internally from the current contract they are defined not in the derived contract from it.",,,pragma solidity ^0.5.0;contract C {   uint public data = 30;   uint internal iData= 10;      function x() public returns (uint) {      data = 3; // internal access      return data;   }}contract Caller {   C c = new C();   function f() public view returns (uint) {      return c.data(); //external access   }}contract D is C {   function y() public returns (uint) {      iData = 3; // internal access      return iData;   }   function getResult() public view returns(uint){      uint a = 1; // local variable      uint b = 2;      uint result = a + b;      return storedData; //access the state variable   }}
Learn Solidity,Solidity - Operators,Solidity - Operators|||What is an Operator?@@@Arithmetic Operators@@@Comparison Operators@@@Logical Operators@@@Bitwise Operators@@@Assignment Operators@@@Conditional Operator (? :)@@@Useful Video Courses|||Practical Blockchain & Smart Contracts : Ethereum & Solidity@@@Ethereum & Blockchain Applications Using Solidity@@@Become a Blockchain Developer: Ethereum + Solidity + Project,"Let us take a simple expression 4 + 5 is equal to 9. Here 4 and 5 are called operands and '+' is called the operator. Solidity supports the following types of operators.|||Lets have a look on all operators one by one.|||Solidity supports the following arithmetic operators −|||Assume variable A holds 10 and variable B holds 20, then −|||Show Example|||+ (Addition)|||Adds two operands|||Ex: A + B will give 30|||- (Subtraction)|||Subtracts the second operand from the first|||Ex: A - B will give -10|||* (Multiplication)|||Multiply both operands|||Ex: A * B will give 200|||/ (Division)|||Divide the numerator by the denominator|||Ex: B / A will give 2|||% (Modulus)|||Outputs the remainder of an integer division|||Ex: B % A will give 0|||++ (Increment)|||Increases an integer value by one|||Ex: A++ will give 11|||-- (Decrement)|||Decreases an integer value by one|||Ex: A-- will give 9|||Solidity supports the following comparison operators −|||Assume variable A holds 10 and variable B holds 20, then −|||Show Example|||= = (Equal)|||Checks if the value of two operands are equal or not, if yes, then the condition becomes true.|||Ex: (A == B) is not true.|||!= (Not Equal)|||Checks if the value of two operands are equal or not, if the values are not equal, then the condition becomes true.|||Ex: (A != B) is true.|||> (Greater than)|||Checks if the value of the left operand is greater than the value of the right operand, if yes, then the condition becomes true.|||Ex: (A > B) is not true.|||< (Less than)|||Checks if the value of the left operand is less than the value of the right operand, if yes, then the condition becomes true.|||Ex: (A < B) is true.|||>= (Greater than or Equal to)|||Checks if the value of the left operand is greater than or equal to the value of the right operand, if yes, then the condition becomes true.|||Ex: (A >= B) is not true.|||<= (Less than or Equal to)|||Checks if the value of the left operand is less than or equal to the value of the right operand, if yes, then the condition becomes true.|||Ex: (A <= B) is true.|||Solidity supports the following logical operators −|||Assume variable A holds 10 and variable B holds 20, then −|||Show Example|||&& (Logical AND)|||If both the operands are non-zero, then the condition becomes true.|||Ex: (A && B) is true.||||| (Logical OR)|||If any of the two operands are non-zero, then the condition becomes true.|||Ex: (A || B) is true.|||! (Logical NOT)|||Reverses the logical state of its operand. If a condition is true, then the Logical NOT operator will make it false.|||Ex: ! (A && B) is false.|||Solidity supports the following bitwise operators −|||Assume variable A holds 2 and variable B holds 3, then −|||Show Example|||& (Bitwise AND)|||It performs a Boolean AND operation on each bit of its integer arguments.|||Ex: (A & B) is 2.|||| (BitWise OR)|||It performs a Boolean OR operation on each bit of its integer arguments.|||Ex: (A | B) is 3.|||^ (Bitwise XOR)|||It performs a Boolean exclusive OR operation on each bit of its integer arguments. Exclusive OR means that either operand one is true or operand two is true, but not both.|||Ex: (A ^ B) is 1.|||~ (Bitwise Not)|||It is a unary operator and operates by reversing all the bits in the operand.|||Ex: (~B) is -4.|||<< (Left Shift)|||It moves all the bits in its first operand to the left by the number of places specified in the second operand. New bits are filled with zeros. Shifting a value left by one position is equivalent to multiplying it by 2, shifting two positions is equivalent to multiplying by 4, and so on.|||Ex: (A << 1) is 4.|||>> (Right Shift)|||Binary Right Shift Operator. The left operand's value is moved right by the number of bits specified by the right operand.|||Ex: (A >> 1) is 1.|||>>> (Right shift with Zero)|||This operator is just like the >> operator, except that the bits shifted in on the left are always zero.|||Ex: (A >>> 1) is 1.|||Solidity supports the following assignment operators −|||Show Example|||= (Simple Assignment )|||Assigns values from the right side operand to the left side operand|||Ex: C = A + B will assign the value of A + B into C|||+= (Add and Assignment)|||It adds the right operand to the left operand and assigns the result to the left operand.|||Ex: C += A is equivalent to C = C + A|||−= (Subtract and Assignment)|||It subtracts the right operand from the left operand and assigns the result to the left operand.|||Ex: C -= A is equivalent to C = C - A|||*= (Multiply and Assignment)|||It multiplies the right operand with the left operand and assigns the result to the left operand.|||Ex: C *= A is equivalent to C = C * A|||/= (Divide and Assignment)|||It divides the left operand with the right operand and assigns the result to the left operand.|||Ex: C /= A is equivalent to C = C / A|||%= (Modules and Assignment)|||It takes modulus using two operands and assigns the result to the left operand.|||Ex: C %= A is equivalent to C = C % A|||Note − Same logic applies to Bitwise operators so they will become like <<=, >>=, >>=, &=, |= and ^=.|||The conditional operator first evaluates an expression for a true or false value and then executes one of the two given statements depending upon the result of the evaluation.|||Show Example|||? : (Conditional )|||If Condition is true? Then value X : Otherwise value Y",Arithmetic Operators@@@Comparison Operators@@@Logical (or Relational) Operators@@@Assignment Operators@@@Conditional (or ternary) Operators,,"Sr.No.@@@Operator & Description|||1@@@+ (Addition)
Adds two operands
Ex: A + B will give 30
|||2@@@- (Subtraction)
Subtracts the second operand from the first
Ex: A - B will give -10
|||3@@@* (Multiplication)
Multiply both operands
Ex: A * B will give 200
|||4@@@/ (Division)
Divide the numerator by the denominator
Ex: B / A will give 2
|||5@@@% (Modulus)
Outputs the remainder of an integer division
Ex: B % A will give 0
|||6@@@++ (Increment)
Increases an integer value by one
Ex: A++ will give 11
|||7@@@-- (Decrement)
Decreases an integer value by one
Ex: A-- will give 9
&&&Sr.No.@@@Operator & Description|||1@@@
= = (Equal)
Checks if the value of two operands are equal or not, if yes, then the condition becomes true.
Ex: (A == B) is not true.
|||2@@@
!= (Not Equal)
Checks if the value of two operands are equal or not, if the values are not equal, then the condition becomes true.
Ex: (A != B) is true.
|||3@@@
> (Greater than)
Checks if the value of the left operand is greater than the value of the right operand, if yes, then the condition becomes true.
Ex: (A > B) is not true.
|||4@@@
< (Less than)
Checks if the value of the left operand is less than the value of the right operand, if yes, then the condition becomes true.
Ex: (A < B) is true.
|||5@@@
>= (Greater than or Equal to)
Checks if the value of the left operand is greater than or equal to the value of the right operand, if yes, then the condition becomes true.
Ex: (A >= B) is not true.
|||6@@@
<= (Less than or Equal to)
Checks if the value of the left operand is less than or equal to the value of the right operand, if yes, then the condition becomes true.
Ex: (A <= B) is true.
&&&Sr.No.@@@Operator & Description|||1@@@&& (Logical AND)
If both the operands are non-zero, then the condition becomes true.
Ex: (A && B) is true.
|||2@@@|| (Logical OR)
If any of the two operands are non-zero, then the condition becomes true.
Ex: (A || B) is true.
|||3@@@! (Logical NOT)
Reverses the logical state of its operand. If a condition is true, then the Logical NOT operator will make it false.
Ex: ! (A && B) is false.
&&&Sr.No.@@@Operator & Description|||1@@@& (Bitwise AND)
It performs a Boolean AND operation on each bit of its integer arguments.
Ex: (A & B) is 2.
|||2@@@| (BitWise OR)
It performs a Boolean OR operation on each bit of its integer arguments.
Ex: (A | B) is 3.
|||3@@@^ (Bitwise XOR)
It performs a Boolean exclusive OR operation on each bit of its integer arguments. Exclusive OR means that either operand one is true or operand two is true, but not both.
Ex: (A ^ B) is 1.
|||4@@@~ (Bitwise Not)
It is a unary operator and operates by reversing all the bits in the operand.
Ex: (~B) is -4.
|||5@@@<< (Left Shift)
It moves all the bits in its first operand to the left by the number of places specified in the second operand. New bits are filled with zeros. Shifting a value left by one position is equivalent to multiplying it by 2, shifting two positions is equivalent to multiplying by 4, and so on.
Ex: (A << 1) is 4.
|||6@@@>> (Right Shift)
Binary Right Shift Operator. The left operand's value is moved right by the number of bits specified by the right operand.
Ex: (A >> 1) is 1.
|||7@@@>>> (Right shift with Zero)
This operator is just like the >> operator, except that the bits shifted in on the left are always zero.
Ex: (A >>> 1) is 1.
&&&Sr.No.@@@Operator & Description|||1@@@= (Simple Assignment )
Assigns values from the right side operand to the left side operand
Ex: C = A + B will assign the value of A + B into C
|||2@@@+= (Add and Assignment)
It adds the right operand to the left operand and assigns the result to the left operand.
Ex: C += A is equivalent to C = C + A
|||3@@@−= (Subtract and Assignment)
It subtracts the right operand from the left operand and assigns the result to the left operand.
Ex: C -= A is equivalent to C = C - A
|||4@@@*= (Multiply and Assignment)
It multiplies the right operand with the left operand and assigns the result to the left operand.
Ex: C *= A is equivalent to C = C * A
|||5@@@/= (Divide and Assignment)
It divides the left operand with the right operand and assigns the result to the left operand.
Ex: C /= A is equivalent to C = C / A
|||6@@@%= (Modules and Assignment)
It takes modulus using two operands and assigns the result to the left operand.
Ex: C %= A is equivalent to C = C % A
&&&Sr.No.@@@Operator and Description|||1@@@? : (Conditional )
If Condition is true? Then value X : Otherwise value Y
",
