Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Swift Programming,Swift Tutorial,Swift Tutorial@@@Audience@@@Prerequisites|||Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Swift 4 is a new programming language developed by Apple Inc for iOS and OS X development. Swift 4 adopts the best of C and Objective-C, without the constraints of C compatibility. Swift 4 uses the same runtime as the existing Obj-C system on Mac OS and iOS, which enables Swift 4 programs to run on many existing iOS 6 and OS X 10.8 platforms.|||This tutorial is designed for software programmers who would like to learn the basics of Swift 4 programming language from scratch. This tutorial will give you enough understanding on Swift 4 programming language from where you can take yourself to higher levels of expertise.|||Before proceeding with this tutorial, you should have a basic understanding of Computer Programming terminologies and exposure to any programming language.",,,,
Learn Swift Programming,Swift - Overview,Swift - Overview|||Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Swift 4 is a new programming language developed by Apple Inc for iOS and OS X development. Swift 4 adopts the best of C and Objective-C, without the constraints of C compatibility.|||Swift 4 makes use of safe programming patterns.|||Swift 4 provides modern programming features.|||Swift 4 provides Objective-C like syntax.|||Swift 4 is a fantastic way to write iOS and OS X apps.|||Swift 4 provides seamless access to existing Cocoa frameworks.|||Swift 4 unifies the procedural and object-oriented portions of the language.|||Swift 4 does not need a separate library import to support functionalities like input/output or string handling.|||Swift 4 uses the same runtime as the existing Obj-C system on Mac OS and iOS, which enables Swift 4 programs to run on many existing iOS 6 and OS X 10.8 platforms.|||Swift 4 comes with playground feature where Swift 4 programmers can write their code and execute it to see the results immediately.|||The first public release of Swift was released in 2010. It took Chris Lattner almost 14 years to come up with the first official version, and later, it was supported by many other contributors. Swift 4 has been included in Xcode 6 beta.|||Swift designers took ideas from various other popular languages such as Objective-C, Rust, Haskell, Ruby, Python, C#, and CLU.",Swift 4 makes use of safe programming patterns.@@@Swift 4 provides modern programming features.@@@Swift 4 provides Objective-C like syntax.@@@Swift 4 is a fantastic way to write iOS and OS X apps.@@@Swift 4 provides seamless access to existing Cocoa frameworks.@@@Swift 4 unifies the procedural and object-oriented portions of the language.@@@Swift 4 does not need a separate library import to support functionalities like input/output or string handling.,,,
Learn Swift Programming,Swift - Environment,Swift - Environment|||Local Environment Setup@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Swift 4 provides a Playground platform for learning purpose and we are going to setup the same. You need xCode software to start your Swift 4 coding in Playground. Once you are comfortable with the concepts of Swift 4, you can use xCode IDE for iOS/OS x application development.|||To start with, we consider you already have an account at Apple Developer website. Once you are logged in, go to the following link −
Download for Apple Developers|||This will list down a number of software available as follows −|||Now select xCode and download it by clicking on the given link near to disc image. After downloading the dmg file, you can install it by simply double-clicking on it and following the given instructions. Finally, follow the given instructions and drop xCode icon into the Application folder.|||Now you have xCode installed on your machine. Next, open Xcode from the Application folder and proceed after accepting the terms and conditions. If everything is fine, you will get the following screen −|||Select Get started with a playground option and enter a name for playground and select iOS as platform. Finally, you will get the Playground window as follows −|||Following is the code taken from the default Swift 4 Playground Window.|||If you create the same program for OS X program, then it will include import Cocoa and
the program will look like as follows −|||When the above program gets loaded, it should display the following result in Playground result area (Right Hand Side).|||Congratulations, you have your Swift 4 programming environment ready and you can proceed with your learning vehicle ""Tutorials Point"".",,,,"import UIKitvar str = ""Hello, playground""|||import Cocoavar str = ""Hello, playground"""
Learn Swift Programming,Swift - Basic Syntax,Swift - Basic Syntax|||Import in Swift 4@@@Tokens in Swift 4@@@Comments@@@Semicolons@@@Identifiers@@@Keywords@@@Whitespaces@@@Literals@@@Printing in Swift@@@Useful Video Courses|||Keywords used in declarations@@@Keywords used in statements@@@Keywords used in expressions and types@@@Keywords used in particular contexts|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"We have already seen a piece of Swift 4 program while setting up the environment. Let's start once again with the following Hello, World! program created for OS X playground, which includes import Cocoa as shown below −|||If you create the same program for iOS playground, then it will include import UIKit and the program will look as follows −|||When we run the above program using an appropriate playground, we will get the following result −|||Let us now see the basic structure of a Swift 4 program, so that it will be easy for you to understand the basic building blocks of the Swift 4 programming language.|||You can use the import statement to import any Objective-C framework (or C library) directly into your Swift 4 program. For example, the above import cocoa statement makes all Cocoa libraries, APIs, and runtimes that form the development layer for all of OS X, available in Swift 4.|||Cocoa is implemented in Objective-C, which is a superset of C, so it is easy to mix C and even C++ into your Swift 4 applications.|||A Swift 4 program consists of various tokens and a token is either a keyword, an identifier, a constant, a string literal, or a symbol. For example, the following Swift 4 statement consists of three tokens −|||Comments are like helping texts in your Swift 4 program. They are ignored by the compiler. Multi-line comments start with /* and terminate with the characters */ as shown below −|||Multi-line comments can be nested in Swift 4. Following is a valid comment in Swift 4 −|||Single-line comments are written using // at the beginning of the comment.|||Swift 4 does not require you to type a semicolon (;) after each statement in your code, though it’s optional; and if you use a semicolon, then the compiler does not complain about it.|||However, if you are using multiple statements in the same line, then it is required to use a semicolon as a delimiter, otherwise the compiler will raise a syntax error. You can write the above Hello, World! program as follows −|||A Swift 4 identifier is a name used to identify a variable, function, or any other userdefined item. An identifier starts with an alphabet A to Z or a to z or an underscore _ followed by zero or more letters, underscores, and digits (0 to 9).|||Swift 4 does not allow special characters such as @, $, and % within identifiers. Swift 4 is a case sensitive programming language. Thus, Manpower and manpower are two different identifiers in Swift 4. Here are some examples of acceptable identifiers −|||To use a reserved word as an identifier, you will need to put a backtick (`) before and after it. For example, class is not a valid identifier, but `class` is valid.|||The following keywords are reserved in Swift 4. These reserved words may not be used as constants or variables or any other identifier names, unless they're escaped with backticks −|||A line containing only whitespace, possibly with a comment, is known as a blank line, and a Swift 4 compiler totally ignores it.|||Whitespace is the term used in Swift 4 to describe blanks, tabs, newline characters, and comments. Whitespaces separate one part of a statement from another and enable the compiler to identify where one element in a statement, such as int, ends and the next element begins. Therefore, in the following statement −|||There must be at least one whitespace character (usually a space) between var and age for the compiler to be able to distinguish them. On the other hand, in the following statement −|||No whitespace characters are necessary between fruit and =, or between = and apples, although you are free to include some for better readability.|||Space on both side of a operator should be equal, for eg.|||A literal is the source code representation of a value of an integer, floating-point number, or string type. The following are examples of literals −|||To print anything in swift we have ‘ print ‘ keyword.|||Print has three different properties.|||Items – Items to be printed|||Separator – separator between items|||Terminator – the value with which line should end, let’s see a example and syntax of same.|||In the above code first print statement adds \n , newline Feed as terminator by default, where as in second print statement we’ve given "" End "" as terminator, hence it’ll print ""End "" instead of \n.|||We can give our custom separator and terminators according to our requirement.",,,Class@@@deinit@@@Enum@@@extension|||Func@@@import@@@Init@@@internal|||Let@@@operator@@@private@@@protocol|||public@@@static@@@struct@@@subscript|||typealias@@@var@@@@@@&&&break@@@case@@@continue@@@default|||do@@@else@@@fallthrough@@@for|||if@@@in@@@return@@@switch|||where@@@while@@@@@@&&&as@@@dynamicType@@@false@@@is|||nil@@@self@@@Self@@@super|||true@@@_COLUMN_@@@_FILE_@@@_FUNCTION_|||_LINE_@@@@@@@@@&&&associativity@@@convenience@@@dynamic@@@didSet|||final@@@get@@@infix@@@inout|||lazy@@@left@@@mutating@@@none|||nonmutating@@@optional@@@override@@@postfix|||precedence@@@prefix@@@Protocol@@@required|||right@@@set@@@Type@@@unowned|||weak@@@willSet@@@@@@,"/* My first program in Swift 4 */var myString = ""Hello, World!""print(myString)|||import UIKitvar myString = ""Hello, World!""print(myString)|||/* My first program in Swift 4 */var myString = ""Hello, World!""; print(myString)"
Learn Swift Programming,Swift - Data Types,Swift - Data Types|||Built-in Data Types@@@Bound Values@@@Type Aliases@@@Type Safety@@@Type Inference@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"While doing programming in any programming language, you need to use different types of variables to store information. Variables are nothing but reserved memory locations to store values. This means that when you create a variable, you reserve some space in memory.|||You may like to store information of various data types like string, character, wide character, integer, floating point, Boolean, etc. Based on the data type of a variable, the operating system allocates memory and decides what can be stored in the reserved memory.|||Swift 4 offers the programmer a rich assortment of built-in as well as user-defined data types. The following types of basic data types are most frequently when declaring variables −|||Int or UInt − This is used for whole numbers. More specifically, you can use Int32, Int64 to define 32 or 64 bit signed integer, whereas UInt32 or UInt64 to define 32 or 64 bit unsigned integer variables. For example, 42 and -23.|||Float − This is used to represent a 32-bit floating-point number and numbers with smaller decimal points. For example, 3.14159, 0.1, and -273.158.|||Double − This is used to represent a 64-bit floating-point number and used when floating-point values must be very large. For example, 3.14159, 0.1, and -273.158.|||Bool − This represents a Boolean value which is either true or false.|||String − This is an ordered collection of characters. For example, ""Hello, World!""|||Character − This is a single-character string literal. For example, ""C""|||Optional − This represents a variable that can hold either a value or no value.|||Tuples − This is used to group multiple values in single Compound Value.|||We have listed here a few important points related to Integer types −|||On a 32-bit platform, Int is the same size as Int32.|||On a 64-bit platform, Int is the same size as Int64.|||On a 32-bit platform, UInt is the same size as UInt32.|||On a 64-bit platform, UInt is the same size as UInt64.|||Int8, Int16, Int32, Int64 can be used to represent 8 Bit, 16 Bit, 32 Bit, and 64 Bit forms of signed integer.|||UInt8, UInt16, UInt32, and UInt64 can be used to represent 8 Bit, 16 Bit, 32 Bit and 64 Bit forms of unsigned integer.|||The following table shows the variable type, how much memory it takes to store the value in memory, and what is the maximum and minimum value which can be stored in such type of variables.|||You can create a new name for an existing type using typealias. Here is the simple syntax to define a new type using typealias −|||For example, the following line instructs the compiler that Feet is another name for Int −|||Now, the following declaration is perfectly legal and creates an integer variable called distance −|||When we run the above program using playground, we get the following result.|||Swift 4 is a type-safe language which means if a part of your code expects a String, you can't pass it an Int by mistake.|||As Swift 4 is type-safe, it performs type-checks when compiling your code and flags any mismatched types as errors.|||When we compile the above program, it produces the following compile time error.|||Type inference enables a compiler to deduce the type of a particular expression automatically when it compiles your code, simply by examining the values you provide. Swift 4 uses type inference to work out the appropriate type as follows.|||When we run the above program using playground, we get the following result −","Int or UInt − This is used for whole numbers. More specifically, you can use Int32, Int64 to define 32 or 64 bit signed integer, whereas UInt32 or UInt64 to define 32 or 64 bit unsigned integer variables. For example, 42 and -23.@@@Float − This is used to represent a 32-bit floating-point number and numbers with smaller decimal points. For example, 3.14159, 0.1, and -273.158.@@@Double − This is used to represent a 64-bit floating-point number and used when floating-point values must be very large. For example, 3.14159, 0.1, and -273.158.@@@Bool − This represents a Boolean value which is either true or false.@@@String − This is an ordered collection of characters. For example, ""Hello, World!""@@@Character − This is a single-character string literal. For example, ""C""@@@Optional − This represents a variable that can hold either a value or no value.@@@Tuples − This is used to group multiple values in single Compound Value.|||On a 32-bit platform, Int is the same size as Int32.@@@On a 64-bit platform, Int is the same size as Int64.@@@On a 32-bit platform, UInt is the same size as UInt32.@@@On a 64-bit platform, UInt is the same size as UInt64.@@@Int8, Int16, Int32, Int64 can be used to represent 8 Bit, 16 Bit, 32 Bit, and 64 Bit forms of signed integer.@@@UInt8, UInt16, UInt32, and UInt64 can be used to represent 8 Bit, 16 Bit, 32 Bit and 64 Bit forms of unsigned integer.",,Type@@@Typical Bit Width@@@Typical Range|||Int8@@@1byte@@@-127 to 127|||UInt8@@@1byte@@@0 to 255|||Int32@@@4bytes@@@-2147483648 to 2147483647|||UInt32@@@4bytes@@@0 to 4294967295|||Int64@@@8bytes@@@-9223372036854775808 to 9223372036854775807|||UInt64@@@8bytes@@@0 to 18446744073709551615|||Float@@@4bytes@@@1.2E-38 to 3.4E+38 (~6 digits)|||Double@@@8bytes@@@2.3E-308 to 1.7E+308 (~15 digits),"typealias Feet = Intvar distance: Feet = 100print(distance)|||var varA = 42varA = ""This is hello""print(varA)|||// varA is inferred to be of type Intvar varA = 42print(varA)// varB is inferred to be of type Doublevar varB = 3.14159print(varB)// varC is also inferred to be of type Doublevar varC = 3 + 0.14159print(varC)"
Learn Swift Programming,Swift - Variables,Swift - Variables|||Variable Declaration@@@Type Annotations@@@Naming Variables@@@Printing Variables@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"A variable provides us with named storage that our programs can manipulate. Each variable in Swift 4 has a specific type, which determines the size and layout of the variable's memory; the range of values that can be stored within that memory; and the set of operations that can be applied to the variable.|||Swift 4 supports the following basic types of variables −|||Int or UInt − This is used for whole numbers. More specifically, you can use Int32, Int64 to define 32 or 64 bit signed integer, whereas UInt32 or UInt64 to define 32 or 64 bit unsigned integer variables. For example, 42 and -23.|||Float − This is used to represent a 32-bit floating-point number. It is used to hold numbers with smaller decimal points. For example, 3.14159, 0.1, and -273.158.|||Double − This is used to represent a 64-bit floating-point number and used when floating-point values must be very large. For example 3.14159, 0.1, and -273.158.|||Bool − This represents a Boolean value which is either true or false.|||String − This is an ordered collection of characters. For example, ""Hello, World!""|||Character − This is a single-character string literal. For example, ""C""|||Swift 4 also allows to define various other types of variables, which we will cover in subsequent chapters, such as Optional, Array, Dictionaries, Structures, and Classes.|||The following section will cover how to declare and use various types of variables in Swift 4 programming.|||A variable declaration tells the compiler where and how much to create the storage for the variable. Before you use variables, you must declare them using var keyword as follows −|||The following example shows how to declare a variable in Swift 4 −|||When we run the above program using playground, we get the following result −|||You can provide a type annotation when you declare a variable, to be clear about the kind of values the variable can store. Here is the syntax −|||The following example shows how to declare a variable in Swift 4 using Annotation. Here it is important to note that if we are not using type annotation, then it becomes mandatory to provide an initial value for the variable, otherwise we can just declare our variable using type annotation.|||When we run the above program using playground, we get the following result −|||The name of a variable can be composed of letters, digits, and the underscore character. It must begin with either a letter or an underscore. Upper and lowercase letters are distinct because Swift 4 is a case-sensitive programming language.|||You can use simple or Unicode characters to name your variables. The following examples shows how you can name the variables −|||When we run the above program using playground, we get the following result.|||You can print the current value of a constant or variable with the print function. You can interpolate a variable value by wrapping the name in parentheses and escape it with a backslash before the opening parenthesis: Following are valid examples −|||When we run the above program using playground, we get the following result.","Int or UInt − This is used for whole numbers. More specifically, you can use Int32, Int64 to define 32 or 64 bit signed integer, whereas UInt32 or UInt64 to define 32 or 64 bit unsigned integer variables. For example, 42 and -23.@@@Float − This is used to represent a 32-bit floating-point number. It is used to hold numbers with smaller decimal points. For example, 3.14159, 0.1, and -273.158.@@@Double − This is used to represent a 64-bit floating-point number and used when floating-point values must be very large. For example 3.14159, 0.1, and -273.158.@@@Bool − This represents a Boolean value which is either true or false.@@@String − This is an ordered collection of characters. For example, ""Hello, World!""@@@Character − This is a single-character string literal. For example, ""C""",,,"var varA = 42print(varA)|||var varA = 42print(varA)var varB:FloatvarB = 3.14159print(varB)|||var _var = ""Hello, Swift 4!""print(_var)var 你好 = ""你好世界""print(你好)|||var varA = ""Godzilla""var varB = 1000.00print(""Value of \(varA) is more than \(varB) millions"")"
Learn Swift Programming,Swift - Optionals,Swift - Optionals|||Forced Unwrapping@@@Automatic Unwrapping@@@Optional Binding@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Swift 4 also introduces Optionals type, which handles the absence of a value. Optionals say either ""there is a value, and it equals x"" or ""there isn't a value at all"".|||An Optional is a type on its own, actually one of Swift 4’s new super-powered enums. It has two possible values, None and Some(T), where T is an associated value of the correct data type available in Swift 4.|||Here’s an optional Integer declaration −|||Here’s an optional String declaration −|||The above declaration is equivalent to explicitly initializing it to nil which means no value −|||Let's take the following example to understand how optionals work in Swift 4 −|||When we run the above program using playground, we get the following result −|||Optionals are similar to using nil with pointers in Objective-C, but they work for any type, not just classes.|||If you defined a variable as optional, then to get the value from this variable, you will have to unwrap it. This just means putting an exclamation mark at the end of the variable.|||Let's take a simple example −|||When we run the above program using playground, we get the following result −|||Now let's apply unwrapping to get the correct value of the variable −|||When we run the above program using playground, we get the following result.|||You can declare optional variables using exclamation mark instead of a question mark. Such optional variables will unwrap automatically and you do not need to use any further exclamation mark at the end of the variable to get the assigned value. Let's take a simple example −|||When we run the above program using playground, we get the following result −|||Use optional binding to find out whether an optional contains a value, and if so, to make that value available as a temporary constant or variable.|||An optional binding for the if statement is as follows −|||Let's take a simple example to understand the usage of optional binding −|||When we run the above program using playground, we get the following result −",,,,"var myString:String? = nilif myString != nil {   print(myString)} else {   print(""myString has nil value"")}|||var myString:String?myString = ""Hello, Swift 4!""if myString != nil {   print(myString)} else {   print(""myString has nil value"")}|||var myString:String?myString = ""Hello, Swift 4!""if myString != nil {   print( myString! )} else {   print(""myString has nil value"")}|||var myString:String!myString = ""Hello, Swift 4!""if myString != nil {   print(myString)} else {   print(""myString has nil value"")}|||if let constantName = someOptional {   statements}|||var myString:String?myString = ""Hello, Swift 4!""if let yourString = myString {   print(""Your string has - \(yourString)"")} else {   print(""Your string does not have a value"")}"
Learn Swift Programming,Swift - Tuples,Swift - Tuples|||Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Swift 4 also introduces Tuples type, which are used to group multiple values in a single compound Value.|||The values in a tuple can be of any type, and do not need to be of same type.|||For example, (""Tutorials Point"", 123) is a tuple with two values, one of string Type, and other is integer type. It is a legal command.|||let ImplementationError = (501, ""Not implemented"") is an error when something on the server is not implemented, It returns two values. Error Code, and Description.|||You can create tuples from as many values as you want and from any number of different data types.|||Here’s the syntax of Tuple declaration −|||Here’s a Tuple declaration −|||You can access the values of tuple using the index numbers that start from 0.|||Here’s an example of accessing tuple Values −|||You can name the variables of a tuple while declaring , and you can call them using their names|||Tuples are helpful in returning multiple values from a function. Like, a web application might return a tuple of type (""String"", Int) to show whether the loading was successful or failed.|||By returning different values in a tuple we can make decisions depending on different tuple types.|||Note − Tuples are useful for temporary values and are not suited for complex data.",,,,
Learn Swift Programming,Swift - Constants,Swift - Constants|||Constants Declaration@@@Type Annotations@@@Naming Constants@@@Printing Constants@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"Constants refer to fixed values that a program may not alter during its execution. Constants can be of any of the basic data types like an integer constant, a floating constant, a character constant, or a string literal. There are enumeration constants as well.|||Constants are treated just like regular variables except the fact that their values cannot be modified after their definition.|||Before you use constants, you must declare them using let keyword as follows −|||Following is a simple example to show how to declare a constant in Swift 4 −|||When we run the above program using playground, we get the following result −|||You can provide a type annotation when you declare a constant, to be clear about the kind of values the constant can store. Following is the syntax −|||The following example shows how to declare a constant in Swift 4 using Annotation. Here it is important to note that it is mandatory to provide an initial value while creating a constant −|||When we run the above program using playground, we get the following result.|||The name of a constant can be composed of letters, digits, and the underscore character. It must begin with either a letter or an underscore. Upper and lowercase letters are distinct because Swift 4 is a case-sensitive programming language.|||You can use simple or Unicode characters to name your variables. Following are valid examples −|||When we run the above program using playground, we get the following result −|||You can print the current value of a constant or variable using print function. You can interpolate a variable value by wrapping the name in parentheses and escape it with a backslash before the opening parenthesis: Following are valid examples −|||When we run the above program using playground, we get the following result −",,,,"let constA = 42print(constA)|||let constA = 42print(constA)let constB:Float = 3.14159print(constB)|||let _const = ""Hello, Swift 4!""print(_const)let 你好 = ""你好世界""print(你好)|||let constA = ""Godzilla""let constB = 1000.00print(""Value of \(constA) is more than \(constB) millions"")"
Learn Swift Programming,Swift - Literals,Swift - Literals|||Integer Literals@@@Floating-point Literals@@@String Literals@@@Boolean Literals@@@Useful Video Courses|||Swift 4 Online Training@@@Swift Basics: Learn to Code from Scratch [For Beginners]@@@How to create Tic-Tac-Toe Game for iPhone using Swift in Xcode - iOS App@@@Swift - The Ultimate Guide To Mac and iOS Development@@@iOS Native XCUITEST (UITest) automation using Swift & Xcode@@@Basic Swift Code for iOS Apps,"A literal is the source code representation of a value of an integer, floating-point number, or string type. The following are examples of literals −|||An integer literal can be a decimal, binary, octal, or hexadecimal constant. Binary literals begin with 0b, octal literals begin with 0o, and hexadecimal literals begin with 0x and nothing for decimal.|||Here are some examples of integer literals −|||A floating-point literal has an integer part, a decimal point, a fractional part, and an exponent part. You can represent floating point literals either in decimal form or hexadecimal form.|||Decimal floating-point literals consist of a sequence of decimal digits followed by either a decimal fraction, a decimal exponent, or both.|||Hexadecimal floating-point literals consist of a 0x prefix, followed by an optional hexadecimal fraction, followed by a hexadecimal exponent.|||Here are some examples of floating-point literals −|||A string literal is a sequence of characters surrounded by double quotes, with the following form −|||String literals cannot contain an unescaped double quote (""), an unescaped backslash (\), a carriage return, or a line feed. Special characters can be included in string literals using the following escape sequences −|||The following example shows how to use a few string literals −|||When we run the above program using playground, we get the following result −|||There are three Boolean literals and they are part of standard Swift 4 keywords −|||A value of true representing true.|||A value of false representing false.|||A value of nil representing no value.",A value of true representing true.@@@A value of false representing false.@@@A value of nil representing no value.,,"Escape sequence@@@Meaning|||\0@@@Null Character|||\\@@@\character|||\b@@@Backspace|||\f@@@Form feed|||\n@@@Newline|||\r@@@Carriage return|||\t@@@Horizontal tab|||\v@@@Vertical tab|||\'@@@Single Quote|||\""@@@Double Quote|||\000@@@Octal number of one to three digits|||\xhh...@@@Hexadecimal number of one or more digits","let stringL = ""Hello\tWorld\n\nHello\'Swift 4\'""print(stringL)"
