Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn Tcl/Tk,Tcl/Tk Tutorial,Tcl/Tk Tutorial@@@Audience@@@Prerequisites,"Tcl is a general purpose multi-paradigm system programming language. It is a scripting language that aims at providing the ability for applications to communicate with each other. On the other hand, Tk is a cross platform widget toolkit used for building GUI in many languages. This tutorial covers various topics ranging from the basics of the Tcl/Tk to its scope in various applications.|||This tutorial is designed for all those individuals who are looking for a starting point of learning Tcl/Tk. Therefore, we cover all those topics that are required for a beginner and an advanced user.|||Before proceeding with this tutorial, it is advisable for you to understand the basic concepts of computer programming. This tutorial is self-contained and you will be able to learn various concepts of Tcl/Tk even if you are a beginner. You just need to have a basic understanding of working with a simple text editor and command line.",,,,
Learn Tcl/Tk,Tcl - Overview,Tcl - Overview|||Features of Tcl@@@Applications,"Tcl is shortened form of Tool Command Language. John Ousterhout of the University of California, Berkeley, designed it. It is a combination of a scripting language and its own interpreter that gets embedded to the application, we develop with it.|||Tcl was developed initially for Unix. It was then ported to Windows, DOS, OS/2, and Mac OSX. Tcl is much similar to other unix shell languages like Bourne Shell (Sh), the C Shell (csh), the Korn Shell (sh), and Perl.|||It aims at providing ability for programs to interact with other programs and also for acting as an embeddable interpreter. Even though, the original aim was to enable programs to interact, you can find full-fledged applications written in Tcl/Tk.|||The features of Tcl are as follows −|||Reduced development time.|||Powerful and simple user interface kit with integration of TK.|||Write once, run anywhere. It runs on Windows, Mac OS X, and almost on every Unix platform.|||Quite easy to get started for experienced programmers; since, the language is so simple that they can learn Tcl in a few hours or days.|||You can easily extend existing applications with Tcl. Also, it is possible to include Tcl in C, C++, or Java to Tcl or vice versa.|||Have a powerful set of networking functions.|||Finally, it's an open source, free, and can be used for commercial applications without any limit.|||Tcl is a general-purpose language and you can find Tcl everywhere. It includes,","Reduced development time.@@@Powerful and simple user interface kit with integration of TK.@@@Write once, run anywhere. It runs on Windows, Mac OS X, and almost on every Unix platform.@@@Quite easy to get started for experienced programmers; since, the language is so simple that they can learn Tcl in a few hours or days.@@@You can easily extend existing applications with Tcl. Also, it is possible to include Tcl in C, C++, or Java to Tcl or vice versa.@@@Have a powerful set of networking functions.@@@Finally, it's an open source, free, and can be used for commercial applications without any limit.|||Scalable websites that are often backed by databases.@@@High performance web servers build with TclHttpd.@@@Tcl with CGI based websites.@@@Desktop GUI applications.@@@Embedded applications.",,,
Learn Tcl/Tk,Tcl - Environment Setup,Tcl - Environment Setup|||Local Environment Setup@@@Text Editor@@@The Tcl Interpreter@@@Installation on Windows@@@Installation on Linux@@@Installation on Debian based Systems@@@Installation on Mac OS X@@@Installation from Source Files,"If you are willing to set up your environment for Tcl, you need the following two software applications available on your computer −|||This will be used to type your program. Examples of a few text editors include Windows Notepad, OS Edit command, Brief, Epsilon, EMACS, and vim or vi.|||Name and version of a text editor can vary on different operating systems. For example, Notepad will be used on Windows, and vim or vi can be used on windows as well as Linux or UNIX.|||The files you create with your text editor are called source files and contain program source code. The source files for Tcl programs are named with the extension "".tcl"".|||Before starting your programming, make sure you have one text editor in place and you have enough experience to write a computer program, save it in a file, build it, and finally execute it.|||It is just a small program that enables you to type Tcl commands and have them executed line by line. It stops execution of a tcl file, in case, it encounters an error unlike a compiler that executes fully.|||Let's have a helloWorld.tcl file as follows. We will use this as a first program, we run on a platform you choose.|||Download the latest version for windows installer from the list of Active Tcl binaries available. The active Tcl community edition is free for personal use.|||Run the downloaded executable to install the Tcl, which can be done by following the on screen instructions.|||Now, we can build and run a Tcl file say helloWorld.tcl by switching to folder containing the file using 'cd' command and then execute the program using the following steps|||We can see the following output.|||C:\Tcl is the folder, I am using to save my samples. You can change it to the folder in which you have saved Tcl programs.|||Most of the Linux operating systems come with Tcl inbuilt and you can get started right away in those systems. In case, it's not available, you can use the following command to download and install Tcl-Tk.|||Now, we can build and run a Tcl file say helloWorld.tcl by switching to folder containing the file using 'cd' command and then execute the program using the following steps −|||We can see the following output −|||In case, it's not available in your OS, you can use the following command to download and install Tcl-Tk −|||Now, we can build and run a Tcl file say helloWorld.tcl by switching to folder containing the file using 'cd' command and then execute the program using the following steps −|||We can see the following output −|||Download the latest version for Mac OS X package from the list of Active Tcl binaries available. The active Tcl community edition is free for personal use.|||Run the downloaded executable to install the Active Tcl, which can be done by following the on screen instructions.|||Now, we can build and run a Tcl file say helloWorld.tcl by switching to folder containing the file using 'cd' and then execute the program using the following steps −|||We can see the following output −|||You can use the option of installing from source files when a binary package is not available. It is generally preferred to use Tcl binaries for Windows and Mac OS X, so only compilation of sources on unix based system is shown below.|||Download the source files.|||Now, use the following commands to extract, compile, and build after switching to the downloaded folder.|||Note − Make sure, you change the file name to the version you downloaded on commands 1 and 2 given above.","Text Editor@@@Tcl Interpreter.|||Download the source files.@@@Now, use the following commands to extract, compile, and build after switching to the downloaded folder.",,,"#!/usr/bin/tclshputs ""Hello World!"" |||$ tclsh helloWorld.tcl"
Learn Tcl/Tk,Tcl - Special Variables,Tcl - Special Variables|||Examples for using Tcl special variables|||Tcl version@@@Tcl Environment Path@@@Tcl Package Path@@@Tcl Library@@@Tcl Patch Level@@@Tcl Precision@@@Tcl Startup File,"In Tcl, we classify some of the variables as special variables and they have a predefined usage/functionality. The list of specials variables is listed below.|||argc|||Refers to a number of command-line arguments.|||argv|||Refers to the list containing the command-line arguments.|||argv0|||Refers to the file name of the file being interpreted or the name by which we invoke the script.|||env|||Used for representing the array of elements that are environmental variables.|||errorCode|||Provides the error code for last Tcl error.|||errorInfo|||Provides the stack trace for last Tcl error.|||tcl_interactive|||Used to switch between interactive and non-interactive modes by setting this to 1 and 0 respectively.|||tcl_library|||Used for setting the location of standard Tcl libraries.|||tcl_pkgPath|||Provides the list of directories where packages are generally installed.|||tcl_patchLevel|||Refers to the current patch level of the Tcl interpreter.|||tcl_platform|||Used for representing the array of elements with objects including byteOrder, machine, osVersion, platform, and os.|||tcl_precision|||Refers to the precision i.e. number of digits to retain when converting to floating-point numbers to strings. The default value is 12.|||tcl_prompt1|||Refers to the primary prompt.|||tcl_prompt2|||Refers to the secondary prompt with invalid commands.|||tcl_rcFileName|||Provides the user specific startup file.|||tcl_traceCompile|||Used for controlling the tracing of bytecode compilation. Use 0 for no output, 1 for summary, and 2 for detailed.|||tcl_traceExec|||Used for controlling the tracing of bytecode execution. Use 0 for no output, 1 for summary, and 2 for detailed.|||tcl_version|||Returns the current version of the Tcl interpreter.|||The above special variables have their special meanings for the Tcl interpreter.|||Let's see some examples for special variables.|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −|||When you run the program, you will get a similar output as shown below −",,,"Sr.No.@@@Special Variable & Description|||1@@@argc
Refers to a number of command-line arguments.|||2@@@argv
Refers to the list containing the command-line arguments.|||3@@@argv0
Refers to the file name of the file being interpreted or the name by which we invoke the script.|||4@@@env
Used for representing the array of elements that are environmental variables.|||5@@@errorCode
Provides the error code for last Tcl error.|||6@@@errorInfo
Provides the stack trace for last Tcl error.|||7@@@tcl_interactive
Used to switch between interactive and non-interactive modes by setting this to 1 and 0 respectively.|||8@@@tcl_library
Used for setting the location of standard Tcl libraries.|||9@@@tcl_pkgPath
Provides the list of directories where packages are generally installed.|||10@@@tcl_patchLevel
Refers to the current patch level of the Tcl interpreter.|||11@@@tcl_platform
Used for representing the array of elements with objects including byteOrder, machine, osVersion, platform, and os.|||12@@@tcl_precision
Refers to the precision i.e. number of digits to retain when converting to floating-point numbers to strings. The default value is 12.|||13@@@tcl_prompt1
Refers to the primary prompt.|||14@@@tcl_prompt2
Refers to the secondary prompt with invalid commands.|||15@@@tcl_rcFileName
Provides the user specific startup file.|||16@@@tcl_traceCompile
Used for controlling the tracing of bytecode compilation. Use 0 for no output, 1 for summary, and 2 for detailed.|||17@@@tcl_traceExec
Used for controlling the tracing of bytecode execution. Use 0 for no output, 1 for summary, and 2 for detailed.|||18@@@tcl_version
Returns the current version of the Tcl interpreter.",#!/usr/bin/tclshputs $tcl_version|||#!/usr/bin/tclshputs $env(PATH)|||#!/usr/bin/tclshputs $tcl_pkgPath|||#!/usr/bin/tclshputs $tcl_library|||#!/usr/bin/tclshputs $tcl_patchLevel|||#!/usr/bin/tclshputs $tcl_precision|||#!/usr/bin/tclshputs $tcl_rcFileName
Learn Tcl/Tk,Tcl - Basic Syntax,Tcl - Basic Syntax|||First Tcl Program@@@Comments@@@Identifiers@@@Whitespace in Tcl,"Tcl is quite simple to learn and let's start creating our first Tcl program!|||Let us write a simple Tcl program. All Tcl files will have an extension, i.e., .tcl. So, put the following source code in a test.tcl file.|||Assuming, Tcl environment is setup correctly; let's run the program after switching to file's directory and then execute the program using −|||We will get the following output −|||Let us now see the basic structure of Tcl program, so that it will be easy for you to understand basic building blocks of the Tcl language. In Tcl, we use new line or semicolon to terminate the previous line of code. But semicolon is not necessary, if you are using newline for each command.|||Comments are like helping text in your Tcl program and the interpreter ignores them. Comments can be written using a hash_(#) sign in the beginning.|||When the above code is executed, it produces the following result −|||Multiline or block comment is written using 'if' with condition '0'. An example is shown below.|||When the above code is executed, it produces the following result −|||Inline comments use ;#. An example is given below.|||When the above code is executed, it produces the following result −|||A Tcl identifier is a name used to identify a variable, function, or any other user-defined item. An identifier starts with a letter A to Z or a to z or an underscore (_) followed by zero or more letters, underscores, dollars ($) , and digits (0 to 9).|||Tcl does not allow punctuation characters such as @, and % within identifiers. Tcl is a case sensitive_ language. Thus Manpower and manpower are two different identifiers in Tcl. Here are some of the examples of acceptable identifiers −|||A line containing only whitespace, possibly with a comment, is known as a blank line, and a Tcl interpreter totally ignores it.|||Whitespace is the term used in Tcl to describe blanks, tabs, newline characters, and comments. Whitespace separates one part of a statement from another and enables the interpreter to identify where one element in a statement, such as puts, ends and the next element begins. Therefore, in the following statement −|||There must be at least one whitespace character (usually a space) between “puts” and ""Hello World!"" for the interpreter to be able to distinguish them. On the other hand, in the following statement −|||When the above code is executed, it produces the following result −|||No whitespace characters are necessary between 3 and +, or between + and 2; although, you are free to include some if you wish for the readability purpose.",,,,"#!/usr/bin/tclshputs ""Hello, World!"" |||#!/usr/bin/tclsh# my first program in Tclputs ""Hello World!"" |||#!/usr/bin/tclshif 0 {   my first program in Tcl program   Its very simple}puts ""Hello World!"" |||#!/usr/bin/tclshputs ""Hello World!"" ;# my first print in Tcl program|||#!/usr/bin/tclshputs ""Hello World!"" |||#!/usr/bin/tclshputs [expr 3 + 2] ;# print sum of the 3 and 2"
Learn Tcl/Tk,Tcl - Commands,Tcl - Commands|||Command Substitution@@@Variable Substitution@@@Backslash Substitution,"As you know, Tcl is a Tool command language, commands are the most vital part of the language. Tcl commands are built in-to the language with each having its own predefined function. These commands form the reserved words of the language and cannot be used for other variable naming. The advantage with these Tcl commands is that, you can define your own implementation for any of these commands to replace the original built-in functionality.|||Each of the Tcl commands validates the input and it reduces the work of the interpreter.|||Tcl command is actually a list of words, with the first word representing the command to be executed. The next words represent the arguments. In order to group the words into a single argument, we enclose multiple words with """" or {}.|||The syntax of Tcl command is as follows −|||Let's see a simple example of Tcl command −|||When the above code is executed, it produces the following result −|||In the above code, ‘puts’ is the Tcl command and ""Hello World"" is the argument1. As said before, we have used """" to group two words.|||Let's see another example of Tcl command with two arguments −|||When the above code is executed, it produces the following result −|||In the above code, ‘puts’ is the Tcl command, ‘stdout’ is argument1, and ""Hello World"" is argument2. Here, stdout makes the program to print in the standard output device.|||In command substitutions, square brackets are used to evaluate the scripts inside the square brackets. A simple example to add two numbers is shown below −|||When the above code is executed, it produces following result −|||In variable substitutions, $ is used before the variable name and this returns the contents of the variable. A simple example to set a value to a variable and print it is shown below.|||When the above code is executed, it produces the following result −|||These are commonly called escape sequences; with each backslash, followed by a letter having its own meaning. A simple example for newline substitution is shown below −|||When the above code is executed, it produces the following result −",,,,"commandName argument1 argument2 ... argumentN|||#!/usr/bin/tclshputs ""Hello, world!""|||#!/usr/bin/tclshputs stdout ""Hello, world!""|||#!/usr/bin/tclshputs [expr 1 + 6 + 9]|||#!/usr/bin/tclshset a 3puts $a|||#!/usr/bin/tclshputs ""Hello\nWorld"""
Learn Tcl/Tk,Tcl - Data Types,Tcl - Data Types|||Simple Tcl Objects@@@String Representations@@@List@@@Associative Array@@@Handles,"The primitive data-type of Tcl is string and often we can find quotes on Tcl as string only language. These primitive data-types in turn create composite data-types for list and associative array. In Tcl, data-types can represent not only the simple Tcl objects, but also can represent complex objects such as handles, graphic objects (mostly widgets), and I/O channels. Let's look into the details about each of the above.|||In Tcl, whether it is an integer number, boolean, floating point number, or a string. When you want to use a variable, you can directly assign a value to it, there is no step of declaration in Tcl. There can be internal representations for these different types of objects. It can transform one data-type to another when required. The syntax for assigning value to variable is as follows −|||When the above code is executed, it produces the following result −|||The above statement will create a variable name myVariable and stores it as a string even though, we have not used double quotations. Now, if we try to make an arithmetic on the variable, it is automatically turned to an integer. A simple example is shown below −|||When the above code is executed, it produces the following result −|||One important thing to note is that, these variables don't have any default values and must be assigned value before they are used.|||If we try to print using puts, the number is transformed into proper string. Having two representations, internal and external, help Tcl to create complex data structures easily compared to other languages. Also, Tcl is more efficient due to its dynamic object nature.|||Unlike other languages, in Tcl, you need not include double quotes when it's only a single word. An example can be −|||When the above code is executed, it produces the following result −|||When we want to represent multiple strings, we can use either double quotes or curly braces. It is shown below −|||When the above code is executed, it produces the following result −|||List is nothing but a group of elements. A group of words either using double quotes or curly braces can be used to represent a simple list. A simple list is shown below −|||When the above code is executed, it produces the following result −|||Associative arrays have an index (key) that is not necessarily an integer. It is generally a string that acts like key value pairs. A simple example is shown below −|||When the above code is executed, it produces the following result −|||Tcl handles are commonly used to represent files and graphics objects. These can include handles to network requests and also other channels like serial port communication, sockets, or I/O devices. The following is an example where a file handle is created.|||You will see more detail on files in the Tcl file I/O chapter.",,,,"#!/usr/bin/tclshset myVariable 18puts $myVariable|||#!/usr/bin/tclshset myVariable 18puts [expr $myVariable + 6 + 9]|||#!/usr/bin/tclshset myVariable helloputs $myVariable|||#!/usr/bin/tclshset myVariable ""hello world""puts $myVariableset myVariable {hello world}puts $myVariable|||#!/usr/bin/tclshset myVariable {red green blue}puts [lindex $myVariable 2]set myVariable ""red green blue""puts [lindex $myVariable 1]|||#!/usr/bin/tclshset  marks(english) 80puts $marks(english)set  marks(mathematics) 90puts $marks(mathematics)"
Learn Tcl/Tk,Tcl - Variables,Tcl - Variables|||Variable Naming@@@Dynamic Typing@@@Mathematical Expressions,"In Tcl, there is no concept of variable declaration. Once, a new variable name is encountered, Tcl will define a new variable.|||The name of variables can contain any characters and length. You can even have white spaces by enclosing the variable in curly braces, but it is not preferred.|||The set command is used for assigning value to a variable. The syntax for set command is,|||A few examples of variables are shown below −|||When the above code is executed, it produces the following result −|||As you can see in the above program, the $variableName is used to get the value of the variable.|||Tcl is a dynamically typed language. The value of the variable can be dynamically converted to the required type when required. For example, a number 5 that is stored as string will be converted to number when doing an arithmetic operation. It is shown below −|||When the above code is executed, it produces the following result −|||As you can see in the above example, expr is used for representing mathematical expression. The default precision of Tcl is 12 digits. In order to get floating point results, we should add at least a single decimal digit. A simple example explains the above.|||When the above code is executed, it produces the following result −|||In the above example, you can see three cases. In the first case, the dividend and the divisor are whole numbers and we get a whole number as result. In the second case, the divisor alone is a decimal number and in the third case, the dividend is a decimal number. In both second and third cases, we get a decimal number as result.|||In the above code, you can change the precision by using tcl_precision special variable. It is shown below −|||When the above code is executed, it produces the following result −",,,,"#!/usr/bin/tclshset variableA 10set {variable B} testputs $variableAputs ${variable B}|||#!/usr/bin/tclshset variableA ""10""puts $variableAset sum [expr $variableA +20];puts $sum|||#!/usr/bin/tclshset variableA ""10""set result [expr $variableA / 9];puts $resultset result [expr $variableA / 9.0];puts $resultset variableA ""10.0""set result [expr $variableA / 9];puts $result|||#!/usr/bin/tclshset variableA ""10""set tcl_precision 5set result [expr $variableA / 9.0];puts $result"
Learn Tcl/Tk,Tcl - Operators,Tcl - Operators|||Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Bitwise Operators@@@Ternary Operator@@@Operators Precedence in Tcl,"An operator is a symbol that tells the compiler to perform specific mathematical or logical manipulations. Tcl language is rich in built-in operators and provides the following types of operators −|||This chapter will explain the arithmetic, relational, logical, bitwise, and ternary operators one by one.|||Following table shows all the arithmetic operators supported by Tcl language. Assume variable ‘A’ holds 10 and variable ‘B’ holds 20, then −|||Show Examples|||Following table shows all the relational operators supported by Tcl language. Assume variable A holds 10 and variable B holds 20, then −|||Show Examples|||Following table shows all the logical operators supported by Tcl language. Assume variable A holds 1 and variable B holds 0, then −|||Show Examples|||Bitwise operator works on bits and perform bit-by-bit operation. The truth tables for &, |, and ^ are as follows −|||Assume if A = 60; and B = 13; now in binary format they will be as follows −|||A = 0011 1100|||B = 0000 1101|||----------------------|||A&B = 0000 1100|||A|B = 0011 1101|||A^B = 0011 0001|||The Bitwise operators supported by Tcl language are listed in the following table. Assume variable A holds 60 and variable B holds 13, then −|||Show Examples|||Show Examples|||Operator precedence determines the grouping of terms in an expression. This affects how an expression is evaluated. Certain operators have higher precedence than others; for example, the multiplication operator has higher precedence than the addition operator.|||For example : x = 7 + 3 * 2; here, x is assigned 13, not 20 because operator * has higher precedence than +, so it first gets multiplied with 3 * 2 and then adds into 7.|||Here, operators with the highest precedence appear at the top of the table, those with the lowest appear at the bottom. Within an expression, higher precedence operators will be evaluated first.|||Show Examples",Arithmetic Operators@@@Relational Operators@@@Logical Operators@@@Bitwise Operators@@@Ternary Operator,,"Operator@@@Description@@@Example|||+@@@Adds two operands@@@A + B will give 30|||-@@@Subtracts second operand from the first@@@A - B will give -10|||*@@@Multiplies both operands@@@A * B will give 200|||/@@@Divides numerator by de-numerator@@@B / A will give 2|||%@@@Modulus Operator and remainder of after an integer division@@@B % A will give 0&&&Operator@@@Description@@@Example|||==@@@Checks if the values of two operands are equal or not, if yes then condition becomes true.@@@(A == B) is not true.|||!=@@@Checks if the values of two operands are equal or not, if values are not equal then condition becomes true.@@@(A != B) is true.|||>@@@Checks if the value of left operand is greater than the value of right operand, if yes then condition becomes true.@@@(A > B) is not true.|||<@@@Checks if the value of left operand is less than the value of right operand, if yes then condition becomes true.@@@(A < B) is true.|||>=@@@Checks if the value of left operand is greater than or equal to the value of right operand, if yes then condition becomes true.@@@(A >= B) is not true.|||<=@@@Checks if the value of left operand is less than or equal to the value of right operand, if yes then condition becomes true.@@@(A <= B) is true.&&&Operator@@@Description@@@Example|||&&@@@Called Logical AND operator. If both the operands are non-zero, then condition becomes true.@@@(A && B) is false.|||||@@@Called Logical OR Operator. If any of the two operands is non-zero, then condition becomes true.@@@(A || B) is true.|||!@@@Called Logical NOT Operator. Use to reverses the logical state of its operand. If a condition is true then Logical NOT operator will make false.@@@!(A && B) is true.&&&p@@@q@@@p & q@@@p | q@@@p ^ q|||0@@@0@@@0@@@0@@@0|||0@@@1@@@0@@@1@@@1|||1@@@1@@@1@@@1@@@0|||1@@@0@@@0@@@1@@@1&&&Operator@@@Description@@@Example|||&@@@Binary AND Operator copies a bit to the result if it exists in both operands.@@@(A & B) will give 12, which is 0000 1100||||@@@Binary OR Operator copies a bit if it exists in either operand.@@@(A | B) will give 61, which is 0011 1101|||^@@@Binary XOR Operator copies the bit if it is set in one operand but not both.@@@(A ^ B) will give 49, which is 0011 0001|||<<@@@Binary Left Shift Operator. The left operands value is moved left by the number of bits specified by the right operand.@@@A << 2 will give 240, which is 1111 0000|||>>@@@Binary Right Shift Operator. The left operands value is moved right by the number of bits specified by the right operand.@@@A >> 2 will give 15, which is 0000 1111&&&Operator@@@Description@@@Example|||? :@@@Ternary@@@If Condition is true? Then value X : Otherwise value Y&&&Category@@@Operator@@@Associativity|||Unary@@@+ -@@@Right to left|||Multiplicative@@@* / %@@@Left to right|||Additive@@@+ -@@@Left to right|||Shift@@@<< >>@@@Left to right|||Relational@@@< <= > >=@@@Left to right|||Bitwise AND@@@&@@@Left to right|||Bitwise XOR@@@^@@@Left to right|||Bitwise OR@@@|@@@Left to right|||Logical AND@@@&&@@@Left to right|||Logical OR@@@||@@@Left to right|||Ternary@@@?:@@@Right to left",
Learn Tcl/Tk,Tcl - Decisions,Tcl - Decisions|||The ? : Operator,"Decision making structures require that the programmer specifies one or more conditions to be evaluated or tested by the program, along with a statement or statements to be executed if the condition is determined to be true, and optionally, other statements to be executed if the condition is determined to be false.|||Following is the general form of a typical decision making structure found in most of the programming languages −|||Tcl language uses the expr command internally and hence it’s not required for us to use expr statement explicitly.|||Tcl language provides following types of decision making statements −|||An 'if' statement consists of a Boolean expression followed by one or more statements.|||An 'if' statement can be followed by an optional 'else' statement, which executes when the Boolean expression is false.|||You can use one 'if' or 'else if' statement inside another 'if' or 'else if' statement(s).|||A switch statement allows a variable to be tested for equality against a list of values.|||You can use one switch statement inside another switch statement(s).|||We have covered conditional operator ? : in previous chapter, which can be used to replace if...else statements. It has the following general form −|||Where Exp1, Exp2, and Exp3 are expressions. Notice the use and placement of the colon.|||The value of a '? expression' is determined like this: Exp1 is evaluated. If it is true, then Exp2 is evaluated and becomes the value of the entire '? expression.' If Exp1 is false, then Exp3 is evaluated and its value becomes the value of the expression. An example is shown below.|||When you compile and execute the above program, it produces the following result −",,,"Sr.No.@@@Statement & Description|||1@@@if statement
An 'if' statement consists of a Boolean expression followed by one or more statements.|||2@@@if...else statement
An 'if' statement can be followed by an optional 'else' statement, which executes when the Boolean expression is false.|||3@@@nested if statements
You can use one 'if' or 'else if' statement inside another 'if' or 'else if' statement(s).|||4@@@switch statement
A switch statement allows a variable to be tested for equality against a list of values.|||5@@@nested switch statements
You can use one switch statement inside another switch statement(s).","#!/usr/bin/tclshset a 10;set b [expr $a == 1 ? 20: 30]puts ""Value of b is $b\n""set b [expr $a == 10 ? 20: 30]puts ""Value of b is $b\n"" "
