Course,Chapters,ALL Headings,Paragraphs,Unordered List Items,Ordered List Items,Tables,Code Examples
Learn WebAssembly,WebAssembly Tutorial,WebAssembly Tutorial@@@Audience@@@Prerequisites,"WebAssembly is a new programming language for the web. WebAssembly code is low level binary format, that is compatible with the web and can easily run in modern web browsers. The file size generated is small and it loads and executes faster. You can now compile languages like C, C++, Rust, etc. to binary format and it can run on the web just like javascript.|||This tutorial is designed for software programmers who want to learn the basics of WebAssembly and its programming concepts in simple and easy ways. It will give you enough understanding on various functionalities of Requests library with suitable examples.|||Before proceeding with this tutorial, you should have a basic understanding of Javascript, and any one of the high level language like C, C++, Rust and Go.",,,,
Learn WebAssembly,WebAssembly - Overview,WebAssembly - Overview|||Definition of WebAssembly@@@Goals of WebAssembly@@@Advantages of WebAssembly@@@Disadvantages of WebAssembly,"WebAssembly is a new computer programming language for the web. WebAssembly code is a low level binary format, that is compatible with the web and can easily run in modern web browsers. The file size generated is small and it loads and executes faster. You can now compile languages like C, C++, Rust, etc. to binary format and it can run on the web just like javascript.|||As per the official website of WebAssembly, which is available at https://webassembly.org/, it is defined as WebAssembly (abbreviated as Wasm) is a binary instruction format for a stack-based virtual machine. Wasm is designed as a portable target for compilation of high-level languages like C/C++/Rust, enabling deployment on the web for client and server applications.|||Web Assembly is not something that a developer will have to write, but the code is written in languages like C, C++, Rust and can be compiled to WebAssembly (wasm). The same code can be run inside the web browsers.|||Web Assembly is a new language, the code is low-level assembly language, but with its text format feature, the code is readable and debugging is possible, if necessary.|||The open standards for WebAssembly are developed in a W3C Community Group that includes representatives from all major browsers as well as a W3C Working Group.|||The main goals of WebAssembly are mentioned below −|||Faster, Efficient and Portable − WebAssembly code is meant to run faster on different platforms taking advantage of the hardware available.|||Easy to read and debug − WebAssembly, being a low level assembly language, has text format support, that allows you to debug the code for any issues and also to rewrite the code, if necessary.|||Security − WebAssembly is safe to run on the web browsers, as it takes care of permissions and same-origin policies.|||The following are the advantages of WebAssembly −|||Run is Modern Browsers − WebAssembly is able to execute without any issues on the modern web browsers which are available.|||Multiple Language support − Languages like C, C++, Rust, Go can now compile the code to WebAssembly and run the same in web browsers. So, the languages which were not able to run in a browser will now be able to do so.|||Faster, Efficient and Portable − Due to the small size of the code, it loads and executes faster.|||Easy to understand − Developers don’t have to do much stress in understanding WebAssembly coding, as they don’t have to write the code in WebAssembly. Instead compile the code in WebAssembly and execute the same on the web.|||Easy to Debug − Though the final code is in low level assembly language, you can also get it in text format, that is easy to read and debug.|||The following are the disadvantages of WebAssembly −|||WebAssembly is still being worked on and it is too early to decide the future of it.|||WebAssembly is dependent on javascript to interact with the Document Object Model (DOM).","Faster, Efficient and Portable − WebAssembly code is meant to run faster on different platforms taking advantage of the hardware available.@@@Easy to read and debug − WebAssembly, being a low level assembly language, has text format support, that allows you to debug the code for any issues and also to rewrite the code, if necessary.@@@Security − WebAssembly is safe to run on the web browsers, as it takes care of permissions and same-origin policies.|||Run is Modern Browsers − WebAssembly is able to execute without any issues on the modern web browsers which are available.@@@Multiple Language support − Languages like C, C++, Rust, Go can now compile the code to WebAssembly and run the same in web browsers. So, the languages which were not able to run in a browser will now be able to do so.@@@Faster, Efficient and Portable − Due to the small size of the code, it loads and executes faster.@@@Easy to understand − Developers don’t have to do much stress in understanding WebAssembly coding, as they don’t have to write the code in WebAssembly. Instead compile the code in WebAssembly and execute the same on the web.@@@Easy to Debug − Though the final code is in low level assembly language, you can also get it in text format, that is easy to read and debug.|||WebAssembly is still being worked on and it is too early to decide the future of it.@@@WebAssembly is dependent on javascript to interact with the Document Object Model (DOM).",,,
Learn WebAssembly,WebAssembly - Introduction,WebAssembly - Introduction|||Need for WebAssembly@@@Working of WebAssembly@@@Key Concepts of WebAssembly|||Module@@@Memory@@@Table@@@Instance,"WebAssembly is also called WASM which was first introduced in the year 2017. The big technology companies behind the origin of WebAssembly are Google, Apple, Microsoft, Mozilla and W3C.|||The buzz is that WebAssembly is going to replace Javascript because of its faster execution, but that is not the case. WebAssembly and Javascript are meant to work together towards solving the complex issues.|||So far, we have only Javascript that can work successfully inside the browser. There are very heavy tasks that are difficult to carry out in the browsers using javascript.|||To name a few they are Image recognition, Computer-Aided Design (CAD) applications, Live video augmentation, VR and augmented reality, Music applications, Scientific visualization and simulation, Games, Image / video editing etc.|||WebAssembly is a new language with binary instruction that can load and execute faster. The task stated above, can be easily done in high level languages like C, C++, Rust etc. We need a way that, the code we have in C, C++, Rust can be compiled and can use it in web browsers. The same is achievable using WebAssembly.|||When the WebAssembly code is loaded inside the browser. Then, the browser takes care of converting into machine format that can be understood by the processors.|||For javascript the code has to be downloaded, parsed and converted to machine format. A lot of time goes into it and for heavy tasks like, we mentioned earlier can be very slow.|||High level languages like C, C++ and Rust are compiled into binary format, that is, .wasm and text format .wat.|||The source code written in C, C++ and Rust is compiled to .wasm using a compiler. You can make use of the Emscripten SDK for compiling C/C++ to .wasm.|||The flow is as follows −|||C/C++ code can be compiled to .wasm using Emscripten SDK. Later, the .wasm code can be used with the help of javascript in your html file to display the output.|||The Key concepts are as explained below −|||A module is an object that is compiled by the browser to executable machine code. A module is said to be stateless and it can be shared between windows and web workers.|||Memory in WebAssembly, is an arraybuffer that holds the data. You can allocate memory by using the Javascript api WebAssembly.memory().|||Table in WebAssembly is a typed array that is, outside WebAssembly memory and mostly has a reference to functions. It stores the memory address of the functions.|||Instance is an object that will have, all the exported functions that can be called from javascript to execute inside the browser.",,,,
Learn WebAssembly,WebAssembly - WASM,WebAssembly - WASM|||Stack Machine Model,"WebAssembly is also called wasm, which is an improvement to Javascript. It is designed to run inside browsers just like javascript and also with nodejs. You happen to get wasm output, when any high level language like C, C++, Rust is compiled.|||Consider the following C program −|||Make use of WasmExplorer, which is available at https://mbebenita.github.io/WasmExplorer/ to get the compiled code as shown below −|||The WebAssembly text format for factorial program is as stated below −|||Using the Wat2Wasm tool, you can view the WASM code, just like how it is mentioned below −|||Developers are not supposed to write code in wasm or learn to code in it, as it is mostly generated when you compile high level languages.|||In WASM, all the instructions are pushed on to the stack. The arguments are popped and the result is pushed back to the stack.|||Consider the following WebAssembly Text format that adds 2 numbers −|||The name of the function is $add, it takes in 2 params $a and $b. The result is a type 32-bit integer. The local variables are accessed using get_local and the add operation is performed using i32.add.|||The stack representation to add 2 numbers while execution will be as follows −|||In step 1 − The execution of get_local $a instruction, the first parameters i.e., $a is pushed on the stack.|||In step 2 − During execution of get_local $b instruction, the second parameters i.e., $b is pushed on the stack.|||In step 3 − The execution of i32.add will pop the elements from the stack and will push the result back to the stack. The value that remains in the end inside the stack is the result of the function $add.",,,,"(module    (table 0 anyfunc)    (memory $0 1)    (export ""memory"" (memory $0)) (export ""factorial"" (func $factorial))    (func $factorial (; 0 ;) (param $0 i32) (result i32)      (local $1 i32)       (local $2 i32)       (block $label$0          (br_if $label$0             (i32.eqz                (get_local $0)             )         )         (set_local $2             (i32.const 1)          )          (loop $label$1             (set_local $2                (i32.mul                   (get_local $0) (get_local $2)                )             )             (set_local $0                (tee_local $1        (i32.add                   (get_local $0) (i32.const -1)                )                )             )             (br_if $label$1      (get_local $1)             )          )          (return             (get_local $2)         )       )       (i32.const 1)    ))|||(module   (func $add (param $a i32) (param $b i32) (result i32)       get_local $a       get_local $b       i32.add   )   (export ""add"" (func $add)))"
Learn WebAssembly,WebAssembly - Installation,WebAssembly - Installation|||Install Emscripten sdk,"In this chapter, will learn how to install Emscripten SDK to compile C/C++. Emscripten is a Low level virtual machine (LLVM) that takes bytecode generated from C/C++ and compiles it into JavaScript that can easily execute inside the browser.|||To compile C/C++ to WebAssembly, we need to first install Emscripten sdk.|||The steps to install Emscripten sdk are as follows −|||Step 1 − Clone the emsdk repo : git clone https://github.com/emscripten-core/emsdk.git.|||Step 2 − Enter inside the directory emsdk.|||Step 3 − For windows: Execute following command.|||For linux, this command will take some time to install the necessary tools like java, python etc. Follow the below mentioned code −|||Step 4 − To activate latest SDK execute following command in your terminal.|||For windows, execute the following command −|||For linux, execute the below mentioned command −|||Step 5 − To activate PATH and other environment variables run following command in your terminal.|||For windows, execute the command −|||For linux, execute the following command −|||We are done installing the emsdk and can now compile C or C++ code. The compiling of C/C++ will be done in the next chapters.|||To compile any C or C++ code following is the command −|||The output will give you a source.html file, source.js and source.wasm files. The js will have the api that will fetch the source.wasm and you can see the output, when you hit source.html in the browser.|||To just get the wasm file you can use following command. This command will give you only source.wasm file.",,,,
Learn WebAssembly,WebAssembly - Tools to Compile to WASM,WebAssembly - Tools to Compile to WASM|||WebAssembly.studio@@@WebAssembly Explorer@@@WASMFiddle@@@WASM to WAT@@@WAT to WASM,"This chapter will discuss some easy to use tools that are very helpful, while working with WebAssembly. Let us begin by learning about WebAssembly.studio tool.|||This tool allows you to compile C, Rust, Wat to Wasm etc.|||To start with you can click on Empty C Project, Empty Rust Project, Empty Wat Project to compile C and Rust to WASM. 5.|||It has Build, Run to build the code and check the output. The download button allows you to download .wasm file, that can be used to test inside browser. This tool is very helpful to compile C and Rust code and check the output.|||WebAssembly Explorer allows you to compile C and C++ code. Refer the link https://mbebenita.github.io/WasmExplorer/ for more details. The screen that will appear after clicking the link is shown below −|||You can choose the C and C++ version. The source code of C or C++ is written here −|||Once, you click on Compile button, it gives the WebAssembly text format (WAT) and Firefox x86 Assembly code in the blocks below −|||You can download the .wasm code to test it inside the browser.|||Wasmfiddle helps you to compile C code to WebAssembly and also test the output. After clicking on the link https://wasdk.github.io/WasmFiddle/, you will see the following page −|||Click on Build to compile the code. You can download the Wat and Wasm code by clicking on the Wat and Wasm. To test the output click on Run button.|||The tool wat2wasm will give you wasm code when you enter the WebAssembly text format. You can click on the link https://webassembly.github.io/wabt/demo/wat2wasm/ for demo and the screen that will appear is given below −|||You can make use of the upload button to upload .wasm and the textarea will display the text format.|||The tool wat2wasm will give you wasm code when you enter the WebAssembly text format. You can click on the link https://webassembly.github.io/wabt/demo/wat2wasm/ for demo and the screen that will appear is given below −|||This tool is very helpful, as it helps to get the output also tested. You can enter the WAT code and take a look at the .wasm code and also execute the code to see the output.",,,,
Learn WebAssembly,WebAssembly - Program Structure,WebAssembly - Program Structure|||Values@@@Types@@@Instructions|||Bytes@@@Integers@@@Floating Point@@@Names@@@Value Types@@@Result Types@@@Function Types@@@Limits@@@Memory Types@@@Table Types@@@Global Types@@@External Types@@@Numeric Instructions@@@Variable Instructions,"WebAssembly, also called WASM, is binary format low level code developed to be executed inside browsers in the most efficient way. WebAssembly code is structured with following concepts −|||Let us learn them in detail now.|||Values in WebAssembly are meant to store complex data such as text, strings and vectors. WebAssembly supports the following −|||Bytes is the simplest form of values supported in WebAssembly. The value is in hexadecimal format.|||Bytes represented as b, can also take natural numbers n, where n <256.|||In WebAssembly, integers supported are as given below −|||In WebAssembly floating point numbers supported are as follows −|||Names are sequence of character, with scalar values defined by Unicode, which is available at the link http://www.unicode.org/versions/Unicode12.1.0/ given herewith.|||The entities in WebAssembly are classified as types. The types supported are as stated below −|||Let us study them one by one.|||The values type supported by WebAssembly are as mentioned below −|||The values written inside brackets are executed and stored inside result types. The result type is the output of the execution of a block of code made up of values.|||A function type will take in vector of parameters returns a vector of results.|||Limits are the storage range linked with memory and table types.|||Memory types deal with linear memories and the size range.|||Table Types are classified by the element type assigned to it.|||Table type is dependent on the limit for the minimum and maximum size assigned to it.|||Global Type holds the global variables that have the value, that can change or remain the same.|||External Types deals with imports and external values.|||WebAssembly code is a sequence of instructions that follows a stack machine model. As WebAssembly follows a stack machine model, the instructions are pushed on the stack.|||The argument values for a function, for example, are popped from stack and the result is pushed back on the stack. In the end, there will be only one value in the stack and that is the result.|||Some of the commonly used Instructions are as follows −|||Numeric Instructions are operations, which are performed on numeric value.|||Variable instructions are about accessing the local and global variables.|||For example|||To access local variables −|||To set local variables −|||To access global variables −|||To set global variables −",Values@@@Types@@@Instructions|||Bytes@@@Integers@@@Floating point@@@Names|||i32: 32-bit integer@@@i64: 64-bit integer|||f32: 32-bit floating point@@@f64: 64-bit floating point|||Value Types@@@Result Types@@@Function Types@@@Limits@@@Memory Types@@@Table Types@@@Global Types@@@External Types|||i32: 32-bit integer@@@i64: 64-bit integer@@@f32: 32-bit floating point@@@f64: 64-bit floating point|||Numeric Instructions@@@Variable Instructions,,,
Learn WebAssembly,WebAssembly - JavaScript,WebAssembly - JavaScript,"This chapter will list out the comparison between WebAssembly and Javascript.|||Javascript is a language, that we have used a lot inside the browser. Now, with WebAssembly release, we can also use WebAssembly inside the browser.|||The reason for WebAssembly to come into existence is not to replace javascript, but to take care of certain things, that are difficult to handle with javascript.|||For example|||It is difficult to get the tasks such as Image recognition, CAD applications, Live video augmentation, VR and augmented reality, Music applications, Scientific visualization and simulation, Games, Image / video editing etc. to be done with javascript.|||Using high level languages like C/C++, Rust, which now can be compiled to WebAssembly, it is easy to get the task mentioned above to be done. WebAssembly generates a binary code that is easy to execute inside the browser.|||So here, is the list of comparison done between Javascript and WebAssembly.|||Coding|||You can easily write code in Javascript. The code written is human readable and saved as .js. When used inside the browser you need to use a <script> tag.|||The code can be written in text format in WebAssembly and it is saved as .wat. It is difficult to write the code in .wat format. It is best to compile the code from some other high level language instead of writing from start in .wat.|||You cannot execute the .wat file inside the browser and has to convert to .wasm using the compilers or online tools available.|||Execution|||The code written in javascript when used inside the browser has to be downloaded, parsed, compiled and optimized.|||We have WebAssembly code in .wasm already compiled and in binary format.|||Memory Management|||Javascript assigns memory when, variables are created and the memory is released when not used and are added to garbage collection.|||Memory in WebAssembly is an arraybuffer that holds the data. You can allocate memory by using the Javascript API WebAssembly.memory().|||WebAssembly memory is stored in an array format i.e. a flat memory model that is easy to understand and perform the execution.|||The disadvantage of memory model in WebAssembly is −|||Complex calculation takes time.|||Webassembly does not support garbage collection that does not allow reuse of the memory and the memory is wasted.|||Load Time & Performance|||In case of javascript, when called inside the browser, the javascript file has to be downloaded, and parsed. Later, the parser converts the source code to bytecode that the javascript engine executes the code in the browser.|||The Javascript engine is very powerful and hence, the load time and performance of javascript is very fast in comparison to WebAssembly.|||A most important goal of WebAssembly is to be faster than JavaScript.Wasm code generated from high-level languages is smaller in size and hence, the load time is faster.|||But, languages like GO, when compiled to wasm produce a big file size for a small piece of code.|||WebAssembly is designed in such a way that it is faster in compilation, and can run across all the major browsers. WebAssembly still has to add lots of improvements in terms of performance in comparison to javascript.|||Debugging|||Javascript is human-readable and can be debugged easily. Adding breakpoints to your javascript code inside the browser allows you to easily debug the code.|||WebAssembly provides the code in text format, that is readable but, still very difficult to debug. Firefox does allow you to view the wasm code in .wat format inside the browser.|||You cannot add breakpoints in .wat and that is something that will be available in the future.|||Browser Support|||Javascript works well in all browsers.|||All major web browsers have support for WebAssembly.",Complex calculation takes time.@@@Webassembly does not support garbage collection that does not allow reuse of the memory and the memory is wasted.,,"Parameters@@@Javascript@@@WebAssembly|||Coding@@@You can easily write code in Javascript. The code written is human readable and saved as .js. When used inside the browser you need to use a <script> tag.@@@The code can be written in text format in WebAssembly and it is saved as .wat. It is difficult to write the code in .wat format. It is best to compile the code from some other high level language instead of writing from start in .wat.
You cannot execute the .wat file inside the browser and has to convert to .wasm using the compilers or online tools available.|||Execution@@@The code written in javascript when used inside the browser has to be downloaded, parsed, compiled and optimized.@@@We have WebAssembly code in .wasm already compiled and in binary format.|||Memory Management@@@Javascript assigns memory when, variables are created and the memory is released when not used and are added to garbage collection.@@@
Memory in WebAssembly is an arraybuffer that holds the data. You can allocate memory by using the Javascript API WebAssembly.memory().
WebAssembly memory is stored in an array format i.e. a flat memory model that is easy to understand and perform the execution.
The disadvantage of memory model in WebAssembly is −

Complex calculation takes time.
Webassembly does not support garbage collection that does not allow reuse of the memory and the memory is wasted.

|||Load Time & Performance@@@
In case of javascript, when called inside the browser, the javascript file has to be downloaded, and parsed. Later, the parser converts the source code to bytecode that the javascript engine executes the code in the browser.
The Javascript engine is very powerful and hence, the load time and performance of javascript is very fast in comparison to WebAssembly.
@@@A most important goal of WebAssembly is to be faster than JavaScript.Wasm code generated from high-level languages is smaller in size and hence, the load time is faster.
But, languages like GO, when compiled to wasm produce a big file size for a small piece of code.
WebAssembly is designed in such a way that it is faster in compilation, and can run across all the major browsers. WebAssembly still has to add lots of improvements in terms of performance in comparison to javascript.
|||Debugging@@@Javascript is human-readable and can be debugged easily. Adding breakpoints to your javascript code inside the browser allows you to easily debug the code.@@@
WebAssembly provides the code in text format, that is readable but, still very difficult to debug. Firefox does allow you to view the wasm code in .wat format inside the browser.
You cannot add breakpoints in .wat and that is something that will be available in the future.
|||Browser Support@@@Javascript works well in all browsers.@@@All major web browsers have support for WebAssembly.",
Learn WebAssembly,WebAssembly - JavaScript API,WebAssembly - JavaScript API|||fetch() Browser API@@@WebAssembly.compile()@@@WebAssembly.instance@@@WebAssembly.instantiate@@@WebAssembly.instantiateStreaming|||Syntax@@@Parameters@@@Return value@@@Example@@@Output@@@Syntax@@@Return value@@@Example@@@Output@@@Syntax@@@Parameters@@@Return value@@@Example@@@Output@@@Syntax@@@Parameters@@@Return Value@@@Example,"In this chapter, we will understand how to load the wasm code and execute them in the browser using the help of javascript webassembly API.|||Here are some important API's, we are going to make use throughout the tutorial to execute wasm code.|||Before we discuss the WebAssembly javascript API's, to test the API and the output we are going to use the following C program and the .wasm code generated from the c program using wasm explorer.|||An example for C Program is as follows −|||We will make use of WASM explorer, to get the wasm code −|||Download WASM code and use it to test the API's.|||fetch() API is meant to load .wasm network resource.|||It returns a promise as shown below −|||You can also make use of XMLHttpRequest method to fetch the wasm network resource.|||The api responsibility is to compile the module details that are fetched from .wasm.|||The syntax is as given below −|||Buffer − This code from .wasm has to be converted to a typed array or arraybuffer, before giving as input to compile.|||It will return a promise that will have the compiled module.|||Let us see one example, that gives the output as a compiled module using webAssembly.compile().|||The console.log, when checked in the browser, will give you the compiled module details −|||The module has a constructor object with imports, exports, and customSections. Let us see the next API, to get more details of the compiled module.|||Using the WebAssembly.instance, API will give you the executable instance of the compiled module that can be further executed to get the output.|||The syntax is as given below −|||The return value will be an object with the array of exports function that can be executed.|||The output will give us an array of exports function as shown below −|||You can see the square function, that we got from the C code that is compiled.|||To execute the square function, you can do the following −|||The output will be −|||This API takes care of compiling and instantiating the module together.|||The syntax is as follows −|||arraybuffer − The code from .wasm has to be converted to typed array or arraybuffer before giving as input to instantiate.|||importObject − The import object has to have details of the memory, imported functions to be used inside the module. It can be an empty module object, in case, there is nothing to be shared.|||It will return a promise, that will have module and instance details.|||When you execute the code, you will get the below mentioned output.|||This API takes care of compiling as well as instantiating the WebAssembly module from the .wasm code given.|||The syntax is as given below −|||wasmcode − Response from fetch or any other API that gives the wasm code and returns a promise.|||importObject − The import object has to have details of the memory, imported functions to be used inside the module. It can be an empty module object in case there is nothing to be shared.|||It will return a promise, that will have module and instance details.|||An example is discussed below −|||When you test it in the browser, you will see an error −|||To make it work at your server end, you will have to add the mime type application/wasm or else make use of WebAssembly.instantiate(arraybuffer, importObject).",fetch() Browser API@@@WebAssembly.compile@@@WebAssembly.instance@@@WebAssembly.instantiate@@@WebAssembly.instantiateStreaming,,,"#include<stdio.h>int square(int n) {    return n*n; }|||<script>   var result = fetch(""findsquare.wasm"");   console.log(result);</script>|||<script>    fetch(""findsquare.wasm"") .then(bytes => bytes.arrayBuffer())    .then(mod => {      var compiledmod = WebAssembly.compile(mod);      compiledmod.then(test=> {         console.log(test);       })   })</script>|||<script>   fetch(""findsquare.wasm"")    .then(bytes => bytes.arrayBuffer())    .then(mod => WebAssembly.compile(mod))    .then(module => {       let instance = new WebAssembly.Instance(module);      console.log(instance.exports.square(15));   })</script>|||<script type=""text/javascript"">   const importObj = {      module: {}   };   fetch(""findsquare.wasm"")      .then(bytes => bytes.arrayBuffer())      .then(module => WebAssembly.instantiate(module, importObj))       .then(finalcode => {          console.log(finalcode); console.log(finalcode.instance.exports.square(25));       }); </script>|||<script type=""text/javascript"">        const importObj = {       module: {}    };   WebAssembly.instantiateStreaming(fetch(""findsquare.wasm""), importObj).then(obj => {      console.log(obj);    }); </script>"
Learn WebAssembly,WebAssembly - Debugging WASM in Firefox,WebAssembly - Debugging WASM in Firefox,"WebAssembly support is added to all the latest browsers available with you today like Chrome, Firefox. The Firefox version 54+ onwards gives you a special feature to debug your wasm code.|||To do that, execute your code inside Firefox browsers that call wasm. For example, consider following C code that finds the square of the number.|||An example for the C Program is as follows −|||We will make use of WASM explorer to get the wasm code −|||Download WASM code and use it to see the output in the browser.|||The html file that loads the wasm is as follows −|||Open your Firefox browser and load the above html file and open the debugger tool.|||You should see wasm:// entry in the debugger tool. Click on wasm:// and it shows the wasm code converted to .wat format as shown above.|||You can take a look at the code of the exported function and can debug the code, if any issue comes up. Firefox also intends to add breakpoints, so that you can debug the code and check the execution flow.",,,,"#include<stdio.h>int square(int n) {   return n*n;}|||!doctype html> <html>   <head>      <meta charset=""utf-8"">       <title>WebAssembly Square function</title>       <style>          div {             font-size : 30px; text-align : center; color:orange;          }       </style>    </head>    <body>       <div id=""textcontent""></div>       <script>          let square;          fetch(""findsquare.wasm"").then(bytes => bytes.arrayBuffer())             .then(mod => WebAssembly.compile(mod))             .then(module => {return new WebAssembly.Instance(module) })             .then(instance => {              square = instance.exports.square(13);            console.log(""The square of 13 = "" +square);                       document.getElementById(""textcontent"").innerHTML = ""The square of 13 = "" +square;          });       </script>    </body> </html>"
