Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Git Tutorial,Git HOME,https://www.w3schools.com/git/default.asp?remote={{remoteName}},"Git is a version control system.|||Git helps you keep track of code changes.|||Git is used to collaborate on code.|||In this tutorial, we will show you Git commands like this:|||For new users, using the terminal view can seem a bit complicated. Don't worry! We will keep it really simple, and learning this way gives you a good grasp of how Git works.|||In the code above, you can see commands (input) and output.|||Lines like this are commands we input:|||Lines like this are the output/response to our commands:|||In general, lines with $ in front of it is input. These are the commands you can copy and run in your terminal.|||Git and GitHub are different things.|||In this tutorial you will understand what Git is and how to use it on the remote repository platforms, like GitHub.|||You can choose, and change, which platform to focus on by clicking in the menu on the right:|||Insert the missing part of the command to check which version of Git (if any) is installed.|||Start the Exercise|||Test your Git skills with a quiz.|||Start Git Quiz",,,,,[]
Git Tutorial,Git Intro,https://www.w3schools.com/git/git_intro.asp?remote={{remoteName}},"Git is a popular version control system. It was created by Linus Torvalds in 2005, and has been maintained by Junio Hamano since then.|||It is used for:",What is Git?|||What does Git do?|||Working with Git|||Why Git?,"Tracking code changes@@@Tracking who made changes@@@Coding collaboration|||Manage projects with Repositories@@@Clone a project to work on a local copy@@@Control and track changes with Staging and Committing@@@Branch and Merge to allow for work on different parts and versions of a project@@@Pull the latest version of the project to a local copy@@@Push local updates to the main project|||Initialize Git on a folder, making it a Repository@@@Git now creates a hidden folder to keep track of changes in that folder@@@When a file is changed, added or deleted, it is considered modified@@@You select the modified files you want to Stage@@@The Staged files are Committed, which   prompts Git to store a permanent snapshot of the files@@@Git allows you to see the full history of every commit.@@@You can revert back to any previous commit.@@@Git does not store a separate copy of every file in every commit, but   keeps track of changes made in each commit!|||Over 70% of developers use Git!@@@Developers can work together from anywhere in the world.@@@Developers can see the full history of the project.@@@Developers can revert to earlier versions of a project.",,,[]
Git Tutorial,Git Get Started,https://www.w3schools.com/git/git_getstarted.asp?remote={{remoteName}},"You can download Git for free from the following website: https://www.git-scm.com/|||To start using Git, we are first going to open up our Command shell.|||For Windows, you can use Git bash, which comes included in Git for Windows. For Mac and Linux you can use the built-in terminal.|||The first thing we need to do, is to check if Git is properly installed:|||If Git is installed, it should show something like git version X.Y|||Now let Git know who you are. This is important for version control systems, as each Git commit uses this information:|||Change the user name and e-mail address to your own. You will probably also want to use this when registering to GitHub later on.|||Note: Use global to set the username and e-mail for every repository on your computer.|||If you want to set the username/e-mail for just the current repo, you can remove global|||Now, let's create a new folder for our project:|||mkdir makes a new directory.|||cd changes the current working directory.|||Now that we are in the correct directory. We can start by initializing Git!|||Note: If you already have a folder/directory you would   like to use for Git:|||Navigate to it in command line, or open it in your file explorer, right-click and select ""Git Bash here""|||Once you have navigated to the correct folder, you can initialize Git on that folder:|||You just created your first Git Repository!|||Note: Git now knows that it should watch the folder you   initiated it on.|||Git creates a hidden folder to keep track of changes.|||Insert the missing part of the command to check which version of Git (if any) is installed.|||Start the Exercise",,,,,[]
Git Tutorial,Git New Files,https://www.w3schools.com/git/git_new_files.asp?remote={{remoteName}},"You just created your first local Git repo. But it is empty.|||So let's add some files, or create a new file using your favourite text editor. Then save or move it to the folder you just created.|||If you want to learn how to create a new file using a text editor, you can visit our HTML tutorial:HTML Editors|||For this example, I am going to use a simple HTML file like this:|||And save it to our new folder as index.html.|||Let's go back to the terminal and list the files in our current working directory:|||ls will list the files in the directory. We can see that index.html is there.|||Then we check the Git status and see if it is a part of our repo:|||Now Git is aware of the file, but has not added it to our repository!|||Files in your Git repository folder can be in one of 2 states:||| When you first add files to an empty repository, they are all untracked. To get Git to track them, you need to stage them, or add them to the staging environment.|||We will cover the staging environment in the next chapter.|||Check the status of the Git:|||Start the Exercise",,"Tracked - files that Git knows about and are added to the repository@@@Untracked - files that are in your working directory, but not added to the   repository",,,[]
Git Tutorial,Git Staging Environment,https://www.w3schools.com/git/git_staging_environment.asp?remote={{remoteName}},"One of the core functions of Git is the concepts of the Staging Environment, and the Commit.|||As you are working, you may be adding, editing and removing files. But whenever you hit a milestone or finish a part of the work, you should add the files to a Staging Environment.|||Staged files are files that are ready to be committed to the repository you are working on. You will learn more about commit shortly.|||For now, we are done working with index.html. So we can add it to the Staging Environment:|||The file should be Staged. Let's check the status::|||Now the file has been added to the Staging Environment.|||You can also stage more than one file at a time. Let's add 2 more files to our working folder. Use the text editor again.|||A README.md file that describes the repository (recommended for all repositories):|||A basic external style sheet (bluestyle.css):|||And update index.html to include the stylesheet:|||Now add all files in the current directory to the Staging Environment:|||Using --all instead of individual filenames will stage all changes (new, modified, and deleted) files.|||Now all 3 files are added to the Staging Environment, and we are ready to do our first commit.|||Note: The shorthand command for   git add --all is git add -A|||Add index.html to the Stating Environment:|||Start the Exercise",,,,,[]
Git Tutorial,Git Commit,https://www.w3schools.com/git/git_commit.asp?remote={{remoteName}},"Since we have finished our work,  we are ready move from stage to commit for our repo.|||Adding commits keep track of our progress and changes as we work. Git considers each commit change point or ""save point"". It is a point in the project you can go back to if you find a bug, or want to make a change.|||When we commit, we should always include a message.|||By adding clear messages to each commit, it is easy for yourself (and others) to see what has changed and when.|||The commit  command performs a commit, and the -m ""message"" adds a message.|||The Staging Environment has been committed to our repo, with the message:""First release of Hello World!""|||Sometimes, when you make small changes, using the staging environment seems like a waste of time. It is possible to commit changes directly, skipping the staging environment.The -a option will automatically stage every changed, already tracked file.|||Let's add a small update to index.html:|||And check the status of our repository. But this time, we will use the --short option to see the changes in a more compact way:|||Note: Short status flags are:|||We see the file we expected is modified. So let's commit it directly:|||Warning: Skipping the Staging Environment is not generally recommended.|||Skipping the stage step can sometimes make you include unwanted changes.|||To view the history of commits for a repository, you can use the log command:|||Commit the changes to the current repository with the message ""First release!|||Start the Exercise",,?? - Untracked files@@@A - Files added to stage@@@M - Modified files@@@D - Deleted files,,,[]
Git Tutorial,Git Help,https://www.w3schools.com/git/git_help.asp?remote={{remoteName}},"If you are having trouble remembering commands or options for commands, you can use Git help.|||There are a couple of different ways you can use thehelp command in command line:||| Let's go over the different commands.|||Any time you need some help remembering the specific option for a command, you can use git command -help:|||Note: You can also use --help   instead of -help to open the relevant Git   manual page|||To list all possible commands, use the help --all command:|||Warning: This will display a very long list of commands|||Note: If you find yourself stuck in the list view, SHIFT + G to jump the end of the list, then q to exit the view.|||Show the possible options for the status command in command line:|||Start the Exercise",,git command -help -  See   all the available options for the specific command@@@git help --all -  See all possible   commands,,,[]
Git Tutorial,Git Branch,https://www.w3schools.com/git/git_branch.asp?remote={{remoteName}},"In Git, a branch is a new/separate version of the main repository.|||Let's say you have a large project, and you need to update the design on it.|||How would that work without and with Git:|||Without Git:|||With Git:|||Branches allow you to work on different parts of a project without impacting the main branch.|||When the work is complete, a branch can be merged with the main project.|||You can even switch between branches and work on different projects without them interfering with each other.|||Branching in Git is very lightweight and fast!|||Let add some new features to our index.html page.|||We are working in our local repository, and we do not want to disturb or possibly wreck the main project.|||So we create a new branch:|||Now we created a new branch called ""hello-world-images""|||Let's confirm that we have created a new branch:|||We can see the new branch with the name ""hello-world-images"", but the * beside master specifies that we are currently on that branch.|||checkout is the command used to check out a branch. Moving us from the current branch, to the one specified at the end of the command:|||Now we have moved our current workspace from the master branch, to the new   branch|||Open your favourite editor and make some changes.|||For this example, we added an image (img_hello_world.jpg) to the working folder and a line of code in the index.html file:|||We have made changes to a file and added a new file in the working directory (same directory as the mainbranch).|||Now check the status of the current branch:|||So let's go through what happens here:|||So we need to add both files to the Staging Environment for this branch:|||Using --all instead of individual filenames will Stage all changed (new, modified, and deleted) files.|||Check the status of the branch:|||We are happy with our changes. So we will commit them to the branch:|||Now we have a new branch, that is different from the master branch.|||Note: Using the -b option   on checkout will create a new branch, and move to it, if it does not exist|||Now let's see just how quick and easy it is to work with different branches, and how well it works.|||We are currently on the branch hello-world-images. We added an image to this branch, so let's list the files in the current directory:|||We can see the new file img_hello_world.jpg, and if we open the html file, we can see the code has been altered. All is as it should be.|||Now, let's see what happens when we change branch to master|||The new image is not a part of this branch. List the files in the current directory again:|||img_hello_world.jpg is no longer there! And if we open the html file, we can see the code reverted to what it was before the alteration.|||See how easy it is to work with branches? And how this allows you to work on different things?|||Now imagine that we are not yet done with hello-world-images, but we need to fix an error on master.|||I don't want to mess with master directly, and I do not want to mess with hello-world-images, since it is not done yet.|||So we create a new branch to deal with the emergency:|||Now we have created a new branch from master, and changed to it. We can safely fix the error without disturbing the other branches.|||Let's fix our imaginary error:|||We have made changes in this file, and we need to get those changes to the master branch.|||Check the status:|||stage the file, and commit:|||Now we have a fix ready for master, and we need to merge the two branches.|||Create a new branch called hello-world-images:|||Start the Exercise",,"Make copies of all the relevant files to avoid impacting the live version@@@Start working with the design and find that code depend on code in other   files, that also need to be changed!@@@Make copies of the dependant files as well. Making sure that every file   dependency references the correct file name@@@EMERGENCY! There is an unrelated error somewhere else in the project that   needs to be fixed ASAP!@@@Save all your files, making a note of the names of the copies you were   working on@@@Work on the unrelated error and update the code to fix it@@@Go back to the design, and finish the work there@@@Copy the code or rename the files, so the updated design is on the live   version@@@(2 weeks later, you realize that the unrelated error was not fixed in the   new design version because you copied the files before the fix)|||With a new branch called new-design, edit the code directly without   impacting the main branch@@@EMERGENCY! There is an unrelated error somewhere else in the project that   needs to be fixed ASAP!@@@Create a new branch from the main project called small-error-fix@@@Fix the unrelated error and merge the small-error-fix branch with the main   branch@@@You go back to the new-design branch, and finish the work there@@@Merge the new-design branch with main (getting alerted to the small error   fix that you were missing)|||There are changes to our index.html, but the file is not staged for   commit@@@img_hello_world.jpg is not   tracked",,,[]
Git Tutorial,Git Branch Merge,https://www.w3schools.com/git/git_branch_merge.asp?remote={{remoteName}},"We have the emergency fix ready, and so let's merge the master and emergency-fix branches.|||First, we need to change to the master branch:|||Now we merge the current branch (master) with emergency-fix:|||Since the emergency-fix branch came directly from master, and no other changes had been made to master while we were working, Git sees this as a continuation of master. So it can ""Fast-forward"", just pointing both master and emergency-fix to the same commit.|||As master and emergency-fix are essentially the same now, we can delete emergency-fix, as it is no longer needed:|||Now we can move over to hello-world-images and keep working. Add another image file (img_hello_git.jpg) and change index.html, so it shows it:|||Now, we are done with our work here and can stage and commit for this branch:|||We see that index.html has been changed in both branches. Now we are ready to merge hello-world-images into master. But what will happen to the changes we recently made in master?|||The merge failed, as there is conflict between the versions for index.html. Let us check the status:|||This confirms there is a conflict in index.html, but the image files are ready and stagedto be committed.|||So we need to fix that conflict. Open the file in our editor:|||We can see the differences between the versions and edit it like we want:|||Now we can stage index.html and check the status:|||The conflict has been fixed, and we can use commit to conclude the merge:|||And delete the hello-world-images branch:|||Now you have a better understanding of how branches and merging works. Time to start working with a remote repository!|||Merge the hello-you branch with the current branch:|||Start the Exercise",,,,,[]
Git and {{title}},{{title}} Get Started,https://www.w3schools.com/git/git_remote_getstarted.asp?remote={{remoteName}},,,,,,[]
