Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
AppML Tutorial,AppML HOME,https://www.w3schools.com/appml/default.asp,"AppML Brings Data to HTML|||""No Nonsense Web Applications""|||The Web is growing fast, and the amount of data in Cyberspace is growing even faster.|||Every day new information systems are developed, and every day new users are connected,and data can be accessed 24/7 from anywhere in the world.|||Faster and better software development methods are desperately needed.|||Along these lines, W3Schools has developed a very flexible technique for retrieving, displaying, and manipulate data,without the need for traditional programming.|||Cooperating with Jan Egil Refsnes, W3schools has developed a vocabulary for defining Web applications.The vocabulary is called AppML (Application Modeling Language).|||AppML uses the most up-to-date techniques and ideas of modern Web development with focus on:|||AppML supports the functions you find in other frameworks likeReact, Angular, and Vue, but AppML is much easier to use, and much easier to understand.|||AppML stands for Application Modeling Language.|||AppML is not a programming language. It is descriptive language (a language for describing applications).|||It is built around familiar Web application concepts like:|||AppML runs in any HTML page. No installation is required. |||AppML is a tool for bringing data to HTML applications:|||ObjectsJSON FilesText FilesXML FilesPHP/MySQL|||HTML is not very suitable for describing web applications.|||AppML is made for web applications:|||AppML is very easy to understand and extraordinarily quick to develop.|||This example shows how easy AppML can bring data to HTML: |||AppML is a tool for easy, rapid, and agile web application development.|||On today's market, there are many frameworks (tools or libraries) designed to extend HTML.|||Most of these frameworks manipulate HTML, CSS or JavaScript in a way that makes them difficult to use (especially when used in combination).|||AppML is different. You have full HTML, CSS, and JavaScript freedom.|||AppML makes it easy to create Single Page Applications (SPA) in a very clean and efficient way. |||Even if you have never worked with web development before, you will find AppML very easy to use.|||If you are an experienced web developer, you will soon discover the power of AppML.",,"Low Cost@@@Rapid and Agile Web Develoment@@@Optimized for Cloud Computing@@@High Speed and Low Bandwidth Consumption@@@MVC (Model Viev Controller) Architecture@@@Full Separation of Content from Presentation @@@Highly Scalable and Testable@@@Easy Configuration and Reconfiguration|||Forms@@@Lists@@@Reports@@@Filters@@@Functions@@@Databases|||From Objects@@@From JSON files@@@From Text files@@@From XML files@@@From databases|||AppML extends HTML with data attributes.@@@AppML adds controllers to HTML, to control the behavior of HTML data.",,,"[['\n<!DOCTYPE html>', '\n<html lang=""en-US"">', '\n<title>Customers</title>', '\n<link rel=""stylesheet"" href=""style.css"">', '\n<script src=""https://www.w3schools.com/appml/2.0.3/appml.js""></script>', '\n<body>', '\n<h1>Customers</h1>', '\n<table appml-data=""customers.js"">', '\n<tr>', '\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '\n</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>', '\n', '\n</body>', '\n</html>\n']]"
AppML Tutorial,AppML How To,https://www.w3schools.com/appml/appml_howto.asp,"How to build an AppML Application in 2 easy steps.|||The {{ }} brackets are placeholders for AppML data.|||Feel free to replace the CSS with your own favorite style sheet.|||Use AppML to add data to your page:|||<script src=""https://www.w3schools.com/appml/2.0.3/appml.js""> adds AppML to your page.|||appml-data=""customers.js"" connects AppML data (customers.js) to an HTML element (<table>).In this case we have used a JSON file:customers.jsappml-repeat=""records"" repeats an HTML element (<tr>) for each item (records) in a data object.The {{ }} brackets are placeholders for AppML data.❮ PreviousNext ❯|||In this case we have used a JSON file:customers.jsappml-repeat=""records"" repeats an HTML element (<tr>) for each item (records) in a data object.The {{ }} brackets are placeholders for AppML data.❮ PreviousNext ❯|||appml-repeat=""records"" repeats an HTML element (<tr>) for each item (records) in a data object.|||The {{ }} brackets are placeholders for AppML data.",,,,,"[['\n<!DOCTYPE html>', '\n    <html lang=""en-US"">', '<link rel=""stylesheet"" href=""style.css"">', '<title>Customers</title>', '\n <body>', '\n', '<h1>Customers</h1>', '\n<table>', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr>', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>', '\n', '</body>', '</html>', '\n'], ['\n    <!DOCTYPE html>', '<html lang=""en-US"">', '<title>Customers</title>', '\n    <link rel=""stylesheet"" href=""style.css"">', '\n', <strong>&lt;script src=""https://www.w3schools.com/appml/2.0.3/appml.js""&gt;&lt;/script&gt;</strong>, '\n    <body>', '<h1>Customers</h1>', '<table ', <strong>appml-data=""customers.js""</strong>, '>', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr ', <strong>appml-repeat=""records""</strong>, '>', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>', '\n', '</body>', '</html>']]"
AppML Tutorial,AppML Data,https://www.w3schools.com/appml/appml_data.asp,"The main purpose of AppML is to provide data to HTML pages.|||A common way to separate HTML and Data, is to store the data in a JavaScript object.|||Another common way to separate HTML and Data, is to store the data in a JSON file:|||With AppML, you can specify a JSON file as the data source in the appml-data attribute:|||With a little help from a web server, you can feed your application with SQL data.|||This example uses PHP to read data from a MySQL database:|||You are about to discover the power of AppML.|||AppML can provide you with data, controllers, and models for:|||You can put as many AppML applications as you like inside an HTML page.|||AppML does not interfere with other parts of the page.|||You have full HTML, CSS, and JavaScript freedom.|||AppML can be used to develop full scale CRUD web applications.|||CRUD: Create, Read, Update,Delete.||| To discover the power of AppML:View an AppML Demo.",Connecting AppML to Data,"AppML can display data from variables@@@AppML can display data from files@@@AppML can display data from databases|||Super-easy HTML Application Development@@@Super-easy Modeling, Prototyping, and Testing",,,"[['\n    <table appml-data=""', <strong>dataObj</strong>, '"">', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>', '\n', '<script>', 'var dataObj = {', '""records"":[', '\n    {""CustomerName"":""Alfreds Futterkiste"",""City"":""Berlin"",""Country"":""Germany""},', '\n    {""CustomerName"":""Ana Trujillo Emparedados y helados"",""City"":""México D.F."",""Country"":""Mexico""},', '\n    {""CustomerName"":""Antonio Moreno Taquería"",""City"":""México D.F."",""Country"":""Mexico""},', '\n    {""CustomerName"":""Around the Horn"",""City"":""London"",""Country"":""UK""},', '{""CustomerName"":""B\'s \n    Beverages"",""City"":""London"",""Country"":""UK""},', '{""CustomerName"":""Berglunds \n    snabbköp"",""City"":""Luleå"",""Country"":""Sweden""},', '{""CustomerName"":""Blauer See \n    Delikatessen"",""City"":""Mannheim"",""Country"":""Germany""},', '{""CustomerName"":""Blondel \n    père et fils"",""City"":""Strasbourg"",""Country"":""France""},', '{""CustomerName"":""Bólido \n    Comidas preparadas"",""City"":""Madrid"",""Country"":""Spain""},', '{""CustomerName"":""Bon \n    app\'"",""City"":""Marseille"",""Country"":""France""},', '{""CustomerName"":""Bottom-Dollar \n    Marketse"",""City"":""Tsawassen"",""Country"":""Canada""},', '{""CustomerName"":""Cactus \n    Comidas para llevar"",""City"":""Buenos Aires"",""Country"":""Argentina""},', '{""CustomerName"":""Centro \n    comercial Moctezuma"",""City"":""México D.F."",""Country"":""Mexico""},', '\n    {""CustomerName"":""Chop-suey Chinese"",""City"":""Bern"",""Country"":""Switzerland""},', '\n    {""CustomerName"":""Comércio Mineiro"",""City"":""São Paulo"",""Country"":""Brazil""}', ']};', '</script>', '\n'], ['\n    <table ', <strong>appml-data=""customers.js</strong>, '"">', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>\n'], ['\n<table appml-data=""', <strong>https://www.w3schools.com/appml/customers.php""</strong>, '>', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>']]"
AppML Tutorial,AppML Includes,https://www.w3schools.com/appml/appml_includes.asp,"With AppML, you can include HTML in HTML.|||A good example of this, is to include a standard HTML footer in all your HTML pages.|||This is an example of a file containing a standard footer:|||In this example the appml-include-html attribute is used to include the file ""inc_footer.htm"": ",,,,,"[['\n<hr style=""margin-top:10px;"">', '\n<p style=""font-size:11px"">2016&copy; W3Schools. All rights reserved.</p>', '\n<hr>'], ['\n<!DOCTYPE html>', '\n<html lang=""en-US"">', '\n', '\n<title>Customers</title>', '\n<link rel=""stylesheet"" href=""style.css"">', '\n<script src=""https://www.w3schools.com/appml/2.0.3/appml.js""></script>', '\n', '\n<body>', '\n', '\n<h1>Customers</h1>', '\n<table appml-data=""customers.js"">', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '\n</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>', '\n', '\n<div ', <strong>appml-include-html=""inc_footer.htm""</strong>, '></div>', '\n', '\n</body>', '\n</html>\n']]"
AppML Tutorial,AppML Controllers,https://www.w3schools.com/appml/appml_controllers.asp,"The purpose of an AppML controller, is to let you control your application.|||By default AppML applications run without a controller:|||With an AppML controller, you can control your application with JavaScript.|||The controller is a JavaScript function, provided by you.|||The appml-controller attribute is used to refer to a controller function.|||The controller (myController) in the example above, changes the value of ""CustomerName"" to uppercase, before it is displayed. |||If you have a controller, AppML will send the application object ($appml) to the controller, for every important action.|||One of the application properties is a message ($appml.message), describing the application state.|||Messages are explained in the next chapter.",What Can a Controller Do?|||Without a Controller,Set initial data@@@Change application data@@@Handle input and output@@@Validate data@@@Summarize data@@@Handle errors@@@Start and stop applications@@@And much more,,"ready|||Sent after AppML is initiated, and ready to load data.&&&loaded|||Sent after AppML is fully loaded, ready to display data.&&&display|||Sent before AppML displays a data item.&&&done|||Sent after AppML is done (finished displaying).&&&submit|||Sent before AppML submits data.&&&error|||Sent after AppML has encountered an error.","[['\n<table appml-data=""customers.js', <strong>""</strong>, '>', '\n<tr>', '\n\xa0 <th>Customer</th>', '\n\xa0 <th>City</th>', '\n\xa0 <th>Country</th>', '</tr>', '\n<tr appml-repeat=""records"">', '\n\xa0 <td>{{CustomerName}}</td>', '\n\xa0 <td>{{City}}</td>', '\n\xa0 <td>{{Country}}</td>', '\n</tr>', '\n</table>'], ['\n    <h1>Customers</h1>', '<table appml-data=""customers.js"" ', <strong>appml-controller=""myController</strong>, '"">', '\xa0 <tr>', '\xa0\xa0\xa0 \n    <th>Customer</th>', '\xa0\xa0\xa0 <th>City</th>', '\xa0\xa0\xa0 \n    <th>Country</th>', '\xa0 </tr>', '\xa0 <tr appml-repeat=""records"">', '\xa0\xa0\xa0 \n    <td>{{CustomerName}}</td>', '\xa0\xa0\xa0 <td>{{City}}</td>', '\xa0\xa0\xa0 \n    <td>{{Country}}</td>', '\xa0 </tr>', '</table>', '\n', '<script>', 'function myController($appml) {', '\xa0\xa0\xa0 \n    if ($appml.message == ""display"") {', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 if ($appml.display.name == ""CustomerName"") \n    {', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 $appml.display.value = $appml.display.value.toUpperCase();', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0 }', '\xa0\xa0\xa0 }', '}', '</script>']]"
AppML Tutorial,AppML Messages,https://www.w3schools.com/appml/appml_messages.asp,"When AppML is about to perform an action, it sends the application object ($appml) to the controller.|||One of the application object's properties is a message ($appml.message), describing the application state.|||Testing this message, enables you to add your own JavaScript code, depending on the action.|||This is a list of AppML messages that can be received:|||When an AppML application is ready to load data, it will send a ""ready"" message.|||This is the perfect place to provide the application with initial data (start values):|||In the example above, when the $appml.message is ""ready"", the controller adds two new properties to the application (today and copyright).|||When the application runs, the new properties are available to the application.|||When an AppML application is loaded with data (ready to display), it will send a ""loaded"" message.|||This is the perfect place to provide changes (if necessary) to  the loaded data.|||Each time AppML is displaying a data item, it will send a ""display"" message.|||This is the perfect place to modify the output:|||In the example above, ""CustomerName"" is truncated to 15 characters, and ""Country"" is converted to upper case.|||When an AppML application has finished displaying data, it will send a ""done"" message.|||This is the perfect place to clean up or calculate application data (after display).|||When an AppML application is ready to submit data, it will send a ""submit"" message.|||This is the perfect place to validate application input.|||If an error occurs, AppML will send an ""error"" message.|||This is the perfect place to handle errors.|||This is a list of some commonly used AppML properties:",,,,"""ready""|||Sent after AppML is initiated, and ready to load data.&&&""loaded""|||Sent after AppML is fully loaded, ready to display data.&&&""display""|||Sent before AppML displays a data item.&&&""done""|||Sent after AppML is done (finished displaying).&&&""submit""|||Sent before AppML submits data.&&&""error""|||Sent after AppML has encountered an error.$$$$appml.message|||The current state of the application.&&&$appml.display.name|||The name of the data field about to be displayed.&&&$appml.display.value|||The value of the data field about to be displayed.&&&$appml.error.number|||The error number.&&&$appml.error.description|||The error description.","[['\n    function myController($appml) {', '\xa0\xa0\xa0 if ($appml.message == ""ready"") {alert (""Hello \n    Application"");}', '\n    }'], ['\n    <div appml-controller=""myController"" appml-data=""customers.js"">', '<h1>Customers</h1>', '<p>{{today}}</p>', '<table>', '\xa0 <tr>', '\xa0\xa0\xa0 \n    <th>Customer</th>', '\xa0\xa0\xa0 <th>City</th>', '\xa0\xa0\xa0 \n    <th>Country</th>', '\xa0 </tr>', '\xa0 <tr appml-repeat=""records"">', '\xa0\xa0\xa0 \n    <td>{{CustomerName}}</td>', '\xa0\xa0\xa0 <td>{{City}}</td>', '\xa0\xa0\xa0 \n    <td>{{Country}}</td>', '\xa0 </tr>', '</table>', '\n    <p>Copyright {{copyright}}</p>', '</div>', '\n', '<script>', 'function myController($appml) {', <strong>    if ($appml.message == ""ready"") {<br/>
</strong>, '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n    $appml.today = new Date();', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n    $appml.copyright = ""W3Schools""', '\xa0\xa0\xa0 }', '}', '</script>'], ['\n    <div appml_app=""myController"" appml-data=""customers.js"">', '\n    <h1>Customers</h1>', '<table>', '\xa0 <tr>', '\xa0\xa0\xa0 \n    <th>Customer</th>', '\xa0\xa0\xa0 <th>City</th>', '\xa0\xa0\xa0 \n    <th>Country</th>', '\xa0 </tr>', '\xa0 <tr appml-repeat=""records"">', '\n    \xa0\xa0\xa0 \n    <td>{{CustomerName}}</td>', '\xa0\xa0\xa0 <td>{{City}}</td>', '\xa0\xa0\xa0 \n    <td>{{Country}}</td>', '\xa0 </tr>', '</table>', '</div>', '\n', '<script>', 'function myController($appml) {', '\xa0\xa0\xa0 if \n    ($appml.message == ""display"") {', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 if ($appml.display.name == \n    ""CustomerName"") {', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 $appml.display.value = $appml.display.value.substr(0,15);\n', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0 }', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0 if ($appml.display.name == ""Country"") {', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n    $appml.display.value = $appml.display.value.toUpperCase();', '\n    \xa0\xa0\xa0\xa0\xa0\xa0\xa0 }', '\xa0\xa0\xa0 }', '\n    }', '</script>'], ['\n    <script>', 'function myController($appml) {', <strong>    if ($appml.message == ""done"") {<br/>
</strong>, '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n    ', <em>calculate data here</em>, '\xa0\xa0\xa0 }', '}', '</script>'], ['\n    <script>', 'function myController($appml) {', <strong>    if ($appml.message == ""submit"") {<br/>
</strong>, '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n    ', <em>validate data here</em>, '\xa0\xa0\xa0 }', '}', '</script>'], ['\n    <script>', 'function myController($appml) {', <strong>    if ($appml.message == 
    ""error"") {<br/>
            
    alert ($appml.error.number + "" "" + $appml.error.description)<br/>    }<br/>
</strong>, '}', '</script>']]"
AppML Tutorial,AppML Models,https://www.w3schools.com/appml/appml_models.asp,"An AppML model describes an application.|||An AppML model is a JavaScript object (JSON) describing an application.|||This small model describes a full application for retrieving data from a database:|||With an AppML model you can:|||To allow users to filter data (search ,sort), you can add filter information to the model:|||To allow users to update data, you can add update information to the model:  |||The applications you have seen earlier in this tutorial, did not use any models.|||In later chapters, we will connect to databases, read, filter, and update data, as specified in a model.",,"Define connections to databases like MySQL, SQL Server, Access, and Oracle.@@@Define connections to data files like JSON, XML, and other text files.@@@Define SQL statements for retrieving data.@@@Define filter and sorting restrictions.@@@Define data types, data formats, and update restrictions.@@@Define application security, users, and user groups.",,,[]
AppML Tutorial,AppML API,https://www.w3schools.com/appml/appml_methods.asp,The AppML API defines the methods and properties of AppML|||With methods and properties you can:|||new AppML() creates a new AppML object.dataSource sets the data source of the AppML object.getData() gets the data.data.records contains the data records. |||You can loop the records and display the content in an HTML element:,,Create AppML applications@@@Feed applications with data@@@Fetch application data for use in your web page,,"new AppML()|||Creates a new AppML object&&&run()|||Runs an application object&&&appml(""name"")|||Returns the appml object with the specified name&&&displayMessage(text)|||Displays a specified message.&&&setError(no, description)|||Sets a specified error and error description.$$$&&&appName|||The application name (the container id)&&&container|||The application container element&&&controller|||The application controller&&&data|||The application data object&&&dataSource|||The application data source&&&message|||The application message$$$data.model|||The application data model&&&data.records|||The application data records",[]
AppML Cases,Case Intro,https://www.w3schools.com/appml/appml_cases.asp,"This case study demonstrates how to build Internet applications using AppML.|||In this case study, AppML runs both in the browser (appml.js) and on the server (appml.php).|||We will use a web server located at https://www.w3schools.com. |||All the files and databases are located on the server.|||Later in this tutorial you will learn how to simulate a web server in the browser.|||To demonstrate how to access text files, we have used files like this:|||To demonstrate how to access XML files, we have used a files like this:|||To demonstrate how to access JSON files, we have used files like this:|||Our test database contains several tables like this:",Part I: Accessing Internet Files|||Part II: Accessing Internet Databases,Accessing a TEXT file@@@Accessing an XML file@@@Accessing a JSON file|||Listing database data@@@Filtering database data@@@Editing database data,,"Around the Horn|||120 Hanover Sq.|||London|||UK&&&Berglunds snabbkjøp|||Berguvsvägen 8|||Luleå |||Sweden&&&Blauer See Delikatessen|||Forsterstr. 57|||Mannheim|||Germany&&&Blondel père et fils|||24, place Kléber|||Strasbourg|||France&&&Bólido Comidas preparadas|||C/ Araquil, 67|||Madrid|||Spain&&&Bottom-Dollar Markets|||23 Tsawassen Blvd.|||Tsawassen|||Canada$$$&&&Exotic Liquid|||49 Gilbert St.|||London|||UK&&&New Orleans Cajun Delights|||P.O. Box 78934|||New Orleans|||USA&&&Grandma Kelly's Homestead|||707 Oxford Rd.|||Ann Arbor|||USA&&&Tokyo Traders|||9-8 SekimaiMusashino-shi|||Tokyo|||Japan&&&Cooperativa de Quesos 'Las Cabras'|||Calle del Rosal 4|||Oviedo|||Spain&&&Mayumi's|||92 Setsuko Chuo-ku|||Osaka|||Japan&&&Pavlova, Ltd.|||74 Rose St. Moonie Ponds|||Melbourne|||Australia&&&Specialty Biscuits, Ltd.|||29 King's Way|||Manchester|||UK&&&PB Kn ckebr d AB|||Kaloadagatan 13|||G teborg|||Sweden&&&Refrescos Americanas LTDA|||Av. das Americanas 12.890|||S o Paulo|||Brazil$$$Chai|||10 boxes x 20 bags|||18|||39&&&Chang|||24 - 12 oz bottles|||19|||17&&&Aniseed Syrup|||12 - 550 ml bottles|||10|||13&&&Chai|||10 boxes x 20 bags|||18|||39&&&Chef Anton's Gumbo Mix|||36 boxes|||21|||0&&&Grandma's Boysenberry Spread|||12 - 8 oz jars|||25|||120&&&Uncle Bob's Organic Dried Pears|||12 - 1 lb pkgs.|||30|||15&&&Northwoods Cranberry Sauce|||12 - 12 oz jars|||40|||6&&&Mishi Kobe Niku|||18 - 500 g pkgs.|||97|||29&&&Ikura|||12 - 200 ml jars|||31|||31","[['\n    <?xml version=""1.0"" encoding=""ISO-8859-1""?>', '<CATALOG>', '<CD>', '\n    \xa0\n    <TITLE>Empire Burlesque</TITLE>', '\xa0 <ARTIST>Bob Dylan</ARTIST>', '\n    \xa0\n    <COUNTRY>USA</COUNTRY>', '\xa0 <COMPANY>Columbia</COMPANY>', '\n    \xa0\n    <PRICE>10.90</PRICE>', '\xa0 <PUBLISHED>1985</PUBLISHED>', '</CD>', '<CD>', '\n    \xa0\n    <TITLE>Hide your heart</TITLE>', '\xa0 <ARTIST>Bonnie Tyler</ARTIST>', '\n    \xa0\n    <COUNTRY>UK</COUNTRY>', '\xa0 <COMPANY>CBS Records</COMPANY>', '\n    \xa0\n    <PRICE>9.90</PRICE>', '\xa0 <PUBLISHED>1988</PUBLISHED>', '</CD>', '\n    .', '.\n']]"
AppML Cases,Case Text File,https://www.w3schools.com/appml/appml_case_txt.asp,This is the HTML source:|||This is the model used in the application:|||This is the comma separated text file: ,,,,,"[['\n    <!DOCTYPE html>', '<html lang=""en-US"">', '\n    <link rel=""stylesheet"" href=""https://www.w3schools.com/w3css/4/w3.css"">', '\n    <script src=""https://www.w3schools.com/appml/2.0.3/appml.js""></script>', '\n    <body>', '\n    <div class=""w3-container"" appml-data=""appml.php?model=model_cd_from_txt"">', '\n    <h1>CD Collection</h1>', '<h3>Extracted from a comma separated text \n    file</h3>', '<div \n    appml-include-html=""inc_listcommands_nofilter.htm""></div>', '\n    <table class=""w3-table-all"">', '\xa0 <tr>', '\xa0\xa0\xa0 <th>Title</th>', '\xa0\xa0\xa0 \n    <th>Artist</th>', '\xa0\xa0\xa0 <th>Price</th>', '\xa0 </tr>', '\xa0 <tr \n    appml-repeat=""records"">', '\xa0\xa0\xa0 <td>{{Title}}</td>', '\xa0\xa0\xa0 <td>{{Artist}}</td>', '\n    \xa0\xa0\xa0 <td>{{Price}}</td>', '\xa0 </tr>', '\n    </table>', '</div>', '</body>', '</html>']]"
