Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
ASP Tutorials,ASP HOME,https://www.w3schools.com/asp/default.asp,"ASP stands for Active Server Pages|||ASP is a development framework for building web pages.|||ASP supports many different development models:|||ASP and ASP.NET are server side technologies.|||Both technologies enable computer code to be executed by an Internet server.|||When a browser requests an ASP or ASP.NET file, the ASP engine reads the file, executes any code in the file, and returns the result to the browser.|||ASP (aka Classic ASP) was introduced in 1998 as Microsoft's first server side scripting language.|||Classic ASP pages have the file extension .asp and are normally written in VBScript.|||ASP.NET was released in 2002 as a successor to Classic ASP.|||ASP.NET pages have the extension .aspx and are normally written in C# (C sharp).|||ASP.NET 4.6 is the latest official version of ASP.NET.|||ASP.NET 5 was expected to be an important redesign of ASP.NET.|||However, the development of ASP.NET 5 was stopped in favor of ASP.NET Core. |||ASP.NET Web Pages is an SPA application model (Single Page Application).|||The SPA model is quite similar to PHP and Classic ASP.|||ASP.NET Web Pages is being merged into the new ASP.NET Core.|||ASP.NET MVC is an MVC application model (Model-View-Controller).|||ASP.NET MVC is being merged into the new ASP.NET Core.|||ASP.NET MVC is not covered in this tutorial.ASP.NET Web APIASP.NET API is an API application model (Application Programming Interface).ASP.NET API is being merged into the new ASP.NET Core.ASP.NET API is not covered in this tutorial.ASP.NET Web FormsASP.NET Web Forms is an event driven application model.ASP.NET Web Forms is not a part of the new ASP.NET Core.ASP.NET Web Forms is not covered in this tutorial.ASP.NET CoreASP.NET Core was released in 2016.ASP.NET Core merges ASP.NET MVC, ASP.NET Web API, and ASP.NET Web Pages into one application framework.ASP.NET Core is not covered in this tutorial.❮ HomeNext ❯|||ASP.NET API is an API application model (Application Programming Interface).|||ASP.NET API is being merged into the new ASP.NET Core.|||ASP.NET API is not covered in this tutorial.|||ASP.NET Web Forms is an event driven application model.|||ASP.NET Web Forms is not a part of the new ASP.NET Core.|||ASP.NET Web Forms is not covered in this tutorial.|||ASP.NET Core was released in 2016.|||ASP.NET Core merges ASP.NET MVC, ASP.NET Web API, and ASP.NET Web Pages into one application framework.|||ASP.NET Core is not covered in this tutorial.",,Classic ASP@@@ASP.NET Web Forms@@@ASP.NET MVC@@@ASP.NET Web Pages@@@ASP.NET API@@@ASP.NET Core,,,[]
WP Tutorial,WebPages Intro,https://www.w3schools.com/asp/webpages_intro.asp,"Our ""Run Example"" tool displays the ASP.NET code and the HTML output simultaneously.|||Click on the ""Run Example"" button to see how it works:|||Web Pages is one of many programming models for creating ASP.NET web sites and web applications.|||Web Pages provides an easy way to combine HTML, CSS, and server code: |||In addition, Web Pages applications are easily extendable with programmable helpers for databases, videos, graphics, social networking and more.|||If you are new to ASP.NET, Web Pages is a perfect place to start. |||In this Web Pages tutorial you will learn how to combine HTML, CSS, JavaScript and server code, using server code written in VB or C# .|||You will also learn how to extend your web pages with programmable Web Helpers. |||Learn by examples!|||Because ASP.NET code is executed on the server, youcannot view the code in your browser. You will only see the output as plain HTML. |||At W3Schools every example displays the hidden ASP.NET code. Thismakes it easier for you to understand how it works.||| Web Pages Examples|||At the end of this tutorial you will find a complete set of ASP.NET references with objects, components, properties and methods.||| Web Pages References","Easy Learning with ""Run Example""","Easy to learn, understand, and use@@@Uses an SPA application model (Single Page Application)@@@Similar to PHP and Classic ASP@@@VB (Visual Basic) or C# (C sharp) scripting languages ",,,"[['\n<html>', '\n<body>', '\n\xa0\xa0\xa0\xa0\xa0<h1>Hello Web Pages</h1>', '\n\xa0\xa0\xa0\xa0\xa0<p>The time is ', <span class=""marked"">@DateTime.Now</span>, '</p>', '\n</body>', '\n</html>']]"
WP Tutorial,WebPages Razor,https://www.w3schools.com/asp/webpages_razor.asp,"ASP.NET Web Pages use Razor markup with C# or VB code|||Razor is a simple markup syntax for embedding server code (C# or VB) into ASP.NET web pages.|||The page above contains both ordinary HTML markup and Razor markup.|||If you want to learn more about Razor, and the C# and Visual Basic programming languages:|||Go to the Razor section of this tutorial. ",Razor Syntax for C#|||Razor Syntax for VB,"C# code blocks are enclosed in @{ ... }@@@Inline expressions (variables or functions) start with @@@@Code statements end with semicolon@@@Variables are declared with the var keyword, or the datatype (int, string,   etc.) @@@Strings are enclosed with quotation marks@@@C# code is case sensitive@@@C# files have the extension .cshtml|||VB code blocks are enclosed in @Code ... End Code@@@Inline expressions (variables or functions) start with @@@@Variables are declared with the Dim keyword@@@Strings are enclosed with quotation marks@@@VB code is not case sensitive@@@VB files have the extension .vbhtml",,,"[['\n<!DOCTYPE html>', '\n', '\n<html lang=""en"">', '\n<head>', '\n\xa0\xa0\xa0\xa0\xa0<meta charset=""utf-8"" />', '\n\xa0\xa0\xa0\xa0\xa0<title>Web Pages Demo</title>', '\n</head>', '\n<body>', '\n\xa0\xa0\xa0\xa0\xa0<h1>Hello Web Pages</h1> ', '\n\xa0\xa0\xa0\xa0\xa0<p>The time is ', <span class=""marked"">@DateTime.Now</span>, '</p>', '\n</body>', '\n</html>\n'], ['\n<!-- Single statement block -->', '\n', <span class=""marked"">@{ var myMessage =    ""Hello World""; }</span>, '\n<!-- Inline expression or variable -->', '\n<p>The value of myMessage is: ', <span class=""marked"">@myMessage</span>, '</p> ', '\n<!--    Multi-statement block -->', '\n', <span class=""marked"">@{<br/>
var greeting = ""Welcome to our site!"";<br/>
var weekDay = DateTime.Now.DayOfWeek;<br/>
var greetingMessage = greeting + "" Today is: "" + weekDay;<br/>
}</span>, '<p>The greeting is: ', <span class=""marked"">@greetingMessage</span>, '</p>\n'], ['\n<!-- Single statement block \xa0-->\xa0', '\n', <span class=""marked"">@Code dim myMessage = ""Hello World"" End Code</span>, '\n\xa0', '\n<!-- Inline expression or variable -->\xa0', '\n<p>The value of myMessage is: ', <span class=""marked"">@myMessage</span>, '</p>\xa0', '\n\xa0', '\n<!-- Multi-statement block -->\xa0', '\n', <span class=""marked"">@Code<br/>
dim greeting = ""Welcome to our site!"" <br/>
dim weekDay = DateTime.Now.DayOfWeek <br/>
dim greetingMessage = greeting &amp; "" Today is: "" &amp; weekDay<br/>
End Code</span>, '\n', '\n<p>The greeting is: ', <span class=""marked"">@greetingMessage</span>, '</p>']]"
WP Tutorial,WebPages Layout,https://www.w3schools.com/asp/webpages_layout.asp,"With Web Pages it is easy to create a web site with a consistent layout.|||On the Internet you will discover many web sites with a consistent look and feel:|||With Web Pages this can be done very efficiently. You can have reusable blocks of content (content blocks), like headers and footers, in separate files.|||You can also define a consistent layout for all your pages, using a layout template (layout file).|||Many websites have content that is displayed on every page (like headers and footers).|||With Web Pages you can use the @RenderPage() method to import content from separate files.|||Content block (from another file) can be imported anywhere in a web page, and can contain text, markup, and code, just like any regular web page. |||Using common headers and footers as an example, this saves you a lot of work. You don't have to write the same content in every page, and when you change the header or footer files, the content is updated in all your pages.|||This is how it looks in code:|||In the previous section, you saw that including the same content in many web pages is easy.|||Another approach to creating a consistent look is to use a layout page. A layout page contains the structure, but not the content, of a web page. When a web page (content page) is linked to a layout page, it will be displayed according to the layout page (template).|||The layout page is just like a normal web page, except from a call to the@RenderBody() method where the content page will be included.|||Each content page must start with a Layout directive.|||This is how it looks in code:|||With two ASP.NET tools, Content Blocks and Layout Pages, you can give your web applications a consistent look.|||These tools also save you a lot of work, since you don't have to repeat the same information on all pages. Centralizing markup, style, and code makes web applications much more manageable and easier to maintain.|||With ASP.NET, files with a name that starts with an underscore cannot be browsed from the web.|||If you want to prevent your content blocks or layout files from being viewed by your users, rename the files to:|||_header.cshtml|||_footer.cshtml|||_Layout.cshtml|||With ASP.NET, the common way to hide sensitive information (database passwords, email passwords, etc.) is to keep the information in a separate file named ""_AppStart"".",,Every page have the same header@@@Every page have the same footer@@@Every page have the same style and layout,,,"[['\n<html>', '\n<body>', '\n', <span class=""marked"">@RenderPage(""header.cshtml"")</span>, '\n<h1>Hello Web Pages</h1> ', '\n<p>This is a paragraph</p>', '\n', <span class=""marked"">@RenderPage(""footer.cshtml"")</span>, '\n</body>', '\n</html>'], ['\n<html>', '<body>', '<p>This is header text</p>', '\n', <span class=""marked"">@RenderBody()</span>, '\n<p>&copy; 2014 W3Schools. All rights reserved.</p>', '</body>', '</html>\n'], ['\n', <span class=""marked"">@{Layout=""Layout.cshtml"";}</span>, '\n', '<h1>Welcome to W3Schools</h1>', '\n', '<p>', 'Lorem ipsum dolor sit amet, consectetur adipisicing elit,sed do eiusmod tempor \nincididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis \nnostrud exercitation ullamco laborisnisi ut aliquip ex ea commodo consequat.', '</p>\n'], ['\n', <span class=""marked"">@{<br/>WebMail.SmtpServer = ""mailserver.example.com"";<br/>
WebMail.EnableSsl = true;<br/>WebMail.UserName = ""username@example.com"";<br/>
WebMail.Password = ""your-password"";<br/>WebMail.From = ""your-name-here@example.com"";<br/>
}</span>, '\n']]"
WP Tutorial,WebPages Folders,https://www.w3schools.com/asp/webpages_folders.asp,"This chapter is about folders and folder paths.|||In this chapter you will learn:|||Below is a typical folder structure for an ASP.NET web pages web site: |||The physical  structure for the ""Images"" folder at the website above might look like this on a computer:|||C:\Johnny\Documents\MyWebSites\Demo\Images  |||From the example above:|||The virtual name of a web picture might be ""Images/pic31.jpg"".|||But the physical name is ""C:\Johnny\Documents\MyWebSites\Demo\Images\pic31.jpg""|||URLs are used to access files from the web:https://www.w3schools.com/html/html5_intro.asp |||The URL corresponds to a physical file on a server: C:\MyWebSites\w3schools\html\html5_intro.asp |||A virtual path is shorthand to represent physical paths. If you use virtual paths, you can move your pages to a different domain (or server) without having to update the paths. |||The root on a disk drive is written like C:\, but the root on a web site is  / (forward slash).|||The virtual path of a web folder is (almost) never the same as the physical folder.|||In your code you will, reference both the physical path and the virtual path, depending on what you are coding. |||ASP.NET has 3 tools for working with folder paths: the ~ operator, the Server.MapPath method, and the Href method.|||To specify the virtual root in programming code, use the ~ operator.|||If you use the ~ operator, instead of a path, you can move your website to a different folder or location without changing any code:|||The Server.MapPath method converts a virtual path (/default.cshtml) to a physical path that the server can understand (C:\Johnny\MyWebSited\Demo\default.cshtml).|||You will use this method when you need to open data files located on the server (data files can only be accessed with a full physical path):|||You will learn more about reading from (and writing to) data files on the server in the next chapter of this tutorial.|||The Href method converts a path used in the code to a path that the browser can understand (the browser cannot understand the ~ operator).|||You use the Href method to create paths to resources like image files, and CSS files.|||You will often use this method in HTML <a>, <img>, and <link> elements:|||The Href method is a method of the WebPage Object.",er.MapPath Method,"About Logical and Physical folder structures@@@About Virtual and Physical names@@@About web URLs and Paths|||The ""Account"" folder contains logon and security files@@@The ""App_Data"" folder contains databases and data files@@@The ""Images"" folder contains images@@@The ""Scripts"" folder contains browser scripts@@@The ""Shared"" folder contains common files (like layout and style files)",,Server name|||w3schools&&&Virtual path|||/html/html5_intro.asp&&&Physical path|||C:\MyWebSites\w3schools\html\html5_intro.asp,[]
WP Tutorial,WebPages Global,https://www.w3schools.com/asp/webpages_global.asp,"This chapter is about the global pages AppStart and PageStart.|||Most server side code are written inside individual web pages. For example, if a web page contains an input form, the web page typically contains server code for reading the data.|||However, by creating a page named _AppStart in the root of your site, you can have startup code executed before the site starts. If this page exists, ASP.NET runs it the first time any page in the site is requested.|||Typical use for _AppStart is startup code and initialization of global values like counters and global names.|||Note 1: _AppStart should have the same file extension as your web pages, like: _AppStart.cshtml.  |||Note 2: _AppStart has an underscore prefix. Because of this, the files cannot be browsed directly.|||Just like _AppStart runs before your site starts, you can write code that runs before any page in each folder.|||For each folder in your web, you can add a file named _PageStart.|||Typical use for _PageStart is setting the layout page for all pages in a folder, or checking that a user is logged in before running a page.|||The following diagram shows how it works:||||||When a request comes in, ASP.NET checks whether _AppStart exists. If so, and this is the first request to the site, _AppStart runs.|||Then ASP.NET checks whether _PageStart exists. If so, _PageStart runs, before the requested page.|||If you include a call to RunPage() inside _PageStart you specify where you want the requested page to run. If not, the _PageStart runs before the requested page.",,,,,[]
WP Tutorial,WebPages Forms,https://www.w3schools.com/asp/webpages_forms.asp,"A form is a section of an HTML document where you put input controls (text boxes, check boxes, radio buttons, and pull-down lists).|||Suppose you have 3 images in your image folder, and you want to display images dynamically by the users choice.|||This is easily done by a little Razor code. |||If you have an image called ""Photo1.jpg"" in your images folder on your web site, you can display the image using an HTML <img> element like this:|||The example below shows how to display a selected picture which the user selects from a drop-down list:  |||The server creates a variable called imagePath.|||The HTML page has a drop-down list (a <select> element) named Choice. It lets the user select a friendly name (like Photo 1), and passes a file name (like Photo1.jpg) when the page is submitted to the web server.|||The Razor code reads the value of Choice by Request[""Choice""]. If it has a value the code constructs a path to the image images/Photo1.jpg, and stores it in the variable imagePath.|||In the HTML page there is an <img>element to display the image. The src attribute is set to the value of the imagePath variable when the page displays.|||The <img> element is in an if block to prevent trying to display an image with no name (like the first time the page is displayed).",,,,,"[['\n<html>', '\n<body>\xa0', '\n', <span class=""marked"">@{<br/>
if (IsPost) { <br/>
string companyname = Request[""CompanyName""]; <br/>
string contactname = Request[""ContactName""]; <br/>
</span>, '<p>You entered: <br />', '\nCompany Name: ', <span class=""marked"">@companyname</span>, ' <br />', '\nContact Name: ', <span class=""marked"">@contactname</span>, ' </p>', <span class=""marked""><br/>
}<br/>
else<br/>
{<br/>
</span>, '<form method=""post"" action="""">', '\n    Company Name:<br />', '\n<input type=""text"" name=""CompanyName"" value="""" /><br />', '\n    Contact Name:<br />', '\n<input type=""text"" name=""ContactName"" value="""" /><br /><br />', '\n    <input type=""submit"" value=""Submit"" class=""submit"" />', '\n</form>', '\n', <span class=""marked"">}</span>, '\n', <span class=""marked"">}</span>, '\xa0', '\n</body>\xa0', '\n</html>'], ['\n', <span class=""marked"">
@{<br/>
var imagePath=""""; <br/>
if (Request[""Choice""] != null)<br/>
   {imagePath=""images/"" + Request[""Choice""];} <br/>
} <br/>
</span>, '<!DOCTYPE html> ', '\n<html> ', '\n<body> ', '\n<h1>Display Images</h1> ', '\n<form method=""post"" action=""""> ', '\nI want to see: ', '\n<select name=""Choice""> ', '\n    \xa0\n<option value=""Photo1.jpg"">Photo 1</option> ', '\n    \xa0\n<option value=""Photo2.jpg"">Photo 2</option> ', '\n    \xa0\n<option value=""Photo3.jpg"">Photo 3</option> ', '\n</select> ', '\n<input type=""submit"" value=""Submit"" /> ', '\n', <span class=""marked"">
    @if (imagePath != """")<br/>
{<br/></span>, '<p>', '<img src=""', <span class=""marked"">@imagePath</span>, '"" alt=""Sample"" />', '</p>', <span class=""marked""><br/>}</span>, '\xa0 ', '\n</form> ', '\n</body> ', '\n</html>\n']]"
WP Tutorial,WebPages Objects,https://www.w3schools.com/asp/webpages_objects.asp," Web Pages is much often about Objects.|||You have already seen some Page Object methods in use:|||In the previous chapter you saw two Page Object properties being used (IsPost, and Request):|||The Page property of the Page Object, provides property-like access to data shared between pages and layout     pages.|||You can use (add) your own properties to the Page property:|||The pages property is very helpful. For instance, it makes it possible to set the page title in content files, and use it in the layout file:",&lt;h1&gt;Welcome to W3Schools&lt;/h1&gt; <br/><br/>&lt;h2&gt;Web Site Main Ingredients&lt;/h2&gt;,Page.Title@@@Page.Version@@@Page.anythingyoulike,,"href|||Builds a URL using the specified parameters&&&RenderBody()|||Renders the portion of a content page that is not within a named 
    section (In layout pages)&&&RenderPage(page)|||Renders the content of one page within another page&&&RenderSection(section)|||Renders the content of a named section (In layout pages)&&&Write(object)|||Writes the object as an HTML-encoded string&&&WriteLiteral|||Writes an object without HTML-encoding it first.$$$IsPost|||Returns true if the HTTP data transfer method used by the client is a 
    POST request&&&Layout|||Gets or sets the path of a layout page&&&Page|||Provides property-like access to data shared between pages and layout 
    pages &&&Request|||Gets the HttpRequest object for the current HTTP request&&&Server|||Gets the HttpServerUtility object that provides web-page processing 
    methods","[['\n', <span class=""marked"">@{<br/>Layout=""~/Shared/Layout.cshtml"";<br/>Page.Title=""Home Page""<br/>}</span>, '\n    <h1>Welcome to W3Schools</h1> ', '<h2>Web Site Main Ingredients</h2>', '\n', '<p>A Home Page (Default.cshtml)</p>', '<p>A Layout File (Layout.cshtml)</p>', '\n    <p>A Style Sheet (Site.css)</p>'], ['\n    <!DOCTYPE html>', '<html>', '<head>', '<title>', <span class=""marked"">@Page.Title</span>, '</title>', '</head>', '<body>', '\n', <span class=""marked"">@RenderBody()</span>, '\n    </body>', '\n    </html>']]"
WP Tutorial,WebPages Files,https://www.w3schools.com/asp/webpages_files.asp,"This chapter is about working with text files.|||Sometimes you will want to access data stored in text files.|||Text files used to store data is often called flat files.|||Common flat file formats are .txt, .xml, and .csv (comma-delimited values). |||In this chapter you will learn:|||In the example to follow, you will need a text file to work with.|||On your web site, if you don't have an App_Data folder, create one.|||In the App_Data folder, create a new file named Persons.txt.|||Add the following content to the file: |||The example below shows how to display data from a text file:  |||Server.MapPath finds the exact text file path.|||File.ReadAllLines opens the text file and reads all lines from the file into an array.|||For each dataItem in each dataline of the array the data is displayed.|||With Microsoft Excel, you can save a spreadsheet as a comma separated text file (.csv file). When you do so, each row in the spreadsheet is saved as a text line, and each data column is separated by a comma. |||You can use the example above to read an Excel .csv file (just change the file name to the name of the Excel file).",,How to read and display data from a text file,,,"[['\nGeorge,Lucas', '\nSteven,Spielberg', '\nAlfred,Hitchcock'], ['\n', <span class=""marked"">@{<br/>var dataFile = Server.MapPath(""~/App_Data/Persons.txt"");<br/>
    Array userData = File.ReadAllLines(dataFile);<br/>}<br/><br/></span>, '<!DOCTYPE \n    html>', '<html>', '<body>', '<h1>Reading Data from a File</h1>', '\n', <span class=""marked"">@foreach (string dataLine in userData) <br/>{<br/>  foreach 
    (string dataItem in dataLine.Split(',')) <br/>  {@dataItem &lt;text&gt;&amp;nbsp;&lt;/text&gt;}</span>, '\xa0 \n    <br />', <span class=""marked"">}</span>, '</body>', '</html>\n']]"
WP Tutorial,WebPages Databases,https://www.w3schools.com/asp/webpages_database.asp,"This chapter is about working with databases.|||In this chapter we will:|||With Web Pages, you can easily display data from a database.|||You can connect to an existing database, or create a new database from scratch.|||In this example we will connect to an existing SQL Server Compact database.|||In the ""DemoWebPages"" folder, create a new CSHTML file named ""Products.cshtml"".|||Replace the code in the file with the code from the example below:|||The Database.Open(name) method will connect to a database in two steps:|||First, it searches the application's App_Data folder for a database that matches the name parameter without the file-name extension.|||If no file is found, it looks for a ""connection string"" in the application's Web.config file.|||(A connection string contains information about how to connect to a database. It can include a file path, or the name of an SQL database, with full user name and password)|||This two-step search makes it possible to test the application with a local database, and run the application on a web host using a connection string. ",,Create a web page to list data from a database,,"Database.Execute(SQLstatement [,
parameters])|||Executes 
SQLstatement (with optional parameters) such as 
INSERT, DELETE, or UPDATE and returns a count of 
affected records.&&&Database.GetLastInsertId()|||
Returns the identity column from the most recently 
inserted row.&&&Database.Open(filename) 
Database.Open(connectionStringName)|||
Opens either the specified database file or the 
database specified using a named connection string 
from the Web.config file.&&&Database.OpenConnectionString(connectionString)|||
Opens a database using the connection string. (This 
contrasts with Database.Open, which 
uses a connection string name.)&&&Database.Query(SQLstatement[, 
parameters])|||Queries the database 
using SQLstatement (optionally passing 
parameters) and returns the results as a collection.
&&&Database.QuerySingle(SQLstatement
[, parameters])|||Executes 
SQLstatement (with optional parameters) and 
returns a single record.&&&Database.QueryValue(SQLstatement
[, parameters])|||Executes 
SQLstatement (with optional parameters) and 
returns a single value.","[['\n', <span class=""marked"">@{<br/>
var db = Database.Open(""SmallBakery""); <br/>
var selectQueryString = ""SELECT * FROM Product ORDER BY Name""; <br/>
}</span>, '\n<html>\xa0', '\n<body>\xa0', '\n<h1>Small Bakery Products</h1>\xa0', '\n<table>\xa0', '\n<tr>', '\n<th>Id</th>\xa0', '\n<th>Product</th>\xa0', '\n<th>Description</th>\xa0', '\n<th>Price</th>\xa0', '\n</tr>', '\n', <span class=""marked"">@foreach(var row in db.Query(selectQueryString))<br/>
{</span>, '\n<tr>\xa0', '\n<td>', <span class=""marked"">@row.Id</span>, '</td>\xa0', '\n<td>', <span class=""marked"">@row.Name</span>, '</td>\xa0', '\n<td>', <span class=""marked"">@row.Description</span>, '</td>\xa0', '\n<td align=""right"">', <span class=""marked"">@row.Price</span>, '</td>\xa0', '\n</tr>\xa0', '\n', <span class=""marked"">}</span>, '\n</table>\xa0', '\n</body>\xa0', '\n    </html>']]"
