Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
C++ Tutorial,C++ HOME,https://www.w3schools.com/cpp/default.asp,"C++ is a popular programming language.|||C++ is used to create computer programs.|||Our ""Try it Yourself"" editor makes it easy to learn C++. You can edit C++ code and view the result in your browser.|||Click on the ""Run example"" button to see how it works.|||We recommend reading this tutorial, in the sequence listed in the left menu.|||C++ is an object oriented language and some concepts may be new. Take breaks when needed, and goover the examples as many times as needed.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All C++ Examples|||Learn by taking a quiz! The quiz will give you a signal of how much you know, or do not know, about C++.|||Start C++ Quiz|||Get certified by completing the  course",Examples in Each Chapter,,,,"[['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  cout << ""Hello World!"";', '\xa0 return 0;', '}']]"
C++ Tutorial,C++ Intro,https://www.w3schools.com/cpp/cpp_intro.asp,"C++ is a cross-platform language that can be used to create high-performance applications.|||C++ was developed by Bjarne Stroustrup, as an extension to the C language.|||C++ gives programmers a high level of control over system resources and memory.|||The language was updated 3 major times in 2011, 2014, and 2017 to C++11, C++14, and  C++17.|||C++ is one of the world's most popular programming languages.|||C++ can be found in today's operating systems, Graphical User Interfaces, and embedded systems.|||C++ is an object-oriented programming language which gives a clear structure to programs and allows code to be reused, lowering development costs.|||C++ is portable and can be used to develop applications that can be adapted to multiple platforms.|||C++ is fun and easy to learn!|||As C++ is close to C# and Java, it makes it easy for programmers to switch to C++ or vice versa|||This tutorial will teach you the basics of C++.|||It is not necessary to have any prior programming experience.",Why Use C++,,,,[]
C++ Tutorial,C++ Get Started,https://www.w3schools.com/cpp/cpp_getstarted.asp,"To start using C++, you need two things:|||There are many text editors and compilers to choose from. In this tutorial, we will use an IDE (see below).|||An IDE (Integrated Development Environment) is used to edit AND compile the code.|||Popular IDE's include Code::Blocks, Eclipse, and Visual Studio.  These are all free, and they can be used to both edit and debug C++ code.|||Note: Web-based IDE's can work as well, but functionality is limited.|||We will use Code::Blocks in our tutorial, which we believe is a good place to start.|||You can find the latest version of Codeblocks at http://www.codeblocks.org/downloads/26. Download the mingw-setup.exe file, which will install the text editor with a compiler. |||Let's create our first C++ file.|||Open Codeblocks and go to File > New > Empty File.|||Write the following C++ code and save the file as myfirstprogram.cpp (File > Save File as):|||Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, focus on how to run the code.|||In Codeblocks, it should look like this:|||Then, go to Build > Build and Run to run (execute) the program. The result will look something to this:|||Congratulations! You have now written and executed your first C++ program.|||When learning C++ at W3Schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result. This will make it easier for you to understand every part as we move forward:|||Code:|||Result:",Learning C++ At W3Schools,"A text editor, like Notepad, to write C++ code@@@A compiler, like GCC, to translate the C++ code into a language that the computer will understand",,,"[['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  cout << ""Hello World!"";', '\xa0 return 0;', '}'], ['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  cout << ""Hello World!"";', '\xa0 return 0;', '}']]"
C++ Tutorial,C++ Syntax,https://www.w3schools.com/cpp/cpp_syntax.asp,"Let's break up the following code to understand it better:|||Line 1: #include <iostream> is a header file library that lets us work with input and output objects, such as cout (used in line 5). Header files add functionality to C++ programs.|||Line 2: using namespace std means that we can use names for objects and variables from the standard library.|||Don't worry if you don't understand how #include <iostream> and using namespace std works. Just think of it as something that (almost) always appears in your program.|||Line 3: A blank line. C++ ignores white space. But we use it to make the code more readable.|||Line 4: Another thing that always appear in a C++ program, is int main(). This is called a function. Any code inside its curly brackets {} will be executed.|||Line 5: cout (pronounced ""see-out"") is an object used together with the insertion operator (<<) to output/print text. In our example it will output ""Hello World"".|||Note: Every C++ statement ends with a semicolon ;.|||Note: The body of int main() could also been written as:int main () { cout << ""Hello World! "";  return 0; }|||Remember: The compiler ignores white spaces. However, multiple lines makes the code more readable.|||Line 6: return 0 ends the main function.|||Line 7: Do not forget to add the closing curly bracket } to actually end the main function.|||You might see some C++ programs that runs without the standard namespace library. The using namespace std line can be omitted and replaced with the std keyword, followed by the :: operator for some objects:|||It is up to you if you want to include the standard namespace library or not.",,,,,"[['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  cout << ""Hello World!"";', '\xa0 return 0;', '}'], ['\n  #include <iostream>', 'int main() {', '\xa0 \n  ', <strong>std::</strong>, 'cout << ""Hello World!"";', '\xa0 return 0;', '}']]"
C++ Tutorial,C++ Output,https://www.w3schools.com/cpp/cpp_output.asp,"The cout object, together with the << operator, is used to output values/print text:|||You can add as many cout objects as you want. However, note that it does not insert a new line at the end of the output:",,,,,"[['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  ', <strong>cout</strong>, ' << ""Hello World!"";', '\xa0 return 0;', '}'], ['\n  #include <iostream>', 'using namespace std;', 'int main() {', '\xa0 \n  ', <strong>cout</strong>, ' << ""Hello World!"";', '\xa0 ', <strong>cout</strong>, ' << ""I am learning C++"";', '\xa0 return 0;', '}']]"
C++ Tutorial,C++ Comments,https://www.w3schools.com/cpp/cpp_comments.asp,"Comments can be used to explain C++ code, and to make it more readable. It can also be used to prevent execution when testing alternative code. Comments can be singled-lined or multi-lined.|||Single-line comments start with two forward slashes (//).|||Any text between // and the end of the line is ignored by the compiler (will not be executed).|||This example uses a single-line comment before a line of code:|||This example uses a single-line comment at the end of a line of code:|||Multi-line comments start with /* and ends with */.|||Any text between /* and */ will be ignored by the compiler:|||It is up to you which you want to use. Normally, we use // for short comments, and /* */ for longer.",C++ Multi-line Comments,,,,"[['\n  // This is a comment', 'cout << ""Hello World!"";'], ['\n  cout << ""Hello World!""; // This is a comment'], ['\n  /* The code below will print the words Hello World!', 'to the screen, and it is \n  amazing */', 'cout << ""Hello World!"";']]"
C++ Tutorial,C++ Variables,https://www.w3schools.com/cpp/cpp_variables.asp,"Variables are containers for storing data values. |||In C++, there are different types of variables (defined with different keywords), for example:|||To create a variable, specify the type and assign it a value:|||Where type is one of C++ types (such as int), and variableName is the name of the variable (such as x ormyName). The equal sign is used to assign values to the variable.|||To create a variable that should store a number, look at the following example:|||Create a variable called myNum of type int and assign it the value 15:|||You can also declare a variable without assigning the value, and assign the value later:|||Note that if you assign a new value to an existing variable, it will overwrite the previous value:|||A demonstration of other data types:|||You will learn more about the individual types in the Data Types chapter.|||The cout object is used together with the << operator to display variables.|||To combine both text and a variable, separate them with the << operator:|||To add a variable to another variable, you can use the + operator:|||Create a variable named myNum and assign the value 50 to it.|||Start the Exercise",,"int - stores integers (whole numbers), without decimals, such as 123 or -123@@@double - stores floating point numbers, with decimals, such as 19.99 or -19.99@@@char - stores single characters, such as 'a' or 'B'.  Char values are surrounded by single quotes@@@string - stores text, such as ""Hello World"".  String values are surrounded by double quotes@@@bool - stores values with two states:  true or false",,,"[['\n', <em>type</em>, ' ', <em>variableName</em>, ' = ', <em>value</em>, ';'], ['\n  int myNum = 15;', 'cout << myNum;'], ['\n  int myNum;', 'myNum = 15;', 'cout << myNum;'], ['\n  int myNum = 15;\xa0\xa0// myNum is 15', 'myNum = 10;\xa0 // Now myNum is 10', 'cout << myNum;\xa0 // Outputs 10'], ['\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number without decimals)', 'double myFloatNum = 5.99;\xa0\xa0\xa0 \n  // Floating point number (with decimals)', ""char myLetter = 'D';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Character"", 'string myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String (text)', 'bool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Boolean (true or \n  false)'], ['\n  int myAge = 35;', 'cout << ""I am "" << myAge << "" years old."";'], ['\n  int x = 5;', 'int y = 6;', 'int sum = x + y;', 'cout << sum;']]"
C++ Tutorial,C++ User Input,https://www.w3schools.com/cpp/cpp_user_input.asp,"You have already learned that cout is used to output (print) values. Now we will use cin to get user input.|||cin is a predefined variable that reads data from the keyboard with the extraction operator (>>).|||In the following example, the user can input a number, which is stored in the variable x. Then we print the value of x:|||cout is pronounced ""see-out"". Used for output, and uses the insertion operator (<<)|||cin is pronounced ""see-in"". Used for input, and uses the extraction operator (>>)|||In this example, the user must input two numbers. Then we print the sum by calculating (adding) the two numbers:|||There you go! You just built a basic calculator!|||Use the correct keyword to get user input, stored in the variable x:|||Start the Exercise",,,,,"[['\n  int x;\xa0', 'cout << ""Type a number: ""; // Type a number and \n  press enter', 'cin >> x; // Get user \n  input from the keyboard', 'cout << ""Your number is: "" << x; \n  // Display the input value'], ['\n  int x, y;', 'int sum;', 'cout << ""Type a number: "";', 'cin >> x;', 'cout << ""Type another number: "";', 'cin >> \n  y;', 'sum = x + y;', 'cout << ""Sum is: "" << sum;']]"
C++ Tutorial,C++ Data Types,https://www.w3schools.com/cpp/cpp_data_types.asp,"As explained in the Variables chapter, a variable in C++ must be a specified data type:|||The data type specifies the size and type of information the variable will store:|||You will learn more about the individual data types in the next chapters.|||Add the correct data type for the following variables:|||Start the Exercise",,,,"int|||4 bytes|||Stores whole numbers, without decimals&&&float|||4 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for 
storing 7 decimal digits&&&double|||8 bytes|||Stores fractional numbers, containing one or more decimals. Sufficient for 
storing 15 decimal digits&&&boolean|||1 byte|||Stores true or false values&&&char|||1 byte|||Stores a single character/letter/number, or ASCII values","[['\n  int myNum = 5;\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Integer (whole number)', 'float myFloatNum = 5.99;\xa0\xa0\xa0\xa0 \n  // Floating point number', 'double myDoubleNum = 9.98;\xa0 \xa0// Floating point number', ""char myLetter = 'D';\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Character"", 'bool \n  myBoolean = true;\xa0\xa0\xa0\xa0\xa0\xa0 // Boolean', 'string myText = ""Hello"";\xa0\xa0\xa0\xa0 \n  // String']]"
C++ Tutorial,C++ Operators,https://www.w3schools.com/cpp/cpp_operators.asp,"Operators are used to perform operations on variables and values.|||In the example below, we use the+ operator to add together two values:|||Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:|||C++ divides the operators into the following groups:|||Arithmetic operators are used to perform common mathematical operations.|||Multiply 10 with 5, and print the result.|||Start the Exercise",Exercise:,Arithmetic operators@@@Assignment operators@@@Comparison operators@@@Logical operators@@@Bitwise operators,,+|||Addition|||Adds together two values|||x + y|||Try it »&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »&&&/|||Division|||Divides one value by another|||x / y|||Try it »&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »&&&++|||Increment|||Increases the value of a variable by 1|||++x|||Try it »&&&--|||Decrement|||Decreases the value of a variable by 1|||--x|||Try it »,"[['\n  int x = 100 + 50;'], ['\n  int sum1 = 100 + 50;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // 150 (100 + 50)', '\n  int sum2 = sum1 + 250;\xa0\xa0\xa0\xa0\xa0 // 400 (150 + 250)', '\n  int sum3 = sum2 + sum2;\xa0\xa0\xa0\xa0 // 800 (400 + 400)']]"
