Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Go Tutorial,Go Home,https://www.w3schools.com/go/index.php,"Go is a popular programming language.|||Go is used to create computer programs.|||Our ""Try it Yourself"" editor makes it easy to learn Go. You can edit Go code and view the result in your browser.|||Click on the ""Try it Yourself"" button to see how it works.|||We recommend reading this tutorial, in the sequence listed in the left menu.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise",Examples in Each Chapter,,,,"[['\n    package main', '\n    import (""fmt"")', '\n', '\n    func main() {', '\n    \xa0 fmt.Println(""Hello World!"")', '\n    }', '\n']]"
Go Tutorial,Go Introduction,https://www.w3schools.com/go/go_introduction.php,"Notes:Compilation time refers to translating the code into an executable           programConcurrency is performing multiple things out-of-order, or at the           same time, without affecting the final outcomeStatically typed means that the variable types are known at           compile time|||This tutorial will teach you the basics of Go.|||It is not necessary to have any prior programming experience.",What is Go?|||What is Go Used For?|||Why Use Go?,"Go is a cross-platform, open source programming languageGo can be used   to create high-performance applicationsGo is a fast, statically typed, compiled language that feels like a   dynamically typed, interpreted languageGo was developed at Google by Robert Griesemer, Rob Pike, and Ken Thompson in 2007Go's syntax is similar to C++|||Web development (server-side)@@@Developing network-based programs@@@Developing cross-platform enterprise applications@@@Cloud-native development|||Go is fun and easy to learn@@@Go has fast run time and compilation time@@@Go supports concurrency@@@Go has memory management@@@Go works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc.)|||Compilation time refers to translating the code into an executable           program@@@Concurrency is performing multiple things out-of-order, or at the           same time, without affecting the final outcome@@@Statically typed means that the variable types are known at           compile time",,Statically typed|||Dynamically typed|||Statically typed&&&Fast run time|||Slow run time|||Fast run time&&&Compiled|||Interpreted|||Compiled&&&Fast compile time|||Interpreted|||Slow compile time&&&Supports concurrency through goroutines and channel|||No built-in concurrency mechanism|||Supports concurrency through threads&&&Has automatic garbage collection|||Has automatic garbage collection|||Does not have automatic garbage collection&&&Does not support classes and objects|||Has classes and objects|||Has classes and objects&&&Does not support inheritance|||Supports inheritance|||Supports inheritance,[]
Go Tutorial,Go Get Started,https://www.w3schools.com/go/go_getting_started.php,"To start using Go, you need two things:|||There are many text editors and compilers to choose from. In this tutorial, we will use an IDE (see below).|||You can find the relevant installation files at https://golang.org/dl/.|||Follow the instructions related to your operating system. To check if Go was installed successfully, you can run the following command in a terminal window:|||Which should show the version of your Go installation.|||An IDE (Integrated Development Environment) is used to edit AND compile the code.|||Popular IDE's include Visual Studio Code (VS Code), Vim, Eclipse, and Notepad. These are all free, and they can be used to both edit and debug Go code.|||Note: Web-based IDE's can work as well, but functionality is limited.|||We will use VS Code in our tutorial, which we believe is a good place to start.|||You can find the latest version of VS Code at https://code.visualstudio.com/.|||Let's create our first Go program.|||VS Code is now configured to use Go.|||Open up a terminal window and type:|||Do not worry if you do not understand why we type the above command. Just think of it as something that you always do, and that you will learn more about in a later chapter.|||Create a new file (File > New File). Copy and paste the following code and save the file as helloworld.go (File > Save As):|||Now, run the code: Open a terminal in VS Code and type:|||Congratulations! You have now written and executed your first Go program.|||If you want to save the program as an executable, type and run:|||When learning Go at W3Schools.com, you can use our ""Try it Yourself"" tool. It shows both the code and the result. This will make it easier for you to understand every part as we move forward:|||Code:|||Result:",Learning Go At W3Schools,"A text editor, like VS Code, to write Go code@@@A compiler, like GCC, to translate the Go code into a language that the computer will understand|||Launch the VS Code editor@@@Open the extension manager or alternatively, press Ctrl + Shift + x@@@In the search box, type ""go"" and hit enter@@@Find the Go extension by the GO team at Google and install the extension@@@After the installation is complete, open the command palette by pressing Ctrl + Shift + p@@@Run the Go: Install/Update Tools command@@@Select all the provided tools and click OK",,,"[['\ngo version\n'], ['\n  go mod init example.com/hello'], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() { ', '\n        \xa0 fmt.Println(""Hello World!"") ', '\n      } ', '\n'], ['\n  go run .\\helloworld.go\n'], ['\n  go build .\\helloworld.go\n'], ['\n      package main\n      ', '\n      import (""fmt"")\n      ', '\n', '\n      func main() {\n      ', '\n      \xa0fmt.Println(""Hello World!"")\n      ', '\n      }\n    ']]"
Go Tutorial,Go Syntax,https://www.w3schools.com/go/go_syntax.php,"A Go file consists of the following parts:|||Look at the following code, to understand it better:|||Line 1: In Go, every program is part of a package. We define this using the package keyword. In this example, the program belongs to the main package.|||Line 2: import (""fmt"") lets us import files included in the fmt package.|||Line 3: A blank line. Go ignores white space. Having white spaces in code makes it more readable.|||Line 4: func main() {} is a function. Any code inside its curly brackets {} will be executed.|||Line 5: fmt.Println() is a function made available from the fmt package. It is used to output/print text. In our example it will output ""Hello World!"". |||Note: In Go, any executable code belongs to the   main   package.|||fmt.Println(""Hello World!"") is a statement.|||In Go, statements are separated by ending a line (hitting the Enter key) or by a semicolon "";"". Hitting the Enter key adds "";"" to the end of the line implicitly (does not show up in the source code). The left curly bracket { cannot come at the start of a line.Run the following code and see what happens:Example      package main      import (""fmt"")      func main() {         fmt.Println(""Hello World!"")       } Try it Yourself »Go Compact CodeYou can write more compact code, like shown below (this is not recommended because it makes the code more difficult to read):Example      package main; import (""fmt""); func main() { fmt.Println(""Hello World!"");}Try it Yourself »Go ExercisesTest Yourself With ExercisesExercise:Insert the missing part of the code below to output ""Hello World"".package main   import (""fmt"")func main() {    (""Hello World!"")}Submit Answer »Start the Exercise❮ PreviousNext ❯|||Hitting the Enter key adds "";"" to the end of the line implicitly (does not show up in the source code). |||The left curly bracket { cannot come at the start of a line.|||Run the following code and see what happens:|||You can write more compact code, like shown below (this is not recommended because it makes the code more difficult to read):|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise",,Package declaration@@@Import packages@@@Functions@@@Statements and expressions,,,"[['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() { ', '\n      \xa0\xa0fmt.Println(""Hello World!"") ', '\n      }', '\n'], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() ', '{ ', '\n      \xa0\xa0fmt.Println(""Hello World!"") ', '\n      } ', '\n'], ['\n      package main; import (""fmt""); func main() { fmt.Println(""Hello World!"");}', '\n']]"
Go Tutorial,Go Comments,https://www.w3schools.com/go/go_comments.php,"A comment is a text that is ignored upon execution.|||Comments can be used to explain the code, and to make it more readable.|||Comments can also be used to prevent code execution when testing an alternative code.|||Go supports single-line or multi-line comments.|||Single-line comments start with two forward slashes (//).|||Any text between // and the end of the line is ignored by the compiler (will not be executed).|||The following example uses a single-line comment at the end of a code line:|||Multi-line comments start with /* and ends with */.|||Any text between /* and */ will be ignored by the compiler:|||Tip: It is up to you which you want to use. Normally, we use // for short comments, and /* */ for longer comments.|||You can also use comments to prevent the code from being executed. |||The commented code can be saved for later reference and troubleshooting.|||Comments in Go are written with a special character, which one?|||Start the Exercise",Go Multi-line Comments,,,,"[['\n', <em>// This is a comment</em>, '\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n        \xa0\xa0', <em>// This is a comment</em>, '\n        \xa0\xa0fmt.Println(""Hello World!"")', '\n      }', '\n'], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n        \xa0\xa0fmt.Println(""Hello World!"") ', <em>// This is a comment</em>, '\n      }', '\n'], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n        \xa0\xa0', <em>/* The code below will print Hello World</em>, '\n        \xa0\xa0', <em>to the screen, and it is amazing */</em>, '\n        \xa0\xa0fmt.Println(""Hello World!"")', '\n      }', '\n'], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n        \xa0\xa0fmt.Println(""Hello World!"")', '\n        \xa0\xa0', <em>// fmt.Println(""This line does not execute"")</em>, '\n      }', '\n']]"
Go Tutorial,Go Variables,https://www.w3schools.com/go/go_variables.php,"Variables are containers for storing data values.|||In Go, there are different types of variables, for example:|||More about different variable types, will be explained in the Go Data Types chapter.|||In Go, there are two ways to declare a variable:|||Use the var keyword, followed by variable name and type:|||Note: You always have to specify either type or value (or both).|||Use the := sign, followed by the variable value:|||Note:  In this case, the type of the variable is inferred from the value (means that the compiler decides the type of the variable, based on the value).|||Note: It is not possible to declare a variable using  :=, without assigning a value to it.|||If the value of a variable is known from the start, you can declare the variable and assign a value to it on one line:|||Note: The variable types of student2 and x is inferred from their values.|||In Go, all variables are initialized. So, if you declare a variable without an initial value, its value will be set to the default value of its type: |||In this example there are 3 variables:|||These variables are declared but they have not been assigned initial values.|||By running the code, we can see that they already have the default values of their respective types:|||It is possible to assign a value to a variable after it is declared. This is helpful for cases the value is not initially known.|||Note: It is not possible to declare a variable using "":="" without assigning a value to it.|||There are some small differences between the var var :=:|||This example shows declaring variables outside of a function, with the var   keyword:|||Since := is used outside of a function, running the program results in an error. |||Result:|||Create a variable named myNum and assign the value 50 to it.|||Start the Exercise",Value Assignment After Declaration|||Example,"int- stores integers (whole numbers), such as 123 or -123@@@float32- stores floating point numbers, with decimals, such as 19.99 or -19.99@@@string - stores text, such as ""Hello World"". String values are surrounded by double quotes@@@bool- stores values with two states: true or false|||a@@@b@@@c|||a is """"@@@b is 0@@@c is false",,"Can be used inside  and outside of functions|||Can only be used inside functions&&&Variable declaration and value assignment can be done separately|||Variable declaration and value assignment cannot be done separately 
    (must be done in the same line)","[['\n        var ', <em>variablename type</em>, ' = ', <em>value</em>, '\n'], ['\n', <em>variablename </em>, ' := ', <em>value</em>, '\n'], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0var student1 string = ""John"" ', <em>//type is 
    string</em>, ' ', '\n    \xa0\xa0var student2 = ""Jane"" ', <em>//type is inferred</em>, '\n    \xa0\xa0x := 2 ', <em>//type is inferred</em>, '\n', '\xa0\xa0fmt.Println(student1)', '\n    \xa0\xa0fmt.Println(student2)', '\n    \xa0\xa0fmt.Println(x)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0var a string', '\n    \xa0\xa0var b int', '\n    \xa0\xa0var c bool', '\n', '\n    \xa0\xa0fmt.Println(a)', '\n    \xa0\xa0fmt.Println(b)', '\n    \xa0\xa0fmt.Println(c)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0var student1 string', '\n    \xa0\xa0student1 = ""John""', '\n    \xa0\xa0fmt.Println(student1)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n\n    var a int', '\n    var b int = 2', '\n    var c = 3', '\n\n    func main() {', '\n    \xa0\xa0a = 1', '\n    \xa0\xa0fmt.Println(a)', '\n    \xa0\xa0fmt.Println(b)', '\n    \xa0\xa0fmt.Println(c)', '\n    }\n  ']]"
Go Tutorial,Go Constants,https://www.w3schools.com/go/go_constants.php,"If a variable should have a fixed value that cannot be changed, you can use the const keyword.|||The const keyword declares the variable as ""constant"", which means that it is unchangeable and read-only.|||Note: The value of a constant must be assigned when you declare it. |||Here is an example of declaring a constant in Go:|||There are two types of constants:|||Typed constants are declared with a defined type:|||Untyped constants are declared without a type:|||Note: In this case, the type of the constant is inferred from the value (means the compiler decides the type of the constant, based on the value).|||When a constant is declared, it is not possible to change the value later:|||Result:|||Multiple constants can be grouped together into a block for readability:",Go Constants|||Constant Rules|||Multiple Constants Declaration,Constant names follow the same naming rules as variables@@@Constant names are usually written in uppercase letters (for easy identification and differentiation from variables)@@@Constants can be declared both inside and outside of a function|||Typed constants@@@Untyped constants,,,"[['\nconst ', <em>CONSTNAME type</em>, ' = ', <em>value</em>, '\n'], ['\n    package main', '\n    import (""fmt"")', '\n    const PI = 3.14', '\n    func main() {', '\n    \xa0\xa0fmt.Println(PI)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    const A int = 1', '\n    func main() {', '\n    \xa0\xa0fmt.Println(A)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    const A = 1', '\n    func main() {', '\n    \xa0\xa0fmt.Println(A)', '\n    }\n  '], ['\npackage main   ', '\nimport (""fmt"") ', '\nconst (', '  \n\xa0\xa0A int = 1', '\n\xa0\xa0B = 3.14', '\n\xa0\xa0C = ""Hi!""', '\n)', '\nfunc main() {  ', '\n\xa0\xa0fmt.Println(A) ', '\n\xa0\xa0fmt.Println(B) ', '\n\xa0\xa0fmt.Println(C) ', '\n}\n']]"
Go Tutorial,Go Output,https://www.w3schools.com/go/go_output.php,"Go has three functions to output text:|||The Print() function prints its arguments with their default format.|||Print the values of i and j:|||Result:|||If we want to print the arguments in new lines, we need to use \n. |||Result:|||Tip: \n creates new lines.|||It is also possible to only use one Print() for printing multiple variables. |||Result:|||If we want to add a space between string arguments, we need to use "" "": |||Result:||| Print() inserts a space between the arguments if neither   are strings:|||Result:|||The Println() function is similar to Print() with the difference that a whitespace is added between the arguments, and a newline is added at the end:|||Result:|||The Printf() function first formats its argument based on the given formatting verb and then prints them.|||Here we will use two formatting verbs:|||Result:|||Tip: Look at all the formatting verbs in theGo Formatting Verbs chapter. ",The Print() Function|||Example,Print()@@@Println()@@@Printf()|||%v is used to print the value   of the arguments@@@%T is used to print the type   of the arguments,,,"[['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j string = ""Hello"",""World""', '\n', '\n      \xa0\xa0fmt.Print(i)', '\n      \xa0\xa0fmt.Print(j)', '\n      }\n    '], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j string = ""Hello"",""World""', '\n', '\n      \xa0\xa0fmt.Print(i, ""\\n"")', '\n      \xa0\xa0fmt.Print(j, ""\\n"")', ' \n      }\n    '], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j string = ""Hello"",""World""', '\n', '\n      \xa0\xa0fmt.Print(i, ""\\n"",j)', '\n      }\n    '], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j string = ""Hello"",""World""', '\n', '\n      \xa0\xa0fmt.Print(i, "" "", j)', '\n      }\n    '], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j = 10,20', '\n', '\n      \xa0\xa0fmt.Print(i,j)', '\n      }\n    '], ['\n      package main', '\n      import (""fmt"")', '\n', '\n      func main() {', '\n      \xa0\xa0var i,j string = ""Hello"",""World""', '\n', '\n      \xa0\xa0fmt.Println(i,j)', '\n      }\n    '], ['\n    package main ', '\n    import (""fmt"")', '\n    func main() {', '\xa0 var i string = ""Hello""', '\xa0 var j int = 15', '\n', '\xa0 fmt.Printf(""i has value: %v and type: %T\\n"", i, i)', '\xa0 \n    fmt.Printf(""j has value: %v and type: %T"", j, j) ', '}\n  ']]"
Go Tutorial,Go Data Types,https://www.w3schools.com/go/go_data_types.php,"Data type is an important concept in programming. Data type specifies the size and type of variable values.|||Go is statically typed, meaning that once a variable type is defined, it can only store data of that type.|||Go has three basic data types:|||This example shows some of the different data types in Go:|||Add the correct data type for the following variables:|||Start the Exercise",,"bool: represents a boolean value and is either true or false@@@Numeric: represents integer types, floating point values,   and complex types@@@string: represents a string value",,,"[['\n    package main', '\n    import (""fmt"")', '\n', '\n    func main() {', ' \xa0\xa0var a bool = true \xa0\xa0\xa0\xa0', <em>// Boolean</em>, '\n    \xa0\xa0var b int = 5 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', <em>// Integer</em>, '\n    \xa0\xa0var c float32 = 3.14 \xa0', <em>// Floating point number</em>, '\n    \xa0\xa0var d string = ""Hi!""\xa0\xa0', <em>// String</em>, ' ', '\n', '\n\n    \xa0\xa0fmt.Println(""Boolean: "", a)', '\n    \xa0\xa0fmt.Println(""Integer: "", b)', '\n    \xa0\xa0fmt.Println(""Float:   \xa0\xa0"", c)', '\n    \xa0\xa0fmt.Println(""String: \xa0"", d)', '\n    }', '\n']]"
Go Tutorial,Go Arrays,https://www.w3schools.com/go/go_arrays.php,"Arrays are used to store multiple values of the same type in a single variable, instead of declaring separate variables for each value.|||In Go, there are two ways to declare an array:|||Note: The length specifies the number of elements   to store in the array. In Go, arrays have a fixed length. The length of the   array is either defined by a number or is inferred (means that the compiler decides the length of the array, based on the number of  values).|||This example declares two arrays (arr1 and arr2) with defined lengths:|||Result:|||This example declares two arrays (arr1 and arr2) with inferred lengths:|||Result:|||This example declares an array of strings:|||Result:|||You can access a specific array element by referring to the index number.|||In Go, array indexes start at 0. That means that [0] is the first element, [1] is the second element, etc.|||This example shows how to access the first and third elements in the   prices array:|||Result:|||You can also change the value of a specific array element by referring to the index number.|||This example shows how to change the value of the third element in the   prices array: |||Result:||| If an array or one of its elements has not been initialized in the code, it is assigned the default value of its type.||| Tip: The default value for int is 0, and the default value for string is """".|||Result:|||It is possible to initialize only specific elements in an array.|||This example initializes only the second and third elements of the array: |||Result:||| The array above has 5 elements.|||The len() function is used to find the length of an array:|||Result:|||Create an array, named cars, of type string:|||Start the Exercise",Go Arrays,1:10 means: assign 10 to array index 1 (second element).@@@2:40 means: assign 40 to array index 2 (third element).,,,"[['\n      var ', <em>array_name = </em>, ' [', <em>length</em>, ']', <em>datatype</em>, '{', <em>values</em>, '} // here length is defined', '\n', 'or', '\n      var ', <em>array_name = </em>, '[...]', <em>datatype</em>, '{', <em>values</em>, '}', <em> </em>, '// here length is inferred'], ['\n', <em>array_name</em>, ' := [', <em>length</em>, ']', <em>datatype</em>, '{', <em>values</em>, '}\xa0// here length \n        is defined', 'or', ' ', <em>array_name</em>, ' := [...]', <em>datatype</em>, '{', <em>values</em>, '}', <em> </em>, '// \n        here length is inferred'], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0var arr1 =  [3]int{1,2,3}', '\n    \xa0\xa0arr2 := [5]int{4,5,6,7,8}', '\n', '\n    \xa0\xa0fmt.Println(arr1)', '\n    \xa0\xa0fmt.Println(arr2)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0var arr1 = [...]int{1,2,3}', '\n    \xa0\xa0arr2 := [...]int{4,5,6,7,8}', '\n', '\n    \xa0\xa0fmt.Println(arr1)', '\n    \xa0\xa0fmt.Println(arr2)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0 var cars = [4]string{""Volvo"", ""BMW"", ""Ford"", ""Mazda""}', '\xa0 \n    fmt.Print(cars)', '}\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0prices := [3]int{10,20,30}', '\n', '\n    \xa0\xa0fmt.Println(prices[0])', '\n    \xa0\xa0fmt.Println(prices[2])', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0prices := [3]int{10,20,30}', '\n', '\n    \xa0\xa0prices[2] = 50', '\n    \xa0\xa0fmt.Println(prices)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0arr1 := [5]int{} //not initialized', '\n    \xa0\xa0arr2 := [5]int{1,2} //partially initialized', '\n    \xa0\xa0arr3 := [5]int{1,2,3,4,5} //fully initialized', '\n', '\n    \xa0\xa0fmt.Println(arr1)', '\n    \xa0\xa0fmt.Println(arr2)', '\n    \xa0\xa0fmt.Println(arr3)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0arr1 := [5]int{1:10,2:40}', '\n', '\n    \xa0\xa0fmt.Println(arr1)', '\n    }\n  '], ['\n    package main', '\n    import (""fmt"")', '\n    func main() {', '\n    \xa0\xa0arr1 := [4]string{""Volvo"", ""BMW"", ""Ford"", ""Mazda""}', '\n    \xa0\xa0arr2 := [...]int{1,2,3,4,5,6}', '\n', '\n    \xa0\xa0fmt.Println(len(arr1))', '\n    \xa0\xa0fmt.Println(len(arr2))', '\n    }\n  ']]"
