Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Java Tutorial,Java HOME,https://www.w3schools.com/java/default.asp,"Java is a popular programming language.|||Java is used to develop mobile apps, web apps, desktop apps, games and much more.|||Our ""Try it Yourself"" editor makes it easy to learn Java. You can edit Java code and view the result in your browser.|||Try it Yourself »|||Click on the ""Run example"" button to see how it works.|||We recommend reading this tutorial, in the sequence listed in the left menu.|||Java is an object oriented language and some concepts may be new. Take breaks when needed, and goover the examples as many times as needed.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise|||Test your Java skills with a quiz.|||Start Java Quiz|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All Java Examples|||Java Keywords|||Java String Methods|||Java Math Methods|||Download Java from the official Java web site:https://www.oracle.com|||Get certified by completing the  course",Examples in Each Chapter,,,,[]
Java Tutorial,Java Intro,https://www.w3schools.com/java/java_intro.asp,"Java is a popular programming language, created in 1995.|||It is owned by Oracle, and more than 3 billion devices run Java.|||It is used for:|||It is not necessary to have any prior programming experience.",What is Java?|||Why Use Java?,"Mobile applications (specially Android apps)@@@Desktop applications@@@Web applications@@@Web servers and application servers@@@Games@@@Database connection@@@And much, much more!|||Java works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc.)@@@It is one of the most popular programming language in the world@@@It is easy to learn and simple to use@@@It is open-source and free@@@It is secure, fast and powerful@@@It has a huge community support (tens of millions of developers)@@@Java is an object oriented language which gives a clear structure to programs and allows code to be reused, lowering development costs@@@As Java is close to C++ and C#, it makes it easy for programmers to switch to Java or vice versa",,,[]
Java Tutorial,Java Get Started,https://www.w3schools.com/java/java_getstarted.asp,"Some PCs might have Java already installed.|||To check if you have Java installed on a Windows PC, search in the start bar for Java or type the following in Command Prompt (cmd.exe):|||If Java is installed, you will see something like this (depending on version):|||If you do not have Java installed on your computer, you can download it for free at oracle.com.|||Note: In this tutorial, we will write Java code in a text editor. However, it is possible to write Java in an Integrated Development Environment, such as IntelliJ IDEA, Netbeans or Eclipse, which are particularly useful when managing larger collections of Java files.|||To install Java on Windows:|||Write the following in the command line (cmd.exe):|||If Java was successfully installed, you will see something like this (depending on version):|||In Java, every application begins with a class name, and that class must match the filename.|||Let's create our first Java file, called Main.java, which can be done in any text editor (like Notepad).|||The file should contain a ""Hello World"" message, which is written with the following code:|||Main.java|||Try it Yourself »|||Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, focus on how to run the code above.|||Save the code in Notepad as ""Main.java"". Open Command Prompt (cmd.exe), navigate to the directory where you saved your file, and type ""javac Main.java"":|||This will compile your code. If there are no errors in the code, the command prompt will take you to the next line. Now, type ""java Main"" to run the file:|||The output should read:|||Congratulations! You have written and executed your first Java program.",,,"Go to ""System Properties"" (Can be found on Control Panel > System and Security > System > Advanced System Settings)@@@Click on the ""Environment variables"" button under the ""Advanced"" tab@@@Then, select the ""Path"" variable in System variables and click on the ""Edit"" button@@@Click on the ""New"" button and add the path where Java is installed,   followed by \bin. By default, Java is installed in C:\Program   Files\Java\jdk-11.0.1 (If nothing else was specified when you installed it).   In that case, You will have to add a new path with: C:\Program   Files\Java\jdk-11.0.1\bin   Then, click ""OK"", and save the settings@@@At last, open Command Prompt (cmd.exe) and type java -version to see if Java is   running on your machine",,[]
Java Tutorial,Java Syntax,https://www.w3schools.com/java/java_syntax.asp,"In the previous chapter, we created a Java file called Main.java, and we used the following code to print ""Hello World"" to the screen:|||Main.java|||Try it Yourself »|||Every line of code that runs in Java must be inside a class.In our example, we named the class Main. A class should always start with an uppercase first letter.|||Note: Java is case-sensitive: ""MyClass"" and ""myclass"" has different meaning.|||The name of the java file must match the class name.When saving the file, save it using the class name and add "".java"" to the end of the filename. To run the example above on your computer, make sure that Java is properly installed: Go to the Get Started Chapter for how to install Java. The output should be:|||The main() method is required and you will see it in every Java program:|||Any code inside the main() method will be executed. You don't have to understand the keywords before and after main. You will get to know them bit by bit while reading this tutorial.|||For now, just remember that every Java program has a class name which must match the filename, and that every program must contain the main() method.|||Inside the main() method, we can use the println() method to print a line of text to the screen:|||Try it Yourself »|||Note: The curly braces {} marks the beginning and the end of a block of code.|||Note: Each code statement must end with a semicolon.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise",,,,,[]
Java Tutorial,Java Comments,https://www.w3schools.com/java/java_comments.asp,"Comments can be used to explain Java code, and to make it more readable. It can also be used to prevent execution when testing alternative code.|||Single-line comments start with two forward slashes (//).|||Any text between // and the end of the line is ignored by Java (will not be executed).|||This example uses a single-line comment before a line of code:|||Try it Yourself »|||This example uses a single-line comment at the end of a line of code:|||Try it Yourself »|||Multi-line comments start with /* and ends with */.|||Any text between /* and */ will be ignored by Java.|||This example uses a multi-line comment (a comment block) to explain the code:|||Try it Yourself »|||It is up to you which you want to use. Normally, we use // for short comments, and /* */ for longer.|||Insert the missing part to create two types of comments.|||Start the Exercise",Java Multi-line Comments,,,,[]
Java Tutorial,Java Variables,https://www.w3schools.com/java/java_variables.asp,"Variables are containers for storing data values. |||In Java, there are different types of variables, for example:|||To create a variable, you must specify the type and assign it a value:|||Where type is one of Java's types (such as int or String), and variableName is the name of the variable (such as x orname). The equal sign is used to assign values to the variable.|||To create a variable that should store text, look at the following example:|||Create a variable called name of type String and assign it the value ""John"":|||Try it Yourself »|||To create a variable that should store a number, look at the following example:|||Create a variable called myNum of type int and assign it the value 15:|||Try it Yourself »|||You can also declare a variable without assigning the value, and assign the value later:|||Try it Yourself »|||Note that if you assign a new value to an existing variable, it will overwrite the previous value:|||Change the value of myNum from 15 to 20:|||Try it Yourself »|||However, you can add the final keyword if you don't want others (or yourself) to overwrite existing values (this will declare the variable as ""final"" or ""constant"", which means unchangeable and read-only):|||Try it Yourself »|||A demonstration of how to declare variables of other types:|||You will learn more about data types in the next chapter.|||The println() method is often used to display variables.|||To combine both text and a variable, use the + character:|||Try it Yourself »|||You can also use the + character to add a variable to another variable:|||Try it Yourself »|||For numeric values, the + character works as a mathematical operator (notice that we use int (integer) variables here):|||Try it Yourself »|||From the example above, you can expect:|||To declare more than one variable of the same type, use a comma-separated list:|||Try it Yourself »|||All Java variables must beidentified with unique names.|||These unique names are called identifiers.|||Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).|||Note: It is recommended to use descriptive names in order to create understandable and maintainable code:|||Try it Yourself »|||The general rules for naming variables are:|||Create a variable named carName and assign the value Volvo to it.|||Start the Exercise",,"String - stores text, such as ""Hello"". String values are  surrounded by double quotes@@@int - stores integers (whole numbers), without decimals, such as 123 or -123@@@float - stores floating point numbers, with decimals, such as 19.99 or -19.99@@@char - stores single characters, such as  'a' or 'B'. Char values are surrounded by single quotes@@@boolean - stores values with two states:  true or false|||x stores the value 5@@@y stores the value 6@@@Then we use the println() method to display the value of x + y,  which is 11|||Names can contain letters, digits, underscores, and dollar signs@@@Names must begin with a letter@@@Names should start with a lowercase letter and it cannot contain whitespace@@@Names can also begin with $ and _ (but we will not use it in this tutorial)@@@Names are case sensitive (""myVar"" and ""myvar"" are different variables)@@@Reserved words (like Java keywords, such as int or   boolean) cannot be used as names",,,[]
Java Tutorial,Java Data Types,https://www.w3schools.com/java/java_data_types.asp,"As explained in the previous chapter, a variable in Java must be a specified data type:|||Try it Yourself »|||Data types are divided into two groups:|||A primitive data type specifies the size and type of variable values, and it has no additional methods.|||There are eight primitive data types in Java:|||Primitive number types are divided into two groups:|||Integer types stores whole numbers, positive or negative (such as 123 or -456), without decimals. Valid types are byte, short, int and long. Which type you should use, depends on the numeric value.|||Floating point types represents numbers with a fractional part, containing one or more decimals. There are two types: float and double.|||Even though there are many numeric types in Java, the most used for numbers are int (for whole numbers) and double (for floating point numbers). However, we will describe them all as you continue to read.|||The byte data type can store whole numbers from -128 to 127. This can be used instead of int or other integer types to save memory when you are certain that the value will be within -128 and 127:|||Try it Yourself »|||The short data type can store whole numbers from -32768 to 32767:|||Try it Yourself »|||The int data type can store whole numbers from -2147483648 to 2147483647.  In general, and in our tutorial, the int data type is the preferred data type when we create variables with a numeric value.|||Try it Yourself »|||The long data type can store whole numbers from -9223372036854775808 to 9223372036854775807. This is used when int is not large enough to store the value. Note that you should end the value with an ""L"":|||Try it Yourself »|||You should use a floating point type whenever you need a number with a decimal, such as 9.99 or 3.14515.|||The float data type can store fractional numbers from 3.4e−038 to 3.4e+038. Note that you should end the value with an ""f"":|||Try it Yourself »|||The double data type can store fractional numbers from 1.7e−308 to 1.7e+308. Note that you should end the value with a ""d"":|||Try it Yourself »|||Use float or double?|||The precision of a floating point value indicates how many digits the value can have after the decimal point.The precision of float is only six or seven decimal digits, while double variables have a precision of about 15 digits. Therefore it is safer to use double for most calculations.|||A floating point number can also be a scientific number with an ""e"" to indicate the power of 10:|||Try it Yourself »|||A boolean data type is declared with the boolean keyword and can only take the values true or false:|||Try it Yourself »|||Boolean values are mostly used for conditional testing, which you will learn more about in a later chapter.|||The char data type is used to store a single character. The character must be surrounded by single quotes, like 'A' or 'c':|||Try it Yourself »|||Alternatively, you can use ASCII values to display certain characters:|||Try it Yourself »|||Tip: A list of all ASCII values can be found in our ASCII Table Reference.|||The String data type is used to store a sequence of characters (text). String values must be surrounded by double quotes:|||Try it Yourself »|||The String type is so much used and integrated in Java, that some call it ""the special ninth type"".|||A String in Java is actually a non-primitive data type, because it refers to an object. The String object has methods that are used to perform certain operations on strings. Don't worry if you don't understand the term ""object"" just yet. We will learn more about strings and objects in a later chapter.|||Non-primitive data types are called reference types because they refer to objects.|||The main difference between primitive and non-primitive data types are:|||Examples of non-primitive types are Strings, Arrays, Classes, Interface, etc. You will learn more about these in a later chapter.|||Add the correct data type for the following variables:|||Start the Exercise",Long|||Floating Point Types|||Float|||Double,"Primitive data types - includes byte, short, int, long,  float, double, boolean and char@@@Non-primitive data types - such as String, Arrays and  Classes (you will learn more about these in a later chapter)|||Primitive types are predefined (already defined) in Java. Non-primitive types are created by the programmer and is not defined by Java (except for String).@@@Non-primitive types can be used to call methods to perform certain operations, while primitive types cannot.@@@A primitive type has always a value, while non-primitive types can be null.@@@A primitive type starts with a lowercase letter, while non-primitive types starts with an uppercase letter.@@@The size of a primitive type depends on the data type, while non-primitive types have all the same size.",,"byte|||1 byte|||Stores whole numbers from -128 to 127&&&short|||2 bytes|||Stores whole numbers from -32,768 to 32,767&&&int|||4 bytes|||Stores whole numbers from -2,147,483,648 to 2,147,483,647&&&long|||8 bytes|||Stores whole numbers from -9,223,372,036,854,775,808 to 
9,223,372,036,854,775,807&&&float|||4 bytes|||Stores fractional numbers. Sufficient for 
storing 6 to 7 decimal digits&&&double|||8 bytes|||Stores fractional numbers. Sufficient for 
storing 15 decimal digits&&&boolean|||1 bit|||Stores true or false values&&&char|||2 bytes|||Stores a single character/letter or ASCII values",[]
Java Tutorial,Java Type Casting,https://www.w3schools.com/java/java_type_casting.asp,"Type casting is when you assign a value of one primitive data type to another type.|||In Java, there are two types of casting:|||Widening casting is done automatically when passing a smaller size type to a larger size type:|||Try it Yourself »|||Narrowing casting must be done manually by placing the type in parentheses in front of the value:|||Try it Yourself »",,Widening Casting (automatically) - converting a smaller type to a larger type sizebyte -> short -> char -> int -> long -> float -> doubleNarrowing Casting (manually) - converting a larger type to a smaller size typedouble -> float -> long -> int -> char -> short -> byte,,,[]
Java Tutorial,Java Operators,https://www.w3schools.com/java/java_operators.asp,"Operators are used to perform operations on variables and values.|||In the example below, we use the+ operator to add together two values:|||Try it Yourself »|||Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:|||Try it Yourself »|||Java divides the operators into the following groups:|||Arithmetic operators are used to perform common mathematical operations.|||Assignment operators are used to assign values to variables.|||In the example below, we use the assignment operator (=) to assign the value 10 to a variable called x:|||Try it Yourself »|||The addition assignment operator (+=) adds a value to a variable:|||Try it Yourself »|||A list of all assignment operators:|||Comparison operators are used to compare two values:|||Logical operators are used to determine the logic between variables or values:|||Multiply 10 with 5, and print the result.|||Start the Exercise",Exercise:,Arithmetic operators@@@Assignment operators@@@Comparison operators@@@Logical operators@@@Bitwise operators,,"+|||Addition|||Adds together two values|||x + y|||Try it »&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »&&&/|||Division|||Divides one value by another|||x / y|||Try it »&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »&&&++|||Increment|||Increases the value of a variable by 1|||++x|||Try it »&&&--|||Decrement|||Decreases the value of a variable by 1|||--x|||Try it »$$$&&&=|||x = 5|||x = 5|||Try it »&&&+=|||x += 3|||x = x + 3|||Try it »&&&-=|||x -= 3|||x = x - 3|||Try it »&&&*=|||x *= 3|||x = x * 3|||Try it »&&&/=|||x /= 3|||x = x / 3|||Try it »&&&%=|||x %= 3|||x = x % 3|||Try it »&&&&=|||x &= 3|||x = x & 3|||Try it »&&&|=|||x |= 3|||x = x | 3|||Try it »&&&^=|||x ^= 3|||x = x ^ 3|||Try it »&&&>>=|||x >>= 3|||x = x >> 3|||Try it »&&&<<=|||x <<= 3|||x = x << 3|||Try it »$$$&&&==|||Equal to|||x == y|||Try it »&&&!=|||Not equal|||x != y|||Try it »&&&>|||Greater than|||x > y|||Try it »&&&<|||Less than|||x < y|||Try it »&&&>=|||Greater than or equal to|||x >= y|||Try it »&&&<=|||Less than or equal to|||x <= y|||Try it »$$$&& |||Logical and|||Returns true if both statements are true|||x < 5 &&  x < 10|||Try it »&&&|| |||Logical or|||Returns true if one of the statements is true|||x < 5 || x < 4|||Try it »&&&!|||Logical not|||Reverse the result, returns false if the result is true|||!(x < 5 && x < 10)|||Try it »",[]
Java Tutorial,Java Strings,https://www.w3schools.com/java/java_strings.asp,"Strings are used for storing text.|||A String variable contains a collection of characters surrounded by double quotes:|||Create a variable of type String and assign it a value:|||Try it Yourself »|||A String in Java is actually an object, which contain methods that can perform certain operations on strings. For example, the length of a string can be found with the length() method:|||Try it Yourself »|||There are many string methods available, for example toUpperCase() and toLowerCase():|||Try it Yourself »|||The indexOf() method returns the index (the position) of the first occurrence of a specified text in a string (including whitespace):|||Try it Yourself »|||Java counts positions from zero.0 is the first position in a string, 1 is the second, 2 is the third ...|||The + operator can be used between strings to combine them. This is called concatenation:|||Try it Yourself »|||Note that we have added an empty text ("" "") to create a space between firstName and lastName on print.|||You can also use the concat() method to concatenate two strings:|||Try it Yourself »|||Because strings must be written within quotes, Java will misunderstand this string, and generate an error:|||The solution to avoid this problem, is to use the backslash escape character.|||The backslash (\) escape character turns special characters into string characters:|||The sequence \""  inserts a double quote in a string:ExampleString txt = ""We are the so-called \""Vikings\"" from the north."";Try it Yourself »The sequence \'  inserts a single quote in a string:ExampleString txt = ""It\'s alright."";Try it Yourself »The sequence \\  inserts a single backslash in a string:ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||ExampleString txt = ""We are the so-called \""Vikings\"" from the north."";Try it Yourself »The sequence \'  inserts a single quote in a string:ExampleString txt = ""It\'s alright."";Try it Yourself »The sequence \\  inserts a single backslash in a string:ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||Try it Yourself »|||The sequence \'  inserts a single quote in a string:ExampleString txt = ""It\'s alright."";Try it Yourself »The sequence \\  inserts a single backslash in a string:ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||ExampleString txt = ""It\'s alright."";Try it Yourself »The sequence \\  inserts a single backslash in a string:ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||Try it Yourself »|||The sequence \\  inserts a single backslash in a string:ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||ExampleString txt = ""The character \\ is called backslash."";Try it Yourself »Six other escape sequences are valid in Java:CodeResultTry it\nNew LineTry it »\rCarriage ReturnTry it »\tTabTry it »\bBackspaceTry it »\fForm FeedAdding Numbers and StringsWARNING!Java uses the + operator for both addition and concatenation.Numbers are added. Strings are concatenated.If you add two numbers, the result will be a number:Exampleint x = 10;int y = 20;int z = x + y;      // z will be 30 (an integer/number)Try it Yourself »If you add two strings, the result will be a string concatenation:ExampleString x = ""10"";String y = ""20"";String z = x + y;   // z will be 1020 (a String)Try it Yourself »If you add a number and a string, the result will be a string concatenation:ExampleString x = ""10"";int y = 20;String z = x + y;   // z will be 1020 (a String)Try it Yourself »Complete String ReferenceFor a complete reference of String methods, go to our Java String Methods Reference.The reference contains descriptions and examples of all string methods.Test Yourself With ExercisesExercise:Fill in the missing part to create a greeting variable of type String and assign it the value Hello. greeting = ;Submit Answer »Start the Exercise❮ PreviousNext ❯|||Try it Yourself »|||Six other escape sequences are valid in Java:|||WARNING!|||Java uses the + operator for both addition and concatenation.|||Numbers are added. Strings are concatenated.|||If you add two numbers, the result will be a number:|||Try it Yourself »|||If you add two strings, the result will be a string concatenation:|||Try it Yourself »|||If you add a number and a string, the result will be a string concatenation:|||Try it Yourself »|||For a complete reference of String methods, go to our Java String Methods Reference.|||The reference contains descriptions and examples of all string methods.|||Fill in the missing part to create a greeting variable of type String and assign it the value Hello.|||Start the Exercise",,,,"\'|||'|||Single quote&&&\""|||""|||Double quote&&&\\|||\|||Backslash$$$\n|||New Line|||Try it »&&&\r|||Carriage Return|||Try it »&&&\t|||Tab|||Try it »&&&\b|||Backspace|||Try it »&&&\f|||Form Feed|||",[]
