Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
jQuery Tutorial,jQuery HOME,https://www.w3schools.com/jquery/default.asp,"jQuery is a JavaScript Library.|||jQuery greatly simplifies JavaScript programming.|||jQuery is easy to learn.|||With our online editor, you can edit the code, and click on a button to view the result.|||Click on the ""Try it Yourself"" button to see how it works.|||Use the correct selector to hide all <p> elements.|||Start the Exercise|||Learn by examples! At W3Schools you will find a lot of jQuery examples to edit and test yourself.|||Test your jQuery skills at W3Schools!|||At W3Schools you will find a complete reference of all jQuery selectors, methods, properties and events.|||Get certified by completing the  course",Examples in Each Chapter,,,,"[['\n $(document).ready(function(){', '\n \xa0 $(""p"").click(function(){', '\n  \xa0\xa0\xa0 $(this).hide();', '\n \xa0\xa0});', '\n });\n']]"
jQuery Tutorial,jQuery Intro,https://www.w3schools.com/jquery/jquery_intro.asp,"The purpose of jQuery is to make it much easier to use JavaScript on your website.|||Before you start studying jQuery, you should have a basic knowledge of:|||If you want to study these subjects first, find the tutorials on our Home page.|||jQuery is a lightweight, ""write less, do more"", JavaScript library.|||The purpose of jQuery is to make it much easier to use JavaScript on your website.|||jQuery takes a lot of common tasks that require many lines of JavaScript code to accomplish,and wraps them into methods that you can call with a single line of code.|||jQuery also simplifies a lot of the complicated things from JavaScript, like AJAX calls and DOM manipulation.|||The jQuery library contains the following features:|||Tip: In addition, jQuery has plugins for almost any task out there.|||There are lots of other JavaScript libraries out there, but jQueryis probably the most popular, and also the most extendable.|||Many of the biggest companies on the Web use jQuery, such as:|||Will jQuery work in all browsers?The jQuery team knows all about cross-browser issues, and they have written this knowledge into the jQuery library. jQuery will run exactly the same in all major browsers.",What You Should Already Know,HTML@@@CSS@@@JavaScript|||HTML/DOM manipulation@@@CSS manipulation@@@HTML event methods@@@Effects and animations@@@AJAX@@@Utilities|||Google@@@Microsoft@@@IBM@@@Netflix,,,[]
jQuery Tutorial,jQuery Get Started,https://www.w3schools.com/jquery/jquery_get_started.asp,"There are several ways to start using jQuery on your web site. You can:|||There are two versions of jQuery available for downloading: |||Both versions can be downloaded from jQuery.com.|||The jQuery library is a single JavaScript file, and you reference it with the HTML <script> tag (notice that the <script> tag should be inside the <head> section):|||Tip: Place the downloaded file in the same directory as the pages where you wish to use it.|||If you don't want to download and host jQuery yourself, you can include it from a CDN (Content Delivery Network).|||Google is an example of someone who host jQuery:|||One big advantage of using the hosted jQuery from Google:Many users already have downloaded jQuery from Google when visiting another site. As a result, it will be loaded from cache when they visit your site, which leads to faster loading time. Also, most CDN's will make sure that once a user requests a file from it, it will be served from the server closest to them, which also leads to faster loading time.",,"Download the jQuery library from jQuery.com@@@Include jQuery from a CDN, like Google|||Production version - this is for your live website because it has been minified and compressed@@@Development version - this is for testing and development (uncompressed and readable code)",,,[]
jQuery Tutorial,jQuery Syntax,https://www.w3schools.com/jquery/jquery_syntax.asp,"With jQuery you select (query) HTML elements and perform ""actions"" on them.|||The jQuery syntax is tailor-made for selecting HTML elements and performing some action on the element(s).|||Basic syntax is: $(selector).action()|||Examples:|||$(this).hide() - hides the current element.|||$(""p"").hide() - hides all <p> elements.|||$("".test"").hide() - hides all elements with class=""test"".|||$(""#test"").hide() - hides the element with id=""test"".|||Are you familiar with CSS selectors?jQuery uses CSS syntax to select elements. You will learn more about the selector syntax in the next chapter of this tutorial.|||Tip: If you don't know CSS, you can read our CSS Tutorial.|||You might have noticed that all jQuery methods in our examples, are inside a document ready event:|||This is to prevent any jQuery code from running before the document is finished loading (is ready).|||It is good practice to wait for the document to be fully loaded and ready before working with it.This also allows you to have your JavaScript code before the body of your document, in the head section. |||Here are some examples of actions that can fail if methods are run before the document is fully loaded:|||Tip: The jQuery team has also created an even shorter method for the document ready event:|||Use the syntax you prefer. We think that the document ready event is easier to understand when reading the code.",,"A $ sign to define/access jQuery@@@A (selector) to ""query (or find)"" HTML elements@@@A jQuery action() to be performed on the element(s)|||Trying to hide an element that is not created yet@@@Trying to get the size of an image that is not loaded yet",,,[]
jQuery Tutorial,jQuery Selectors,https://www.w3schools.com/jquery/jquery_selectors.asp,"jQuery selectors are one of the most important parts of the jQuery library.|||jQuery selectors allow you to select and manipulate HTML element(s).|||jQuery selectors are used to ""find"" (or select) HTML elements based on their name, id, classes, types, attributes, values of attributes and much more.It's based on the existing CSS Selectors, and in addition, it has some own custom selectors.|||All selectors in jQuery start with the dollar sign and parentheses: $().|||The jQuery element selector selects elements based on the element name.|||You can select all <p> elements on a page like this:|||Example|||When a user clicks on a button, all <p> elements will be hidden:|||The jQuery #id selector uses the id attribute of an HTML tag to find the specific element.|||An id should be unique within a page, so you should use the #id selector when you want to find a single, unique element.|||To find an element with a specific id, write a hash character, followed by the id of the HTML element:|||Example|||When a user clicks on a button, the element with id=""test"" will be hidden:|||The jQuery .class selector finds elements with a specific class.|||To find elements with a specific class, write a period character, followed by the name of the class:|||Example|||When a user clicks on a button, the elements with class=""test"" will be hidden:|||Use our jQuery Selector Tester to demonstrate the different selectors.|||For a complete reference of all the jQuery selectors, please go to our jQuery Selectors Reference.|||If your website contains a lot of pages, and you want your jQuery functions to be easy to maintain, you can put your jQuery functions in a separate .js file.|||When we demonstrate jQuery in this tutorial, the functions are added directly into the <head> section. However, sometimes it is preferable to place them in a separate file, like this (use the src attribute to refer to the .js file): |||Use the correct selector to hide all <p> elements.|||Start the Exercise",jQuery Selectors,,,"$(""*"")|||Selects all elements|||Try it&&&$(this)|||Selects the current HTML element|||Try it&&&$(""p.intro"")|||Selects all <p> elements with class=""intro""|||Try it&&&$(""p:first"")|||Selects the first <p> element|||Try it&&&$(""ul li:first"")|||Selects the first <li> element of the first <ul>|||Try it&&&$(""ul li:first-child"")|||Selects the first <li> element of every <ul>|||Try it&&&$(""[href]"")|||Selects all elements with an href attribute|||Try it&&&$(""a[target='_blank']"")|||Selects all <a> elements with a target attribute value equal to ""_blank""|||Try it&&&$(""a[target!='_blank']"")|||Selects all <a> elements with a target attribute value NOT equal to ""_blank""|||Try it&&&$("":button"")|||Selects all <button> elements and <input> elements of type=""button""|||Try it&&&$(""tr:even"")|||Selects all even <tr> elements|||Try it&&&$(""tr:odd"")|||Selects all odd <tr> elements|||Try it","[['\n$(document).ready(function(){', '\n\xa0\xa0$(""button"").click(function(){', '\n  \xa0\xa0\xa0 $(""p"").hide();', '\n\xa0\xa0});', '\n});\n'], ['\n$(document).ready(function(){', '\n\xa0\xa0$(""button"").click(function(){', '\n\xa0\xa0\xa0 $(""#test"").hide();', '\n  \xa0 });', '\n});\n'], ['\n$(document).ready(function(){', '\n  \xa0 $(""button"").click(function(){', '\n\xa0\xa0\xa0 $("".test"").hide();', '\n\xa0\xa0});', '\n});\n']]"
jQuery Tutorial,jQuery Events,https://www.w3schools.com/jquery/jquery_events.asp,"jQuery is tailor-made to respond to events in an HTML page.|||All the different visitors' actions that a web page can respond to are called events.|||An event represents the precise moment when something happens.|||Examples:|||The term ""fires/fired"" is often used with events. Example: ""The keypress event is fired, the moment you press a key"".|||Here are some common DOM events:|||In jQuery, most DOM events have an equivalent jQuery method.|||To assign a click event to all paragraphs on a page, you can do this: |||The next step is to define what should happen when the event fires. You must pass a function to the event:|||$(document).ready()|||The $(document).ready() method allows us to execute a function when the document is fully loaded. This event is already explained in thejQuery Syntax chapter. |||click()|||The click() method attaches an event handler function to an HTML element.|||The function is executed when the user clicks on the HTML element.|||The following example says: When a click event fires on a <p> element; hide the current <p> element:|||dblclick()|||The dblclick() method attaches an event handler function to an HTML element.|||The function is executed when the user double-clicks on the HTML element:|||mouseenter()|||The mouseenter() method attaches an event handler function to an HTML element.|||The function is executed when the mouse pointer enters the HTML element:|||mouseleave()|||The mouseleave() method attaches an event handler function to an HTML element.|||The function is executed when the mouse pointer leaves the HTML element:|||mousedown()|||The mousedown() method attaches an event handler function to an HTML element.|||The function is executed, when the left, middle or right mouse button is pressed down, while the mouse is over the HTML element:|||mouseup()|||The mouseup() method attaches an event handler function to an HTML element.|||The function is executed, when the left, middle or right mouse button is released, while the mouse is over the HTML element:|||hover()|||The hover() method takes two functions and is a combination of the mouseenter() and mouseleave() methods.|||The first function is executed when the mouse enters the HTML element, and the second function is executed when the mouse leaves the HTML element:|||focus()|||The focus() method attaches an event handler function to an HTML form field.|||The function is executed when the form field gets focus:|||blur()|||The blur() method attaches an event handler function to an HTML form field.|||The function is executed when the form field loses focus:|||The on() method attaches one or more event handlers for the selected elements.|||Attach a click event to a <p> element:|||Attach multiple event handlers to a <p> element:|||Use the correct event to hide all <p> elements with a ""click"".|||Start the Exercise|||For a full jQuery event reference, please go to our jQuery Events Reference.",jQuery Event Methods,moving a mouse over an element@@@selecting a radio button@@@clicking on an element,,click|||keypress|||submit|||load&&&dblclick|||keydown|||change|||resize&&&mouseenter|||keyup|||focus|||scroll&&&mouseleave||| |||blur|||unload,"[['\n$(""p"").click(function(){', '\n\xa0\xa0$(this).hide();', '\n});\n'], ['\n$(""p"").dblclick(function(){', '\n  \xa0 $(this).hide();', '\n});\n'], ['\n$(""#p1"").mouseenter(function(){', '\n  \xa0 alert(""You entered p1!"");', '\n});\n'], ['\n$(""#p1"").mouseleave(function(){', '\n  \xa0 alert(""Bye! You now leave p1!"");', '\n});\n'], ['\n$(""#p1"").mousedown(function(){', '\n\xa0\xa0alert(""Mouse down over p1!"");', '\n});\n'], ['\n$(""#p1"").mouseup(function(){', '\n  \xa0 alert(""Mouse up over p1!"");', '\n});\n'], ['\n$(""#p1"").hover(function(){', '\n\xa0\xa0alert(""You entered p1!"");', '\n },', '\n function(){', '\n\xa0\xa0alert(""Bye! You now leave p1!"");', '\n});\n'], ['\n$(""input"").focus(function(){', '\n\xa0\xa0$(this).css(""background-color"", ""#cccccc"");', '\n});\n'], ['\n$(""input"").blur(function(){', '\n\xa0\xa0$(this).css(""background-color"", ""#ffffff"");', '\n});\n'], ['\n $(""p"").on(""click"", function(){', '\xa0 $(this).hide();', '});'], ['\n $(""p"").on({', '\xa0 mouseenter: function(){', '\xa0\xa0\xa0\xa0$(this).css(""background-color"", ""lightgray"");', '\xa0\xa0}, ', '\n  \xa0 mouseleave: function(){', '\xa0\xa0\xa0 $(this).css(""background-color"", ""lightblue"");', '\xa0\xa0}, ', '\xa0\xa0click: function(){', '\xa0\xa0\xa0 $(this).css(""background-color"", ""yellow"");', '\n  \xa0\xa0} ', '});']]"
jQuery Effects,jQuery Hide/Show,https://www.w3schools.com/jquery/jquery_hide_show.asp,"Hide, Show, Toggle, Slide, Fade, and Animate. WOW!|||Click to show/hide panel|||Because time is valuable, we deliver quick and easy learning.|||At W3Schools, you can study everything you need to learn, in an accessible and handy format.|||jQuery hide()Demonstrates a simple jQuery hide() method.|||jQuery hide()Another hide() demonstration. How to hide parts of text.|||With jQuery, you can hide and show HTML elements with the hide() and show() methods:|||Syntax:|||The optional speed parameter specifies the speed of the hiding/showing, and can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after  the hide() or show() method completes (you will learn more about callback functions in a later chapter).|||The following example demonstrates the speed parameter with hide():|||You can also toggle between hiding and showing an element with the toggle() method.|||Shown elements are hidden and hidden elements are shown:|||Syntax:|||The optional speed parameter can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after  toggle() completes.|||Use a jQuery method to hide a <p> element when it is clicked on.|||Start the Exercise|||For a complete overview of all jQuery effects, please go to our jQuery Effect Reference.",,,,,"[['\n$(""#hide"").click(function(){', '\n\xa0\xa0$(""p"").hide();', '\n});', '\n', '\n$(""#show"").click(function(){', '\n\xa0\xa0$(""p"").show();', '\n});'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""p"").hide(1000);', '\n});'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""p"").toggle();', '\n});']]"
jQuery Effects,jQuery Fade,https://www.w3schools.com/jquery/jquery_fade.asp,"With jQuery you can fade elements in and out of visibility.|||Click to fade in/out panel|||Because time is valuable, we deliver quick and easy learning.|||At W3Schools, you can study everything you need to learn, in an accessible and handy format.|||jQuery fadeIn()Demonstrates the jQuery fadeIn() method.|||jQuery fadeOut()Demonstrates the jQuery fadeOut() method.|||jQuery fadeToggle()Demonstrates the jQuery fadeToggle() method.|||jQuery fadeTo()Demonstrates the jQuery fadeTo() method.|||With jQuery you can fade an element in and out of visibility.|||jQuery has the following fade methods:|||The jQuery fadeIn() method is used to fade in a hidden element.|||Syntax:|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the fading completes.|||The following example demonstrates the fadeIn() method with different parameters:|||The jQuery fadeOut() method is used to fade out a visible element.|||Syntax:|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the fading completes.|||The following example demonstrates the fadeOut() method with different parameters:|||The jQuery fadeToggle() method toggles between the fadeIn() and fadeOut() methods.|||If the elements are faded out, fadeToggle() will fade them in.|||If the elements are faded in, fadeToggle() will fade them out. |||Syntax:|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the fading completes.|||The following example demonstrates the fadeToggle() method with different parameters:|||The jQuery fadeTo() method allows fading to a given opacity (value between 0 and 1).|||Syntax:|||The required speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The required opacity parameter in the fadeTo() method specifies fading to a given opacity (value between 0 and 1).|||The optional callback parameter is a function to be executed after the function completes.|||The following example demonstrates the fadeTo() method with different parameters:|||Use a jQuery method to fade out a <div> element.|||Start the Exercise|||For a complete overview of all jQuery effects, please go to our jQuery Effect Reference.",,fadeIn()@@@fadeOut()@@@fadeToggle()@@@fadeTo(),,,"[['\n$(""button"").click(function(){', '\n\xa0\xa0$(""#div1"").fadeIn();', '\n\xa0\xa0$(""#div2"").fadeIn(""slow"");', '\n\xa0\xa0$(""#div3"").fadeIn(3000);', '\n});'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""#div1"").fadeOut();', '\n\xa0\xa0$(""#div2"").fadeOut(""slow"");', '\n\xa0\xa0$(""#div3"").fadeOut(3000);', '\n});'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""#div1"").fadeToggle();', '\n  \xa0 $(""#div2"").fadeToggle(""slow"");', '\n  \xa0 $(""#div3"").fadeToggle(3000);', '\n});'], ['\n$(""button"").click(function(){', '\n\xa0\xa0$(""#div1"").fadeTo(""slow"", 0.15);', '\n\xa0\xa0$(""#div2"").fadeTo(""slow"", 0.4);', '\n  \xa0 $(""#div3"").fadeTo(""slow"", 0.7);', '\n});']]"
jQuery Effects,jQuery Slide,https://www.w3schools.com/jquery/jquery_slide.asp,"The jQuery slide methods slide elements up and down.|||Click to slide down/up the panel|||Because time is valuable, we deliver quick and easy learning.|||At W3Schools, you can study everything you need to learn, in an accessible and handy format.|||jQuery slideDown()Demonstrates the jQuery slideDown() method.|||jQuery slideUp()Demonstrates the jQuery slideUp() method.|||jQuery slideToggle()Demonstrates the jQuery slideToggle() method.|||With jQuery you can create a sliding effect on elements.|||jQuery has the following slide methods:|||The jQuery slideDown() method is used to slide down an element.|||Syntax:|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the sliding completes.|||The following example demonstrates the slideDown() method:|||The jQuery slideUp() method is used to slide up an element.|||Syntax:|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the sliding completes.|||The following example demonstrates the slideUp() method:|||The jQuery slideToggle() method toggles between the slideDown() and slideUp() methods.|||If the elements have been slid down, slideToggle() will slide them up.|||If the elements have been slid up, slideToggle() will slide them down. |||The optional speed parameter can take the following values: ""slow"", ""fast"", milliseconds.|||The optional callback parameter is a function to be executed after the sliding completes.|||The following example demonstrates the slideToggle() method:|||Use a jQuery method to slide up a <div> element.|||Start the Exercise|||For a complete overview of all jQuery effects, please go to our jQuery Effect Reference.",,slideDown()@@@slideUp()@@@slideToggle(),,,"[['\n$(""#flip"").click(function(){', '\n\xa0\xa0$(""#panel"").slideDown();', '\n});'], ['\n$(""#flip"").click(function(){', '\n  \xa0 $(""#panel"").slideUp();', '\n});'], ['\n$(""#flip"").click(function(){', '\n  \xa0 $(""#panel"").slideToggle();', '\n});']]"
jQuery Effects,jQuery Animate,https://www.w3schools.com/jquery/jquery_animate.asp,"With jQuery, you can create custom animations.|||The jQuery animate() method is used to create custom animations.|||Syntax:|||The required params parameter defines the CSS properties to be animated.|||The optional speed parameter specifies the duration of the effect. It can take the following values: ""slow"", ""fast"", or milliseconds.|||The optional callback parameter is a function to be executed after the animation completes.|||The following example demonstrates a simple use of the animate() method; it moves a <div> element to the right, until it has reached a left property of 250px:|||By default, all HTML elements have a static position, and cannot be moved.To manipulate the position, remember to first set the CSS position property of the element to relative, fixed, or absolute!|||Notice that multiple properties can be animated at the same time:|||Is it possible to manipulate ALL CSS properties with the animate() method?Yes, almost! However, there is one important thing to remember: all property names must be camel-cased when used with the animate() method: You will need to write paddingLeft instead of padding-left, marginRight instead of margin-right, and so on. Also, color animation is not included in the core jQuery library.If you want to animate color, you need to download theColor Animations plugin from jQuery.com.|||It is also possible to define relative values (the value is then relative to the element's current value). This is done by putting += or -= in front of the value:|||You can even specify a property's animation value as ""show"", ""hide"", or ""toggle"":|||By default, jQuery comes with queue functionality for animations.|||This means that if you write multiple animate() calls after each other, jQuery creates an ""internal"" queue with these method calls. Then it runs the animate calls ONE by ONE.|||So, if you want to perform different animations after each other, we take advantage of the queue functionality:|||The example below first moves the <div> element to the right, and then increases the font size of the text:|||Use the animate() method to move a <div> element 250 pixels to the right.|||Start the Exercise|||For a complete overview of all jQuery effects, please go to our jQuery Effect Reference.",jQuery animate() - Manipulate Multiple Properties|||jQuery animate() - Uses Queue Functionality,,,,"[['\n$(""button"").click(function(){', '\n\xa0\xa0$(""div"").animate({left: \'250px\'});', '\n});\xa0 \n'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""div"").animate({', ""\n\xa0\xa0\xa0 left: '250px',"", ""\n  \xa0\xa0\xa0 opacity: '0.5',"", ""\n  \xa0\xa0\xa0 height: '150px',"", ""\n  \xa0\xa0\xa0 width: '150px'"", '\n\xa0\xa0});', '\n});\xa0 \n'], ['\n$(""button"").click(function(){', '\n\xa0\xa0$(""div"").animate({', ""\n\xa0\xa0\xa0\xa0left: '250px',"", ""\n  \xa0\xa0\xa0 height: '+=150px',"", ""\n  \xa0\xa0\xa0 width: '+=150px'"", '\n\xa0\xa0});', '\n});\xa0 \n'], ['\n$(""button"").click(function(){', '\n  \xa0 $(""div"").animate({', ""\n  \xa0\xa0\xa0 height: 'toggle'"", '\n  \xa0 });', '\n});\xa0 \n'], ['\n$(""button"").click(function(){', '\n\xa0\xa0var div = $(""div"");', '\n\xa0\xa0div.animate({height: \'300px\', opacity: \'0.4\'}, ""slow"");', '\n\xa0\xa0div.animate({width: \'300px\', opacity: \'0.8\'}, ""slow"");', '\n\xa0\xa0div.animate({height: \'100px\', opacity: \'0.4\'}, ""slow"");', '\n\xa0\xa0div.animate({width: \'100px\', opacity: \'0.8\'}, ""slow"");', '\n});\xa0 \n'], ['\n$(""button"").click(function(){', '\n\xa0\xa0var div = $(""div"");', '\n\xa0\xa0div.animate({left: \'100px\'}, ""slow"");', '\n\xa0\xa0div.animate({fontSize: \'3em\'}, ""slow"");', '\n});\xa0 \n']]"
