Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
JS Tutorial,JS HOME,https://www.w3schools.com/js/default.asp,"JavaScript is the world's most popular programming language.|||JavaScript is the programming language of the Web.|||JavaScript is easy to learn.|||This tutorial will teach you JavaScript from basic to advanced.|||With our ""Try it Yourself"" editor, you can edit the source code and view the result.||||||Try it Yourself »|||We recommend reading this tutorial, in the sequence listed in the menu.|||If you have a large screen, the menu will always be present on the left.|||If you have a small screen, open the menu by clicking the top menu sign ☰.|||Examples are better than 1000 words. Examples are often easier to understand than text explanations.|||This tutorial supplements all explanations with clarifying ""Try it Yourself"" examples.|||If you try all the examples, you will learn a lot about JavaScript, in a very short time!|||JavaScript is one of the 3 languages all web developers must learn:|||   1. HTML to define the content of web pages|||   2. CSS to specify the layout of web pages|||   3. JavaScript to program the behavior of web pages |||This tutorial covers every version of JavaScript:|||In this tutorial, the learning speed is your choice.|||Everything is up to you.|||If you are struggling, take a break, or re-read the material.|||Always make sure you understand all the ""Try-it-Yourself"" examples.|||The only way to become a clever programmer is to:Practice. Practice. Practice. Code. Code. Code !|||Create a variable called carName and assign the value Volvo to it.|||Start the Exercise|||You don't have to get or download JavaScript.|||JavaScript is already running in your browser on your computer,on your tablet, and on your smart-phone.|||JavaScript is free to use for everyone.|||W3Schools maintains a complete JavaScript reference, including all HTML and browser objects.|||The reference contains examples for all properties, methods and events, and is continuously updated according to the latest web standards.|||Test your JavaScript skills at W3Schools!|||Start JavaScript Quiz!|||Get certified by completing the  course",Commonly Asked Questions,"The Original JavaScript ES1 ES2 ES3 (1997-1999)@@@The First Main Revision ES5 (2009)@@@The Second Revision ES6 (2015)@@@The Yearly Additions (2016, 2017, 2018)|||How do I get JavaScript?@@@Where can I download JavaScript?@@@Is JavaScript Free?",,,"[['\n', <h2>My First JavaScript</h2>, '\n', <button onclick=""document.getElementById('demo').innerHTML=Date()"" type=""button"">
Click me to display Date and Time</button>, '\n', <p id=""demo""></p>, '\n']]"
JS Tutorial,JS Introduction,https://www.w3schools.com/js/js_intro.asp,"This page contains some examples of what JavaScript can do.|||One of many JavaScript HTML methods is getElementById().|||The example below ""finds"" an HTML element (with id=""demo""), and changes the element content (innerHTML) to ""Hello JavaScript"":|||JavaScript accepts both double and single quotes:|||In this example JavaScript changes the value of the src (source) attribute of an <img> tag:|||Try it Yourself »|||Changing the style of an HTML element, is a variant of changing an HTML attribute:|||Hiding HTML elements can be done by changing the display style:|||Showing hidden HTML elements can also be done by changing the display style:|||JavaScript and Java are completely different languages, both in concept and design.|||JavaScript was invented by Brendan Eich in 1995, and became an ECMA standard  in 1997.|||ECMA-262 is the official name of the standard. ECMAScript is the official name of the language.",Did You Know?,,,,[]
JS Tutorial,JS Where To,https://www.w3schools.com/js/js_whereto.asp,"In HTML, JavaScript code is inserted between <script> and </script> tags.|||Try it Yourself »|||Old JavaScript examples may use a type attribute: <script type=""text/javascript"">.The type attribute is not required. JavaScript is the default scripting language in HTML.|||A JavaScript function is a block of JavaScript code, that can be executed when ""called"" for.|||For example, a function can be called when an event occurs, like when the user clicks a button.|||You will learn much more about functions and events in later chapters.|||You can place any number of scripts in an HTML document.|||Scripts can be placed in the <body>, or in the <head> section of an HTML page, or in both.|||In this example, a JavaScript function is placed in the <head> section of an HTML page.|||The function is invoked (called) when a button is clicked:|||<h2>Demo JavaScript in Head</h2><p id=""demo"">A Paragraph</p><button type=""button"" onclick=""myFunction()"">Try it</button>|||</body></html>|||In this example, a JavaScript function is placed in the <body> section of an HTML page.|||The function is invoked (called) when a button is clicked:|||Placing scripts at the bottom of the <body> element improves the display speed, because script interpretation slows down the display.|||Scripts can also be placed in external files:|||External scripts are practical when the same code is used in many different web pages. |||JavaScript files have the file extension .js.|||To use an external script, put the name of the script file in the src (source) attribute of a <script> tag:|||You can place an external script reference in <head> or <body> as you like.|||The script will behave as if it was located exactly where the <script> tag is located.|||External scripts cannot contain <script> tags.|||Placing scripts in external files has some advantages:|||To add several script files to one page  - use several script tags:|||An external script can be referenced in 3 different ways:|||This example uses a full URL to link to myScript.js: |||Try it Yourself »|||This example uses a file path to link to myScript.js:|||Try it Yourself »|||This example uses no path to link to myScript.js:|||Try it Yourself »|||You can read more about file paths in the chapter HTML File Paths.",,It separates HTML and code@@@It makes HTML and JavaScript easier to read and maintain@@@Cached JavaScript files can speed up page loads|||With a full URL (a full web address)@@@With a file path (like /js/)@@@Without any path,,,[]
JS Tutorial,JS Output,https://www.w3schools.com/js/js_output.asp,"JavaScript can ""display"" data in different ways:|||To access an HTML element, JavaScript can use the document.getElementById(id) method. |||The id attribute defines the HTML element. The innerHTML  property defines the HTML content:|||Changing the innerHTML property of an HTML elementis a common way to display data in HTML.|||For testing purposes, it is convenient to use document.write():|||Using document.write() after an HTML document is loaded, will delete all existing HTML:|||The document.write() method should only be used for testing.|||You can use an alert box to display data:|||You can skip the window keyword.|||In JavaScript, the window object is the global scope object, that means that variables, properties, and methods by default belong to the window object.This also means that specifying the window keyword is optional:|||For debugging purposes, you can call the console.log() methodin the browser to display data.|||You will learn more about debugging in a later chapter.|||JavaScript does not have any print object or print methods.|||You cannot access output devices from JavaScript.|||The only exception is that you can call the window.print() method inthe browser to print the content of the current window.",,"Writing into an HTML element, using innerHTML.@@@Writing into the HTML output using document.write().@@@Writing into an alert box, using window.alert().@@@Writing into the browser console, using console.log().",,,[]
JS Tutorial,JS Statements,https://www.w3schools.com/js/js_statements.asp,"A computer program is a list of ""instructions"" to be ""executed"" by a computer.|||In a programming language, these programming instructions are called statements.|||A JavaScript program is a list of programming statements.|||In HTML, JavaScript programs are executed by the web browser.|||JavaScript statements are composed of:|||Values, Operators, Expressions, Keywords, and Comments.|||This statement tells the browser to write ""Hello Dolly."" inside an HTML element with id=""demo"":|||Most JavaScript programs contain many JavaScript statements.|||The statements are executed, one by one, in the same order as they are written.|||JavaScript programs (and JavaScript statements) are often called JavaScript code.|||Semicolons separate JavaScript statements.|||Add a semicolon at the end of each executable statement: |||When separated by semicolons, multiple statements on one line are allowed:|||On the web, you might see examples without semicolons. Ending statements with semicolon is not required, but highly recommended.|||JavaScript ignores multiple spaces. You can add white space to your script to make it more readable.|||The following lines are equivalent:|||A good practice is to put spaces around operators ( = + - * / ):|||For best readability, programmers often like to avoid code lines longer than 80 characters.|||If a JavaScript statement does not fit on one line, the best place to break it is after an operator:|||JavaScript statements can be grouped together in code blocks, inside curly brackets {...}.|||The purpose of code blocks is to define statements to be executed together.|||One place you will find statements grouped together in blocks, is in JavaScript functions:|||In this tutorial we use 2 spaces of indentation for code blocks.You will learn more about functions later in this tutorial.|||JavaScript statements often start with a keyword to identify the JavaScript action to be performed.|||Our Reserved Words Reference lists all JavaScript keywords.|||Here is a list of some of the keywords you will learn about in this tutorial: |||JavaScript keywords are reserved words. Reserved words cannot be used as names for variables.",JavaScript White Space,,,var|||Declares a variable&&&let|||Declares a block variable&&&const|||Declares a block constant&&&if|||Marks a block of statements to be executed on a condition&&&switch|||Marks a block of statements to be executed in different cases&&&for|||Marks a block of statements to be executed in a loop&&&function|||Declares a function&&&return|||Exits a function&&&try|||Implements error handling to a block of statements,[]
JS Tutorial,JS Syntax,https://www.w3schools.com/js/js_syntax.asp,"JavaScript syntax is the set of rules, how JavaScript programs are constructed:|||The JavaScript syntax defines two types of values:|||Fixed values are called Literals.|||Variable values are called Variables.|||The two most important syntax rules for fixed values are:|||1. Numbers are written with or without decimals:|||2. Strings are text, written within double or single quotes:|||In a programming language, variables are used to store data values.|||JavaScript uses the keywords var,let and const to declare variables.|||An equal sign is used to assign values to variables.|||In this example, x is defined as a variable. Then, x is assigned (given) the value 6:|||JavaScript uses arithmetic operators ( + - * / ) to compute values: |||JavaScript uses an assignment operator ( = ) to assign values to variables: |||An expression is a combination of values, variables, and operators, which computes to a value.|||The computation is called an evaluation.|||For example, 5 * 10 evaluates to 50:|||Expressions can also contain variable values:|||The values can be of various types, such as numbers and strings.|||For example, ""John"" + "" "" + ""Doe"", evaluates to ""John Doe"":|||JavaScript keywords are used to identify actions to be performed.|||Thelet keyword tells the browser to create variables:|||Thevar keyword also tells the browser to create variables:|||In these examples, using varor let will produce the same result.|||You will learn more about varand let later in this tutorial.|||Not all JavaScript statements are ""executed"".|||Code after double slashes// or between /* and */ is treated as a comment.|||Comments are ignored, and will not be executed:|||You will learn more about comments in a later chapter.|||Identifiers are JavaScript names.|||Identifiers are used to name variables and keywords, and functions.|||The rules for legal names are the same in most programming languages.|||A JavaScript name must begin with:|||Subsequent characters may be letters, digits, underscores, or dollar signs.|||Numbers are not allowed as the first character in names.|||This way JavaScript can easily distinguish identifiers from numbers.|||All JavaScript identifiers are case sensitive.  |||The variables lastName and lastname, are two different variables:|||JavaScript does not interpret LET or Let as the keyword let.|||Historically, programmers have used different ways of joining multiple words into one variable name:|||Hyphens:|||first-name, last-name, master-card, inter-city.|||Hyphens are not allowed in JavaScript. They are reserved for subtractions.|||Underscore:|||first_name, last_name, master_card, inter_city.|||Upper Camel Case (Pascal Case):|||FirstName, LastName, MasterCard, InterCity.|||Lower Camel Case:JavaScript programmers tend to use camel case that starts with a lowercase letter:firstName, lastName, masterCard, interCity.JavaScript Character SetJavaScript uses the Unicode character set.Unicode covers (almost) all the characters, punctuations, and symbols in the world.For a closer look, please study our Complete Unicode Reference.❮ PreviousNext ❯|||Lower Camel Case:|||JavaScript programmers tend to use camel case that starts with a lowercase letter:|||firstName, lastName, masterCard, interCity.|||JavaScript uses the Unicode character set.|||Unicode covers (almost) all the characters, punctuations, and symbols in the world.|||For a closer look, please study our Complete Unicode Reference.",JavaScript Literals|||JavaScript and Camel Case,Fixed values@@@Variable values|||A letter (A-Z or a-z)@@@A dollar sign ($)@@@Or an underscore (_),,,[]
JS Tutorial,JS Comments,https://www.w3schools.com/js/js_comments.asp,"JavaScript comments can be used to explain JavaScript code, and to make it more readable.|||JavaScript comments can also be used to prevent execution, when testing alternative code.|||Single line comments start with //.|||Any text between // and the end of the line will be ignored by JavaScript (will not be executed).|||This example uses a single-line comment before each code line:|||This example uses a single line comment at the end of each line to explain the code:|||Multi-line comments start with /* and end with  */.|||Any text between /* and */ will be ignored by JavaScript.|||This example uses a multi-line comment (a comment block) to explain the code:|||It is most common to use single line comments.Block comments are often used for formal documentation.|||Using comments to prevent execution of code is suitable for code testing.|||Adding // in front of a code line changes the code lines from an executable line to a comment.|||This example uses // to prevent execution of one of the code lines:|||This example uses a comment block to prevent execution of multiple lines:",Multi-line Comments,,,,[]
JS Tutorial,JS Variables,https://www.w3schools.com/js/js_variables.asp,"Variables are containers for storing data (storing data values).|||In this example, x, y, and z,are variables, declared with the var keyword:|||In this example, x, y, and z,are variables, declared with the let keyword:|||In this example, x, y, and z,are undeclared variables:|||From all the examples above, you can guess:|||Always declare JavaScript variables with var,let,orconst.|||The var keyword is used in all JavaScript code from 1995 to 2015.|||The let and const keywords were added to JavaScript in 2015.|||If you want your code to run in older browser, you must use var.|||If you want a general rule: always declare variables with const.|||If you think the value of the variable can change, use let.|||In this example, price1, price2, and total, are variables:|||The two variables price1 and price2are declared with the const keyword.|||These are constant values and cannot be changed.|||The variable total is declared with the let keyword.|||This is a value that can be changed.|||Just like in algebra, variables hold values:|||Just like in algebra, variables are used in expressions:|||From the example above, you can guess that the total is calculated to be 11.|||Variables are containers for storing values.|||All JavaScript variables must beidentified with unique names.|||These unique names are called identifiers.|||Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).|||The general rules for constructing names for variables (unique identifiers) are:|||JavaScript identifiers are case-sensitive.|||In JavaScript, the equal sign (=) is an ""assignment"" operator, not an ""equal to"" operator.|||This is different from algebra. The following does not make sense in algebra:|||In JavaScript, however, it makes perfect sense: it assigns the value of x + 5 to x.|||(It calculates the value of x + 5 and puts the result into x. The value of x is incremented by 5.)|||The ""equal to"" operator is written like == in JavaScript.|||JavaScript variables can hold numbers like 100 and text values like ""John Doe"".|||In programming, text values are called text strings.|||JavaScript can handle many types of data, but for now, just think of numbers and strings. |||Strings are written inside double or single quotes. Numbers are written without quotes.|||If you put a number in quotes, it will be treated as a text string.|||Creating a variable in JavaScript is called ""declaring"" a variable. |||You declare a JavaScript variable with the var or the let keyword:|||After the declaration, the variable has no value (technically it is undefined).|||To assign a value to the variable, use the equal sign:|||You can also assign a value to the variable when you declare it:|||In the example below, we create a variable called carName and assign the value ""Volvo"" to it.|||Then we ""output"" the value inside an HTML paragraph with id=""demo"":|||It's a good programming practice to declare all variables at the beginning of a script.|||You can declare many variables in one statement.|||Start the statement with var and separate the variables by comma:|||A declaration can span multiple lines: |||In computer programs, variables are often declared without a value. The value can be something that has to be calculated, or something that will be provided later, like user input.|||A variable declared without a value will have the value undefined.|||The variable carName will have the value undefined after the execution of this statement:|||If you re-declare a JavaScript variable declared with var, it will not lose its value.|||The variable carName will still have the value ""Volvo"" after the execution of these statements:|||You cannot re-declare a variable declared with let or const.|||This will not work:|||As with algebra, you can do arithmetic with JavaScript variables, using operators like = and +: |||You can also add strings, but strings will be concatenated:|||Also try this:|||If you put a number in quotes, the rest of the numbers will be treated as strings, and concatenated.|||Now try this:|||Since JavaScript treats a dollar sign as a letter, identifiers containing $ are valid variable names:|||Using the dollar sign is not very common in JavaScript,but professional programmers often use it as an alias for the main function in a JavaScript library.|||In the JavaScript library jQuery, for instance, the main function$ is used to select HTML elements.In jQuery $(""p""); means ""select all p elements"".|||Since JavaScript treats underscore as a letter, identifiers containing _ are valid variable names:Examplelet _lastName = ""Johnson"";let _x = 2;let _100 = 5;Try it Yourself »Using the underscore is not very common in JavaScript,but a convention among professional programmers is to use it as an alias for""private (hidden)"" variables.Test Yourself With ExercisesExercise:Create a variable called carName and assign the value Volvo to it.var  = """";Submit Answer »Start the Exercise❮ PreviousNext ❯|||Since JavaScript treats underscore as a letter, identifiers containing _ are valid variable names:|||Using the underscore is not very common in JavaScript,but a convention among professional programmers is to use it as an alias for""private (hidden)"" variables.|||Create a variable called carName and assign the value Volvo to it.|||Start the Exercise",4 Ways to Declare a JavaScript Variable:|||When to Use JavaScript const?,"Using var@@@Using let@@@Using const@@@Using nothing|||x stores the value 5@@@y stores the value 6@@@z stores the value 11|||Names can contain letters, digits, underscores, and dollar signs.@@@Names must begin with a letter@@@Names can also begin with $ and _ (but we will not use it in this tutorial)@@@Names are case sensitive (y and Y are different variables)@@@Reserved words (like JavaScript keywords) cannot be used as names",,,[]
JS Tutorial,JS Let,https://www.w3schools.com/js/js_let.asp,"The let keyword was introduced inES6 (2015).|||Variables defined with let cannot be Redeclared.|||Variables defined with let must be Declared before use.|||Variables defined with let have Block Scope.|||Variables defined with let cannot be redeclared.|||You cannot accidentally redeclare a variable.|||With let you can not do this:|||With var you can:|||Before ES6 (2015), JavaScript had only Global Scope and Function Scope.|||ES6 introduced two important new JavaScript keywords: let and const.|||These two keywords provide Block Scope in JavaScript.|||Variables declared inside a { } block cannot be accessed from outside the block:|||Variables declared with the var keyword can NOT have block scope.|||Variables declared inside a { } block can be accessed from outside the block. |||Redeclaring a variable using the var keyword can impose problems.|||Redeclaring a variable inside a block will also redeclare the variable outside the block:|||Redeclaring a variable using the let keyword can solve this problem.|||Redeclaring a variable inside a block will not redeclare the variable outside the block:|||The let keyword is not fully supported in Internet Explorer 11 or earlier.|||The following table defines the first browser versions with full support for the let keyword: |||Redeclaring a JavaScript variable with var is allowed anywhere in a program:|||With let, redeclaring a variable in the same block is NOT allowed:|||Redeclaring a variable with let, in another block, IS allowed:|||Variables defined with var are hoisted to the top and can be initialized at any time.Meaning: You can use the variable before it is declared:ExampleThis is OK:  carName = ""Volvo"";  var carName;Try it Yourself »If you want to learn more about hoisting, study the chapter JavaScript Hoisting.Variables defined with let are also hoisted to the top of the block, but not initialized.Meaning: Using a let variable before it is declared will result in a ReferenceError:ExamplecarName = ""Saab"";let carName = ""Volvo"";Try it Yourself »❮ PreviousNext ❯|||Meaning: You can use the variable before it is declared:|||This is OK:|||If you want to learn more about hoisting, study the chapter JavaScript Hoisting.Variables defined with let are also hoisted to the top of the block, but not initialized.Meaning: Using a let variable before it is declared will result in a ReferenceError:ExamplecarName = ""Saab"";let carName = ""Volvo"";Try it Yourself »❮ PreviousNext ❯|||Variables defined with let are also hoisted to the top of the block, but not initialized.|||Meaning: Using a let variable before it is declared will result in a ReferenceError:",Browser Support,,,"Chrome 49|||Edge 12|||Firefox 44|||Safari 11|||Opera 36&&&Mar, 2016|||Jul, 2015|||Jan, 2015|||Sep, 2017|||Mar, 2016",[]
JS Tutorial,JS Const,https://www.w3schools.com/js/js_const.asp,"The const keyword was introduced inES6 (2015).|||Variables defined with const cannot be Redeclared.|||Variables defined with const cannot be Reassigned.|||Variables defined with const have Block Scope.|||A const variable cannot be reassigned:|||JavaScript const variables must be assigned a value when they are declared:|||As a general rule, always declare a variable with const unless you know thatthe value will change.|||Use const when you declare:|||The keyword const is a little misleading.|||It does not define a constant value. It defines a constant reference to a value.|||Because of this you can NOT:|||But you CAN:|||You can change the elements of a constant array:|||But you can NOT reassign the array:|||You can change the properties of a constant object:|||But you can NOT reassign the object:|||The const keyword is not supported in Internet Explorer 10 or earlier.|||The following table defines the first browser versions with full support for the const keyword: |||Declaring a variable with const is similar to let when it comes to Block Scope.|||The x declared in the block, in this example, is not the same as the x declared outside the block:|||You can learn more about block scope in the chapter JavaScript Scope.|||Redeclaring a JavaScript var variable is allowed anywhere in a program:|||Redeclaring an existing var or letvariable to const, in the same scope, is not allowed:|||Reassigning an existing const variable, in the same scope, is not allowed:|||Redeclaring a variable with const, in another scope, or in another block, is allowed:|||Variables defined with var are hoisted to the top and can be initialized at any time.|||Meaning: You can use the variable before it is declared:|||This is OK:|||If you want to learn more about hoisting, study the chapter JavaScript Hoisting.Variables defined with const are also hoisted to the top,but not initialized.Meaning: Using a const variable before it is declared will result in a ReferenceError:Examplealert (carName);const carName = ""Volvo"";Try it Yourself »❮ PreviousNext ❯|||Variables defined with const are also hoisted to the top,but not initialized.|||Meaning: Using a const variable before it is declared will result in a ReferenceError:",When to use JavaScript const?,A new Array@@@A new Object@@@A new Function@@@A new RegExp|||Reassign a constant value@@@Reassign a constant array@@@Reassign a constant object|||But you CAN:@@@Change the elements of constant array@@@Change the properties of constant object,,"Chrome 49|||IE 11 / Edge|||Firefox 36|||Safari 10|||Opera 36&&&Mar, 2016|||Oct, 2013|||Feb, 2015|||Sep, 2016|||Mar, 2016",[]
