Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Kotlin Tutorial,Kotlin HOME,https://www.w3schools.com/kotlin/index.php,"Kotlin is a modern, trending programming language.|||Kotlin is easy to learn, especially if you already know Java (it is   100% compatible with Java).|||Kotlin is used to develop Android apps, server side apps, and much more.|||Our ""Try it Yourself"" editor makes it easy to learn Kotlin. You can edit the code and view the result in your browser:|||Click on the ""Try it Yourself"" button to see how it works.|||We recommend reading this tutorial, in the sequence listed in the left menu.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All Kotlin Examples|||Download Kotlin from github:https://github.com/JetBrains/kotlin",,,,,"[['\n  fun main() { ', '\xa0 println(""Hello World"") ', '}']]"
Kotlin Tutorial,Kotlin Intro,https://www.w3schools.com/kotlin/kotlin_intro.php,"Kotlin is a modern, trending programming language that was released in 2016 by JetBrains.|||It has become very popular since it is compatible with Java (one of the most popular programming languages out there), which means that Java code (and libraries) can be used in Kotlin programs.|||Kotlin is used for:|||This tutorial will teach you the very basics of Kotlin.|||It is not necessary to have any prior programming experience.",Why Use Kotlin?,"Mobile applications (specially Android apps)@@@Web development@@@Server side applications@@@Data science@@@And much, much more!|||Kotlin is fully compatible with Java@@@Kotlin works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc.)@@@Kotlin is concise and safe@@@Kotlin is easy to learn, especially if you already know Java@@@Kotlin is free to use@@@Big community/support",,,[]
Kotlin Tutorial,Kotlin Get Started,https://www.w3schools.com/kotlin/kotlin_getstarted.php,"The easiest way to get started with Kotlin, is to use an IDE.|||An IDE (Integrated Development Environment) is used to edit and compile code.|||In this chapter, we will use IntelliJ (developed by the same people that created Kotlin) which is free to download from https://www.jetbrains.com/idea/download/.|||Once IntelliJ is downloaded and installed, click on the New Project button to get started with IntelliJ:|||Then click on ""Kotlin"" in the left side menu, and enter a name for your project:|||Next, we need to install something called JDK (Java Development Kit) to get our Kotlin project up and going. Click on the ""Project JDK"" menu, select ""Download JDK"" and select a version and vendor (e.g. AdoptOpenJDK 11)and click on the ""Download"" button:|||When the JDK is downloaded and installed, choose it from the select menu and then click on the ""Next"" button and at last ""Finish"":|||Now we can start working with our Kotlin project. Do not worry about all of the different buttons and functions in IntelliJ. For now, just open the src (source) folder, and follow the same steps as in the image below, to create a kotlin file:|||Select the ""File"" option and add a name to your Kotlin file, for example ""Main"":|||You have now created your first Kotlin file (Main.kt). Let's add some Kotlin code to it, and run the program to see how it works. Inside the Main.kt file, add the following code:|||Main.kt|||Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, lets focus on how to run the code. Click on the Run button at the top navigation bar, then click ""Run"", and select ""Mainkt"". |||Next, IntelliJ will build your project, and run the Kotlin file. The output will look something like this:|||As you can see, the output of the code was ""Hello World"", meaning that you have now written and executed your first Kotlin program!|||When learning Kotlin at w3schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result. This will make it easier for you to understand every part as we move forward:|||Code:|||Result:",Learning Kotlin At W3Schools,,,,"[['\n  fun main() { ', '\xa0 println(""Hello World"") ', '}'], ['\n  fun main() {', '\xa0 println(""Hello World"")', '}']]"
Kotlin Tutorial,Kotlin Syntax,https://www.w3schools.com/kotlin/kotlin_syntax.php,"In the previous chapter, we created a Kotlin file called Main.kt, and we used the following code to print ""Hello World"" to the screen:|||The fun keyword is used to declare a function. A function is a block of code designed to perform a particular task. In the example above, it declares the main() function.|||The main() function is something you will see in every Kotlin program. This function is used to execute code. Any code inside the main() function's curly brackets {} will be executed.|||For example, the println() function is inside the main() function, meaning that this will be executed. The println() function is used to output/print text, and in our example it will output ""Hello World"".|||Good To Know: In Kotlin, code statements do not have to end with a semicolon (;) (which is often required for other programming languages, such as Java, C++, C#, etc.).|||Before Kotlin version 1.3, it was required to use the main() function with parameters, like: fun main(args : Array<String>). The example above had to be written like this to work:|||Note: This is no longer required, and the program will run fine without it. However, it will not do any harm if you have been using it in the past, and will continue to use it.",Example explained,,,,"[['\n  fun main() { ', '\xa0 println(""Hello World"") ', '}'], ['\n  fun main(args : Array<String>) { ', '\xa0 println(""Hello World"") ', '}']]"
Kotlin Tutorial,Kotlin Output,https://www.w3schools.com/kotlin/kotlin_output.php,"The println() function is used to output values/print text:|||You can add as many println() functions as you want. Note that it will add a new line for each function:|||You can also print numbers, and perform mathematical calculations:|||There is also a print() function, which is similar to println(). The only difference is that it does not insert a new line at the end of the output:|||Note that we have added a space character to create a space between the sentences.",,,,,"[['\n  fun main() { ', '\xa0 println(""Hello World"") ', '}'], ['\n  fun main() { ', '\xa0 println(""Hello World!"")', '\xa0 println(""I \n  am learning Kotlin."")', '\xa0 println(""It is awesome!"")', '}'], ['\n  fun main() { ', '\xa0 println(3 + 3)', '}'], ['\n  fun main() { ', '\xa0 print(""Hello World! "")', '\xa0 print(""I \n  am learning Kotlin. "")', '\xa0 print(""It is awesome!"")', '}']]"
Kotlin Tutorial,Kotlin Comments,https://www.w3schools.com/kotlin/kotlin_comments.php,"Comments can be used to explain Kotlin code, and to make it more readable. It can also be used to prevent execution when testing alternative code.|||Single-line comments starts with two forward slashes (//).|||Any text between // and the end of the line is ignored by Kotlin (will not be executed).|||This example uses a single-line comment before a line of code:|||This example uses a single-line comment at the end of a line of code:|||Multi-line comments start with /* and ends with */.|||Any text between /* and */ will be ignored by Kotlin.|||This example uses a multi-line comment (a comment block) to explain the code:",Multi-line Comments,,,,"[['\n  // This is a comment', 'println(""Hello World"") '], ['\n  println(""Hello World"")\xa0 // This is a comment'], ['\n  /* The code below will print the words Hello World', 'to the screen, and it is \n  amazing */', 'println(""Hello World"")\xa0 ']]"
Kotlin Tutorial,Kotlin Variables,https://www.w3schools.com/kotlin/kotlin_variables.php,"Variables are containers for storing data values.|||To create a variable, use var or val, and assign a value to it with the equal sign (=):|||The difference between var and val is that variables declared with the var keyword can be changed/modified, while val variables cannot.|||Unlike many other programming languages, variables in Kotlin do not need to be declared with a specified type (like ""String"" for text or ""Int"" for numbers, if you are familiar with those).|||To create a variable in Kotlin that should store text and another that should store a number, look at the following example:|||Kotlin is smart enough to understand that ""John"" is a String (text), and that 1975 is an Int (number) variable.|||However, it is possible to specify the type if you insist:|||You can also declare a variable without assigning the value, and assign the value later. However, this is only possible when you specify the type:|||This works fine:|||This will generate an error:|||Note: You will learn more about Data Types in the next chapter.|||When you create a variable with the val keyword, the value   cannot be changed/reassigned.|||The following example will generate an error:|||When using var, you can change the value whenever you want:|||The val keyword is useful when you want a variable to always store the same value, like PI (3.14159...):|||Like you have seen with the examples above, the println() method is often used to display variables.|||To combine both text and a variable, use the + character:|||You can also use the + character to add a variable to another variable:|||For numeric values, the + character works as a mathematical operator:|||From the example above, you can expect:|||A variable can have a short name (like x and y) or more descriptive names (age, sum, totalVolume).|||The general rule for Kotlin variables are:|||You might notice that we used firstName and lastName as variable names in the example above, instead of firstname and lastname. This is called ""camelCase"", and it is considered as good practice as it makes it easier to read when you have a variable name with different words in it, for example ""myFavoriteFood"", ""rateActionMovies"" etc.",,"x stores the value 5@@@y stores the value 6@@@Then we use the println() method to display the value of x + y,  which is 11|||Names can contain letters, digits, underscores, and dollar signs@@@Names should start with a letter@@@Names can also begin with $ and _ (but we will not use it in this tutorial)@@@Names are case sensitive (""myVar"" and ""myvar"" are different variables)@@@Names should start with a lowercase letter and it cannot contain whitespace@@@Reserved words (like Kotlin keywords, such as   var or   String) cannot be used as names",,,"[['\n  var name = ""John""', 'val birthyear = 1975', 'println(name)\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Print the value of name', '\n  println(birthyear)\xa0\xa0\xa0\xa0 // Print the value of birthyear'], ['\n  var name = ""John""\xa0\xa0\xa0\xa0\xa0 // String (text)', 'val birthyear = 1975\xa0\xa0 // Int \n  (number)', 'println(name)\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Print the value of name', '\n  println(birthyear)\xa0\xa0\xa0\xa0 // Print the value of birthyear'], ['\n  var name: \n  String = ""John"" // String', 'val birthyear: Int = 1975 // Int', 'println(name)', '\n  println(birthyear)'], ['\n  var name: String', 'name = ""John""', 'println(name)'], ['\n  var \n  name = ""John""', 'name = ""Robert""', 'println(name)'], ['\n  val pi = 3.14159265359', '\n  println(pi)'], ['\n  val name = ""John""', 'println(""Hello "" + name)'], ['\n  val firstName = ""John ""', 'val lastName = ""Doe""', 'val fullName = firstName + \n  lastName', 'println(fullName)'], ['\n  val x = 5', 'val y = 6', 'println(x + y) // Print the value of x + y ']]"
Kotlin Tutorial,Kotlin Data Types,https://www.w3schools.com/kotlin/kotlin_data_types.php,"In Kotlin, the type of a variable is decided by its value:|||However, you learned from the previous chapter that it is possible to specify the type if you want:|||Sometimes you have to specify the type, and often you don't. Anyhow, it is good to know what the different types represent.You will learn more about when you need to specify the type later.Data types are divided into different groups:NumbersCharactersBooleansStringsArraysNumbersNumber types are divided into two groups:Integer types store whole numbers, positive or negative (such as 123 or -456), without decimals. Valid types are Byte, Short, Int and Long.Floating point types represent numbers with a fractional part, containing one or more decimals. There are two types: Float and Double.If you don't specify the type for a numeric variable, it is most often returned as Int for whole numbers and Double for floating point numbers.Integer TypesByteThe Byte data type can store whole numbers from -128 to 127. This can be used instead of Int or other integer types to save memory when you are certain that the value will be within -128 and 127:Example  val myNum: Byte = 100  println(myNum)Try it Yourself »ShortThe Short data type can store whole numbers from -32768 to 32767:Example  val myNum: Short = 5000println(myNum)Try it Yourself »IntThe Int data type can store whole numbers from -2147483648 to 2147483647:Example  val myNum: Int = 100000  println(myNum)Try it Yourself »LongThe Long data type can store whole numbers from -9223372036854775808 to 9223372036854775808. This is used when Int is not large enough to store the value. Optionally, you can end the value with an ""L"":Example  val myNum: Long = 15000000000L  println(myNum)Try it Yourself »Difference Between Int and LongA whole number is an Int as long as it is up to 2147483647. If it goes beyond that, it is defined as Long:Example  val myNum1 = 2147483647  // Intval myNum2 = 2147483648  // LongFloating Point TypesFloating point types represent numbers with a decimal, such as 9.99 or 3.14515.FloatThe Float data type can store fractional numbers from 3.4e−038 to 3.4e+038. Note that you should end the value with an ""F"":Example  val myNum: Float = 5.75Fprintln(myNum)Try it Yourself »DoubleThe Double data type can store fractional numbers from 1.7e−308 to 1.7e+038:Example  val myNum: Double = 19.99println(myNum)Try it Yourself »Use Float or Double?The precision of a floating point value indicates how many digits the value can have after the decimal point.The precision of Float is only six or seven decimal digits, while Double variables have a precision of about 15 digits. Therefore it is safer to use Double for most calculations.Scientific NumbersA floating point number can also be a scientific number with an ""e"" or ""E"" to indicate the power of 10:Example  val myNum1: Float = 35E3Fval myNum2: Double = 12E4println(myNum1)println(myNum2)Try it Yourself »BooleansThe Boolean data type and can only take the values true or false:Example  val isKotlinFun: Boolean = trueval isFishTasty: Boolean = false  println(isKotlinFun)   // Outputs true  println(isFishTasty)   // Outputs false Try it Yourself »Boolean values are mostly used for conditional testing, which you will learn more about in a later chapter.CharactersThe Char data type is used to store a single character. A char value must be surrounded by single quotes, like 'A' or 'c':Example  val myGrade: Char = 'B'  println(myGrade)Try it Yourself »Unlike Java, you cannot use ASCII values to display certain characters. The value 66 would output a ""B"" in Java, but will generate an error in Kotlin:Example  val myLetter: Char = 66  println(myLetter) // ErrorStringsThe String data type is used to store a sequence of characters (text). String values must be surrounded by double quotes:Example  val myText: String = ""Hello World""println(myText)Try it Yourself »You will learn more about strings in the Strings chapter.ArraysArrays are used to store multiple values in a single variable, instead of declaring separate variables for each value.You will learn more about arrays in the Arrays chapter.Type ConversionType conversion is when you convert the value of one data type to another type.In Kotlin, numeric type conversion is different from Java. For example, it is not possible to convert an Int type to a Long type with the following code:Example  val x: Int = 5 val y: Long = x println(y) // Error: Type mismatch Try it Yourself »To convert a numeric data type to another type, you must use one of the following functions: toByte(), toShort(), toInt(), toLong(), toFloat(), toDouble() or toChar():Example  val x: Int = 5 val y: Long = x.toLong()println(y)Try it Yourself »❮ PreviousNext ❯|||You will learn more about when you need to specify the type later.|||Data types are divided into different groups:|||Number types are divided into two groups:|||Integer types store whole numbers, positive or negative (such as 123 or -456), without decimals. Valid types are Byte, Short, Int and Long.|||Floating point types represent numbers with a fractional part, containing one or more decimals. There are two types: Float and Double.|||If you don't specify the type for a numeric variable, it is most often returned as Int for whole numbers and Double for floating point numbers.|||The Byte data type can store whole numbers from -128 to 127. This can be used instead of Int or other integer types to save memory when you are certain that the value will be within -128 and 127:|||The Short data type can store whole numbers from -32768 to 32767:|||The Int data type can store whole numbers from -2147483648 to 2147483647:|||The Long data type can store whole numbers from -9223372036854775808 to 9223372036854775808. This is used when Int is not large enough to store the value. Optionally, you can end the value with an ""L"":|||A whole number is an Int as long as it is up to 2147483647. If it goes beyond that, it is defined as Long:|||Floating point types represent numbers with a decimal, such as 9.99 or 3.14515.|||The Float data type can store fractional numbers from 3.4e−038 to 3.4e+038. Note that you should end the value with an ""F"":|||The Double data type can store fractional numbers from 1.7e−308 to 1.7e+038:|||Use Float or Double?|||The precision of a floating point value indicates how many digits the value can have after the decimal point.The precision of Float is only six or seven decimal digits, while Double variables have a precision of about 15 digits. Therefore it is safer to use Double for most calculations.|||A floating point number can also be a scientific number with an ""e"" or ""E"" to indicate the power of 10:|||The Boolean data type and can only take the values true or false:|||Boolean values are mostly used for conditional testing, which you will learn more about in a later chapter.|||The Char data type is used to store a single character. A char value must be surrounded by single quotes, like 'A' or 'c':|||Unlike Java, you cannot use ASCII values to display certain characters. The value 66 would output a ""B"" in Java, but will generate an error in Kotlin:|||The String data type is used to store a sequence of characters (text). String values must be surrounded by double quotes:|||You will learn more about strings in the Strings chapter.|||Arrays are used to store multiple values in a single variable, instead of declaring separate variables for each value.|||You will learn more about arrays in the Arrays chapter.|||Type conversion is when you convert the value of one data type to another type.|||In Kotlin, numeric type conversion is different from Java. For example, it is not possible to convert an Int type to a Long type with the following code:|||To convert a numeric data type to another type, you must use one of the following functions: toByte(), toShort(), toInt(), toLong(), toFloat(), toDouble() or toChar():",Float|||Arrays,Numbers@@@Characters@@@Booleans@@@Strings@@@Arrays,,,"[['\n  val myNum = 5\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // Int', 'val \n  myDoubleNum = 5.99\xa0\xa0\xa0\xa0// Double', ""val myLetter = 'D' \xa0\xa0\xa0\xa0 \xa0\xa0// \n  Char"", 'val myBoolean = true\xa0\xa0\xa0\xa0\xa0 // Boolean', 'val myText = ""Hello"" \xa0\xa0\xa0\xa0 \n  // String'], ['\n  val myNum: Int = 5\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0 // Int', 'val \n  myDoubleNum: \n  Double = 5.99\xa0\xa0\xa0\xa0// Double', ""val myLetter: Char = 'D' \xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0// \n  Char"", 'val myBoolean: Boolean = true\xa0 \xa0\xa0 // Boolean', 'val myText: \n  String = ""Hello"" \xa0\xa0\xa0\xa0 \n  // String'], ['\n  val myNum: Byte = 100', '\n  println(myNum)'], ['\n  val myNum: Short = 5000', 'println(myNum)'], ['\n  val myNum: Int = 100000', '\n  println(myNum)'], ['\n  val myNum: Long = 15000000000L', '\n  println(myNum)'], ['\n  val myNum1 = 2147483647\xa0 // Int', 'val myNum2 = 2147483648\xa0 // Long'], ['\n  val myNum: Float = 5.75F', 'println(myNum)'], ['\n  val myNum: Double = 19.99', 'println(myNum)'], ['\n  val myNum1: Float = 35E3F', 'val myNum2: Double = 12E4', 'println(myNum1)', 'println(myNum2)'], ['\n  val isKotlinFun: Boolean = true', 'val isFishTasty: Boolean = false', '\n  println(isKotlinFun)\xa0\xa0\xa0// Outputs true', '\n  println(isFishTasty)\xa0\xa0 // Outputs false '], [""\n  val myGrade: Char = 'B'"", '\n  println(myGrade)'], ['\n  val myText: String = ""Hello World""', 'println(myText)'], ['\n  val x: Int = 5 ', 'val y: Long = x.toLong()', 'println(y)']]"
Kotlin Tutorial,Kotlin Operators,https://www.w3schools.com/kotlin/kotlin_operators.php,"Operators are used to perform operations on variables and values.|||The value is called an operand, while the operation (to be performed between the two operands) is defined by an operator:|||In the example below, the numbers 100 and 50 are operands, and the+ sign is an operator:|||Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and a variable:|||Kotlin divides the operators into the following groups:|||Arithmetic operators are used to perform common mathematical operations.|||Assignment operators are used to assign values to variables.|||In the example below, we use the assignment operator (=) to assign the value 10 to a variable called x:|||The addition assignment operator (+=) adds a value to a variable:|||A list of all assignment operators:|||Comparison operators are used to compare two values, and returns a Boolean value: either true or false.|||You will learn much more about Booleans in the Boolean chapter and Conditions.|||Logical operators are used to determine the logic between variables or values:",,Arithmetic operators@@@Assignment operators@@@Comparison operators@@@Logical operators,,"100|||+|||50$$$&&&+|||Addition|||Adds together two values|||x + y|||Try it »&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »&&&/|||Division|||Divides one value from another|||x / y|||Try it »&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »&&&++|||Increment|||Increases the value by 1|||++x|||Try it »&&&--|||Decrement|||Decreases the value by 1|||--x|||Try it »$$$&&&=|||x = 5|||x = 5|||Try it »&&&+=|||x += 3|||x = x + 3|||Try it »&&&-=|||x -= 3|||x = x - 3|||Try it »&&&*=|||x *= 3|||x = x * 3|||Try it »&&&/=|||x /= 3|||x = x / 3|||Try it »&&&%=|||x %= 3|||x = x % 3|||Try it »$$$&&&==|||Equal to|||x == y|||Try it »&&&!=|||Not equal|||x != y|||Try it »&&&>|||Greater than|||x > y|||Try it »&&&<|||Less than|||x < y|||Try it »&&&>=|||Greater than or equal to|||x >= y|||Try it »&&&<=|||Less than or equal to|||x <= y|||Try it »$$$&& |||Logical and|||Returns true if both statements are true|||x < 5 &&  x < 10|||Try it »&&&|| |||Logical or|||Returns true if one of the statements is true|||x < 5 || x < 4|||Try it »&&&!|||Logical not|||Reverse the result, returns false if the result is true||||||Try it »","[['\n  var x = 100 + 50'], ['\n  var sum1 = 100 + 50\xa0\xa0\xa0\xa0\xa0\xa0 // 150 (100 + 50)', '\n  var sum2 = sum1 + 250\xa0\xa0\xa0\xa0 // 400 (150 + 250)', 'var sum3 = \n  sum2 + sum2\xa0\xa0\xa0 // 800 (400 + 400)'], ['\n  var x = 10'], ['\n  var x = 10', 'x += 5']]"
Kotlin Tutorial,Kotlin Strings,https://www.w3schools.com/kotlin/kotlin_strings.php,"Strings are used for storing text.|||A string contains a collection of characters surrounded by double quotes:|||Unlike Java, you do not have to specify that the variable should be a String. Kotlin is smart enough to understand that the greeting variable in the example above is a String because of the double quotes.|||However, just like with other data types, you can specify the type if you insist:|||Note: If you want to create a String without assigning the value (and assign the value later), you must specify the type while declaring the variable:|||This works fine:|||This will generate an error:|||To access the characters (elements) of a string, you must refer to the index number inside square brackets.|||String indexes start with 0. In the example below, we access the first and third element in txt:|||[0] is the first element. [1] is the second element, [2] is the third element, etc.|||A String in Kotlin is an object, which contain properties and functions that can perform certain operations on strings, by writing a dot character (.) after the specific string variable. For example, the length of a string can be found with the length property:|||There are many string functions available, for example toUpperCase() and toLowerCase():|||The compareTo(string) function compares two strings and returns 0 if both are equal:|||The indexOf() function returns the index (the position) of the first occurrence of a specified text in a string (including whitespace):|||Remember that Kotlin counts positions from zero.0 is the first position in a string, 1 is the second, 2 is the third ...|||To use quotes inside a string, use single quotes ('):|||The + operator can be used between strings to add them together to make a new string. This is called concatenation:|||Note that we have added an empty text ("" "") to create a space between firstName and lastName on print.|||You can also use the plus() function to concatenate two strings:|||Instead of concatenation, you can also use ""string templates"", which is an easy way to add variables and expressions inside a string.|||Just refer to the variable with the $ symbol:|||""String Templates"" is a popular feature of Kotlin, as it reduces the amount of code. For example, you do not have to specify a whitespace between firstName and lastName, like we did in the concatenation example.",,,,,"[['\n  var greeting = ""Hello""'], ['\n  var greeting: String = ""Hello""'], ['\n  var name: String', 'name = ""John""', 'println(name)'], ['\n  var txt = ""Hello World""', 'println(txt[0]) // first element (H)', '\n  println(txt[2]) // third element (l)'], ['\n  var txt = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""', 'println(""The length of the txt string is: "" + \n  txt.length)'], ['\n  var txt = ""Hello World""', 'println(txt.toUpperCase())\xa0\xa0 \n  // Outputs ""HELLO WORLD""', 'println(txt.toLowerCase())\xa0\xa0 \n  // Outputs ""hello world""'], ['\n  var txt1 = ""Hello World""', 'var txt2 = ""Hello World""', '\n  println(txt1.compareTo(txt2))\xa0 // \n  Outputs 0 (they are equal)'], ['\n  var txt = ""Please locate where \'locate\' occurs!""', '\n  println(txt.indexOf(""locate""))\xa0 // Outputs 7'], ['\n  var txt1 = ""It\'s alright""', 'var txt2 = ""That\'s great""'], ['\n  var firstName = ""John""', 'var lastName = ""Doe""', 'println(firstName + "" "" + \n  lastName)'], ['\n  var firstName = ""John ""', 'var lastName = ""Doe""', '\n  println(firstName.plus(lastName))'], ['\n  var firstName = ""John""', 'var lastName = ""Doe""', 'println(""My name is \n  $firstName $lastName"")']]"
