Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
MySQL Tutorial,MySQL HOME,https://www.w3schools.com/mysql/default.asp,"MySQL is a widely used relational database management system (RDBMS).|||MySQL is free and open-source.|||MySQL is ideal for both small and large applications.|||With our online MySQL editor, you can edit the SQL statements, and click on a button to view the result.|||Click on the ""Try it Yourself"" button to see how it works.|||Insert the missing statement to get all the columns from the Customers table.|||Start the Exercise|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All SQL Examples|||Test your MySQL skills at W3Schools!|||Start MySQL Quiz!|||At W3Schools you will find a complete reference of MySQL data types and functions:|||MySQL Data Types|||MySQL Functions",Examples in Each Chapter,,,,[['\nSELECT * FROM Customers;\n']]
MySQL Tutorial,MySQL Intro,https://www.w3schools.com/mysql/mysql_intro.asp,"MySQL is a very popular open-source relational database management system (RDBMS).|||To build a web site that shows data from a database, you will need:",What is MySQL?|||Who Uses MySQL?,"MySQL is a relational database management system@@@MySQL is open-source@@@MySQL is free@@@MySQL is ideal for both small and large applications@@@MySQL is very fast, reliable, scalable, and easy to use@@@MySQL is cross-platform@@@MySQL is compliant with the ANSI SQL standard@@@MySQL was first released in 1995@@@MySQL is developed, distributed, and supported by Oracle Corporation@@@MySQL is named after co-founder Monty Widenius's daughter: My|||Huge websites like Facebook, Twitter, Airbnb, Booking.com, Uber, GitHub, YouTube, etc.@@@Content Management Systems like WordPress, Drupal, Joomla!, Contao, etc.@@@A very large number of web developers around the world|||An RDBMS database program (like MySQL)@@@A server-side scripting language, like PHP@@@To use SQL to get the data you want@@@To use HTML / CSS to style the page",,,[]
MySQL Tutorial,MySQL RDBMS,https://www.w3schools.com/mysql/mysql_rdbms.asp,"RDBMS stands for Relational Database Management System.|||RDBMS is a program used to maintain a relational database.|||RDBMS is the basis for all modern database systems such as MySQL, Microsoft SQL Server, Oracle, and Microsoft Access.|||RDBMS uses SQL queries to access the data in the database.|||A table is a collection of related data entries, and it consists of columns and rows.|||A column holds specific information about every record in the table.|||A record (or row) is each individual entry that exists in a table.|||Look at a selection from the Northwind ""Customers"" table:|||The columns in the ""Customers"" table above are: CustomerID, CustomerName, ContactName, Address, City, PostalCode and Country. The table has 5 records (rows).|||A relational database defines database relationships in the form of tables. The tables are related to each other - based on data common to each.|||Look at the following three tables ""Customers"", ""Orders"", and ""Shippers"" from the Northwind database:|||The relationship between the ""Customers"" table and the ""Orders"" table is the CustomerID column:|||The relationship between the ""Orders"" table and the ""Shippers"" table is the ShipperID column:",,,,1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden$$$&&&1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden$$$&&&10278|||5|||8|||1996-08-12|||2&&&10280|||5|||2|||1996-08-14|||1&&&10308|||2|||7|||1996-09-18|||3&&&10355|||4|||6|||1996-11-15|||1&&&10365|||3|||3|||1996-11-27|||2&&&10383|||4|||8|||1996-12-16|||3&&&10384|||5|||3|||1996-12-16|||3$$$1|||Speedy Express|||(503) 555-9831&&&2|||United Package|||(503) 555-3199&&&3|||Federal Shipping|||(503) 555-9931,[]
MySQL SQL,MySQL SQL,https://www.w3schools.com/mysql/mysql_sql.asp,"SQL is the standard language for dealing with Relational Databases.|||SQL is used to insert, search, update, and delete database records.|||The following SQL statement selects all the records in the ""Customers"" table:|||In this tutorial we will write all SQL keywords in upper-case.|||Some database systems require a semicolon at the end of each SQL statement.|||Semicolon is the standard way to separate each SQL statement in database systems that allow more than one SQL statement to be executed in the same call to the server.|||In this tutorial, we will use semicolon at the end of each SQL statement.",Keep in Mind That...|||Some of The Most Important SQL Commands,SQL keywords are NOT case sensitive: select is the same as   SELECT|||SELECT - extracts data from a database@@@UPDATE - updates data in a database@@@DELETE - deletes data from a database@@@INSERT INTO - inserts new data into a database@@@CREATE DATABASE - creates a new database@@@ALTER DATABASE - modifies a database@@@CREATE TABLE - creates a new table@@@ALTER TABLE - modifies a table@@@DROP TABLE - deletes a table@@@CREATE INDEX - creates an index (search key)@@@DROP INDEX - deletes an index  ,,,[['\n SELECT * FROM Customers;\n']]
MySQL SQL,MySQL SELECT,https://www.w3schools.com/mysql/mysql_select.asp,"The SELECT statement is used to select data from a database.|||The data returned is stored in a result table, called the result-set.|||Here, column1, column2, ... are the field names of the table you want to select data from. If you want to select all the fields available in the table, use the following syntax:|||In this tutorial we will use the well-known Northwind sample database.|||Below is a selection from the ""Customers"" table in the Northwind sample database:|||The following SQL statement selects the ""CustomerName"", ""City"", and ""Country"" columns from the ""Customers"" table:|||The following SQL statement selects ALL the columns from the ""Customers"" table:|||The SELECT DISTINCT statement is used to return only distinct (different) values.|||Inside a table, a column often contains many duplicate values; and sometimes you only want to list the different (distinct) values.|||The following SQL statement selects all (including the duplicates) values from the ""Country"" column in the ""Customers"" table:|||Now, let us use the SELECT DISTINCT statement and see the result.|||The following SQL statement selects only the DISTINCT values from the ""Country"" column in the ""Customers"" table:|||The following SQL statement counts and returns the number of different (distinct) countries in the ""Customers"" table:|||Insert the missing statement to get all the columns from the Customers table.|||Start the Exercise",,,,1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden,"[['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, ';'], ['\nSELECT * FROM ', <em>table_name</em>, ';'], ['\n SELECT CustomerName, City, Country FROM Customers;\n'], ['\n SELECT * FROM Customers;\n'], ['\n SELECT DISTINCT ', <em>column1</em>, ',', <em> column2, ...</em>, '\n FROM ', <em>table_name</em>, ';'], ['\nSELECT Country FROM Customers;\n'], ['\nSELECT DISTINCT Country FROM Customers;\n'], ['\n  SELECT COUNT(DISTINCT Country) FROM Customers;\n']]"
MySQL SQL,MySQL WHERE,https://www.w3schools.com/mysql/mysql_where.asp,"The WHERE clause is used to filter records.|||It is used to extract only those records that fulfill a specified condition.|||Note: The WHERE clause is not only used in SELECT statements, it is also used in UPDATE,DELETE, etc.!|||Below is a selection from the ""Customers"" table in the Northwind sample database:|||The following SQL statement selects all the customers from  ""Mexico"":|||SQL requires single quotes around text values (most database systems will also allow double quotes).|||However, numeric fields should not be enclosed in quotes:|||The following operators can be used in the WHERE clause:|||Select all records where the City column has the value ""Berlin"".|||Start the Exercise",,,,1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden$$$=|||Equal|||Try it&&&>|||Greater than|||Try it&&&<|||Less than|||Try it&&&>=|||Greater than or equal|||Try it&&&<=|||Less than or equal|||Try it&&&<>|||Not equal. Note: In some versions of SQL this operator may be written as !=|||Try it&&&BETWEEN|||Between a certain range|||Try it&&&LIKE|||Search for a pattern|||Try it&&&IN|||To specify multiple possible values for a column|||Try it,"[['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, '\nWHERE ', <em>condition</em>, ';'], ['\nSELECT * FROM Customers', ""\nWHERE Country = 'Mexico';""], ['\n SELECT * FROM Customers', '\n WHERE CustomerID = 1;']]"
MySQL SQL,"MySQL AND, OR, NOT",https://www.w3schools.com/mysql/mysql_and_or.asp,"The WHERE clause can be combined with AND, OR, and NOT operators.|||The AND and OR operators are used to filter records based on more than one condition:|||The NOT operator displays a record if the condition(s) is NOT TRUE.|||The table below shows the complete ""Customers"" table from the Northwind sample database:|||The following SQL statement selects all fields from ""Customers"" where country is ""Germany"" AND city is ""Berlin"":|||The following SQL statement selects all fields from ""Customers"" where city is ""Berlin"" OR ""Stuttgart"":|||The following SQL statement selects all fields from ""Customers"" where country is ""Germany"" OR ""Spain"":|||The following SQL statement selects all fields from ""Customers"" where country is NOT ""Germany"":|||You can also combine the AND, OR and NOT operators.|||The following SQL statement selects all fields from ""Customers"" where country is ""Germany"" AND city must be ""Berlin"" OR ""Stuttgart"" (use parenthesis to form complex expressions):|||The following SQL statement selects all fields from ""Customers"" where country is NOT ""Germany"" and NOT ""USA"":|||Select all records where the City column has the value 'Berlin' and the PostalCode column has the value 12209.|||Start the Exercise",,The AND operator displays a record if all the conditions separated by   AND   are TRUE.@@@The OR operator displays a record if any of the conditions separated by   OR is TRUE.,,"1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden&&&6|||Blauer See Delikatessen|||Hanna Moos|||Forsterstr. 57|||Mannheim|||68306|||Germany&&&7|||Blondel père et fils|||Frédérique Citeaux|||24, place Kléber|||Strasbourg|||67000|||France&&&8|||Bólido Comidas preparadas|||Martín Sommer|||C/ Araquil, 67|||Madrid|||28023|||Spain&&&9|||Bon app'|||Laurence Lebihans|||12, rue des Bouchers|||Marseille|||13008|||France&&&10|||Bottom-Dollar Marketse|||Elizabeth Lincoln|||23 Tsawassen Blvd.|||Tsawassen|||T2F 8M4|||Canada&&&11|||B's Beverages|||Victoria Ashworth|||Fauntleroy Circus|||London|||EC2 5NT|||UK&&&12|||Cactus Comidas para llevar|||Patricio Simpson|||Cerrito 333|||Buenos Aires|||1010|||Argentina&&&13|||Centro comercial Moctezuma|||Francisco Chang|||Sierras de Granada 9993|||México D.F.|||05022|||Mexico&&&14|||Chop-suey Chinese|||Yang Wang|||Hauptstr. 29|||Bern|||3012|||Switzerland&&&15|||Comércio Mineiro|||Pedro Afonso|||Av. dos Lusíadas, 23|||São Paulo|||05432-043|||Brazil&&&16|||Consolidated Holdings|||Elizabeth Brown|||Berkeley Gardens 12 Brewery|||London|||WX1 6LT|||UK&&&17|||Drachenblut Delikatessend|||Sven Ottlieb|||Walserweg 21|||Aachen|||52066|||Germany&&&18|||Du monde entier|||Janine Labrune|||67, rue des Cinquante Otages|||Nantes|||44000|||France&&&19|||Eastern Connection|||Ann Devon|||35 King George|||London|||WX3 6FW|||UK&&&20|||Ernst Handel|||Roland Mendel|||Kirchgasse 6|||Graz|||8010|||Austria&&&21|||Familia Arquibaldo|||Aria Cruz|||Rua Orós, 92|||São Paulo|||05442-030|||Brazil&&&22|||FISSA Fabrica Inter. Salchichas S.A.|||Diego Roel|||C/ Moralzarzal, 86|||Madrid|||28034|||Spain&&&23|||Folies gourmandes|||Martine Rancé|||184, chaussée de Tournai|||Lille|||59000|||France&&&24|||Folk och fä HB|||Maria Larsson|||Åkergatan 24|||Bräcke|||S-844 67|||Sweden&&&25|||Frankenversand|||Peter Franken|||Berliner Platz 43|||München|||80805|||Germany&&&26|||France restauration|||Carine Schmitt|||54, rue Royale|||Nantes|||44000|||France&&&27|||Franchi S.p.A.|||Paolo Accorti|||Via Monte Bianco 34|||Torino|||10100|||Italy&&&28|||Furia Bacalhau e Frutos do Mar|||Lino Rodriguez|||Jardim das rosas n. 32|||Lisboa|||1675|||Portugal&&&29|||Galería del gastrónomo|||Eduardo Saavedra|||Rambla de Cataluña, 23|||Barcelona|||08022|||Spain&&&30|||Godos Cocina Típica|||José Pedro Freyre|||C/ Romero, 33|||Sevilla|||41101|||Spain&&&31|||Gourmet Lanchonetes|||André Fonseca|||Av. Brasil, 442|||Campinas|||04876-786|||Brazil&&&32|||Great Lakes Food Market|||Howard Snyder|||2732 Baker Blvd.|||Eugene|||97403|||USA&&&33|||GROSELLA-Restaurante|||Manuel Pereira|||5ª Ave. Los Palos Grandes|||Caracas|||1081|||Venezuela&&&34|||Hanari Carnes|||Mario Pontes|||Rua do Paço, 67|||Rio de Janeiro|||05454-876|||Brazil&&&35|||HILARIÓN-Abastos|||Carlos Hernández|||Carrera 22 con Ave. Carlos Soublette #8-35|||San Cristóbal|||5022|||Venezuela&&&36|||Hungry Coyote Import Store|||Yoshi Latimer|||City Center Plaza 516 Main St.|||Elgin|||97827|||USA&&&37|||Hungry Owl All-Night Grocers|||Patricia McKenna|||8 Johnstown Road|||Cork||||||Ireland&&&38|||Island Trading|||Helen Bennett|||Garden House Crowther Way|||Cowes|||PO31 7PJ|||UK&&&39|||Königlich Essen|||Philip Cramer|||Maubelstr. 90|||Brandenburg|||14776|||Germany&&&40|||La corne d'abondance|||Daniel Tonini|||67, avenue de l'Europe|||Versailles|||78000|||France&&&41|||La maison d'Asie|||Annette Roulet|||1 rue Alsace-Lorraine|||Toulouse|||31000|||France&&&42|||Laughing Bacchus Wine Cellars|||Yoshi Tannamuri|||1900 Oak St.|||Vancouver|||V3F 2K1|||Canada&&&43|||Lazy K Kountry Store|||John Steel|||12 Orchestra Terrace|||Walla Walla|||99362|||USA&&&44|||Lehmanns Marktstand|||Renate Messner|||Magazinweg 7|||Frankfurt a.M. |||60528|||Germany&&&45|||Let's Stop N Shop|||Jaime Yorres|||87 Polk St. Suite 5|||San Francisco|||94117|||USA&&&46|||LILA-Supermercado|||Carlos González|||Carrera 52 con Ave. Bolívar #65-98 Llano Largo|||Barquisimeto|||3508|||Venezuela&&&47|||LINO-Delicateses|||Felipe Izquierdo|||Ave. 5 de Mayo Porlamar|||I. de Margarita|||4980|||Venezuela&&&48|||Lonesome Pine Restaurant|||Fran Wilson|||89 Chiaroscuro Rd.|||Portland|||97219|||USA&&&49|||Magazzini Alimentari Riuniti|||Giovanni Rovelli|||Via Ludovico il Moro 22|||Bergamo|||24100|||Italy&&&50|||Maison Dewey|||Catherine Dewey|||Rue Joseph-Bens 532|||Bruxelles|||B-1180|||Belgium&&&51|||Mère Paillarde|||Jean Fresnière|||43 rue St. Laurent|||Montréal|||H1J 1C3|||Canada&&&52|||Morgenstern Gesundkost|||Alexander Feuer|||Heerstr. 22|||Leipzig|||04179|||Germany&&&53|||North/South|||Simon Crowther|||South House 300 Queensbridge|||London|||SW7 1RZ|||UK&&&54|||Océano Atlántico Ltda.|||Yvonne Moncada|||Ing. Gustavo Moncada 8585 Piso 20-A|||Buenos Aires|||1010|||Argentina&&&55|||Old World Delicatessen|||Rene Phillips|||2743 Bering St.|||Anchorage|||99508|||USA&&&56|||Ottilies Käseladen|||Henriette Pfalzheim|||Mehrheimerstr. 369|||Köln|||50739|||Germany&&&57|||Paris spécialités|||Marie Bertrand|||265, boulevard Charonne|||Paris|||75012|||France&&&58|||Pericles Comidas clásicas|||Guillermo Fernández|||Calle Dr. Jorge Cash 321|||México D.F.|||05033|||Mexico&&&59|||Piccolo und mehr|||Georg Pipps|||Geislweg 14|||Salzburg|||5020|||Austria&&&60|||Princesa Isabel Vinhoss|||Isabel de Castro|||Estrada da saúde n. 58|||Lisboa|||1756|||Portugal&&&61|||Que Delícia|||Bernardo Batista|||Rua da Panificadora, 12|||Rio de Janeiro|||02389-673|||Brazil&&&62|||Queen Cozinha|||Lúcia Carvalho|||Alameda dos Canàrios, 891|||São Paulo|||05487-020|||Brazil&&&63|||QUICK-Stop|||Horst Kloss|||Taucherstraße 10|||Cunewalde|||01307|||Germany&&&64|||Rancho grande|||Sergio Gutiérrez|||Av. del Libertador 900|||Buenos Aires|||1010|||Argentina&&&65|||Rattlesnake Canyon Grocery|||Paula Wilson|||2817 Milton Dr.|||Albuquerque|||87110|||USA&&&66|||Reggiani Caseifici|||Maurizio Moroni|||Strada Provinciale 124|||Reggio Emilia|||42100|||Italy&&&67|||Ricardo Adocicados|||Janete Limeira|||Av. Copacabana, 267|||Rio de Janeiro|||02389-890|||Brazil&&&68|||Richter Supermarkt|||Michael Holz|||Grenzacherweg 237|||Genève|||1203|||Switzerland&&&69|||Romero y tomillo|||Alejandra Camino|||Gran Vía, 1|||Madrid|||28001|||Spain&&&70|||Santé Gourmet|||Jonas Bergulfsen|||Erling Skakkes gate 78|||Stavern|||4110|||Norway&&&71|||Save-a-lot Markets|||Jose Pavarotti|||187 Suffolk Ln.|||Boise|||83720|||USA&&&72|||Seven Seas Imports|||Hari Kumar|||90 Wadhurst Rd.|||London|||OX15 4NB|||UK&&&73|||Simons bistro|||Jytte Petersen|||Vinbæltet 34|||København|||1734|||Denmark&&&74|||Spécialités du monde|||Dominique Perrier|||25, rue Lauriston|||Paris|||75016|||France&&&75|||Split Rail Beer & Ale|||Art Braunschweiger|||P.O. Box 555|||Lander|||82520|||USA&&&76|||Suprêmes délices|||Pascale Cartrain|||Boulevard Tirou, 255|||Charleroi|||B-6000|||Belgium&&&77|||The Big Cheese|||Liz Nixon|||89 Jefferson Way Suite 2|||Portland|||97201|||USA&&&78|||The Cracker Box|||Liu Wong|||55 Grizzly Peak Rd.|||Butte|||59801|||USA&&&79|||Toms Spezialitäten|||Karin Josephs|||Luisenstr. 48|||Münster|||44087|||Germany&&&80|||Tortuga Restaurante|||Miguel Angel Paolino|||Avda. Azteca 123|||México D.F.|||05033|||Mexico&&&81|||Tradição Hipermercados|||Anabela Domingues|||Av. Inês de Castro, 414|||São Paulo|||05634-030|||Brazil&&&82|||Trail's Head Gourmet Provisioners|||Helvetius Nagy|||722 DaVinci Blvd.|||Kirkland|||98034|||USA&&&83|||Vaffeljernet|||Palle Ibsen|||Smagsløget 45|||Århus|||8200|||Denmark&&&84|||Victuailles en stock|||Mary Saveley|||2, rue du Commerce|||Lyon|||69004|||France&&&85|||Vins et alcools Chevalier|||Paul Henriot|||59 rue de l'Abbaye|||Reims|||51100|||France&&&86|||Die Wandernde Kuh|||Rita Müller|||Adenauerallee 900|||Stuttgart|||70563|||Germany&&&87|||Wartian Herkku|||Pirkko Koskitalo|||Torikatu 38|||Oulu|||90110|||Finland&&&88|||Wellington Importadora|||Paula Parente|||Rua do Mercado, 12|||Resende|||08737-363|||Brazil&&&89|||White Clover Markets|||Karl Jablonski|||305 - 14th Ave. S. Suite 3B|||Seattle|||98128|||USA&&&90|||Wilman Kala|||Matti Karttunen|||Keskuskatu 45|||Helsinki|||21240|||Finland&&&91|||Wolski|||Zbyszek|||ul. Filtrowa 68|||Walla|||01-012|||Poland","[['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, '\nWHERE ', <em>condition1</em>, ' AND ', <em>condition2</em>, ' AND ', <em>condition3 ...</em>, ';'], ['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, '\nWHERE ', <em>condition1</em>, ' OR ', <em>condition2</em>, ' OR ', <em>condition3 ...</em>, ';'], ['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, '\nWHERE NOT ', <em>condition</em>, ';'], ['\n SELECT * FROM Customers', ""\n WHERE Country = 'Germany'\n AND City = 'Berlin';\n""], ['\n SELECT * FROM Customers', ""\n WHERE City = 'Berlin'\n OR City = 'Stuttgart';\n""], ['\n SELECT * FROM Customers', ""\n WHERE Country = 'Germany'\n OR Country = 'Spain';\n""], ['\n SELECT * FROM Customers', ""\n WHERE \n  NOT Country = 'Germany';\n""], ['\n SELECT * FROM Customers', ""\n WHERE Country = 'Germany'\n AND (City = 'Berlin' OR City = 'Stuttgart');""], ['\n SELECT * FROM Customers', ""\n WHERE NOT Country = 'Germany'\n AND NOT Country = 'USA';""]]"
MySQL SQL,MySQL ORDER BY,https://www.w3schools.com/mysql/mysql_orderby.asp,"The ORDER BY keyword is used to sort the result-set in ascending or descending order.|||The ORDER BY keyword sorts the records in ascending order by default. To sort the records in descending order, use the DESC keyword.|||Below is a selection from the ""Customers"" table in the Northwind sample database:|||The following SQL statement selects all customers from the ""Customers"" table, sorted by the ""Country"" column:|||The following SQL statement selects all customers from the ""Customers"" table, sorted DESCENDING by the ""Country"" column:|||The following SQL statement selects all customers from the ""Customers"" table, sorted by the ""Country"" and the ""CustomerName"" column. This means that it orders by Country, but if some rows have the same Country, it orders them by CustomerName:|||The following SQL statement selects all customers from the ""Customers"" table, sorted ascending by the ""Country"" and descending by the ""CustomerName"" column:|||Select all records from the Customers table, sort the result alphabetically by the column City.|||Start the Exercise",The MySQL ORDER BY Keyword|||Exercise:,,,1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden,"[['\nSELECT ', <em>column1</em>, ',', <em> column2, ...</em>, '\nFROM ', <em>table_name</em>, '\nORDER BY ', <em>column1, column2, ... </em>, 'ASC|DESC;'], ['\n SELECT * FROM Customers', '\n ORDER BY Country;\n'], ['\n SELECT * FROM Customers', '\n ORDER BY Country DESC;'], ['\n SELECT * FROM Customers', '\n ORDER BY Country, CustomerName;'], ['\n SELECT * FROM Customers', '\n ORDER BY Country ASC, CustomerName DESC;']]"
MySQL SQL,MySQL INSERT INTO,https://www.w3schools.com/mysql/mysql_insert.asp,"The INSERT INTO statement is used to insert new records in a table.|||It is possible to write the INSERT INTO statement in two ways:|||1. Specify both the column names and the values to be inserted:|||2. If you are adding values for all the columns of the table, you do not need to specify the column names in the SQL query. However, make sure the order of the values is in the same order as the columns in the table. Here, the INSERT INTO syntax would be as follows:|||Below is a selection from the ""Customers"" table in the Northwind sample database:|||The following SQL statement inserts a new record in the ""Customers"" table:|||The selection from the ""Customers"" table will now look like this:|||Did you notice that we did not insert any number into the CustomerID field?The CustomerID column is an auto-increment field and will be generated automatically when a new record is inserted into the table.|||It is also possible to only insert data in specific columns.|||The following SQL statement will insert a new record, but only insert data in the ""CustomerName"", ""City"", and ""Country"" columns (CustomerID will be updated automatically):|||The selection from the ""Customers"" table will now look like this:|||Insert a new record in the Customers table.|||Start the Exercise",,,,89|||White Clover Markets|||Karl Jablonski|||305 - 14th Ave. S. Suite 3B|||Seattle|||98128|||USA&&&90|||Wilman Kala|||Matti Karttunen|||Keskuskatu 45|||Helsinki|||21240|||Finland&&&91|||Wolski|||Zbyszek|||ul. Filtrowa 68|||Walla|||01-012|||Poland$$$&&&89|||White Clover Markets|||Karl Jablonski|||305 - 14th Ave. S. Suite 3B|||Seattle|||98128|||USA&&&90|||Wilman Kala|||Matti Karttunen|||Keskuskatu 45|||Helsinki|||21240|||Finland&&&91|||Wolski|||Zbyszek|||ul. Filtrowa 68|||Walla|||01-012|||Poland&&&92|||Cardinal|||Tom B. Erichsen|||Skagen 21|||Stavanger|||4006|||Norway$$$89|||White Clover Markets|||Karl Jablonski|||305 - 14th Ave. S. Suite 3B|||Seattle|||98128|||USA&&&90|||Wilman Kala|||Matti Karttunen|||Keskuskatu 45|||Helsinki|||21240|||Finland&&&91|||Wolski|||Zbyszek|||ul. Filtrowa 68|||Walla|||01-012|||Poland&&&92|||Cardinal|||null|||null|||Stavanger|||null|||Norway,"[['\nINSERT INTO ', <em>table_name</em>, ' (', <em>column1</em>, ',', <em> column2</em>, ',', <em> column3</em>, ', ...)', '\nVALUES (', <em>value1</em>, ',', <em> value2</em>, ',', <em> value3</em>, ', ...);'], ['\nINSERT INTO ', <em>table_name</em>, '\nVALUES (', <em>value1</em>, ',', <em> value2</em>, ',', <em> value3</em>, ', ...);'], ['\nINSERT INTO Customers (CustomerName, ContactName, Address, City, PostalCode, Country)', ""\nVALUES ('Cardinal', 'Tom B. Erichsen', 'Skagen 21', 'Stavanger', '4006', 'Norway');\n""], ['\nINSERT INTO Customers (CustomerName, City, Country)', ""\nVALUES ('Cardinal', 'Stavanger', 'Norway');\n""]]"
MySQL SQL,MySQL NULL Values,https://www.w3schools.com/mysql/mysql_null_values.asp,"A field with a NULL value is a field with no value.|||If a field in a table is optional, it is possible to insert a new record or update a record without adding a value to this field. Then, the field will be saved with a NULL value.|||Note: A NULL value is different from a zero value or a field that contains spaces. A field with a NULL value is one that has been left blank during record creation!|||It is not possible to test for NULL values with comparison operators, such as =, <, or <>.|||We will have to use the IS NULL and IS NOT NULL operators instead.|||Below is a selection from the ""Customers"" table in the Northwind sample database:|||The IS NULL operator is used to test for empty values (NULL values).|||The following SQL lists all customers with a NULL value in the ""Address"" field:|||Tip: Always use IS NULL to look for NULL values.|||The IS NOT NULL operator is used to test for non-empty values (NOT NULL values).|||The following SQL lists all customers with a value in the ""Address"" field:|||Select all records from the Customers where the PostalCode column is empty.|||Start the Exercise",,,,1|||Alfreds Futterkiste|||Maria Anders|||Obere Str. 57|||Berlin|||12209|||Germany&&&2|||Ana Trujillo Emparedados y helados|||Ana Trujillo|||Avda. de la Constitución 2222|||México D.F.|||05021|||Mexico&&&3|||Antonio Moreno Taquería|||Antonio Moreno|||Mataderos 2312|||México D.F.|||05023|||Mexico&&&4|||Around the Horn|||Thomas Hardy|||120 Hanover Sq.|||London|||WA1 1DP|||UK&&&5|||Berglunds snabbköp|||Christina Berglund|||Berguvsvägen 8|||Luleå|||S-958 22|||Sweden,"[['\n  SELECT ', <em>column_names<br/></em>, 'FROM ', <em>table_name</em>, '\n  WHERE ', <em>column_name</em>, ' IS NULL;'], ['\n  SELECT ', <em>column_names<br/></em>, 'FROM ', <em>table_name</em>, '\n  WHERE ', <em>column_name</em>, ' IS NOT NULL;'], ['\n  SELECT CustomerName, ContactName, Address', 'FROM Customers', 'WHERE Address \n  IS NULL;\n'], ['\n  SELECT CustomerName, ContactName, Address', 'FROM Customers', 'WHERE Address \n  IS NOT NULL;\n']]"
