Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Node.js Tutorial,Node.js HOME,https://www.w3schools.com/nodejs/default.asp,"Node.js is an open source server environment.|||Node.js allows you to run JavaScript on the server.|||Our ""Show Node.js"" tool makes it easy to learn Node.js, it shows both the code and the result.|||Click on the ""Run example"" button to see how it works.|||In this tutorial there will be some examples that are better explained by displaying the result in the command line interface.|||When this happens, The ""Show Node.js"" tool will show the result in a black screen on the right:|||Click on the ""Run example"" button to see how it works.|||Node.js has a set of built-in modules.|||Built-in Modules|||Download Node.js from the official Node.js web site:https://nodejs.org",Examples Running in the Command Line Interface|||Node.js Reference,,,,"[[""\n  var http = require('http');"", 'http.createServer(function (req, res) {', ""\xa0\xa0res.writeHead(200, {'Content-Type': 'text/plain'});"", ""\xa0\xa0res.end('Hello World!');"", '}).listen(8080); '], [""\nconsole.log('This example is different!');"", ""\nconsole.log('The result is displayed in the Command Line Interface'); ""]]"
Node.js Tutorial,Node.js Intro,https://www.w3schools.com/nodejs/nodejs_intro.asp,"Node.js uses asynchronous programming!|||A common task for a web server can be to open a file on the server and return the content to the client.|||Here is how PHP or ASP handles a file request:|||Here is how Node.js handles a file request:|||Node.js eliminates the waiting, and simply continues with the next request. |||Node.js runs single-threaded, non-blocking, asynchronous programming, which is very memory efficient.",What is Node.js?|||What Can Node.js Do?|||What is a Node.js File?,"Node.js is an open source server environment@@@Node.js is free@@@Node.js runs on various platforms (Windows, Linux, Unix, Mac OS X, etc.)@@@Node.js uses JavaScript on the server|||Node.js can generate dynamic page content@@@Node.js can create, open, read, write, delete, and close files on the server@@@Node.js can collect form data@@@Node.js can add, delete, modify data in your database|||Node.js files contain tasks that will be executed on certain events@@@A typical event is someone trying to access a port on the server@@@Node.js files must be initiated on the server before having any effect@@@Node.js files have extension "".js""","Sends the task to the computer's file system.@@@Waits while the file system opens and reads the   file.@@@Returns the content to the client.@@@Ready to handle the next request.|||Sends the task to the computer's file system.@@@Ready to handle the next request.@@@When the file system has opened and read the file, the server returns the content to the client.",,[]
Node.js Tutorial,Node.js Get Started,https://www.w3schools.com/nodejs/nodejs_get_started.asp,"The official Node.js website has installation instructions for Node.js:https://nodejs.org|||Once you have downloaded and installed Node.js on your computer, let's try to display ""Hello World"" in a web browser.|||Create a Node.js file named ""myfirst.js"", and add the following code:|||myfirst.js|||Save the file on your computer: C:\Users\Your Name\myfirst.js|||The code tells the computer to write ""Hello World!"" if anyone (e.g. a web browser) tries to access your computer on port 8080.|||For now, you do not have to understand the code. It will be explained later.|||Node.js files must be initiated in the ""Command Line Interface"" program of your computer.|||How to open the command line interface on your computer depends on the operating system. For Windows users, press the start button and look for ""Command Prompt"", or simply write ""cmd"" in the search field.|||Navigate to the folder that contains the file ""myfirst.js"", the command line interface window should look something like this:|||The file you have just created must be initiated by Node.js before any action can take place.|||Start your command line interface, write node myfirst.js and hit enter:|||Initiate ""myfirst.js"":|||Now, your computer works as a server!|||If anyone tries to access your computer on port 8080, they will get a ""Hello World!"" message in return!|||Start your internet browser, and type in the address: http://localhost:8080",,,,,"[[""\n  var http = require('http');"", 'http.createServer(function (req, res) {', ""\xa0\xa0res.writeHead(200, {'Content-Type': 'text/html'});"", ""\n  \xa0 \n  res.end('Hello World!');"", '}).listen(8080);']]"
Node.js Tutorial,Node.js Modules,https://www.w3schools.com/nodejs/nodejs_modules.asp,"Consider modules to be the same as JavaScript libraries.|||A set of functions you want to include in your application.|||Node.js has a set of built-in modules which you can use without any further installation.|||Look at our Built-in Modules Reference for a complete list of modules.|||To include a module, use the require() function with the name of the module:|||Now your application has access to the HTTP module, and is able to create a server:|||You can create your own modules, and easily include them in your applications.|||The following example creates a module that returns a date and time object:|||Create a module that returns the current date and time:|||Use the exports keyword to make properties and methods available outside the module file.|||Save the code above in a file called ""myfirstmodule.js""|||Now you can include and use the module in any of your Node.js files.|||Use the module ""myfirstmodule"" in a Node.js file:|||Notice that we use ./ to locate the module, that means that the module is located in the same folder as the Node.js file.|||Save the code above in a file called ""demo_module.js"", and initiate the file:|||Initiate demo_module.js:|||If you have followed the same steps on your computer, you will see the same result as the example: http://localhost:8080",What is a Module in Node.js?|||Built-in Modules|||Include Modules|||Create Your Own Modules|||Example|||Include Your Own Module|||Example,,,,"[[""\n  var http = require('http');""], ['\n  http.createServer(function (req, res) {', ""\xa0 \n  res.writeHead(200, {'Content-Type': 'text/html'});"", ""\xa0 \n  res.end('Hello World!');"", '}).listen(8080);'], ['\n  exports.myDateTime = function () {', '\xa0\xa0return Date();', '};'], [""\n  var http = require('http');"", '\n', <strong>var dt = require('./myfirstmodule');<br/></strong>, '\n  http.createServer(function (req, res) {', ""\xa0 \n  res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0\n  res.write(""The date and time are currently: "" + ', <strong>dt.myDateTime()</strong>, ');', '\n  \xa0  \n  res.end();', '\n  }).listen(8080);']]"
Node.js Tutorial,Node.js HTTP Module,https://www.w3schools.com/nodejs/nodejs_http.asp,"Node.js has a built-in module called HTTP, which allows Node.js to transfer data over the Hyper Text Transfer Protocol (HTTP).|||To include the HTTP module, use therequire() method:|||The HTTP module can create an HTTP server that listens to server ports and gives a response back to the client.|||Use the createServer() method to create an HTTP server:|||The function passed into the http.createServer() method, will be executed when someone tries to access the computer on port 8080.|||Save the code above in a file called ""demo_http.js"", and initiate the file:|||Initiate demo_http.js:|||If you have followed the same steps on your computer, you will see the same result as the example: http://localhost:8080|||If the response from the HTTP server is supposed to be displayed as HTML, you should include an HTTP header with the correct content type:|||The first argument of the res.writeHead() method is the status code, 200 means that all is OK, the second argument is an object containing the response headers.|||The function passed into the http.createServer() has a req argument that represents the request from the client, as an object (http.IncomingMessage object).|||This object has a property called ""url"" which holds the part of the url that comes after the domain name:|||demo_http_url.js|||Save the code above in a file called ""demo_http_url.js"" and initiate the file:|||Initiate demo_http_url.js:|||If you have followed the same steps on your computer, you should see two different results when opening these two addresses:|||http://localhost:8080/summer|||Will produce this result:|||http://localhost:8080/winter|||Will produce this result:|||There are built-in modules to easily split the query string into readable parts, such as the URL module.|||Split the query string into readable parts:|||Save the code above in a file called ""demo_querystring.js"" and initiate the file:|||Initiate demo_querystring.js:|||The address:|||http://localhost:8080/?year=2017&month=July|||Will produce this result:|||Read more about the URL module in the Node.js URL Module chapter.",The Built-in HTTP Module|||Node.js as a Web Server|||Split the Query String,,,,"[[""\n  var http = require('http');""], [""\n  var http = require('http');"", '//create a server object:', 'http.createServer(function \n  (req, res) {', ""\xa0 res.write('Hello World!'); //write a response to the \n  client"", '\xa0 res.end(); //end the response', '}).listen(8080); //the \n  server object listens on port 8080'], [""\n  var http = require('http');"", 'http.createServer(function \n  (req, res) {', <strong>  res.writeHead(200, 
  {'Content-Type': 'text/html'});<br/></strong>, ""\xa0 res.write('Hello \n  World!');"", '\xa0 res.end();', '}).listen(8080);'], [""\n  var http = require('http');"", 'http.createServer(function \n  (', <strong>req</strong>, ', res) {', ""\xa0\xa0res.writeHead(200, {'Content-Type': 'text/html'});"", '\n  \xa0 res.write(', <strong>req.url</strong>, ');', '\xa0 \n  res.end();', '}).listen(8080);'], [""\n    var http = require('http');"", <strong>var url = require('url');<br/>
</strong>, '\n    http.createServer(function (req, res) {', ""\xa0 res.writeHead(200, \n    {'Content-Type': 'text/html'});"", <strong>  var q = url.parse(req.url, 
    true).query;<br/></strong>, '\xa0 var txt = ', <strong>q.year</strong>, ' + "" "" + \n    ', <strong>q.month</strong>, ';', '\xa0 res.end(txt);', '\n    }).listen(8080);', '\n']]"
Node.js Tutorial,Node.js File System,https://www.w3schools.com/nodejs/nodejs_filesystem.asp,"The Node.js file system module allows you to work with the file system on your computer.|||To include the File System module, use the require() method:|||Common use for the File System module:|||The fs.readFile() method is used to read files on your computer.|||Assume we have the following HTML file (located in the same folder as Node.js):|||demofile1.html|||Create a Node.js file that reads the HTML file, and return the content:|||Save the code above in a file called ""demo_readfile.js"", and initiate the file:|||Initiate demo_readfile.js:|||If you have followed the same steps on your computer, you will see the same result as the example: http://localhost:8080|||The File System module has methods for creating new files:|||The fs.appendFile() method appends specified content to a file. If the file does not exist, the file will be created:|||Create a new file using the appendFile() method:|||The fs.open() method takes a ""flag"" as the second argument, if the flag is ""w"" for ""writing"", the specified file is opened for writing. If the file does not exist, an empty file is created:|||Create a new, empty file using the open() method:|||The fs.writeFile() method replaces the specified file and content if it exists. If the file does not exist, a new file, containing the specified content, will be created:|||Create a new file using the writeFile() method:|||The File System module has methods for updating files:|||The fs.appendFile() method appends the specified content at the end of the specified file:|||Append ""This is my text."" to the end of the file ""mynewfile1.txt"":|||The fs.writeFile() method replaces the specified file and content:|||Replace the content of the file ""mynewfile3.txt"":|||To delete a file with the File System module,  use the fs.unlink() method.|||The fs.unlink() method deletes the specified file:|||Delete ""mynewfile2.txt"":|||To rename a file with the File System module,  use the fs.rename() method.|||The fs.rename() method renames the specified file:|||Rename ""mynewfile1.txt"" to ""myrenamedfile.txt"":|||You can also use Node.js to upload files to your computer.|||Read how in our Node.js Upload Files chapter.",Node.js as a File Server|||Create Files|||Update Files|||Delete Files|||Rename Files,Read files@@@Create files@@@Update files@@@Delete files@@@Rename files|||fs.appendFile()@@@fs.open()@@@fs.writeFile()|||fs.appendFile()@@@fs.writeFile(),,,"[[""\n  var fs = require('fs');""], [""\n  var http = require('http');"", ""var fs = require('fs');"", 'http.createServer(function \n  (req, res) {', <strong>  fs.readFile('demofile1.html', function(err, data) {<br/>
</strong>, ""\xa0\xa0\xa0 \n  res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0\xa0\xa0 res.write(data);', '\xa0\xa0\xa0 \n  return res.end();', '\xa0 });', '}).listen(8080);'], [""\n  var fs = require('fs');"", ""fs.appendFile('mynewfile1.txt', 'Hello \n  content!', function (err) {"", '\xa0 if (err) throw err;', ""\xa0 console.log('Saved!');"", '\n  });'], [""\n  var fs = require('fs');"", ""fs.open('mynewfile2.txt', 'w', function (err, \n  file) {"", '\xa0 if (err) throw err;', ""\xa0 console.log('Saved!');"", '});'], [""\n  var fs = require('fs');"", ""fs.writeFile('mynewfile3.txt', 'Hello \n  content!', function (err) {"", '\xa0 if (err) throw err;', ""\xa0 \n  console.log('Saved!');"", '});'], [""\n  var fs = require('fs');"", ""fs.appendFile('mynewfile1.txt', ' This is my \n  text.', function (err) {"", '\xa0 if (err) throw err;', ""\xa0 console.log('Updated!');"", '\n  });'], [""\n  var fs = require('fs');"", ""fs.writeFile('mynewfile3.txt', 'This is my text', function (err) {"", '\xa0 if (err) throw err;', ""\xa0 \n  console.log('Replaced!');"", '});'], [""\n  var fs = require('fs');"", ""fs.unlink('mynewfile2.txt', function (err) {"", '\xa0 \n  if (err) throw err;', ""\xa0 console.log('File deleted!');"", '});'], [""\n  var fs = require('fs');"", ""fs.rename('mynewfile1.txt', 'myrenamedfile.txt', function (err) {"", '\xa0 \n  if (err) throw err;', ""\xa0 console.log('File Renamed!');"", '});']]"
Node.js Tutorial,Node.js URL Module,https://www.w3schools.com/nodejs/nodejs_url.asp,"The URL module splits up a web address into readable parts.|||To include the URL module, use the require() method:|||Parse an address with the url.parse() method, and it will return a URL object with each part of the address as properties:|||Split a web address into readable parts:|||Now we know how to parse the query string, and in the previous chapter we learned how to make Node.js behave as a file server. Let us combine the two, and serve the file requested by the client.|||Create two html files and save them in the same folder as your node.js files.|||summer.html|||winter.html|||Create a Node.js file that opens the requested file and returns the content to the client. If anything goes wrong, throw a 404 error:|||demo_fileserver.js:|||Remember to initiate the file:|||Initiate demo_fileserver.js:|||If you have followed the same steps on your computer, you should see two different results when opening these two addresses:|||http://localhost:8080/summer.html|||Will produce this result:|||I love the sun!|||http://localhost:8080/winter.html|||Will produce this result:|||I love the snow!",The Built-in URL Module,,,,"[[""\n  var url = require('url');""], [""\n  var url = require('url');"", ""\n  var adr = 'http://localhost:8080/default.htm?year=2017&month=february';"", '\n  var q = url.parse(adr, true);', ""\n  console.log(q.host); //returns 'localhost:8080'"", ""\n  console.log(q.pathname); //returns '/default.htm'"", ""console.log(q.search); //returns '?year=2017&month=february'"", ""\n  var qdata = q.query; //returns an object: { year: 2017, month: 'february' }"", ""\n  console.log(qdata.month); //returns 'february'"", '\n'], [""\n  var http = require('http');"", ""var url = require('url');"", ""var fs = require('fs');"", '\n', 'http.createServer(function \n  (req, res) {', '\xa0 var q = url.parse(req.url, true);', '\xa0 var \n    filename = ""."" + q.pathname;', '\xa0 fs.readFile(filename, \n    function(err, data) {', '\xa0\xa0\xa0 if (err) {', ""\xa0\xa0\xa0\xa0\xa0 res.writeHead(404, {'Content-Type': 'text/html'});"", '\xa0\xa0\xa0\xa0\xa0 \n    return res.end(""404 Not Found"");', '\xa0\xa0\xa0 }\xa0 ', ""\xa0\xa0\xa0 res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0\xa0\xa0 res.write(data);', '\xa0\xa0\xa0 \n    return res.end();', '\xa0 });', '}).listen(8080);']]"
Node.js Tutorial,Node.js NPM,https://www.w3schools.com/nodejs/nodejs_npm.asp,"NPM is a package manager for Node.js packages, or modules if you like.|||www.npmjs.com hosts thousands of free packages to download and use.|||The NPM program is installed on your computer when you install Node.js|||NPM is already ready to run on your computer!|||A package in Node.js contains all the files you need for a module.|||Modules are JavaScript libraries you can include in your project.|||Downloading a package is very easy.|||Open the command line interface and tell NPM to download the package you want.|||I want to download a package called ""upper-case"":|||Download ""upper-case"":|||Now you have downloaded and installed your first package!|||NPM creates a folder named ""node_modules"", where the package will be placed. All packages you install in the future will be placed in this folder.|||My project now has a folder structure like this:|||C:\Users\My Name\node_modules\upper-case|||Once the package is installed, it is ready to use.|||Include the ""upper-case"" package the same way you include any other module:|||Create a Node.js file that will convert the output ""Hello World!"" into upper-case letters:|||Save the code above in a file called ""demo_uppercase.js"", and initiate the file:|||Initiate demo_uppercase:|||If you have followed the same steps on your computer, you will see the same result as the example: http://localhost:8080",What is NPM?|||What is a Package?,,,,"[[""\n  var uc = require('upper-case');""], [""\n  var http = require('http');"", ""var uc = require('upper-case');"", 'http.createServer(function \n  (req, res) {', ""\xa0\xa0res.writeHead(200, {'Content-Type': 'text/html'});"", '\n  \xa0 res.write(', <strong>uc.upperCase(""Hello 
  World!"")</strong>, ');', '\xa0 \n  res.end();', '}).listen(8080);']]"
Node.js Tutorial,Node.js Events,https://www.w3schools.com/nodejs/nodejs_events.asp,"Node.js is perfect for event-driven applications.|||Every action on a computer is an event. Like when a connection is made or a file is opened.|||Objects in Node.js can fire events, like the readStream object fires events when opening and closing a file:|||Node.js has a built-in module, called ""Events"", where you can create-, fire-, and listen for- your own events.|||To include the built-in Events module use the require() method. In addition, all event properties and methods are an instance of an EventEmitter object. To be able to access these properties and methods, create an EventEmitter object:|||You can assign event handlers to your own events with the EventEmitter object.|||In the example below we have created a function that will be executed when a ""scream"" event is fired.|||To fire an event, use the emit() method.",,,,,"[[""\n  var fs = require('fs');"", ""var rs = fs.createReadStream('./demofile.txt');"", ""\n  rs.on('open', function () {"", ""\xa0 console.log('The file is open');"", '\n  });'], [""\n  var events = require('events');"", 'var eventEmitter = new events.EventEmitter();'], [""\n  var events = require('events');"", 'var eventEmitter = new events.EventEmitter();', '\n', '//Create an event handler:', 'var myEventHandler = function () {', ""\xa0 \n  console.log('I hear a scream!');"", '}', '//Assign the event handler to an \n  event:', ""eventEmitter.on('scream', myEventHandler);"", ""//Fire the \n  'scream' event:"", ""eventEmitter.emit('scream');""]]"
Node.js Tutorial,Node.js Upload Files,https://www.w3schools.com/nodejs/nodejs_uploadfiles.asp,"There is a very good module for working with file uploads, called ""Formidable"".|||The Formidable module can be downloaded and installed using NPM:|||After you have downloaded the Formidable module, you can include the module in any application:|||Now you are ready to make a web page in Node.js that lets the user upload files to your computer:|||Create a Node.js file that writes an HTML form, with an upload field:|||This code will produce an HTML form:|||Include the Formidable module to be able to parse the uploaded file once it reaches the server.|||When the file is uploaded and parsed, it gets placed on a temporary folder on your computer.|||The file will be uploaded, and placed on a temporary folder:|||When a file is successfully uploaded to the server, it is placed on a temporary folder.|||The path to this directory can be found in the ""files"" object, passed as the third argument in the parse() method's callback function.|||To move the file to the folder of your choice, use the File System module, and rename the file:|||Include the fs module, and move the file to the current folder:",The Formidable Module|||Step 2: Parse the Uploaded File|||Step 3: Save the File|||Example,,,,"[[""\n  var formidable = require('formidable');""], [""\n  var http = require('http');"", 'http.createServer(function \n  (req, res) {', ""\xa0 res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0 res.write(\'<form \n  action=""fileupload"" method=""post"" enctype=""multipart/form-data"">\');', '\xa0 res.write(\'<input \n  type=""file"" name=""filetoupload""><br>\');', '\xa0 res.write(\'<input \n  type=""submit"">\');', ""\xa0 res.write('</form>');"", '\xa0 \n  return res.end();', '}).listen(8080);'], [""\n  var http = require('http');"", <strong>var formidable = require('formidable');<br/>
</strong>, 'http.createServer(function \n  (req, res) {', <strong>  if (req.url == '/fileupload') {<br/>    
  var form = new formidable.IncomingForm();<br/>    form.parse(req, 
  function (err, fields, files) {<br/>      res.write('File 
  uploaded');<br/>      res.end();<br/>    });<br/>
</strong>, '\xa0 \n  } else {', ""\xa0 \xa0 res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0 \xa0 res.write(\'<form \n  action=""fileupload"" method=""post"" enctype=""multipart/form-data"">\');', '\xa0 \xa0 res.write(\'<input \n  type=""file"" name=""filetoupload""><br>\');', '\xa0 \xa0 res.write(\'<input \n  type=""submit"">\');', ""\xa0 \xa0 res.write('</form>');"", '\xa0 \xa0 \n  return res.end();', '\xa0 }', '}).listen(8080);'], [""\n  var http = require('http');"", ""var formidable = require('formidable');"", '\n', <strong>var fs = require('fs');<br/></strong>, 'http.createServer(function \n  (req, res) {', ""\xa0 if (req.url == '/fileupload') {"", '\xa0\xa0\xa0 \n  var form = new formidable.IncomingForm();', '\xa0\xa0\xa0 form.parse(req, \n  function (err, fields, files) {', <strong>      var 
  oldpath = files.filetoupload.filepath;<br/>      var 
  newpath = 'C:/Users/<em>Your Name</em>/' + files.filetoupload.originalFilename;<br/>      
  fs.rename(oldpath, newpath, function (err) {<br/>        if (err) throw 
  err;<br/>        res.write('File uploaded 
  and moved!');<br/>        res.end();<br/>      
  });<br/></strong>, '\xa0});', '\xa0 \n  } else {', ""\xa0 \xa0 res.writeHead(200, {'Content-Type': 'text/html'});"", '\xa0 \xa0 res.write(\'<form \n  action=""fileupload"" method=""post"" enctype=""multipart/form-data"">\');', '\xa0 \xa0 res.write(\'<input \n  type=""file"" name=""filetoupload""><br>\');', '\xa0 \xa0 res.write(\'<input \n  type=""submit"">\');', ""\xa0 \xa0 res.write('</form>');"", '\xa0 \xa0 \n  return res.end();', '\xa0 }', '}).listen(8080);']]"
