Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
PHP Tutorial,PHP HOME,https://www.w3schools.com/php/default.asp,"PHP is a server scripting language, and a powerful tool for making dynamic and interactive Web pages.|||PHP is a widely-used, free, and efficient alternative to competitors such as Microsoft's ASP.|||With our online ""PHP Tryit"" editor, you can edit the PHP code, and click on a button to view the result.|||Click on the ""Try it Yourself"" button to see how it works.|||Insert the missing part of the code below to output ""Hello World"".|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All PHP Examples|||Learn by taking a quiz! This quiz will give you a signal of how much you know, or do not know, about PHP.|||Start PHP Quiz!|||W3Schools' PHP reference contains different categories of all PHP functions, keywords and constants, along with examples.|||Get certified by completing the  course",Learn PHP,,,,"[['\n <!DOCTYPE html>', '\n <html>', '\n    <body>', '\n', <span class=""marked"">&lt;?php<br/>
 echo ""My first PHP script!"";<br/>
 ?&gt;</span>, '\n', '\n    </body>', '\n    </html>\n']]"
PHP Tutorial,PHP Intro,https://www.w3schools.com/php/php_intro.asp,"PHP code is executed on the server.|||Before you continue you should have a basic understanding of the following:|||If you want to study these subjects first, find the tutorials on ourHome page.|||PHP is an amazing and popular language!|||It is powerful enough to be at the core of the biggest blogging system on the web (WordPress)!It is deep enough to run large social networks!It is also easy enough to be a beginner's first server side language!|||With PHP you are not limited to output HTML. You can output images, PDF files, and even Flash movies. You can also output any text, such as XHTML and XML.",What You Should Already Know|||What is PHP?|||What is a PHP File?|||What Can PHP Do?|||Why PHP?|||What's new in PHP 7,"HTML@@@CSS@@@JavaScript|||PHP is an acronym for ""PHP: Hypertext Preprocessor""@@@PHP is a widely-used, open source scripting language@@@PHP scripts are executed on the server@@@PHP is free to download and use|||PHP files can contain text, HTML, CSS, JavaScript, and PHP code@@@PHP code is executed on the server, and the result is returned to the browser as plain HTML@@@PHP files have extension "".php""|||PHP can generate dynamic page content@@@PHP can create, open, read, write, delete, and close files on the server@@@PHP can collect form data@@@PHP can send and receive cookies@@@PHP can add, delete, modify data in your database@@@PHP can be used to control user-access@@@PHP can encrypt data|||PHP runs on various platforms (Windows, Linux, Unix, Mac OS X, etc.)@@@PHP is compatible with almost all servers used today (Apache, IIS, etc.)@@@PHP supports a wide range of databases@@@PHP is free. Download it from the official PHP resource: www.php.net@@@PHP is easy to learn and runs efficiently on the server side|||PHP 7 is much faster than the previous popular stable release (PHP 5.6)@@@PHP 7 has improved Error Handling@@@PHP 7 supports stricter Type Declarations for function arguments@@@PHP 7 supports new operators (like the spaceship operator: <=>)",,,[]
PHP Tutorial,PHP Install,https://www.w3schools.com/php/php_install.asp,"To start using PHP, you can:|||If your server has activated support for PHP you do not need to do anything.|||Just create some .php files, place them in your web directory, and the server will automatically parse them for you.|||You do not need to compile anything or install any extra tools.|||Because PHP is free, most web hosts offer PHP support.|||However, if your server does not support PHP, you must:|||The official PHP website (PHP.net) has installation instructions for PHP:http://php.net/manual/en/install.php|||With w3schools' online PHP compiler, you can edit PHP code, and view the result in your browser.|||Click on the ""Try it Yourself"" button to see how it works.",PHP Online Compiler / Editor,"Find a web host with PHP and MySQL support@@@Install a web server on your own PC, and then install PHP and MySQL|||install a web server@@@install PHP@@@install a database, such as MySQL",,,[]
PHP Tutorial,PHP Syntax,https://www.w3schools.com/php/php_syntax.asp,"A PHP script is executed on the server, and the plain HTML result is sent back to the browser.|||A PHP script can be placed anywhere in the document.|||A PHP script starts with <?php and ends with ?>:|||The default file extension for PHP files is "".php"".|||A PHP file normally contains HTML tags, and some PHP scripting code.|||Below, we have an example of a simple PHP file, with a PHP script that uses a built-in PHP function ""echo"" to output the text""Hello World!"" on a web page:|||Note: PHP statements end with a semicolon (;).|||In PHP, keywords (e.g. if, else, while, echo, etc.), classes, functions, and user-defined functions are not case-sensitive.|||In the example below, all three echo statements below are equal and legal:|||Note: However; all variable names are case-sensitive!|||Look at the example below; only the first statement will display the value of the $color variable! This is because $color, $COLOR, and $coLOR are treated as three different variables:|||Insert the missing part of the code below to output ""Hello World"".",,,,,[]
PHP Tutorial,PHP Comments,https://www.w3schools.com/php/php_comments.asp,A comment in PHP code is a line that is not executed as a part of the program. Its only purpose is to be read by someone who is looking at the code.|||Comments can be used to:|||PHP supports several ways of commenting:|||Syntax for single-line comments:|||Syntax for multiple-line comments:|||Using comments to leave out parts of the code:,Example,Let others understand your code@@@Remind yourself of what you did - Most programmers have experienced coming back to their own work a year or two later and having to re-figure out what they did. Comments can remind you of what you were thinking when you wrote the code,,,[]
PHP Tutorial,PHP Variables,https://www.w3schools.com/php/php_variables.asp,"Variables are ""containers"" for storing information.|||In PHP, a variable starts with the $ sign, followed by the name of the variable:|||After the execution of the statements above, the variable $txt will hold the value Hello world!, the variable $x will hold the value 5, and the variable $y will hold the value 10.5.|||Note: When you assign a text value to a variable, put quotes around the value.|||Note: Unlike other programming languages, PHP has no command for declaring a variable. It is created the moment you first assign a value to it.|||Think of variables as containers for storing data.|||A variable can have a short name (like x and y) or a more descriptive name (age, carname, total_volume).|||Rules for PHP variables:|||Remember that PHP variable names are case-sensitive!|||The PHP echo statement is often used to output data to the screen.|||The following example will show how to output text and a variable:|||The following example will produce the same output as the example above:|||The following example will output the sum of two variables:|||Note: You will learn more about the echo statement and how to output data to the screen in the next chapter.|||In the example above, notice that we did not have to tell PHP which data type the variable is.|||PHP automatically associates a data type to the variable, depending on its value. Since the data types are not set in a strict sense, you can do things like adding a string to an integer without causing an error.|||In PHP 7, type declarations were added. This gives an option to specify the data type expected when declaring a function, and by enabling the strict requirement, it will throw a ""Fatal Error"" on a type mismatch.|||You will learn more about strict and non-strict requirements, and  data type declarations in the PHP Functions chapter.",,"A variable starts with the $ sign, followed by the name of the variable@@@A variable name must start with a letter or the underscore character@@@A variable name cannot start with a number@@@A variable name can only contain alpha-numeric characters and underscores (A-z, 0-9, and _ )@@@Variable names are case-sensitive ($age and   $AGE are two different variables)",,,"[['\n<?php', '\n$txt = ""Hello world!"";', '\n$x = 5;', '$y = 10.5;', '\n?>\n'], ['\n<?php', '\n$txt = ""W3Schools.com"";', '\n echo ""I love $txt!"";', '?>\n']]"
PHP Tutorial,PHP Echo / Print,https://www.w3schools.com/php/php_echo_print.asp,"With PHP, there are two basic ways to get output: echo and print.|||In this tutorial we use echo or print in almost every example. So, this chapter contains a little more info about those two output statements.|||echo and print are more or less the same. They are both used to output data to the screen. |||The differences are small: echo has no return value while print has a return value of 1 so it can be used in expressions. echo can take multiple parameters (although such usage is rare) while print can take one argument. echo is marginally faster than print.|||The echo statement can be used with or without parentheses: echo or echo().|||Display Text|||The following example shows how to output text with the echo command (notice that the text can contain HTML markup):|||Display Variables|||The following example shows how to output text and variables with the echo statement:|||The print statement can be used with or without parentheses: print or print().|||Display Text|||The following example shows how to output text with the print command (notice that the text can contain HTML markup):|||Display Variables|||The following example shows how to output text and variables with the print statement:",,,,,[]
PHP Tutorial,PHP Data Types,https://www.w3schools.com/php/php_datatypes.asp,"Variables can store data of different types, and different data types can do different things.|||PHP supports the following data types:|||A string is a sequence of characters, like ""Hello world!"".|||A string can be any text inside quotes. You can use single or double quotes:|||An integer data type is a non-decimal number between -2,147,483,648 and 2,147,483,647.|||Rules for integers:|||In the following example $x is an integer. The PHP var_dump() function returns the data type and value:|||A float (floating point number) is a number with a decimal point or a number in exponential form.|||In the following example $x is a float. The PHP var_dump() function returns the data type and value:|||A Boolean represents two possible states: TRUE or FALSE.|||Booleans are often used in conditional testing. You will learn more about conditional testing in a later chapter of this tutorial.|||An array stores multiple values in one single variable.|||In the following example $cars is an array. The PHP var_dump() function returns the data type and value:|||You will learn a lot more about arrays in later chapters of this tutorial.|||Classes and objects are the two main aspects of object-oriented programming.|||A class is a template for objects, and an object is an instance of a class.|||When the individual objects are created, they inherit all the properties and behaviors from the class, but each object will have different values for the properties.|||Let's assume we have a class named Car. A Car can have properties like model, color, etc. We can define variables like $model, $color, and so on, to hold the values of these properties.|||When the individual objects (Volvo, BMW, Toyota, etc.) are created, they inherit all the properties and behaviors from the class, but each object will have different values for the properties.|||If you create a __construct() function, PHP will automatically call this function when you create an object from a class.|||Null is a special data type which can have only one value: NULL.|||A variable of data type NULL is a variable that has no value assigned to it.|||Tip: If a variable is created without a value, it is automatically assigned a value of NULL.|||Variables can also be emptied by setting the value to NULL:|||The special resource type is not an actual data type. It is the storing of a reference to functions and resources external to PHP.|||A common example of using the resource data type is a database call.|||We will not talk about the resource type here, since it is an advanced topic.",PHP Array|||PHP NULL Value,"String@@@Integer@@@Float (floating point numbers - also called double)@@@Boolean@@@Array@@@Object@@@NULL@@@Resource|||An integer must have at least one digit@@@An integer must not have a decimal point@@@An integer can be either positive or negative@@@Integers can be specified in: decimal (base 10), hexadecimal (base 16), octal (base   8), or binary (base 2) notation",,,[]
PHP Tutorial,PHP Strings,https://www.w3schools.com/php/php_string.asp,"A string is a sequence of characters, like ""Hello world!"".|||In this chapter we will look at some commonly used functions to manipulate strings.|||The PHP strlen() function returns the length of a string.|||Return the length of the string ""Hello world!"":|||The PHP str_word_count() function counts the number of words in a string.|||Count the number of word in the string ""Hello world!"":|||The PHP strrev() function reverses a string.|||Reverse the string ""Hello world!"":|||The PHP strpos() function searches for a specific text within a string. If a match is found, the function returns the character position of the first match. If no match is found, it will return FALSE.|||Search for the text ""world"" in the string ""Hello world!"":|||Tip:  The first character position in a string is 0 (not 1).|||The PHP str_replace() function replaces some characters with some other characters in a string.|||Replace the text ""world"" with ""Dolly"":|||For a complete reference of all string functions, go to our complete PHP String Reference.|||The PHP string reference contains description and example of use, for each function!|||Get the length of the string ""Hello World!"".",PHP String Functions,,,,[]
PHP Tutorial,PHP Numbers,https://www.w3schools.com/php/php_numbers.asp,"In this chapter we will look in depth into Integers, Floats, and Number Strings.|||One thing to notice about PHP is that it provides automatic data type conversion.|||So, if you assign an integer value to a variable, the type of that variable will automatically be an integer. Then, if you assign a string to the same variable, the type will change to a string.|||This automatic conversion can sometimes break your code.|||2, 256, -256, 10358, -179567 are all integers.|||An integer is a number without any decimal part.|||An integer data type is a non-decimal number between -2147483648 and 2147483647 in 32 bit systems, and between -9223372036854775808 and 9223372036854775807 in 64 bit systems. A value greater (or lower) than this, will be stored as float, because it exceeds the limit of an integer.|||Note: Another important thing to know is that even if 4 * 2.5 is 10, the result is stored as float, because one of the operands is a float (2.5).|||Here are some rules for integers:|||PHP has the following predefined constants for integers:|||PHP has the following functions to check if the type of a variable is integer:|||Check if the type of a variable is integer:|||A float is a number with a decimal point or a number in exponential form.|||2.0, 256.4, 10.358, 7.64E+5, 5.56E-5 are all floats.|||The float data type can commonly store a value up to 1.7976931348623E+308 (platform dependent), and have a maximum precision of 14 digits.|||PHP has the following predefined constants for floats (from PHP 7.2):|||PHP has the following functions to check if the type of a variable is float:|||Check if the type of a variable is float:|||A numeric value that is larger than PHP_FLOAT_MAX is considered infinite.|||PHP has the following functions to check if a numeric value is finite or infinite:|||However, the PHP var_dump() function returns the data type and value:|||Check if a numeric value is finite or infinite:|||NaN stands for Not a Number.|||NaN is used for impossible mathematical operations.|||PHP has the following functions to check if a value is not a number:|||However, the PHP var_dump() function returns the data type and value:|||Invalid calculation will return a NaN value:|||The PHP is_numeric() function can be used to find whether a variable is numeric. The function returns true if the variable is a number or a numeric string, false otherwise.|||Check if the variable is numeric:|||Note: From PHP 7.0: The is_numeric() function will return FALSE for numeric strings in hexadecimal form (e.g. 0xf4c3b00c), as they are no longer considered as numeric strings.|||Sometimes you need to cast a numerical value into another data type.|||The (int), (integer), or intval() function are often used to convert a value to an integer.|||Cast float and string to integer:",Example,"An integer must have at least one digit@@@An integer must NOT have a decimal point@@@An integer can be either positive or negative@@@Integers can be specified in three formats: decimal (10-based), hexadecimal (16-based - prefixed with 0x) or octal (8-based - prefixed with 0)|||PHP_INT_MAX - The largest integer supported@@@PHP_INT_MIN - The smallest integer supported@@@PHP_INT_SIZE -  The size of an integer in bytes|||is_int()@@@is_integer() - alias of is_int()@@@is_long() - alias of is_int()|||PHP_FLOAT_MAX - The largest representable floating point number@@@PHP_FLOAT_MIN - The smallest representable positive floating point number@@@- PHP_FLOAT_MAX - The smallest representable negative floating point   number@@@PHP_FLOAT_DIG - The number of decimal digits that can be rounded into a   float and back without precision loss@@@PHP_FLOAT_EPSILON - The smallest representable positive number x, so that   x + 1.0 != 1.0|||is_float()@@@is_double() - alias of is_float()|||is_finite()@@@is_infinite()|||is_nan()",,,[]
