Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
Python Tutorial,Python HOME,https://www.w3schools.com/python/default.asp,"Python is a popular programming language.|||Python can be used on a server to create web applications.|||With our ""Try it Yourself"" editor, you can edit Python code and view the result.|||Click on the ""Try it Yourself"" button to see how it works.|||In our File Handling section you will learn how to open, read, write, and delete files.|||Python File Handling|||In our database section you will learn how to access and work with MySQL and MongoDB databases:|||Python MySQL Tutorial|||Python MongoDB Tutorial|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All Python Examples|||Test your Python skills with a quiz.|||Python Quiz|||You will also find complete function and method references:|||Reference Overview|||Built-in Functions|||String Methods|||List/Array Methods|||Dictionary Methods|||Tuple Methods|||Set Methods|||File Methods|||Python Keywords|||Python Exceptions|||Python Glossary|||Random Module|||Requests Module|||Math Module|||CMath Module|||Download Python from the official Python web site:  https://python.org|||Get certified by completing the  course",Learn Python|||Learning by Examples,,,,"[['\nprint(""Hello, World!"")\n']]"
Python Tutorial,Python Intro,https://www.w3schools.com/python/python_intro.asp,"Python is a popular programming language. It was created by Guido van Rossum, and released in 1991.|||It is used for:",What is Python?|||What can Python do?|||Why Python?|||Good to know|||Python Syntax compared to other programming languages,"web development (server-side), @@@software development, @@@mathematics,@@@system scripting.|||Python can be used on a server to create web applications.@@@Python can be used alongside software to create workflows.@@@Python can connect to database systems. It can also read and modify files.@@@Python can be used to handle big data and perform complex mathematics.@@@Python can be used for rapid prototyping, or for production-ready software development.|||Python works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc).@@@Python has a simple syntax similar to the English language.@@@Python has syntax that allows developers to write programs with fewer lines than some other programming languages.@@@Python runs on an interpreter system, meaning that code can be executed as soon as it is written. This means that prototyping can be very quick.@@@Python can be treated in a procedural way, an object-oriented way or a functional way.|||The most recent major version of Python is Python 3, which we shall be using in this tutorial. However, Python 2, although not being updated with anything other than security updates, is still quite popular.@@@In this tutorial Python will be written in a text editor. It is possible to write Python in an Integrated Development Environment, such as Thonny, Pycharm, Netbeans or Eclipse which are particularly useful when managing larger collections of Python files.|||Python was designed for readability, and has some similarities to the English language with influence from mathematics.@@@Python uses new lines to complete a command, as opposed to other programming languages which often use semicolons or parentheses.@@@Python relies on indentation, using whitespace, to define scope; such as the scope of loops, functions and classes. Other programming languages often use curly-brackets for this purpose.",,,"[['\nprint(""Hello, World!"")\n']]"
Python Tutorial,Python Get Started,https://www.w3schools.com/python/python_getstarted.asp,"Many PCs and Macs will have python already installed.|||To check if you have python installed on a Windows PC, search in the start bar for Python or run the following on the Command Line (cmd.exe):|||To check if you have python installed on a Linux or Mac, then on linux open the command line or on Mac open the Terminal and type:|||If you find that you do not have Python installed on your computer, then you can download it for free from the following website: https://www.python.org/|||Python is an interpreted programming language, this means that as a developer you write Python (.py) files in a text editor and then put those files into the python interpreter to be executed.|||The way to run a python file is like this on the command line:|||Where ""helloworld.py"" is the name of your python file.|||Let's write our first Python file, called helloworld.py, which can be done in any text editor.|||helloworld.py|||Simple as that. Save your file. Open your command line, navigate to the directory where you saved your file, and run:|||The output should read:|||Congratulations, you have written and executed your first Python program.|||To test a short amount of code in python sometimes it is quickest and easiest not to write the code in a file. This is made possible because Python can be run as a command line itself.|||Type the following on the Windows, Mac or Linux command line:|||From there you can write any python, including our hello world example from earlier in the tutorial:|||Which will write ""Hello, World!"" in the command line:|||Whenever you are done in the python command line, you can simply type the following to quit the python command line interface:",,,,,"[['\nprint(""Hello, World!"")\n']]"
Python Tutorial,Python Syntax,https://www.w3schools.com/python/python_syntax.asp,"As we learned in the previous page, Python syntax can be executed by writing directly in the Command Line:|||Or by creating a python file on the server, using the .py file extension, and running it in the Command Line:|||Indentation refers to the spaces at the beginning of a code line.|||Where in other programming languages the indentation in code is for readability only, the indentation in Python is very important.|||Python uses indentation to indicate a block of code.|||Python will give you an error if you skip the indentation:|||Syntax Error:|||The number of spaces is up to you as a programmer, but it has to be at least one.|||You have to use the same number of spaces in the same block of code, otherwise Python will give you an error:|||Syntax Error:|||In Python, variables are created when you assign a value to it:ExampleVariables in Python:  x = 5y = ""Hello, World!""Try it Yourself »Python has no command for declaring a variable.You will learn more about variables in the Python Variables chapter.CommentsPython has commenting capability for the purpose of in-code documentation.Comments start with a #, and Python will render the rest of the line as a comment:ExampleComments in Python:#This is a comment.print(""Hello, World!"")Try it Yourself »Test Yourself With ExercisesExercise:Insert the missing part of the code below to output ""Hello World"".(""Hello World"")Submit Answer »Start the Exercise❮ PreviousNext ❯|||Variables in Python:|||Python has no command for declaring a variable.|||You will learn more about variables in the Python Variables chapter.|||Python has commenting capability for the purpose of in-code documentation.|||Comments start with a #, and Python will render the rest of the line as a comment:ExampleComments in Python:#This is a comment.print(""Hello, World!"")Try it Yourself »Test Yourself With ExercisesExercise:Insert the missing part of the code below to output ""Hello World"".(""Hello World"")Submit Answer »Start the Exercise❮ PreviousNext ❯|||Comments in Python:|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise",,,,,"[['\n  if 5 > 2:', '\xa0\nprint(""Five is greater than two!"")\n'], ['\n  if 5 > 2:', '\xa0print(""Five is greater than two!"")\xa0\n', 'if 5 > 2:', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0 print(""Five is greater than two!"")\xa0\n'], ['\n  x = 5', 'y = ""Hello, World!""\n'], ['\n#This is a comment.', '\nprint(""Hello, World!"")\n']]"
Python Tutorial,Python Comments,https://www.w3schools.com/python/python_comments.asp,"Comments can be used to explain Python code.|||Comments can be used to make the code more readable.|||Comments can be used to prevent execution when testing code.|||Comments starts with a #, and Python will ignore them:|||Comments can be placed at the end of a line, and Python will ignore the rest of the line:|||A comment does not have to be text that explains the code, it can also be used to prevent Python from executing code:|||Python does not really have a syntax for multi line comments.|||To add a multiline comment you could insert a # for each line:|||Or, not quite as intended, you can use a multiline string.|||Since Python will ignore string literals that are not assigned to a variable, you can add a multiline string (triple quotes) in your code, and place your comment inside it:|||As long as the string is not assigned to a variable, Python will read the code, but then ignore it, and you have made a multiline comment.|||Comments in Python are written with a special character, which one?|||Start the Exercise",Multi Line Comments,,,,"[['\n#This is a comment', '\nprint(""Hello, World!"")\n'], ['\nprint(""Hello, World!"") #This is a comment\n'], ['\n  #print(""Hello, World!"")', 'print(""Cheers, Mate!"")'], ['\n  #This is a comment', '#written in', '#more than just one line', 'print(""Hello, \n  World!"")\n'], ['\n  """"""', 'This is a comment', 'written in ', 'more than just \n  one line', '""""""', 'print(""Hello, World!"")']]"
Python Tutorial,Python Variables,https://www.w3schools.com/python/python_variables.asp,"Variables are containers for storing data values.|||Python has no command for declaring a variable.|||A variable is created the moment you first assign a value to it.|||Variables do not need to be declared with any particular type, and can even change type after they have been set.|||If you want to specify the data type of a variable, this can be done with casting.|||You can get the data type of a variable with the type() function.|||String variables can be declared either by using single or double quotes:|||Variable names are case-sensitive.|||This will create two variables:",,,,,"[['\nx = 5', '\ny = ""John""', '\nprint(x)', '\nprint(y)\n'], ['\nx = 4\xa0\xa0\xa0\xa0\xa0\xa0 # x is of type int', '\nx = ""Sally"" # x is now of type str', '\nprint(x)\n'], [""\nx = \n  str(3)\xa0\xa0\xa0 # x will be '3'"", 'y = int(3)\xa0\xa0\xa0 # y \n  will be 3', 'z = float(3)\xa0 # z will be 3.0'], ['\n  x = 5', 'y = ""John""', 'print(type(x))', 'print(type(y))'], ['\nx = ""John""', '# is the same as', ""x = \n  'John'\n""], ['\n  a = 4', 'A = \n  ""Sally""', '#A will not overwrite a']]"
Python Tutorial,Python Data Types,https://www.w3schools.com/python/python_datatypes.asp,"In programming, data type is an important concept.|||Variables can store data of different types, and different types can do different things.|||Python has the following data types built-in by default, in these categories:|||You can get the data type of any object by using the type() function:|||Print the data type of the variable x:|||In Python, the data type is set when you assign a value to a variable:|||If you want to specify the data type, you can use the following constructor functions:|||The following code example would print the data type of x, what data type would that be?|||Start the Exercise",Exercise:,,,"Numeric Types:|||int, float,
    complex&&&Sequence Types:|||list, tuple, 
    range&&&Mapping Type:|||dict&&&Set Types:|||set, frozenset&&&Boolean Type:|||bool&&&Binary Types:|||bytes, bytearray, 
    memoryview$$$&&&x = ""Hello World""|||str|||Try it »&&&x = 20|||int|||Try it »&&&x = 20.5|||float|||Try it »&&&x = 1j|||complex|||Try it »&&&x = [""apple"", ""banana"", ""cherry""]|||list|||Try it »&&&x = (""apple"", ""banana"", ""cherry"")|||tuple|||Try it »&&&x = range(6)|||range|||Try it »&&&x = {""name"" : ""John"", ""age"" : 36}|||dict|||Try it »&&&x = {""apple"", ""banana"", ""cherry""}|||set|||Try it »&&&x = frozenset({""apple"", ""banana"", ""cherry""})|||frozenset|||Try it »&&&x = True|||bool|||Try it »&&&x = b""Hello""|||bytes|||Try it »&&&x = bytearray(5)|||bytearray|||Try it »&&&x = memoryview(bytes(5))|||memoryview|||Try it »$$$x = str(""Hello World"")|||str|||Try it »&&&x = int(20)|||int|||Try it »&&&x = float(20.5)|||float|||Try it »&&&x = complex(1j)|||complex|||Try it »&&&x = list((""apple"", ""banana"", ""cherry""))|||list|||Try it »&&&x = tuple((""apple"", ""banana"", ""cherry""))|||tuple|||Try it »&&&x = range(6)|||range|||Try it »&&&x = dict(name=""John"", age=36)|||dict|||Try it »&&&x = set((""apple"", ""banana"", ""cherry""))|||set|||Try it »&&&x = frozenset((""apple"", ""banana"", ""cherry""))|||frozenset|||Try it »&&&x = bool(5)|||bool|||Try it »&&&x = bytes(5)|||bytes|||Try it »&&&x = bytearray(5)|||bytearray|||Try it »&&&x = memoryview(bytes(5))|||memoryview|||Try it »","[['\nx = 5', '\nprint(type(x))\n']]"
Python Tutorial,Python Numbers,https://www.w3schools.com/python/python_numbers.asp,"There are three numeric types in Python:|||Variables of numeric types are created when you assign a value to them:|||To verify the type of any object in Python, use the type() function:|||Int, or integer, is a whole number, positive or negative, without decimals, of unlimited length.|||Integers:|||Float, or ""floating point number"" is a number, positive or negative, containing one or more decimals.|||Floats:|||Float can also be scientific numbers with an ""e"" to indicate the power of 10.|||Floats:|||Complex numbers are written with a ""j"" as the imaginary part:|||Complex:|||You can convert from one type to another with the int(), float(), and complex() methods:|||Convert from one type to another:|||Note: You cannot convert complex numbers into another number type.|||Python does not have a random() function to make a random number, but Python has a built-in module calledrandom that can be used to make random numbers:|||Import the random module, and display a random number between 1 and 9:|||In our Random Module Reference you will learn more about the Random module.|||Insert the correct syntax to convert x into a floating point number.|||Start the Exercise",Example,int@@@float@@@complex,,,"[['\nx = 1\xa0\xa0\xa0 \n  # int', 'y = 2.8\xa0 # float', 'z = 1j\xa0\xa0 # complex', '\n'], ['\n  print(type(x))', 'print(type(y))', 'print(type(z))', '\n'], ['\nx = 1', 'y = 35656222554887711', 'z = \n  -3255522', 'print(type(x))', 'print(type(y))', 'print(type(z))'], ['\nx = 1.10', 'y = 1.0', 'z = -35.59', 'print(type(x))', 'print(type(y))', 'print(type(z))'], ['\n  x = 35e3', 'y = 12E4', 'z = -87.7e100', 'print(type(x))', 'print(type(y))', '\n  print(type(z))'], ['\n  x = 3+5j', 'y = 5j', 'z = -5j', 'print(type(x))', 'print(type(y))', '\n  print(type(z))'], ['\n  x = 1\xa0\xa0\xa0 # int', 'y = 2.8\xa0 # float', 'z = 1j\xa0\xa0 # complex', '#convert from int to float:', '\n  a = float(x)', '#convert from float to int:', '\n  b = int(y)', '#convert from int to complex:', 'c = complex(x)', 'print(a)', 'print(b)', '\n  print(c)', 'print(type(a))', 'print(type(b))', '\n  print(type(c))'], ['\n  import random', 'print(random.randrange(1, 10))']]"
Python Tutorial,Python Casting,https://www.w3schools.com/python/python_casting.asp,"There may be times when you want to specify a type on to a variable. This can be done with casting. Python is an object-orientated language, and as such it uses classes to define data types, including its primitive types.|||Casting in python is therefore done using constructor functions:|||Integers:|||Floats:|||Strings:",,"int() - constructs an integer number from an integer literal, a float literal (by removing     all decimals), or a string literal (providing the string represents a whole number)@@@float() - constructs a float number from an integer literal, a float literal or a string literal (providing the string represents a float or an integer)@@@str() - constructs a string from a wide variety of data types, including strings, integer literals and float literals",,,"[['\nx = int(1)\xa0\xa0 # x will be 1', '\ny = int(2.8) # y will be 2', '\nz = int(""3"") # z will be 3', '\n'], ['\nx = float(1)\xa0\xa0\xa0\xa0 # x will be 1.0', '\ny = float(2.8)\xa0\xa0 # y will be 2.8', '\nz = float(""3"")\xa0\xa0 # z will be 3.0', '\nw = float(""4.2"") # w will be 4.2', '\n'], ['\nx = str(""s1"") # x will be \'s1\'', ""\ny = str(2)\xa0\xa0\xa0 # y will be '2'"", ""\nz = str(3.0)\xa0 # z will be '3.0'\n""]]"
Python Tutorial,Python Strings,https://www.w3schools.com/python/python_strings.asp,"Strings in python are surrounded by either single quotation marks, or double quotation marks.|||'hello' is the same as ""hello"".|||You can display a string literal with the print() function:|||Assigning a string to a variable is done with the variable name followed by an equal sign and the string:|||You can assign a multiline string to a variable by using three quotes:|||You can use three double quotes:|||Or three single quotes:|||Note: in the result, the line breaks are inserted at the same position as in the code.|||Like many other popular programming languages, strings in Python are arrays of bytes representing unicode characters.|||However, Python does not have a character data type, a single character is simply a string with a length of 1.|||Square brackets can be used to access elements of the string.|||Get the character at position 1 (remember that the first character has the position 0):|||Since strings are arrays, we can loop through the characters in a string, with a for loop.|||Loop through the letters in the word ""banana"":|||Learn more about For Loops in our Python For Loops chapter.|||To get the length of a string, use the len() function.|||The len() function returns the length of a string:|||To check if a certain phrase or character is present in a string, we can use the keyword in.|||Check if ""free"" is present in the following text:|||Use it in an if statement:|||Print only if ""free"" is present:|||Learn more about If statements in our Python If...Else chapter.|||To check if a certain phrase or character is NOT present in a string, we can use the keyword not in.|||Check if ""expensive"" is NOT present in the following text:|||Use it in an if statement:|||print only if ""expensive"" is NOT present:",Multiline Strings|||Strings are Arrays,,,,"[['\nprint(""Hello"")', ""\nprint('Hello')\n""], ['\na = ""Hello""', 'print(a)'], ['\n  a = """"""Lorem ipsum dolor sit amet,', 'consectetur adipiscing elit,', 'sed do \n  eiusmod tempor incididunt', 'ut labore et dolore magna aliqua.""""""', 'print(a)'], [""\n  a = '''Lorem ipsum dolor sit amet,"", 'consectetur adipiscing elit,', 'sed do \n  eiusmod tempor incididunt', ""ut labore et dolore magna aliqua.'''"", 'print(a)'], ['\na = ""Hello, World!""', '\nprint(a[1])\n'], ['\n  for x in ""banana"":', '\xa0 print(x)\n'], ['\na = ""Hello, World!""', '\nprint(len(a))\n'], ['\n  txt = ""The best things in life are free!""', 'print(""free"" in txt)', '\n'], ['\n  txt = ""The best things in life are free!""', 'if ""free"" in txt:', '\xa0\nprint(""Yes, \'free\' is present."")\n'], ['\n  txt = ""The best things in life are free!""', 'print(""expensive"" not in txt)\n  '], ['\n  txt = ""The best things in life are free!""', 'if ""expensive"" not in txt:', '\xa0\nprint(""No, \'expensive\' is NOT present."")\n  ']]"
