Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
R Tutorial,R HOME,https://www.w3schools.com/r/default.asp,"R is a programming language.|||R is often used for statistical computing and graphical presentation to analyze   and visualize data.|||With our ""Try it Yourself"" editor, you can edit R code and view the result.|||How to output some text, and how to do a simple calculation in R:|||Result:|||How you can use R to easily create a graph with numbers from 1 to 10 on both the x and y axis:|||Result:|||We recommend reading this tutorial, in the sequence listed in the left menu.|||Insert the missing part of the code below to output ""Hello World"".|||Start the Exercise|||Learn by examples! This tutorial supplements all explanations with clarifying examples.|||See All R Examples|||Learn by taking a quiz! This quiz will give you a signal of how much you know about R.|||Take the R Quiz",Examples in Each Chapter|||Example,,,,"[['\n  ""Hello World!""', '5 + 5'], ['\n  plot(1:10)']]"
R Tutorial,R Intro,https://www.w3schools.com/r/r_intro.asp,R is a popular programming language used for statistical computing and graphical presentation.|||Its most common use is to analyze and visualize data.|||This tutorial will teach you the basics of R.|||It is not necessary to have any prior programming experience.,What is R|||Why Use R?,"It is a great resource for data analysis, data visualization, data science and machine learning@@@It provides many statistical techniques (such as statistical tests, classification, clustering and data reduction)@@@It is easy to draw graphs in R, like pie charts, histograms, box plot, scatter plot, etc++@@@It works on different platforms (Windows, Mac, Linux)@@@It is open-source and free@@@It has a large community support@@@It has many packages (libraries of functions) that can be used to solve different problems",,,[]
R Tutorial,R Get Started,https://www.w3schools.com/r/r_get_started.asp,"To install R, go to https://cloud.r-project.org/ and download the latest version of R for Windows, Mac or Linux.|||When you have downloaded and installed R, you can run R on your computer.|||The screenshot below shows how it may look like when you run R on a Windows PC:|||If you type 5 + 5, and press enter, you will see that R outputs 10.|||When learning R at W3Schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result in your browser. This will make it easier for you to test and understand every part as we move forward:|||Result:",Learning R at W3Schools,,,,[['\n  5 + 5']]
R Tutorial,R Syntax,https://www.w3schools.com/r/r_syntax.asp,"To output text in R, use single or double quotes:|||To output numbers, just type the number (without quotes):|||To do simple calculations, add numbers together:|||Congratulations! You have now written your first R code.",,,,,"[['\n  ""Hello World!""'], ['\n  5', '10', '25'], ['\n  5 + 5']]"
R Tutorial,R Comments,https://www.w3schools.com/r/r_comments.asp,"Comments can be used to explain R code, and to make it more readable. It can also be used to prevent execution when testing alternative code.|||Comments starts with a #. When executing the R-code, R will ignore anything that starts with #.|||This example uses a comment before a line of code:|||This example uses a comment at the end of a line of code:|||Comments does not have to be text to explain the code, it can also be used to prevent R fromexecuting the code:|||Unlike other programming languages, such as Java, there are no syntax in R for multiline comments. However, we can just insert a # for each line to create multiline comments:",Multiline Comments,,,,"[['\n  # This is a comment', '""Hello World!""'], ['\n  ""Hello World!""\n  # This is a comment'], ['\n  # ""Good morning!""', '""Good night!""'], ['\n  # This is a comment', '# written in', '# more than just one line', '\n  ""Hello World!""']]"
R Tutorial,R Variables,https://www.w3schools.com/r/r_variables.asp,"Variables are containers for storing data values.|||R does not have a command for declaring a variable. A variable is created the moment you first assign a value to it. To assign a value to a variable, use the <- sign. To output (or print) the variable value, just type the variable name:|||From the example above, name and age are variables, while ""John"" and 40 are values.|||In other programming language, it is common to use = as an assignment operator. In R, we can useboth = and <- as assignment operators.|||However, <- is preferred in most cases because the = operator can be forbidden in some context in R.|||Compared to many other programming languages, you do not have to use a function to print/output variables in R. You can just type the name of the variable:|||However, R does have a print() function available if you want to use it. This might be useful if you are familiar with other programming languages, such as Python, which often use a print() function to output variables.|||And there are times you must use the print() function to output code, for example when working with for loops (which you will learn more about in a later chapter):|||Conclusion: It is up to your if you want to use the print() function or not to output code. However, when your code is inside an R expression (for example inside curly braces {} like in the example above), use the print() function if you want to output the result.|||You can also concatenate, or join, two or more elements, by using the paste() function.|||To combine both text and a variable, R uses comma (,):|||You can also use , to add a variable to another variable:|||For numbers, the + character works as a mathematical operator:|||If you try to combine a string (text) and a number, R will give you an error:|||Result:|||R allows you to assign the same value to multiple variables in one line:|||Remember that variable names are case-sensitive!",Multiple Variables,"A variable name must start with a letter and can be a combination of letters, digits, period(.)and underscore(_). If it starts with period(.), it cannot be followed by a digit.@@@A variable name cannot start with a number or underscore (_)@@@Variable names are case-sensitive (age, Age and AGE are three different variables)@@@Reserved words cannot be used as variables (TRUE, FALSE, NULL, if...)",,,"[['\n  name <- ""John""', 'age <- 40', 'name\xa0\xa0 # output ""John""', 'age\xa0\xa0\xa0 # output 40'], ['\n  name <- ""John Doe""', 'name # auto-print the value of the name variable'], ['\n  name <- ""John Doe""', 'print(name) # print the value of the name variable'], ['\n  for (x in 1:10) {', '\xa0 print(x)', '}'], ['\n  text <- ""awesome""', 'paste(""R is"", text)'], ['\n  text1 <- ""R is""', 'text2 <- ""awesome""', 'paste(text1, \n  text2)'], ['\n  num1 <- 5', 'num2 <- 10', 'num1 + num2'], ['\n  # Assign the same value to multiple variables in one line', 'var1 <- var2 <- \n  var3 <- ""Orange""', '# Print variable values', 'var1', 'var2', 'var3'], ['\n  # Legal variable names:', 'myvar <- ""John""', 'my_var <- ""John""', 'myVar \n  <- ""John""', '\n  MYVAR <- ""John""', 'myvar2 <- ""John""', '.myvar <- ""John""', '# Illegal variable names:', '\n  2myvar <- ""John""', 'my-var <- ""John""', 'my var <- ""John""', '_my_var <- ""John""', '\n  my_v@ar <- ""John""', 'TRUE <- ""John""']]"
R Tutorial,R Data Types,https://www.w3schools.com/r/r_data_types.asp,"In programming, data type is an important concept.|||Variables can store data of different types, and different types can do different things.|||In R, variables do not need to be declared with any particular type, and can even change type after theyhave been set:|||R has a variety of data types and object classes. You will learn much more about these as you continue to get to know R.|||Basic data types in R can be divided into the following types:|||We can use the class() function to check the data type of a variable:|||You will learn much more about the individual data types in the upcoming chapters.",,"numeric - (10.5, 55, 787)@@@integer - (1L, 55L, 100L, where the letter ""L"" declares this as an integer)@@@complex - (9 + 3i, where ""i"" is the imaginary part)@@@character (a.k.a. string) - (""k"", ""R is exciting"", ""FALSE"", ""11.5"")@@@logical (a.k.a. boolean) - (TRUE or FALSE)",,,"[['\n  my_var <- 30 # my_var is type of ', <strong>numeric</strong>, 'my_var <- ""Sally"" \n  # my_var is now of type ', <strong>character</strong>, ' (aka string)'], ['\n  # numeric', 'x <- 10.5', 'class(x)', '# integer', 'x <- 1000L', '\n  class(x)', '# \n  complex', 'x <- 9i + 3', 'class(x)', '\n', '# character/string', 'x <- ""R is exciting""', 'class(x)', '\n', '# logical/boolean', 'x <- TRUE', 'class(x)']]"
R Tutorial,R Numbers,https://www.w3schools.com/r/r_numbers.asp,"There are three number types in R:|||Variables of number types are created when you assign a value to them:|||A numeric data type is the most common type in R, and contains any number with or without a decimal, like: 10.5, 55, 787:|||Integers are numeric data without decimals. This is used when you are certain that you will never create a variable that should contain decimals. To create an integer variable, you must use the letter L after the integer value:|||A complex number is written with an ""i"" as the imaginary part:|||You can convert from one type to another with the following functions:",,numeric@@@integer@@@complex|||as.numeric()@@@as.integer()@@@as.complex(),,,"[['\n  x <- 10.5\xa0\xa0 # \n  numeric', 'y <- 10L\xa0\xa0\xa0 # integer', 'z <- 1i\xa0\xa0\xa0\xa0 # complex'], ['\n  x <- 10.5', 'y <- 55', '# Print values of x and y', '\n  x', 'y', '# \n  Print the class name of x and y', 'class(x)', 'class(y)'], ['\n  x <- 1000L', 'y <- 55L', '# Print values of x and y', 'x', 'y', '# Print the class name of x and y', '\n  class(x)', 'class(y)'], ['\n  x <- 3+5i', 'y <- 5i', '# Print values of x and y', 'x', 'y', '# Print the class name of x and y', '\n  class(x)', 'class(y)'], ['\n  x <- 1L # integer', 'y <- 2 # numeric', '# convert from integer to \n  numeric:', 'a <- as.numeric(x)', '# convert from numeric to integer:', 'b \n  <- as.integer(y)', '# print values of x and y', 'x', 'y', '# print \n  the class name of a and b', 'class(a)', '\n  class(b)']]"
R Tutorial,R Math,https://www.w3schools.com/r/r_math.asp,"In R, you can use operators to perform common mathematical operations on numbers.|||The + operator is used to add together two values:|||And the - operator is used for subtraction:|||You will learn more about available operators in our R Operators Tutorial.|||R also has many built-in math functions that allows you to perform mathematical tasks on numbers.|||For example, the min() and max() functions can be used to find the lowest or highest number in a set:|||The sqrt() function returns the square root of a number:|||The abs() function returns the absolute (positive) value of a number:|||The ceiling() function rounds a number upwards to its nearest integer, and the floor() function rounds a number downwards to its nearest integer, and returns the result:",,,,,"[['\n  10 + 5'], ['\n  10 - 5'], ['\n  max(5, 10, 15)', 'min(5, 10, 15)'], ['\n  sqrt(16)'], ['\n  abs(-4.7)'], ['\n  ceiling(1.4)', 'floor(1.4)']]"
R Tutorial,R Strings,https://www.w3schools.com/r/r_strings.asp,"A character, or strings, are used for storing text. A string is surrounded by either single quotation marks, or double quotation marks:|||""hello"" is the same as 'hello':|||Assigning a string to a variable is done with the variable followed by the <- operator and the string:|||You can assign a multiline string to a variable like this:|||However, note that R will add a ""\n"" at the end of each line break. This is called an escape character, and the n character indicates a new line.|||If you want the line breaks to be inserted at the same position as in the code, use the cat() function:|||There are many usesful string functions in R.|||For example, to find the number of characters in a string, use the nchar() function:|||Use the grepl() function to check if a character or a sequence of characters are present in a string:|||Use the paste() function to merge/concatenate two strings:|||To insert characters that are illegal in a string, you must use an escape character.|||An escape character is a backslash \ followed by the character you want to insert.|||An example of an illegal character is a double quote inside a string that is surrounded by double quotes:|||Result:|||To fix this problem, use the escape character \"":|||The escape character allows you to use double quotes when you normally would not be allowed:|||Note that auto-printing the str variable will print the backslash in the output. You can use the cat() function to printit without backslash.|||Other escape characters in R:",Multiline Strings|||String Length|||Example,,,\\|||Backslash&&&\n|||New Line&&&\r|||Carriage Return&&&\t|||Tab&&&\b|||Backspace,"[['\n  ""hello""', ""'hello'""], ['\n  str <- ""Hello""', 'str # print the value of str'], ['\n  str <- ""Lorem ipsum dolor sit amet,', 'consectetur adipiscing elit,', 'sed do \n  eiusmod tempor incididunt', 'ut labore et dolore magna aliqua.""', '\n  str # print the value of str'], ['\n  str <- ""Lorem ipsum dolor sit amet,', 'consectetur adipiscing elit,', 'sed do \n  eiusmod tempor incididunt', 'ut labore et dolore magna aliqua.""', 'cat(str)'], ['\n  str <- ""Hello World!""', 'nchar(str)'], ['\n  str <- ""Hello World!""', 'grepl(""H"", str)', 'grepl(""Hello"", \n  str)', 'grepl(""X"", \n  str)'], ['\n  str1 <- ""Hello""', 'str2 <- ""World""', '\n  paste(str1, str2)'], ['\n  str <- ""We are the so-called \\""Vikings\\"", from the north.""', '\n  str', '\n  cat(str)']]"
