Heading,Sub-Heading,Links,Description,List Headings,Unordered Lists,Ordered Lists,Table Data,Examples
HTML Tutorial,HTML HOME,https://www.w3schools.com/html/default.asp,"HTML is the standard markup language for Web pages.|||With HTML you can create your own Website.|||HTML is easy to learn - You will enjoy it!|||With our ""Try it Yourself"" editor, you can edit the HTML code and view the result:|||Click on the ""Try it Yourself"" button to see how it works.|||In this HTML tutorial, you will find more than 200 examples. With our online ""Try it Yourself"" editor, you can edit and test each example yourself!|||Go to HTML Examples!|||This HTML tutorial also contains nearly 100 HTML exercises.|||Add a ""tooltip"" to the paragraph below with the text ""About W3Schools"".|||Start the Exercise|||Test your HTML skills with our HTML Quiz!|||Start HTML Quiz!|||At W3Schools you will find complete references about HTML elements, attributes, events, color names, entities, character-sets, URL encoding, language codes, HTTP messages, browser support, and more:|||Get certified by completing the  course",,,,,"[['\n<!DOCTYPE html>', '\n<html>', '<head>', '<title>Page Title</title>', '\n</head>', '<body>', '<h1>This is a Heading</h1>', '<p>This is a paragraph.</p>', '\n</body>', '</html>\n']]"
HTML Tutorial,HTML Introduction,https://www.w3schools.com/html/html_intro.asp,"HTML is the standard markup language for creating Web pages.|||An HTML element is defined by a start tag, some content, and an end tag:|||The HTML element is everything from the start tag to the end tag:|||Note: Some HTML elements have no content (like the <br> element). These elements are called empty elements. Empty elements do not have an end tag!|||The purpose of a web browser (Chrome, Edge, Firefox, Safari) is to read HTML documents and display them correctly.|||A browser does not display the HTML tags, but uses them to determine how to display the document:||||||Below is a visualization of an HTML page structure:|||Note: The content inside the <body> section (the white area above) will be displayed in a browser. The content inside the <title> element will be shown in the browser's title bar or in the page's tab.|||Since the early days of the World Wide Web, there have been many versions of HTML:|||This tutorial follows the latest HTML5 standard.",What is HTML?|||Example Explained,"HTML stands for Hyper Text Markup Language@@@HTML is the standard markup language for creating Web pages@@@HTML describes the structure of a Web page@@@HTML consists of a series of elements@@@HTML elements tell the browser how to display the content@@@HTML elements label pieces of content such as ""this is a heading"", ""this   is a paragraph"", ""this is a link"", etc.|||The <!DOCTYPE html> declaration defines that this document is an HTML5 document@@@The <html> element is the root element of an HTML page@@@The <head> element contains meta information about the  HTML page@@@The <title> element specifies a title for the  HTML page (which is shown in the browser's title bar or in the page's tab)@@@The <body> element defines the  document's body, and is a container for all the visible contents, such as  headings, paragraphs, images, hyperlinks, tables, lists, etc.@@@The <h1> element defines a large heading@@@The <p> element defines a paragraph",,<h1>|||My First Heading|||</h1>&&&<p>|||My first paragraph.|||</p>&&&<br>|||none|||none$$$1989|||Tim Berners-Lee invented www&&&1991|||Tim Berners-Lee invented HTML&&&1993|||Dave Raggett drafted HTML+&&&1995|||HTML Working Group defined HTML 2.0&&&1997|||W3C Recommendation: HTML 3.2&&&1999|||W3C Recommendation: HTML 4.01&&&2000|||W3C Recommendation: XHTML 1.0&&&2008|||WHATWG HTML5 First Public Draft&&&2012|||WHATWG HTML5 Living Standard&&&2014|||W3C Recommendation: HTML5&&&2016|||W3C Candidate Recommendation: HTML 5.1&&&2017|||W3C Recommendation: HTML5.1 2nd Edition&&&2017|||W3C Recommendation: HTML5.2,"[['\n <!DOCTYPE html>', '\n<html>', '<head>', '<title>Page Title</title>', '\n </head>', '\n<body>', '<h1>My First Heading</h1>', '<p>My first paragraph.</p>', '\n    </body>', '</html>\n']]"
HTML Tutorial,HTML Editors,https://www.w3schools.com/html/html_editors.asp,"A simple text editor is all you need to learn HTML.|||Web pages can be created and modified by using professional HTML editors.|||However, for learning HTML we recommend a simple text editor like Notepad (PC) or TextEdit (Mac).|||We believe in that using a simple text editor is a good way to learn HTML.|||Follow the steps below to create your first web page with Notepad or TextEdit.|||Windows 8 or later:|||Open the Start Screen (the window symbol at the bottom left on your screen). Type Notepad.|||Windows 7 or earlier:|||Open Start > Programs > Accessories > Notepad|||Open Finder > Applications > TextEdit|||Also change some preferences to get the application to save files correctly.In Preferences > Format > choose ""Plain Text""|||Then under ""Open and Save"", check the box that says ""Display HTML files as HTML code instead of formatted text"".|||Then open a new document to place the code.|||Write or copy the following HTML code into Notepad:||||||Save the file on your computer. Select File > Save as in the Notepad menu.|||Name the file ""index.htm"" and set the encoding to UTF-8 (which is the preferred encoding for HTML files).||||||Tip: You can use either .htm or .html as file extension. There is no difference, it is up to you.|||Open the saved HTML file in your favorite browser (double click on the file, or right-click - and choose ""Open with"").|||The result will look much like this:||||||With our free online editor, you can edit the HTML code and view the result in your browser.|||It is the perfect tool when you want to test code fast. It also has color coding and the ability to save and share code with others:|||Click on the ""Try it Yourself"" button to see how it works.|||If you want to create your own website and save your code online, try our free website builder, called W3schools Spaces:|||","W3Schools Online Editor - ""Try it Yourself""",,,,"[['\n<!DOCTYPE html>', '<html>', '<body>', '<h1>My First Heading</h1>', '\n<p>My first paragraph.</p>', '</body>', '</html>'], ['\n<!DOCTYPE html>', '\n<html>', '<head>', '<title>Page Title</title>', '\n</head>', '<body>', '<h1>This is a Heading</h1>', '<p>This is a paragraph.</p>', '\n</body>', '</html>\n']]"
HTML Tutorial,HTML Basic,https://www.w3schools.com/html/html_basic.asp,"In this chapter we will show some basic HTML examples.|||Don't worry if we use tags you have not learned about yet.|||All HTML documents must start with a document type declaration: <!DOCTYPE html>.|||The HTML document itself begins with <html> and ends with </html>.|||The visible part of the HTML document is between <body> and </body>. |||The <!DOCTYPE> declaration represents the document type, and helps browsers to display web pages correctly.|||It must only appear once, at the top of the page (before any HTML tags). |||The <!DOCTYPE> declaration is not case sensitive.|||The <!DOCTYPE> declaration for HTML5 is:|||HTML headings are defined with the <h1> to <h6> tags.|||<h1> defines the most important heading. <h6> defines the least important heading: |||HTML paragraphs are defined with the <p> tag:|||HTML links are defined with the <a> tag:|||The link's destination is specified in the href attribute. |||Attributes are used to provide additional information about HTML elements.|||You will learn more about attributes in a later chapter.|||HTML images are defined with the <img> tag.|||The source file (src), alternative text (alt), width, and height are provided as attributes:|||Have you ever seen a Web page and wondered ""Hey! How did they do that?""|||Right-click in an HTML page and select ""View Page Source"" (in Chrome) or ""View Source"" (in Edge), or similar in other browsers. This will open a window containing the HTML source code of the page.|||Right-click on an element (or a blank area), and choose ""Inspect"" or ""Inspect Element"" to see what elements are made up of (you will see both the HTML and the CSS). You can also edit the HTML or CSS on-the-fly in the Elements or Styles panel that opens.",,,,,"[['\n<!DOCTYPE html>', '<html>', '<body>', '<h1>My First Heading</h1>', '<p>My first paragraph.</p>', '</body>', '</html>'], ['\n<!DOCTYPE html>'], ['\n<h1>This is heading 1</h1>', '\n<h2>This is heading 2</h2>', '\n<h3>This is heading 3</h3>\n'], ['\n<p>This is a paragraph.</p>', '\n<p>This is another paragraph.</p>\n'], ['\n<a href=""https://www.w3schools.com"">This is a link</a>\n'], ['\n<img src=""w3schools.jpg"" alt=""W3Schools.com"" width=""104"" height=""142"">\n']]"
HTML Tutorial,HTML Elements,https://www.w3schools.com/html/html_elements.asp,"An HTML element is defined by a start tag, some content, and an end tag.|||The HTML element is everything from the start tag to the end tag:|||Examples of some HTML elements:|||Note: Some HTML elements have no content (like the <br> element). These elements are called empty elements. Empty elements do not have an end tag!|||HTML elements can be nested (this means that elements can contain other elements).|||All HTML documents consist of nested HTML elements.|||The following example contains four HTML elements (<html>, <body>, <h1> and <p>):|||The <html> element is the root element and it defines the whole HTML document.|||It has a start tag <html> and an end tag </html>.|||Then, inside the <html> element there is a <body> element:|||The <body> element defines the document's body.|||It has a start tag <body> and an end tag </body>.|||Then, inside the <body> element there are two other elements:<h1> and <p>:|||The <h1> element defines a heading.|||It has a start tag <h1> and an end tag </h1>:|||The <p> element defines a paragraph.|||It has a start tag <p> and an end tag </p>:|||Some HTML elements will display correctly, even if you forget the end tag:|||However, never rely on this! Unexpected results and errors may occur if you forget the end tag!|||HTML elements with no content are called empty elements.|||The <br> tag defines a line break, and is an empty element without a closing tag:|||HTML tags are not case sensitive: <P> means the same as <p>.|||The HTML standard does not require lowercase tags, but W3Crecommends lowercase in HTML, and demands lowercase for stricter document types like XHTML.|||At W3Schools we always use lowercase tag names.|||W3Schools' tag reference contains additional information about these tags and their attributes.|||For a complete list of all available HTML tags, visit our HTML Tag Reference.",,,,<h1>|||My First Heading|||</h1>&&&<p>|||My first paragraph.|||</p>&&&<br>|||none|||none$$$<html>|||Defines the root of an HTML document&&&<body>|||Defines the document's body&&&<h1> to <h6>|||Defines HTML headings,"[['\n<!DOCTYPE html>', '\n<html>', '<body>', '\n <h1>My First Heading</h1>', '<p>My first paragraph.</p>', '\n</body>', '</html>\n'], ['\n<body>', '\n <h1>My First Heading</h1>', '<p>My first paragraph.</p>', '\n</body>\n'], ['\n <h1>My First Heading</h1>', '<p>My first paragraph.</p>'], ['\n<h1>My First Heading</h1>\n'], ['\n<p>My first paragraph.</p>\n'], ['\n<html>', '<body>', '\n <p>This is a paragraph', '\n <p>This is a paragraph', '\n', '</body>', '</html>'], ['\n  <p>This is a <br> paragraph with a line break.</p>']]"
HTML Tutorial,HTML Attributes,https://www.w3schools.com/html/html_attributes.asp,"HTML attributes provide additional information about HTML elements.|||The <a> tag defines a hyperlink. The href attribute specifies the URL of the page the link goes to:|||You will learn more about links in our HTML Linkschapter.|||The <img> tag is used to embed an image in an HTML page. The src attribute specifies the path to the image to be displayed:|||There are two ways to specify the URL in the src attribute:|||1. Absolute URL - Links to an external image that is hosted on another website. Example: src=""https://www.w3schools.com/images/img_girl.jpg"".|||Notes: External images might be under copyright. If you do not get permission to use it, you may be in violation of copyright laws. In addition, you cannot control external images; it can suddenly be removed or changed.|||2. Relative URL - Links to an image that is hosted within the website. Here, the URL does not include the domain name. If the URL begins without a slash, it will be relative to the current page. Example: src=""img_girl.jpg"". If the URL begins with a slash, it will be relative to the domain. Example: src=""/images/img_girl.jpg"".|||Tip: It is almost always best to use relative URLs. They will not break if you change domain.|||The <img> tag should also contain thewidth and height attributes, which specifies the width and height of the image (in pixels):|||The required alt attribute for the <img> tag specifies an alternate text for an image, if the image for some reason cannot be displayed. This can be due to slow connection, or an error in the src attribute, or if the user uses a screen reader.|||See what happens if we try to display an image that does not exist:|||You will learn more about images in our HTML Images chapter.|||The style attribute is used to add styles to an element, such as color, font, size, and more.|||You will learn more about styles in our HTML Styles chapter.|||You should always include the lang attribute inside the <html> tag, to declare the language of the Web page. This is meant to assist search engines and browsers.|||The following example specifies English as the language:|||Country codes can also be added to the language code in the lang attribute. So, the first two characters define the language of the HTML page, and the last two characters define the country.|||The following example specifies English as the language and United States as the country:|||You can see all the language codes in ourHTML Language Code Reference.|||The title attribute defines some extra information about an element.|||The value of the title attribute will be displayed as a tooltip when you mouse over the element:|||The HTML standard does not require lowercase attribute names.|||The title attribute (and all other attributes) can be written with uppercase or lowercase like title or TITLE.|||However, W3C recommends lowercase attributes in HTML, and demands lowercase attributes for stricter document types like XHTML.|||At W3Schools we always use lowercase attribute names.|||The HTML standard does not require quotes around attribute values.|||However, W3C recommends quotes in HTML, and demands quotes for stricter document types like XHTML.|||Sometimes you have to use quotes. This example will not display the title attribute correctly, because it contains a space:||| At W3Schools we always use quotes around attribute values.|||Double quotes around attribute values are the most common in HTML, but single quotes can also be used.|||In some situations, when the attribute value itself contains double quotes, it is necessary to use single quotes:|||Or vice versa:|||Add a ""tooltip"" to the paragraph below with the text ""About W3Schools"".|||Start the Exercise|||A complete list of all attributes for each HTML element, is listed in our:HTML Attribute Reference.",HTML Attributes|||The width and height Attributes|||The lang Attribute|||Chapter Summary,"All HTML elements can have attributes@@@Attributes provide additional information about elements@@@Attributes are always specified in the start tag@@@Attributes usually come in name/value pairs like: name=""value""|||All HTML elements can have attributes@@@The href attribute of   <a> specifies the URL of the page the link goes to@@@The src attribute of   <img> specifies the path to the image to be displayed@@@The width and height attributes   of <img> provide size information for images@@@The alt attribute of   <img> provides an alternate text for an image@@@The style attribute is used to add styles   to an element, such as color, font, size, and more@@@The lang attribute   of the <html> tag declares the   language of the Web page@@@The title attribute defines some extra   information about an element",,,"[['\n<a href=""https://www.w3schools.com"">Visit W3Schools</a>\n'], ['\n<img src=""img_girl.jpg"">\n'], ['\n<img src=""img_girl.jpg"" width=""500"" height=""600"">\n'], ['\n <img src=""img_girl.jpg"" alt=""Girl \n  with a jacket"">\n'], ['\n <img src=""img_typo.jpg"" alt=""Girl \n  with a jacket"">\n'], ['\n<p style=""color:red;"">This is a red paragraph.</p>\n  '], ['\n<!DOCTYPE html>', '<html lang=""en"">', '<body>', '...', '</body>', '</html>\n'], ['\n<!DOCTYPE html>', '<html lang=""en-US"">', '<body>', '...', '</body>', '</html>\n'], ['\n <p title=""I\'m a tooltip"">This is a paragraph.</p>\n'], ['\n  <a href=""https://www.w3schools.com/html/"">Visit our HTML tutorial</a>'], ['\n  <a href=https://www.w3schools.com/html/>Visit our HTML tutorial</a>'], ['\n <p\n title=About W3Schools>'], ['\n<p title=\'John ""ShotGun"" Nelson\'>\n'], ['\n<p title=""John \'ShotGun\' Nelson"">']]"
HTML Tutorial,HTML Headings,https://www.w3schools.com/html/html_headings.asp,"HTML headings are titles or subtitles that you want to display on a webpage.|||HTML headings are defined with the <h1> to <h6> tags.|||<h1> defines the most important heading. <h6> defines the least important heading.|||Note: Browsers automatically add some white space (a margin) before and after a heading.|||Search engines use the headings to index the structure and content of your web pages.|||Users often skim a page by its headings. It is important to use headings to show the document structure.|||<h1> headings should be used for main headings, followed by <h2> headings, then the less important <h3>, and so on.|||Note: Use HTML headings for headings only. Don't use headings to make text   BIG or bold.|||Each HTML heading has a default size. However, you can specify the size for any heading with the style attribute, using the CSS font-size property:|||Use the correct HTML tag to add a heading with the text ""London"".|||Start the Exercise|||W3Schools' tag reference contains additional information about these tags and their attributes.|||For a complete list of all available HTML tags, visit our HTML Tag Reference.",Bigger Headings,,,<html>|||Defines the root of an HTML document&&&<body>|||Defines the document's body&&&<h1> to <h6>|||Defines HTML headings,"[['\n<h1>Heading 1</h1>', '\n<h2>Heading 2</h2>', '\n<h3>Heading 3</h3>', '<h4>Heading 4</h4>', '<h5>Heading 5</h5>', '<h6>Heading 6</h6>'], ['\n<h1 \n  style=""font-size:60px;"">Heading 1</h1>', '\n']]"
HTML Tutorial,HTML Paragraphs,https://www.w3schools.com/html/html_paragraphs.asp,"A paragraph always starts on a new line, and is usually a block of text.|||The HTML <p> element defines a paragraph.|||A paragraph always starts on a new line, and browsers automatically add some white space (a margin) before and after a paragraph.|||You cannot be sure how HTML will be displayed.|||Large or small screens, and resized windows will create different results. |||With HTML, you cannot change the display by adding extra spaces or extra lines in your HTML code.|||The browser will automatically remove any extra spaces and lines when the page is displayed:|||The <hr> tag defines a thematic break in an HTML page, and is most often displayed as a horizontal rule.|||The <hr> element is used to separate content (or define a change) in an HTML page:|||The <hr> tag is an empty tag, which means that it has no end tag.|||The HTML <br> element defines a line break.|||Use <br> if you want a line break (a new line) without starting a new paragraph:|||The <br> tag is an empty tag, which means that it has no end tag.|||This poem will display on a single line:|||The HTML <pre> element defines preformatted text.|||The text inside a <pre> element is displayed in a fixed-width font (usually Courier), and it preserves both spaces and line breaks:|||Use the correct HTML tag to add a paragraph with the text ""Hello World!"".|||Start the Exercise|||W3Schools' tag reference contains additional information about HTML elements and their attributes.|||For a complete list of all available HTML tags, visit our HTML Tag Reference.",,,,<p>|||Defines a paragraph&&&<hr>|||Defines a thematic change in the content&&&<br>|||Inserts a single line break&&&<pre>|||Defines pre-formatted text,"[['\n<p>This is a paragraph.</p>', '\n<p>This is another paragraph.</p>\n'], ['\n <p>', 'This paragraph', 'contains a lot of lines', 'in the source code,', 'but \n the browser ', 'ignores it.', '</p>', '<p>', 'This paragraph', 'contains\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n a lot of spaces', 'in the source\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n code,', 'but the\xa0\xa0\xa0\xa0\xa0\xa0\xa0 browser ', 'ignores \n it.', '</p>'], ['\n <h1>This is heading 1</h1>', '<p>This is some text.</p>', '<hr>', '<h2>This is heading 2</h2>', '<p>This is some other text.</p>', '<hr>\n'], ['\n<p>This is<br>a paragraph<br>with line breaks.</p>'], ['\n <p>', '\xa0 My Bonnie lies over \n the ocean.', '\xa0 My Bonnie lies over the sea.', '\xa0 My Bonnie \n lies over the ocean.', '\xa0 Oh, bring back my Bonnie to me.', '</p>'], ['\n <pre>', '\xa0 My Bonnie lies over the ocean.', '\n', '\xa0 My Bonnie lies over the sea.', '\xa0 My Bonnie lies over the \nocean.', '\xa0 Oh, bring back my Bonnie to me.', '</pre>']]"
HTML Tutorial,HTML Styles,https://www.w3schools.com/html/html_styles.asp,"The HTML style attribute is used to add styles to an element, such as color, font, size, and more.|||I am Red|||I am Blue|||I am Big|||Setting the style of an HTML element, can be done with the style attribute.|||The HTML style attribute has the following syntax:|||The property is a CSS property. The value is a CSS value.|||You will learn more about CSS later in this tutorial.|||The CSS background-color property defines the background color for an HTML element.|||Set the background color for a page to powderblue:|||Set background color for two different elements:|||The CSS color property defines the text color for an HTML element:|||The CSS font-family property defines the font to be used  for an HTML element:|||The CSS font-size property defines the text size for an HTML element:|||The CSS text-align property defines the horizontal text alignment for an HTML element:|||Use the correct HTML attribute, and CSS, to set the color of the paragraph to ""blue"".|||Start the Exercise",Chapter Summary,Use the style attribute for styling HTML elements@@@Use background-color for background color@@@Use color for text colors@@@Use font-family for text fonts@@@Use font-size for text sizes@@@Use text-align for text alignment,,,"[['\n <', <em>tagname</em>, '\nstyle=""', <em>property</em>, ':', <em>value;</em>, '"">\n'], ['\n <body style=""background-color:powderblue;"">', '<h1>This is a heading</h1>', '<p>This is a paragraph.</p>', '</body>'], ['\n  <body>', '<h1 style=""background-color:powderblue;"">This is a heading</h1>', '<p \n  style=""background-color:tomato;"">This is a paragraph.</p>', '</body>'], ['\n <h1 style=""color:blue;"">This is a heading</h1>', '\n <p style=""color:red;"">This is a paragraph.</p>'], ['\n <h1 style=""font-family:verdana;"">This is a heading</h1>', '<p style=""font-family:courier;"">This is a paragraph.</p>'], ['\n <h1 style=""font-size:300%;"">This is a heading</h1>', '<p \nstyle=""font-size:160%;"">This is a paragraph.</p>'], ['\n <h1 style=""text-align:center;"">Centered Heading</h1>', '\n <p style=""text-align:center;"">Centered paragraph.</p>']]"
HTML Tutorial,HTML Formatting,https://www.w3schools.com/html/html_formatting.asp,"HTML contains several elements for defining text with a special meaning.|||This text is bold|||This text is italic|||This is subscript and superscript|||Formatting elements were designed to display special types of text:|||The HTML <b> element defines bold text, without any extra importance.|||The HTML <strong> element defines text with strong importance. The content inside is typically displayed in bold.|||The HTML <i> element defines a part of text in an alternate voice or mood. The content inside is typically displayed in italic.|||Tip: The <i> tag is often used to indicate a technical term, a phrase from another language, a thought, a ship name, etc.|||The HTML <em> element defines emphasized text. The content inside is typically displayed in italic.|||Tip: A screen reader will pronounce the words in <em> with an emphasis, using verbal stress.|||The HTML <small> element defines smaller text:|||The HTML <mark> element defines text that should be marked or highlighted:|||The HTML <del> element defines text that has been deleted from a document. Browsers will usually strike a line through deleted text:|||The HTML <ins> element defines a text that has been inserted into a document. Browsers will usually underline inserted text:|||The HTML <sub> element defines subscript text. Subscript text appears half a character below the normal line, and is sometimes rendered in a smaller font. Subscript text can be used for chemical formulas, like H2O:|||The HTML <sup> element defines superscript text. Superscript text appears half a character above the normal line, and is sometimes rendered in a smaller font. Superscript text can be used for footnotes, like WWW[1]:|||Add extra importance to the word ""degradation"" in the paragraph below.|||Start the Exercise|||For a complete list of all available HTML tags, visit our HTML Tag Reference.",,<b> - Bold text@@@<strong> - Important text@@@<i> - Italic text@@@<em> - Emphasized text@@@<mark> - Marked text@@@<small> - Smaller text@@@<del> - Deleted text@@@<ins> - Inserted text@@@<sub> - Subscript text@@@<sup> - Superscript text,,<b>|||Defines bold text&&&<em>|||Defines emphasized text &&&<i>|||Defines a part of text in an alternate voice or mood&&&<small>|||Defines smaller text&&&<strong>|||Defines important text&&&<sub>|||Defines subscripted text&&&<sup>|||Defines superscripted text&&&<ins>|||Defines inserted text&&&<del>|||Defines deleted text&&&<mark>|||Defines marked/highlighted text,"[['\n    <b>This text is bold</b>'], ['\n     <strong>This text is \n     important!</strong>'], ['\n    <i>This text is italic</i>'], ['\n    <em>This text is \n emphasized</em>'], ['\n  <small>This is some smaller text.</small>', '\n'], ['\n  <p>Do not forget to buy <mark>milk</mark> today.</p>', '\n'], ['\n <p>My favorite color is <del>blue</del> red.</p>', '\n'], ['\n  <p>My favorite color is <del>blue</del> <ins>red</ins>.</p>', '\n'], ['\n <p>This \n is <sub>subscripted</sub> text.</p>', '\n'], ['\n <p>This \n is <sup>superscripted</sup> text.</p>', '\n']]"
